SOURCELONG:Deities and Demigods	SOURCESHORT:DaD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-04																													
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Diminutive Speed (Biped - Walk)|PRELEGSLTEQ:2|PREMOVE:1,Walk=1|PRESIZEEQ:D									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Diminutive Speed (Quad - Walk)|PRELEGSGTEQ:3|PREMOVE:1,Walk=1|PRESIZEEQ:D									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Diminutive Speed (All - Burrow)|PREMOVE:1,Burrow=1|PRESIZEEQ:D									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Diminutive Speed (All - Swim)|PREMOVE:1,Swim=1|PRESIZEEQ:D									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Diminutive Speed (All - Climb)|PREMOVE:1,Climb=1|PRESIZEEQ:D									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Diminutive Speed (All - Fly)|PREMOVE:1,Fly=1|PRESIZEEQ:D									
# Tiny																																
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Tiny Speed (Biped - Walk)|PRELEGSLTEQ:2|PREMOVE:1,Walk=1|PRESIZEEQ:T									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Tiny Speed (Quad - Walk)|PRELEGSGTEQ:3|PREMOVE:1,Walk=1|PRESIZEEQ:T									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Tiny Speed (All - Burrow)|PREMOVE:1,Burrow=1|PRESIZEEQ:T									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Tiny Speed (All - Swim)|PREMOVE:1,Swim=1|PRESIZEEQ:T									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Tiny Speed (All - Climb)|PREMOVE:1,Climb=1|PRESIZEEQ:T									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Tiny Speed (All - Fly)|PREMOVE:1,Fly=1|PRESIZEEQ:T									
# Small																																
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Small Speed (Biped - Walk)|PRELEGSLTEQ:2|PREMOVE:1,Walk=1|PRESIZEEQ:S									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Small Speed (Quad - Walk)|PRELEGSGTEQ:3|PREMOVE:1,Walk=1|PRESIZEEQ:S									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Small Speed (All - Burrow)|PREMOVE:1,Burrow=1|PRESIZEEQ:S									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Small Speed (All - Swim)|PREMOVE:1,Swim=1|PRESIZEEQ:S									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Small Speed (All - Climb)|PREMOVE:1,Climb=1|PRESIZEEQ:S									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Small Speed (All - Fly)|PREMOVE:1,Fly=1|PRESIZEEQ:S									
# Medium																																
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Medium Speed (Biped - Walk)|PRELEGSLTEQ:2|PREMOVE:1,Walk=1|PRESIZEEQ:M									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Medium Speed (Quad - Walk)|PRELEGSGTEQ:3|PREMOVE:1,Walk=1|PRESIZEEQ:M									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Medium Speed (All - Burrow)|PREMOVE:1,Burrow=1|PRESIZEEQ:M									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Medium Speed (All - Swim)|PREMOVE:1,Swim=1|PRESIZEEQ:M									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Medium Speed (All - Climb)|PREMOVE:1,Climb=1|PRESIZEEQ:M									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Medium Speed (All - Fly)|PREMOVE:1,Fly=1|PRESIZEEQ:M									
# Large																																
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Large Speed (Biped - Walk)|PRELEGSLTEQ:2|PREMOVE:1,Walk=1|PRESIZEEQ:L									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Large Speed (Quad - Walk)|PRELEGSGTEQ:3|PREMOVE:1,Walk=1|PRESIZEEQ:L									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Large Speed (All - Burrow)|PREMOVE:1,Burrow=1|PRESIZEEQ:L									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Large Speed (All - Swim)|PREMOVE:1,Swim=1|PRESIZEEQ:L									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Large Speed (All - Climb)|PREMOVE:1,Climb=1|PRESIZEEQ:L									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Large Speed (All - Fly)|PREMOVE:1,Fly=1|PRESIZEEQ:L									
# Huge																																
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Huge Speed (Biped - Walk)|PRELEGSLTEQ:2|PREMOVE:1,Walk=1|PRESIZEEQ:H									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Huge Speed (Quad - Walk)|PRELEGSGTEQ:3|PREMOVE:1,Walk=1|PRESIZEEQ:H									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Huge Speed (All - Burrow)|PREMOVE:1,Burrow=1|PRESIZEEQ:H									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Huge Speed (All - Swim)|PREMOVE:1,Swim=1|PRESIZEEQ:H									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Huge Speed (All - Climb)|PREMOVE:1,Climb=1|PRESIZEEQ:H									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Huge Speed (All - Fly)|PREMOVE:1,Fly=1|PRESIZEEQ:H									
# Gargantuan																																
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Gargantuan Speed (Biped - Walk)|PRELEGSLTEQ:2|PREMOVE:1,Walk=1|PRESIZEEQ:G									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Gargantuan Speed (Quad - Walk)|PRELEGSGTEQ:3|PREMOVE:1,Walk=1|PRESIZEEQ:G									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Gargantuan Speed (All - Burrow)|PREMOVE:1,Burrow=1|PRESIZEEQ:G									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Gargantuan Speed (All - Swim)|PREMOVE:1,Swim=1|PRESIZEEQ:G									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Gargantuan Speed (All - Climb)|PREMOVE:1,Climb=1|PRESIZEEQ:G									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Gargantuan Speed (All - Fly)|PREMOVE:1,Fly=1|PRESIZEEQ:G									
# Colossal																																
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Colossal Speed (Biped - Walk)|PRELEGSLTEQ:2|PREMOVE:1,Walk=1|PRESIZEEQ:C									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Colossal Speed (Quad - Walk)|PRELEGSGTEQ:3|PREMOVE:1,Walk=1|PRESIZEEQ:C									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Colossal Speed (All - Burrow)|PREMOVE:1,Burrow=1|PRESIZEEQ:C									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Colossal Speed (All - Swim)|PREMOVE:1,Swim=1|PRESIZEEQ:C									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Colossal Speed (All - Climb)|PREMOVE:1,Climb=1|PRESIZEEQ:C									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Colossal Speed (All - Fly)|PREMOVE:1,Fly=1|PRESIZEEQ:C									
																																
# Fine																																
Fine Speed (Biped - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSLTEQ:2	PREMOVE:1,Walk=1	PRESIZEEQ:F	MOVE:Walk,20						SOURCEPAGE:DaD
Fine Speed (Quad - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSGTEQ:3	PREMOVE:1,Walk=1	PRESIZEEQ:F	MOVE:Walk,60						SOURCEPAGE:DaD
Fine Speed (All - Burrow)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Burrow=1	PRESIZEEQ:F	MOVE:Burrow,20						SOURCEPAGE:DaD
Fine Speed (All - Swim)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Swim=1	PRESIZEEQ:F	MOVE:Swim,20						SOURCEPAGE:DaD
Fine Speed (All - Climb)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Climb=1	PRESIZEEQ:F	MOVE:Climb,10						SOURCEPAGE:DaD
Fine Speed (All - Fly)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Fly=1	PRESIZEEQ:F	MOVE:Fly,120						SOURCEPAGE:DaD
# Diminutive																																
Diminutive Speed (Biped - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSLTEQ:2	PREMOVE:1,Walk=1	PRESIZEEQ:D	MOVE:Walk,30						SOURCEPAGE:DaD
Diminutive Speed (Quad - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSGTEQ:3	PREMOVE:1,Walk=1	PRESIZEEQ:D	MOVE:Walk,70						SOURCEPAGE:DaD
Diminutive Speed (All - Burrow)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Burrow=1	PRESIZEEQ:D	MOVE:Burrow,30						SOURCEPAGE:DaD
Diminutive Speed (All - Swim)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Swim=1	PRESIZEEQ:D	MOVE:Swim,30						SOURCEPAGE:DaD
Diminutive Speed (All - Climb)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Climb=1	PRESIZEEQ:D	MOVE:Climb,15						SOURCEPAGE:DaD
Diminutive Speed (All - Fly)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Fly=1	PRESIZEEQ:D	MOVE:Fly,140						SOURCEPAGE:DaD
# Tiny																																
Tiny Speed (Biped - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSLTEQ:2	PREMOVE:1,Walk=1	PRESIZEEQ:D	MOVE:Walk,40						SOURCEPAGE:DaD
Tiny Speed (Quad - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSGTEQ:3	PREMOVE:1,Walk=1	PRESIZEEQ:D	MOVE:Walk,80						SOURCEPAGE:DaD
Tiny Speed (All - Burrow)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Burrow=1	PRESIZEEQ:D	MOVE:Burrow,40						SOURCEPAGE:DaD
Tiny Speed (All - Swim)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Swim=1	PRESIZEEQ:D	MOVE:Swim,40						SOURCEPAGE:DaD
Tiny Speed (All - Climb)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Climb=1	PRESIZEEQ:D	MOVE:Climb,20						SOURCEPAGE:DaD
Tiny Speed (All - Fly)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Fly=1	PRESIZEEQ:D	MOVE:Fly,160						SOURCEPAGE:DaD
# Small																																
Small Speed (Biped - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSLTEQ:2	PREMOVE:1,Walk=1	PRESIZEEQ:D	MOVE:Walk,50						SOURCEPAGE:DaD
Small Speed (Quad - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSGTEQ:3	PREMOVE:1,Walk=1	PRESIZEEQ:D	MOVE:Walk,90						SOURCEPAGE:DaD
Small Speed (All - Burrow)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Burrow=1	PRESIZEEQ:D	MOVE:Burrow,50						SOURCEPAGE:DaD
Small Speed (All - Swim)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Swim=1	PRESIZEEQ:D	MOVE:Swim,50						SOURCEPAGE:DaD
Small Speed (All - Climb)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Climb=1	PRESIZEEQ:D	MOVE:Climb,25						SOURCEPAGE:DaD
Small Speed (All - Fly)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Fly=1	PRESIZEEQ:D	MOVE:Fly,180						SOURCEPAGE:DaD
# Medium																																
Medium Speed (Biped - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSLTEQ:2	PREMOVE:1,Walk=1	PRESIZEEQ:D	MOVE:Walk,60						SOURCEPAGE:DaD
Medium Speed (Quad - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSGTEQ:3	PREMOVE:1,Walk=1	PRESIZEEQ:D	MOVE:Walk,100						SOURCEPAGE:DaD
Medium Speed (All - Burrow)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Burrow=1	PRESIZEEQ:D	MOVE:Burrow,60						SOURCEPAGE:DaD
Medium Speed (All - Swim)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Swim=1	PRESIZEEQ:D	MOVE:Swim,60						SOURCEPAGE:DaD
Medium Speed (All - Climb)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Climb=1	PRESIZEEQ:D	MOVE:Climb,30						SOURCEPAGE:DaD
Medium Speed (All - Fly)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Fly=1	PRESIZEEQ:D	MOVE:Fly,200						SOURCEPAGE:DaD
# Large																																
Large Speed (Biped - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSLTEQ:2	PREMOVE:1,Walk=1	PRESIZEEQ:D	MOVE:Walk,80						SOURCEPAGE:DaD
Large Speed (Quad - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSGTEQ:3	PREMOVE:1,Walk=1	PRESIZEEQ:D	MOVE:Walk,120						SOURCEPAGE:DaD
Large Speed (All - Burrow)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Burrow=1	PRESIZEEQ:D	MOVE:Burrow,80						SOURCEPAGE:DaD
Large Speed (All - Swim)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Swim=1	PRESIZEEQ:D	MOVE:Swim,80						SOURCEPAGE:DaD
Large Speed (All - Climb)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Climb=1	PRESIZEEQ:D	MOVE:Climb,40						SOURCEPAGE:DaD
Large Speed (All - Fly)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Fly=1	PRESIZEEQ:D	MOVE:Fly,240						SOURCEPAGE:DaD
# Huge																																
Huge Speed (Biped - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSLTEQ:2	PREMOVE:1,Walk=1	PRESIZEEQ:D	MOVE:Walk,100						SOURCEPAGE:DaD
Huge Speed (Quad - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSGTEQ:3	PREMOVE:1,Walk=1	PRESIZEEQ:D	MOVE:Walk,140						SOURCEPAGE:DaD
Huge Speed (All - Burrow)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Burrow=1	PRESIZEEQ:D	MOVE:Burrow,100						SOURCEPAGE:DaD
Huge Speed (All - Swim)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Swim=1	PRESIZEEQ:D	MOVE:Swim,100						SOURCEPAGE:DaD
Huge Speed (All - Climb)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Climb=1	PRESIZEEQ:D	MOVE:Climb,50						SOURCEPAGE:DaD
Huge Speed (All - Fly)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Fly=1	PRESIZEEQ:D	MOVE:Fly,280						SOURCEPAGE:DaD
# Gargantuan																																
Gargantuan Speed (Biped - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSLTEQ:2	PREMOVE:1,Walk=1	PRESIZEEQ:D	MOVE:Walk,120						SOURCEPAGE:DaD
Gargantuan Speed (Quad - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSGTEQ:3	PREMOVE:1,Walk=1	PRESIZEEQ:D	MOVE:Walk,160						SOURCEPAGE:DaD
Gargantuan Speed (All - Burrow)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Burrow=1	PRESIZEEQ:D	MOVE:Burrow,120						SOURCEPAGE:DaD
Gargantuan Speed (All - Swim)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Swim=1	PRESIZEEQ:D	MOVE:Swim,120						SOURCEPAGE:DaD
Gargantuan Speed (All - Climb)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Climb=1	PRESIZEEQ:D	MOVE:Climb,60						SOURCEPAGE:DaD
Gargantuan Speed (All - Fly)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Fly=1	PRESIZEEQ:D	MOVE:Fly,320						SOURCEPAGE:DaD
# Colossal																																
Colossal Speed (Biped - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSLTEQ:2	PREMOVE:1,Walk=1	PRESIZEEQ:D	MOVE:Walk,140						SOURCEPAGE:DaD
Colossal Speed (Quad - Walk)	CATEGORY:Internal	TYPE:Movement																					PRELEGSGTEQ:3	PREMOVE:1,Walk=1	PRESIZEEQ:D	MOVE:Walk,180						SOURCEPAGE:DaD
Colossal Speed (All - Burrow)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Burrow=1	PRESIZEEQ:D	MOVE:Burrow,140						SOURCEPAGE:DaD
Colossal Speed (All - Swim)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Swim=1	PRESIZEEQ:D	MOVE:Swim,140						SOURCEPAGE:DaD
Colossal Speed (All - Climb)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Climb=1	PRESIZEEQ:D	MOVE:Climb,70						SOURCEPAGE:DaD
Colossal Speed (All - Fly)	CATEGORY:Internal	TYPE:Movement																						PREMOVE:1,Fly=1	PRESIZEEQ:D	MOVE:Fly,360						SOURCEPAGE:DaD
																																
# Salient divine abilities																																
Alter Form	CATEGORY:Salient Divine Ability		VISIBLE:YES	DESC:As a move-equivalent action, the deity can alter its form, including clothing and equipment. The assumed form must be corporeal. The deity's body can undergo a limited physical transmutation, including adding or subtracting one or two limbs. If the form selected has wings, the deity can fly. Likewise, the deity can swim if the form has fins, breathe water if the form has gills, and so on. The deity can remain in the altered form indefinitely, but resumes its own form if slain.																			PREABILITY:1,CATEGORY=Salient Divine Ability,Alter Size									SOURCEPAGE:DaD
Alter Reality	CATEGORY:Salient Divine Ability		VISIBLE:YES	DESC:This ability is similar to the wish spell. The deity merely thinks of something and then makes it so. Doing this requires at least a standard action.																												SOURCEPAGE:DaD
Alter Size	CATEGORY:Salient Divine Ability	TYPE:Supernatural	VISIBLE:YES	DESC:As a free action, the deity can assume any size from Fine to Colossal. The deity also can change the size of up to 100 pounds of objects it touches. If the deity has a familiar, personal mount, or personal intelligent weapon, the creature can change size with the deity if the deity touches it, but its weight counts against the deity's weight limit. This is a supernatural ability.																												SOURCEPAGE:DaD
Annihilating Strike	CATEGORY:Salient Divine Ability		VISIBLE:YES	DESC:When the deity strikes with a weapon or natural weapon, the opponent struck might be obliterated. Creatures, attended objects, and magic items must make Fortitude saves (DC 20 + the deity's rank + the damage dealt) or be reduced to -10 hit points and killed outright. Unattended, nonmagical objects are obliterated. The deity can destroy up to 1,000 cubic feet (a 10-foot cube) of nonliving matter per rank, so the ability destroys only part of any very large object or structure targeted.																			PREVARGTEQ:DivineRank,11	PRETOTALAB:20	PRESTAT:1,STR=25							SOURCEPAGE:DaD
