SOURCELONG:Deities and Demigods	SOURCESHORT:DaD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-04																													
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Spontaneous Casting	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Since soldiers of light are so attuned to positive energy, they can spontaneously case cure spells just as a good cleric can. The soldier can convert any prepared divine spell-including soldier of light spells, cleric spells, ranger spells, or even druid spells-into a cure spell of the same level.	KEY:Soldier of Light ~ Spontaneous Casting																		ABILITY:Special Ability|VIRTUAL|Spontaneous casting ~ Cure spells|!PREABILITY:1,CATEGORY=ACF,TYPE.SoldierOfLightSpontaneousCasting								SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Detect Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:At will, the soldier of light can detect undead as a spell-like ability. This ability duplicates the effects of the spell detect undead.	KEY:Soldier of Light ~ Detect Undead																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=SoldierOfLight|Detect Undead								SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Turn Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A soldier of light can turn undead. He may use this ability a number of times per day equal to 3 + his Charisma modifier. He turns undead as a cleric of his soldier of light level. If the soldier can already turn undead, his effective effective turning level is his previous effective level plus his soldier of light level. He does not gain extra turning attempts in a day.	KEY:Soldier of Light ~ Turn Undead									BONUS:ABILITYPOOL|Turn Undead|1|TYPE=ClassAbility|!PREABILITY:1,CATEGORY=Special Ability,Turn Undead	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|SoldierOfLightLVL|TYPE=Level.REPLACE								ABILITY:Special Ability|AUTOMATIC|Basic Turning|!PREABILITY:1,CATEGORY=Special Ability,Turn Undead								SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Divine Grace	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A soldier of light of 2nd level or higher applies his Charisma modifier (if positive) as a bonus on all saving throws.	KEY:Soldier of Light ~ Divine Grace									BONUS:SAVE|ALL|max(CHA,0)									ABILITY:Special Ability|AUTOMATIC|Divine Grace								SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Smite Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Once per day, a soldier of light of 2nd level or higher may attempt to smite undead with one normal melee attack. He adds his Wisdom modifier (if positive) to his attack roll and deals 1 extra point of damage per class level. If the soldier of light accidentally smites a creature that is not undead, the smite has no effect but it is still used up for that day	KEY:Soldier of Light ~ Smite Undead									BONUS:VAR|SmiteUndeadLVL|SoldierOfLightLVL	BONUS:VAR|SmiteUndeadToHit|max(WIS,0)|TYPE=Base	BONUS:VAR|SmiteUndeadDamage|SoldierOfLightLVL	BONUS:VAR|SmiteUndead|1						ABILITY:Special Ability|VIRTUAL|Smite Undead								SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Positive Fortitude	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A soldier of light of at least 3rd level gains a +2 sacred bonus on all saving throws against necromantic spells or effects, as well as energy drain attacks.	KEY:Soldier of Light ~ Positive Fortitude									BONUS:VAR|NecromancyResistanceBonus|2|TYPE=Sacred									ABILITY:Special Ability|AUTOMATIC|Resistance To Necromancy								SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Energon Companion	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 4th level, a soldier of the light can summon a xag-ya, an outsider formed of positive energy. This xag-ya serves as a companion to the soldier and can communicate telepathically with him when it is within range and line of sight (though its thoughts are sometimes alien and cryptic). When the soldier reaches 8th level, he can summon an additional energon and add +2 HD (with all attendant benefits, including base attack bonus and saving throw bonus increases) to both xag-ya companions. If an energon companion is killed, or the soldier of light chooses to dismiss it, the soldier of light must attempt a Fortitude saving throw (DC 15). If the saving throw fails, the soldier of light loses 200 experience points per soldier level. A successful saving throw reduces the loss by half, to 100 XP per class level. The soldier's level can never go below 0 as the result of an energon's dismissal or death. A killed or dismissed energon companion cannot be replaced for a year and a day.	KEY:Soldier of Light ~ Energon Companion									BONUS:VAR|EnergonCompanionLVL|SoldierOfLightLVL	BONUS:FOLLOWERS|Energon Companion|1|PREVARGTEQ:SoldierOfLightLVL,8								ABILITY:Special Ability|AUTOMATIC|Energon Companion								SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Divine Vengeance	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 5th level, a soldier of light gains the ability to channel positive energy in a melee attack to deal additional damage against undead. The soldier spends one of his turn attempts to add 2d6 points of sacred damage to all his successful melee attacks against undead until the end of his next action (Note: This ability is identical with the Divine Vengeance feat described in Defenders of the Faith. If you are using that book, soldiers of light gain that feat as a bonus feat at 5th level, even if they do not have the prerequisite Extra Turning feat).	KEY:Soldier of Light ~ Divine Vengeance																		ABILITY:FEAT|AUTOMATIC|Divine Vengeance|PRECAMPAIGN:1,Defenders of the Faith 3.0								SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Fast Healing	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 7th level, the positive energy infusing the soldier of light's body allows him to heal his wounds quickly. At the beginning of each of his turns, he heals 1 hit point. If he has taken both subdual and normal damage, he heals subdual damage first. Fast healing does not restore hit points lost from starvation, thirst, or suffocation. At 10th level, the soldier of light heals 2 hit points per round.	KEY:Soldier of Light ~ Fast Healing									BONUS:VAR|FastHealing|1	BONUS:VAR|FastHealing|1|PREVARGTEQ:SoldierOfLightLVL,10																SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
Positive Energy Burst	CATEGORY:Special Ability	TYPE:ClassFeatures.SoldierOfLightClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:In lieu of two normal turning attempts, a soldier of light of at least 8th level can create a positive energy burst that deals 1d6 points of damage per class level to all undead creatures within 100 feet of the character. Undead are allowed a Reflex save (DC 10 + the soldier's class level) for half damage.	KEY:Soldier of Light ~ Positive Energy Burst									BONUS:VAR|PositiveEnergyBurstDice|SoldierOfLightLVL|TYPE=Base	BONUS:VAR|PositiveEnergyBurstDC|10+SoldierOfLightLVL	BONUS:VAR|PositiveEnergyBurstDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Positive Enrgy Burst)							ABILITY:Ability Focus|AUTOMATIC|Positive Energy Burst								SORTKEY:Class_Soldier_Of_Light	SOURCEPAGE:DaD
