SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2024-08																													
Guidance	CATEGORY:Internal	TYPE:Cleric Cantrip		DESC:You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one ability check of its choice. It can roll the die before or after making the ability check. The spell then ends.	KEY:Cleric Cantrip ~ Guidance																		SPELLS:Cleric Cantrip|TIMES=ATWILL|CASTERLEVEL=1|Guidance,ClericSpellDC	SPELLKNOWN:CLASS|Cleric=0|Guidance								SOURCEPAGE:PHB
Light	CATEGORY:Internal	TYPE:Cleric Cantrip		DESC:You touch one object that is no larger than 10 feet in any dimension. Until the spell ends, the object sheds bright light in a 20-foot radius and dim light for an additional 20 feet. The light can be colored as you like. Completely covering the object with something opaque blocks the light. The spell ends if you cast it again or dismiss it as an action. If you target an object held or worn by a hostile creature, that creature must succeed on a Dexterity saving throw to avoid the spell.	KEY:Cleric Cantrip ~ Light																		SPELLS:Cleric Cantrip|TIMES=ATWILL|CASTERLEVEL=1|Light,ClericSpellDC	SPELLKNOWN:CLASS|Cleric=0|Light								SOURCEPAGE:PHB
Mage Hand	CATEGORY:Internal	TYPE:Artificer Cantrip		DESC:.	KEY:Artificer Cantrip ~ Mage Hand																		SPELLS:Artificer Cantrip|TIMES=ATWILL|CASTERLEVEL=1|Mage Hand,ArtificerSpellDC	SPELLKNOWN:CLASS|Artificer=0|Mage Hand								SOURCEPAGE:PHB
Mending	CATEGORY:Internal	TYPE:Cleric Cantrip		DESC:This spell repairs a single break or tear in an object you touch, such as a broken chain link, two halves of a broken key, a torn cloak, or a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimension, you mend it. leaving no trace of the former damage. This spell can physically repair a magic item or construct, but the spell can't restore magic to such an object.	KEY:Cleric Cantrip ~ Mending																		SPELLS:Cleric Cantrip|TIMES=ATWILL|CASTERLEVEL=1|Mending,ClericSpellDC	SPELLKNOWN:CLASS|Cleric=0|Mending								SOURCEPAGE:PHB
																																
###Block																																
CATEGORY=Special Ability|Artificer ~ Spellcasting.MOD									DEFINE:ArtificerCast1|0	DEFINE:ArtificerKnown1|0				BONUS:VAR|ArtificerCast1|SpellSlotsLVL1																		
CATEGORY=Special Ability|Artificer ~ Spellcasting.MOD									DEFINE:ArtificerCast2|0	DEFINE:ArtificerKnown2|0				BONUS:VAR|ArtificerCast2|SpellSlotsLVL2																		
CATEGORY=Special Ability|Artificer ~ Spellcasting.MOD									DEFINE:ArtificerCast3|0	DEFINE:ArtificerKnown3|0				BONUS:VAR|ArtificerCast3|SpellSlotsLVL3																		
CATEGORY=Special Ability|Artificer ~ Spellcasting.MOD									DEFINE:ArtificerCast4|0	DEFINE:ArtificerKnown4|0				BONUS:VAR|ArtificerCast4|SpellSlotsLVL4																		
CATEGORY=Special Ability|Artificer ~ Spellcasting.MOD									DEFINE:ArtificerCast5|0	DEFINE:ArtificerKnown5|0				BONUS:VAR|ArtificerCast5|SpellSlotsLVL5																		
																																
###Block																																
CATEGORY=Special Ability|Artificer ~ Spellcasting.MOD	DEFINE:ArtificerPreparedSlots|0	BONUS:SPELLCAST|CLASS=Artificer;LEVEL=10|ArtificerPreparedSlots	BONUS:VAR|ArtificerPreparedSlots|ArtificerPreparedBase																													
CATEGORY=Special Ability|Artificer ~ Spellcasting.MOD	DEFINE:ArtificerPreparedBase|0	BONUS:VAR|ArtificerPreparedBase|2+(ArtificerLVL>=2)+(ArtificerLVL>=3)+(ArtificerLVL>=4)+(ArtificerLVL>=5)+(ArtificerLVL>=7)+(ArtificerLVL>=9)+(ArtificerLVL>=11)+(ArtificerLVL>=13)+(ArtificerLVL>=15)+2*(ArtificerLVL>=17)+(ArtificerLVL>=19)																														
																																
###Block:Artificer Subclass																																
Alchemist	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Artificer Subclass.SpecialQuality	VISIBLE:YES	DESC:An Alchemist is an expert at combining reagents to produce magical effects. Alchemists use their creations to give life and to leech it away.	KEY:Artificer Subclass ~ Alchemist																		ABILITY:Artificer Class Feature|AUTOMATIC|Alchemist ~ Tool Proficiency|PREVAREQ:ArtificerLVL,3	ABILITY:Artificer Class Feature|AUTOMATIC|Alchemist ~ Alchemist Spells|PREVAREQ:ArtificerLVL,3	ABILITY:Artificer Class Feature|AUTOMATIC|Alchemist ~ Experimental elixir|PREVAREQ:ArtificerLVL,3	ABILITY:Artificer Class Feature|AUTOMATIC|Alchemist ~ Alchemical Savant|PREVAREQ:ArtificerLVL,5	ABILITY:Artificer Class Feature|AUTOMATIC|Alchemist ~ Restorative Reagent|PREVAREQ:ArtificerLVL,9	ABILITY:Artificer Class Feature|AUTOMATIC|Alchemist ~ Chemical Mastery|PREVAREQ:ArtificerLVL,15			SORTKEY:Class_Artificer_01d1	SOURCEPAGE:PHB
Armorer	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Artificer Subclass.SpecialQuality	VISIBLE:YES	DESC:An Artificer who specializes as an Armorer modifies armor to function almost like a second skin. The armor is enhanced to hone the Artificer’s magic, unleash potent attacks, and generate a formidable defense.	KEY:Artificer Subclass ~ Armorer																		ABILITY:Artificer Class Feature|AUTOMATIC|Armorer ~ Tools of the Trade|PREVAREQ:ArtificerLVL,3	ABILITY:Artificer Class Feature|AUTOMATIC|Armorer ~ Armorer Spells|PREVAREQ:ArtificerLVL,3	ABILITY:Artificer Class Feature|AUTOMATIC|Armorer ~ Arcane Armor|PREVAREQ:ArtificerLVL,3	ABILITY:Artificer Class Feature|AUTOMATIC|Armorer ~ Armor Model|PREVAREQ:ArtificerLVL,3	ABILITY:Artificer Class Feature|AUTOMATIC|Armorer ~ Extra Attack|PREVAREQ:ArtificerLVL,5	ABILITY:Artificer Class Feature|AUTOMATIC|Armorer ~ Armor Replication|PREVAREQ:ArtificerLVL,9	ABILITY:Artificer Class Feature|AUTOMATIC|Armorer ~ Perfected Armor|PREVAREQ:ArtificerLVL,15		SORTKEY:Class_Artificer_01d2	SOURCEPAGE:PHB
Artillerist	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Artificer Subclass.SpecialQuality	VISIBLE:YES	DESC:An Artillerist specializes in using magic to hurl energy, projectiles, and explosions on a battlefield.																												
																																
Tool Proficiency	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Alchemist.SpecialQuality	VISIBLE:YES	DESC:You gain proficiency with Alchemist’s Supplies. If you already have this proficiency, you gain proficiency with one other type of Artisan’s Tools of your choice. In addition, when you brew a potion using the crafting rules in the Dungeon Master’s Guide, the amount of time required to craft it is halved.	KEY:Alchemist ~ Tool Proficiency									BONUS:VAR|Artisan's Tools Proficiency|1																	SORTKEY:Class_Artificer_01d1a	SOURCEPAGE:PHB
Alchemist Spells	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Alchemist.SpecialQuality	VISIBLE:YES	DESC:When you reach an Artificer level specified in the Alchemist Spells table, you thereafter always have the listed spells prepared.	KEY:Alchemist ~ Alchemist Spells																										SORTKEY:Class_Artificer_01d1b	SOURCEPAGE:PHB
Experimental Elixir	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Alchemist.SpecialQuality	VISIBLE:YES	DESC:Whenever you finish a Long Rest while holding Alchemist's Supplies, you can use that tool to magically produce two elixirs. For each elixir, roll on the Experimental Elixir table for the elixir's effect, which is triggered when someone drinks the elixir. The elixir appears in a vial, and the vial vanishes when the elixir is drunk or poured out. If any elixir remains when you finish a Long Rest, the elixir and its vial vanish. &nl; Drinking an Elixir. As a Bonus Action, a creature can drink the elixir or administer it to another creature within 5 feet of itself. &nl; Creating Additional Elixirs. As a Magic action while holding Alchemist's Supplies, you can expend one spell slot to create another elixir. When you do so, you choose its effect from the Experimental Elixir table rather than rolling. &nl; When you reach certain Artificer levels, you can make an additional elixir at the end of each Long Rest: a total of three at level 5, four at level 9, and 5 at level 15. &nl; EXPERIMENTAL ELIXIR &nl;&nl; D6   Effect &nl; 1    Healing. The drinker regains a number of Hit Points equal to 2d8 plus your Intelligence modifier. &nl; 2    Swiftness. The drinker's Speed increases by 10 feet for 1 hour. &nl; 3    Resilience. The drinker gains a +1 bonus to AC for 10 minutes. &nl; 4    Boldness. The drinker can roll 1d4 and add the number rolled to every attack roll and saving throw they make for the next minute. &nl; 5    Flight. The drinker gains a Fly Speed of 10 feet for 10 minutes. &nl; 6    You determine the elixir's effect by choosing one of the other rows in this table.	KEY:Alchemist ~ Experimental Elixir	DESC:Number of elixir: %1|ExperimentalElixirTimes			DEFINE:ExperimentalElixirTimes|0					BONUS:VAR|ExperimentalElixirTimes|3+(ArtificerLVL>=9)+(ArtificerLVL>=15)																	SORTKEY:Class_Artificer_01d1c	SOURCEPAGE:PHB
Alchemical Savant	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Alchemist.SpecialQuality	VISIBLE:YES	DESC:Whenever you cast a spell using your Alchemist's Supplies as the Spellcasting Focus, you gain a bonus to one roll of the spell. That roll must restore Hit Points or be a damage roll that deals Acid, Fire, Necrotic, or Poison damage. The bonus equals your Intelligence modifier (minimum bonus of +1).	KEY:Alchemist ~ Alchemical Savant	DESC:Bonus +%1|max(INT,1)																									SORTKEY:Class_Artificer_01d1d	SOURCEPAGE:PHB
Restorative Reagents	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Alchemist.SpecialQuality	VISIBLE:YES	DESC:You can incorporate restorative reagents into some of your works, granting the following benefits: &nl; Fortify. Whenever a creature drinks an elixir you created with the Experimental Elixir feature, the creature gains Temporary Hit Points equal to your Intelligence modifier plus your Artificer level. Temporary HP: %1. &nl; Restore. You can cast Lesser Restoration without expending a spell slot and without preparing the spell, provided you use Alchemist's Supplies as the Spellcasting Focus. You can do so a number of times equal to your Intelligence modifier (minimum of once), and you regain all expended uses when you finish a Long Rest. Times %1/day|RestorativeReagentsFortify|RestorativeReagentsRestoreTimes	KEY:Alchemist ~ Restorative Reagents				DEFINE:RestorativeReagentsFortify|0	DEFINE:RestorativeReagentsRestoreTimes|0				BONUS:VAR|RestorativeReagentsFortify|INT+ArtificerLVL	BONUS:VAR|RestorativeReagentsRestoreTimes|max(INT,1)																SORTKEY:Class_Artificer_01d1e	SOURCEPAGE:PHB
Chemical Mastery	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Alchemist.SpecialQuality	VISIBLE:YES	DESC:You gain the following benefits: &nl; Alchemical Eruption. When you cast an Artificer spell that deals Acid, Fire, Necrotic, or Poison damage to a target, you can also deal 2d8 Force damage to that target. You can use this benefit only once on each of your turns. &nl; Chemical Resistance. You gain Resistance to Acid damage and Poison damage. &nl; Conjured Cauldron. You can cast Tasha's Bubbling Cauldron without expending a spell slot, without preparing the spell, and without Material components, provided you use Alchemist's Supplies as the Spellcasting Focus. Once you use this feature, you can�t use it again until you finish a Long Rest.	KEY:Alchemist ~ Chemical Mastery																		SPELLS:Chemical Mastery|TIMES=1|CASTERLEVEL=ArtificerLVL|Tasha's Bubling Cauldron								SORTKEY:Class_Artificer_01d1f	SOURCEPAGE:PHB
Restorative Reagents	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Alchemist.SpecialQuality	VISIBLE:YES	DESC:When you reach an Artificer level specified in the Alchemist Spells table, you thereafter always have the listed spells prepared.	KEY:Alchemist ~ Alchemist Spells																										SORTKEY:Class_Artificer_01d1g	SOURCEPAGE:PHB
																																
Tools of the Trade	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Armorer.SpecialQuality	VISIBLE:YES	DESC:You gain training with Heavy armor. You also gain proficiency with Smith’s Tools. If you already have this tool proficiency, you gain proficiency with one other type of Artisan’s Tools of your choice. In addition, when you craft nonmagical or magic armor, the amount of time required to craft it is halved.	KEY:Alchemist ~ Tools of the Trade									BONUS:VAR|Artisan’s Tool Proficiency|1									ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy								SORTKEY:Class_Artificer_01d2a	SOURCEPAGE:PHB
Armorer Spells	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Armorer.SpecialQuality	VISIBLE:YES	DESC:When you reach an Artificer level specified in the Armorer Spells table, you thereafter always have the listed spells prepared.	KEY:Alchemist ~ Armorer Spells																										SORTKEY:Class_Artificer_01d2b	SOURCEPAGE:PHB
Arcane Armor	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Armorer.SpecialQuality	VISIBLE:YES	DESC:As a Magic action while you have Smith’s Tools in hand, you can turn a suit of armor you are wearing into Arcane Armor. The armor continues to be Arcane Armor until you don another suit of armor or you die. &nl; No Strength Requirement. If the armor normally has a Strength requirement, the Arcane Armor lacks this requirement for you. &nl; Quick Don and Doff. You can don or doff the armor as a Utilize action. &nl; Second Skin. The armor attaches to you and can’t be removed against your will. It also expands to cover your entire body, although you can retract or deploy the helmet as a Bonus Action. The armor replaces missing limbs, functioning identically to a limb it replaces. &nl; Spellcasting Focus. You can use the Arcane Armor as a Spellcasting Focus for your Artificer spells.	KEY:Alchemist ~ Arcane Armor																										SORTKEY:Class_Artificer_01d2c	SOURCEPAGE:PHB
Armor Model	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Armorer.SpecialQuality	VISIBLE:YES	DESC:You can customize your Arcane Armor. When you do so, choose one of the following armor models: Dreadnaught, Guardian, or Infiltrator. The model you choose gives you special benefits while you wear it. Each model includes a special weapon. When you attack with that weapon, you can add your Intelligence modifier, instead of Strength or Dexterity modifier, to the attack and damage Rolls. You can change the armor’s model whenever you finish a Short or Long Rest if you have Smith’s Tools in hand.	KEY:Alchemist ~ Armor Model																										SORTKEY:Class_Artificer_01d2d	SOURCEPAGE:PHB
Extra Attack	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Armorer.SpecialQuality	VISIBLE:YES	DESC:You can attack twice instead of once whenever you take the Attack action on your turn.	KEY:Alchemist ~ Extra Attack																		ABILITY:Internal|AUTOMATIC|Extra Attack ~ 1								SORTKEY:Class_Artificer_01d2e	SOURCEPAGE:PHB
Armor Replication	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Armorer.SpecialQuality	VISIBLE:YES	DESC:You learn an additional plan for your Replicate Magic Item feature, and it must be in the Armor category. If you replace that plan, you must replace it with another Armor plan. In addition, you can create an additional item with that feature, and the item must also be in the Armor category.	KEY:Alchemist ~ Armor Replication									BONUS:VAR|ReplicateMagicItems|1																	SORTKEY:Class_Artificer_01d2f	SOURCEPAGE:PHB
Perfected Armor	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.Armorer.SpecialQuality	VISIBLE:YES	DESC:Your Arcane Armor gains additional benefits based on its model, as detailed below.	KEY:Alchemist ~ Perfected Armor																										SORTKEY:Class_Artificer_01d2g	SOURCEPAGE:PHB
