SOURCELONG:Gozzilioni Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07															
#																		
#	OUTPUTNAME:	KEY:	PROFICIENCY:	TYPE:	COST:	WT:	SOURCEPAGE:	BONUS:COMBAT|AC|x|TYPE=Armor	MAXDEX:	ACCHECK:	SPELLFAILURE:	EQMOD:						
Buckler			PROFICIENCY:SHIELD|Buckler	TYPE:Shield.Buckler.Standard	COST:15	WT:5	SOURCEPAGE:PHB	BONUS:COMBAT|AC|1|TYPE=Shield		ACCHECK:-1	SPELLFAILURE:5	EQMOD:STEEL		BONUS:COMBAT|TOHIT|-1|PREMULT:1,[PREEQUIPBOTH:1,TYPE=Melee],[PREEQUIPSECONDARY:1,TYPE=Melee]				
Shield (Light/Wooden)	OUTPUTNAME:Shield, Light Wooden		PROFICIENCY:SHIELD|Shield (Light)	TYPE:Shield.Light.Standard.Nonmetal	COST:3	WT:5	SOURCEPAGE:PHB	BONUS:COMBAT|AC|1|TYPE=Shield		ACCHECK:-1	SPELLFAILURE:5	EQMOD:WOOD		DAMAGE:1d3	CRITRANGE:1	CRITMULT:x2	WIELD:Light	SIZE:M
Shield (Light/Steel)	OUTPUTNAME:Shield, Light Steel		PROFICIENCY:SHIELD|Shield (Light)	TYPE:Shield.Light.Standard	COST:9	WT:6	SOURCEPAGE:PHB	BONUS:COMBAT|AC|1|TYPE=Shield		ACCHECK:-1	SPELLFAILURE:5	EQMOD:STEEL		DAMAGE:1d3	CRITRANGE:1	CRITMULT:x2	WIELD:Light	SIZE:M
Shield (Heavy/Wooden)	OUTPUTNAME:Shield, Heavy Wooden		PROFICIENCY:SHIELD|Shield (Heavy)	TYPE:Shield.Heavy.Standard.Nonmetal	COST:7	WT:10	SOURCEPAGE:PHB	BONUS:COMBAT|AC|2|TYPE=Shield		ACCHECK:-2	SPELLFAILURE:15	EQMOD:WOOD		DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	WIELD:OneHanded	SIZE:M
Shield (Heavy/Steel)	OUTPUTNAME:Shield, Heavy Steel		PROFICIENCY:SHIELD|Shield (Heavy)	TYPE:Shield.Heavy.Standard	COST:20	WT:15	SOURCEPAGE:PHB	BONUS:COMBAT|AC|2|TYPE=Shield		ACCHECK:-2	SPELLFAILURE:15	EQMOD:STEEL		DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	WIELD:OneHanded	SIZE:M
Shield (Tower/Wood)	OUTPUTNAME:Shield, Tower Wood		PROFICIENCY:SHIELD|Tower Shield	TYPE:Shield.Tower.Standard.Nonmetal	COST:30	WT:45	SOURCEPAGE:PHB	BONUS:COMBAT|AC|4|TYPE=Shield	MAXDEX:2	ACCHECK:-10	SPELLFAILURE:50	EQMOD:WOOD	SPROP:Tower shields can grant full cover, see text	BONUS:COMBAT|TOHIT|-2|PREABILITY:1,CATEGORY=FEAT,Tower Shield Proficiency	BONUS:COMBAT|TOHIT|SHIELDACCHECK|!PREABILITY:1,CATEGORY=FEAT,Tower Shield Proficiency			
																		
#Barding																		
Barding (Padded)			PROFICIENCY:ARMOR|Padded	TYPE:Armor.Light.Barding.Nonmetal	COST:10	WT:10	SOURCEPAGE:PHB	BONUS:COMBAT|AC|1|TYPE=Armor|PREVARGTEQ:BardingAllowed,1	MAXDEX:8	ACCHECK:0	SPELLFAILURE:5	EQMOD:CLOTH	PREVARGTEQ:BardingAllowed,1					
Barding (Leather)			PROFICIENCY:ARMOR|Leather	TYPE:Armor.Light.Barding.Nonmetal	COST:20	WT:15	SOURCEPAGE:PHB	BONUS:COMBAT|AC|2|TYPE=Armor|PREVARGTEQ:BardingAllowed,1	MAXDEX:6	ACCHECK:0	SPELLFAILURE:10	EQMOD:LEATHER	PREVARGTEQ:BardingAllowed,1					
Barding (Studded Leather)			PROFICIENCY:ARMOR|Studded Leather	TYPE:Armor.Light.Barding	COST:50	WT:20	SOURCEPAGE:PHB	BONUS:COMBAT|AC|3|TYPE=Armor|PREVARGTEQ:BardingAllowed,1	MAXDEX:5	ACCHECK:-1	SPELLFAILURE:15	EQMOD:STEEL	PREVARGTEQ:BardingAllowed,1					
Barding (Chain Shirt)			PROFICIENCY:ARMOR|Chain Shirt	TYPE:Armor.Light.Barding	COST:200	WT:25	SOURCEPAGE:PHB	BONUS:COMBAT|AC|4|TYPE=Armor|PREVARGTEQ:BardingAllowed,1	MAXDEX:4	ACCHECK:-2	SPELLFAILURE:20	EQMOD:STEEL	PREVARGTEQ:BardingAllowed,1					
Barding (Hide)			PROFICIENCY:ARMOR|Hide	TYPE:Armor.Medium.Barding.Nonmetal	COST:30	WT:25	SOURCEPAGE:PHB	BONUS:COMBAT|AC|3|TYPE=Armor|PREVARGTEQ:BardingAllowed,1	MAXDEX:4	ACCHECK:-3	SPELLFAILURE:20	EQMOD:LEATHER	PREVARGTEQ:BardingAllowed,1					
Barding (Scale Mail)			PROFICIENCY:ARMOR|Scale Mail	TYPE:Armor.Medium.Barding	COST:100	WT:30	SOURCEPAGE:PHB	BONUS:COMBAT|AC|4|TYPE=Armor|PREVARGTEQ:BardingAllowed,1	MAXDEX:3	ACCHECK:-4	SPELLFAILURE:25	EQMOD:STEEL	PREVARGTEQ:BardingAllowed,1					
Barding (Chainmail)			PROFICIENCY:ARMOR|Chainmail	TYPE:Armor.Medium.Barding	COST:300	WT:40	SOURCEPAGE:PHB	BONUS:COMBAT|AC|5|TYPE=Armor|PREVARGTEQ:BardingAllowed,1	MAXDEX:2	ACCHECK:-5	SPELLFAILURE:30	EQMOD:STEEL	PREVARGTEQ:BardingAllowed,1					
Barding (Breastplate)			PROFICIENCY:ARMOR|Breastplate	TYPE:Armor.Medium.Barding	COST:400	WT:30	SOURCEPAGE:PHB	BONUS:COMBAT|AC|5|TYPE=Armor|PREVARGTEQ:BardingAllowed,1	MAXDEX:3	ACCHECK:-4	SPELLFAILURE:25	EQMOD:STEEL	PREVARGTEQ:BardingAllowed,1					
Barding (Splint Mail)			PROFICIENCY:ARMOR|Splint Mail	TYPE:Armor.Heavy.Barding	COST:400	WT:45	SOURCEPAGE:PHB	BONUS:COMBAT|AC|6|TYPE=Armor|PREVARGTEQ:BardingAllowed,1	MAXDEX:0	ACCHECK:-7	SPELLFAILURE:40	EQMOD:STEEL	PREVARGTEQ:BardingAllowed,1					
Barding (Banded Mail)			PROFICIENCY:ARMOR|Banded Mail	TYPE:Armor.Heavy.Barding	COST:500	WT:35	SOURCEPAGE:PHB	BONUS:COMBAT|AC|6|TYPE=Armor|PREVARGTEQ:BardingAllowed,1	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:STEEL	PREVARGTEQ:BardingAllowed,1					
Barding (Half-Plate)			PROFICIENCY:ARMOR|Half-Plate	TYPE:Armor.Heavy.Barding	COST:1200	WT:50	SOURCEPAGE:PHB	BONUS:COMBAT|AC|7|TYPE=Armor|PREVARGTEQ:BardingAllowed,1	MAXDEX:0	ACCHECK:-7	SPELLFAILURE:40	EQMOD:STEEL	PREVARGTEQ:BardingAllowed,1					
Barding (Full Plate)			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Barding	COST:3000	WT:50	SOURCEPAGE:PHB	BONUS:COMBAT|AC|8|TYPE=Armor|PREVARGTEQ:BardingAllowed,1	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:STEEL	PREVARGTEQ:BardingAllowed,1					
