SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07
Longbow	TYPE:Martial.Ranged.Piercing.RangedPiercing.Twohanded.Bow	HANDS:2	
Shortbow	TYPE:Martial.Ranged.Piercing.RangedPiercing.Twohanded.Bow	HANDS:2	
###Exotic			
Kama	TYPE:Exotic.Melee.Slashing.MeleeSlashing.Light.Kama		
Nunchaku	TYPE:Exotic.Melee.Bludgeoning.MeleeBludgeoning.Light.Nunchaku		
Sai	TYPE:Exotic.Melee.Ranged.Thrown.Bludgeoning.MeleeBludgeoning.Light.Sai		
Siangham	TYPE:Exotic.Melee.Piercing.MeleePiercing.Light.Siangham		
Sword (Bastard)	TYPE:Exotic.Martial.Melee.Slashing.MeleeSlashing.OneHanded.TwoHanded.Sword		
Waraxe (Dwarven)	TYPE:Exotic.Melee.Slashing.MeleeSlashing.OneHanded.Axe.Dwarven		
Whip	TYPE:Exotic.Melee.Slashing.MeleeSlashing.OneHanded.Reach.Whip.Finesseable		
Axe (Double/Orc)	TYPE:Exotic.Melee.Slashing.MeleeSlashing.TwoHanded.Axe.Orc.DoubleWeapon		
Chain (Spiked)	TYPE:Exotic.Melee.Piercing.MeleePiercing.TwoHanded.Chain.Reach.Finesseable		
Flail (Dire)	TYPE:Exotic.Melee.Bludgeoning.MeleeBludgeoning.TwoHanded.Flail.DoubleWeapon		
Hammer (Hooked/Gnome)	TYPE:Exotic.Melee.Bludgeoning.Piercing.MeleeBludgeoning.MeleePiercing.TwoHanded.Hammer.Gnome.DoubleWeapon		
Sword (Two-Bladed)	TYPE:Exotic.Melee.Slashing.MeleeSlashing.TwoHanded.Sword.DoubleWeapon		
Urgrosh (Dwarven)	TYPE:Exotic.Melee.Piercing.Slashing.MeleePiercing.MeleeSlashing.TwoHanded.DoubleWeapon.Dwarven		
Bolas	TYPE:Exotic.Ranged.Thrown.Bludgeoning.RangedBludgeoning.Bolas
Crossbow (Hand)	TYPE:Exotic.Ranged.Piercing.RangedPiercing.Crossbow	HANDS:2	
Crossbow (Heavy/Repeating)	TYPE:Exotic.Ranged.Piercing.RangedPiercing.Crossbow	HANDS:2	
Crossbow (Light/Repeating)	TYPE:Exotic.Ranged.Piercing.RangedPiercing.Crossbow	HANDS:2	
Net	TYPE:Exotic.Ranged.Thrown.Net
Shuriken	TYPE:Exotic.Ranged.Piercing.RangedPiercing.Shuriken		
