SOURCELONG:Gozzilioni Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
Bardic Inspire Courage	CATEGORY:Internal	KEY:Temp Bonus ~ Bardic Inspire Courage		TEMPVALUE:MIN=1|MAX=20|TITLE=Bonus Granted	TEMPBONUS:ANYPC|COMBAT|TOHIT|OtherInspireCourageAttack|TYPE=Morale	TEMPBONUS:ANYPC|COMBAT|DAMAGE.Melee,DAMAGE.Ranged|OtherInspireCourageDamage|TYPE=Morale	TEMPBONUS:ANYPC|VAR|OtherInspireCourageSaves,OtherInspireCourageAttack,OtherInspireCourageDamage|OtherInspireCourageBonus	TEMPBONUS:ANYPC|VAR|OtherInspireCourageBonus|%CHOICE																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Bardic Inspire Competence	CATEGORY:Internal	KEY:Temp Bonus ~ Bardic Inspire Competence	TEMPBONUS:ANYPC|SKILL|ALL|2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
Temp Bonus Aspect ~ Inspire Courage	CATEGORY:Internal	ASPECT:SaveBonus|+%1 Morale bonus to Will saving throw vs. fear and charm effects.|OtherInspireCourageSaves																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Leadership Score	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DEFINE:LeadershipFollowerLVL1|0	DEFINE:LeadershipFollowerLVL2|0	DEFINE:LeadershipFollowerLVL3|0	DEFINE:LeadershipFollowerLVL4|0	DEFINE:LeadershipFollowerLVL5|0	DEFINE:LeadershipFollowerLVL6|0	TEMPVALUE:MIN=-10|MAX=10|TITLE=Leadership Score Adjustment	TEMPDESC:Several factors can affect a character's Leadership score, causing it to vary from the base score. Add modifiers as needed.	TEMPBONUS:PC|VAR|LeadershipScore|%CHOICE																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
CATEGORY=Internal|Default.MOD	DEFINE:IlliteracyLVL|0	ABILITY:Internal|AUTOMATIC|First Base Class																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
# First Base Class	CATEGORY:Internal	TEMPLATE:First Base Class																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
First Base Class	CATEGORY:Internal	TEMPLATE:CHOOSE:TYPE=BaseClass																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
###Block: Weapon Types																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Weapon Prof ~ Auto	CATEGORY:Internal		TYPE:WeaponProfAuto.WeaponProfSimple.WeaponProfMartial	AUTO:WEAPONPROF|Unarmed Strike|Spells (Ray)|Spells (Touch)|Gauntlet|Grapple|TYPE=Auto																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Weapon Prof ~ Simple	CATEGORY:Internal		TYPE:WeaponProfSimple.WeaponProfMartial	SERVESAS:FEAT|Simple Weapon Proficiency	AUTO:WEAPONPROF|TYPE=Simple																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
Weapon Prof ~ Martial	CATEGORY:Internal		TYPE:WeaponProfMartial	SERVESAS:FEAT|Martial Weapon Proficiency	AUTO:WEAPONPROF|TYPE=Martial																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
###Block: Armor Types																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
# Ability Name		Category of Ability	Type									Serves As						Auto Armor Prof																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Armor Prof ~ Light	CATEGORY:Internal		TYPE:ArmorProfLight.ArmorProfMedium.ArmorProfHeavy	SERVESAS:FEAT|Armor Proficiency (Light)	AUTO:ARMORPROF|ARMORTYPE=Light																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
Armor Prof ~ Medium	CATEGORY:Internal		TYPE:ArmorProfMedium.ArmorProfHeavy				SERVESAS:FEAT|Armor Proficiency (Medium)	AUTO:ARMORPROF|ARMORTYPE=Medium																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Armor Prof ~ Heavy	CATEGORY:Internal		TYPE:ArmorProfHeavy						SERVESAS:FEAT|Armor Proficiency (Heavy)	AUTO:ARMORPROF|ARMORTYPE=Heavy																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
Armor Prof ~ Barding	CATEGORY:Internal		TYPE:ArmorProfBarding							AUTO:ARMORPROF|ARMORTYPE=Barding	BONUS:VAR|BardingAllowed|1|TYPE=Base																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
###Block: Shield Types																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
# Ability Name		Category of Ability	Type						Serves As						Auto Shield Prof																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
Shield Prof ~ Tower	CATEGORY:Internal		TYPE:ShieldProfTower			SERVESAS:FEAT|Tower Shield Proficiency	AUTO:SHIELDPROF|SHIELDTYPE=Tower																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Shield Prof			CATEGORY:Internal		TYPE:ShieldProfTower.ShieldProf	SERVESAS:FEAT|Shield Proficiency		AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Heavy|SHIELDTYPE=Light																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Shield Prof ~ Bukler			CATEGORY:Internal		TYPE:ShieldProfTower.ShieldProf.ShieldBukler			AUTO:SHIELDPROF|SHIELDTYPE=Buckler																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
# PC Specific Weapon Prof.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Bard Weapon Proficiencies	CATEGORY:Internal	TYPE:WeaponProfBard	VISIBLE:NO	AUTO:WEAPONPROF|Longsword|Rapier|Sap|Sword (Short)|Shortbow|Longbow|Whip																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Cleric Weapon Proficiencies	CATEGORY:Internal	TYPE:WeaponProfCleric	VISIBLE:NO	AUTO:WEAPONPROF|DEITYWEAPONS																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Druid Weapon Proficiencies	CATEGORY:Internal	TYPE:WeaponProfDruid	VISIBLE:NO	AUTO:WEAPONPROF|Club|Dagger|Dart|Quarterstaff|Scimitar|Sickle|Shortspear|Sling|Spear																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Monk Weapon Proficiencies	CATEGORY:Internal	TYPE:WeaponProfMonk	VISIBLE:NO	AUTO:WEAPONPROF|Club|Crossbow (Light)|Crossbow (Heavy)|Dagger|Handaxe|Javelin|Kama|Nunchaku|Quarterstaff|Sai|Shuriken|Siangham|Sling|Unarmed Strike																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Rogue Weapon Proficiencies	CATEGORY:Internal	TYPE:WeaponProfRogue	VISIBLE:NO	AUTO:WEAPONPROF|Crossbow (Hand)|Rapier|Sap|Shortbow|Sword (Short)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Wizard Weapon Proficiencies	CATEGORY:Internal	TYPE:WeaponProfWizard	VISIBLE:NO	AUTO:WEAPONPROF|Club|Dagger|Crossbow (Heavy)|Crossbow (Light)|Quarterstaff																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
# # NPC All Martial Weapon Prof.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
# All Automatic Proficiencies	CATEGORY:Special Ability	TYPE:Internal.ClassAbility		VISIBLE:NO																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
# All Martial Weapon Proficiencies	CATEGORY:Special Ability	TYPE:Internal.ClassAbility		VISIBLE:NO		SERVESAS:FEAT|Martial Weapon Proficiency																																																																												AUTO:WEAPONPROF|TYPE=Martial																																																																																																																																																																																																																																																																																																																																																																																																							
# Martial Weapon Proficiency		KEY:Martial Weapon Proficiency Output		CATEGORY:FEAT			TYPE:Internal				VISIBLE:EXPORT																																																								DESC:You understand how to use all types of martial weapons in combat.																																																																																																																																																																																																																																																																																																																																																																																																																						
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
##Companion Support																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
CATEGORY=Internal|Animal Companion (Base).MOD	BONUS:VAR|CompanionDetermination|1|PREABILITY:1,CATEGORY=Special Ability,TYPE.RangerAnimalCompanion|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DruidAnimalCompanion																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
CATEGORY=Internal|Animal Companion (Base).MOD	ABILITY:Animal Companion Selection|AUTOMATIC|Standard Selection ~ Animal Companion (Druid)|PREVAREQ:CompanionDetermination,0|!PREABILITY:1,CATEGORY=Internal,TYPE.AnimalCompanionAlternate																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
CATEGORY=Internal|Animal Companion (Base).MOD	ABILITY:Animal Companion Selection|AUTOMATIC|Standard Selection ~ Animal Companion (Ranger)|PREVAREQ:CompanionDetermination,1|!PREABILITY:1,CATEGORY=Internal,TYPE.AnimalCompanionAlternate																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Animal Companion (Default Druid)	CATEGORY:Internal	TYPE:AnimalCompanionSelection.AnimalCompanionBase		KEY:Standard Selection ~ Animal Companion (Druid)	!PREABILITY:1,CATEGORY=Internal,TYPE.AnimalCompanionAlternate	COMPANIONLIST:Animal Companion|Companion ~ Animal (Badger),Companion ~ Animal (Camel),Companion ~ Dire Animal (Dire Rat),Companion ~ Animal (Dog),Companion ~ Animal (Dog (Riding)),Companion ~ Animal (Eagle),Companion ~ Animal (Hawk),Companion ~ Animal (Horse (Heavy)),Companion ~ Animal (Horse (Light)),Companion ~ Animal (Owl),Companion ~ Animal (Pony),Companion ~ Animal (Porpoise),Companion ~ Animal (Shark (Medium)),Companion ~ Animal (Snake (Viper/Medium)),Companion ~ Animal (Snake (Viper/Small)),Companion ~ Animal (Squid),RACESUBTYPE=AnimalCompanion	COMPANIONLIST:Animal Companion|Companion ~ Animal (Ape),Companion ~ Animal (Bear/Black),Companion ~ Animal (Bison),Companion ~ Animal (Boar),Companion ~ Animal (Cheetah),Companion ~ Animal (Crocodile),Companion ~ Dire Animal (Dire Badger),Companion ~ Dire Animal (Dire Bat),Companion ~ Animal (Leopard),Companion ~ Animal (Lizard (Monitor)),Companion ~ Animal (Shark (Large)),Companion ~ Animal (Snake (Constrictor)),Companion ~ Animal (Snake (Viper/Large)),Companion ~ Animal (Wolverine)|FOLLOWERADJUSTMENT:-3	COMPANIONLIST:Animal Companion|Companion ~ Animal (Bear/Brown),Companion ~ Animal (Crocodile (Giant)),Companion ~ Animal (Lion),Companion ~ Animal (Rhinoceros),Companion ~ Animal (Snake (Viper/Huge)),Companion ~ Animal (Tiger),Companion ~ Dire Animal (Dire Ape),Companion ~ Dire Animal (Dire Boar),Companion ~ Dire Animal (Dire Wolf),Companion ~ Dire Animal (Dire Wolverine),Companion ~ Dinosaur (Elasmosaurus)|FOLLOWERADJUSTMENT:-6	COMPANIONLIST:Animal Companion|Companion ~ Animal (Bear/Polar),Companion ~ Animal (Shark (Huge)),Companion ~ Animal (Snake (Constrictor/Giant)),Companion ~ Animal (Whale (Orca)),Companion ~ Dire Animal (Dire Lion),Companion ~ Dinosaur (Megaraptor)|FOLLOWERADJUSTMENT:-9	COMPANIONLIST:Animal Companion|Companion ~ Dire Animal (Dire Bear),Companion ~ Animal (Elephant),Companion ~ Animal (Octopus (Giant))|FOLLOWERADJUSTMENT:-12	COMPANIONLIST:Animal Companion|Companion ~ Dire Animal (Dire Shark),Companion ~ Dire Animal (Dire Tiger),Companion ~ Animal (Squid (Giant)),Companion ~ Dinosaur (Triceratops),Companion ~ Dinosaur (Tyrannosaurus)|FOLLOWERADJUSTMENT:-15	COST:0																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Animal Companion (Default Ranger)	CATEGORY:Internal	TYPE:AnimalCompanionSelection.AnimalCompanionBase		KEY:Standard Selection ~ Animal Companion (Ranger)	!PREABILITY:1,CATEGORY=Internal,TYPE.AnimalCompanionAlternate	COMPANIONLIST:Animal Companion|Companion ~ Animal (Badger),Companion ~ Animal (Camel),Companion ~ Dire Animal (Dire Rat),Companion ~ Animal (Dog),Companion ~ Animal (Dog (Riding)),Companion ~ Animal (Eagle),Companion ~ Animal (Hawk),Companion ~ Animal (Horse (Heavy)),Companion ~ Animal (Horse (Light)),Companion ~ Animal (Owl),Companion ~ Animal (Pony),Companion ~ Animal (Porpoise),Companion ~ Animal (Shark (Medium)),Companion ~ Animal (Snake (Viper/Medium)),Companion ~ Animal (Snake (Viper/Small)),Companion ~ Animal (Squid),RACESUBTYPE=AnimalCompanion	COMPANIONLIST:Animal Companion|Companion ~ Animal (Ape),Companion ~ Animal (Bear/Black),Companion ~ Animal (Bison),Companion ~ Animal (Boar),Companion ~ Animal (Cheetah),Companion ~ Animal (Crocodile),Companion ~ Dire Animal (Dire Badger),Companion ~ Dire Animal (Dire Bat),Companion ~ Animal (Leopard),Companion ~ Animal (Lizard (Monitor)),Companion ~ Animal (Shark (Large)),Companion ~ Animal (Snake (Constrictor)),Companion ~ Animal (Snake (Viper/Large)),Companion ~ Animal (Wolverine)|FOLLOWERADJUSTMENT:-3	COMPANIONLIST:Animal Companion|Companion ~ Animal (Bear/Brown),Companion ~ Animal (Crocodile (Giant)),Companion ~ Animal (Lion),Companion ~ Animal (Rhinoceros),Companion ~ Animal (Snake (Viper/Huge)),Companion ~ Animal (Tiger),Companion ~ Dire Animal (Dire Ape),Companion ~ Dire Animal (Dire Boar),Companion ~ Dire Animal (Dire Wolf),Companion ~ Dire Animal (Dire Wolverine),Companion ~ Dinosaur (Elasmosaurus)|FOLLOWERADJUSTMENT:-6	COMPANIONLIST:Animal Companion|Companion ~ Animal (Bear/Polar),Companion ~ Animal (Shark (Huge)),Companion ~ Animal (Snake (Constrictor/Giant)),Companion ~ Animal (Whale (Orca)),Companion ~ Dire Animal (Dire Lion),Companion ~ Dinosaur (Megaraptor)|FOLLOWERADJUSTMENT:-9	COMPANIONLIST:Animal Companion|Companion ~ Dire Animal (Dire Bear),Companion ~ Animal (Elephant),Companion ~ Animal (Octopus (Giant))|FOLLOWERADJUSTMENT:-12	COMPANIONLIST:Animal Companion|Companion ~ Dire Animal (Dire Shark),Companion ~ Dire Animal (Dire Tiger),Companion ~ Animal (Squid (Giant)),Companion ~ Dinosaur (Triceratops),Companion ~ Dinosaur (Tyrannosaurus)|FOLLOWERADJUSTMENT:-15	COST:0																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
