SOURCELONG:Gozzilioni Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																								
#																																											
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page	
Exotic Weapon Proficiency	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:1																				DESC:Choose a type of exotic weapon. You understand how to use that type of exotic weapon in combat.	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|ANY[TYPE=Exotic]			AUTO:WEAPONPROF|%LIST											SOURCEPAGE:PHB	
Extend Spell	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:An extended spell lasts twice as long as normal. A spell with a duration of concentration, instantaneous, or permanent is not affected by this feat. An extended spell uses up a spell slot one level higher than the spell’s actual level.							ADDSPELLLEVEL:1										SOURCEPAGE:PHB	
Extra Turning	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Turn Undead,Rebuke Undead																	DEFINE:ExtraTurningTimes|0	DESC:Each time you take this feat, you can use your ability to turn or rebuke creatures four more times per day than normal. If you have the ability to turn or rebuke more than one kind of creature (such as a good-aligned cleric with access to the Fire domain, who can turn undead and water creatures and can also rebuke fire creatures), each of your turning or rebuking abilities gains four additional uses per day. 	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|ExtraTurningTimes|4			SOURCEPAGE:PHB	BONUS:VAR|TurnTimesBase|ExtraTurningTimes|TYPE=ExtraTurning
#																																										SOURCEPAGE:PHB	
#																																										SOURCEPAGE:PHB	
#																																										SOURCEPAGE:PHB	
#																																										SOURCEPAGE:PHB	
#																																										SOURCEPAGE:PHB	
#																																										SOURCEPAGE:PHB	
																																											
Simple Weapon Proficiency	CATEGORY:FEAT	TYPE:General	DESC:You make attack rolls with simple weapons normally.			AUTO:WEAPONPROF|TYPE=Simple																																					
Martial Weapon Proficiency	CATEGORY:FEAT	TYPE:General	DESC:Choose a type of martial weapon. You understand how to use that type of martial weapon in combat.	MULT:YES	CHOOSE:WEAPONPROFICIENCY|!PC[TYPE=Martial]	AUTO:WEAPONPROF|%LIST																																					
Shield Proficiency	CATEGORY:FEAT	TYPE:General	DESC:You can use a shield and take only the standard penalties.			AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Heavy|SHIELDTYPE=Light	AUTO:WEAPONPROF|Shieldbash (Light)|Shieldbash (Heavy)																																				
Tower Shield Proficiency	CATEGORY:FEAT	TYPE:General	DESC:You can use a tower shield and suffer only the standard penalties.			AUTO:SHIELDPROF|SHIELDTYPE=Tower	PREMULT:1,[PREPROFWITHSHIELD:3,TYPE.Buckler,TYPE.Light,TYPE.Heavy],[PREABILITY:1,CATEGORY=FEAT,Shield Proficiency]																																				
																																											
																																											
																																											
																																											
#																																											
Improved Grapple	CATEGORY:Special Ability	TYPE:MonkBonusFeatLVL1	VISIBLE:DISPLAY		KEY:Monk ~ Improved Grapple																		ABILITY:FEAT|AUTOMATIC|Improved Grapple								SORTKEY:Class_Monk	SOURCEPAGE:PHB											
Stunning Fist	CATEGORY:Special Ability	TYPE:MonkBonusFeatLVL1	VISIBLE:DISPLAY		KEY:Monk ~ Stunning Fist																		ABILITY:FEAT|AUTOMATIC|Stunning Fist								SORTKEY:Class_Monk	SOURCEPAGE:PHB											
Combat Reflexes	CATEGORY:Special Ability	TYPE:MonkBonusFeatLVL2	VISIBLE:DISPLAY		KEY:Monk ~ Combat Reflexes																		ABILITY:FEAT|AUTOMATIC|Combat Reflexes								SORTKEY:Class_Monk	SOURCEPAGE:PHB											
Deflect Arrows	CATEGORY:Special Ability	TYPE:MonkBonusFeatLVL2	VISIBLE:DISPLAY		KEY:Monk ~ Deflect Arrows																		ABILITY:FEAT|AUTOMATIC|Deflect Arrows								SORTKEY:Class_Monk	SOURCEPAGE:PHB											
Improved Disarm	CATEGORY:Special Ability	TYPE:MonkBonusFeatLVL6	VISIBLE:DISPLAY		KEY:Monk ~ Improved Disarm																		ABILITY:FEAT|AUTOMATIC|Improved Disarm								SORTKEY:Class_Monk	SOURCEPAGE:PHB											
Improved Trip	CATEGORY:Special Ability	TYPE:MonkBonusFeatLVL6	VISIBLE:DISPLAY		KEY:Monk ~ Improved Trip																		ABILITY:FEAT|AUTOMATIC|Improved Trip								SORTKEY:Class_Monk	SOURCEPAGE:PHB											
