SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																				
#																																							
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus														
Animate Rope				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=1|Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One ropelike object, length up to 50 ft + 5 ft/level; see text	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You can animate a nonliving ropelike object, such as string, yarn, cord, line, rope, or even a cable.	SOURCEPAGE:PHB						TEMPDESC:Grants USe Rope bonus when using animated rope.	TEMPBONUS:ANYPC|SKILL|Use Rope|2|TYPE=Temporary															
Antilife Shell				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=6|Druid=6	COMPS:V, S, DF	CASTTIME:1 round	RANGE:10-ft.	TARGETAREA:10-ft-radius emanation, centered on you.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:You bring into being a mobile, hemispherical energy field that prevents the entrance of most types of living creatures.	SOURCEPAGE:PHB																						
Antimagic Field				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=8|Sorcerer=6|Wizard=6	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:10-ft.	TARGETAREA:10-ft-radius emanation, centered on you.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:See text	DESC:An invisible barrier surrounds you and moves with you. Arcane Material Component: A pinch of powdered iron or iron filings.	SOURCEPAGE:PHB																						
Antipathy				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Druid=9|Sorcerer=8|Wizard=8	COMPS:V, S, M/DF	CASTTIME:1 hour	RANGE:Close	TARGETAREA:One location (up to a 10-ft cube/level) or one object	DURATION:2 hours/level	SAVEINFO:Will partial	SPELLRES:Yes	DESC:You cause an object or location to emanate magical vibrations that repel either a specific kind of intelligent creature or creatures of a particular alignment, as defined by you. Arcane Material Component: A lump of alum soaked in vinegar.	SOURCEPAGE:PHB		COST:1500				TEMPDESC:Applies DEX penalty to those staying with antipathy's effect	TEMPBONUS:ANYPC|STAT|DEX|-4|TYPE=Temporary															
Antiplant Shell				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Druid=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:10-ft.	TARGETAREA:10-ft-radius emanation, centered on you.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:The antiplant shell spell creates an invisible, mobile barrier that keeps all creatures within the shell protected from attacks by plant creatures or animated plants.	SOURCEPAGE:PHB																						
Arcane Eye				TYPE:Spell	SCHOOL:Divination	SUBSCHOOL:Scrying		CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Unlimited	TARGETAREA:Magical sensor.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You create an invisible magical sensor that sends you visual information. Material Component: A bit of bat fur.	SOURCEPAGE:PHB																						
Arcane Lock				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:The door, chest, or portal touched, up to 30 sq.ft/level in size	DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:An arcane lock spell cast upon a door, chest, or portal magically locks it. Material Component: Gold dust worth 25 gp.	SOURCEPAGE:PHB		COST:25																				
Arcane Mark				TYPE:Spell.WizardBaseCantrip	SCHOOL:Universal			CLASSES:Sorcerer=0|Wizard=0	COMPS:V, S	CASTTIME:1 standard action	RANGE:0-ft.	TARGETAREA:One personal rune or mark, all of which must fit within 1 sq.ft.	DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:This spell allows you to inscribe your personal rune or mark, which can consist of no more than six characters.	SOURCEPAGE:PHB																						
Arcane Sight				TYPE:Spell	SCHOOL:Divination			CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:This spell makes your eyes glow blue and allows you to see magical auras within 120 feet of you.	SOURCEPAGE:PHB																						
Arcane Sight (Greater)	OUTPUTNAME:Arcane Sight, Greater			TYPE:Spell	SCHOOL:Divination			CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions like arcane sight, except that you automatically know which spells or magical effects are active upon any individual or object you see.	SOURCEPAGE:PHB																						
Astral Projection				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Cleric=9|Sorcerer=9|Wizard=9	COMPS:V, S, M	CASTTIME:30 minutes	RANGE:Touch	TARGETAREA:You plus one additional willing creature touched per two caster levels.	DURATION:See text	SAVEINFO:None	SPELLRES:Yes	DESC:By freeing your spirit from your physical body, this spell allows you to project an astral body onto another plane altogether. Material Component: A jacinth worth at least 1,000 gp, plus a silver bar worth 5 gp for each person to be affected.	SOURCEPAGE:PHB		COST:1005																				
Atonement				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=5|Druid=5	COMPS:V, S, M, F, DF, XP	CASTTIME:1 hour	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:This spell removes the burden of evil acts or misdeeds from the subject. XP Cost: 500 XP. Material Component: Burning incense. Focus: In addition to your holy symbol or normal divine focus, you need a set of prayer beads (or other prayer device, such as a prayer wheel or prayer book) worth at least 500 gp.	SOURCEPAGE:PHB		COST:500	XPCOST:500																			
Augury				TYPE:Spell	SCHOOL:Divination			CLASSES:Cleric=2	COMPS:V, S, M, F	CASTTIME:1 minute	RANGE:Personal	TARGETAREA:You.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:An augury can tell you whether a particular action will bring good or bad results for you in the immediate future. Material Component: Incense worth at least 25 gp. Focus: A set of marked sticks, bones, or similar tokens of at least 25 gp value.	SOURCEPAGE:PHB		COST:50																				
Awaken				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=5	COMPS:V, S, DF, XP	CASTTIME:24 hours	RANGE:Touch	TARGETAREA:Animal or tree touched.	DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You awaken a tree or animal to humanlike sentience. XP Cost: 250 XP.	SOURCEPAGE:PHB			XPCOST:250																			
Baleful Polymorph				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=5|Sorcerer=5|Wizard=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:Permanent	SAVEINFO:Fortitude negates; Will partial; see text	SPELLRES:Yes	DESC:You change the subject into a Small or smaller animal of no more than 1 HD (such as a dog, lizard, monkey, or toad).	SOURCEPAGE:PHB																						
Bane				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Fear|Mind-Affecting	CLASSES:Cleric=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:50-ft.	TARGETAREA:All enemies within 50 ft.	DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Bane fills your enemies with fear and doubt.	SOURCEPAGE:PHB						TEMPDESC:Applies attack penalty	TEMPBONUS:ANYPC|COMBAT|TOHIT|-1|TYPE=Temporary															
Banishment				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=6|Sorcerer=7|Wizard=7	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One or more extraplanar creatures, no two of which can be more than 30 ft apart.	DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:A banishment spell is a more powerful version of the dismissal spell (%1 HD). Arcane Focus: Any item that is distasteful to the subject (optional, see above).|CASTERLEVEL*2	SOURCEPAGE:PHB																						
Barkskin				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=2|Ranger=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:10 minutes/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Barkskin toughens a creature's skin. The effect grants a +2 enhancement bonus to the creature's existing natural armor bonus.	SOURCEPAGE:PHB						TEMPDESC:Grants natural armor bonus based on caster level.	TEMPBONUS:ANYPC|COMBAT|AC|min(max(%CHOICE/3+1,2),5)|TYPE=NaturalArmorEnhancement	TEMPVALUE:MIN=1|MAX=20|TITLE=Choose Choose caster level														
Bear's Endurance				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=2|Druid=2|Ranger=2|Sorcerer=2|Wizard=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The affected creature gains greater vitality and stamina.	SOURCEPAGE:PHB						TEMPDESC:Grants Con bonus.	TEMPBONUS:ANYPC|STAT|CON|4|TYPE=Enhancement															
Bear's Endurance (Mass)	OUTPUTNAME:Bear's Endurance, Mass			TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=6|Druid=6|Sorcerer=6|Wizard=6	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of which can be more than 30 ft apart.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Mass bear's endurance works like bear's endurance, except that it affects multiple creatures.	SOURCEPAGE:PHB						TEMPDESC:Grants Con bonus.	TEMPBONUS:ANYPC|STAT|CON|4|TYPE=Enhancement															
Bestow Curse				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Cleric=3|Sorcerer=4|Wizard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You place a curse on the subject.	SOURCEPAGE:PHB																						
Bigby's Clenched Fist				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S, F/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10-ft hand.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:This spell functions like Bigby's interposing hand, except that the hand can interpose itself, push, or strike one opponent that you select. Arcane Focus: A leather glove.	SOURCEPAGE:PHB																						
Bigby's Crushing Hand				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Sorcerer=9|Wizard=9	COMPS:V, S, M, F/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10-ft hand.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:This spell functions like Bigby's interposing hand, except that the hand can interpose itself, push, or crush one opponent that you select. Arcane Material Component: The shell of an egg. Arcane Focus: A glove of snakeskin.	SOURCEPAGE:PHB																						
Bigby's Forceful Hand				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10-ft hand.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:This spell functions like Bigby's interposing hand, except that the forceful hand pursues and pushes away the opponent that you designate. Focus: A sturdy glove made of leather or heavy cloth.	SOURCEPAGE:PHB																						
Bigby's Grasping Hand				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, F/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10-ft hand.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:This spell functions like Bigby's interposing hand, except the hand can also grapple one opponent that you select. Arcane Focus: A leather glove.	SOURCEPAGE:PHB																						
Bigby's Interposing Hand				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10-ft hand.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Bigby's Interposing hand creates a Large magic hand that appears between you and one opponent. Focus: A soft glove.	SOURCEPAGE:PHB																						
Binding			VARIANTS:Chaining|Slumber|Bound Slumber|Hedged Prison|Metamorphosis|Minimum Containment	TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Close	TARGETAREA:One living creature.	DURATION:See text	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:A binding spell creates a magical restraint to hold a creature. Components: The components for a binding spell vary according to the version of the spell, but they always include a continuous chanting utterance read from the scroll or spellbook page containing the spell, somatic gestures, and materials appropriate to the form of binding used. These components can include such items as miniature chains of special metals (silver for lycanthropes, cold iron for demons, and so forth), soporific herbs of the rarest sort (for slumber bindings), a bell jar of the finest crystal, and the like. In addition to the specially made props suited to the specific type of binding (cost 500 gp), the spell requires opals worth at least 500 gp for each HD of the target and a vellum depiction or carved statuette of the subject to be captured.	SOURCEPAGE:PHB		COST:500																				
Blade Barrier				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Cleric=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Wall of whirling blades up to 20 ft. long/ level, or a ringed wall of whirling blades with a radius of up to 5 ft. per two levels; either form 20 ft. High	DURATION:1 minute/level	SAVEINFO:Reflex half or Reflex negates; see text	SPELLRES:Yes	DESC:An immobile, vertical curtain of whirling blades shaped of pure force springs into existence.	SOURCEPAGE:PHB																						
Blasphemy				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Evil|Sonic	CLASSES:Cleric=7	COMPS:V	CASTTIME:1 standard action	RANGE:40-ft.	TARGETAREA:Nonevil creatures in a 40-ft-radius spread centered on you.	DURATION:Instantaneous	SAVEINFO:None or Will negates; see text	SPELLRES:Yes	DESC:Any nonevil creature within the area of a blasphemy spell suffers ill effects.	SOURCEPAGE:PHB																						
Bless				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Cleric=1|Paladin=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:50-ft.	TARGETAREA:The caster and all allies within 50-ft burst, centered on the caster.	DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Bless fills your allies with courage.	SOURCEPAGE:PHB																						
Bless Water				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Cleric=1|Paladin=1	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Flask of water touched.	DURATION:Instantaneous	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:This transmutation imbues a flask (1 pint) of water with positive energy, turning it into holy water (page 128). Material Component: 5 pounds of powdered silver (worth 25 gp).	SOURCEPAGE:PHB		COST:25																				
Bless Weapon				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Paladin=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:This transmutation makes a weapon strike true against evil foes.	SOURCEPAGE:PHB																						
Blight				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Druid=4|Sorcerer=5|Wizard=5	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Single plant.	DURATION:Instantaneous	SAVEINFO:Fortitude half; see text	SPELLRES:Yes	DESC:This spell withers a single plant of any size.	SOURCEPAGE:PHB																						
Blindness/Deafness				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Bard=2|Cleric=3|Sorcerer=2|Wizard=2	COMPS:V	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature.	DURATION:Permanent	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You call upon the powers of unlife to render the subject blinded or deafened, as you choose.	SOURCEPAGE:PHB																						
Blink				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=3|Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Like a blink dog (see the Monster Manual), you "blink" back and forth between the Material Plane and the Ethereal Plane.	SOURCEPAGE:PHB																						
Blur				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Bard=2|Sorcerer=2|Wizard=2	COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The subject's outline appears blurred, shifting and wavering.	SOURCEPAGE:PHB																						
Break Enchantment				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Bard=4|Cleric=5|Paladin=4|Sorcerer=5|Wizard=5	COMPS:V, S	CASTTIME:1 minute	RANGE:Close	TARGETAREA:Up to one creature per level, all within 30-ft of each other.	DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:No	DESC:This spell frees victims from enchantments, transmutations, and curses.	SOURCEPAGE:PHB																						
Bull's Strength				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=2|Druid=2|Paladin=2|Sorcerer=2|Wizard=2	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The subject becomes stronger. Arcane Material Component: A few hairs, or a pinch of dung, from a bull.	SOURCEPAGE:PHB						TEMPDESC:Grants Str bonus.	TEMPBONUS:ANYPC|STAT|STR|4|TYPE=Enhancement															
Bull's Strength (Mass)	OUTPUTNAME:Bull's Strength, Mass			TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=6|Druid=6|Sorcerer=6|Wizard=6	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of which can be more than 30 ft apart.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:This spell functions like bull's strength, except that it affects multiple creatures.	SOURCEPAGE:PHB						TEMPDESC:Grants Str bonus.	TEMPBONUS:ANYPC|STAT|STR|4|TYPE=Enhancement															
Burning Hands				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Fire	CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:15-ft.	TARGETAREA:Cone-shaped burst.	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:A cone of searing flame shoots from your fingertips.	SOURCEPAGE:PHB																						
Call Lightning				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Electricity	CLASSES:Druid=3	COMPS:V, S	CASTTIME:1 round	RANGE:Medium	TARGETAREA:One or more 30-ft-long vertical lines of lightning.	DURATION:1 minute/level	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Immediately upon completion of the spell, and once per round thereafter, you may call down a 5-foot-wide, 30-foot-long, vertical bolt of lightning that deals 3d6 points of electricity damage.	SOURCEPAGE:PHB																						
