SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07
																																		
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Bardic Music	CATEGORY:Special Ability	TYPE:ClassFeatures.BardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Once per day per bard level, a bard can use his song or poetics to produce magical effects on those around him (usually including himself, if desired). While these abilities fall under the category of bardic music and the descriptions discuss singing or playing instruments, they can all be activated by reciting poetry, chanting, singing lyrical songs, singing melodies (fa-la-la, and so forth), whistling, playing an instrument, or playing an instrument in combination with some spoken performance. Each ability requires both a minimum bard level and a minimum number of ranks in the Perform skill to qualify if a bard does not have the required number of ranks in at least one Perform skill, he does not gain the bardic music ability until he acquires the needed ranks.	KEY:Bard ~ Bardic Music				DEFINE:BardicMusicLVL|0	DEFINE:BardicMusicTimes|0	DEFINE:InspireDurationBase|0			BONUS:VAR|BardicMusicLVL|BardLVL	BONUS:VAR|BardicMusicTimes|BardicMusicLVL	BONUS:VAR|InspireDurationBase|5							ABILITY:Bard Class Feature|AUTOMATIC|Bardic Music ~ Countersong|PRESKILL:1,TYPE.Perform=3	ABILITY:Bard Class Feature|AUTOMATIC|Bardic Music ~ Fascinate|PRESKILL:1,TYPE.Perform=3	ABILITY:Bard Class Feature|AUTOMATIC|Bardic Music ~ Inspire Courage|PRESKILL:1,TYPE.Perform=3	ABILITY:Bard Class Feature|AUTOMATIC|Bardic Music ~ Inspire Competence|PRESKILL:1,TYPE.Perform=6|PREVARGTEQ:BardicMusicLVL,3	ABILITY:Bard Class Feature|AUTOMATIC|Bardic Music ~ Suggestion|PRESKILL:1,TYPE.Perform=9|PREVARGTEQ:BardicMusicLVL,6	ABILITY:Bard Class Feature|AUTOMATIC|Bardic Music ~ Inspire Greatness|PRESKILL:1,TYPE.Perform=12|PREVARGTEQ:BardicMusicLVL,9	ABILITY:Bard Class Feature|AUTOMATIC|Bardic Music ~ Song of Freedom|PRESKILL:1,TYPE.Perform=15|PREVARGTEQ:BardicMusicLVL,12	ABILITY:Bard Class Feature|AUTOMATIC|Bardic Music ~ Inspire Heroics|PRESKILL:1,TYPE.Perform=18|PREVARGTEQ:BardicMusicLVL,15	SORTKEY:Class_Bard	SOURCEPAGE:PHB	ABILITY:Bard Class Feature|AUTOMATIC|Bardic Music ~ Mass Suggestion|PRESKILL:1,TYPE.Perform=21|PREVARGTEQ:BardicMusicLVL,18	
Countersong	CATEGORY:Special Ability	TYPE:ClassFeatures.BardClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A bard with 3 or more ranks in a Perform skill can use his music or poetics to counter magical effects that depend on sound (but not spells that simply have verbal components). Each round of the countersong, he makes a Perform check. Any creature within 30 feet of the bard (including the bard himself ) that is affected by a sonic or language-dependent magical attack may use the Bard's Perform check result in place of its saving throw if, after the saving throw is rolled, the Perform check result proves to be higher. If a creature within range of the countersong is already under the effect of a noninstantaneous sonic or language-dependent magical attack, it gains another saving throw against the effect each round it hears the countersong, but it must use the Bard's Perform check result for the save. Countersong has no effect against effects that don't allow saves. The bard may keep up the countersong for 10 rounds.	KEY:Bardic Music ~ Countersong																										SORTKEY:Class_Bard	SOURCEPAGE:PHB		
Fascinate	CATEGORY:Special Ability	TYPE:ClassFeatures.BardClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A bard with 3 or more ranks in a Perform skill can use his music or poetics to cause one or more creatures to become fascinated with him. Each creature to be fascinated must be within 90 feet, able to see and hear the Bard, and able to pay attention to him. The bard must also be able to see the creature. The distraction of a nearby combat or other dangers prevents the ability from working. For every three levels a bard attains beyond 1st, he can target one additional creature with a single use of this ability. To use the ability, a bard makes a Perform check. His check result is the DC for each affected creature's Will save against the effect. If a creature's saving throw succeeds, the bard cannot attempt to fascinate that creature again for 24 hours. If its saving throw fails, the creature sits quietly and listens to the song, taking no other actions, for as long as the bard continues to play and concentrate (up to a maximum of 1 round per bard level). While fascinated, a target takes a -4 penalty on skill checks made as reactions, such as Listen and Spot checks. Any potential threat requires the bard to make another Perform check and allows the creature a new saving throw against a DC equal to the new Perform check result. Any obvious threat, such as someone drawing a weapon, casting a spell, or aiming a ranged weapon at the target, automatically breaks the effect. Fascinate is an enchantment (compulsion), mind-affecting ability.	KEY:Bardic Music ~ Fascinate																										SORTKEY:Class_Bard	SOURCEPAGE:PHB		
Inspire Courage	CATEGORY:Special Ability	TYPE:ClassFeatures.BardClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A bard with 3 or more ranks in a Perform skill can use song or poetics to inspire courage in his allies (including himself ), bolstering them against fear and improving their combat abilities. To be affected, an ally must be able to hear the bard sing. The effect lasts for as long as the ally hears the bard sing and for 5 rounds thereafter. An affected ally receives a +%1 morale bonus on saving throws against charm and fear effects and a +%1 morale bonus on attack and weapon damage rolls. At 8th level, and every six bard levels thereafter, this bonus increases by 1 (+2 at 8th, +3 at 14th, and +4 at 20th). Inspire courage is a mind-affecting ability.|InspireCourageBonus	KEY:Bardic Music ~ Inspire Courage				DEFINE:InspireCourageBonus|0					BONUS:VAR|InspireCourageBonus|1	BONUS:VAR|InspireCourageBonus|1|PREVARGTEQ:BardLVL,7	BONUS:VAR|InspireCourageBonus|1|PREVARGTEQ:BardLVL,13	BONUS:VAR|InspireCourageBonus|1|PREVARGTEQ:BardLVL,19														SORTKEY:Class_Bard	SOURCEPAGE:PHB		
Inspire Competence	CATEGORY:Special Ability	TYPE:ClassFeatures.BardClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A bard of 3rd level or higher with 6 or more ranks in a Perform skill can use his music or poetics to help an ally succeed at a task. The ally must be within 30 feet and able to see and hear the Bard. The bard must also be able to see the ally. The ally gets a +2 competence bonus on skill checks with a particular skill as long as he or she continues to hear the Bard's music. Certain uses of this ability are infeasible. The effect lasts as long as the bard concentrates, up to a maximum of 2 minutes. A bard can't inspire competence in himself. Inspire competence is a mind-affecting ability.	KEY:Bardic Music ~ Inspire Competence																										SORTKEY:Class_Bard	SOURCEPAGE:PHB		
Suggestion	CATEGORY:Special Ability	TYPE:ClassFeatures.BardClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A bard of 6th level or higher with 9 or more ranks in a Perform skill can make a suggestion (as the spell) to a creature that he has already fascinated (see above). Using this ability does not break the Bard's concentration on the fascinate effect, nor does it allow a second saving throw against the fascinate effect. Making a suggestion doesn't count against a Bard's daily limit on Bardic music performances. A Will saving throw (DC 10 + 1/2 Bard's level + Bard's Cha modifier) negates the effect. This ability affects only a single creature (but see mass suggestion, below). Suggestion is an enchantment (compulsion), mind-affecting, language dependent ability.	KEY:Bardic Music ~ Suggestion																										SORTKEY:Class_Bard	SOURCEPAGE:PHB		
Inspire Greatness	CATEGORY:Special Ability	TYPE:ClassFeatures.BardClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A bard of 9th level or higher with 12 or more ranks in a Perform skill can use music or poetics to inspire greatness in himself or a single willing ally within 30 feet, granting him or her extra fighting capability. For every three levels a bard attains beyond 9th, he can target one additional ally with a single use of this ability (two at 12th level, three at 15th, four at 18th). To inspire greatness, a bard must sing and an ally must hear him sing. The effect lasts for as long as the ally hears the bard sing and for 5 rounds thereafter. A creature inspired with greatness gains 2 bonus Hit Dice (d10s), the commensurate number of temporary hit points (apply the target's Constitution modifier, if any, to these bonus Hit Dice), a +2 competence bonus on attack rolls, and a +1 competence bonus on Fortitude saves. The bonus Hit Dice count as regular Hit Dice for determining the effect of spells that are Hit Dice dependant. Inspire greatness is a mind-affecting ability.	KEY:Bardic Music ~ Inspire Greatness																										SORTKEY:Class_Bard	SOURCEPAGE:PHB		
Song of Freedom	CATEGORY:Special Ability	TYPE:ClassFeatures.BardClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A bard of 12th level or higher with 15 or more ranks in a Perform skill can use music or poetics to create an effect equivalent to the break enchantment spell (caster level equals the character's bard level). Using this ability requires 1 minute of uninterrupted concentration and music, and it functions on a single target within 30 feet. A bard can't use song of freedom on himself.	KEY:Bardic Music ~ Song of Freedom																										SORTKEY:Class_Bard	SOURCEPAGE:PHB		
Inspire Heroics	CATEGORY:Special Ability	TYPE:ClassFeatures.BardClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A bard of 15th level or higher with 18 or more ranks in a Perform skill can use music or poetics to inspire tremendous heroism in himself or a single willing ally within 30 feet. For every three bard levels the character attains beyond 15th, he can inspire heroics in one additional creature. To inspire heroics, a bard must sing and an ally must hear the bard sing for a full round. A creature so inspired gains a +4 morale bonus on saving throws and a +4 dodge bonus to AC. The effect lasts for as long as the ally hears the bard sing and for up to 5 rounds thereafter. Inspire heroics is a mind-affecting ability.	KEY:Bardic Music ~ Inspire Heroics																										SORTKEY:Class_Bard	SOURCEPAGE:PHB		
Mass Suggestion	CATEGORY:Special Ability	TYPE:ClassFeatures.BardClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:This ability functions like suggestion, above, except that a bard of 18th level or higher with 21 or more ranks in a Perform skill can make the suggestion simultaneously to any number of creatures that he has already fascinated (see above). Mass suggestion is an enchantment (compulsion), mind-affecting, language-dependent ability.	KEY:Bardic Music ~ Mass Suggestion																										SORTKEY:Class_Bard	SOURCEPAGE:PHB		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ClericClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Clerics are proficient with all simple weapons, with all types of armor (light, medium, and heavy), and with shields (except tower shields). Every deity has a favored weapon (see Deities, page 106), and his or her clerics consider it a point of pride to wield that weapon. A cleric who chooses the War domain receives the Weapon Focus feat related to that weapon as a bonus feat. He also receives the appropriate Martial Weapon Proficiency feat as a bonus feat, if the weapon falls into that category. See Chapter 5: Feats for details.	KEY:Cleric ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple|TYPE=WeaponProfCleric	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Cleric	SOURCEPAGE:PHB		
Aura	CATEGORY:Special Ability	TYPE:ClassFeatures.ClericClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A cleric of a chaotic, evil, good, or lawful deity has a particularly powerful aura corresponding to the deity's alignment (see the detect evil spell for details). Clerics who don't worship a specific deity but choose the Chaotic, Evil, Good, or Lawful domain have a similarly powerful aura of the corresponding alignment.	KEY:Cleric ~ Aura				DEFINE:AlignmentAura|0					BONUS:VAR|AlignmentAura|ClericLVL									ABILITY:Special Ability|VIRTUAL|Aura of Chaos|PREDEITYALIGN:CG,CN,CE	ABILITY:Special Ability|VIRTUAL|Aura of Evil|PREDEITYALIGN:LE,NE,CE	ABILITY:Special Ability|VIRTUAL|Aura of Good|PREDEITYALIGN:LG,NG,CG	ABILITY:Special Ability|VIRTUAL|Aura of Law|PREDEITYALIGN:LG,LN,LE					SORTKEY:Class_Cleric	SOURCEPAGE:PHB		
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.ClericClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A cleric casts divine spells (the same type of spells available to the druid, paladin, and ranger), which are drawn from the cleric spell list (page 183). However, his alignment may restrict him from casting certain spells opposed to his moral or ethical beliefs see Chaotic, Evil, Good, and Lawful Spells, below. A cleric must choose and prepare his spells in advance (see below). To prepare or cast a spell, a cleric must have a Wisdom score equal to at least 10 + the spell level (Wis 10 for 0-level spells, Wis 11 for 1st-level spells, and so forth). The Difficulty Class for a saving throw against a cleric's spell is 10 + the spell level + the cleric's Wisdom modifier. Like other spellcasters, a cleric can cast only a certain number of spells of each spell level per day. His base daily spell allotment is given on Table 3-7: The Cleric. In addition, he receives bonus spells per day if he has a high Wisdom score (see Table 1-1: Ability Modifiers and Bonus Spells, page 8). A cleric also gets one domain spell of each spell level he can cast, starting at 1st level. When a cleric prepares a spell in a domain spell slot, it must come from one of his two domains (see Deities, Domains, and Domain Spells, below). Clerics do not acquire their spells from books or scrolls, nor do they prepare them through study. Instead, they meditate or pray for their spells, receiving them through their own strength of faith or as divine inspiration. Each cleric must choose a time at which he must spend 1 hour each day in quiet contemplation or supplication to regain his daily allotment of spells. Typically, this hour is at dawn or noon for good clerics and at dusk or midnight for evil ones. Time spent resting has no effect on whether a cleric can prepare spells. A cleric may prepare and cast any spell on the cleric spell list (page 183), provided that he can cast spells of that level, but he must choose which spells to prepare during his daily meditation.	KEY:Cleric ~ Spells																										SORTKEY:Class_Cleric	SOURCEPAGE:PHB		
Deity - Domains and Domain Spell	CATEGORY:Special Ability	TYPE:ClassFeatures.ClericClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Choose a deity for your cleric. Sample deities are listed on Table 3-7: Deities and described on page 106-108. The cleric's deity influences his alignment, what magic he can perform, his values, and how others see him. You may also choose for your cleric to have no deity.	KEY:Cleric ~ Deity - Domains and Domain Spells	OUTPUTNAME:Deity, Domains and Domain Spells																									SORTKEY:Class_Cleric	SOURCEPAGE:PHB		
Spontaneous Casting	CATEGORY:Special Ability	TYPE:ClassFeatures.ClericClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A good cleric (or a neutral cleric of a good deity) can channel stored spell energy into healing spells that the cleric did not prepare ahead of time. The cleric can "lose" any prepared spell that is not a domain spell in order to cast any cure spell of the same spell level or lower (a cure spell is any spell with "cure" in its name). Clerics of good deities can cast cure spells in this way because they are especially proficient at wielding positive energy. An evil cleric (or a neutral cleric of an evil deity), on the other hand, can't convert prepared spells to cure spells but can convert them to inflict spells (an inflict spell is one with "inflict" in its name). A cleric who is neither good nor evil and whose deity is neither good nor evil can convert spells to either cure spells or inflict spells (player's choice), depending on whether the cleric is more proficient at wielding positive or negative energy. Once the player makes this choice, it cannot be reversed. This choice also determines whether the cleric turns or commands undead (see below). Exceptions: All lawful neutral clerics of Wee Jas (goddess of death and magic) convert prepared spells to inflict spells, not cure spells. All clerics of St. Cuthbert (god of retribution) and all nonevil clerics of Obad-Hai (god of nature) convert prepared spells to cure spells, not inflict spells.	KEY:Cleric ~ Spontaneous Casting																		ABILITY:Special Ability|VIRTUAL|Spontaneous casting ~ Cure spells|!PREABILITY:1,CATEGORY=ACF,TYPE.ClericSpontaneousCasting|PREABILITY:1,CATEGORY=Special Ability,Turn Undead	ABILITY:Special Ability|VIRTUAL|Spontaneous casting ~ Inflict spells|!PREABILITY:1,CATEGORY=ACF,TYPE.ClericSpontaneousCasting|PREABILITY:1,CATEGORY=Special Ability,Rebuke Undead							SORTKEY:Class_Cleric	SOURCEPAGE:PHB		
Turn or Rebuke Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.ClericClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Any cleric, regardless of alignment, has the power to affect undead creatures (such as skeletons, zombies, ghosts, and vampires) by channeling the power of his faith through his holy (or unholy) symbol (see Turn or Rebuke Undead, page 159).	KEY:Cleric ~ Turn or Rebuke Undead									BONUS:ABILITYPOOL|Turn Undead|1|TYPE=ClassAbility	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|ClericLVL|TYPE=Level.REPLACE								ABILITY:Special Ability|AUTOMATIC|Basic Turning								SORTKEY:Class_Cleric	SOURCEPAGE:PHB		
