SOURCELONG:Epic Level Handbook 3.0	SOURCESHORT:ELH30	SOURCEWEB:http://www.gozzilioni.net																			
#																					
#	OUTPUTNAME:	KEY:	PROFICIENCY:	TYPE:	COST:	WT:	SOURCEPAGE:	BONUS:COMBAT|AC|x|TYPE=Armor	MAXDEX:	ACCHECK:	SPELLFAILURE:	EQMOD:									
Bulwark of the Great Dragon (Copper)			PROFICIENCY:SHIELD|Shield (Heavy)	TYPE:Shield.Heavy.Specific.Nonmetal	COST:806570	WT:10	SOURCEPAGE:ELH	BONUS:COMBAT|AC|2|TYPE=Shield		ACCHECK:-2	SPELLFAILURE:15	EQMOD:DRAGONHIDE_SHLD.EQ_COST_EPADJ_S.PLUS6S	SPROP:3/day Breath Weapon line 80-ft 20d6 acid damage.	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	WIELD:OneHanded	SIZE:M	BONUS:VAR|AcidResistanceBonusSp|50|TYPE=Base	ABILITY:Special Ability|VIRTUAL|Resistance To Acid (Sp)	
Bulwark of the Great Dragon (Gold)			PROFICIENCY:SHIELD|Shield (Heavy)	TYPE:Shield.Heavy.Specific.Nonmetal	COST:806570	WT:10	SOURCEPAGE:ELH	BONUS:COMBAT|AC|2|TYPE=Shield		ACCHECK:-2	SPELLFAILURE:15	EQMOD:DRAGONHIDE_SHLD.EQ_COST_EPADJ_S.PLUS6S	SPROP:3/day Breath Weapon cone 40-ft 20d6 fire damage.	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	WIELD:OneHanded	SIZE:M	BONUS:VAR|FireResistanceBonusSp|50|TYPE=Base	ABILITY:Special Ability|VIRTUAL|Resistance To Fire (Sp)	
Bulwark of the Great Dragon (Green)			PROFICIENCY:SHIELD|Shield (Heavy)	TYPE:Shield.Heavy.Specific.Nonmetal	COST:806570	WT:10	SOURCEPAGE:ELH	BONUS:COMBAT|AC|2|TYPE=Shield		ACCHECK:-2	SPELLFAILURE:15	EQMOD:DRAGONHIDE_SHLD.EQ_COST_EPADJ_S.PLUS6S	SPROP:3/day Breath Weapon cone 40-ft 20d6 acid damage.	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	WIELD:OneHanded	SIZE:M	BONUS:VAR|AcidResistanceBonusSp|50|TYPE=Base	ABILITY:Special Ability|VIRTUAL|Resistance To Acid (Sp)	
Bulwark of the Great Dragon (Red)			PROFICIENCY:SHIELD|Shield (Heavy)	TYPE:Shield.Heavy.Specific.Nonmetal	COST:806570	WT:10	SOURCEPAGE:ELH	BONUS:COMBAT|AC|2|TYPE=Shield		ACCHECK:-2	SPELLFAILURE:15	EQMOD:DRAGONHIDE_SHLD.EQ_COST_EPADJ_S.PLUS6S	SPROP:3/day Breath Weapon cone 40-ft 20d6 fire damage.	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	WIELD:OneHanded	SIZE:M	BONUS:VAR|FireResistanceBonusSp|50|TYPE=Base	ABILITY:Special Ability|VIRTUAL|Resistance To Fire (Sp)	
Bulwark of the Great Dragon (Silver)			PROFICIENCY:SHIELD|Shield (Heavy)	TYPE:Shield.Heavy.Specific.Nonmetal	COST:806570	WT:10	SOURCEPAGE:ELH	BONUS:COMBAT|AC|2|TYPE=Shield		ACCHECK:-2	SPELLFAILURE:15	EQMOD:DRAGONHIDE_SHLD.EQ_COST_EPADJ_S.PLUS6S	SPROP:3/day Breath Weapon cone 40-ft 20d6 cold damage.	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	WIELD:OneHanded	SIZE:M	BONUS:VAR|ColdResistanceBonusSp|50|TYPE=Base	ABILITY:Special Ability|VIRTUAL|Resistance To Cold (Sp)	
Bulwark of the Great Dragon (White)			PROFICIENCY:SHIELD|Shield (Heavy)	TYPE:Shield.Heavy.Specific.Nonmetal	COST:806570	WT:10	SOURCEPAGE:ELH	BONUS:COMBAT|AC|2|TYPE=Shield		ACCHECK:-2	SPELLFAILURE:15	EQMOD:DRAGONHIDE_SHLD.EQ_COST_EPADJ_S.PLUS6S	SPROP:3/day Breath Weapon cone 40-ft 20d6 cold damage.	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	WIELD:OneHanded	SIZE:M	BONUS:VAR|ColdResistanceBonusSp|50|TYPE=Base	ABILITY:Special Ability|VIRTUAL|Resistance To Cold (Sp)	
																					
## Artifact																					
Golem Armor			PROFICIENCY:ARMOR|Full Plate	TYPE:Artifact.Major.Armor.Heavy.Suit.Specific	COST:0	WT:50	SOURCEPAGE:ELH	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:STEEL.EQ_COST_EPADJ_A.PLUS10A	SPROP:cannot regain hit points by any means (mundane or magical) while the armor is worn.	BONUS:SIZEMOD|NUMBER|1 	BONUS:STAT|STR|10|TYPE=Enhancement	ABILITY:Special Ability|VIRTUAL|Immunity To Mind-Affecting|Immunity To Poison|Immunity To Disease|Immunity To Critical Hits|Immunity To Nonlethal Damage|Immunity To Ability Damage|Immunity To Ability Drain|Immunity To Death from Massive Damage|Immunity To Rust attacks	DR:15/Adamantine				
Invulnerable Coat of Arnd			PROFICIENCY:ARMOR|Chain Shirt	TYPE:Artifact.Major.Armor.Light.Suit.Specific	COST:0	WT:25	SOURCEPAGE:ELH	BONUS:COMBAT|AC|4|TYPE=Armor	MAXDEX:4	ACCHECK:-2	SPELLFAILURE:20	EQMOD:STEEL.EQ_COST_ADJ_A.PLUS5A.FORT_HEAVY		DR:10/Epic	BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus,ElectricityResistanceBonus,FireResistanceBonus,SonicResistanceBonus|20|TYPE=Resistance	ABILITY:Special Ability|VIRTUAL|Resistance to Acid|Resistance to Cold|Resistance to Electricity|Resistance to Fire|Resistance to Sonic	BONUS:CASTERLEVEL|TYPE.Divine|4|PREABILITY:1,CATEGORY=Special Ability|Turn Undead	BONUS:VAR|TurnLevelUndead|4|PREABILITY:1,CATEGORY=Special Ability|Turn Undead	BONUS:VAR|LayOnHands|4|PREABILITY:1,CATEGORY=Special Ability|Turn Undead	BONUS:VAR|SmiteEvilDamage|4|PREABILITY:1,CATEGORY=Special Ability|Turn Undead	BONUS:VAR|SmiteEvil|1|PREABILITY:1,CATEGORY=Special Ability|Turn Undead
