SOURCELONG:Epic Level Handbook 3.0	SOURCESHORT:ELH30	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
# Paragon Template																																
Special Attacks	CATEGORY:Special Ability	TYPE:ParagonRaceTrait.SpecialAttack	VISIBLE:YES	DESC:A paragon creature's special attacks, if any, all gain a + 13 insight bonus, if applicable.	KEY:Paragon ~ Special Attacks																											SOURCEPAGE:ELH
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:ParagonRaceTrait.SpecialAttack	VISIBLE:YES	DESC:if the base creature has spell-like abilities, it gains +15 to its caster level to use those abilities.	KEY:Paragon ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=3|CASTERLEVEL=15|Dispel Magic (Greater)|Haste|See Invisibility									SOURCEPAGE:ELH
																																
# Pseudonatural Template																																
Constant Insight	CATEGORY:Special Ability	TYPE:PseudonaturalRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The creature makes all its attacks with a +15 insight bonus. The creature is not affected by the miss chance that applies to attacks against a concealed target.	KEY:Pseudonatural ~ Constant Insight									BONUS:COMBAT|TOHIT|15|TYPE=Insight																		SOURCEPAGE:ELH
Improved Grab	CATEGORY:Special Ability	TYPE:PseudonaturalRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If the creature hits an opponent smaller than it with a tentacle, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity.	KEY:Pseudonatural ~ Improved Grab																											SOURCEPAGE:ELH
Rotting Constriction	CATEGORY:Special Ability	TYPE:PseudonaturalRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Once the creature has hold of an opponent, each successful grapple check it makes during subsequent rounds permanently drains 2d4 points of Constitution. At the same time, the creature regains 10 lost hit points.	KEY:Pseudonatural ~ Rotting Constriction																											SOURCEPAGE:ELH
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:PseudonaturalRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Pseudonatural ~ Spell-Like																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Blur|Dimension Door|Shield|Unhallow									SOURCEPAGE:ELH
Alternate Form	CATEGORY:Special Ability	TYPE:PseudonaturalRaceTrait.SpecialQuality	VISIBLE:YES	DESC:At will, a pseudonatural creature can take the form of a grotesque, tentacled mass (or another appropriately gruesome form determined by the DM), but all its abilities remain unchanged despite the alien appearance. Changing shape is a standard action. Other creatures receive a -1 morale penalty on their attack rolls against pseudonatural creatures in this alternate form.	KEY:Pseudonatural ~ Alternate Form																											SOURCEPAGE:ELH
																																
# Worm that Walks Template																																
Engulf	CATEGORY:Special Ability	TYPE:WormThatWalksRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A worm that walks can choose to engulf an opponent who is no more than one size category larger than itself. The worm attempts to embrace its victim, and with a successful melee touch attack, the victim is immediately swallowed up and surrounded by a mass of vermin, taking 100 points of damage as the biting vermin nibble away at their latest meal. A victim who spends a full-round action can break free of the embrace and move up to half its speed away from the worm if desired, but can do nothing else. Otherwise, each round a victim remains embraced, it takes another 100 points of damage. Constructs are immune to this attack.	KEY:Worm that Walks ~ Engulf																											SOURCEPAGE:ELH
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:WormThatWalksRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Worm that Walks ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=1|CASTERLEVEL=20|Charm Animal ~ Vermins only|Animal Growth ~ Vermins only|Animal Messenger ~ Vermins only|Animal Shapes ~ Vermins only|Animal Trance ~ Vermins only|Colossal Vermin|Creeping Doom|Giant Vermin|Summon Swarm ~ Vermins only|Summon Vermin|Vermin Plague									SOURCEPAGE:ELH
Frightful Presence	CATEGORY:Special Ability	TYPE:WormThatWalksRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:When a worm that walks engulfs a victim, witnesses must make a Will save (DC 10 + 1/2 the worm's HD + the worm's Cha modifier, DC %1). Those who make the save are shaken. Those who fail by 5 or fewer points are frightened. Those who fail by 6 to 10 points are panicked. Those who fail by 11 or more points are cowering. See the Condition Summary section in Chapter 3 of the DUNGEON MASTER's Guide for descriptions of all these conditions, which last for 1d4 rounds. Those who have seen a worm use this attack before gain a +5 bonus on their saving throws. The victim of the worm's engulf attack has a -5 penalty on his or her saving throw.|FrightfulPresenceDC	KEY:Worm that Walks ~ Frightful Presence				DEFINE:FrightfulPresenceDC|0					BONUS:VAR|FrightfulPresenceDC|DefaultDCCha	BONUS:VAR|FrightfulPresenceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Frightful Presence)								ABILITY:Ability Focus|AUTOMATIC|Frightful Presence									SOURCEPAGE:ELH
Discorporate	CATEGORY:Special Ability	TYPE:WormThatWalksRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:If gravely threatened, a worm can discorporate as a free action, simply falling into a pile of individual vermin that slither quickly away, making their escape by burrowing into the earth, slipping through holes in the wainscoting, or the like. So long as any of the component vermin survive, they can breed and create a new body to house the wizard's intelligence and personality. Discorporating is a dangerous tactic, because once separated, the vermin are treated no differently than other vermin. Also, the worm stands a good chance of losing all its equipment. However, discorporation almost assures that at least one maggot (if not dozens) will manage to crawl away, and so provide for the worm's continued existence.	KEY:Worm that Walks ~ Discorporate																											SOURCEPAGE:ELH
