SOURCELONG:Epic Level Handbook 3.0	SOURCESHORT:ELH30	SOURCEWEB:http://www.gozzilioni.net																				
#																						
# Equipment Name	Output Name	Type	Cost	Weight	Define	Requires Modification?	Source Page	Special Property														
INVULN.MOD																	REPLACES:INVULN_GRT_1,INVULN_GRT_2,INVULN_GRT_3,INVULN_GRT_4					
Great Reflection	KEY:REFLECT_GRT	TYPE:Shield	PLUS:10	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:reflect a spell back at its caster exactly like the spell turning spell.	PRETYPE:2,Enhancement,Shield									ASSIGNTOALL:YES	REPLACES:REFLECT					
REFLECT.MOD																	REPLACES:REFLECT_GRT					
Spell Resistance (21)	KEY:SPELL_RES_21	TYPE:Armor	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Spell resistance 21.	PRETYPE:2,Enhancement,Armor									ASSIGNTOALL:YES	REPLACES:SPELL_RES_13,SPELL_RES_15,SPELL_RES_17,SPELL_RES_19,SPELL_RES_23,SPELL_RES_25,SPELL_RES_27	SR:21				
Spell Resistance (23)	KEY:SPELL_RES_23	TYPE:Armor	PLUS:7	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Spell resistance 23.	PRETYPE:2,Enhancement,Armor									ASSIGNTOALL:YES	REPLACES:SPELL_RES_13,SPELL_RES_15,SPELL_RES_17,SPELL_RES_19,SPELL_RES_21,SPELL_RES_25,SPELL_RES_27	SR:23				
Spell Resistance (25)	KEY:SPELL_RES_25	TYPE:Armor	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Spell resistance 25.	PRETYPE:2,Enhancement,Armor									ASSIGNTOALL:YES	REPLACES:SPELL_RES_13,SPELL_RES_15,SPELL_RES_17,SPELL_RES_19,SPELL_RES_21,SPELL_RES_23,SPELL_RES_27	SR:25				
Spell Resistance (27)	KEY:SPELL_RES_27	TYPE:Armor	PLUS:9	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Spell resistance 27.	PRETYPE:2,Enhancement,Armor									ASSIGNTOALL:YES	REPLACES:SPELL_RES_13,SPELL_RES_15,SPELL_RES_17,SPELL_RES_19,SPELL_RES_21,SPELL_RES_23,SPELL_RES_25	SR:27				
KEY:SPELL_RES_13.MOD																	REPLACES:SPELL_RES_15,SPELL_RES_17,SPELL_RES_19,SPELL_RES_21,SPELL_RES_23,SPELL_RES_25,SPELL_RES_27					
KEY:SPELL_RES_15.MOD																	REPLACES:SPELL_RES_13,SPELL_RES_17,SPELL_RES_19,SPELL_RES_21,SPELL_RES_23,SPELL_RES_25,SPELL_RES_27					
KEY:SPELL_RES_17.MOD																	REPLACES:SPELL_RES_13,SPELL_RES_15,SPELL_RES_19,SPELL_RES_21,SPELL_RES_23,SPELL_RES_25,SPELL_RES_27					
KEY:SPELL_RES_19.MOD																	REPLACES:SPELL_RES_13,SPELL_RES_15,SPELL_RES_17,SPELL_RES_21,SPELL_RES_23,SPELL_RES_25,SPELL_RES_27					
Infinite Arrow Deflection	KEY:ARW_DEF_INF	TYPE:Shield	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:This shield protects the wielder as if he had the Deflect Arrows feat deflecting any number of projectiles or thrown weapons each round.	PRETYPE:2,Enhancement,Shield									ASSIGNTOALL:YES	REPLACES:ARW_DEF,ARW_DEF_EX	ABILITY:FEAT|VIRTUAL|Deflect Arrows				
ARW_DEF.MOD																	REPLACES:ARW_DEF_EX,ARW_DEF_INF					
Lightning Warding	KEY:ELECTRICITY_WARD	TYPE:Armor.Shield	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Absorbs 50 points of Electricity damage per attack.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES	REPLACES:ELECTRICITY_RST,ELECTRICITY_RST_IMP,ELECTRICITY_RST_GRT	BONUS:VAR|ElectricityResistanceBonusSp|50|TYPE=Base	ABILITY:Special Ability|VIRTUAL|Resistance To Electricity (Sp)			
ELECTRICITY_RST.MOD																	REPLACES:ELECTRICITY_RST_IMP,ELECTRICITY_RST_GRT,ELECTRICITY_WARD					
ELECTRICITY_RST_IMP.MOD																	REPLACES:ELECTRICITY_RST,ELECTRICITY_RST_GRT,ELECTRICITY_WARD					
ELECTRICITY_RST_GRT.MOD																	REPLACES:ELECTRICITY_RST,ELECTRICITY_RST_IMP,ELECTRICITY_WARD					
Negating	KEY:NEGATE	TYPE:Armor	PLUS:5	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Immediately after the wearer of this armor is hit with a magic weapon, the armor casts greater dispelling on the weapon (In the case of projectile weapons, the armor casts greater dispelling on the weapon that fired the projectile if it is in range. If it is out of range, the armor does nothing).	PRETYPE:2,Enhancement,Armor									ASSIGNTOALL:YES						
Sonic Warding	KEY:SONIC_WARD	TYPE:Armor.Shield	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Absorbs 50 points of Sonic damage per attack.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES	REPLACES:SONIC_RST,SONIC_RST_IMP,SONIC_RST_GRT	BONUS:VAR|SonicResistanceBonusSp|50|TYPE=Base	ABILITY:Special Ability|VIRTUAL|Resistance To Sonic (Sp)			
SONIC_RST.MOD																	REPLACES:SONIC_RST_IMP,SONIC_RST_GRT,SONIC_WARD					
SONIC_RST_IMP.MOD																	REPLACES:SONIC_RST,SONIC_RST_GRT,SONIC_WARD					
SONIC_RST_GRT.MOD																	REPLACES:SONIC_RST,SONIC_RST_IMP,SONIC_WARD					
###Block: Weapons																						
Acid Blast	KEY:ACID_BLAST_A	TYPE:Ammunition	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+3d6 Acid damage. On a critical hit deals +%d6 additional Acid damage|3*CRITMULT-1	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	REPLACES:ACID_A,ACID_BURST_A					
Acid Blast	KEY:ACID_BLAST_M	TYPE:Weapon.Melee.Thrown	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+3d6 Acid damage. On a critical hit deals +%d6 additional Acid damage|3*CRITMULT-1	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	REPLACES:ACID_M,ACID_BURST_M					
Acid Blast	KEY:ACID_BLAST_R	TYPE:Weapon.Ranged	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+3d6 Acid damage bestowed on ammunition. On a critical hit deals +%d6 additional Acid damage|3*CRITMULT-1	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO	REPLACES:ACID_R,ACID_BURST_R					
ACID_A.MOD																	REPLACES:ACID_BURST_A,ACID_BLAST_A					
ACID_R.MOD																	REPLACES:ACID_BURST_R,ACID_BLAST_R					
ACID_M.MOD																	REPLACES:ACID_BURST_M,ACID_BLAST_M					
ACID_BURST_A.MOD																	REPLACES:ACID_A,ACID_BLAST_A					
ACID_BURST_R.MOD																	REPLACES:ACID_R,ACID_BLAST_R					
ACID_BURST_M.MOD																	REPLACES:ACID_M,ACID_BLAST_M					
Anarchic Power	KEY:CHAOS_POWER_A	TYPE:Ammunition	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Chaos aligned. +3d6 Chaotic damage and 1 negative level. On a critical hit deals +%d6 additional Chaos damage and additional %2 negative levels|3*CRITMULT-1|CRITMULT-1	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	REPLACES:CHAOS_A	BONUS:VAR|NegativeLevels|3|PREALIGN:LG,LN,LE				
Anarchic Power	KEY:CHAOS_POWER_M	TYPE:Weapon.Melee.Thrown	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Chaos aligned. +3d6 Chaotic damage. On a critical hit deals +%d6 additional Chaotic damage|3*CRITMULT-1	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	REPLACES:CHAOS_R	BONUS:VAR|NegativeLevels|3|PREALIGN:LG,LN,LE				
Anarchic Power	KEY:CHAOS_POWER_R	TYPE:Weapon.Ranged	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Chaos aligned. +3d6 Chaotic damage bestowed on ammunition. On a critical hit deals +%d6 additional Chaotic damage|3*CRITMULT-1	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO	REPLACES:CHAOS_M	BONUS:VAR|NegativeLevels|3|PREALIGN:LG,LN,LE				
CHAOS_A.MOD																	REPLACES:CHAOS_POWER_A					
CHAOS_R.MOD																	REPLACES:CHAOS_POWER_R					
CHAOS_M.MOD																	REPLACES:CHAOS_POWER_M					
Distance Shot	KEY:DISTANCE_SHOT_A	TYPE:Ammunition	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:no penalty for range against any target within line of sight.	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:YES						
Distance	KEY:DISTANCE_SHOT_R	TYPE:Weapon.Ranged	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:no penalty for range against any target within line of sight.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:YES						
