SOURCELONG:Expanded Psionics Handbook	SOURCESHORT:EPH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-04																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
#																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psion Weapon Proficiencies	CATEGORY:Internal	TYPE:WeaponProfPsion	VISIBLE:NO	AUTO:WEAPONPROF|Club|Dagger|Crossbow (Heavy)|Crossbow (Light)|Quarterstaff|Shortspear																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Souknife Weapon Proficiencies	CATEGORY:Internal	TYPE:WeaponProfSoulknife	VISIBLE:NO	AUTO:WEAPONPROF|Mind Blade																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
##Companion Support																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Thrallherd Thrall	CATEGORY:Special Ability	ABILITY:Internal|AUTOMATIC|Thrallherd Thrall (Base)|Thrallherd Thrall
Thrallherd Thrall (Base)	CATEGORY:Internal								DEFINE:ThrallherdThrallLVL|0	DEFINE:ThrallherdThrallDetermination|0													FOLLOWERS:Thrallherd Thrall|1	ABILITY:Thrallherd Thrall Selection|AUTOMATIC|Standard Selection ~ Thrallherd Thrall|!PREABILITY:1,CATEGORY=Internal,TYPE.ThrallherdThrallAlternate								SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Thrallherd Thrall	CATEGORY:Internal	TYPE:ThrallherdThrallSelection	VISIBLE:NO																													SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Expanded Selection	CATEGORY:Internal	TYPE:ThrallherdThrallSelection.ThrallherdThrallAlternate		KEY:Expanded Selection ~ Thrallherd Thrall																			COST:0	COMPANIONLIST:Thrallherd Thrall|ANY								SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Thrallherd Thrall (Default)	CATEGORY:Internal	TYPE:ThrallherdThrallSelection.ThrallherdThrallBase		KEY:Standard Selection ~ Thrallherd Thrall	!PREABILITY:1,CATEGORY=Internal,TYPE.ThrallherdThrallAlternate																		COST:0	COMPANIONLIST:Thrallherd Thrall|Human,Dwarf,Elf,Orc,Halfling,Gnome,Half-Elf,Half-Orc	COMPANIONLIST:Thrallherd Thrall|Blink Dog|PREALIGN:LG|PREVARGT:ThrallherdThrallLVL,6	COMPANIONLIST:Thrallherd Thrall|Lammasu|PREALIGN:LG|PREVARGT:ThrallherdThrallLVL,12	COMPANIONLIST:Thrallherd Thrall|Companion ~ Human (Werebear)|PREALIGN:LG|PREVARGT:ThrallherdThrallLVL,10	COMPANIONLIST:Thrallherd Thrall|Guardinal (Avoral)|PREALIGN:NG|PREVARGT:ThrallherdThrallLVL,15	COMPANIONLIST:Thrallherd Thrall|Eladrin (Bralani)|PREALIGN:CG|PREVARGT:ThrallherdThrallLVL,11	COMPANIONLIST:Thrallherd Thrall|Pegasus|PREALIGN:CG|PREVARGT:ThrallherdThrallLVL,6	COMPANIONLIST:Thrallherd Thrall|Unicorn|PREALIGN:CG|PRERACE:1,Human,Elf,Half-Elf|PREGENDER:F|PREVARGT:ThrallherdThrallLVL,8	SOURCEPAGE:EPH	COMPANIONLIST:Thrallherd Thrall|Griffon|PREALIGN:TN|PREVARGT:ThrallherdThrallLVL,10	COMPANIONLIST:Thrallherd Thrall|Dragonne|PREALIGN:TN|PREVARGT:ThrallherdThrallLVL,10	COMPANIONLIST:Thrallherd Thrall|Satyr|PREALIGN:CN|PREVARGT:ThrallherdThrallLVL,7	COMPANIONLIST:Thrallherd Thrall|Hell Hound|PREALIGN:LE|PREVARGT:ThrallherdThrallLVL,7	COMPANIONLIST:Thrallherd Thrall|Displacer Beast|PREALIGN:LE|PREVARGT:ThrallherdThrallLVL,10	COMPANIONLIST:Thrallherd Thrall|Devil (Imp)|PREALIGN:LE|PREVARGT:ThrallherdThrallLVL,7	COMPANIONLIST:Thrallherd Thrall|Dragon (Green)|PREALIGN:LE|PREVARGT:ThrallherdThrallLVL,16	COMPANIONLIST:Thrallherd Thrall|Devil (Erinyes)|PREALIGN:LE|PREVARGT:ThrallherdThrallLVL,16	COMPANIONLIST:Thrallherd Thrall|Demon (Quasit)|PREALIGN:CE|PREVARGT:ThrallherdThrallLVL,8	COMPANIONLIST:Thrallherd Thrall|Ettin|PREALIGN:CE|PREVARGT:ThrallherdThrallLVL,15

Psicrystal	CATEGORY:Special Ability	ABILITY:Internal|AUTOMATIC|Psicrystal (Base)|Psicrystal
Psicrystal (Base)	CATEGORY:Internal								DEFINE:PsicrystalLVL|0	DEFINE:PsicrystalDetermination|0													FOLLOWERS:Psicrystal|1	ABILITY:Psicrystal Selection|AUTOMATIC|Standard Selection ~ Psicrystal|!PREABILITY:1,CATEGORY=Internal,TYPE.PsicrystalAlternate								SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psicrystal	CATEGORY:Internal	TYPE:PsicrystalSelection	VISIBLE:NO																													SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Expanded Selection	CATEGORY:Internal	TYPE:PsicrystalSelection.PsicrystalAlternate		KEY:Expanded Selection ~ Psicrystal																			COST:0	COMPANIONLIST:Psicrystal|ANY								SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psicrystal (Default)	CATEGORY:Internal	TYPE:PsicrystalSelection.PsicrystalBase		KEY:Standard Selection ~ Psicrystal	!PREABILITY:1,CATEGORY=Internal,TYPE.PsicrystalAlternate																		COST:0	COMPANIONLIST:Psicrystal|Psicrystal								SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Alertness	CATEGORY:Special Ability	TYPE:ClassFeatures.PsicrystalClassFeatures.SpecialQuality.Extraordinary		DESC:The presence of a psicrystal sharpens its master's senses. While a psicrystal is within arm's reach (adjacent to or in the same square as its owner), its owner gains the Alertness feat.	KEY:Psicrystal ~ Alertness																											SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Improved Evasion	CATEGORY:Special Ability	TYPE:ClassFeatures.PsicrystalClassFeatures.SpecialQuality.Supernatural.Improved Evasion		DESC:If a psicrystal is subjected to an attack that normally allows a Refl ex saving throw for half damage, it takes no damage if it makes a successful saving throw and half damage even if the saving throw fails.	KEY:Psicrystal ~ Improved Evasion																											SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Personality	CATEGORY:Special Ability	TYPE:ClassFeatures.PsicrystalClassFeatures.SpecialQuality.Supernatural		DESC:Every psicrystal has a personality.	KEY:Psicrystal ~ Personality																											SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Self-Propulsion	CATEGORY:Special Ability	TYPE:ClassFeatures.PsicrystalClassFeatures.SpecialQuality.Supernatural		DESC:As a standard action, its owner can will a psicrystal to form spidery, ectoplasmic legs that grant the psicrystal a land speed of 30 feet and a climb speed of 20 feet. The legs fade into nothingness after one day (or sooner, if the owner desires).	KEY:Psicrystal ~ Self-Propulsion																											SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Share Powers	CATEGORY:Special Ability	TYPE:ClassFeatures.PsicrystalClassFeatures.SpecialQuality.Supernatural		DESC:At the owner's option, he can have any power (but not any psi-like ability) he manifests on himself also affect his psicrystal. The psicrystal must be within 5 feet of him at the time of the manifestation to receive the benefi t. If the power has a duration other than instantaneous, it stops affecting the psicrystal if it moves farther than 5 feet away, and will not affect the psicrystal again, even if it returns to its owner before the duration expires. Additionally, the owner can manifest a power with a target of "You" on his psicrystal (as a touch range power) instead of on himself. The owner and psicrystal cannot share powers if the powers normally do not affect creatures of the psicrystal's type (construct).	KEY:Psicrystal ~ Share Powers																											SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Sighted	CATEGORY:Special Ability	TYPE:ClassFeatures.PsicrystalClassFeatures.SpecialQuality.Supernatural		DESC:Although it has no physical sensory organs, a psicrystal can telepathically sense its environment as well as a creature with normal vision and hearing. Darkness (even supernatural darkness) is irrelevant, as are areas of supernatural silence, though a psicrystal still can't discern invisible or ethereal beings. A psicrystal's sighted range is 40 feet.	KEY:Psicrystal ~ Sighted																											SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Telepathic Link	CATEGORY:Special Ability	TYPE:ClassFeatures.PsicrystalClassFeatures.SpecialQuality.Supernatural		DESC:The owner has a telepathic link with his psicrystal out to a distance of up to 1 mile. The owner cannot see through the psicrystal's senses, but the two of them can communicate telepathically as if the psicrystal were the target of a mindlink power manifested by the owner. For instance, a psicrystal placed in a distant room could relay the activities occurring in that room. Because of the telepathic link between a psicrystal and its owner, the owner has the same connection to an item or place that the psicrystal does. For instance, if his psicrystal has seen a room, the owner can teleport into that room as if he has seen it too.	KEY:Psicrystal ~ Telepathic Link																											SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Deliver Touch Powers	CATEGORY:Special Ability	TYPE:ClassFeatures.PsicrystalClassFeatures.SpecialQuality.Supernatural		DESC:If the owner is 3rd level or higher, his psicrystal can deliver touch powers for him. If the owner and psicrystal are in contact at the time the owner manifests a touch power, he can designate his psicrystal as the "toucher". The psicrystal can then deliver the touch power just as the owner could. As usual, if the owner manifests another power before the touch is delivered, the touch power dissipates.	KEY:Psicrystal ~ Deliver Touch Powers																											SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Telepathic Speech	CATEGORY:Special Ability	TYPE:ClassFeatures.PsicrystalClassFeatures.SpecialQuality.Extraordinary		DESC:If the owner is 5th level or higher, the psicrystal can communicate telepathically with any creature that has a language and is within 30 feet of the psicrystal, while the psicrystal is also within 1 mile of the owner.	KEY:Psicrystal ~ Telepathic Speech																											SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Flight	CATEGORY:Special Ability	TYPE:ClassFeatures.PsicrystalClassFeatures.SpecialQuality.Supernatural		DESC:If the owner is 9th level or higher, he can, as a standard action, will his psicrystal to fl y at a speed of 50 feet (poor). The psicrystal drifts gently to the ground after one day (or sooner, if the owner desires).	KEY:Psicrystal ~ Flight																											SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Sight Link	CATEGORY:Special Ability	TYPE:ClassFeatures.PsicrystalClassFeatures.SpecialQuality.SpellLike		DESC:If the owner is 13th level or higher, the character can remote view the psicrystal (as if manifesting the remote view power) once per day.	KEY:Psicrystal ~ Sight Link																											SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Channel Power	CATEGORY:Special Ability	TYPE:ClassFeatures.PsicrystalClassFeatures.SpecialQuality.SpellLike		DESC:If the owner is 15th level or higher, he can manifest powers through the psicrystal to a distance of up to 1 mile. The psicrystal is treated as the power's originator, and all ranges are calculated from its location. When channeling a power through his psicrystal, the owner manifests the power by paying its power point cost. He is still subject to attacks of opportunity and other hazards of manifesting a power, if applicable (for instance, he becomes visible when manifesting an offensive power if invisible, as does the psicrystal).	KEY:Psicrystal ~ Channel Power																											SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
#																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psycristal ~ Artiste	CATEGORY:Special Ability	TYPE:PsicrystalPersonality												BONUS:SKILL|TYPE=Craft|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psycristal ~ Bully	CATEGORY:Special Ability	TYPE:PsicrystalPersonality												BONUS:SKILL|Intimidate|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psycristal ~ Coward	CATEGORY:Special Ability	TYPE:PsicrystalPersonality												BONUS:SKILL|Hide|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psycristal ~ Friendly	CATEGORY:Special Ability	TYPE:PsicrystalPersonality												BONUS:SKILL|Diplomacy|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psycristal ~ Hero	CATEGORY:Special Ability	TYPE:PsicrystalPersonality												BONUS:SAVE|Fortitude|2|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psycristal ~ Liar	CATEGORY:Special Ability	TYPE:PsicrystalPersonality												BONUS:SKILL|Bluff|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psycristal ~ Meticulous	CATEGORY:Special Ability	TYPE:PsicrystalPersonality												BONUS:SKILL|Search|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psycristal ~ Nimble	CATEGORY:Special Ability	TYPE:PsicrystalPersonality												BONUS:COMBAT|INITIATIVE|2|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psycristal ~ Observant	CATEGORY:Special Ability	TYPE:PsicrystalPersonality												BONUS:SKILL|Spot|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psycristal ~ Poised	CATEGORY:Special Ability	TYPE:PsicrystalPersonality												BONUS:SKILL|Balance|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psycristal ~ Resolved	CATEGORY:Special Ability	TYPE:PsicrystalPersonality												BONUS:SAVE|Will|2|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psycristal ~ Sage	CATEGORY:Special Ability	TYPE:PsicrystalPersonality	DESC:+3 bonus on checks involving any one Knowledge skill owner already knows; once chosen, this does not vary.																				ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psycristal ~ Single-Minded	CATEGORY:Special Ability	TYPE:PsicrystalPersonality												BONUS:SKILL|Concentration|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psycristal ~ Sneaky	CATEGORY:Special Ability	TYPE:PsicrystalPersonality												BONUS:SKILL|Move Silently|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Psycristal ~ Sympathetic	CATEGORY:Special Ability	TYPE:PsicrystalPersonality												BONUS:SKILL|Sense Motive|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Chaos	CATEGORY:Internal	TYPE:Aligned_Attack		PREALIGN:CG,CN,CE	KEY:Aligned Attack ~ Chaos																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
Evil	CATEGORY:Internal	TYPE:Aligned_Attack		PREALIGN:LE,NE,CE	KEY:Aligned Attack ~ Evil																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
Good	CATEGORY:Internal	TYPE:Aligned_Attack		PREALIGN:LG,NG,CG	KEY:Aligned Attack ~ Good																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
Law	CATEGORY:Internal	TYPE:Aligned_Attack		PREALIGN:LG,LN,LE	KEY:Aligned Attack ~ Law																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Advanced Learning ~ Psion	CATEGORY:Special Ability	TYPE:AdvancedLearning.Extraordinary.SpecialQuality	VISIBLE:YES	OUTPUTNAME:Advanced Learning			PRECLASS:1,Psion=1				BONUS:SPELLKNOWN|CLASS=Psion;LEVEL=%|1				STACK:NO	MULT:YES	CHOOSE:SPELLS|CLASSLIST=Psion[LEVELMAX=MAXCASTABLE;LEVELMIN=0]	SELECT:1														SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Advanced Learning ~ Psychic Warrior	CATEGORY:Special Ability	TYPE:AdvancedLearning.Extraordinary.SpecialQuality	VISIBLE:YES	OUTPUTNAME:Advanced Learning			PRECLASS:1,Psychic Warrior=1				BONUS:SPELLKNOWN|CLASS=Psychic Warrior;LEVEL=%|1				STACK:NO	MULT:YES	CHOOSE:SPELLS|CLASSLIST=Psychic Warrior[LEVELMAX=MAXCASTABLE;LEVELMIN=0]	SELECT:1														SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Advanced Learning ~ Wilder	CATEGORY:Special Ability	TYPE:AdvancedLearning.Extraordinary.SpecialQuality	VISIBLE:YES	OUTPUTNAME:Advanced Learning			PRECLASS:1,Wilder=1				BONUS:SPELLKNOWN|CLASS=Wilder;LEVEL=%|1				STACK:NO	MULT:YES	CHOOSE:SPELLS|CLASSLIST=Wilder[LEVELMAX=MAXCASTABLE;LEVELMIN=0]	SELECT:1														SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Open Minded Skill	CATEGORY:Special Ability	TYPE:Open Minded Skill	STACK:YES	MULT:YES	CHOOSE:SKILL|!RANKS=MAXRANK,TYPE=Skill	BONUS:SKILLRANK|%LIST|1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
###Block:Permanency																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
