SOURCELONG:Gozzilioni Expanded Psionics Handbook	SOURCESHORT:EPH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-04																															
																																		
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:	
Astral Construct (4th)				SIZE:M	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):5	MOVE:Walk,40	BONUS:COMBAT|AC|10|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Astral Construct (4th)			BONUS:STAT|STR|14	BONUS:STAT|DEX|4						CR:3	KIT:1|TN			LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Astral Construct Stats
Astral Construct (5th)				SIZE:L	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):7	MOVE:Walk,40	BONUS:COMBAT|AC|13|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Astral Construct (5th)			BONUS:STAT|STR|18	BONUS:STAT|DEX|2						CR:5	KIT:1|TN			LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Astral Construct Stats
Astral Construct (6th)				SIZE:L	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):10	MOVE:Walk,40	BONUS:COMBAT|AC|15|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Astral Construct (6th)			BONUS:STAT|STR|22	BONUS:STAT|DEX|2						CR:7	KIT:1|TN			LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Astral Construct Stats
Astral Construct (7th)				SIZE:L	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):13	MOVE:Walk,40	BONUS:COMBAT|AC|17|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Astral Construct (7th)			BONUS:STAT|STR|24	BONUS:STAT|DEX|2						CR:8	KIT:1|TN			LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Astral Construct Stats
Astral Construct (8th)				SIZE:L	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):16	MOVE:Walk,40	BONUS:COMBAT|AC|19|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Astral Construct (8th)			BONUS:STAT|STR|28	BONUS:STAT|DEX|2						CR:9	KIT:1|TN			LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Astral Construct Stats
Astral Construct (9th)				SIZE:H	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):19	MOVE:Walk,50	BONUS:COMBAT|AC|25|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6				FACE:15	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Astral Construct (9th)			BONUS:STAT|STR|32							CR:10	KIT:1|TN			LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Astral Construct Stats
Brain Mole			STARTFEATS:1	SIZE:T	TYPE:Magical Beast	RACETYPE:Magical beast	RACESUBTYPE:Psionic	MONSTERCLASS:Magical Beast:1	MOVE:Walk,15,Burrow,15		NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d3				FACE:2.5	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Brain Mole			BONUS:STAT|STR|-8	BONUS:STAT|DEX|4	BONUS:STAT|CON|-4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4		MONCSKILL:Hide|Move Silently|Listen|Spot	CR:1/2	KIT:1|TN			LEGS:4	HANDS:0	SOURCEPAGE:EPH	KIT:1|Brain Mole Stats
Caller in Darkness			STARTFEATS:1	SIZE:L	TYPE:Undead	RACETYPE:Undead	RACESUBTYPE:Incorporeal|Psionic	MONSTERCLASS:Undead:11	MOVE:Walk,30,Fly,60		NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Touch,*4,2d6				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Caller in Darkness				BONUS:STAT|DEX|6		BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4	MONCSKILL:Hide|Intimidate|Knowledge (Psionics)|Listen|Psicraft|Search|Sense Motive|Spot	CR:9	KIT:1|CE	HITDICEADVANCEMENT:22,33		LEGS:0	HANDS:0	SOURCEPAGE:EPH	KIT:1|Caller in Darkness Stats
Demon (Cerebtilith)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Evil|Extraplanar|Psionic|Tanar'ri	MONSTERCLASS:Outsider:9	MOVE:Walk,30	BONUS:COMBAT|AC|15|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d3|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Demon (Cerebrilith)	DR:10/Good		BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|14	BONUS:STAT|INT|4	BONUS:STAT|WIS|8	BONUS:STAT|CHA|10	MONCSKILL:Concentration|Hide|Jump|Knowledge (Arcana)|Knowledge (Psionics)|Knowledge (The Planes)|Listen|Move Silently|Psicraft|Search|Sense Motive|Spot	CR:10	KIT:1|CE	HITDICEADVANCEMENT:18,27	LEVELADJUSTMENT:9	LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Demon (Cerebrilith) Stats
Crysmal			STARTFEATS:1	SIZE:S	TYPE:Elemental	RACETYPE:Elemental	RACESUBTYPE:Earth|Psionic	MONSTERCLASS:Elemental:6	MOVE:Walk,30,Burrow,20	BONUS:COMBAT|AC|2|TYPE=NaturalArmor	NATURALATTACKS:Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d3				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Crysmal	DR:5/Bludgeoning		BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|-4		BONUS:STAT|CHA|4	MONCSKILL:Appraise|Climb|Jump|Listen|Spot	CR:3	KIT:1|LG|LN|LE	HITDICEADVANCEMENT:6,12,18		LEGS:8	HANDS:0	SOURCEPAGE:EPH	KIT:1|Crysmal Stats
Folugub			STARTFEATS:1	SIZE:M	TYPE:Aberration	RACETYPE:Aberration		MONSTERCLASS:Aberration:4	MOVE:Walk,40	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	NATURALATTACKS:Tongue,Weapon.Natural.Finesseable.Melee.Bludgeoning.Slashing,*1,0,SPROP=Liquefy crystal|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Folugub				BONUS:STAT|DEX|6	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2		MONCSKILL:Listen|Move Silently|Spot	CR:2	KIT:1|TN	HITDICEADVANCEMENT:6,14		LEGS:6	HANDS:0	SOURCEPAGE:EPH	KIT:1|Folugub Stats
Gray Glutton			STARTFEATS:1	SIZE:H	TYPE:Magical Beast	RACETYPE:Magical beast		MONSTERCLASS:Magical Beast:9	MOVE:Walk,40	BONUS:COMBAT|AC|13|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6				FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Gray Glutton		SR:20	BONUS:STAT|STR|16	BONUS:STAT|DEX|-2	BONUS:STAT|CON|8	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|10	MONCSKILL:Jump|Listen|Spot	CR:7	KIT:1|TN	HITDICEADVANCEMENT:20,27		LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Gray Glutton Stats
Intellect Devourer			STARTFEATS:1	SIZE:S	TYPE:Aberration	RACETYPE:Aberration	RACESUBTYPE:Evil|Psionic	MONSTERCLASS:Aberration:6	MOVE:Walk,40	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*4,1d3				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Intellect Devourer	DR:10/Adamantine	SR:23	BONUS:STAT|STR|2	BONUS:STAT|DEX|10	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4	MONCSKILL:Bluff|Concentration|Hide|Listen|Move Silently	CR:7	KIT:1|CE	HITDICEADVANCEMENT:8,15,18	LEVELADJUSTMENT:6	LEGS:4	HANDS:0	SOURCEPAGE:EPH	KIT:1|Intellect Devourer Stats
Neothelid			STARTFEATS:1	SIZE:G	TYPE:Aberration	RACETYPE:Aberration	RACESUBTYPE:Psionic	MONSTERCLASS:Aberration:25	MOVE:Walk,20	BONUS:COMBAT|AC|24|TYPE=NaturalArmor	NATURALATTACKS:Tentacle Rake,Weapon.Natural.Finesseable.Melee.Bludgeoning.Slashing,*4,2d6				FACE:30	REACH:30	ABILITY:Internal|AUTOMATIC|Race Traits ~ Neothelid	DR:5/-	SR:25	BONUS:STAT|STR|20	BONUS:STAT|DEX|-4	BONUS:STAT|CON|16	BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|10	MONCSKILL:Climb|Knowledge (Psionics)|Listen|Psicraft|Spot	CR:15	KIT:1|LE	HITDICEADVANCEMENT:25,45		LEGS:0	HANDS:0	SOURCEPAGE:EPH	KIT:1|Neothelid Stats
Phthisic			STARTFEATS:1	SIZE:L	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Psionic	MONSTERCLASS:Monstrous Humanoid:6	MOVE:Walk,30	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6,SPROP=Mind feed				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Phthisic	DR:10/Magic		BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|10		BONUS:STAT|WIS|6	BONUS:STAT|CHA|6	MONCSKILL:Listen|Move Silently|Spot	CR:6	KIT:1|CE	HITDICEADVANCEMENT:12,18		LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Phthisic Stats
Psion-Killer				SIZE:L	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):15	MOVE:Walk,20	BONUS:COMBAT|AC|19|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d10				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Psion-Killer	DR:10/Adamantine		BONUS:STAT|STR|20					BONUS:STAT|CHA|-10		CR:12	KIT:1|TN	HITDICEADVANCEMENT:21,45		LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Psion-Killer Stats
Puppeteer			STARTFEATS:1	SIZE:F	TYPE:Magical Beast	RACETYPE:Magical beast	RACESUBTYPE:Psionic	MONSTERCLASS:Magical Beast:1	MOVE:Walk,5		NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d2				FACE:0.5	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Puppeteer			BONUS:STAT|STR|-10	BONUS:STAT|DEX|4		BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4	MONCSKILL:Hide|Listen|Sense Motive|Spot	CR:1				LEGS:0	HANDS:0	SOURCEPAGE:EPH	KIT:1|Puppeteer Stats
Puppeteer (Flesh Arrower)			STARTFEATS:1	SIZE:S	TYPE:Magical Beast	RACETYPE:Magical beast	RACESUBTYPE:Psionic	MONSTERCLASS:Magical Beast:3	MOVE:Walk,20	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6|Tail Blade,Weapon.Natural.Finesseable.Melee.Slashing,*2,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Puppeteer (Flesh Arrower)			BONUS:STAT|STR|4	BONUS:STAT|DEX|6	BONUS:STAT|CON|10		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	MONCSKILL:Hide|Move Silently|Listen|Spot	CR:2	KIT:1|TN	HITDICEADVANCEMENT:6,9		LEGS:0	HANDS:0	SOURCEPAGE:EPH	KIT:1|Puppeteer (Flesh Arrower) Stats
Temporal Filcher			STARTFEATS:1	SIZE:L	TYPE:Aberration	RACETYPE:Aberration	RACESUBTYPE:Psionic	MONSTERCLASS:Aberration:8	MOVE:Walk,40	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*4,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8|Horn,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d4				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Temporal Filcher			BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|4	BONUS:STAT|INT|-4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4	MONCSKILL:Listen|Spot|Tumble	CR:3		HITDICEADVANCEMENT:15		LEGS:1	HANDS:4	SOURCEPAGE:EPH	KIT:1|Temporal Filcher Stats
Thought Eater			STARTFEATS:1	SIZE:S	TYPE:Aberration	RACETYPE:Aberration	RACESUBTYPE:Psionic	MONSTERCLASS:Aberration:3	MOVE:Walk,40	BONUS:COMBAT|AC|2|TYPE=NaturalArmor	NATURALATTACKS:Touch,Weapon.Natural.Finesseable.Melee.Touch,*1,0,SPROP=Eat thoughts				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Thought Eater			BONUS:STAT|STR|2	BONUS:STAT|DEX|8		BONUS:STAT|INT|-4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4	MONCSKILL:Hide|Listen|Spot	CR:2		HITDICEADVANCEMENT:6		LEGS:4	HANDS:0	SOURCEPAGE:EPH	KIT:1|Thought Eater Stats
Thought Slayer			STARTFEATS:1	SIZE:H	TYPE:Aberration	RACETYPE:Aberration	RACESUBTYPE:Psionic	MONSTERCLASS:Aberration:14	MOVE:Walk,50	BONUS:COMBAT|AC|14|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,3d6				FACE:15	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Thought Slayer		SR:21	BONUS:STAT|STR|16	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|-4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4	MONCSKILL:Climb|Jump|Listen|Spot	CR:13		HITDICEADVANCEMENT:28		LEGS:4	HANDS:0	SOURCEPAGE:EPH	KIT:1|Thought Slayer Stats
Udoroot			STARTFEATS:1	SIZE:H	TYPE:Plant	RACETYPE:Plant	RACESUBTYPE:Psionic	MONSTERCLASS:Plant:6	MOVE:Walk,0	BONUS:COMBAT|AC|8|TYPE=NaturalArmor					FACE:15	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Udoroot					BONUS:STAT|CON|6	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4	MONCSKILL:Listen	CR:5	KIT:1|TN	HITDICEADVANCEMENT:16,18		LEGS:0	HANDS:0	SOURCEPAGE:EPH	KIT:1|Udoroot Stats
Unbodied		FAVCLASS:Psion.Telepath	STARTFEATS:1	SIZE:M	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Incorporeal|Psionic	MONSTERCLASS:Monstrous Humanoid:4	MOVE:Fly,30		NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Touch,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Unbodied				BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4	MONCSKILL:Bluff|Diplomacy|Disguise|Intimidate|Listen|Sense Motive|Spot	CR:5			LEVELADJUSTMENT:4	LEGS:0	HANDS:0	SOURCEPAGE:EPH	KIT:1|Unbodied Stats
Yuan-Ti Halfblood (Psionic)			STARTFEATS:1	SIZE:M	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Psionic	MONSTERCLASS:Monstrous Humanoid:7	MOVE:Walk,30	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6,SPROP=Poison				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Yuan-Ti Halfblood (Psionic)		SR:16	BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|10	BONUS:STAT|CHA|8	MONCSKILL:Concentration|TYPE.Craft|TYPE.Knowledge|Hide|Listen|Move Silently|Spot	CR:5			LEVELADJUSTMENT:5	LEGS:2	HANDS:2	SOURCEPAGE:MM1	KIT:1|Yuan-Ti Halfblood Stats
Yuan-Ti Abomination (Psionic)			STARTFEATS:1	SIZE:L	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Psionic	MONSTERCLASS:Monstrous Humanoid:9	MOVE:Walk,30,Climb,20,Swim,20	BONUS:COMBAT|AC|10|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6,SPROP=Poison				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Yuan-Ti Abomination (Psionic)		SR:18	BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|10	BONUS:STAT|CHA|8	MONCSKILL:Concentration|TYPE.Craft|TYPE.Knowledge|Hide|Listen|Move Silently|Spot	CR:7			LEVELADJUSTMENT:7	LEGS:2	HANDS:2	SOURCEPAGE:MM1	KIT:1|Yuan-Ti Halfblood Stats
