SOURCELONG:Expanded Psionics Handbook	SOURCESHORT:EPH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-04
																																													
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page													
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.PsychicWarriorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Psychic warriors are profi cient with all simple and martial weapons, with all types of armor (heavy, medium, and light), and with shields (except tower shields).	KEY:Psychic Warrior ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Psychic_Warrior	SOURCEPAGE:EPH													
Power Points per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.PsychicWarriorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A psychic warrior's ability to manifest powers is limited by the power points he has available. His base daily allotment of power points is given on Table 2-4: The Psychic Warrior. In addition, he receives bonus power points per day if he has a high Wisdom score (see Table 2-1: Ability Modifi ers and Bonus Power Points). His race may also provide bonus power points per day, as may certain feats and items. A 1st-level psychic warrior gains no power points for his class level, but he gains bonus power points (if he is entitled to any), and can manifest the single power he knows with those power points.	KEY:Psychic Warrior ~ Power Points per Day									BONUS:VAR|PsychicWarriorML|PsychicWarriorLVL									ABILITY:Internal|AUTOMATIC|Psychic Warrior Caster Support								SORTKEY:Class_Psychic_Warrior	SOURCEPAGE:EPH													
Bonus Feats	CATEGORY:Special Ability	TYPE:ClassFeatures.PsychicWarriorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 1st level, a psychic warrior gets a bonus combat-oriented feat in addition to the feat that any 1stlevel character gets and the bonus feat granted to a human character. The psychic warrior gains an additional bonus feat at 2nd level and every three levels thereafter (5th, 8th, 11th, 14th, 17th, and 20th). These bonus feats must be drawn from the feats noted as fi ghter bonus feats on Table 5-1: Feats, page 90 of the Player's Handbook, or from the psionic feats in Chapter 3 of this book. The psychic warrior must still meet all prerequisites for the bonus feat, including ability score and base attack bonus minimums as well as class requirements. A psychic warrior cannot choose feats that specifi cally require levels in the fi ghter class (such as Greater Weapon Focus or Weapon Specialization) unless he is a multiclass character with the requisite levels in the fi ghter class. These bonus feats are in addition to the feats that a character of any class gains every three levels (as given on Table 3-2: Experience and Level-Dependent Benefi ts, page 22 of the Player's Handbook). A psychic warrior is not limited to fi ghter bonus feats and psionic feats when choosing these other feats.	KEY:Psychic Warrior ~ Bonus Feats				DEFINE:PsychicWarriorBonusFeats|0					BONUS:VAR|PsychicWarriorBonusFeats|1+((PsychicWarriorLVL+1)/3)	BONUS:ABILITYPOOL|Psychic Warrior Feat|PsychicWarriorBonusFeats																SORTKEY:Class_Psychic_Warrior	SOURCEPAGE:EPH													
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SoulknifeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Soulknives are proficient with all simple weapons, with their own mind blades, and with light armor and shields (except tower shields).	KEY:Soulknife ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple|TYPE=WeaponProfSoulknife	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Soulknife	SOURCEPAGE:EPH													
Mind Blade	CATEGORY:Special Ability	TYPE:ClassFeatures.SoulknifeClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:As a move action, a soulknife can create a semisolid blade composed of psychic energy distilled from his own mind. The blade can be broken (it has hardness 10 and 10 hit points); however, a soulknife can simply create another on his next move action. The moment he relinquishes his grip on his blade, it dissipates (unless he intends to throw it; see below). A mind blade is considered a magic weapon for the purpose of overcoming damage reduction. A soulknife can use feats such as Power Attack or Combat Expertise in conjunction with the mind blade just as if it were a normal weapon. He can also choose mind blade for feats requiring a specifi c weapon choice, such as Weapon Specialization. Powers or spells that upgrade weapons can be used on a mind blade. A soulknife's mind blade improves as the character gains higher levels. At 4th level and every four levels thereafter, the mind blade gains a cumulative +1 enhancement bonus on attack rolls and damage rolls (+2 at 8th level, +3 at 12th level, +4 at 16th level, and +5 at 20th level).	KEY:Soulknife ~ Mind Blade									BONUS:WEAPONPROF=MindBlade|TOHIT|(SoulknifeLVL/4)|TYPE=Enhancement	BONUS:WEAPONPROF=MindBlade|DAMAGE|(SoulknifeLVL/4)|TYPE=Enhancement																SORTKEY:Class_Soulknife	SOURCEPAGE:EPH													
Weapon Focus (Mind Blade)	CATEGORY:Special Ability	TYPE:ClassFeatures.SoulknifeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A soulknife gains Weapon Focus (mind blade) as a bonus feat.	KEY:Soulknife ~ Weapon Focus (Mind Blade)																		ABILITY:FEAT|AUTOMATIC|Weapon Focus (Mind Blade)								SORTKEY:Class_Soulknife	SOURCEPAGE:EPH													
Wild Talent	CATEGORY:Special Ability	TYPE:ClassFeatures.SoulknifeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A soulknife gains Wild Talent as a bonus feat. (This class feature provides the character with the psionic power he needs to materialize his mind blade, if he has no power points otherwise).	KEY:Soulknife ~ Wild Talent	SERVESAS:ABILITY=FEAT|Wild Talent																									SORTKEY:Class_Soulknife	SOURCEPAGE:EPH													
Throw Mind Blade	CATEGORY:Special Ability	TYPE:ClassFeatures.SoulknifeClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A soul knife of 2nd level or higher can throw his mind blade as a ranged weapon with a range increment of 30 feet. Whether or not the attack hits, a thrown mind blade then dissipates. A soulknife of 3rd level or higher can make a psychic strike (see below) with a thrown mind blade and can use the blade in conjunction with other special abilities (such as Knife to the Soul; see below).	KEY:Soulknife ~ Throw Mind Blade																										SORTKEY:Class_Soulknife	SOURCEPAGE:EPH													
Psychic Strike	CATEGORY:Special Ability	TYPE:ClassFeatures.SoulknifeClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:As a move action, a soulknife of 3rd level or higher can imbue his mind blade with destructive psychic energy. This effect deals an extra 1d8 points of damage to the next living, nonmindless target he successfully hits with a melee attack (or ranged attack, if he is using the throw mind blade ability). Creatures immune to mind-affecting effects are immune to psychic strike damage. (Unlike the rogue's sneak attack, the psychic strike is not precision damage and can affect creatures otherwise immune to extra damage from critical hits or more than 30 feet away, provided they are living, nonmindless creatures not immune to mind-affecting effects.) A mind blade deals this extra damage only once when this ability is called upon, but a soulknife can imbue his mind blade with psychic energy again by taking another move action. Once a soulknife has prepared his blade for a psychic strike, it holds the extra energy until it is used. Even if the soulknife drops the mind blade (or it otherwise dissipates, such as when it is thrown and misses), it is still imbued with psychic energy when the soulknife next materializes it. At every four levels beyond 3rd (7th, 11th, 15th, and 19th), the extra damage from a soulknife's psychic strike increases as shown on Table 2-5.	KEY:Soulknife ~ Psychic Strike									BONUS:VAR|PsychicStrikeDice|(SoulknifeLVL+1)/4									ABILITY:Special Ability|AUTOMATIC|Psychic Strike								SORTKEY:Class_Soulknife	SOURCEPAGE:EPH													
Free Draw	CATEGORY:Special Ability	TYPE:ClassFeatures.SoulknifeClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 5th level, a soulknife becomes able to materialize his mind blade as a free action instead of a move action. He can make only one attempt to materialize the mind blade per round, however (if, for example, he must make a Will save to materialize it within a null psionics field).	KEY:Soulknife ~ Free Draw																										SORTKEY:Class_Soulknife	SOURCEPAGE:EPH													
Shape Mind Blade	CATEGORY:Special Ability	TYPE:ClassFeatures.SoulknifeClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 5th level, a soulknife gains the ability to change the form of his mind blade. As a fullround action, he can change his mind blade to replicate a longsword (damage 1d8 for a Medium weapon wielded as a one-handed weapon) or a bastard sword (damage 1d10 for a Medium weapon, but he must wield it as a two-handed weapon unless he knows the Exotic Weapon proficiency (bastard sword) feat). If a soulknife shapes his mind blade into the form of a bastard sword and wields it two-handed, he adds 1-1/2 times his Strength bonus to his damage rolls, just like when using any other twohanded weapon. Alternatively, a soulknife can split his mind blade into two identical short swords, suitable for fighting with a weapon in each hand. (The normal penalties for fighting with two weapons apply.) However, both mind blades have an enhancement bonus 1 lower than the soulknife would otherwise create with a single mind blade. For example, a 12th-level soulknife normally creates a single +3 mind blade, but he could use this ability to instead materialize two +2 mind blades.	KEY:Soulknife ~ Shape Mind Blade																										SORTKEY:Class_Soulknife	SOURCEPAGE:EPH													
Mind Blade Enhancement	CATEGORY:Special Ability	TYPE:ClassFeatures.SoulknifeClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 6th level, a soulknife gains the ability to enhance his mind blade. He can add any one of the weapon special abilities on the table below that has an enhancement bonus value of +1. At every four levels beyond 6th (10th, 14th, and 18th), the value of the enhancement a soulknife can add to his weapon improves to +2, +3, and +4, respectively. A soulknife can choose any combination of weapon special abilities that does not exceed the total allowed by the soulknife's level. For example, an 18th-level soulknife could add two +2 weapon special abilities, or one +1 weapon ability and one +3 weapon ability. The weapon ability or abilities remain the same every time the soulknife materializes his mind blade (unless he decides to reassign its abilities; see below). The ability or abilities apply to any form the mind blade takes, including the use of the shape mind blade or bladewind class abilities.	KEY:Soulknife ~ Mind Blade Enhancement																										SORTKEY:Class_Soulknife	SOURCEPAGE:EPH													
Speed of Thought	CATEGORY:Special Ability	TYPE:ClassFeatures.SoulknifeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A soulknife gains Speed of Thought as a bonus feat at 6th level.	KEY:Soulknife ~ Speed of Thought																		ABILITY:FEAT|AUTOMATIC|Speed of Thought								SORTKEY:Class_Soulknife	SOURCEPAGE:EPH													
Bladewind	CATEGORY:Special Ability	TYPE:ClassFeatures.SoulknifeClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 9th level, a soulknife gains the ability to momentarily fragment his mind blade into numerous identical blades, each of which strikes at a nearby opponent. As a full attack, when wielding his mind blade, a soulknife can give up his regular attacks and instead fragment his mind blade to make one melee attack at his full base attack bonus against each opponent within reach. Each fragment functions identically to the soulknife's regular mind blade. (For example, if the mind blade were in the form of a +1 keen bastard sword, due to the soulknife's mind blade enhancement and shape mind blade abilities, each fragment attacks and deals damage as a +1 keen bastard sword.) When using bladewind, a soulknife forfeits any bonus or extra attacks granted by other feats or abilities (such as the Cleave feat or the haste spell). The mind blade immediately reverts to its previous form after the bladewind attack.	KEY:Soulknife ~ Bladewind																										SORTKEY:Class_Soulknife	SOURCEPAGE:EPH													
Greater Weapon Focus (Mind Blade)	CATEGORY:Special Ability	TYPE:ClassFeatures.SoulknifeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A soulknife gains Greater Weapon Focus (mind blade) as a bonus feat.	KEY:Soulknife ~ Greater Weapon Focus (Mind Blade)																		ABILITY:FEAT|AUTOMATIC|Greater Weapon Focus (Mind Blade)								SORTKEY:Class_Soulknife	SOURCEPAGE:EPH													
Knife to the Soul	CATEGORY:Special Ability	TYPE:ClassFeatures.SoulknifeClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Beginning at 13th level, when a soulknife executes a psychic strike, he can choose to substitute Intelligence, Wisdom, or Charisma damage (his choice) for extra dice of damage. For each die of extra damage he gives up, he deals 1 point of damage to the ability score he chooses. A soulknife can combine extra dice of damage and ability damage in any combination, so a 19th-level soulknife could choose to strike for 3 points of Charisma damage and an extra 2d6 points of damage.  The soulknife decides which ability score his psychic strike damages and the division of ability damage and extra dice of damage when he imbues his mind blade with the psychic strike energy.	KEY:Soulknife ~ Knife to the Soul																										SORTKEY:Class_Soulknife	SOURCEPAGE:EPH													
Multiple Throw	CATEGORY:Special Ability	TYPE:ClassFeatures.SoulknifeClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 17th level and higher, a soulknife can throw a number of mind blades per round equal to the number of melee attacks he could make. Thus, a 17th-level soulknife could throw two mind blades, with a base attack bonus of +12/+7. If he had used shape mind blade to materialize a mind blade for each hand and thus fight with two weapons, he could throw four mind blades in a round.	KEY:Soulknife ~ Multiple Throw																										SORTKEY:Class_Soulknife	SOURCEPAGE:EPH													
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.WilderClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Wilders are profi cient with all simple weapons, with light armor, and with shields (except tower shields).	KEY:Wilder ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Wilder	SOURCEPAGE:EPH													
Power Points per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.WilderClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A wilder's ability to manifest powers is limited by the power points she has available. Her base daily allotment of power points is given on Table 2-6: The Wilder. In addition, she receives bonus power points per day if she has a high Charisma score (see Table 2-1: Ability Modifiers and Bonus Power Points). Her race may also provide bonus power points per day, as may certain feats and items.	KEY:Wilder ~ Power Points per Day									BONUS:VAR|WilderML|WilderLVL									ABILITY:Internal|AUTOMATIC|Wilder Caster Support								SORTKEY:Class_Wilder	SOURCEPAGE:EPH													
Wild Surge	CATEGORY:Special Ability	TYPE:ClassFeatures.WilderClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A wilder can let her passion and emotion rise to the surface in a wild surge when she manifests a power. During a wild surge, a wilder gains phenomenal psionic strength,  but may harm herself by the reckless use of her power (see Psychic Enervation, below). A wilder can choose to invoke a wild surge whenever she manifests a power. When she does so, she gains +1 to her manifester level with that manifestation of the power. The manifester level boost gives her the ability to augment her powers to a higher degree than she otherwise could; however, she pays no extra power point for this wild surge. Instead, the additional 1 power point that would normally be required to augment the power is effectively supplied by the wild surge. Level-dependent power effects are also improved, depending on the power a wilder manifests with her wild surge. This improvement in manifester level does not grant her any other benefits (psicrystal abilities do not advance, she does not gain higher-level class abilities, and so on). She cannot use the Overchannel psionic feat (see page 49) and invoke her wild surge at the same time.	KEY:Wilder ~ Wild Surge				DEFINE:WildSurgeBonus|0					BONUS:VAR|WildSurgeBonus|1+((WilderLVL+1)/4)																	SORTKEY:Class_Wilder	SOURCEPAGE:EPH	ASPECT:NAME|Wild Surge %1|WildSurgeBonus												
Psychic Enervation	CATEGORY:Special Ability	TYPE:ClassFeatures.WilderClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Pushing oneself by invoking a wild surge is dangerous. Immediately following each wild surge, a wilder may be overcome by the strain of her effort. Thechance of suffering psychic enervation is equal to 5%% per manifester level added with the wild surge. For example, if, at 11th level, Leila uses wild surge to boost her manifester level by four, she has a 20%% chance of suffering psychic enervation as a result. A wilder who is overcome by psychic enervation is dazed until the end of her next turn and loses a number of power points equal to her wilder level.	KEY:Wilder ~ Psychic Enervation																										SORTKEY:Class_Wilder	SOURCEPAGE:EPH													
Elude Touch	CATEGORY:Special Ability	TYPE:ClassFeatures.WilderClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 2nd level, a wilder's intuition supersedes her intellect, alerting her to danger from touch attacks (including rays). She gains a bonus to Armor Class against all touch attacks equal to her Charisma bonus; however, her touch AC can never exceed her Armor Class against normal attacks.	KEY:Wilder ~ Elude Touch				DEFINE:EludeTouchAC|0					BONUS:COMBAT|AC|EludeTouchAC|TYPE=TouchBonusAC	BONUS:VAR|EludeTouchAC|max(CHA,0)																SORTKEY:Class_Wilder	SOURCEPAGE:EPH													
Surging Euphoria	CATEGORY:Special Ability	TYPE:ClassFeatures.WilderClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 4th level, when a wilder uses her wild surge ability, she gains a +1 morale bonus on attack rolls, damage rolls, and saving throws for a number of rounds equal to the intensity of her wild surge. For example, if Leila uses wild surge to boost her manifester level by two, her morale bonus would last for 2 rounds. (Even if she had the wild surge +4 ability, the fact that she boosted her manifester level by only two restricts the duration to 2 rounds.) If a wilder is overcome by psychic enervation following her wild surge, she does not gain the morale bonus for this use of her wild surge ability. At 12th level, the morale bonus on a wilder's attack rolls, damage rolls, and saving throws increases to +2. At 20th level, the bonus increases to +3.	KEY:Wilder ~ Surging Euphoria				DEFINE:SurgingEuphoriaBonus|0					BONUS:VAR|SurgingEuphoriaBonus|1	BONUS:VAR|SurgingEuphoriaBonus|1|PREVARGTEQ:WilderLVL,12	BONUS:VAR|SurgingEuphoriaBonus|1|PREVARGTEQ:WilderLVL,18															SORTKEY:Class_Wilder	SOURCEPAGE:EPH													
Volatile Mind	CATEGORY:Special Ability	TYPE:ClassFeatures.WilderClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A wilder's temperamental mind is hard to encompass with the discipline of telepathy. When any telepathy power is manifested on a wilder of 5th level or higher, the manifester of the power must pay 1 power point more than he otherwise would have spent. The extra cost is not a natural part of that power's cost. It does not augment the power; it is simply a wasted power point. The wilder's volatile mind can force the manifester of the telepathy power to exceed the normal power point limit of 1 point per manifester level. If the extra cost raises the telepathy power's cost to more points than the manifester has remaining in his reserve, the power simply fails, and the manifester exhausts the rest of his power points. At 9th level, the penalty assessed against telepathy powers manifested on a wilder is increased to 2 power points. At 13th level, the penalty increases to 3 power points, and at 17th level it increases to 4 power points. As a standard action, a wilder can choose to lower this effect for 1 round (in the event, for instance, that a friend attempts to manifest a benefi cial telepathy power on her).	KEY:Wilder ~ Volatile Mind																										SORTKEY:Class_Wilder	SOURCEPAGE:EPH													
																																													
Bonus Feats	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The epic psion gains a bonus feat every three levels higher than 20th (23rd, 26th, and so on).	KEY:Psion ~ Epic Feats				DEFINE:PsionEpicFeat|0					BONUS:ABILITYPOOL|Epic Feat|PsionEpicFeat	BONUS:VAR|PsionEpicFeat|(PsionLVL-20)/3																SORTKEY:Class_Psion	SOURCEPAGE:EPH													
Bonus Feats	CATEGORY:Special Ability	TYPE:ClassFeatures.PsychicWarriorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The epic psychic warrior gains a bonus feat at 21st level and every three levels higher than 21st (24th, 27th, and so on).	KEY:Psychic Warrior ~ Epic Feats				DEFINE:PsychicWarriorEpicFeat|0					BONUS:ABILITYPOOL|Epic Feat|PsychicWarriorEpicFeat	BONUS:VAR|PsychicWarriorEpicFeat|((PsychicWarriorLVL-20)+2)/3																SORTKEY:Class_Psychic_Warrior	SOURCEPAGE:EPH													
Bonus Feats	CATEGORY:Special Ability	TYPE:ClassFeatures.SoulknifeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The epic soulknife gains a bonus psionic feat every three levels higher than 20th (23rd, 26th, and so on).	KEY:Soulknife ~ Epic Feats				DEFINE:SoulknifeEpicFeat|0					BONUS:ABILITYPOOL|Epic Feat|SoulknifeEpicFeat	BONUS:VAR|SoulknifeEpicFeat|(SoulknifeLVL-20)/3																SORTKEY:Class_Soulknife	SOURCEPAGE:EPH													
Epic Mind Blade Enhancement	CATEGORY:Special Ability	TYPE:ClassFeatures.SoulknifeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The epic soulknife's mind blade gains additional powers as the soulknife gains epic levels. At 22nd level and every four levels thereafter, the soulknife can improve the value of the weapon special abilities on his mind blade by 1 (+5 equivalent bonus at 22nd, +6 at 26th, and so on). As noted in the soulknife class description, reassigning qualities still takes 8 hours of concentration.	KEY:Soulknife ~ Epic Mind Blade Enhancement																										SORTKEY:Class_Soulknife	SOURCEPAGE:EPH													
Epic Surging Euphoria	CATEGORY:Special Ability	TYPE:ClassFeatures.WilderClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 4th level, when a wilder uses her wild surge ability, she gains a +1 morale bonus on attack rolls, damage rolls, and saving throws for a number of rounds equal to the intensity of her wild surge. For example, if Leila uses wild surge to boost her manifester level by two, her morale bonus would last for 2 rounds. (Even if she had the wild surge +4 ability, the fact that she boosted her manifester level by only two restricts the duration to 2 rounds.) If a wilder is overcome by psychic enervation following her wild surge, she does not gain the morale bonus for this use of her wild surge ability. At 12th level, the morale bonus on a wilder's attack rolls, damage rolls, and saving throws increases to +2. At 20th level, the bonus increases to +3.	KEY:Wilder ~ Epic Surging Euphoria									BONUS:VAR|SurgingEuphoriaBonus|1|PREVARGTEQ:WilderLVL,28	BONUS:VAR|SurgingEuphoriaBonus|1|PREVARGTEQ:WilderLVL,36	BONUS:VAR|SurgingEuphoriaBonus|1|PREVARGTEQ:WilderLVL,44	BONUS:VAR|SurgingEuphoriaBonus|1|PREVARGTEQ:WilderLVL,52	BONUS:VAR|SurgingEuphoriaBonus|1|PREVARGTEQ:WilderLVL,60													SORTKEY:Class_Wilder	SOURCEPAGE:EPH													
																																													
