SOURCELONG:Expanded Psionics Handbook	SOURCESHORT:EPH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-04
#																								
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:|!PRERULE:1,DisplayFullSpell	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST:	DESC:	Bonus	Bonus
Biofeedback				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psion=2|Wilder=2|Psychic Warrior=1	COMPS:Ma, Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: Psion/Wilder 3, Psychic Warrior 1. Augment: For every 3 additional power points you spend, your damage reduction increases by 1.		
Bite of the Wolf				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psychic Warrior=1	COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1.		
Body Adjustment				TYPE:Power	SCHOOL:Psychometabolism	SUBSCHOOL:Healing		CLASSES:Psion=3|Wilder=3|Psychic Warrior=2	COMPS:Au, Ma	CASTTIME:1 round	RANGE:Personal	TARGETAREA:You.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: Psion/Wilder 5, Psychic Warrior 3. Augment: For every 2 additional power points you spend, this power heals an additional 1d12 points of damage.		
Body Equilibrium				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psion=2|Wilder=2|Psychic Warrior=2	COMPS:Ma, Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3.		
Body Purification				TYPE:Power	SCHOOL:Psychometabolism	SUBSCHOOL:Healing		CLASSES:Psion=3|Wilder=3|Psychic Warrior=2	COMPS:Au, Ma	CASTTIME:1 round	RANGE:Personal	TARGETAREA:You.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: Psion/Wilder 5, Psychic Warrior 3. Augment: For every additional power point you spend, this power heals 1 additional point of damage to the same ability score.		
Bolt				TYPE:Power	SCHOOL:Metacreativity	SUBSCHOOL:Creation		CLASSES:Psion=1|Wilder=1	COMPS:Ma	CASTTIME:1 standard action	RANGE:0-ft.	TARGETAREA:A normal bolt, arrow or sling bullet.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every 3 additional power points you spend, this power improves the ammunition's enhancement bonus on attack rolls and damage rolls by 1.		
Brain Lock				TYPE:Power	SCHOOL:Telepathy	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting		COMPS:Ma, Vi	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One humanoid.	DURATION:Concentration + 1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Augment: You can augment this power in one or both of the following ways. &nl;1. If you spend 2 additional power points, this power can also affect an animal, fey, giant, magical beast, or monstrous humanoid. &nl;2. If you spend 4 additional power points, this power can also affect an aberration, dragon, elemental, or outsider in addition to the creature types mentioned above.		
Breath of the Dragon				TYPE:Power	SCHOOL:Psychometabolism		DESCRIPTOR:Acid	CLASSES:Psion=6|Wilder=6|Psychic Warrior=6	COMPS:Vi	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone-shaped burst centered on you.	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 11. Augment: For every additional power point you spend, this power's damage increases by 1d6 points.		
Burst				TYPE:Power	SCHOOL:Psychoportation			CLASSES:Psychic Warrior=1	COMPS:Au	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1.		
Call to Mind				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=1|Wilder=1	COMPS:Me	CASTTIME:1 minute	RANGE:Personal	TARGETAREA:You.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1.		
Call Weaponry				TYPE:Power	SCHOOL:Psychoportation	SUBSCHOOL:Teleportation		CLASSES:Psychic Warrior=1	COMPS:Ma	CASTTIME:1 round	RANGE:0-ft.	TARGETAREA:One weapon; see text.	DURATION:1 minute/level; see text	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every 4 additional power points you spend, this power improves the weapon's enhancement bonus on attack rolls and damage rolls by 1. For example, if you spend 13 power points, you call a weapon with a +3 enhancement bonus on attack rolls and damage rolls.		
Catapsi				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=5|Wilder=5|Psychic Warrior=5	COMPS:Me, Vi	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:30-ft-radius emanation centered on you.	DURATION:1 round/level	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 9. Augment: For every 4 additional power points you spend, this power's range and the radius of its area both increase by 5 feet.		
Catfall				TYPE:Power	SCHOOL:Psychoportation			CLASSES:Psion=1|Wilder=1|Psychic Warrior=1	COMPS:Au	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You.	DURATION:Until landing or 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every additional power point you spend, this power reduces your damage as if the fall were an additional 10 feet shorter.		
Chameleon				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psychic Warrior=1	COMPS:Ol	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1.		
Charm		KEY:Charm (Psionic)		TYPE:Power	SCHOOL:Telepathy	SUBSCHOOL:Charm	DESCRIPTOR:Mind-Affecting		COMPS:Me	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One humanoid.	DURATION:1 hour/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: You can augment this power in one or more of the following ways. &nl;1. If you spend 2 additional power points, this power can also affect an animal, fey, giant, magical beast, or monstrous humanoid. &nl;2. If you spend 4 additional power points, this power can also affect an aberration, dragon, elemental, or outsider in addition to the creature types mentioned above. &nl;3. If you spend 4 additional power points, this power's duration increases to one day per level. &nl;In addition, for every 2 additional power points you spend to achieve any of these effects, this power's save DC increases by 1. For example, if you spend 8 additional power points (4 to affect an aberration and 4 to increase the duration), this power's save DC increases by 4.		
Clairtangent Hand				TYPE:Power	SCHOOL:Clairsentience	SUBSCHOOL:Scrying			COMPS:Au, Me, Vi	CASTTIME:1 standard action	RANGE:See text	TARGETAREA:See text.	DURATION:Up to 1 round/level; See text	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 9. Augment: If you spend 8 additional power points, you can emulate clairvoyant sense in conjunction with either telekinetic force, telekinetic maneuver, or telekinetic thrust, but this power's duration expires as soon as any of the noted telekinetic powers deals damage.		
Clairvoyant Sense				TYPE:Power	SCHOOL:Clairsentience	SUBSCHOOL:Scrying			COMPS:Au, Vi	CASTTIME:1 standard action	RANGE:See text	TARGETAREA:Psionic sensor.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3.		
Claw of Energy				TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:See text	CLASSES:Psychic Warrior=4	COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7.		
Claw of the Beast				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psychic Warrior=1	COMPS:Vi	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: see text. Augment: see text.		
Claws of the Vampire				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psychic Warrior=3	COMPS:Ma, Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5.		
Cloud Mind				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=2|Wilder=2	COMPS:None	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3.		
Cloud Mind (Mass)	OUTPUTNAME:Cloud Mind, Mass			TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=6|Wilder=6	COMPS:None	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level.	DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 11.		
Compression				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psychic Warrior=1	COMPS:Ol	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: You can augment this power in one or more of the following ways. &nl;1. If you spend 6 additional power points, this power decreases your size by two size categories. You gain a +4 size bonus to Dexterity, a -4 size penalty to Strength (to a minimum effective Strength score of 1), a +2 size bonus on attack rolls, and a +2 size bonus to Armor Class due to your reduced size. &nl;2. If you spend 6 additional power points, you can manifest this power as a swift action instead of a standard action. &nl;3. If you spend 2 additional power points, this power's duration is 1 minute per level rather than 1 round per level.		
Conceal Thoughts				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=1|Wilder=1|Psychic Warrior=1	COMPS:Me	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One willing creature.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1.		
Concealing Amorpha				TYPE:Power	SCHOOL:Metacreativity	SUBSCHOOL:Creation		CLASSES:Psion=2|Wilder=2|Psychic Warrior=2	COMPS:Ma; See text	CASTTIME:1 standard action	RANGE:0-ft.	TARGETAREA:Quasi-real amorphous film centered on you.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3.		
Concealing Amorpha (Greater)	OUTPUTNAME:Concealing Amorpha, Greater			TYPE:Power	SCHOOL:Metacreativity	SUBSCHOOL:Creation		CLASSES:Psychic Warrior=3	COMPS:Ma; See text	CASTTIME:1 standard action	RANGE:0-ft.	TARGETAREA:Quasi-real amorphous film centered on you.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5.		
Concussion Blast				TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:Force	CLASSES:Psion=2|Wilder=2	COMPS:Au	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature or object.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Augment: You can augment this power in one or both of the following ways. &nl;1. For every 2 additional power points you spend, this power's damage increases by 1d6 points. &nl;2. For every 2 additional power points you spend, this power can affect an additional target. Any additional target cannot be more than 15 feet from another target of the power.		
Contingency		KEY:Contingency (Psionic)		TYPE:Power	SCHOOL:Clairsentience			CLASSES:Psion=6|Wilder=6	COMPS:Ol	CASTTIME:10 minutes or longer; see text	RANGE:Personal	TARGETAREA:You.	DURATION:1 day/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH			XPCOST:15		DESC:Power Points: 11. XP Cost: 15 XP.		
Control Air				TYPE:Power	SCHOOL:Psychokinesis				COMPS:Me	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:50-ft radius spread.	DURATION:Concentration, up to 1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Augment: see text.		
Control Body				TYPE:Power	SCHOOL:Psychokinesis				COMPS:Ma	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One Medium or smaller creature with humanoid physiology	DURATION:Concentration, up to 1 minute/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7. Augment: For every 2 additional power points you spend, this power can affect a target one size category larger.		
Control Flame				TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:Fire	CLASSES:Psion=1|Wilder=1	COMPS:Au	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One nonmagical fire source; see text.	DURATION:Concentration, up to 1 minute/level	SAVEINFO:See text	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: You can augment this power in one or both of the following ways. &nl;1. For every 2 additional power points you spend, you can increase the size of a fi re you want to control by one step, up to the maximum size of fi re you can control according to your manifester level. &nl;2. For every 2 additional power points you spend, you can decrease the size of a fi re you want to control by one step. You can reduce a Tiny or smaller fi re to nothing, extinguishing it.		
Control Light				TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:Light	CLASSES:Psion=1|Wilder=1	COMPS:Vi	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Nine 10-ft cubes + three 10-ft cubes/level.	DURATION:Concentration, up to 1 minute/level, or 1 round; see text	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1.		
Control Object				TYPE:Power	SCHOOL:Psychokinesis				COMPS:Ma	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One unattended object weighing up to 100 lb.	DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1.		
Control Sound				TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:Sonic	CLASSES:Psion=2|Wilder=2	COMPS:Au; See text	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One sound or mixture of related sounds.	DURATION:Concentration, up to 1 minute/level; see text	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3.		
Co-Opt Concentration				TYPE:Power	SCHOOL:Telepathy	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Psion=6|Wilder=6	COMPS:Me	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.	DURATION:Concentration, up to 1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 11.		
Correspond				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=4|Wilder=4	COMPS:Me	CASTTIME:10 minutes	RANGE:See text	TARGETAREA:One creature with an Intelligence score of 3 or higher.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7.		
Create Sound				TYPE:Power	SCHOOL:Metacreativity	SUBSCHOOL:Creation	DESCRIPTOR:Sonic	CLASSES:Psion=1|Wilder=1	COMPS:Au; See text	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Sounds; see text.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1.		
Crisis of Breath				TYPE:Power	SCHOOL:Telepathy	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting		COMPS:Au	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One breathing humanoid.	DURATION:1 round/level	SAVEINFO:Will negates, Fort partial; See text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: You can augment this power in one or more of the following ways. &nl;1. If you spend 2 additional power points, this power can also affect an animal, fey, giant, magical beast, or monstrous humanoid. &nl;2. If you spend 4 additional power points, this power can also affect an aberration, dragon, elemental, or outsider in addition to the creature types mentioned above. &nl;3. If you spend 6 additional power points, this power can affect up to four creatures all within a 20-ft.-radius burst. &nl;In addition, for every 2 additional power points you spend to achieve any of these effects, this power's save DC increases by 1. For example, if you spend 10 additional power points (4 to affect an aberration and 6 to increase the number of targets), this power's save DC increases by 5.		
Crisis of Life				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting|Death		COMPS:Me	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.	DURATION:Instantaneous	SAVEINFO:Fortitude partial; see text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 13. Augment: For every additional power point you spend, this power can kill a subject that has Hit Dice equal to 11 + the number of additional points.		
Crystal Shard				TYPE:Power	SCHOOL:Metacreativity	SUBSCHOOL:Creation		CLASSES:Psion=1|Wilder=1	COMPS:Au, Ma	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every additional power point you spend, this power's damage increases by 1d6 points.		
Crystallize				TYPE:Power	SCHOOL:Metacreativity				COMPS:Au	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature.	DURATION:Permanent	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 11.		
Danger Sense				TYPE:Power	SCHOOL:Clairsentience			CLASSES:Psion=3|Wilder=3|Psychic Warrior=3	COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: If you spend 3 additional power points, this power also gives you the uncanny dodge ability; if you spend 6 additional power points, this power gives you the improved uncanny dodge ability as well.		
Darkvision		KEY:Darkvision (Psionic)		TYPE:Power	SCHOOL:Clairsentience			CLASSES:Psion=3|Wilder=3|Psychic Warrior=2	COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: Psion/Wilder 5, Psychic Warrior 3.		
