SOURCELONG:Lords of Darkness 3.0	SOURCESHORT:LoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-10
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	DESC:Beholder mage neither gain nor lose proficiency with any weapons, armor, or shields by gaining levels in this class.					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Change Self	CATEGORY:Special Ability	TYPE:ClassFeatures.DarkmaskClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Darkmask ~ Change Self																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DarkmaskLVL|Disguise Self								SORTKEY:Class_Darkmask	SOURCEPAGE:LoD30		
Skill Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.DarkmaskClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A 2nd-level darkmask gains the Skill Focus feat, which must be applied to one of the darkmask class skills.	KEY:Darkmask ~ Skill Focus									BONUS:ABILITYPOOL|Darkmask Skill Focus|1																	SORTKEY:Class_Darkmask	SOURCEPAGE:LoD30		
Dark Embrace	CATEGORY:Special Ability	TYPE:ClassFeatures.DarkmaskClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A darkmask of 3rd level or higher has the ability to invoke dark embrace once per day, which manifests as a mask of shadow that girds the darkmask's face. The darkmask then casts a divine spell, which is absorbed by the mask of shadow; the spell must be a touch spell or a target spell. As a free action, the darkmask may command the mask to fly at a single creature within 100 feet, at which point that creature is affected by the absorbed spell (saving throws and spell resistance apply normally to the spell) and the dark embrace ends. The dark embrace can remain for 10 minutes. If it vanishes before its stored spell is unleashed, the spell is lost.	KEY:Darkmask ~ Dark Embrace																										SORTKEY:Class_Darkmask	SOURCEPAGE:LoD30		
Sneak Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.DarkmaskClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A darkmask of 3rd level or higher gains the sneak attack ability (as per the rogue class feature).	KEY:Darkmask ~ Sneak Attack									BONUS:VAR|SneakAttackDice|(DarkmaskLVL-1)/2									ABILITY:Special Ability|AUTOMATIC|Sneak Attack								SORTKEY:Class_Darkmask	SOURCEPAGE:LoD30		
Resist Illusion	CATEGORY:Special Ability	TYPE:ClassFeatures.DarkmaskClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A darkmask of 4th level or higher gains a +4 bonus on saving throws against illusions.	KEY:Darkmask ~ Resist Illusion									BONUS:VAR|IllusionResistanceBonus|4									ABILITY:Special Ability|AUTOMATIC|Resistance To Illusion								SORTKEY:Class_Darkmask	SOURCEPAGE:LoD30		
Cloak of Shadows	CATEGORY:Special Ability	TYPE:ClassFeatures.DarkmaskClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A darkmask of 4th level or higher can create a cloak seemingly woven out of mundane shadows. The cloak provides a resistance bonus on saving throws and a profane bonus on Hide checks equal to +1 per class level of the darkmask. The cloak lasts 1 round per class level of the darkmask and can be created once per day.	KEY:Darkmask ~ Cloak of Shadows	DESC:+%1 for %2 %3/day|CloakOfShadowsBonus|CloakOfShadowsDuration|CloakOfShadowsTimes			DEFINE:CloakOfShadowsTimes|0	DEFINE:CloakOfShadowsDuration|0	DEFINE:CloakOfShadowsBonus|0			BONUS:VAR|CloakOfShadowsTimes|1|TYPE=Base	BONUS:VAR|CloakOfShadowsDuration|DarkmaskLVL|TYPE=Base	BONUS:VAR|CloakOfShadowsBonus|DarkmaskLVL|TYPE=Base															SORTKEY:Class_Darkmask	SOURCEPAGE:LoD30		
Bladebend	CATEGORY:Special Ability	TYPE:ClassFeatures.DarkmaskClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:This defensive ability causes the weapon of a single creature attacking the darkmask to turn back and strike its wielder. The darkmask selects the target creature as a free action. If the target creature attacks the darkmask, it makes an attack roll as normal, but the attack is made against the target creature's AC, and if the attack succeeds, the target creature suffers the damage instead of the darkmask. This ability can be activated once per day and lasts 5 rounds. It only affects slashing and piercing weapons, and does not affect natural weapons of any kind.	KEY:Darkmask ~ Bladebend																										SORTKEY:Class_Darkmask	SOURCEPAGE:LoD30		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSkymageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Zhentarim skymages gain no proficiency in weapons, armor, or shields of any type.	KEY:Zhentarim Skymage ~ Weapon and Armor Proficiency																										SORTKEY:Class_Zhentarim_Skymage	SOURCEPAGE:LoD30		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSkymageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A skymage continues training in magic while developing a bond with a flying monster and making political advances within the Black Network. Thus, when a new skymage level is gained, the character increases his spellcasting ability as if he had also gained a level in a spellcasting class he belonged to before he added the prestige class. He does not, however, gain any other benefit a character of that class would have gained (bardic knowledge, metamagic or item creation feats, and so on). This essentially means that he adds the level of skymage to the level of some other spellcasting class the character has, then determines spells per day, spells known (if appropriate), spells added to his spellbook, familiar abilities, and caster level accordingly. If a character had more than one spellcasting class before he became a skymage, he must decide to which class he adds each level of skymage for purposes of determining spellcasting when he adds the new level.	KEY:Zhentarim Skymage ~ Spells per Day																										SORTKEY:Class_Zhentarim_Skymage	SOURCEPAGE:LoD30		
Bonus Scroll	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSkymageClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At each level of Zhentarim skymage gained, the Zhentarim awards the character a scroll of two spells of any level he could cast. If the character has a spellbook, he may instead add these spells to his spellbook immediately at no cost or time spent.	KEY:Zhentarim Skymage ~ Bonus Scroll																										SORTKEY:Class_Zhentarim_Skymage	SOURCEPAGE:LoD30		
Flying Mount	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSkymageClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A Zhentarim skymage can call a flying monster to serve as his personal mount. The mount cannot have more Hit Dice than the Zhentarim skymage's class level + his Charisma modifier + 1. The mount serves the skymage loyally as if it were a druid's or ranger's animal companion, and carries the skymage into combat if desired (if the creature is strong enough to carry the skymage). Should a flying mount die, the character can replace it after gaining two levels in any spellcasting class. Necromancer skymages sometimes use undead monsters as mounts (including the animated corpse of a slain flying mount), and certain powerful conjurer skymages even have enslaved fiends as mounts. If the skymage suffers permanent Charisma damage or loses enough levels that he could no longer have his flying mount, the mount flees at the first opportunity, often attacking its former master before doing so.	KEY:Zhentarim Skymage ~ Flying Mount				DEFINE:FlyingMountLimit|0					BONUS:VAR|FlyingMountLVL|ZhentarimSkymageLVL	BONUS:VAR|FlyingMountLimit|ZhentarimSkymageLVL+CHA+1								ABILITY:Special Ability|AUTOMATIC|Flying Mount								SORTKEY:Class_Zhentarim_Skymage	SOURCEPAGE:LoD30		
Flying Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSkymageClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The skymage gains one of the following feats: Flyby Attack, Mounted Archery, Ride-By Attack, Spirited Charge, or Trample. The skymage must meet all prerequisites for the feat before it can be selected. The Flyby Attack feat applies to the mount, not to the skymage, and cannot be used if the skymage is flying without a mount (such as with a fly spell).	KEY:Zhentarim Skymage ~ Flying Feat									BONUS:ABILITYPOOL|Zhentarim Skymage Flying Feat|ZhentarimSkymageLVL/2																	SORTKEY:Class_Zhentarim_Skymage	SOURCEPAGE:LoD30		
Craft Wand	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSkymageClassFeatures.SpecialQuality	VISIBLE:YES		KEY:Zhentarim Skymage ~ Craft Wand																		ABILITY:FEAT|AUTOMATIC|Craft Wand								SORTKEY:Class_Zhentarim_Skymage	SOURCEPAGE:LoD30		
Share Spell	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSkymageClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The skymage can share spells with his flying mount as if the mount were his familiar. This ability only works if the skymage is riding the mount, and a shared spell ends for the mount instantly if the skymage is no longer riding it.	KEY:Zhentarim Skymage ~ Share Spells																										SORTKEY:Class_Zhentarim_Skymage	SOURCEPAGE:LoD30		
Spell Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSkymageClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The skymage gains the Spell Focus feat.	KEY:Zhentarim Skymage ~ Spell Focus									BONUS:ABILITYPOOL|Zhentarim Skymage Spell Focus|1																	SORTKEY:Class_Zhentarim_Skymage	SOURCEPAGE:LoD30		
Skill Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSkymageClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	 DESC:The skymage gains the Skill Focus feat, which must be applied to one of the Zhentarim skymage class skills.	KEY:Zhentarim Skymage ~ Skill Focus									BONUS:ABILITYPOOL|Zhentarim Skymage Skill Focus|1																	SORTKEY:Class_Zhentarim_Skymage	SOURCEPAGE:LoD30		
Enlarge Spell	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSkymageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:skymage gains the Enlarge Spell feat.	KEY:Zhentarim Skymage ~ Enlarge Spell																		ABILITY:FEAT|AUTOMATIC|Enlarge Spell								SORTKEY:Class_Zhentarim_Skymage	SOURCEPAGE:LoD30		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.EntropistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Entropists gain no proficiency with weapons, armor, or shields of any type.	KEY:Entropist ~ Weapon and Armor Proficiency																										SORTKEY:Class_Entropist	SOURCEPAGE:LoD30		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.EntropistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:An entropist continues training in divine magic while attuning himself to the powers of entropy. Thus, when the character reaches 2nd level or 4th level in this class, he increases his spellcasting ability as if he had also gained a level in a divine spellcasting class he belonged to before he added the prestige class. He does not, however, gain any other benefit a character of that class would have gained (improved chance of rebuking or commanding undead, favored enemy, and so on). If a character had more than one divine spellcasting class before she became a entropist, she must decide when she reaches 2nd level or 4th level to which class she adds these spellcasting levels.	KEY:Entropist ~ Spells per Day																										SORTKEY:Class_Entropist	SOURCEPAGE:LoD30		
Control Sphere	CATEGORY:Special Ability	TYPE:ClassFeatures.EntropistClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An entropist has the ability to control a sphere of annihilation as if he were using a talisman of the sphere.	KEY:Entropist ~ Control Sphere																										SORTKEY:Class_Entropist	SOURCEPAGE:LoD30		
Sanctity of Body	CATEGORY:Special Ability	TYPE:ClassFeatures.EntropistClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An entropist is protected against spells or effects that would destroy or radically transform the shape of his body, such as disintegrate, implosion, petrification, or polymorph. These effects cannot affect the entropist unless he wishes them to. He is also unaffected by a sphere of annihilation, passing through it as if it were empty air. A hand of entropy or eye of entropy (see below) has no effect on him.	KEY:Entropist ~ Sanctity of Body																										SORTKEY:Class_Entropist	SOURCEPAGE:LoD30		
Arcane Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.EntropistClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An entropist of 2nd level or higher gains a +2 bonus on all saving throws against arcane spells, whether they originate from the Weave or the Shadow Weave.	KEY:Entropist ~ Arcane Resistance																										SORTKEY:Class_Entropist	SOURCEPAGE:LoD30		
Hand of Entropy	CATEGORY:Special Ability	TYPE:ClassFeatures.EntropistClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:By expending an available spell slot, an entropist of 3rd level or higher channels the power of Entropy into a black haze around one hand. The hand of entropy can be used to make a melee touch attack as a standard action, and deals 1d6 points of damage + 1 point per level of the spell slot used to create it. The hand can be used on the round it is  created and lasts up to a number of rounds equal to the entropist's divine caster level. For example, a Clr7/Entropist3 could expend a prepared cure moderate wounds spell (2nd level) to create a hand of entropy that deals 1d6+2 points of damage and lasts 10 rounds. The hand otherwise functions like a touch spell. The entropist can use this ability multiple times per day as long as a spell slot is expended each time.	KEY:Entropist ~ Hand of Entropy																										SORTKEY:Class_Entropist	SOURCEPAGE:LoD30		
Arcane Disruption	CATEGORY:Special Ability	TYPE:ClassFeatures.EntropistClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, an entropist of 4th level or higher can create a magical field of energy, which manifests as a slight smoky haze that interferes with the casting of arcane spells. The field is a 30-foot emanation centered on the entropist. Anyone attempting to cast arcane spells within the field must succeed at a Concentration check as if casting on the defensive (DC 15 + spell level). If the check fails, the spell is lost. The field lasts for a number of rounds equal to the entropist's divine caster level.	KEY:Entropist ~ Arcane Disruption																										SORTKEY:Class_Entropist	SOURCEPAGE:LoD30		
Eye of Entropy	CATEGORY:Special Ability	TYPE:ClassFeatures.EntropistClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day, for a maximum of 5 rounds, an entropist of 5th level can create a miniature sphere of entropy. The eye of entropy is absolutely black, 2 inches in diameter, and can be moved up to 30 feet by the entropist as a standard action. Against objects, the eye deals 3d6 points of damage, bypassing the object's hardness. Against creatures, the entropist must make a ranged touch attack to hit, and if successful the eye deals 3d6 points of damage to the target (Fortitude half, DC 12 + the entropist's Wis modifier); this bypasses damage reduction since it is a magical effect. The eye appears in the entropist's square when it is created, and can be moved and used to attack on the round it is formed. If the entropist stops concentrating on the eye, it vanishes.	KEY:Entropist ~ Eye of Entropy																										SORTKEY:Class_Entropist	SOURCEPAGE:LoD30		
