SOURCELONG:Seafarer's Handbook	SOURCESHORT:SHb	SOURCEWEB:http://www.fantasyflightgames.com
#																									
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus
Sea Eyes				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Ranger=0|Sorcerer=0|Wizard=0	COMPS:V, S, M	CASTTIME:1 round	RANGE:Touch	TARGETAREA:One creature or self.	DURATION:1 hour/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:This simple dweomer alters the eyes of a land-dwelling creature to permit clear underwater vision.	SOURCEPAGE:Shb								
Sea Hag's Visage				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:2d4 rounds	SAVEINFO:Will negates	SPELLRES:Yes	DESC:The character transforms his appearance into the horrible visage of a sea hag.	SOURCEPAGE:Shb								
Shape Reef				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Portion of coral reef, up to 10-cu-ft + 1-cu.ft/level.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:The character can form a portion of a reef into any shape that suits the character's purpose.	SOURCEPAGE:Shb								
Shield of the Kuo-Toa				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level or until discharged.	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Aquatic kuo-toas use the body oil they secrete to coat their shields, giving them a sticky surface.	SOURCEPAGE:Shb								
Sink				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:1 ship.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Most of those who travel the sea suspect the existence of this spell, as such magic is the only explanation for some marine disasters.	SOURCEPAGE:Shb								
Sphere of Air				TYPE:Spell	SCHOOL:Evocation			CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:10 minutes/level	SAVEINFO:Reflex negates	SPELLRES:No	DESC:This spell can be either benign or malign, depending on its target and purpose.	SOURCEPAGE:Shb								
Tidal Wave				TYPE:Spell	SCHOOL:Evocation			CLASSES:Cleric=7|Druid=8	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:5-ft/level.	DURATION:1 round	SAVEINFO:See text	SPELLRES:No	DESC:When the character casts tidal wave near a body of water, a huge wall of water appears that collapses on top of creatures and structures, causing great damage.	SOURCEPAGE:Shb								
Transmute Water to Blood				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Up to two 10-ft cubes/level.	DURATION:Permanent	SAVEINFO:See text	SPELLRES:No	DESC:This spell transforms normal water (whether fresh or salt) of any depth into blood.	SOURCEPAGE:Shb								
Underwater Sense				TYPE:Spell	SCHOOL:Divination			CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Cone.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:The caster can locate creatures underwater within the spell's area of effect.	SOURCEPAGE:Shb								
Waterways				TYPE:Spell	SCHOOL:Transmutation	SUBSCHOOL:Teleportation		CLASSES:Sorcerer=4|Wizard=4	COMPS:V, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:the character and touched objects or other touched willing creatures weighing up to 25 lbs/level.	DURATION:Instantaneous	SAVEINFO:none and Will negates (object)	SPELLRES:No and Yes	DESC:This spell instantly transports you from one watery location to another.	SOURCEPAGE:Shb								
Whirlpool				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Water	CLASSES:Druid=8	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Whirlpool 10-ft wide at base, 30-ft wide at top, and 30-ft tall.	DURATION:1 round/level	SAVEINFO:Reflex negates; see text	SPELLRES:Yes	DESC:This spell creates a powerful vortex of spinning water that moves through the water, along the ocean bottom, or just under the surface at 60 feet per round.	SOURCEPAGE:Shb								
Wisdom of the Watery Grave				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Language-Dependent	CLASSES:Cleric=4	COMPS:V, S, DF	CASTTIME:10 minutes	RANGE:See text	TARGETAREA:One creature.	DURATION:1 minute/level	SAVEINFO:Will negates; See text	SPELLRES:No	DESC:Wisdom of the watery grave is a variation of speak with dead and operates under the same restrictions as that spell, with the following exceptions.	SOURCEPAGE:Shb								
