SOURCELONG:Seafarer's Handbook	SOURCESHORT:SHb	SOURCEWEB:http://www.fantasyflightgames.com																																									
#																																											
# Feat Name	CATEGORY:	TYPE:	visible	key	PRETOTALAB	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page	
Port Savvy	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You get a +4 bonus on all Gather Information checks when used in a seaside port city.																	SOURCEPAGE:Shb	
Pressure Survival	CATEGORY:FEAT	TYPE:General	VISIBLE:YES										PRESKILL:1,Swim=1												DESC:You get a +4 circumstance bonus on all Fortitude saves to resist the harmful effects of pressure.																	SOURCEPAGE:Shb	
Riposte	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:6		PREABILITY:1,CATEGORY=FEAT,Parry																		DESC:If you made a successful parry this round, you may make a free melee attack against the opponent you parried. The attack is at your highest attack bonus and all normal modifiers apply. No matter how many parries you have made, you may make no more that one riposte per round, unless you are affected by magic items or spells that increase the number of actions you may make in a round, such haste or boots of speed.																	SOURCEPAGE:Shb	
Rope Climber	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,DEX=13									DESC:You gain a +2 circumstance bonus on all Balance and Climb checks so long as topes and rigging are involved. Thus, making your way up to a crow's nest would qualify for the bonus, but climbing a seer rock cliff would not. In addition, if you are attacked while climbing a rope or rigging, you may choose to negate either the attacker's +2 bonis or the loss of your dexterity bonus to AC, but not both.																	SOURCEPAGE:Shb	
Sea Brother	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You gain a +4 bonus on all Charisma ability and Charisma-based skill checks when dealing with a chosen aquatic race. Special: A character may take this feat multiple times, although he must choose a different qquatic race each time.	STACK:NO	MULT:YES	CHOOSE:RACE|RACESUBTYPE=Aquatic														SOURCEPAGE:Shb	
Sea Dog	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You get a +2 circumstance bonus on all Profession (Sailor) and Use Rope skill checks.													BONUS:SKILL|Profession (Sailor),Use Rope|2|TYPE=Circumstance				SOURCEPAGE:Shb	
Scurvy Dog	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,CON=13									DESC:You gain a +4 bonus on all saving throws against disease, whether to prevent infection, prevent each instance od repeated damage or to recover from disease.														BONUS:VAR|DiseaseResistanceBonus|4			SOURCEPAGE:Shb	ABILITY:Special Ability|AUTOMATIC|Resistance to Disease
Shanty Man	CATEGORY:FEAT	TYPE:General	VISIBLE:YES										PRESKILL:1,TYPE.Perform=1												DESC:You get a +2 circumstance bonus on Perform checks before an audience composed largerly of sailors and other sea travelers. A successful performance grants you a +2 circumstance bonus on Charisma checks, as well as Bluff and Diplomacy checks, when dealing with someone who heard your performance.																	SOURCEPAGE:Shb	
Shorewalker	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PRERACE:1,RACESUBTYPE=Aquatic				DESC:You have trained in combat on land as well as underwater and have learned to use you senses properly when venturing into the flatlands. This has the following effects:&nl;You suffer no Spot, Search or Listen penalties whe on land.&nl;You do not suffer the -1 circumstance penalties on attack rolls and Armor Class.&nl;You suffer only a -2 circumstance penalty on Jump and Tumble checks when on land.&nl;The problem with aquatic armor on land cannot be overcome by skill or training; this is why land dwellers rarely see armored sea folk on dry land.																	SOURCEPAGE:Shb	
Storm Sense	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:By taking just a few moments to study your surroundings, you can tell if a storm of any sort will affect your current location within the next three hours. For the purposes of this feat, "storm" includes rain showers, thunderstorms, hurricanes and any other weather phenomena that are accompanied by high winds or precipitation (rain, snow, sleet, etc..). Storm sense can also predict the arrival of magical effects and creatures that mimic storms if those effects are already active at the time the character studies his surroundings for signs of their approach.																	SOURCEPAGE:Shb	
Swing-by Attack	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Rope Climber						PRESKILL:1,Climb=1												DESC:When you are swinging from a rope and use the charge action, you may move and attack as with a standard charge and then move again (continuing the straight line of the charge). Your total movement fot the swing-by attack cannot exceed the total allowed for the swinging charge. You do not provoke an attack of ppportunity from the opponenet that you attack. Limit: the benefit is lost if you are in armor heavier than light armor or you are carrying heavy load.																	SOURCEPAGE:Shb	
Tail Slam	CATEGORY:FEAT	TYPE:General	VISIBLE:YES							PRETEXT:Merfolk or tailed half-merrow only.															DESC:You may make a powerful sweep with your tail to slam opponents backward. The opponent must be within 10-ft of you, and there must not be anyone directly between you and the target. You and the defender make opposed Strength checks. You gain +4 bonus for each size category greater than Medium or a -4 penalty for each size category below Medium-size. The defender gets a +4 circumstance bonus if he has more than 10 ranks in Swim. If the defender loses the Strength check, he is shoved back 5-ft, provoking an attack of opportunity if he enter another charachter's threatened area. You do not need to move to use the Tail Slam. In many cases, your tail never actually touches your opponent, as the maneuver creates a poerful surge of water that can bowl the target over. Anyone slammed while casting a spell must make a Concentration check (DC 10+spell level+the number of points by which the target failed the opposed Strength check). Using this feat is a standard action that provokes attacks of opportunity. This feat may only be used underwater and can only affect underwater targets.																	SOURCEPAGE:Shb	
Tail Walk	CATEGORY:FEAT	TYPE:General	VISIBLE:YES							PRETEXT:Merfolk or tailed half-merrow only.															DESC:Your base land speed increases to 10-ft.																	SOURCEPAGE:Shb	MOVE:Walk,10
# Two-Weapon Defense	CATEGORY:FEAT	TYPE:General.Fighter.ModifyAC	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Two-Weapon Fighting									PRESTAT:1,DEX=15								DEFINE:TwoWeaponShield|0	DESC:When wielding a double weapon or two weapons (not including natural weapons or unarmed strikes), you gain a +1 shield bonus to your AC. When you are fighting defensively or using the total defense action, this shield bonus increases to +2.									BONUS:COMBAT|AC|TwoWeaponShield|TYPE=Shield|PREMULT:1,[PREEQUIP:1,TYPE=Double],[PREMULT:2,[PREEQUIPPRIMARY:1,TYPE=Melee],[PREEQUIPSECONDARY:1,TYPE=Melee]]					BONUS:VAR|TwoWeaponShield|1			SOURCEPAGE:PHB	
Waterfront Native	CATEGORY:FEAT	TYPE:General	VISIBLE:YES			PRELEVELMAX:1				PRETEXT:Must come from an area bordering an oceas, sea, major river or large lake.															DESC:You learn the Swim skill as a class skill. You may also designate a skill that is normally penalized, such as Disable Device, as one that you have trained underwater. You must have the minimum number of skill ranks specified in the skill description to negate the penalty. Furthermore, this feat can only be applied to a skill if the description notes that the penalty can be negated with training.	STACK:NO	MULT:YES	CHOOSE:SKILL|ANY														SOURCEPAGE:Shb	CSKILL:Swim
Weapons of Opportunity	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:4																				DESC:You can use virtually any mundane object that you can lift as if it were a weapon. You attack with all normal bonuses, ncluding those from applicable feats.- Damage for a weapon of opportunity depends on its size (SHB pag 24)																	SOURCEPAGE:Shb	
