SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09																							
																										
#																										
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus	
Boreal Wind				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Cold	CLASSES:Bard=5|Cleric=5|Druid=4|Sorcerer=5|Wizard=5	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Gust of wind (20 ft. Wide, 20 ft. high) emanating out from you to the extreme of the range	DURATION:1 round + 1 round/2 levels	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Gust of wind deals 1d4 cold damage/level and knocks creatures back.	SOURCEPAGE:Fro									
Brumal Stiffening				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold	CLASSES:Cleric=2|Druid=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One weapon.	DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Brittle weapon's hardness reduced by 5.	SOURCEPAGE:Fro									
Call Avalanche				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Cold	CLASSES:Druid=5	COMPS:V, S	CASTTIME:1 full round	RANGE:Long	TARGETAREA:10 ft.-radius/level spread	DURATION:Instantaneous	SAVEINFO:Reflex half; see text	SPELLRES:No	DESC:Avalanche of ice and snow falls from sky, burying subjects.	SOURCEPAGE:Fro									
Column of Ice				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Druid=3|Sorcerer=4|Wizard=4	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One column of ice, 10-ft. Radius and 5 ft./level in height	DURATION:Permanent	SAVEINFO:Reflex negates	SPELLRES:No	DESC:Column of ice erupts from ground, lifting anything in its area into the air.	SOURCEPAGE:Fro						DESC:Arcane Material Component: A 2-inch rod of ice.			
Cometstrike				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Druid=9	COMPS:V, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Three different creatures or objects	DURATION:3 rounds	SAVEINFO:Reflex partial	SPELLRES:No	DESC:Three comets per round strike targets, each dealing 3d6 bludgeoning damage and 1d4/level cold damage.	SOURCEPAGE:Fro									
Conjure Ice Beast I				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Cleric=1|Druid=1|Ranger=1	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One conjured ice creature	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro									
Conjure Ice Beast II				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Cleric=2|Druid=2|Ranger=2	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One conjured ice creature	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro									
Conjure Ice Beast III				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Cleric=3|Druid=3|Ranger=3	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more conjured ice creatures, no two of which can be more than 30 ft. apart	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro									
Conjure Ice Beast IV				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Cleric=4|Druid=4|Ranger=4	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more conjured ice creatures, no two of which can be more than 30 ft. apart	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro									
Conjure Ice Beast V				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Cleric=5|Druid=5	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more conjured ice creatures, no two of which can be more than 30 ft. apart	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro									
Conjure Ice Beast VI				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Cleric=6|Druid=6	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more conjured ice creatures, no two of which can be more than 30 ft. apart	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro									
Conjure Ice Beast VII				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Cleric=7|Druid=7	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more conjured ice creatures, no two of which can be more than 30 ft. apart	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro									
Conjure Ice Beast VIII				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Cleric=8|Druid=8	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more conjured ice creatures, no two of which can be more than 30 ft. apart	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro									
Conjure Ice Beast IX				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Cleric=9|Druid=9	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more conjured ice creatures, no two of which can be more than 30 ft. apart	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjure ice creature to fight for you.	SOURCEPAGE:Fro									
Conjure Ice Object				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Cleric=2|Druid=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:One object of up to 5 lb./level	DURATION:1 minute/level	SAVEINFO:None (Harmless)	SPELLRES:No	DESC:Conjures an object made of ice.	SOURCEPAGE:Fro									
Control Snow and Ice				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Ice and snow in a volume of 10 ft./level by 10 ft./level by 2 ft./level (S)	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Raise or lower ice or snow.	SOURCEPAGE:Fro									
Control Temperature				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold|Fire	CLASSES:Druid=3|Sorcerer=3|Wizard=3	COMPS:V, S, M/DF	CASTTIME:1 full round	RANGE:20 ft./level	TARGETAREA:20 cu. ft./level emanation, centered on you	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Raise or lower temperature by one band/5 levels.	SOURCEPAGE:Fro						DESC:Arcane Material Component: A drop of mercury.			
Crack Ice				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:10-ft.-radius/level spread; or one ice creature	DURATION:Instantaneous	SAVEINFO:Fortitude half; See text	SPELLRES:Yes	DESC:Shatters ice structures or ice creatures.	SOURCEPAGE:Fro		COST:50				DESC:Material Component: A hammer carved from salt crystal (50 gp).			
Crunchy Snow				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold	CLASSES:Druid=1|Ranger=1	COMPS:V, S, Frostfell	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One 20-ft.-by-20-ft. square of snow/level	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:-20 penalty on Move Silently checks in area.	SOURCEPAGE:Fro									
Death Hail				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold|Death	CLASSES:Druid=6	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:Cylinder (40-ft radius, 20 ft. High)	DURATION:1 round/level	SAVEINFO:Fortitude half	SPELLRES:No	DESC:Summons a storm of death hail.	SOURCEPAGE:Fro									
Defile Snow and Ice				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Cold|Evil	CLASSES:Cleric=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10 ft./level radius spread	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Grants undead a +4 profane bonus against turning and cold creatures SR 15 against fire spells.	SOURCEPAGE:Fro									
Detect Fire				TYPE:Spell	SCHOOL:Divination		DESCRIPTOR:Cold	CLASSES:Cleric=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:60-ft.	TARGETAREA:Cone-shaped emanation.	DURATION:Concentration, up to 10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Detect fire within 60-ft.	SOURCEPAGE:Fro									
Dispel Cold				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Fire	CLASSES:Cleric=5	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and a touched evil creature from another plane; or you and an enchantment or evil spell on a touched creature or object.	DURATION:1 round/level or until discharged, whichever comes first	SAVEINFO:See text	SPELLRES:See text	DESC:Cancels cold spells and effects.	SOURCEPAGE:Fro									
Dispel Fire				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Fire	CLASSES:Cleric=5	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and a touched evil creature from another plane; or you and an enchantment or evil spell on a touched creature or object.	DURATION:1 round/level or until discharged, whichever comes first	SAVEINFO:See text	SPELLRES:See text	DESC:Cancels fire spells and effects.	SOURCEPAGE:Fro									
Ease of Breath				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Cold	CLASSES:Cleric=1|Druid=1|Ranger=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:+20 inherent bonus on Fortitude saves to resist altitude sickness.	SOURCEPAGE:Fro									
Entomb				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Cold	CLASSES:Druid=6|Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature/level, no two of which can be more than 30 ft. apart	DURATION:Instantaneous and 1 round/level; see text	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Captures subjects in blocks of ice, suffocating them.	SOURCEPAGE:Fro		COST:500				DESC:Material Component: A clear gemstone with a minimum value of 500 gp.			
Evergreen				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Fire	CLASSES:Druid=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10-ft.-radius	DURATION:1 hour/level and instantaneous; see text	SAVEINFO:None	SPELLRES:No	DESC:Magical heat warms plant life, healing 1d8 damage+1/level (max +10) and granting immunity to cold.	SOURCEPAGE:Fro									
Fimbulwinter				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold	CLASSES:Cleric=9|Druid=8|Sorcerer=8|Wizard=8	COMPS:V, S, XP	CASTTIME:10 minutes; see text	RANGE:1 mile/level	TARGETAREA:1 mile/level radius, centered on you	DURATION:4d12 weeks	SAVEINFO:None	SPELLRES:No	DESC:Creates winter weather for miles around you that lasts for months.	SOURCEPAGE:Fro			XPCOST:100						
Flash-Freeze				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Earth|Cold	CLASSES:Druid=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:10-ft. square/level	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Earth, stone and water become frozen.	SOURCEPAGE:Fro									
Flesh to Ice				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Turns subject into statue of ice.	SOURCEPAGE:Fro						DESC:Material Component: Water and a drop of blood.			
Float		KEY:Float ~ Arcane		TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:One Large or smaller creature or object	DURATION:1 minute/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject becomes buoyant.	SOURCEPAGE:Fro						DESC:Material Component: An ice cube dropped into water.			SERVESAS:SPELL|Float
Fortify Cold Creature				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold	CLASSES:Cleric=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of which can be more than 30-ft apart.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Cold subtype creatures gain +1 sacred bonus on attacks and saves against fire effects.	SOURCEPAGE:Fro									
Freeze Armor				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold	CLASSES:Cleric=4|Druid=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Metal equipment of one creature/level	DURATION:1 round/level	SAVEINFO:Fortitude partial; See text	SPELLRES:Yes	DESC:Locks up suits of metal armor and equipment, dealing damage and impeding movement.	SOURCEPAGE:Fro									
Freezing Glance				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Cold	CLASSES:Sorcerer,Wizard=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.	DURATION:1 round/level; See text	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Gaze freezes subject in place.	SOURCEPAGE:Fro									
Frost Weapon				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=2|Druid=2|Sorcerer,Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched.	DURATION:1 round/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:No	DESC:Weapon gains frost special ability, +1d6 cold damage.	SOURCEPAGE:Fro						DESC:Material Component: A drop of water.			
Frostbite				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Cleric=5	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/2 level, no two of which can be more than 30-ft apart.	DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:Chilled air causes 6d6 cold damage and 2d6 Dex damage.	SOURCEPAGE:Fro									
Frostburn				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Cold	CLASSES:Cleric=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:Touch deals 3d12 frostburn damage +1/level (max +20).	SOURCEPAGE:Fro									
Frostburn (Lesser)				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Cold	CLASSES:Cleric=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:Touch deals 1d12 frostburn damage +1/level (max +5).	SOURCEPAGE:Fro									
Frostburn (Mass)				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Cold	CLASSES:Cleric=6	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of which can be more than 30-ft apart.	DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:Deals 3d12+1/level (max +20) frostburn damage to many creatures.	SOURCEPAGE:Fro									
Frostfell				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold	CLASSES:Druid=8|Sorcerer,Wizard=9	COMPS:V, S, M/DF	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:20-ft cube/level	DURATION:1 hour/level	SAVEINFO:Fortitude partial; See text	SPELLRES:See text	DESC:Intense cold turns all subjects in area into ice.	SOURCEPAGE:Fro						DESC:Arcane Material Component: A pinch of dust and a few drops of water.			
Frostfell Slide				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Teleportation	DESCRIPTOR:Cold	CLASSES:Druid=4|Ranger=4	COMPS:V, S, DF, Frostfell	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level or until expended; See text	SAVEINFO:None	SPELLRES:No	DESC:Move instatky from one area of frostfell into another.	SOURCEPAGE:Fro									
Gelid Blood				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Cold	CLASSES:Sorcerer,Wizard=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:1 round/level	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:Subject takes -4 penalty on attacks, AC, Str and Dex related checks, 50%% failure of spells with somatic components,	SOURCEPAGE:Fro						DESC:Material Component: A pinch of flour.			
Glacial Globe of Invulnerability				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Cold	CLASSES:Cleric=4|Sorcerer,Wizard=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:10 ft	TARGETAREA:10-ft radius spherical emanation, centered on you.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Stops 1st through 3rd level fire spell effects and provides concealment.	SOURCEPAGE:Fro						DESC:Arcane Material Component: A tiny sphere of ice that shatters at the expiration of the spell.			
Glacial Ward (Greater)				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Cold	CLASSES:Sorcerer,Wizard=4	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Area around you provides SR 25 against fire spells and effects.	SOURCEPAGE:Fro						DESC:Material Component: A pinch of sulfur. Coldfire Component: One ounce of coldfire.			
Glacial Ward				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Cold	CLASSES:Sorcerer,Wizard=4	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Subject gains SR 18 against fire spells and effects.	SOURCEPAGE:Fro						DESC:Material Component: A pinch of sulfur.			
Glacier				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Druid=8	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One 20-ft cube/2 levels.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjures glaciers that attack your enemies.	SOURCEPAGE:Fro									
Glaze Lock				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Sorcerer,Wizard=1	COMPS:V, S	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Lock touched.	DURATION:10 minutes/level; See text.	SAVEINFO:None	SPELLRES:No	DESC:Jams locks with snow and ice, raising Open Lock DC by 10 and lock's hardenn by 5.	SOURCEPAGE:Fro									
Heartfreeze				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Cold	CLASSES:Sorcerer,Wizard=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:Instantaneous	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:Subject exhausted, dies in 1d3+2 rounds.	SOURCEPAGE:Fro						DESC:Material Component: A strip of dried humanoid sinew.			
Heat Leech				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Cold	CLASSES:Sorcerer,Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:1 round/level	SAVEINFO:Fortitude negates; See text	SPELLRES:Yes	DESC:Subject takes 1d8 points of cold damage/round.	SOURCEPAGE:Fro						DESC:Material Component: A leech and a pinch of snow.			
Hibernal Healing				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold	CLASSES:Cleric=5|Druid=4	COMPS:V, S, Frostfell	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:You.	DURATION:Instantaneous	SAVEINFO:Fortitude half (harmless)	SPELLRES:Yes	DESC:You absorb ice, slush and snow, curing 10 points/level of damage (max 150).	SOURCEPAGE:Fro									
Hibernate				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Cold	CLASSES:Cleric=5|Druid=5	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature.	DURATION:1 week/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Sends subject into state of hibernation for one week/level.	SOURCEPAGE:Fro									
Ice Assassin				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Shadow		CLASSES:Sorcerer,Wizard=9	COMPS:V, S, M, XP	CASTTIME:8 hours	RANGE:Touch	TARGETAREA:One duplicate creature.	DURATION:Instantaneous	SAVEINFO:None; See text	SPELLRES:No	DESC:Creates duplicate of creature with sole purpose of slay original.	SOURCEPAGE:Fro		COST:20000	XPCOST:5000			DESC:Material Component: This spell is cast over the ice statue of the creature to be duplicated. Some portion of the creature to be duplicated (hair, nail, and so on) must be placed inside the ice statue as it is constructed. In addition, the spell requires powdered diamond worth 20,000 gp. XP Cost: 5,000.			
Ice Castle				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Sorcerer,Wizard=7	COMPS:V, S, F	CASTTIME:10 minutes	RANGE:Medium	TARGETAREA:Fortress of ice and snow.	DURATION:24 hours.	SAVEINFO:None	SPELLRES:No	DESC:Creates castle of snow and ice with an array of magical effects.	SOURCEPAGE:Fro		COST:2000				DESC:Arcane Focus: A piece of blue ice carved to resemble the desired castle worth 2,000 gp.			
