SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Immortality of the Mountain	CATEGORY:Special Ability	TYPE:ClassFeatures.CloudAnchoriteClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Upon reaching 10th level, a cloud anchorite has achieved the apotheosis she has sought. She no longer has a maximum age, and will never die of old age. Additionally, she no longer has to make saving throws to avoid altitude sickness or fatigue from thin air, and gains a +2 sacred bonus on all Wisdom checks and all saving throws while in mountain terrain.	KEY:Cloud Anchorite ~ Immortality of the Mountain																										SORTKEY:Class_Cloud_Anchorite	SOURCEPAGE:Fro	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.CryokineticistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Cryokineticists gain no proficiency with any weapons, armor, or shields.	KEY:Cryokineticist ~ Weapon and Armor Proficiency																										SORTKEY:Class_Cryokineticist	SOURCEPAGE:Fro	
Glacial Ray	CATEGORY:Special Ability	TYPE:ClassFeatures.CryokineticistClassFeatures.SpecialAttack.AttackOption	VISIBLE:YES	DESC:A cryokineticist can launch a frigid ray that freezes water and damages living creatures. The ray does 1d12 points of cold damage to any living creature on a successful ranged touch attack (up to 15 feet). The ray also freezes one pint of water per level of cryokineticist.	KEY:Cryokineticist ~ Glacial Ray									BONUS:VAR|GlacialRay|1|TYPE=Base									ABILITY:Special Ability|AUTOMATIC|Glacial Ray								SORTKEY:Class_Cryokineticist	SOURCEPAGE:Fro	
Cold Adaptation	CATEGORY:Special Ability	TYPE:ClassFeatures.CryokineticistClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, the cryokineticist becomes resistant to cold, gaining a +4 bonus on all saving throws against cold and cold spells and spell-like abilities. In addition, the cryokineticist gains resistance to cold 10.	KEY:Cryokineticist ~ Cold Adaptation				DEFINE:CryokineticistColdAdaptation|0					BONUS:VAR|CryokineticistColdAdaptation|10	BONUS:VAR|ColdResistanceBonus|CryokineticistColdAdaptation|TYPE=Resistance								ABILITY:Special Ability|AUTOMATIC|Resistance To Cold								SORTKEY:Class_Cryokineticist	SOURCEPAGE:Fro	
Frozen Fist	CATEGORY:Special Ability	TYPE:ClassFeatures.CryokineticistClassFeatures.SpecialAttack.PsiLike	VISIBLE:YES	DESC:At 2nd level, the cryokineticist can activate this psi-like ability as a move action. One of the cryokineticist's clenched fists freezes into a solid block of ice that does him no harm, but causes his unarmed attacks to be treated as armed. A Medium cryokineticist deals 1d6 points of bludgeoning damage and 1d8 points of cold damage instead of any other special damage from the unarmed attack. The bludgeoning damage changes based on size, but the cold damage remains 1d8. This ability lasts a number of rounds equal to the cryokineticist's class level.	KEY:Cryokineticist ~ Frozen Fist																										SORTKEY:Class_Cryokineticist	SOURCEPAGE:Fro	
Bolt of Cold	CATEGORY:Special Ability	TYPE:ClassFeatures.CryokineticistClassFeatures.SpecialAttack.PsiLike	VISIBLE:YES	DESC:Beginning at 3rd level, three times per day, the cryokineticist can launch a bolt of psionically manifested cold up to 60 feet at any target in line of sight as a standard action. This psi-like ability is treated as a ranged touch attack and deals 3d6 points of cold damage.	KEY:Cryokineticist ~ Bolt of Cold									BONUS:VAR|BoltOfCold|3|TYPE=Base									ABILITY:Special Ability|AUTOMATIC|Glacial Ray								SORTKEY:Class_Cryokineticist	SOURCEPAGE:Fro	
Weapon Afrost	CATEGORY:Special Ability	TYPE:ClassFeatures.CryokineticistClassFeatures.SpecialQuality.PsiLike	VISIBLE:YES	DESC:At 4th level, as a move action, the cryokineticist can cause a melee weapon he wields to become sheathed in a layer of intense cold, granting the weapon the frost special ability (+1d6 points of cold damage on a successful strike). If he lets go of the weapon, the frost dissipates immediately, otherwise it lasts for a number of rounds equal to his cryokineticist class level.	KEY:Cryokineticist ~ Weapon Afrost																										SORTKEY:Class_Cryokineticist	SOURCEPAGE:Fro	
Frostfell Creature Insight	CATEGORY:Special Ability	TYPE:ClassFeatures.CryokineticistClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:At 5th level, the cryokineticist gains a +2 insight bonus on attack and damage rolls against all creatures with the cold subtype.	KEY:Cryokineticist ~ Frostfell Creature Insight																										SORTKEY:Class_Cryokineticist	SOURCEPAGE:Fro	ASPECT:CombatBonus|+2 insight bonus on attack and damage rolls against all creatures with the cold subtype.
Cold Walk	CATEGORY:Special Ability	TYPE:ClassFeatures.CryokineticistClassFeatures.SpecialQuality.PsiLike	VISIBLE:YES	DESC:Starting at 6th level, the cryokineticist can walk on air that is 32° F or colder (cold, severe cold, extreme cold or unearthly cold temperatures). He moves at his normal speed in all directions, including vertically, but cannot move more than double his speed in a single round. A coldwalker leaves footprints of coldfire in the air that disperse in 2 rounds, but his tread does not deal damage. He must pay 1 power point per round traveled in this fashion.	KEY:Cryokineticist ~ Cold Walk																										SORTKEY:Class_Cryokineticist	SOURCEPAGE:Fro	
Fear No Cold	CATEGORY:Special Ability	TYPE:ClassFeatures.CryokineticistClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 7th level, the cryokineticist is perfectly at home in cold temperatures. He now has a +8 bonus on all saving throws against cold and cold spells and spell-like abilities, and resistance to cold 20.	KEY:Cryokineticist ~ Fear no Cold									BONUS:VAR|CryokineticistColdAdaptation|10																	SORTKEY:Class_Cryokineticist	SOURCEPAGE:Fro	
Greater Weapon Afrost	CATEGORY:Special Ability	TYPE:ClassFeatures.CryokineticistClassFeatures.SpecialQuality.PsiLike	VISIBLE:YES	DESC:At 8th level, the cryokineticist's weapon afrost ability improves, dealing +2d6 points of cold damage on a successful strike. In addition, the cryokineticist can instead choose to apply this ability to his frozen fi st (see above), which increases the cold damage of frozen fist from 1d8 to 2d8.	KEY:Cryokineticist ~ Greater Weapon Afrost																										SORTKEY:Class_Cryokineticist	SOURCEPAGE:Fro	
Wall of Ice	CATEGORY:Special Ability	TYPE:ClassFeatures.CryokineticistClassFeatures.SpecialAttack.PsiLike	VISIBLE:YES	DESC:At 9th level, the cryokineticist gains the ability to create walls of ice, as the spell wall of ice. It is a full-round action to use this psi-like ability, and the cryokineticist must expend his psionic focus. The cryokineticist manifests this as a psi-like ability but otherwise it is just as if a 9th-level sorcerer cast the spell wall of ice.	KEY:Cryokineticist ~ Wall of Ice																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=CryokineticistLVL|Wall of Ice,14+CHA								SORTKEY:Class_Cryokineticist	SOURCEPAGE:Fro	
Bone Chill	CATEGORY:Special Ability	TYPE:ClassFeatures.CryokineticistClassFeatures.SpecialAttack.PsiLike	VISIBLE:YES	DESC:At 10th level, the cryoki neticist gains the ability to create a massive burst of supernal cold around him, f lash-freezing everything in the area. Once per day, the cryokineticist can use this psi-like ability to deal 9d6+21 points of cold damage in a 30-foot-radius burst emanating from himself (Fortitude save DC 15 + Cha modifier for half damage). Any creature failing its Fortitude saving throw against bone chill must succeed on a second Fortitude saving throw at the same DC or die due to the extreme shock of the intense cold.	KEY:Cryokineticist ~ Bone Chill																										SORTKEY:Class_Cryokineticist	SOURCEPAGE:Fro	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfThrymClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Disciples of Thrym are proficient with all simple and martial weapons, with all types of armor, and with shields.	KEY:Disciple of Thrym ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Disciple_Of_Thrym	SOURCEPAGE:Fro	
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfThrymClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A disciple of Thrym can cast a small number of divine spells. To cast a spell, the disciple must have a Wisdom score of at least 10 + the spell's level. The disciple of Thrym's spells are based on Wisdom, and saving throws against these spells have a DC of 10 + spell level + the disciple's Wisdom modifi er. A disciple of Thrym otherwise casts spells as a cleric does, although he cannot swap out prepared spells to spontaneously cast cure or infl ict spells. The disciple's spell list appears at the end of this prestige class description; when he prepares spells, he may select from any of the spells on this list.	KEY:Disciple of Thrym ~ Spells per Day				DEFINE:Caster_Level_Disciple_Of_Thrym|0	DEFINE:Caster_Level_BL_Disciple_Of_Thrym|0				BONUS:CASTERLEVEL|Disciple of Thrym|Caster_Level_Disciple_Of_Thrym	BONUS:VAR|Caster_Level_Disciple_Of_Thrym|DiscipleOfThrymLVL+Caster_Level_Bonus	BONUS:VAR|Caster_Level_BL_Disciple_Of_Thrym|charbonusto("PCLEVEL","Disciple of Thrym")	BONUS:VAR|Caster_Level_Highest__Divine|Caster_Level_Disciple_Of_Thrym+Caster_Level_BL_Disciple_Of_Thrym|TYPE=Base														SORTKEY:Class_Disciple_Of_Thrym	SOURCEPAGE:Fro	
Detect Fire	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfThrymClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 1st level, the disciple of Thrym can detect fire at will as a cleric of a level equal to his class level.	KEY:Disciple of Thrym ~ Detect Fire																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=DiscipleOfThrym|Detect Fire								SORTKEY:Class_Disciple_Of_Thrym	SOURCEPAGE:Fro	
Protection of Winter	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfThrymClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 1st level, the disciple of Thrym gains greater protection based on the local temperature. In cold areas (temperature at or below 40° F), he gains +1 sacred bonus on all saving throws and a +1 bonus to Armor Class. In areas of extreme cold (below -20° F), the sacred bonus is increased to +2 on all saves and AC.	KEY:Disciple of Thrym ~ Protection of Winter																										SORTKEY:Class_Disciple_Of_Thrym	SOURCEPAGE:Fro	
Resistance to Fire	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfThrymClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, the disciple of Thrym gains resistance to fire 5. At 6th level, this increases to resistance to fire 10.	KEY:Disciple of Thrym ~ Resistance to Fire				DEFINE:DiscipleOfThrymResistanceToFire|0					BONUS:VAR|DiscipleOfThrymResistanceToFire|5	BONUS:VAR|DiscipleOfThrymResistanceToFire|5|PREVARGTEQ:DiscipleOfThrymLVL,6	BONUS:VAR|FireResistanceBonus|DiscipleOfThrymResistanceToFire|TYPE=Resistance							ABILITY:Special Ability|AUTOMATIC|Resistance To Fire								SORTKEY:Class_Disciple_Of_Thrym	SOURCEPAGE:Fro	
Powerful Grip	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfThrymClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, the disciple of Thrym gains a damage bonus equal to half his Strength bonus when he attacks with a greataxe. This means he adds 2 times his Strength bonus on his damage rolls instead of 1-1/2 times his Strength bonus when wielding the weapon in two hands.	KEY:Disciple of Thrym ~ Powerful Grip									BONUS:WEAPONPROF=Greataxe|DAMAGE|STR/2																	SORTKEY:Class_Disciple_Of_Thrym	SOURCEPAGE:Fro	
Frost Greataxe	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfThrymClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 4th level, as a move action, the disciple of Thrym can cause a greataxe he wields to become sheathed in a layer of intense cold, granting the axe the frost special ability (+1d6 points of cold damage on a successful strike). If he lets go of the axe, the frost dissipates immediately; other wise it lasts for a number of rounds equal to his class level.	KEY:Disciple of Thrym ~ Frost Greataxe																										SORTKEY:Class_Disciple_Of_Thrym	SOURCEPAGE:Fro	
Agonizing Strike	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfThrymClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 5th level, an assassin can no longer be flanked, since he can react to opponents on opposite sides of him as easily as he can react to a single attacker. This defense denies rogues the ability to use flank attacks to sneak attack the assassin. The exception to this defense is that a rogue at least four levels higher than the assassin can flank him (and thus sneak attack him). If a character gains uncanny dodge (see above) from a second class (such as a barbarian/rogue), the character automatically gains improved uncanny dodge, and the levels from those classes stack to determine the minimum rogue level required to flank the character.	KEY:Disciple of Thrym ~ Agonizing Strike	DESC:%1d6 damage %2/day|DiscipleOfThrymAgonizingStrikeDamage|DiscipleOfThrymAgonizingStrikeTimes			DEFINE:DiscipleOfThrymAgonizingStrikeTimes|0	DEFINE:DiscipleOfThrymAgonizingStrikeDamage|0				BONUS:VAR|DiscipleOfThrymAgonizingStrikeTimes|1	BONUS:VAR|DiscipleOfThrymAgonizingStrikeTimes|1|PREVARGTEQ:DiscipleOfThrymLVL,9	BONUS:VAR|DiscipleOfThrymAgonizingStrikeDamage|DiscipleOfThrymLVL/2															SORTKEY:Class_Disciple_Of_Thrym	SOURCEPAGE:Fro	
Dispel Fire	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfThrymClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 7th level, the disciple of Thrym can dispel fire as a cleric of the same level a number of times per day equal to 1 + his Charisma modifier.	KEY:Disciple of Thrym ~ Dispel Fire																		SPELLS:Innate|TIMES=1+CHA|CASTERLEVEL=DiscipleOfThrym|Dispel Fire								SORTKEY:Class_Disciple_Of_Thrym	SOURCEPAGE:Fro	
Icy Greataxe	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfThrymClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 8th level, as a move action, the disciple of Thrym can cause a greataxe he wields to become sheathed in a layer of intense cold, granting the axe the icy burst special ability (+1d6 points of cold damage on a successful strike, plus an extra 2d10 points of cold damage on a successful critical). If he lets go of the axe, the frost dissipates immediately, otherwise it lasts for a number of rounds equal to his class level.	KEY:Disciple of Thrym ~ Icy Greataxe																										SORTKEY:Class_Disciple_Of_Thrym	SOURCEPAGE:Fro	
Immunity to Fire	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfThrymClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 10th level, the disciple of Thrym gains immunity to fire, becoming prepared for the burning flames of Surtur that will destroy the multiverse.	KEY:Disciple of Thrym ~ Immunity to Fire																		ABILITY:Special Ability|AUTOMATIC|Immunity to Fire								SORTKEY:Class_Disciple_Of_Thrym	SOURCEPAGE:Fro	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.FrostMageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Frost mages gain no proficiency with any weapons, armor, or shields.	KEY:Frost Mage ~ Weapon and Armor Proficiency																										SORTKEY:Class_Frost_Mage	SOURCEPAGE:Fro	
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.FrostMageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At every level gained in the frost mage class, the character gains new spells per day (and spells known, if applicable) as if he had also gained a level in a spellcasting class he belonged to before adding the prestige class. He does not, however, gain any other benefi t a character of that class would have gained (metamagic or item creation bonus feats, hit points beyond those he receives from the prestige class, and so on), except for an increased effective level of spellcasting. If a character has more than one spellcasting class before becoming a frost mage, he must decide to which class he adds the new level for purposes of determining spells per day and spells known.	KEY:Frost Mage ~ Spells per Day																										SORTKEY:Class_Frost_Mage	SOURCEPAGE:Fro	
Natural Armor Increase	CATEGORY:Special Ability	TYPE:ClassFeatures.FrostMageClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 1st, 4th, 7th, and 10th level, a frost mage's body becomes more like the ice he venerates. His skin turns whiter and colder to the touch as the permanent layer of frost grows deeper. This provides an increase to the character's existing natural armor, as indicated on Table 3-5 (the numbers represent the total increase gained to that point) and he takes no damage from cold environments. In warm temperatures, the frost continually evaporates and replenishes itself, enshrouding the frost mage in a wispy vapor.	KEY:Frost Mage ~ Natural Armor Increase				DEFINE:FrostMageNaturalArmorIncreaseBonus|0					BONUS:COMBAT|AC|FrostMageNaturalArmorIncreaseBonus|TYPE=NaturalArmor.STACK	BONUS:VAR|FrostMageNaturalArmorIncreaseBonus|(FrostMageLVL+2)/3																SORTKEY:Class_Frost_Mage	SOURCEPAGE:Fro	
Resistance to Cold	CATEGORY:Special Ability	TYPE:ClassFeatures.FrostMageClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 2nd level, the frost mage's icy skin grants him resistance to cold 10.	KEY:Frost Mage ~ Resistance to Cold				DEFINE:FrostMageResistanceToCold|0					BONUS:VAR|FrostMageResistanceToCold|10	BONUS:VAR|ColdResistanceBonus|FrostMageResistanceToCold|TYPE=Resistance								ABILITY:Special Ability|AUTOMATIC|Resistance To Cold								SORTKEY:Class_Frost_Mage	SOURCEPAGE:Fro	
Gain Knowledge	CATEGORY:Special Ability	TYPE:ClassFeatures.FrostMageClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beginning at 3rd level, the frost mage gains knowledge of the spell conjure ice beast I, if he does not already have it. Former wizards get to add this spell to their spellbooks for free, and former sorcerers and bards get to add this spell to their spells known, even	KEY:Frost Mage ~ Gain Knowledge				DEFINE:FrostMageGainKnowledge|0					BONUS:VAR|FrostMageGainKnowledge|(FrostMageLVL-1)/2	BONUS:ABILITYPOOL|Gain Knowledge|FrostMageGainKnowledge																SORTKEY:Class_Frost_Mage	SOURCEPAGE:Fro	
Piercing Cold	CATEGORY:Special Ability	TYPE:ClassFeatures.FrostMageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 4th level, the frost mage gains Piercing Cold as a bonus metamagic feat. In addition to the normal benefi ts of the feat, the frost mage bypasses all resistances and immunities to cold granted by spells and spell-like effects of magic items (for example, a ring of minor energy resistance [cold]).	KEY:Frost Mage ~ Piercing Cold																		ABILITY:FEAT|AUTOMATIC|Piercing Cold								SORTKEY:Class_Frost_Mage	SOURCEPAGE:Fro	
One with Cold	CATEGORY:Special Ability	TYPE:ClassFeatures.FrostMageClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 10th level, the frost mage's body has become perfectly adapted to cold energy. He gains the cold subtype, granting him immunity to cold. His oneness with cold, however, makes him more susceptible to fl ame. Just like any other creature with the cold subtype, he gains vulnerability to fi re, which means he takes half again as much (+50%%) damage as normal from fi re, regardless of whether or not a saving throw is allowed, or if the save is a success or a failure.	KEY:Frost Mage ~ One with Cold																		TEMPLATE:Frost Mage ~ One with Cold								SORTKEY:Class_Frost_Mage	SOURCEPAGE:Fro	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.FrostragerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Frostragers gain no proficiency with any weapon, armor, or shields.	KEY:Frostrager ~ Weapon and Armor Proficiency																										SORTKEY:Class_Frostrager	SOURCEPAGE:Fro	
Frostrage	CATEGORY:Special Ability	TYPE:ClassFeatures.FrostragerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:While raging, the character grows larger and more massive, and his freezing sweat forms icicles as it streams out of his pores, coating his body in a glittering crust of ice. The frostrager's actual size category does not change (nor does his space/reach), but he does gain a +4 natural armor bonus to Armor Class from the sheets of ice that form over his body. In addition, a frostrager's unarmed attacks deal 1d6 points of damage plus 1d4 points of cold damage on a successful hit. If the frostrager is Small, his unarmed attack deals 1d4 points of damage, and if the frostrager is Large, his unarmed attack deals 1d8 points of damage.	KEY:Frostrager ~ Frostrage				DEFINE:FrostragerFrostrage|0					BONUS:VAR|FrostragerFrostrage|4	BONUS:COMBAT|AC|FrostragerFrostrage|TYPE=NaturalArmor|PREVARGTEQ:Enraged,1																SORTKEY:Class_Frostrager	SOURCEPAGE:Fro	
Freezing Blood	CATEGORY:Special Ability	TYPE:ClassFeatures.FrostragerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 1st level, a frostrager's blood becomes freezing cold. His wounds instantly freeze over and stop bleeding; he is immune to attacks that cause wounding effects. If reduced to negative hit points, he automatically stabilizes. He still takes 1 point of damage if he takes any actions while at 0 or negative hit points, however.	KEY:Frostrager ~ Freezing Blood																		ABILITY:Special Ability|AUTOMATIC|Immunity To Wounding damage								SORTKEY:Class_Frostrager	SOURCEPAGE:Fro	
