SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09																																																													
																																																																
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	MOVE:	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								MONCSKILL:	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS:	RACETYPE:	RACESUBTYPE:	TYPE:	Template			Hit Dice	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	CR:	SOURCEPAGE:	Innate Spells
Smilodon			STARTFEATS:1	SIZE:L	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:9	MOVE:Walk,40	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Smilodon			BONUS:STAT|STR|14	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-4	MONCSKILL:Balance|Hide|Jump|Listen|Move Silently|Spot	CR:5	KIT:1|TN	HITDICEADVANCEMENT:18		LEGS:4	HANDS:0	SOURCEPAGE:Fro	KIT:1|Smilodon Stats																														
Wolly Mammoth			STARTFEATS:1	SIZE:H	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:14	MOVE:Walk,40	BONUS:COMBAT|AC|10|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Stamp,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6	NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,2d10			FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Wolly Mammoth			BONUS:STAT|STR|24	BONUS:STAT|DEX|-2	BONUS:STAT|CON|14	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4	MONCSKILL:Listen|Spot	CR:9	KIT:1|TN	HITDICEADVANCEMENT:20,28		LEGS:4	HANDS:0	SOURCEPAGE:Fro	KIT:1|Wolly Mammoth Stats																														
Zeuglodon			STARTFEATS:1	SIZE:G	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:15	MOVE:Swim,40	BONUS:COMBAT|AC|11|TYPE=NaturalArmor	NATURALATTACKS:Tail Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6				FACE:20	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Zeuglodon			BONUS:STAT|STR|28	BONUS:STAT|DEX|2	BONUS:STAT|CON|18	BONUS:STAT|INT|-8		BONUS:STAT|CHA|-4	MONCSKILL:Listen|Spot|Swim	CR:9	KIT:1|TN	HITDICEADVANCEMENT:30,45		LEGS:0	HANDS:0	SOURCEPAGE:Fro	KIT:1|Zeuglodon Stats																														
Domovoi		FAVCLASS:Rogue	STARTFEATS:1	SIZE:S	TYPE:Fey	RACETYPE:Fey	RACESUBTYPE:Fire	MONSTERCLASS:Fey:2	MOVE:Walk,20	BONUS:COMBAT|AC|2|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d3				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Domovoi			BONUS:STAT|STR|-2	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6	MONCSKILL:Balance|Escape Artist|Hide|Jump|Listen|Move Silently|Sleight of Hand|Spot|Tumble|Use Rope	CR:1		HITDICEADVANCEMENT:6	LEVELADJUSTMENT:4	LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Domovoi Stats																														
Dwarf (Midgard)			STARTFEATS:1	SIZE:S	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Native	MONSTERCLASS:Outsider:8	MOVE:Walk,20	BONUS:COMBAT|AC|3|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dwarf (Midgard)	SR:16		BONUS:STAT|STR|6		BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|4		MONCSKILL:Appraise|Bluff|Craft (Armorsmithing)|Craft (Gemcutting)|Craft (Weaponsmithing)|Diplomacy|Disguise|Hide|Intimidate|Listen|Search|Sense Motive|Spot|Survival|Use Magic Device	CR:5			LEVELADJUSTMENT:4	LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Dwarf (Midgard) Stats																														
Elemental Weird (Ice Weird)			STARTFEATS:1	SIZE:L	TYPE:Elemental	RACETYPE:Elemental	RACESUBTYPE:Cold|Extraplanar|Water	MONSTERCLASS:Ice Weird:15	MOVE:Walk,30,Swim,30	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6,SPROP=+1d6 cold				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Elemental Weird (Ice Weird)	SR:25	DR:15/Magic	BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|12	MONCSKILL:Concentration|Diplomacy|TYPE.Knowledge|Listen|Sense Motive|Spot|Swim	CR:15	KIT:1|TN	HITDICEADVANCEMENT:30,45		LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Elemental Weird (Ice Weird) Stats																														
Elemental Weird (Snow Weird)			STARTFEATS:1	SIZE:L	TYPE:Elemental	RACETYPE:Elemental	RACESUBTYPE:Air|Cold|Extraplanar	MONSTERCLASS:Snow Weird:15	MOVE:Walk,30,Fly,60	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6,SPROP=+1d6 cold				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Elemental Weird (Snow Weird)	SR:25	DR:15/Magic	BONUS:STAT|STR|10	BONUS:STAT|DEX|8	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|12	MONCSKILL:Concentration|Diplomacy|TYPE.Knowledge|Listen|Sense Motive|Spot	CR:15		HITDICEADVANCEMENT:30,45		LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Elemental Weird (Snow Weird) Stats																														
Entombed			STARTFEATS:1	SIZE:L	TYPE:Undead	RACETYPE:Undead	RACESUBTYPE:Cold	MONSTERCLASS:Undead:16	MOVE:Walk,30,Burrow,40	BONUS:COMBAT|AC|15|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6,SPROP=+2d6 cold				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Entombed			BONUS:STAT|STR|16				BONUS:STAT|WIS|4	BONUS:STAT|CHA|2	MONCSKILL:Hide|Listen|Move Silently|Spot	CR:10		HITDICEADVANCEMENT:32		LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Entombed Stats																														
Frost Folk			STARTFEATS:1	SIZE:M	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Cold	MONSTERCLASS:Monstrous Humanoid:4	MOVE:Walk,30	BONUS:COMBAT|AC|2|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Frost Folk									MONCSKILL:Climb|Hide|Listen|Move Silently|Spot|Survival	CR:2			LEVELADJUSTMENT:1	LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Frost Folk Stats																														
Genie (Qorrashi)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Cold|Extraplanar|Lawful	MONSTERCLASS:Outsider:7	MOVE:Walk,30,Fly,60	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8,SPROP=+1d6 cold				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Genie (Qorrashi)			BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4	MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Intimidate|Listen|Move Silently|Sense Motive|Spellcraft|Spot|Use Rope	CR:6		HITDICEADVANCEMENT:14,21	LEVELADJUSTMENT:5	LEGS:0	HANDS:2	SOURCEPAGE:Fro	KIT:1|Genie (Qorrashi) Stats																														
Golem (Ice)				SIZE:L	TYPE:Construct	RACETYPE:Construct	RACESUBTYPE:Cold	MONSTERCLASS:Construct:12	MOVE:Walk,30	BONUS:COMBAT|AC|13|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Golem (Ice)		DR:10/Bludgeoning	BONUS:STAT|STR|14					BONUS:STAT|CHA|-10		CR:9	KIT:1|TN	HITDICEADVANCEMENT:24,36		LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Golem (Ice) Stats																														
Ice toad			STARTFEATS:1	SIZE:L	TYPE:Magical Beast	RACETYPE:Magical Beast	RACESUBTYPE:Cold	MONSTERCLASS:Magical Beast:5	MOVE:Walk,30	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Tongue,Weapon.Natural.Finesseable.Ranged.Bludgeoning.Slashing,*1,1d4,SPROP=Nonlethal				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Ice Toad			BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-4		BONUS:STAT|CHA|-4	MONCSKILL:Hide|Jump|Listen|Spot	CR:3		HITDICEADVANCEMENT:12,15		LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Ice Toad Stats																														
Icegaunt			STARTFEATS:1	SIZE:M	TYPE:Undead	RACETYPE:Undead	RACESUBTYPE:Cold	MONSTERCLASS:Icegaunt:10	MOVE:Walk,30	BONUS:COMBAT|AC|7|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6,SPROP=+1d6 cold 1d4 Constitution drain				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Icegaunt		DR:10/Magic	BONUS:STAT|STR|10				BONUS:STAT|WIS|4	BONUS:STAT|CHA|2	MONCSKILL:Concentration|Hide|Move Silently|Spot	CR:6		HITDICEADVANCEMENT:20		LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Icegaunt Stats																														
Malasynep			STARTFEATS:1	SIZE:H	TYPE:Aberration	RACETYPE:Aberration	RACESUBTYPE:Aquatic|Cold	MONSTERCLASS:Aberration:8	MOVE:Walk,10,Burrow,40,Swim,40	BONUS:COMBAT|AC|7|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6				FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Malasynep			BONUS:STAT|STR|14	BONUS:STAT|DEX|4	BONUS:STAT|CON|8	BONUS:STAT|INT|6	BONUS:STAT|WIS|8	BONUS:STAT|CHA|8	MONCSKILL:Concentration|Intimidate|TYPE.Knowledge|Listen|Spot|Swim	CR:7		HITDICEADVANCEMENT:18,24		LEGS:0	HANDS:2	SOURCEPAGE:Fro	KIT:1|Malasynep Stats																														
Marzanna			STARTFEATS:1	SIZE:M	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Cold	MONSTERCLASS:Monstrous Humanoid:8	MOVE:Walk,30,Swim,30	BONUS:COMBAT|AC|9|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Marzanna	SR:15		BONUS:STAT|STR|10	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	MONCSKILL:Concentration|TYPE.Craft|TYPE.Knowledge|Hide|Listen|Spot|Swim	CR:6				LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Marzanna Stats																														
Ooze (White)				SIZE:L	TYPE:Ooze	RACETYPE:Ooze		MONSTERCLASS:Ooze:9	MOVE:Walk,20,Swim,20		NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d4,SPROP=+2d4 acid		BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))		FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Ooze (White)			BONUS:STAT|STR|4	BONUS:STAT|DEX|-8	BONUS:STAT|CON|10		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10	MONCSKILL:Hide|Swim	CR:6	KIT:1|TN	HITDICEADVANCEMENT:14,27		LEGS:0	HANDS:0	SOURCEPAGE:Fro	KIT:1|Ooze (White) Stats																														
Raven (Giant)			STARTFEATS:1	SIZE:L	TYPE:Magical Beast	RACETYPE:Magical Beast		MONSTERCLASS:Magical Beast:3	MOVE:Walk,20,Fly,70	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Raven (Giant)			BONUS:STAT|STR|6	BONUS:STAT|DEX|8	BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|2		MONCSKILL:Bluff|Listen|Sense Motive|Spot|Survival	CR:2	KIT:1|TN	HITDICEADVANCEMENT:9	LEVELADJUSTMENT:2	LEGS:2	HANDS:0	SOURCEPAGE:Fro	KIT:1|Raven (Giant) Stats																														
Rimefire Eidolon			STARTFEATS:1	SIZE:M	TYPE:Fey	RACETYPE:Fey	RACESUBTYPE:Cold	MONSTERCLASS:Fey:12	MOVE:Walk,30,Fly,120	BONUS:COMBAT|AC|2|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*2,1d4,SPROP=+1d6 cold				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Rimefire Eidolon		DR:10/Cold Iron		BONUS:STAT|DEX|14	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|12	MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Intimidate|Knowledge (Nature)|Knowledge (Religion)|Listen|Sense Motive|Spot|Survival	CR:9	KIT:1|CG	HITDICEADVANCEMENT:36		LEGS:8	HANDS:2	SOURCEPAGE:Fro	KIT:1|Rimefire Eidolon Stats																														
Rusalka			STARTFEATS:1	SIZE:M	TYPE:Fey	RACETYPE:Fey	RACESUBTYPE:Aquatic	MONSTERCLASS:Fey:2	MOVE:Walk,30,Swim,30	BONUS:COMBAT|AC|2|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Rusalka				BONUS:STAT|DEX|8		BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8	MONCSKILL:Diplomacy|Escape Artist|Hide|Listen|Move Silently|Perform (Sing)|Spot|Swim|Use Rope	CR:1		HITDICEADVANCEMENT:6		LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Rusalka Stats																														
Shivhad			STARTFEATS:1	SIZE:G	TYPE:Aberration	RACETYPE:Aberration	RACESUBTYPE:Cold	MONSTERCLASS:Aberration:24	MOVE:Walk,40,Burrow,40,Climb,40	BONUS:COMBAT|AC|26|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*3,4d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*3,2d8				FACE:20	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Shivhad	SR:34	DR:15/Epic	BONUS:STAT|STR|22	BONUS:STAT|DEX|4	BONUS:STAT|CON|12	BONUS:STAT|INT|10	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2	MONCSKILL:Balance|Climb|Hide|Intimidate|Knowledge (Geography)|Listen|Spot	CR:21		HITDICEADVANCEMENT:48,72		LEGS:6	HANDS:3	SOURCEPAGE:Fro	KIT:1|Shivhad Stats																														
Snowcloak			STARTFEATS:1	SIZE:L	TYPE:Aberration	RACETYPE:Aberration	RACESUBTYPE:Cold	MONSTERCLASS:Aberration:4	MOVE:Walk,20,Fly,60	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	NATURALATTACKS:Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*2,1d4|Wing Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d2,SPROP=Poison				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Snowcloak			BONUS:STAT|STR|4	BONUS:STAT|DEX|6	BONUS:STAT|CON|6		BONUS:STAT|WIS|4	BONUS:STAT|CHA|2	MONCSKILL:Hide|Listen|Move Silently|Spot	CR:4		HITDICEADVANCEMENT:9,12		LEGS:0	HANDS:0	SOURCEPAGE:Fro	KIT:1|Snowcloak Stats																														
Snow Spider (Small)			STARTFEATS:1	SIZE:S	TYPE:Vermin	RACETYPE:Vermin		MONSTERCLASS:Vermin:1	MOVE:Walk,30,Clmb,30		NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4,SPROP=Poison				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Snow Spider (Small)			BONUS:STAT|STR|-4	BONUS:STAT|DEX|8				BONUS:STAT|CHA|-8	MONCSKILL:Climb|Hide|Jump|Spot	CR:1/2	KIT:1|TN			LEGS:8	HANDS:0	SOURCEPAGE:Fro	KIT:1|Snow Spider (Small) Stats																														
Snow Spider (Medium)				SIZE:M	TYPE:Vermin	RACETYPE:Vermin		MONSTERCLASS:Vermin:2	MOVE:Walk,40,Clmb,40	BONUS:COMBAT|AC|1|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6,SPROP=Poison				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Snow Spider (Medium)				BONUS:STAT|DEX|8	BONUS:STAT|CON|2			BONUS:STAT|CHA|-8	MONCSKILL:Climb|Hide|Jump|Spot	CR:1	KIT:1|TN	HITDICEADVANCEMENT:3		LEGS:8	HANDS:0	SOURCEPAGE:Fro	KIT:1|Snow Spider (Medium) Stats																														
Snow Spider (Large)				SIZE:L	TYPE:Vermin	RACETYPE:Vermin		MONSTERCLASS:Vermin:4	MOVE:Walk,40,Clmb,40	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8,SPROP=Poison				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Snow Spider (Large)			BONUS:STAT|STR|4	BONUS:STAT|DEX|8	BONUS:STAT|CON|4			BONUS:STAT|CHA|-8	MONCSKILL:Climb|Hide|Jump|Spot	CR:2	KIT:1|TN	HITDICEADVANCEMENT:9,12		LEGS:8	HANDS:0	SOURCEPAGE:Fro	KIT:1|Snow Spider (Large) Stats																														
Tlalusk			STARTFEATS:1	SIZE:H	TYPE:Magical Beast	RACETYPE:Magical Beast	RACESUBTYPE:Cold	MONSTERCLASS:Magical Beast:16	MOVE:Walk,60	BONUS:COMBAT|AC|10|TYPE=NaturalArmor	NATURALATTACKS:Hoof,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Gore,Weapon.Natural.Finesseable.Melee.Piercing,*1,2d6				FACE:15	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Tlalusk	SR:20		BONUS:STAT|STR|20		BONUS:STAT|CON|10	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2		MONCSKILL:Listen|Spot	CR:11		HITDICEADVANCEMENT:32,48		LEGS:4	HANDS:0	SOURCEPAGE:Fro	KIT:1|Tlalusk Stats																														
