SOURCELONG:Manual of the Planes 3.0	SOURCESHORT:MotP30	SOURCEWEB:http://www.gozzilioni.net
																																		
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:	
Ephemera (Umbral Banyan)			STARTFEATS:1	SIZE:H	TYPE:Plant	RACETYPE:Plant		MONSTERCLASS:Plant:15		BONUS:COMBAT|AC|11|TYPE=NaturalArmor	NATURALATTACKS:Tendril,Weapon.Natural.Finesseable.Melee.Bludgeoning.Slashing,*4,1d8				FACE:15	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Ephemera (Umbral Banyan)	DR:10/Slashing or Bludgeoning		BONUS:STAT|STR|18	BONUS:STAT|DEX|-2	BONUS:STAT|CON|10	BONUS:STAT|INT|-6	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|2	MONCSKILL:Listen|Spot	CR:10		HITDICEADVANCEMENT:30,45		LEGS:0	HANDS:0	SOURCEPAGE:MotP30	KIT:1|Ephemera (Umbral Banyan) Stats
Genie (Dao)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Air|Earth|Evil	MONSTERCLASS:Outsider:8	MOVE:Walk,20	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Genie (Dao)			BONUS:STAT|STR|12		BONUS:STAT|CON|4		BONUS:STAT|WIS|4	BONUS:STAT|CHA|4	MONCSKILL:Appraise|Bluff|TYPE.Craft|Diplomacy|Intimidate|Knowledge (The Planes)|Sense Motive|Spellcraft|Spot	CR:7	KIT:1|NE	HITDICEADVANCEMENT:12,24		LEGS:2	HANDS:2	SOURCEPAGE:MotP30	KIT:1|Genie (Dao) Stats
Genie (Marid)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Chaoric|Water	MONSTERCLASS:Outsider:11	MOVE:Walk,20,Swim,60	BONUS:COMBAT|AC|7|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Genie (Marid)		SR:27	BONUS:STAT|STR|12		BONUS:STAT|CON|4		BONUS:STAT|WIS|4	BONUS:STAT|CHA|4	MONCSKILL:Appraise|Bluff|TYPE.Craft|Diplomacy|Intimidate|Knowledge (The Planes)|Sense Motive|Spellcraft|Spot	CR:7	KIT:1|NE	HITDICEADVANCEMENT:12,24		LEGS:2	HANDS:2	SOURCEPAGE:MotP30	KIT:1|Genie (Dao) Stats
# Githyanki																																		
# Githzerai																																		
# Inevitable (Zelekhut)																																		
# Inevitable (Kolyaruth)																																		
# Inevitable (Marut)																																		
Mercane		FAVCLASS:Wizard	STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Lawful	MONSTERCLASS:Outsider:7	MOVE:Walk,30	BONUS:COMBAT|AC|4|TYPE=NaturalArmor					FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Mercane		SR:25	BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4	MONCSKILL:Appraise|Bluff|Diplomacy|Gather Information|Intimidate|Knowledge (Arcana)|Knowledge (Nobility and Royalty)|Knowledge (The Planes)|Listen|Profession (Bookkeeper)|Search|Sense Motive|Sleight of Hand|Spellcraft|Spot	CR:5	KIT:1|LN		LEVELADJUSTMENT:7	LEGS:2	HANDS:2	SOURCEPAGE:MotP30	KIT:1|Mercane Stats
Paraelemental (Ice)			STARTFEATS:1	SIZE:S	TYPE:Elemental	RACETYPE:Elemental	RACESUBTYPE:Air|Cold	MONSTERCLASS:Elemental (Air/Fire):2	MOVE:Walk,30								ABILITY:Internal|AUTOMATIC|Race Traits ~ Paraelemental (Ice)									MONCSKILL:Listen|Spot	CR:0				LEGS:2	HANDS:2	SOURCEPAGE:MotP30	KIT:1|Paraelemental (Ice) Stats
Paraelemental (Magma)			STARTFEATS:1	SIZE:S	TYPE:Elemental	RACETYPE:Elemental	RACESUBTYPE:Earth|Fire	MONSTERCLASS:Elemental (Earth/Water):2	MOVE:Walk,30								ABILITY:Internal|AUTOMATIC|Race Traits ~ Paraelemental (Magma)									MONCSKILL:Listen|Spot	CR:0				LEGS:2	HANDS:2	SOURCEPAGE:MotP30	KIT:1|Paraelemental (Magma) Stats
Paraelemental (Ooze)			STARTFEATS:1	SIZE:S	TYPE:Elemental	RACETYPE:Elemental	RACESUBTYPE:Earth|Water	MONSTERCLASS:Elemental (Earth/Water):2	MOVE:Walk,30,Swim,50								ABILITY:Internal|AUTOMATIC|Race Traits ~ Paraelemental (Ooze)									MONCSKILL:Listen|Spot	CR:0				LEGS:2	HANDS:2	SOURCEPAGE:MotP30	KIT:1|Paraelemental (Ooze) Stats
Paraelemental (Smoke)			STARTFEATS:1	SIZE:S	TYPE:Elemental	RACETYPE:Elemental	RACESUBTYPE:Air|Fire	MONSTERCLASS:Elemental (Air/Fire):2	MOVE:Fly,90								ABILITY:Internal|AUTOMATIC|Race Traits ~ Paraelemental (Ooze)									MONCSKILL:Listen|Spot	CR:0				LEGS:2	HANDS:2	SOURCEPAGE:MotP30	KIT:1|Paraelemental (Smoke) Stats
Yugoloth (Canoloth)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Evil|Yugoloth	MONSTERCLASS:Outsider:5	MOVE:Walk,50	BONUS:COMBAT|AC|10|TYPE=NaturalArmor	NATURALATTACKS:Tongue,Weapon.Natural.Melee.Finesseable.Bludgeoning.Slashing,*1,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Yugoloth (Canoloth)	DR:5/Good	SR:18	BONUS:STAT|STR|6			BONUS:STAT|INT|-6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|2	MONCSKILL:Hide|Listen|Move Silently|Spot|Survival	CR:6	KIT:1|NE	HITDICEADVANCEMENT:10,15	LEVELADJUSTMENT:8	LEGS:4	HANDS:0	SOURCEPAGE:MotP30	KIT:1|Yugoloth (Canoloth) Stats
Yugoloth (Mezzoloth)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Evil|Yugoloth	MONSTERCLASS:Outsider:8	MOVE:Walk,40	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Yugoloth (Mezzoloth)	DR:10/Good	SR:22	BONUS:STAT|STR|6		BONUS:STAT|CON|2	BONUS:STAT|INT|-4		BONUS:STAT|CHA|4	MONCSKILL:Hide|Intimidate|Knowledge (The Planes)|Listen|Move Silently|Spot	CR:7	KIT:1|NE	HITDICEADVANCEMENT:18,24	LEVELADJUSTMENT:12	LEGS:2	HANDS:2	SOURCEPAGE:MotP30	KIT:1|Yugoloth (Mezzoloth) Stats
Yugoloth (Nycaloth)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Evil|Yugoloth	MONSTERCLASS:Outsider:11	MOVE:Walk,40,Fly,90	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Yugoloth (Nycaloth)	DR:10/Good	SR:24	BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|2		BONUS:STAT|CHA|6	MONCSKILL:Bluff|Concentration|Diplomacy|Hide|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot	CR:13	KIT:1|NE	HITDICEADVANCEMENT:24,33		LEGS:2	HANDS:2	SOURCEPAGE:MotP30	KIT:1|Yugoloth (Nycaloth) Stats
Yugoloth (Ultroloth)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Evil|Yugoloth	MONSTERCLASS:Outsider:13	MOVE:Walk,30	BONUS:COMBAT|AC|8|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Yugoloth (Ultroloth)	DR:15/Good	SR:25	BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8	MONCSKILL:Bluff|Concentration|Diplomacy|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot	CR:16	KIT:1|NE	HITDICEADVANCEMENT:30,39		LEGS:2	HANDS:2	SOURCEPAGE:MotP30	KIT:1|Yugoloth (Ultroloth) Stats
