SOURCELONG:Gozzilioni Manual of the Planes	SOURCESHORT:MotP	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-09																													
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Light Ray	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A lantern archon can attack with two light rays as +2 ranged touch attacks that deal 1d6 points of damage each, with a range of 30 feet.	KEY:Petitioner ~ Celestia Light Ray																											SOURCEPAGE:MotP
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike	VISIBLE:YES		KEY:Petitioner ~ Celestia Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=3|Aid|Continual Flame|Detect Evil									SOURCEPAGE:MotP
Celestial Qualities	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES		KEY:Petitioner ~ Celestia Celestial Qualities									BONUS:VAR|PoisonResistanceBonus|4|TYPE=Racial									ABILITY:Special Ability|VIRTUAL|Petitioner ~ Celestia Aura of Menace|Petitioner ~ Celestia Magic Circle against Evil|Petitioner ~ Celestia Teleport|Petitioner ~ Celestia Tongues|Resistance To Poison									SOURCEPAGE:MotP
Aura of Menace	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:Will DC 11 negates.	KEY:Petitioner ~ Celestia Aura of Menace																											SOURCEPAGE:MotP
Magic Circle Against Evil	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A magic circle against evil effect always surrounds the petitioner.	KEY:Petitioner ~ Celestia Magic Circle against Evil																											SOURCEPAGE:MotP
Teleport	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES		KEY:Petitioner ~ Celestia Teleport																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Teleport									SOURCEPAGE:MotP
Tongues	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:All celestia petitioner can speak with any creature that has a language, as though using a tongues spell (caster level 14th).	KEY:Petitioner ~ Celestia Tongues																											SOURCEPAGE:MotP
No Planar Commitment	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Unlike most other petitioners, lantern archons can leave their home plane.	KEY:Petitioner ~ Celestia No Planar Commitment																											SOURCEPAGE:MotP
Magic Circle Against Evil	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike	VISIBLE:YES		KEY:Petitioner ~ Bytopia Magic Circle against Evil																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=5|Magic Circle against Evil									SOURCEPAGE:MotP
Former Class	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Retain up to four class levels acquired before becoming a petitioner.	KEY:Petitioner ~ Elysium Former Class																											SOURCEPAGE:MotP
Entice	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:A traveler within 100 feet of a mob of bacchae must make a Will saving throw (DC 10 + the number of bacchae within range; maximum DC 25) or else join the party. The bacchae entice ability lasts either for 101 days or until the enticed character collapses from lack of sustenance.	KEY:Petitioner ~ Arborea Entice																											SOURCEPAGE:MotP
Morphic Stability	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:the petitioner gains the ability to impose his will on his surroundings to a limited extent. On planes with the highly morphic trait or the magically morphic trait, the terrain stabilizes around the planeshifter. The petitioner automatically calms the terrain within a radius of 40 feet.	KEY:Petitioner ~ Limbo Morphic Stability																											SOURCEPAGE:MotP
Shadow Blend	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:In any conditions other than full daylight, a shadow creature can disappear into the shadows, giving it nine-tenths concealment. Artificial illumination, even a Light or Continual Flame spell, does not negate this ability. A Daylight spell, however, will.	KEY:Shadow ~ Shadow Blend																											SOURCEPAGE:MotP
Luck Bonus	CATEGORY:Special Ability	TYPE:ShadowSpecialQuality.SpecialQuality.Supernatural	VISIBLE:YES	DESC:+2 luck bonus on all saving throws.	KEY:Shadow ~ Luck Bonus									BONUS:SAVE|ALL|2|TYPE=Luck																		SOURCEPAGE:MotP
Cause Fear	CATEGORY:Special Ability	TYPE:ShadowSpecialQuality.SpecialQuality.Supernatural	VISIBLE:YES		KEY:Shadow ~ Cause Fear																		SPELLS:Innate|TIMES=1|CASTERLEVEL=HD|Cause Fear									SOURCEPAGE:MotP
Damage Reduction	CATEGORY:Special Ability	TYPE:ShadowSpecialQuality.SpecialQuality.Supernatural	VISIBLE:YES		KEY:Shadow ~ Damage Reduction																		DR:5/Magic									SOURCEPAGE:MotP
Evasion	CATEGORY:Special Ability	TYPE:ShadowSpecialQuality.SpecialQuality.Supernatural	VISIBLE:YES		KEY:Shadow ~ Evasion									BONUS:VAR|EvasionUsable,ImprovedEvasionUsable|1																		SOURCEPAGE:MotP
Mirror Image	CATEGORY:Special Ability	TYPE:ShadowSpecialQuality.SpecialQuality.Supernatural	VISIBLE:YES		KEY:Shadow ~ Mirror Image																		SPELLS:Innate|TIMES=1|CASTERLEVEL=HD|Mirror Image									SOURCEPAGE:MotP
Plane Shift	CATEGORY:Special Ability	TYPE:ShadowSpecialQuality.SpecialQuality.Supernatural	VISIBLE:YES		KEY:Shadow ~ Plane Shift																		SPELLS:Innate|TIMES=1|CASTERLEVEL=HD|Plane Shift ~ Shadow Plane									SOURCEPAGE:MotP
Regeneration	CATEGORY:Special Ability	TYPE:ShadowSpecialQuality.SpecialQuality.Supernatural	VISIBLE:YES		KEY:Shadow ~ Regeneration	ASPECT:NAME|Regeneration %1|RegenerationRate								BONUS:VAR|RegenerationRate|2																		SOURCEPAGE:MotP
Air Mastery	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Airborne creatures suffer a -1 penalty on attack and damage rolls against an air element creature.	KEY:Air Element ~ Air Mastery																											SOURCEPAGE:MotP
Language	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES		KEY:Air Element ~ Language																		AUTO:LANG|Auran									SOURCEPAGE:MotP
Earth Mastery	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An earth element creature gains a +1 bonus on attack and damage rolls if both it and its foe touch the ground. If an opponent is airborne or waterborne, the earth element creature suffers a -4 penalty on attack and damage rolls.	KEY:Earth Element ~ Earth Mastery																											SOURCEPAGE:MotP
Burrow	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An earth element creature can glide through stone, dirt, or almost any other sort of earth except metal as easily as a fish moves through water, in a manner similar to a xorn's.	KEY:Earth Element ~ Burrow																											SOURCEPAGE:MotP
Language	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES		KEY:Earth Element ~ Language																		AUTO:LANG|Terran									SOURCEPAGE:MotP
Heat	CATEGORY:Special Ability	TYPE:SpecialAttack	VISIBLE:YES	DESC:In addition to the damage from their attacks, fire element creatures 1d4 additional fire damage with their natural weapons (including claw, bite, slam, or tail attack). |PRELEVEL:MIN=4,MAX=7	KEY:Fire Element ~ Heat	DESC:In addition to the damage from their attacks, fire element creatures 1d6 additional fire damage with their natural weapons (including claw, bite, slam, or tail attack). |PRELEVEL:MIN=8,MAX=11	DESC:In addition to the damage from their attacks, fire element creatures 2d6 additional fire damage with their natural weapons (including claw, bite, slam, or tail attack). |PRELEVEL:MIN=12																									SOURCEPAGE:MotP
Burn	CATEGORY:Special Ability	TYPE:SpecialAttack	VISIBLE:YES	DESC:Those hit by the natural weapons of a fire element creature must succeed at a Reflex save or catch fire. The flame burns for 1d4 rounds (Ref DC %1)|BurnDC	KEY:Fire Element ~ Burn				DEFINE:BurnDC|0					BONUS:VAR|BurnDC|7+HD	BONUS:VAR|BurnDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Burn)								ABILITY:Ability Focus|AUTOMATIC|Burn									SOURCEPAGE:MotP
Language	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES		KEY:Fire Element ~ Language																		AUTO:LANG|Ignan									SOURCEPAGE:MotP
Water Mastery	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A water element creature gains a +1 bonus on attack and damage rolls if both it and its opponent touch water. If the opponent or water element creature is landbound, the water element creature suffers a -4 penalty on attack and damage rolls.	KEY:Water Element ~ Water Mastery																											SOURCEPAGE:MotP
Drench	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The water element creature's touch puts out torches, campfires, exposed lanterns, and other open flames of nonmagical origin, if these are of Large size or smaller. The creature can dispel magical fire it touches as Dispel Magic cast by a sorcerer whose level equals the water element creature's HD total. It gains no benefit or disadvantage against creatures from the Elemental Plane of Fire.	KEY:Water Element ~ Drench																											SOURCEPAGE:MotP
Language	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES		KEY:Water Element ~ Language																		AUTO:LANG|Aquan									SOURCEPAGE:MotP
Chill	CATEGORY:Special Ability	TYPE:SpecialAttack	VISIBLE:YES	DESC:In addition to the damage from their attacks, cold element creatures 1d4 additional cold damage with their natural weapons (including claw, bite, slam, or tail attack). |PRELEVEL:MIN=4,MAX=7	KEY:Cold Element ~ Chill	DESC:In addition to the damage from their attacks, cold element creatures 1d6 additional cold damage with their natural weapons (including claw, bite, slam, or tail attack). |PRELEVEL:MIN=8,MAX=11	DESC:In addition to the damage from their attacks, cold element creatures 1d8 additional cold damage with their natural weapons (including claw, bite, slam, or tail attack). |PRELEVEL:MIN=12																									SOURCEPAGE:MotP
Icewalking	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:This ability works like the Spider Climb spell but applies to all icy surfaces. Within the Elemental Plane of Cold, the cold element creature may move normally.	KEY:Cold Element ~ Icewalking																											SOURCEPAGE:MotP
Language	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES		KEY:Cold Element ~ Language																		AUTO:LANG|Aquan|Auran									SOURCEPAGE:MotP
Spikes	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A wood element creature can release volleys of bark, splinters, or wood shards, up to four such spikes per round, as a standard action. This attack has a range of 120 feet with no range increment. Damage is 1d6 + %1 bonus. The wood element creature can launch up to its HD total in spikes per day.|STR	KEY:Wood Element ~ Spikes																											SOURCEPAGE:MotP
Language	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES		KEY:Wood Element ~ Language																		AUTO:LANG|Sylvan|Treant									SOURCEPAGE:MotP
Smite Chaos	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:Once per day the creature can make a normal attack to deal additional damage equal to its HD total (maximum of +20) against a chaotic opponent.	KEY:Axiomatic ~ Smite Chaos									BONUS:VAR|SmiteChaosToHit|0	BONUS:VAR|SmiteChaosDamage|min(HD,20)	BONUS:VAR|SmiteChaos|1							ABILITY:Special Ability|VIRTUAL|Smite Chaos									SOURCEPAGE:MotP
Linked Minds	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Axiomatic creatures of a particular type within 300 feet of one another are in constant communication. If one is aware of a particular danger, they all are. If one in the group is not flat-footed, none of them are. No axiomatic creature in the group is considered flanked unless they all are.	KEY:Axiomatic ~ Linked Minds																											SOURCEPAGE:MotP
Smite Law	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:Once per day the creature can make a normal attack to deal additional damage equal to its HD total (maximum of +20) against a lawful opponent.	KEY:Anarchic ~ Smite Law									BONUS:VAR|SmiteLawToHit|0	BONUS:VAR|SmiteLawDamage|min(HD,20)	BONUS:VAR|SmiteLaw|1							ABILITY:Special Ability|VIRTUAL|Smite Law									SOURCEPAGE:MotP
True Strike	CATEGORY:Special Ability	TYPE:SpecialAttack.Supernatural	VISIBLE:YES	DESC:%1/day, the creature can make a normal attack with a +20 insight bonus on a single attack roll. On this attack, the creature is not affected by the miss chance that applies when attacking a concealed target.|TrueStrikeTimes	KEY:Pseudonatural ~ True Strike				DEFINE:TrueStrikeTimes|0					BONUS:VAR|TrueStrimeTimes|1																		SOURCEPAGE:MotP, p.212
Alternate Form	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:At will, a pseudonatural creature can take the form of a grotesque tentacled mass or another appropriately gruesome form determined by the Dungeon Master. But all its abilities remain unchanged despite the alien appearance. Changing shape is a standard action. Other creatures receive a –1 morale penalty on their attack rolls against pseudonatural creatures in this alternate form.	KEY:Pseudonatural ~ Alternate Form																											
