SOURCELONG:Gozzilioni Manual of the Planes	SOURCESHORT:MotP	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-09
																																	
###Block: Proficiencies																																	
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Gate	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A 10th-level divine agent can activate this spell-like ability (as the spell of the same name, except it only reaches the home plane of the divine agent's deity) once per day.	KEY:Divine Agent ~ Gate				DEFINE:GateDeitySPlaneLVL|0					BONUS:VAR|GateDeitySPlaneLVL|TL									SPELLS:Class|TIMES=1|CASTERLEVEL=GateDeitySPlaneLVL|Gate ~ Deity's plane only								SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.GatecrusherClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A Gatecrusher is proficient with all simple weapons, and light armor (but no shields)	KEY:Gatecrusher ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight|TYPE=WeaponProfSimple								SORTKEY:Class_Gatecrusher	SOURCEPAGE:MotP	
Analyze Portal	CATEGORY:Special Ability	TYPE:ClassFeatures.GatecrusherClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A Gatecrusher gains the ability to use Analyze Portal as a spell-like ability.	KEY:Gatecrusher ~ Analyze Portal				DEFINE:AnalyzePortalLVL|0	DEFINE:AnalyzePortalTimes|0				BONUS:VAR|AnalyzePortalLVL|TL	BONUS:VAR|AnalyzePortalTimes|GatecrusherLVL								SPELLS:Class|TIMES=AnalyzePortalTimes|CASTERLEVEL=AnalyzePortalLVL|Analyze Portal								SORTKEY:Class_Gatecrusher	SOURCEPAGE:MotP	
Bonus Language	CATEGORY:Special Ability	TYPE:ClassFeatures.GatecrusherClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A gatecrasher gains a free language commonly spoken on other planes. Such languages include Abyssal, Aquan, Auran, Celestial, Ignan, Infernal, and Terran.	KEY:Gatecrusher ~ Bonus Language				DEFINE:BonusLanguageCount|0					BONUS:ABILITYPOOL|Add Spoken Language|BonusLanguageCount	BONUS:VAR|BonusLanguageCount|min(4,(GatecrusherLVL+2)/3)																SORTKEY:Class_Gatecrusher	SOURCEPAGE:MotP	
Add Bonus Language	CATEGORY:Special Ability	TYPE:AddSpokenLanguage						PREVARGTEQ:GatecrusherLVL,1											STACK:NO	MULT:YES	CHOOSE:LANG|Abyssal|Aquan|Auran|Celestial|Ignan|Infernal|Terran		AUTO:LANG|%LIST									SOURCEPAGE:MotP	
Comprehension	CATEGORY:Special Ability	TYPE:ClassFeatures.GatecrusherClassFeatures.SpecialQuality	VISIBLE:YES		KEY:Gatecrusher ~ Comprehension									BONUS:SKILL|Decipher Script,Use Magic Device|2|TYPE=Insight	BONUS:SITUATION|Search=Magic traps,Disable Device=Magic traps|2|TYPE=Insight																SORTKEY:Class_Gatecrusher	SOURCEPAGE:MotP	
Open Portal	CATEGORY:Special Ability	TYPE:ClassFeatures.GatecrusherClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 3rd level, a gatecrasher's understanding of planar forces extends to the workings of magic portals, such that he may force them open without the correct device, spell, or key. The gatecrasher makes an Open Lock check using his Intelligence modifier instead of his Dexterity modifier.	KEY:Gatecrusher ~ Open Portal																										SORTKEY:Class_Gatecrusher	SOURCEPAGE:MotP	
Summon Spell Dampening	CATEGORY:Special Ability	TYPE:ClassFeatures.GatecrusherClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Gatecrashers often aggravate demons and devils by inhibiting their ability to summon reinforcements. %1 times per day, a gatecrasher of 4th level or higher can create a dampening field that extends 100 feet in every direction.|SummonSpellDampeningTimes	KEY:Gatecrusher ~ Summon Spell Dampening				DEFINE:SummonSpellDampeningTimes|0					BONUS:VAR|SummonSpellDampeningTimes|3																	SORTKEY:Class_Gatecrusher	SOURCEPAGE:MotP	
Silver Tongue	CATEGORY:Special Ability	TYPE:ClassFeatures.GatecrusherClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES		KEY:Gatecrusher ~ Silver Tongue									BONUS:SKILL|Bluff,Diplomacy,Gather Information,Intimidate,Sense Motive|2|TYPE=Insight																	SORTKEY:Class_Gatecrusher	SOURCEPAGE:MotP	
Planar Survival	CATEGORY:Special Ability	TYPE:ClassFeatures.GatecrusherClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 6th level, a gatecrasher becomes attuned to the nature of the planes he visits and personally immune to their natural planar effects. Any effect that would be negated by the Avoid Planar Effects spell is negated by the planar survival ability as well.	KEY:Gatecrusher ~ Planar Survival																										SORTKEY:Class_Gatecrusher	SOURCEPAGE:MotP	
Damage Reduction	CATEGORY:Special Ability	TYPE:ClassFeatures.GatecrusherClassFeatures.SpecialQuality	VISIBLE:YES		KEY:Gatecrusher ~ Damage Reduction																		DR:5/Magic								SORTKEY:Class_Gatecrusher	SOURCEPAGE:MotP3.5upd	
Scramble Portal	CATEGORY:Special Ability	TYPE:ClassFeatures.GatecrusherClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Gatecrusher ~ Scramble Portal				DEFINE:ScamblePortalLVL|0	DEFINE:ScamblePortalTimes|0				BONUS:VAR|ScramblePortalLVL|TL	BONUS:VAR|ScramblePortalTimes|3								SPELLS:Class|TIMES=ScramblePortalTimes|CASTERLEVEL=ScramblePortalLVL|Scramble Portal								SORTKEY:Class_Gatecrusher	SOURCEPAGE:MotP	
Plane Shift	CATEGORY:Special Ability	TYPE:ClassFeatures.GatecrusherClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Gatecrusher ~ Plane Shift				DEFINE:PlaneShiftLVL|0	DEFINE:PlaneShiftTimes|0				BONUS:VAR|PlaneShiftLVL|15	BONUS:VAR|PlaneShiftTimes|1								SPELLS:Class|TIMES=PlaneShiftlTimes|CASTERLEVEL=PlaneShiftLVL|Plane Shift								SORTKEY:Class_Gatecrusher	SOURCEPAGE:MotP	
Planar Dampening	CATEGORY:Special Ability	TYPE:ClassFeatures.GatecrusherClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A 10th-level gatecrasher can emit a field that suppresses spells and spell-like abilities within a 30-foot radius that access other planes. The gatecrasher can activate it %1 times per day. It lasts for 10 rounds.|PlanarDampeningTimes	KEY:Gatecrusher ~ Planar Dampening				DEFINE:PlanarDampeningTimes|0					BONUS:VAR|PlanarDampeningTimes|1																	SORTKEY:Class_Gatecrusher	SOURCEPAGE:MotP	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A Planar Champion is proficient with all simple and martial weapons, all armor and with shields.	KEY:Planar Champion ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy|TYPE=ShieldProf|TYPE=WeaponProfMartial								SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Favored Plane	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The planar champion has studied the natives of a particular plane extensively. She gains a +1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of that plane. Likewise, the planar champion gets the same bonus on weapon damage rolls against creatures native to the favored plane. The planar champion gets a +1 bonus on Diplomacy and Gather Information checks when interacting with natives of the favored plane. Survival checks get a +1 bonus when performed on the favored plane. The planar champion gains a second favored plane when reaching 5th level and a third favored plane when reaching 10th level. When gaining a new favored plane, the bonuses for previous favored planes increase by +1.	KEY:Planar Champion ~ Favored Plane				DEFINE:PlanarChampionFavoredPlaneLVL|0	DEFINE:FavoredPlaneBaseBonus|0	DEFINE:FavoredPlaneCount|0	DEFINE:FavoredPlaneBonusCount|0		BONUS:VAR|PlanarChampionFavoredPlaneLVL|PlanarChampionLVL	BONUS:VAR|FavoredPlaneCount|(PlanarChampionFavoredPlaneLVL+5)/5	BONUS:VAR|FavoredPlaneBonusCount|(PlanarChampionFavoredPlaneLVL+5)/5	BONUS:VAR|FavoredPlaneBaseBonus|1														SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Favored Plane ~ Abyss	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusAcheron	KEY:Favored Plane ~ Abyss				DEFINE:FavoredPlaneBonusAbyss|0					BONUS:VAR|FavoredPlaneBonusAbyss|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusAbyss
Favored Plane ~ Acheron	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusAcheron	KEY:Favored Plane ~ Acheron				DEFINE:FavoredPlaneBonusAcheron|0					BONUS:VAR|FavoredPlaneBonusAcheron|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusAcheron
Favored Plane ~ Arborea	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusArborea	KEY:Favored Plane ~ Arborea				DEFINE:FavoredPlaneBonusArborea|0					BONUS:VAR|FavoredPlaneBonusArborea|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusArborea
Favored Plane ~ Arcadia	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusArcadia	KEY:Favored Plane ~ Arcadia				DEFINE:FavoredPlaneBonusArcadia|0					BONUS:VAR|FavoredPlaneBonusArcadia|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusArcadia
Favored Plane ~ Baator	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusBaator	KEY:Favored Plane ~ Baator				DEFINE:FavoredPlaneBonusBaator|0					BONUS:VAR|FavoredPlaneBonusBaator|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusBaator
Favored Plane ~ Beastland	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusBeastland	KEY:Favored Plane ~ Beastland				DEFINE:FavoredPlaneBonusBeastland|0					BONUS:VAR|FavoredPlaneBonusBeastland|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusBeastland
Favored Plane ~ Bytopia	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusBytopia	KEY:Favored Plane ~ Bytopia				DEFINE:FavoredPlaneBonusBytopia|0					BONUS:VAR|FavoredPlaneBonusBytopia|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusBytopia
Favored Plane ~ Carceri	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusCarceri	KEY:Favored Plane ~ Carceri				DEFINE:FavoredPlaneBonusCarceri|0					BONUS:VAR|FavoredPlaneBonusCarceri|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusCarceri
Favored Plane ~ Elysium	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusElysium	KEY:Favored Plane ~ Elysium				DEFINE:FavoredPlaneBonusElysium|0					BONUS:VAR|FavoredPlaneBonusElysium|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusElysium
Favored Plane ~ Gehenna	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusGehenna	KEY:Favored Plane ~ Gehenna				DEFINE:FavoredPlaneBonusGehenna|0					BONUS:VAR|FavoredPlaneBonusGehenna|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusGehenna
Favored Plane ~ Hades	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusHades	KEY:Favored Plane ~ Hades				DEFINE:FavoredPlaneBonusHades|0					BONUS:VAR|FavoredPlaneBonusHades|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusHades
Favored Plane ~ Mechanus	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusMechanus	KEY:Favored Plane ~ Mechanus				DEFINE:FavoredPlaneBonusMechanus|0					BONUS:VAR|FavoredPlaneBonusMechanus|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusMechanus
Favored Plane ~ Mount Celestia	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusMountCelestia	KEY:Favored Plane ~ Mount Celestia				DEFINE:FavoredPlaneBonusMountCelestia|0					BONUS:VAR|FavoredPlaneBonusMountCelestia|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusMountCelestia
Favored Plane ~ Pandemonium	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusPandemonium	KEY:Favored Plane ~ Pandemonium				DEFINE:FavoredPlaneBonusPandemonium|0					BONUS:VAR|FavoredPlaneBonusPandemonium|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusPandemonium
Favored Plane ~ Ysgard	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusYsgard	KEY:Favored Plane ~ Ysgard				DEFINE:FavoredPlaneBonusYsgard|0					BONUS:VAR|FavoredPlaneBonusYsgard|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusYsgard
Favored Plane ~ Fire	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusFire	KEY:Favored Plane ~ Fire				DEFINE:FavoredPlaneBonusFire|0					BONUS:VAR|FavoredPlaneBonusFire|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusFire
Favored Plane ~ Air	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusAir	KEY:Favored Plane ~ Air				DEFINE:FavoredPlaneBonusAir|0					BONUS:VAR|FavoredPlaneBonusAir|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusAir
Favored Plane ~ Earth	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusEarth	KEY:Favored Plane ~ Earth				DEFINE:FavoredPlaneBonusEarth|0					BONUS:VAR|FavoredPlaneBonusEarth|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusEarth
Favored Plane ~ Water	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusWater	KEY:Favored Plane ~ Water				DEFINE:FavoredPlaneBonusWater|0					BONUS:VAR|FavoredPlaneBonusWater|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusWater
