SOURCELONG:Gozzilioni Manual of the Planes	SOURCESHORT:MotP	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-09																																																														
																																																																	
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells	SORTKEY:
Energon (Xeg-Yi)	OUTPUTNAME:Energon, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Fly,20	FACE:5	REACH:5			KIT:1|TN										BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|-4		BONUS:STAT|CHA|8			MONCSKILL:Hide|Spot									LEGS:0	HANDS:10				NATURALATTACKS:Incorporeal touch,Weapon.Natural.Melee.Finesseable.Piercing,*4,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Xag-Ya									MONSTERCLASS:Elemental:5	RACETYPE:Elemental	RACESUBTYPE:Energon|Incorporeal	TYPE:Elemental					HITDICEADVANCEMENT:9,15		CR:4	SOURCEPAGE:MotP3.5upd		
Ephemera (Dusk Beast)	OUTPUTNAME:Ephemera, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:10						BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|-2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Balance|Climb|Hide|Jump|Listen|Move Silently|Spot|Survival									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Tail Barb,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dusk Beast									MONSTERCLASS:Outsider:8	RACETYPE:Outsider		TYPE:Outsider					HITDICEADVANCEMENT:12,18		CR:3	SOURCEPAGE:MotP3.5upd		
Ephemera (Ecalypse)	OUTPUTNAME:Ephemera, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,90	FACE:10	REACH:5						BONUS:COMBAT|AC|10|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|8	BONUS:STAT|INT|-4		BONUS:STAT|CHA|4			MONCSKILL:Balance|Hide|Jump|Listen|Sense Motive|Spot|Survival									LEGS:6	HANDS:0				NATURALATTACKS:Hoof,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Ecalypse									MONSTERCLASS:Outsider:10	RACETYPE:Outsider		TYPE:Outsider					HITDICEADVANCEMENT:20,30		CR:9	SOURCEPAGE:MotP3.5upd		
Ephemera (Umbral Banyan)	OUTPUTNAME:Ephemera, [NAME]		STARTFEATS:1	SIZE:H		FACE:15	REACH:15						BONUS:COMBAT|AC|11|TYPE=NaturalArmor						BONUS:STAT|STR|18	BONUS:STAT|DEX|-2	BONUS:STAT|CON|10	BONUS:STAT|INT|-6	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|2			MONCSKILL:Listen|Spot									LEGS:0	HANDS:4				NATURALATTACKS:Tendril,Weapon.Natural.Finesseable.Melee.Slashing,*4,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Umbral Banyan							DR:10/Slashing or Bludgeoning		MONSTERCLASS:Plant:15	RACETYPE:Plant		TYPE:Plant					HITDICEADVANCEMENT:30,45		CR:10	SOURCEPAGE:MotP3.5upd		
Genie (Dao)	OUTPUTNAME:Genie, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,20	FACE:10	REACH:10			KIT:1|NE			BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|12		BONUS:STAT|CON|4		BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Appraise|Bluff|TYPE=Craft|Diplomacy|Intimidate|Knowledge (The Planes)|Sense Motive|Spellcraft|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dao									MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Genie|Air|Earth|Evil	TYPE:Outsider					HITDICEADVANCEMENT:12,24		CR:7	SOURCEPAGE:MotP3.5upd		
Genie (Marid)	OUTPUTNAME:Genie, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,20,Swim,60	FACE:10	REACH:10			KIT:1|CN			BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|12	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Bluff|TYPE=Craft|Diplomacy|Escape Artist|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Listen|Move Silently|Sense Motive|Spot|Spellcraft									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Marid									MONSTERCLASS:Outsider:11	RACETYPE:Outsider	RACESUBTYPE:Genie|Chaotic|Water	TYPE:Outsider					HITDICEADVANCEMENT:15,33		CR:9	SOURCEPAGE:MotP3.5upd		
# Githyanki																																																																	
# Githzerai																																																																	
# Inevitable (Zelekhut)																																																																	
# Inevitable (Kolyarut)																																																																	
# Inevitable (Marut)																																																																	
# Mercane																																																																	
Ice Paraelemental	KEY:Paraelemental (Ice)		STARTFEATS:1		MOVE:Walk,30																						MONCSKILL:Listen|Spot									LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Ice Paraelemental									MONSTERCLASS:Elemental:2	RACETYPE:Elemental	RACESUBTYPE:Paraelemental|Air|Cold	TYPE:Elemental							CR:1	SOURCEPAGE:MotP3.5upd		SORTKEY:Paraelemental
Magma Paraelemental	KEY:Paraelemental (Magma)		STARTFEATS:1		MOVE:Walk,30																						MONCSKILL:Listen|Spot									LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Magma Paraelemental									MONSTERCLASS:Elemental:2	RACETYPE:Elemental	RACESUBTYPE:Paraelemental|Earth|Fire	TYPE:Elemental							CR:1	SOURCEPAGE:MotP3.5upd		SORTKEY:Paraelemental
Ooze Paraelemental	KEY:Paraelemental (Ooze)		STARTFEATS:1		MOVE:Walk,20,Swim,50																						MONCSKILL:Listen|Spot									LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Magma Paraelemental									MONSTERCLASS:Elemental:2	RACETYPE:Elemental	RACESUBTYPE:Paraelemental|Earth|Water	TYPE:Elemental							CR:1	SOURCEPAGE:MotP3.5upd		SORTKEY:Paraelemental
Smoke Paraelemental	KEY:Paraelemental (Smoke)		STARTFEATS:1		MOVE:Fly,90																						MONCSKILL:Listen|Spot									LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Smoke Paraelemental									MONSTERCLASS:Elemental:2	RACETYPE:Elemental	RACESUBTYPE:Paraelemental|Air|Fire	TYPE:Elemental							CR:1	SOURCEPAGE:MotP3.5upd		SORTKEY:Paraelemental
Yugoloth (Canoloth)	OUTPUTNAME:Yugoloth, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,50	FACE:5	REACH:5	BONUS:VAR|BlindsightRange|40|TYPE=Base		KIT:1|NE			BONUS:COMBAT|AC|10|TYPE=NaturalArmor						BONUS:STAT|STR|6			BONUS:STAT|INT|-6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|2			MONCSKILL:Hide|Listen|Move Silently|Spot|Survival									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Canoloth							DR:5/Good		MONSTERCLASS:Outsider:5	RACETYPE:Outsider	RACESUBTYPE:Yugoloth|Evil	TYPE:Outsider					HITDICEADVANCEMENT:10,15	LEVELADJUSTMENT:8	CR:6	SOURCEPAGE:MotP3.5upd		
Yugoloth (Mezzoloth)	OUTPUTNAME:Yugoloth, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5			KIT:1|NE			BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|6	BONUS:STAT|DEX|2		BONUS:STAT|INT|-4		BONUS:STAT|CHA|4			MONCSKILL:Hide|Intimidate|Knowledge (The Planes)|Listen|Move Silently|Spot									LEGS:4	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Mezzoloth						SR:22	DR:10/Good		MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Yugoloth|Evil	TYPE:Outsider					HITDICEADVANCEMENT:18,24	LEVELADJUSTMENT:12	CR:7	SOURCEPAGE:MotP3.5upd		
Yugoloth (Nycaloth)	OUTPUTNAME:Yugoloth, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,90	FACE:5	REACH:5			KIT:1|NE			BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|6	BONUS:STAT|DEX|2		BONUS:STAT|INT|-4		BONUS:STAT|CHA|4			MONCSKILL:Hide|Intimidate|Knowledge (The Planes)|Listen|Move Silently|Spot									LEGS:4	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Mezzoloth						SR:22	DR:10/Good		MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Yugoloth|Evil	TYPE:Outsider					HITDICEADVANCEMENT:18,24	LEVELADJUSTMENT:12	CR:7	SOURCEPAGE:MotP3.5upd		
Yugoloth (Ultroloth)	OUTPUTNAME:Yugoloth, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,90	FACE:5	REACH:5			KIT:1|NE			BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8			MONCSKILL:Bluff|Concentration|Diplomacy|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot									LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Ultroloth						SR:25	DR:15/Good		MONSTERCLASS:Outsider:13	RACETYPE:Outsider	RACESUBTYPE:Yugoloth|Evil	TYPE:Outsider					HITDICEADVANCEMENT:30,39		CR:16	SOURCEPAGE:MotP3.5upd		
