SOURCELONG:Underdark	SOURCESHORT:Und	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																								
																											
#																											
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus		
Dehydrate				TYPE:Spell	SCHOOL:Necromancy				COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You afflict the target with a horrible, desiccating curse that deals 1d6 points of Constitution damage, plus 1 additional point of Constitution damage per 3 caster levels, to a maximum of 1d6+5 at 15th level.	SOURCEPAGE:Und										
Drown				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Water	CLASSES:Druid=6	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.	DURATION:Instantaneous	SAVEINFO:fortutude negates	SPELLRES:Yes	DESC:You create water in the lungs of the subject, causing it to begin drowning.	SOURCEPAGE:Und										
Drown (Mass)				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Water	CLASSES:Druid=9	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One or more creatures, no two of which can be more than 30 ft. apart	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:This spell functions like drown, except that it affects multiple creatures.	SOURCEPAGE:Und										
Eradicate Earth				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Earth	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:40 ft	TARGETAREA:40-ft.-radius burst, centered on you.	DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:Deals 1d8 points of damage/level to earth creatures (max 10d8). Material Component: A small stone.	SOURCEPAGE:Und										
Excavate				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One 5-ft.-by-8-ft. opening, 1 ft./level deep.	DURATION:Instantaneous	SAVEINFO:None 	SPELLRES:No	DESC:Creates a permanent passage in earth and walls. Material Component: A pinch of excavated earth.	SOURCEPAGE:Und										
Hail of Stone				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Earth	CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:Cylinder (5-ft. radius, 40 ft. High)	DURATION:Instantaneous	SAVEINFO:None 	SPELLRES:Yes	DESC:Stones deal 1d4 points of damage/level to creatures in the area (max 5d4). Material Component: A piece of jade worth at least 5 gp.	SOURCEPAGE:Und		COST:5								
Locate Node				TYPE:Spell	SCHOOL:Divination		DESCRIPTOR:Earth	CLASSES:Cleric=3|Druid=2|Sorcerer=2|Wizard=2	COMPS:V, S, F/DF	CASTTIME:1 standard action	RANGE:1 mile/level (see text)	TARGETAREA:Circle, centered on you, with a radius of 1 mile/level (see text)	DURATION:1 minute/level	SAVEINFO:None 	SPELLRES:No	DESC:Finds closest earth node in 1 mile/level radius. Arcane/Divine Focus: A pebble found in an earth node.	SOURCEPAGE:Und										
Mark of the Outcast				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Blackguard=1|Cleric=2|Druid=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:This spell creates an indelible mark on the target's face (or other upward body part, if the subject doesn't have a head).	SOURCEPAGE:Und										
Mineralize Warrior				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Earth	CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M, XP	CASTTIME:1 hour	RANGE:Touch	TARGETAREA:One humanoid.	DURATION:Instantaneous	SAVEINFO:None 	SPELLRES:No	DESC:Grants willing subject the mineral warrior template. Material Component: Gemstones and other expensive minerals worth at least 500 gp per HD of the mineral warrior created. XP Cost: 250 XP per HD of the mineral warrior created.	SOURCEPAGE:Und		COST:500	XPCOST:250							
Node Door				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Teleportation	DESCRIPTOR:Earth	CLASSES:Druid=3|Sorcerer=3|Wizard=3	COMPS:V	CASTTIME:1 standard action	RANGE:Varies (See text)	TARGETAREA:You and touched objects or other touched willing creatures weighing up to 50 lb./level.	DURATION:Instantaneous	SAVEINFO:None and Will negates (object)	SPELLRES:No and Yes	DESC:Allows teleportation between any known earth nodes. Special: You must have the Node Spellcasting feat to cast this spell.	SOURCEPAGE:Und									PREABILITY:1,CATEGORY=FEAT,Node Spellcasting	
Node Genesis				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Earth	CLASSES:Sorcerer=9|Wizard=9	COMPS:V, S, XP	CASTTIME:1 tenday (8 hours/day)	RANGE:Touch	TARGETAREA:One Class 1 earth node with a 20-ft. Diameter.	DURATION:Instantaneous	SAVEINFO:None 	SPELLRES:No	DESC:Creates a Class 1 earth node. XP Cost: 5,000 XP. Special: You must have the Node Spellcasting feat to cast this spell.	SOURCEPAGE:Und			XPCOST:5000						PREABILITY:1,CATEGORY=FEAT,Node Spellcasting	
Node Lock				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Earth	CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One earth node.	DURATION:Permanent	SAVEINFO:None 	SPELLRES:No	DESC:Deters others from using an earth node's powers.. Special: You must have the Node Spellcasting feat to cast this spell.	SOURCEPAGE:Und									PREABILITY:1,CATEGORY=FEAT,Node Spellcasting	
Portal Barricade				TYPE:Spell	SCHOOL:Transmutation				COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One portal.	DURATION:1 hour/level	SAVEINFO:None 	SPELLRES:No	DESC:Closes portal and prevents it from functioning for 1 hour/level.	SOURCEPAGE:Und										
Portal Stabilization				TYPE:Spell	SCHOOL:Transmutation				COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One portal.	DURATION:1 minute/level	SAVEINFO:None 	SPELLRES:No	DESC:Stabilize malfunctioning portal for 1 min./level.	SOURCEPAGE:Und										
Portal-to-Portal Redirect				TYPE:Spell	SCHOOL:Transmutation				COMPS:V, S, DF	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:One portal.	DURATION:1 hour/level	SAVEINFO:None 	SPELLRES:No	DESC:Changes destination of portal for 1 hour/level..	SOURCEPAGE:Und										
Portal Reformat				TYPE:Spell	SCHOOL:Transmutation				COMPS:V, S, DF, XP	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:One portal.	DURATION:Instantaneous	SAVEINFO:None 	SPELLRES:No	DESC:Removes or adds one or more keys to portal. XP Cost: 250 XP.	SOURCEPAGE:Und			XPCOST:250							
Portal View				TYPE:Spell	SCHOOL:Divination	SUBSCHOOL:Scrying		CLASSES:Bard=4|Sorcerer=4|Wizard=4	COMPS:V, S, F/DF	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:One portal.	DURATION:1 minute/level	SAVEINFO:None 	SPELLRES:No	DESC:Turns target portal transparent. Arcane Focus: A glass eye.	SOURCEPAGE:Und										
Reflective Disguise				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Bard=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None 	SPELLRES:No	DESC:Viewers see you as their own species and gender.	SOURCEPAGE:Und										
Reflective Disguise (Mass)				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Bard=5|Sorcerer=6|Wizard=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One person/2 levels, no two of which can be more than 30 ft. apart	DURATION:12 hours	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Viewers see subjects as their own species and gender.	SOURCEPAGE:Und										
Rushing Waters				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Water	CLASSES:Druid=5	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:15-ft.-radius spread.	DURATION:Instantaneous	SAVEINFO:None (See text)	SPELLRES:No	DESC:Cold water gushes in a great wave outward from the point you choose, violently spreading to the limits of the area.	SOURCEPAGE:Und										
Sanctuary (Mass)				TYPE:Spell	SCHOOL:Abjuration				COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One touched creature/2 levels.	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:No	DESC:Any opponent attempting to strike or otherwise directly attack the warded creature, even with a targeted spell, must attempt a Will save.	SOURCEPAGE:Und										
Spiderskin				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=3|Sorcerer=3|Wizard=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subject gains increasing bonus to natural armor bonus, saves against poison, and Hide checks. Material Component: A piece of a spider.	SOURCEPAGE:Und							TEMPVALUE:MIN=1|MAX=20|TITLE=Casterlevel	TEMPBONUS:PC|VAR|PoisonResistanceBonus|min((((%CHOICE+3)/3)),5)|type=Racial	TEMPBONUS:PC|SKILL|Hide|min((((%CHOICE+3)/3)),5)|TYPE=Racial	TEMPBONUS:PC|COMBAT|AC|min((((%CHOICE+3)/3)),5)|TYPE=NaturalArmor.STACK
Stick				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=0|Sorcerer=0|Wizard=0	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Nonmagical, unattended object weighing up to 5 lb.	DURATION:Instantaneous	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Glues an object weighing 5 pounds or less to a larger object.. Material Component: A bit of dried glue.	SOURCEPAGE:Und										
Stone Metamorphosis				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Earth	CLASSES:Cleric=4|Druid=4|Sorcerer=6|Wizard=6	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Stone object touched, up to 10 cu. ft. + 1 cu. ft./level.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Changes type of stone. Arcane Material Component: A grain of talc and a chip of obsidian.	SOURCEPAGE:Und										
Stone Metamorphosis (Greater)				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Earth	CLASSES:Cleric=6|Druid=6|Sorcerer=8|Wizard=8	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Stone or stone objects touched, -up to 10 cu. ft. + 10 cu. ft./level.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Changes 10 cu. ft. + 10 cu. ft./level of stone into another type of stone. Arcane Material Component: A grain of talc and a chip of obsidian.	SOURCEPAGE:Und										
Stone Shape (Greater)				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Earth	CLASSES:Cleric=5|Druid=5|Sorcerer=7|Wizard=7	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Stone or stone objects touched, up to 10 cu. ft. + 10 cu. ft./level.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You can form an existing piece of stone into any shape that suits your purpose. Arcane Material Component: Soft clay, which must be worked into roughly the desired shape of the stone object and then touched to the stone while the verbal component is uttered.	SOURCEPAGE:Und										
Stone Sphere				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Earth	CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One 5-ft.-diameter stone sphere.	DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:5-ft.-diameter stone sphere rolls over your enemies. Material Component: A smooth sphere of marble 1 inch in diameter.	SOURCEPAGE:Und										
Tremorsense				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Ranger=3|Sorcerer=3|Wizard=3	COMPS:V, S, F/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Grants tremorsense to a range of 30 feet. Arcane Focus: A fleck of skin from a creature that has tremorsense.	SOURCEPAGE:Und										
Tunnel Swallow				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Earth	CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Tunnel section up to 20 feet in diameter and up to 50 feet long.	DURATION:Instantaneous	SAVEINFO:Reflex partial (see text)	SPELLRES:No	DESC:Tunnel's peristaltic convulsions deal 1d6 points of damage/level (max 15d6). Material Component: A lump of chewed vegetable or meat.	SOURCEPAGE:Und										
Undermaster				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Earth	CLASSES:Druid=9|Sorcerer=9|Wizard=9	COMPS:V, XP	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You gain earth-related spell-like abilities. XP Cost: 1,000 XP.	SOURCEPAGE:Und										
Viscid Glob				TYPE:Spell	SCHOOL:Conjuration			CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.	DURATION:1 hour/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Ranged touch attack hurls 5-ft.-diameter glob of glue at target. Material Component: A tiny ball of spider silk.	SOURCEPAGE:Und										
Wall of Dispel Magic				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Bard=4|Cleric=5|Druid=5|Sorcerer=5|Wizard=5	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:A plane of dispel magic whose area is up to one 10-ft. square/level.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Creatures passing through a transparent wall becomes subjects of targeted dispel magic.	SOURCEPAGE:Und										
Wall of Greater Dispel Magic				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Bard=5|Cleric=8|Druid=8|Sorcerer=8|Wizard=8	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:A plane of dispel magic whose area is up to one 10-ft. square/level.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Creatures passing through a transparent wall become subjects of targeted greater dispel magic.	SOURCEPAGE:Und										
Weighed in the Balance				TYPE:Spell	SCHOOL:Necromancy				COMPS:V	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:Creatures in a 30-ft.-radius spread centered on you.	DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:This spell harms or heals creatures within its area based on their alignments and life status, as given in the table below.	SOURCEPAGE:Und										
Word of Balance				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Sonic	CLASSES:Druid=7	COMPS:V	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:Creatures in a 30-ft.-radius spread centered on you.	DURATION:Instantaneous	SAVEINFO:None or Will negates (see text)	SPELLRES:Yes	DESC:Any lawful good, chaotic good, lawful evil, or chaotic evil creature who hears the word of balance suffers ill effects according to its Hit Dice, as given below, with no saving throw.	SOURCEPAGE:Und										
																											
#																											
Alarm.MOD	CLASSES:Prime Underdark Guide=1																										
# Change Self.MOD	CLASSES:Prime Underdark Guide=1																										
Disguise Self.MOD	CLASSES:Prime Underdark Guide=1																										
Create Water.MOD	CLASSES:Prime Underdark Guide=1																										
Detect Magic.MOD	CLASSES:Prime Underdark Guide=1																										
Endure Elements.MOD	CLASSES:Prime Underdark Guide=1																										
Expeditious Retreat.MOD	CLASSES:Prime Underdark Guide=1																										
Feather Fall.MOD	CLASSES:Prime Underdark Guide=1																										
Jump.MOD	CLASSES:Prime Underdark Guide=1																										
Light.MOD	CLASSES:Prime Underdark Guide=1																										
Purify Food and Drink.MOD	CLASSES:Prime Underdark Guide=1																										
Resist Energy.MOD	CLASSES:Prime Underdark Guide=1																										
Spider Climb.MOD	CLASSES:Prime Underdark Guide=1																										
Stick.MOD	CLASSES:Prime Underdark Guide=1																										
Bull's Strength.MOD	CLASSES:Prime Underdark Guide=2																										
Burrow.MOD	CLASSES:Prime Underdark Guide=2																										
Cat's Grace.MOD	CLASSES:Prime Underdark Guide=2																										
Eagle's Splendor.MOD	CLASSES:Prime Underdark Guide=2																										
Darkvision.MOD	CLASSES:Prime Underdark Guide=2																										
Owl's Wisdom.MOD	CLASSES:Prime Underdark Guide=2																										
Pass without Trace.MOD	CLASSES:Prime Underdark Guide=2																										
Protection from Energy.MOD	CLASSES:Prime Underdark Guide=2																										
Reflective Disguise.MOD	CLASSES:Prime Underdark Guide=2																										
Amorphous Form.MOD	CLASSES:Prime Underdark Guide=3																										
Create Food and Water.MOD	CLASSES:Prime Underdark Guide=3																										
Daylight.MOD	CLASSES:Prime Underdark Guide=3																										
Deeper Darkness.MOD	CLASSES:Prime Underdark Guide=3																										
Shadow Mask.MOD	CLASSES:Prime Underdark Guide=3																										
Suggestion.MOD	CLASSES:Prime Underdark Guide=3																										
Deeper Darkvision.MOD	CLASSES:Prime Underdark Guide=4																										
Dimension Door.MOD	CLASSES:Prime Underdark Guide=4																										
Freedom of Movement.MOD	CLASSES:Prime Underdark Guide=4																										
Good Hope.MOD	CLASSES:Prime Underdark Guide=4																										
Burrow (Mass).MOD	CLASSES:Prime Underdark Guide=4																										
Darkvision (Mass).MOD	CLASSES:Prime Underdark Guide=4																										
Reflective disguise (Mass).MOD	CLASSES:Prime Underdark Guide=4																										
Sending.MOD	CLASSES:Prime Underdark Guide=4																										
#																											
Summon Monster I.COPY=Summon Monster I	KEY:Summon Monstrous Spiders ~ Small																										
Summon Monstrous Spiders ~ Small.MOD	OUTPUTNAME:Summon Small Monstrous Spiders	TYPE:SpellLike	DESC:As summon monster, except that the spell summons one monstrous spider of the indicated size, 1d3 monstrous spiders one size category smaller, or 1d4+1 monstrous spiders two size categories smaller..																								
Summon Monster I.COPY=Summon Monster I	KEY:Summon Monstrous Spiders ~ Medium																										
Summon Monstrous Spiders ~ Medium.MOD	OUTPUTNAME:Summon Medium Monstrous Spiders	TYPE:SpellLike	DESC:As summon monster, except that the spell summons one monstrous spider of the indicated size, 1d3 monstrous spiders one size category smaller, or 1d4+1 monstrous spiders two size categories smaller..																								
Summon Monster I.COPY=Summon Monster I	KEY:Summon Monstrous Spiders ~ Large																										
Summon Monstrous Spiders ~ Large.MOD	OUTPUTNAME:Summon Large Monstrous Spiders	TYPE:SpellLike	DESC:As summon monster, except that the spell summons one monstrous spider of the indicated size, 1d3 monstrous spiders one size category smaller, or 1d4+1 monstrous spiders two size categories smaller..																								
Summon Monster I.COPY=Summon Monster I	KEY:Summon Monstrous Spiders ~ Huge																										
Summon Monstrous Spiders ~ Huge.MOD	OUTPUTNAME:Summon Huge Monstrous Spiders	TYPE:SpellLike	DESC:As summon monster, except that the spell summons one monstrous spider of the indicated size, 1d3 monstrous spiders one size category smaller, or 1d4+1 monstrous spiders two size categories smaller..																								
Summon Monster I.COPY=Summon Monster I	KEY:Summon Monstrous Spiders ~ Gargantuan																										
Summon Monstrous Spiders ~ Gargantuan.MOD	OUTPUTNAME:Summon Gargantuan Monstrous Spiders	TYPE:SpellLike	DESC:As summon monster, except that the spell summons one monstrous spider of the indicated size, 1d3 monstrous spiders one size category smaller, or 1d4+1 monstrous spiders two size categories smaller..																								
Summon Monster I.COPY=Summon Monster I	KEY:Summon Monstrous Spiders ~ Colossal																										
Summon Monstrous Spiders ~ Colossal.MOD	OUTPUTNAME:Summon Colossal Monstrous Spiders	TYPE:SpellLike	DESC:As summon monster, except that the spell summons one monstrous spider of the indicated size, 1d3 monstrous spiders one size category smaller, or 1d4+1 monstrous spiders two size categories smaller..																								
																											
Giant Vermin.COPY=Giant Vermin	KEY:Giant Vermin ~ Spiders only																										
Giant Vermin ~ Spiders only.MOD	OUTPUTNAME:Giant Vermin	TYPE:SpellLike	DESC:Only spiders.																								
																											
Shapechange.COPY=Shapechange	KEY:Shapechange ~ Spiders and spiderkin only																										
Shapechange ~ Spiders and spiderkin only.MOD	OUTPUTNAME:Shapechange	TYPE:SpellLike	DESC:Shapechange into spider or spiderkind creature only.																								
																											
Summon Monster VI.COPY=Summon Monster VI	KEY:Summon Monster VI ~ Large Earth Elemenatal only																										
Summon Monster VI ~ Large Earth Elemenatal only.MOD	OUTPUTNAME:Summon Monster VI	TYPE:SpellLike	DESC:Large Earth Elemenatal only.																								
																											
#																											
Animal Shapes.COPY=Animal Shapes	KEY:Spider Shapes																										
Spider Shapes.MOD		TYPE:SpellLike	DESC:As animal shapes, but allows transformation into monstrous spider form only.																								
																											
Insect Plague.COPY=Insect Plague	KEY:Spider Plague																										
Spider Plague.MOD		TYPE:SpellLike	DESC:As insect plague, but summons spider swarms instead of locust swarms.																								

Wall of Iron.COPY=Wall of Iron	KEY:Wall of Webs																										
Wall of Webs.MOD		TYPE:SpellLike	DESC:As Wall of Iron, but use spider webs.																								
