SOURCELONG:Underdark	SOURCESHORT:Und	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																															
																																		
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:	
Giant Maggot				SIZE:S	TYPE:Vermin	RACETYPE:Vermin		MONSTERCLASS:Vermin:2	MOVE:Walk,20	BONUS:COMBAT|AC|1|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Giant Maggot			BONUS:STAT|STR|-4	BONUS:STAT|DEX|2	BONUS:STAT|CON|2			BONUS:STAT|CHA|-8		CR:1/2	KIT:1|TN	HITDICEADVANCEMENT:4,8		LEGS:0	HANDS:0	SOURCEPAGE:Und	KIT:1|Giant Maggot Stats
Gloura			STARTFEATS:1	SIZE:M	TYPE:Fey	RACETYPE:Fey		MONSTERCLASS:Gloura:7	MOVE:Walk,30,Fly,60						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Gloura	DR:10/Cold Iron			BONUS:STAT|DEX|10	BONUS:STAT|CON|4		BONUS:STAT|WIS|2	BONUS:STAT|CHA|6	MONCSKILL:Diplomacy|Heal|Knowledge (Nature)|Listen|TYPE.Perform|Sense Motive|Spot|Survival	CR:7			LEVELADJUSTMENT:2	LEGS:2	HANDS:2	SOURCEPAGE:Und	KIT:1|Gloura Stats
Ineffable Horror			STARTFEATS:1	SIZE:L	TYPE:Aberration	RACETYPE:Aberration		MONSTERCLASS:Aberration:5	MOVE:Walk,30,Fly,60	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d4				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Ineffable Horror		SR:16	BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-2		BONUS:STAT|CHA|-6	MONCSKILL:Listen|Spot	CR:5	KIT:1|CE	HITDICEADVANCEMENT:10,15		LEGS:2	HANDS:2	SOURCEPAGE:Und	KIT:1|Ineffable Horror Stats
Kuo-Toa Leviathan			STARTFEATS:1	SIZE:H	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Aquatic	MONSTERCLASS:Monstrous Humanoid:15	MOVE:Walk,20,Swim,50	BONUS:COMBAT|AC|14|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6|Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6				FACE:15	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Kuo-Toa Leviathan			BONUS:STAT|STR|16	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|10		MONCSKILL:Diplomacy|Escape Artist|Hide|Listen|Move Silently|Search|Sense Motive|Spot|Swim|Use Rope|Survival	CR:15	KIT:1|LE	HITDICEADVANCEMENT:45		LEGS:2	HANDS:2	SOURCEPAGE:Und	KIT:1|Kuo-Toa Leviathan Stats
Lith			STARTFEATS:1	SIZE:M	TYPE:Magical Beast	RACETYPE:Magical Beast	RACESUBTYPE:Earth	MONSTERCLASS:Magical Beast	MOVE:Walk,40	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6|Gore,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Lith	DR:10/Magic		BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|CON|10	BONUS:STAT|INT|-4		BONUS:STAT|CHA|4	MONCSKILL:Hide|Listen|Spot	CR:6	KIT:1|CE	HITDICEADVANCEMENT:6,12	LEVELADJUSTMENT:5	LEGS:2	HANDS:2	SOURCEPAGE:Und	KIT:1|Lith Stats
Lurker			STARTFEATS:1	SIZE:L	TYPE:Aberration	RACETYPE:Aberration		MONSTERCLASS:Aberration:6	MOVE:Walk,10,Fly,30	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Lurker			BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-8		BONUS:STAT|CHA|2	MONCSKILL:Hide|Listen|Move Silently|Spot	CR:3	KIT:1|TN	HITDICEADVANCEMENT:12,18		LEGS:0	HANDS:0	SOURCEPAGE:Und	KIT:1|Lurker Stats
Maur			STARTFEATS:1	SIZE:L	TYPE:Giant	RACETYPE:Giant	RACESUBTYPE:Earth	MONSTERCLASS:Giant:12	MOVE:Walk,40,Burrow,5	BONUS:COMBAT|AC|9|TYPE=NaturalArmor					FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Maur			BONUS:STAT|STR|14		BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6	MONCSKILL:Climb|Escape Artist|Hide|Listen|Spot|Use Rope	CR:11			LEVELADJUSTMENT:5	LEGS:2	HANDS:2	SOURCEPAGE:Und	KIT:1|Maur Stats
Phaerlock			STARTFEATS:1	SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Reptilian	MONSTERCLASS:Humanoid:2	MOVE:Walk,30	BONUS:COMBAT|AC|7|TYPE=NAturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Phaerlock			BONUS:STAT|STR|4		BONUS:STAT|CON|4	BONUS:STAT|INT|-2		BONUS:STAT|CHA|4	MONCSKILL:Balance|Jump|Listen|Search|Spot|Swim	CR:2			LEVELADJUSTMENT:2	LEGS:2	HANDS:2	SOURCEPAGE:Und	KIT:1|Phaerlock Stats
Portal Drake			STARTFEATS:1	SIZE:S	TYPE:Dragon	RACETYPE:Dragon		MONSTERCLASS:Dragon:5	MOVE:Walk,40,Burrow,20,Fly,90	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Portal Drake			BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|4		BONUS:STAT|CHA|4	MONCSKILL:Bluff|Concentration|Disguise|Hide|Intimidate|Listen|Move Silently|Spellcraft|Spot|Use Magic Device	CR:5		HITDICEADVANCEMENT:8,11,15	LEVELADJUSTMENT:3	LEGS:4	HANDS:2	SOURCEPAGE:Und	KIT:1|Portal Drake Stats
Stone Flyer			STARTFEATS:1	SIZE:L	TYPE:Magical Beast	RACETYPE:Magical Beast	RACESUBTYPE:Earth|Extraplanar	MONSTERCLASS:Magical Beast:5	MOVE:Walk,50,Fly,60	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Stone Flyer	DR:5/Bludgeoning	SR:13	BONUS:STAT|STR|10	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-6		BONUS:STAT|CHA|-2	MONCSKILL:Listen|Spot	CR:3		HITDICEADVANCEMENT:10	LEVELADJUSTMENT:5	LEGS:4	HANDS:0	SOURCEPAGE:Und	KIT:1|Stone Flyer Stats
