SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2024-08																																																																																																																																																																																																																
Caster Spell Slots ~ Limited	CATEGORY:Internal	DEFINE:LimitedSpellProgression|0	BONUS:VAR|LimitedSpellProgression|FighterLVL|PREABILITY:1,CATEGORY=Special Ability,Eldritch Knight ~ Spellcasting	BONUS:VAR|LimitedSpellProgression|RogueLVL|PREABILITY:1,CATEGORY=Special Ability,Arcane Trickster ~ Spellcasting	BONUS:VAR|SpellSlotsLVL1|2+(LimitedSpellProgression>3)+(LimitedSpellProgression>6)	BONUS:VAR|SpellSlotsLVL2|(LimitedSpellProgression>6)+(LimitedSpellProgression>6)+(LimitedSpellProgression>9)	BONUS:VAR|SpellSlotsLVL3|(LimitedSpellProgression>12)+(LimitedSpellProgression>12)+(LimitedSpellProgression>15)	BONUS:VAR|SpellSlotsLVL4|(LimitedSpellProgression>18)																																																																																																																																																																																																											
Caster Spell Slots ~ Moderate	CATEGORY:Internal	DEFINE:ModerateSpellProgression|0	BONUS:VAR|ModerateSpellProgression|RangerLVL+PaladinLVL	BONUS:VAR|SpellSlotsLVL1|(2*(ModerateSpellProgression>=2))+(ModerateSpellProgression>=3)+(ModerateSpellProgression>=5)	BONUS:VAR|SpellSlotsLVL2|(2*(ModerateSpellProgression>=5))+(ModerateSpellProgression>=7)	BONUS:VAR|SpellSlotsLVL3|(2*(ModerateSpellProgression>=9))+(ModerateSpellProgression>=11)	BONUS:VAR|SpellSlotsLVL4|(ModerateSpellProgression>=13)+(ModerateSpellProgression>=15)+(ModerateSpellProgression>=17)	BONUS:VAR|SpellSlotsLVL5|(ModerateSpellProgression>=17)+(ModerateSpellProgression>=19)																																																																																																																																																																																																											
Caster Spell Slots ~ Full	CATEGORY:Internal	DEFINE:FullSpellProgression|0	BONUS:VAR|FullSpellProgression|BardLVL+ClericLVL+DruidLVL+SocererLVL+WizardLVL	BONUS:VAR|SpellSlotsLVL1|2+(SpellCasterTotalLVL>=2)+(SpellCasterTotalLVL>=3)	BONUS:VAR|SpellSlotsLVL2|(SpellCasterTotalLVL>=3)+(SpellCasterTotalLVL>=3)+(SpellCasterTotalLVL>=4)	BONUS:VAR|SpellSlotsLVL3|(SpellCasterTotalLVL>=5)+(SpellCasterTotalLVL>=5)+(SpellCasterTotalLVL>=6)	BONUS:VAR|SpellSlotsLVL4|(SpellCasterTotalLVL>=7)+(SpellCasterTotalLVL>=8)+(SpellCasterTotalLVL>=9)	BONUS:VAR|SpellSlotsLVL5|(SpellCasterTotalLVL>=9)+(SpellCasterTotalLVL>=10)+(SpellCasterTotalLVL>=18)	BONUS:VAR|SpellSlotsLVL6|(SpellCasterTotalLVL>=11)+(SpellCasterTotalLVL>=19)	BONUS:VAR|SpellSlotsLVL7|(SpellCasterTotalLVL>=13)+(SpellCasterTotalLVL>=20)	BONUS:VAR|SpellSlotsLVL8|(SpellCasterTotalLVL>=15)	BONUS:VAR|SpellSlotsLVL9|(SpellCasterTotalLVL>=17)																																																																																																																																																																																																							
																																																																																																																																																																																																																			
CATEGORY=Internal|Default.MOD	DEFINE:BardSpellDC|0		BONUS:VAR|BardSpellDC|SpellDC_CHA																																																																																																																																																																																																																
CATEGORY=Internal|Default.MOD	DEFINE:SorcererSpellDC|0	BONUS:VAR|SorcererSpellDC|SpellDC_CHA																																																																																																																																																																																																																	
CATEGORY=Internal|Default.MOD	DEFINE:WarlockSpellDC|0		BONUS:VAR|WarlockSpellDC|SpellDC_CHA																																																																																																																																																																																																																
CATEGORY=Internal|Default.MOD	DEFINE:ClericSpellDC|0		BONUS:VAR|ClericSpellDC|SpellDC_WIS																																																																																																																																																																																																																
CATEGORY=Internal|Default.MOD	DEFINE:RangerSpellDC|0		BONUS:VAR|RangerSpellDC|SpellDC_WIS																																																																																																																																																																																																																
CATEGORY=Internal|Default.MOD	DEFINE:PaladinSpellDC|0		BONUS:VAR|PaladinSpellDC|SpellDC_WIS																																																																																																																																																																																																																
CATEGORY=Internal|Default.MOD	DEFINE:WizardSpellDC|0		BONUS:VAR|WizardSpellDC|SpellDC_INT																																																																																																																																																																																																																
																																																																																																																																																																																																																			
AC Tracker	CATEGORY:Internal	ABILITY:Armor Class Method|AUTOMATIC|AC Tracker ~ Default|!PREABILITY:1,CATEGORY=Special Ability,TYPE.AC_Tracker_SelectionMade	DEFINE:AC_Ability_Score_Bonus|0																																																																																																																																																																																																																
CATEGORY=Internal|AC Tracker.MOD	DEFINE:POOL_AC_Tracker|0	BONUS:VAR|POOL_AC_Tracker|1|!PREABILITY:1,CATEGORY=Special Ability,TYPE.AC_Tracker_Choice																																																																																																																																																																																																																	
																																																																																																																																																																																																																			
#																																																																																																																																																																																																																			
Base AC 10 + DEX or Armor	CATEGORY:Special Ability	TYPE:AC_Tracker	VISIBLE:NO	DESC:This is the standard Method	KEY:AC Tracker ~ Default	BONUS:VAR|AC_Total|AC_Base+AC_Armor+AC_Shield	BONUS:VAR|DisableDexForAC|1|PREEQUIP:1,TYPE.HeavyArmor																																																																																																																																																																																																												
#																																																																																																																																																																																																																			
Default	CATEGORY:Special Ability	TYPE:AC_Tracker.AC_Tracker_Choice	KEY:AC Tracker ~ No Choice	COST:0																																																																																																																																																																																																															
Barbarian Unarmored Defense	CATEGORY:Special Ability	TYPE:AC_Tracker.AC_Tracker_Choice.AC_Tracker_SelectionMade	KEY:AC Tracker ~ Barbarian	COST:0	PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AC_Tracker_Choice],[PREABILITY:1,CATEGORY=Special Ability,Barbarian ~ Unarmored Defense]	BONUS:VAR|AC_Total|AC_Shield|PREVAREQ:AC_ShieldDisabled,0	BONUS:VAR|AC_Ability_Score_Bonus|CON	SOURCEPAGE:PHB
Monk Unarmored Defense	CATEGORY:Special Ability	TYPE:AC_Tracker.AC_Tracker_Choice.AC_Tracker_SelectionMade	KEY:AC Tracker ~ Monk	COST:0	PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AC_Tracker_Choice],[PREABILITY:1,CATEGORY=Special Ability,Monk ~ Unarmored Defense]	BONUS:VAR|AC_Ability_Score_Bonus|WIS	SOURCEPAGE:PHB
Sorcerer Unarmored Defense	CATEGORY:Special Ability	TYPE:AC_Tracker.AC_Tracker_Choice.AC_Tracker_SelectionMade	KEY:AC Tracker ~ Sorcerer	COST:0	PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AC_Tracker_Choice],[PREABILITY:1,CATEGORY=Special Ability,Draconic Sorcery ~ Draconic Resilience]	BONUS:VAR|AC_Ability_Score_Bonus|CHA	SOURCEPAGE:PHB
																																																																																																																																																																																																																			
###Block: Skill Proficiencies & Skill Proficiency Bonus																																																																																																																																																																																																																			
# Ability Name	Category of Ability	Type				Prohibited Class SKill		Modify VAR										Class Skill																																																																																																																																																																																																	
Athletics	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Athletics	BONUS:VAR|SkillProf_Athletics|Proficiency_Bonus|TYPE=Class	CSKILL:Athletics																																																																																																																																																																																																													
Acrobatics	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Acrobatics	BONUS:VAR|SkillProf_Acrobatics|Proficiency_Bonus|TYPE=Class	CSKILL:Acrobatics																																																																																																																																																																																																													
Sleight of Hand	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Sleight of Hand	BONUS:VAR|SkillProf_Sleight_of_Hand|Proficiency_Bonus|TYPE=Class	CSKILL:Sleight of Hand																																																																																																																																																																																																													
Stealth	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Stealth	BONUS:VAR|SkillProf_Stealth|Proficiency_Bonus|TYPE=Class	CSKILL:Stealth																																																																																																																																																																																																													
Arcana	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Arcana	BONUS:VAR|SkillProf_Arcana|Proficiency_Bonus|TYPE=Class	CSKILL:Arcana																																																																																																																																																																																																													
History	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,History	BONUS:VAR|SkillProf_History|Proficiency_Bonus|TYPE=Class	CSKILL:History																																																																																																																																																																																																													
Investigation	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Investigation	BONUS:VAR|SkillProf_Investigation|Proficiency_Bonus|TYPE=Class	CSKILL:Investigation																																																																																																																																																																																																													
Nature	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Nature	BONUS:VAR|SkillProf_Nature|Proficiency_Bonus|TYPE=Class	CSKILL:Nature																																																																																																																																																																																																													
Religion	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Religion	BONUS:VAR|SkillProf_Religion|Proficiency_Bonus|TYPE=Class	CSKILL:Religion																																																																																																																																																																																																													
Animal Handling	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Animal Handling	BONUS:VAR|SkillProf_Animal_Handling|Proficiency_Bonus|TYPE=Class	CSKILL:Animal Handling																																																																																																																																																																																																													
Insight	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Insight	BONUS:VAR|SkillProf_Insight|Proficiency_Bonus|TYPE=Class	CSKILL:Insight																																																																																																																																																																																																													
Medicine	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Medicine	BONUS:VAR|SkillProf_Medicine|Proficiency_Bonus|TYPE=Class	CSKILL:Medicine																																																																																																																																																																																																													
Perception	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Perception	BONUS:VAR|SkillProf_Perception|Proficiency_Bonus|TYPE=Class	CSKILL:Perception																																																																																																																																																																																																													
Survival	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Survival	BONUS:VAR|SkillProf_Survival|Proficiency_Bonus|TYPE=Class	CSKILL:Survival																																																																																																																																																																																																													
Deception	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Deception	BONUS:VAR|SkillProf_Deception|Proficiency_Bonus|TYPE=Class	CSKILL:Deception																																																																																																																																																																																																													
Intimidation	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Intimidation	BONUS:VAR|SkillProf_Intimidation|Proficiency_Bonus|TYPE=Class	CSKILL:Intimidation																																																																																																																																																																																																													
Performance	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Performance	BONUS:VAR|SkillProf_Performance|Proficiency_Bonus|TYPE=Class	CSKILL:Performance																																																																																																																																																																																																													
Persuasion	CATEGORY:Skill	TYPE:Skill Proficiency		!PRECSKILL:1,Persuasion	BONUS:VAR|SkillProf_Persuasion|Proficiency_Bonus|TYPE=Class	CSKILL:Persuasion																																																																																																																																																																																																													
																																																																																																																																																																																																																			
###Block: Export display skills																																																																																																																																																																																																																			
# Strength																																																																																																																																																																																																																			
# Ability Name	Category of Ability	Type			Visible		Define											Modify VAR										Aspects																																																																																																																																																																																							
Athletics	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Athletics|0	DEFINE:SkillProf_Athletics|0	BONUS:VAR|SKILL_Athletics|STR+SkillProf_Athletics	ASPECT:KEYSTAT|STR	ASPECT:AbilityMod|%1|STR	ASPECT:Total|%1|SKILL_Athletics	ASPECT:ProfBonus|%1|SkillProf_Athletics																																																																																																																																																																																																									
# Dexterity																																																																																																																																																																																																																			
Acrobatics	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Acrobatics|0	DEFINE:SkillProf_Acrobatics|0	BONUS:VAR|SKILL_Acrobatics|DEX+SkillProf_Acrobatics	ASPECT:KEYSTAT|DEX	ASPECT:AbilityMod|%1|DEX	ASPECT:Total|%1|SKILL_Acrobatics	ASPECT:ProfBonus|%1|SkillProf_Acrobatics																																																																																																																																																																																																									
Sleight of Hand	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Sleight_of_Hand|0	DEFINE:SkillProf_Sleight_of_Hand|0	BONUS:VAR|SKILL_Sleight_of_Hand|DEX+SkillProf_Sleight_of_Hand	ASPECT:KEYSTAT|DEX	ASPECT:AbilityMod|%1|DEX	ASPECT:Total|%1|SKILL_Sleight_of_Hand	ASPECT:ProfBonus|%1|SkillProf_Sleight_of_Hand																																																																																																																																																																																																									
Stealth	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Stealth|0	DEFINE:SkillProf_Stealth|0	BONUS:VAR|SKILL_Stealth|DEX+SkillProf_Stealth	ASPECT:KEYSTAT|DEX	ASPECT:AbilityMod|%1|DEX	ASPECT:Total|%1|SKILL_Stealth	ASPECT:ProfBonus|%1|SkillProf_Stealth																																																																																																																																																																																																									
# Intelligence																																																																																																																																																																																																																			
Arcana	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Arcana|0	DEFINE:SkillProf_Arcana|0	BONUS:VAR|SKILL_Arcana|INT+SkillProf_Arcana	ASPECT:KEYSTAT|INT	ASPECT:AbilityMod|%1|INT	ASPECT:Total|%1|SKILL_Arcana	ASPECT:ProfBonus|%1|SkillProf_Arcana																																																																																																																																																																																																									
History	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_History|0	DEFINE:SkillProf_History|0	BONUS:VAR|SKILL_History|INT+SkillProf_History	ASPECT:KEYSTAT|INT	ASPECT:AbilityMod|%1|INT	ASPECT:Total|%1|SKILL_History	ASPECT:ProfBonus|%1|SkillProf_History																																																																																																																																																																																																									
Investigation	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Investigation|0	DEFINE:SkillProf_Investigation|0	BONUS:VAR|SKILL_Investigation|INT+SkillProf_Investigation	ASPECT:KEYSTAT|INT	ASPECT:AbilityMod|%1|INT	ASPECT:Total|%1|SKILL_Investigation	ASPECT:ProfBonus|%1|SkillProf_Investigation																																																																																																																																																																																																									
Nature	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Nature|0	DEFINE:SkillProf_Nature|0	BONUS:VAR|SKILL_Nature|INT+SkillProf_Nature	ASPECT:KEYSTAT|INT	ASPECT:AbilityMod|%1|INT	ASPECT:Total|%1|SKILL_Nature	ASPECT:ProfBonus|%1|SkillProf_Nature																																																																																																																																																																																																									
Religion	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Religion|0	DEFINE:SkillProf_Religion|0	BONUS:VAR|SKILL_Religion|INT+SkillProf_Religion	ASPECT:KEYSTAT|INT	ASPECT:AbilityMod|%1|INT	ASPECT:Total|%1|SKILL_Religion	ASPECT:ProfBonus|%1|SkillProf_Religion																																																																																																																																																																																																									
# Wisdom																																																																																																																																																																																																																			
Animal Handling	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Animal_Handling|0	DEFINE:SkillProf_Animal_Handling|0	BONUS:VAR|SKILL_Animal_Handling|WIS+SkillProf_Animal_Handling	ASPECT:KEYSTAT|WIS	ASPECT:AbilityMod|%1|WIS	ASPECT:Total|%1|SKILL_Animal_Handling	ASPECT:ProfBonus|%1|SkillProf_Animal_Handling																																																																																																																																																																																																									
Insight	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Insight|0	DEFINE:SkillProf_Insight|0	BONUS:VAR|SKILL_Insight|WIS+SkillProf_Insight	ASPECT:KEYSTAT|WIS	ASPECT:AbilityMod|%1|WIS	ASPECT:Total|%1|SKILL_Insight	ASPECT:ProfBonus|%1|SkillProf_Insight																																																																																																																																																																																																									
Medicine	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Medicine|0	DEFINE:SkillProf_Medicine|0	BONUS:VAR|SKILL_Medicine|WIS+SkillProf_Medicine	ASPECT:KEYSTAT|WIS	ASPECT:AbilityMod|%1|WIS	ASPECT:Total|%1|SKILL_Medicine	ASPECT:ProfBonus|%1|SkillProf_Medicine																																																																																																																																																																																																									
Perception	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Perception|0	DEFINE:SkillProf_Perception|0	BONUS:VAR|SKILL_Perception|WIS+SkillProf_Perception	ASPECT:KEYSTAT|WIS	ASPECT:AbilityMod|%1|WIS	ASPECT:Total|%1|SKILL_Perception	ASPECT:ProfBonus|%1|SkillProf_Perception																																																																																																																																																																																																									
Survival	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Survival|0	DEFINE:SkillProf_Survival|0	BONUS:VAR|SKILL_Survival|WIS+SkillProf_Survival	ASPECT:KEYSTAT|WIS	ASPECT:AbilityMod|%1|WIS	ASPECT:Total|%1|SKILL_Survival	ASPECT:ProfBonus|%1|SkillProf_Survival																																																																																																																																																																																																									
# Charisma																																																																																																																																																																																																																			
Deception	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Deception|0	DEFINE:SkillProf_Deception|0	BONUS:VAR|SKILL_Deception|CHA+SkillProf_Deception	ASPECT:KEYSTAT|CHA	ASPECT:AbilityMod|%1|CHA	ASPECT:Total|%1|SKILL_Deception	ASPECT:ProfBonus|%1|SkillProf_Deception																																																																																																																																																																																																									
Intimidation	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Intimidation|0	DEFINE:SkillProf_Intimidation|0	BONUS:VAR|SKILL_Intimidation|CHA+SkillProf_Intimidation	ASPECT:KEYSTAT|CHA	ASPECT:AbilityMod|%1|CHA	ASPECT:Total|%1|SKILL_Intimidation	ASPECT:ProfBonus|%1|SkillProf_Intimidation																																																																																																																																																																																																									
Performance	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Performance|0	DEFINE:SkillProf_Performance|0	BONUS:VAR|SKILL_Performance|CHA+SkillProf_Performance	ASPECT:KEYSTAT|CHA	ASPECT:AbilityMod|%1|CHA	ASPECT:Total|%1|SKILL_Performance	ASPECT:ProfBonus|%1|SkillProf_Performance																																																																																																																																																																																																									
Persuasion	CATEGORY:SkillExport	TYPE:SkillExport	VISIBLE:EXPORT	DEFINE:SKILL_Persuasion|0	DEFINE:SkillProf_Persuasion|0	BONUS:VAR|SKILL_Persuasion|CHA+SkillProf_Persuasion	ASPECT:KEYSTAT|CHA	ASPECT:AbilityMod|%1|CHA	ASPECT:Total|%1|SKILL_Persuasion	ASPECT:ProfBonus|%1|SkillProf_Persuasion																																																																																																																																																																																																									
																																																																																																																																																																																																																			
###Block: Expertise Support																																																																																																																																																																																																																			
# Ability Name			Unique Key						SORTKEY		Category of Ability		Type									Required Ability									Description																																																																										Ability																																																																													Bonus to spell cast/day																		Modify VAR											Source Page
Athletics				KEY:Expertise ~ Athletics						CATEGORY:Special Ability	TYPE:Expertise							PREABILITY:1,CATEGORY=Skill,Athletics																																																																																																																																																																																			BONUS:VAR|SkillProf_Athletics|Proficiency_Bonus|TYPE=Expertise														
Acrobatics				KEY:Expertise ~ Acrobatics						CATEGORY:Special Ability	TYPE:Expertise							PREABILITY:1,CATEGORY=Skill,Acrobatics																																																																																																																																																																																			BONUS:VAR|SkillProf_Acrobatics|Proficiency_Bonus|TYPE=Expertise														
Sleight of Hand			KEY:Expertise ~ Sleight of Hand					CATEGORY:Special Ability	TYPE:Expertise							PREABILITY:1,CATEGORY=Skill,Sleight of Hand																																																																																																																																																																																		BONUS:VAR|SkillProf_Sleight_of_Hand|Proficiency_Bonus|TYPE=Expertise																	
Stealth				KEY:Expertise ~ Stealth							CATEGORY:Special Ability	TYPE:Expertise							PREABILITY:1,CATEGORY=Skill,Stealth																																																																																																																																																																																				BONUS:VAR|SkillProf_Stealth|Proficiency_Bonus|TYPE=Expertise												
Arcana				KEY:Expertise ~ Arcana							CATEGORY:Special Ability	TYPE:Expertise							PREABILITY:1,CATEGORY=Skill,Arcana																																																																																																																																																																																				BONUS:VAR|SkillProf_Arcana|Proficiency_Bonus|TYPE=Expertise												
History				KEY:Expertise ~ History							CATEGORY:Special Ability	TYPE:Expertise							PREABILITY:1,CATEGORY=Skill,History																																																																																																																																																																																				BONUS:VAR|SkillProf_History|Proficiency_Bonus|TYPE=Expertise												
Investigation			KEY:Expertise ~ Investigation						CATEGORY:Special Ability	TYPE:Expertise							PREABILITY:1,CATEGORY=Skill,Investigation																																																																																																																																																																																			BONUS:VAR|SkillProf_Investigation|Proficiency_Bonus|TYPE=Expertise															
Nature				KEY:Expertise ~ Nature							CATEGORY:Special Ability	TYPE:Expertise							PREABILITY:1,CATEGORY=Skill,Nature																																																																																																																																																																																				BONUS:VAR|SkillProf_Nature|Proficiency_Bonus|TYPE=Expertise												
Religion				KEY:Expertise ~ Religion						CATEGORY:Special Ability	TYPE:Expertise							PREABILITY:1,CATEGORY=Skill,Religion																																																																																																																																																																																			BONUS:VAR|SkillProf_Religion|Proficiency_Bonus|TYPE=Expertise														
Animal Handling			KEY:Expertise ~ Animal Handling					CATEGORY:Special Ability	TYPE:Expertise							PREABILITY:1,CATEGORY=Skill,Animal Handling																																																																																																																																																																																		BONUS:VAR|SkillProf_Animal_Handling|Proficiency_Bonus|TYPE=Expertise																	
Insight				KEY:Expertise ~ Insight							CATEGORY:Special Ability	TYPE:Expertise							PREABILITY:1,CATEGORY=Skill,Insight																																																																																																																																																																																				BONUS:VAR|SkillProf_Insight|Proficiency_Bonus|TYPE=Expertise												
Medicine				KEY:Expertise ~ Medicine						CATEGORY:Special Ability	TYPE:Expertise							PREABILITY:1,CATEGORY=Skill,Medicine																																																																																																																																																																																			BONUS:VAR|SkillProf_Medicine|Proficiency_Bonus|TYPE=Expertise														
Perception				KEY:Expertise ~ Perception						CATEGORY:Special Ability	TYPE:Expertise							PREABILITY:1,CATEGORY=Skill,Perception																																																																																																																																																																																			BONUS:VAR|SkillProf_Perception|Proficiency_Bonus|TYPE=Expertise														
Survival				KEY:Expertise ~ Survival						CATEGORY:Special Ability	TYPE:Expertise							PREABILITY:1,CATEGORY=Skill,Survival																																																																																																																																																																																			BONUS:VAR|SkillProf_Survival|Proficiency_Bonus|TYPE=Expertise														
Deception				KEY:Expertise ~ Deception						CATEGORY:Special Ability	TYPE:Expertise							PREABILITY:1,CATEGORY=Skill,Deception																																																																																																																																																																																			BONUS:VAR|SkillProf_Deception|Proficiency_Bonus|TYPE=Expertise														
