SOURCELONG:Gozzilioni Savage Species	SOURCESHORT:SS	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																										
###Block: Spells																										
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Cloud Wings			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Fort Negates (harmless)	SPELLRES:Yes	DESC:+30 ft to subject's fly speed.	SOURCEPAGE:SS								
Countermoon			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One lycanthrope		DURATION:12 hours	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Prevents lycanthrope from changing form.	SOURCEPAGE:SS								
Crawling Darkness			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 round	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:None	DESC:Shroud of tentacles conceals and protects you.	SOURCEPAGE:SS								
Dawn			TYPE:Divine	CLASSES:Druid=0|Ranger=1		SCHOOL:Abjuration			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:All creature within a 15-ft radius burst centered on your		DURATION:Instantaneous	SAVEINFO:Fort Negates (Harm)	SPELLRES:Yes	DESC:Sleeping/unconscious creatures in area awaken.	SOURCEPAGE:SS								
Desiccating Bubble			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Necromancy			COMPS:S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:3-ft radius sphere of air		DURATION:1 round/level	SAVEINFO:Reflex Negates	SPELLRES:Yes	DESC:Globe of air damages by evaporating moisture from target.	SOURCEPAGE:SS								
Dissonant Chant			TYPE:Arcane	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Abjuration		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:100-ft radius emanation		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Concentration checks more difficult within the area of spell.	SOURCEPAGE:SS								
Dream Casting			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 hour	RANGE:Unlimited	TARGETAREA:You and one dreamer		DURATION:1 day/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Alter subject's dreams to produce desired effect.	SOURCEPAGE:SS								
Earth Reaver			TYPE:Divine.Arcane	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft radius spread +10-ft/level		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Eruption deals 5d6/level damage to all in area.	SOURCEPAGE:SS								
Embrace the Wild			TYPE:Divine	CLASSES:Druid=3|Ranger=3		SCHOOL:Transmutation			COMPS:V, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You gain senses, other traits of chosen animal.	SOURCEPAGE:SS								
Enlarge (Improved)	OUTPUTNAME:Enlarge, Improved		TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature, or one object of up to 10-ft cubic/level in volume		DURATION:10 minutes/level	SAVEINFO:Fort Negates	SPELLRES:Yes	DESC:Subject remain enlarged for 10 minutes/level.	SOURCEPAGE:SS								
Extend Tentacles			TYPE:Divine.Arcane	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:+5 ft to reach of tentacle attack.	SOURCEPAGE:SS								
Fins to Feet			TYPE:Divine.Arcane	CLASSES:Cleric=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Creature touched		DURATION:10 minutes/level	SAVEINFO:Fort Negates (harmless)	SPELLRES:Yes	DESC:Transforms tails and fins onto legs and feet-	SOURCEPAGE:SS								
Flame Whips			TYPE:Divine.Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Flaming Whips		DURATION:1 round/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Your forelimbs deal 5d6 fire damage +1/level.	SOURCEPAGE:SS								
Forestfold			TYPE:Divine	CLASSES:Druid=4|Ranger=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:+20 circumstance bonus on Hide and Move Silently checks.	SOURCEPAGE:SS								
Fox's Cunning			TYPE:Divine.Arcane	CLASSES:Bard=2|Cleric=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:1d4+1 enhancement bonus on Intelligence.	SOURCEPAGE:SS								
Fuse Arms			TYPE:Divine.Arcane	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature with at least four arms or tentacles touched		DURATION:10 minutes/level	SAVEINFO:Fort Negates (harmless)	SPELLRES:Yes	DESC:Multiple arms/tentacle become one pair of stronger limbs.	SOURCEPAGE:SS								
Girallon's Blessing			TYPE:Divine.Arcane	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:10 minutes/level	SAVEINFO:Fort Negates (harmless)	SPELLRES:Yes	DESC:Subject gains one additional pair of arms per four levels.	SOURCEPAGE:SS								
Hailstones			TYPE:Divine.Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One frigid globe/five levels		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:Frigid globes deal 5d6 cold damage.	SOURCEPAGE:SS								
Holy Star			TYPE:Arcane	CLASSES:Cleric=7		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Protective star of energy.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Mote of energy protects you, attacks foes.	SOURCEPAGE:SS								
Illusory Pit			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Illusion	SUBSCHOOL:Figment		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Image 10-ft by 10-ft by 20-ft		DURATION:Permanent	SAVEINFO:Will Disbelief	SPELLRES:No	DESC:Creates illusion of 20-ft deep pit.	SOURCEPAGE:SS								
Incarnate Construct			TYPE:Divine.Arcane	CLASSES:Cleric=9|Sorcerer,Wizard=9		SCHOOL:Transmutation			COMPS:V, S, M, XP	CASTTIME:8 hours	RANGE:Touch	TARGETAREA:One construct		DURATION:Instantaneous	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Turns construct into living creature.	SOURCEPAGE:SS			XPCOST:5000					
Inky Cloud			TYPE:Divine.Arcane	CLASSES:Cleric=2|Sorcerer,Wizard=2		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:30-ft	TARGETAREA:Cloud that spreads underwater in a 30-ft radius, centered on you		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Obscure sight underwater beyond 5 ft.	SOURCEPAGE:SS								
Jagged Tooth			TYPE:Divine	CLASSES:Druid=3|Ranger=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One natural s�ashing or piercing weapon of target creature		DURATION:10 minutes/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Subject's natural weapon gains keen special ability.	SOURCEPAGE:SS								
Laogzed's Breath			TYPE:Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Air	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone		DURATION:Instantaneous	SAVEINFO:Fort Negates	SPELLRES:Yes	DESC:Nauseating vapors within cone persist for 10 rounds.	SOURCEPAGE:SS								
Lion's Charge			TYPE:Divine.Arcane	CLASSES:Druid=1|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Subject can charge, then make full attack in the same round.	SOURCEPAGE:SS								
Low-Light Vision			TYPE:Divine.Arcane	CLASSES:Assassin=1|Ranger=1|Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Subject gains low-light vision for 1 hour/level.	SOURCEPAGE:SS								
Maw of Chaos			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Abjuration		DESCRIPTOR:Chaotic|Force	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:15-ft radius emanation		DURATION:1 round/level	SAVEINFO:Will Half	SPELLRES:Yes	DESC:Chaotic energy deals damage, impedes concentration.	SOURCEPAGE:SS								
Minor Servitor			TYPE:Divine.Arcane	CLASSES:Cleric=7|Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S, M, XP	CASTTIME:1 day	RANGE:Touch	TARGETAREA:One object up to 1-ft cubic/level		DURATION:Permanent	SAVEINFO:None (object)	SPELLRES:Yes	DESC:Animated object does your bidding.	SOURCEPAGE:SS			XPCOST:250					
Plant Body			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:10 minutes/level	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Subject's type change to plant.	SOURCEPAGE:SS								
Rapid Burrowing			TYPE:Divine.Arcane	CLASSES:Cleric=2|Druid=2|Ranger=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, F/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Fort Negates (harmless)	SPELLRES:Yes	DESC:+20 ft to subject's burrow speed.	SOURCEPAGE:SS								
Reduce (Improved)	OUTPUTNAME:Reduce, Improved		TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature, or one object of up to 10-ft cubic/level in volume		DURATION:10 minutes/level	SAVEINFO:Fort Negates	SPELLRES:Yes	DESC:Subject remain reduced for 10 minutes/level.	SOURCEPAGE:SS								
Rejection			TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone		DURATION:Instantaneous	SAVEINFO:Reflex Negates	SPELLRES:Yes	DESC:Creatures within cone can't approach you.	SOURCEPAGE:SS								
Resistance (Major)	OUTPUTNAME:Resistance, Major		TYPE:Divine.Arcane	CLASSES:Bard=2|Cleric=2|Druid=2|Paladin=2|Sorcerer,Wizard=2		SCHOOL:Abjuration			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 hour/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Subject gains +3 on saving throws.	SOURCEPAGE:SS								
Resistance (Superior)	OUTPUTNAME:Resistance, Superior		TYPE:Divine.Arcane	CLASSES:Bard=5|Cleric=5|Druid=5|Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 hour/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Subject gains +6 on saving throws.	SOURCEPAGE:SS								
Scent			TYPE:Divine.Arcane	CLASSES:Druid=2|Ranger=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 hour/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Subject gains scent ability.	SOURCEPAGE:SS								
### TODO: Shout (Great)? 																										
#Shout (Great)																	DESC:									
Skeletal Guard			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One or more fingerbones		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Create one skeleton/level with effective HD equal to your caster level.	SOURCEPAGE:SS								
Sonorous Hum			TYPE:Divine.Arcane	CLASSES:Bard=2|Cleric=3|Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Removes need to concentrate to mantain next spell cast.	SOURCEPAGE:SS								
Sound Lance			TYPE:Divine.Arcane	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature or onject		DURATION:Instantaneous	SAVEINFO:Fort Half	SPELLRES:Yes	DESC:Sonic energy deals 1d6/level damage.	SOURCEPAGE:SS								
Speak to Allies			TYPE:Arcane	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Transmutation		DESCRIPTOR:Language-Dependent	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Any number of allied creatures, no two of wich may be more than 30-ft apart		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Subjects can converse at distance without moving lips.	SOURCEPAGE:SS								
Spell Flower			TYPE:Arcane	CLASSES:Cleric=1|Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Hold the charge on one touch spell per forelimb.	SOURCEPAGE:SS								
Spider Plague			TYPE:Divine	CLASSES:Cleric=8		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil|Good	COMPS:V, S	CASTTIME:1 round	RANGE:Close	TARGETAREA:1d4+1 summoned creatures		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Summons Huge monstrous spiders to fight for you.	SOURCEPAGE:SS								
Stalking Spell			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Illusion	SUBSCHOOL:Glamer		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:The character or creature touched		DURATION:1 hour/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Subject hidden from sight, hearing and scent.	SOURCEPAGE:SS								
Stone Body			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your body becomes living stone.	SOURCEPAGE:SS								
Undead Mask			TYPE:Divine	CLASSES:Cleric=7		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:10 minutes/level	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Subject's tyoe change to undead.	SOURCEPAGE:SS								
Vile Death			TYPE:Divine.Arcane	CLASSES:Cleric=9|Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Evil	COMPS:V, S, M/DF	CASTTIME:1 hour	RANGE:Touch	TARGETAREA:One corporeal undead creature		DURATION:Permanent	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:Undead creature gains fiendish template.	SOURCEPAGE:SS								
Vipergout			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:See Text	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:1d4+3 summoned creatures		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Summons Huge 1d4+3 fiendish or celestial vipers (snake).	SOURCEPAGE:SS								
Wall of Limbs			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 round	RANGE:Medium	TARGETAREA:Wall of whirling limbs up to 20-ft long/level, or a ring of up 5-ft/2 level radius, either 20-ft high		DURATION:1 round/level	SAVEINFO:Reflex Half	SPELLRES:Yes	DESC:Whirling limbs deal 1d6/level bludgeoning damage.	SOURCEPAGE:SS								
Weapon of Energy			TYPE:Divine.Arcane	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 round	RANGE:Personal	TARGETAREA:One weapon		DURATION:1 round/level	SAVEINFO:Fort Negates (Object,Harm)	SPELLRES:No	DESC:Weapon deals extra energy damage.	SOURCEPAGE:SS								
Wings of the Sea			TYPE:Divine.Arcane	CLASSES:Cleric=2|Druid=2|Ranger=1|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You or person touched		DURATION:1 minute/level	SAVEINFO:Fort Negates (harmless)	SPELLRES:Yes	DESC:+30 ft to subject's swim speed.	SOURCEPAGE:SS								

Eyebite.COPY=Eyebite	KEY:Eyebite ~ Sicken effect only
#
Eyebite ~ Sicken effect only.MOD	TYPE:SpellLike	DESC:.CLEAR	DESC:Target becomes sickened.	SOURCEPAGE:SS
Sticks to Snakes	KEY:Yuan-Ti Cultist ~ Sticks to Snakes			TYPE:SpellLike			SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:transform 1d4+1/level sticks to vipers, small snakes, medium snakes or large viper.		DURATION:2 rounds/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Changes sticks into snakes	SOURCEPAGE:SS
Snake Darts	KEY:Yuan-Ti Cultist ~ Snake Darts			TYPE:SpellLike			SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One or two creatures.		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Launch snake tatoos against opponents hitting automatically and dealing 2d6 points of damage and inject poison (Primary: 1d6 CON damage, Secondary: 1d6 CON damage).	SOURCEPAGE:SS
