SOURCELONG:Gozzilioni Savage Species	SOURCESHORT:SS	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01																														
																																	
###Block: Proficiencies																																	
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Summon Swarm	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfFliesClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A master of flies can use Summon Swarm as a sorcerer of her character level. She can use this ability once per day per level she has attained in this prestige class. The creatures summoned must be vermin;	KEY:Master of Flies ~ Summon Swarm																		SPELLS:Class|TIMES=MasterOfFliesLVL|CASTERLEVEL=MasterOfFliesLVL|Summon Swarm								SORTKEY:Class_Master_Of_Flies	SOURCEPAGE:SS	
Swarm Shape	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfFliesClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Beginning at 2nd level, a master of flies can take the form of a swarm of vicious little vermin and return to her own form. This effect is similar to that of a Summon Swarm spell, except that the swarm is of the same size category as the caster (and it has the same face statistic as the caster). The master of flies can choose the type of vermin from the table above. In swarm shape, she can move at a speed of 15 feet, or up to 45 feet if the swarm flies (poor maneuverability). The swarm has the same number of hit points as the original creature and can be damaged by fire and area-effect spells and abilities. If the swarm is dispersed (by Gust of Wind, example), the master of flies must return to her own shape. To do so, the dispersed creatures must first coalesce (at the swarm's speed); the master of flies must take a standard action on the following round to transform. A master of flies can use this ability once per day at 2nd level and more times per day at 3rd, 4th, 6th, 7th, and 9th level, as shown on Table 7-3: The Master of Flies. At 5th level, a master of flies is able to take the shape of a swarm identical to that produced by an Insect Plague spell, except that the swarm can be no more than one size larger than the master of flies (you can choose the face if more than one is available). This swarm can move at half the master of flies' normal speed and can fly at the same speed (clumsy maneuverability). At 8th level, a master of flies is able to take the shape of a swarm identical to that produced by a Creeping Doom spell, except that the swarm can be no more than two size categories larger than the master of flies (you can choose the face statistic if more than one is possible). This mass of vermin can only move at 10 feet per round and cannot fly. In all other respects, the swarm shape ability is identical to the druid's Wild Shape ability (see Chapter 3 of the PHB).	KEY:Master of Flies ~ Swarm Shape	DESC:%1/day Swarm like Summon Swarm, move 15-ft (poor maneuverability)|SwarmShapeTimes|PREVARGTEQ:SwarmShapeProgressionLVL,1	DESC:%1/day Swarm like Insect Plague, move half charachter movements (clumsy maneuverability)|SwarmShapeTimes|PREVARGTEQ:SwarmShapeProgressionLVL,2	DESC:%1/day Swarm like Creeping Doom, move 10-ft|SwarmShapeTimes|PREVARGTEQ:SwarmShapeProgressionLVL,3	DEFINE:SwarmShapeProgression|0	DEFINE:SwarmShapeTimes|0				BONUS:VAR|SwarmShapeTimes|1|PREVARGTEQ:MasterOfFliesLVL,2	BONUS:VAR|SwarmShapeTimes|1|PREVARGTEQ:MasterOfFliesLVL,3	BONUS:VAR|SwarmShapeTimes|1|PREVARGTEQ:MasterOfFliesLVL,4	BONUS:VAR|SwarmShapeTimes|1|PREVARGTEQ:MasterOfFliesLVL,6	BONUS:VAR|SwarmShapeTimes|1|PREVARGTEQ:MasterOfFliesLVL,7	BONUS:VAR|SwarmShapeTimes|1|PREVARGTEQ:MasterOfFliesLVL,9	BONUS:VAR|SwarmShapeProgression|1|PREVARGTEQ:MasterOfFliesLVL,2	BONUS:VAR|SwarmShapeProgression|1|PREVARGTEQ:MasterOfFliesLVL,5	BONUS:VAR|SwarmShapeProgression|1|PREVARGTEQ:MasterOfFliesLVL,8									SORTKEY:Class_Master_Of_Flies	SOURCEPAGE:SS	
Pied Piper	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfFliesClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 3rd level, a master of flies is able to influence vermin to a limited extent. She can use this ability once per day per level in this prestige class (%1/day) to charm a number of Hit Dice of vermin equal to or less than her character level, starting with the lowest Hit Dice vermin within range and moving up in Hit Dice until the limit is reached. The range of this effect is 10 feet x the master of flies' level (%2 feet). The vermin are allowed Will saves against this effect (DC %3), and any that make their save cannot be affected again by the pied piper ability of that master of flies for one day. Charmed vermin move toward the master of flies at their land speed, taking the most direct path available. If the path leads into a dangerous area, the creatures get another saving throw. Charmed vermin can take no actions other than to defend themselves. If the master of flies moves, the charmed vermin follow. This effect lasts for as long as the master of flies concentrates. Once concentration is broken, those vermin cannot be affected again by the pied piper ability of that master of flies for one day.|PiedPiperTimes|PiedPiperRange|PiedPiperDC	KEY:Master of Flies ~ Pied Piper				DEFINE:PiedPiperTimes|0	DEFINE:PiedPiperRange|0	DEFINE:PiedPiperDC|0			BONUS:VAR|PiedPiperTimes|MasterOfFliesLVL	BONUS:VAR|PiedPiperRange|10*MasterOfFliesLVL	BONUS:VAR|PiedPiperRange|DefaultSpellDCCha+4															SORTKEY:Class_Master_Of_Flies	SOURCEPAGE:SS	
Insect Plague	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfFliesClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Beginning at 5th level, a master of flies can use the spell-like Ability Insect Plague as a sorcerer of her class level. She can use this ability once per day per level in this prestige class.	KEY:Master of Flies ~ Insect Plague																		SPELLS:Class|TIMES=MasterOfFliesLVL|CASTERLEVEL=MasterOfFliesLVL|Insect Plague								SORTKEY:Class_Master_Of_Flies	SOURCEPAGE:SS	
Flyblown	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfFliesClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 7th level, a master of flies can shift to a swarm shape and back as a free action.	KEY:Master of Flies ~ Flyblown																										SORTKEY:Class_Master_Of_Flies	SOURCEPAGE:SS	
Creeping Doom	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfFliesClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Beginning at 8th level, a master of flies can use the spell-like ability Creeping Doom as a sorcerer of her class level. She can use this ability once per day per level in this prestige class.	KEY:Master of Flies ~ Creeping Doom																		SPELLS:Class|TIMES=MasterOfFliesLVL|CASTERLEVEL=MasterOfFliesLVL|Creeping Doom								SORTKEY:Class_Master_Of_Flies	SOURCEPAGE:SS	
Awaken Vermin	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfFliesClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 9th level, a master of flies gains the ability to awaken humanlike sentience in a vermin. She can use this ability once per week. This ability is identical to the 5thlevel druid spell Awaken except that only vermin can be affected and there is no XP cost.	KEY:Master of Flies ~ Awaken Vermin																										SORTKEY:Class_Master_Of_Flies	SOURCEPAGE:SS	
Swarm Leap	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterOfFliesClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 10th level, a master of flies becomes completely attuned to the throb and hum of vermin swarms, gaining the supernatural ability to instantaneously transport herself over great distances through that medium. Once per day as a standard action, she can enter any swarm of mundane vermin whose size equals or exceeds her own and travel to another such swarm in a single round, regardless of distance. The master of flies merely designates a distance and direction ('a swarm 50 miles south of here'), and the swarm leap ability transports her to a destination swarm as close as possible to the desired location. She can attempt to name a specific swarm ('a beehive in an apiary just outside the city of Greyhawk'), but if no such target exists, the ability fails and the master of flies is ejected from the entry swarm. Both the entry swarm and the destination swarm must be alive, but they can be either naturally occurring or summoned. A master of flies in swarm shape cannot use herself as the entry point, but she could enter through an Insect Plague created in a previous round. She could even use another master of flies in swarm shape as the entry or destination swarm. When exiting a swarm, the master of flies must choose an adjacent 5-foot-by-5-foot space in which to appear (or a correspondingly larger space if it is larger than Medium-size).	KEY:Master of Flies ~ Swarm Leap																										SORTKEY:Class_Master_Of_Flies	SOURCEPAGE:SS	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ScaledHorrorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Scaled Horror are proficient with all simple and martial weapons, shields, and light armor. Otherwise they neither gain nor lose weapon, armor, or shield proficiency by taking levels in this class.	KEY:Scaled Horror ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial|TYPE=ShieldProf|TYPE=ArmorProfLight								SORTKEY:Class_Scaled_Horror	SOURCEPAGE:SS	
Improved Grab	CATEGORY:Special Ability	TYPE:ClassFeatures.ScaledHorrorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:If a scaled horror hits with its natural weapons or unarmed attack, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity. The ability works only against opponents of the same size or smaller. The scaled horror has the option to conduct the grapple normally, or simply use its natural weapons or unarmed attack to hold the opponent. Each successful grapple check it makes during successive rounds automatically deals damage given for the attack that established the hold.	KEY:Scaled Horror ~ Improved Grab																										SORTKEY:Class_Scaled_Horror	SOURCEPAGE:SS	
Keen Scent	CATEGORY:Special Ability	TYPE:ClassFeatures.ScaledHorrorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A scaled horror can notice creatures by scent in a 180-foot radius, provided both the scaled horror and the creature are in the same body of water, and can detect blood in the water at a range of up to 1 mile.	KEY:Scaled Horror ~ Keen Scent									BONUS:VAR|KeenScentRadius|180|TYPE=Base	BONUS:VAR|KeenScentBloodRadius|1|TYPE=Base																SORTKEY:Class_Scaled_Horror	SOURCEPAGE:SS	
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.ScaledHorrorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Beginning at 1st level, a scaled horror gains the ability to cast divine spells from the ranger spell list (see Chapter 11 of the PHB). To cast a spell, the scaled horror must have a Wisdom score of at least 10 + the spell's level, so a scaled horror with a Wisdom of 10 or lower cannot cast these spells. Scaled horror bonus spells are based on Wisdom, and saving throws against these spells have a DC of 10 + spell level + the scaled horror's Wisdom bonus. When the scaled horror gets 0 spells of a given level, such as 0 1st-level spells at 1st level, the scaled horror gets only bonus spells. A scaled horror without a bonus spell for that level cannot yet cast a spell of that level. A scaled horror prepares and casts spells just as a ranger does (though the scaled horror's caster level is the same as its class level).	KEY:Scaled Horror ~ Spells																										SORTKEY:Class_Scaled_Horror	SOURCEPAGE:SS	
Freedom of Movement	CATEGORY:Special Ability	TYPE:ClassFeatures.ScaledHorrorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beginning at 2nd level, a scaled horror moves and fights underwater as if subject to the spell freedom of movement.	KEY:Scaled Horror ~ Freedom of Movement																										SORTKEY:Class_Scaled_Horror	SOURCEPAGE:SS	
Damage Reduction	CATEGORY:Special Ability	TYPE:ClassFeatures.ScaledHorrorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 4th level, a scaled horror gains the ability to shrug off some amount of injury from each blow or attack. Subtract 2 from the damage the scaled horror takes each time he is dealt damage. At 10th level, this damage reduction rises to 4/-. Damage reduction cannot reduce damage to less than 0.	KEY:Scaled Horror ~ Damage Reduction				DEFINE:ScaledHorrorDR|0					BONUS:VAR|ScaledHorrorDR|2|PREVARGTEQ:ScaledHorrorLVL,4	BONUS:VAR|ScaledHorrorDR|2|PREVARGTEQ:ScaledHorrorLVL,10								DR:ScaledHorrorDR/-								SORTKEY:Class_Scaled_Horror	SOURCEPAGE:SS	
Spring Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.ScaledHorrorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 5th level, a scaled horror gains Spring Attack as a bonus feat.	KEY:Scaled Horror ~ Spring Attack																		ABILITY:FEAT|AUTOMATIC|Spring Attack								SORTKEY:Class_Scaled_Horror	SOURCEPAGE:SS	
Silent Spell	CATEGORY:Special Ability	TYPE:ClassFeatures.ScaledHorrorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 7th level, a scaled horror gains Silent Spell as a bonus feat.	KEY:Scaled Horror ~ Silent Spell																		ABILITY:FEAT|AUTOMATIC|Silent Spell								SORTKEY:Class_Scaled_Horror	SOURCEPAGE:SS	
Still Spell	CATEGORY:Special Ability	TYPE:ClassFeatures.ScaledHorrorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 7th level, a scaled horror gains Silent Spell as a bonus feat.	KEY:Scaled Horror ~ Still Spell																		ABILITY:FEAT|AUTOMATIC|Still Spell								SORTKEY:Class_Scaled_Horror	SOURCEPAGE:SS	
Reverberation	CATEGORY:Special Ability	TYPE:ClassFeatures.SirenClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 1st level, the siren gains Reverberation (see SS, Chapter 4) as a bonus feat.	KEY:Siren ~ Reverberation																		ABILITY:FEAT|AUTOMATIC|Reverberation								SORTKEY:Class_Siren	SOURCEPAGE:SS	
Song of Despair	CATEGORY:Special Ability	TYPE:ClassFeatures.SirenClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 2nd level, a siren begins to enhance her already formidable sonic abilities with additional additional effects. Once per day, she can overlay a despair effect on her sonic attack identical to that of an Emotion spell. Those affected by the sonic attack make their saving throws for that attack before resolving the despair effect. The Will save DC to resist this effect is 12 + the siren's level + the siren's Cha modifier ( +%1 ). The despair effect lasts 1 round per siren class level (%2 rounds).|SongOfDespaiDC|SongOfDespairDuration	KEY:Siren ~ Song of Despair				DEFINE:SongOfDespairDC|0	DEFINE:SongOfDespairDuration|0				BONUS:VAR|SongOfDespairDC|12+SirenLVL+CHA	BONUS:VAR|SongOfDespairDuration|SirenLVL	BONUS:VAR|SongOfDespairDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Song of Despair)							ABILITY:Ability Focus|AUTOMATIC|Song of Despair								SORTKEY:Class_Siren	SOURCEPAGE:SS	
Charisma Bonus	CATEGORY:Special Ability	TYPE:ClassFeatures.SirenClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a siren gains a +2 inherent bonus to her Charisma score. This bonus rises to +4 at 6th level and to +5 at 8th level.	KEY:Siren ~ Charisma Bonus				DEFINE:CharismaBonus|0					BONUS:STAT|CHA|CharismaBonus|TYPE=Inherent	BONUS:VAR|CharismaBonus|2|PREVARGTEQ:SirenLVL,3	BONUS:VAR|CharismaBonus|2|PREVARGTEQ:SirenLVL,6	BONUS:VAR|CharismaBonus|1|PREVARGTEQ:SirenLVL,8														SORTKEY:Class_Siren	SOURCEPAGE:SS	
Song of Nightmare	CATEGORY:Special Ability	TYPE:ClassFeatures.SirenClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 4th level, a siren gains a new sonic ability. Once per day per level in this prestige class (%1/day), she can overlay a terrifying effect on her sonic attack. This is identical to the effect of Phantasmal Killer spell, affects all creatures within range of the siren's sonic attack, and has instantaneous duration. The Will and Fortitude saves to resist this effect have a DC of 12 + the siren's level + the siren's Cha modifier (+%2).|SongOfNightmareTimes|SongOfNightmareDC	KEY:Siren ~ Song of Nightmare				DEFINE:SongOfNightmareDC|0	DEFINE:SongOfNightmareTimes|0				BONUS:VAR|SongOfNightmareDC|12+SirenLVL+CHA	BONUS:VAR|SongOfNightmareTimes|SirenLVL	BONUS:VAR|SongOfNightmareDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Song of Nightmare)							ABILITY:Ability Focus|AUTOMATIC|Song of Nightmare								SORTKEY:Class_Siren	SOURCEPAGE:SS	
Song of Idiocy	CATEGORY:Special Ability	TYPE:ClassFeatures.SirenClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 5th level, a siren gains a new sonic ability. Once per day per level in this prestige class (%1/day), she can overlay an Intelligence-damaging effect on her sonic attack. This is identical to the effect of a Feeblemind spell, affects all creatures within range of the siren's sonic attack, and has instantaneous duration. The Will save to resist this effect has a DC of 12 + the siren's level + the siren's Cha modifier (+%2), and arcane spellcasters and creatures that use arcane spell-like abilities take a -4 penalty on their saves.|SongOfIdiocyTimes|SongOfIdiocyDC	KEY:Siren ~ Song of Idiocy				DEFINE:SongOfIdiocyDC|0	DEFINE:SongOfIdiocyTimes|0				BONUS:VAR|SongOfIdiocyDC|12+SirenLVL+CHA	BONUS:VAR|SongOfIdiocyTimes|SirenLVL	BONUS:VAR|SongOfIdiocyDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Song of Idiocy)							ABILITY:Ability Focus|AUTOMATIC|Song of Idiocy								SORTKEY:Class_Siren	SOURCEPAGE:SS	
Song of Weakness	CATEGORY:Special Ability	TYPE:ClassFeatures.SirenClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 7th level, a siren gains a newsonic ability. Once per day per level in this prestige class (%1/day), can overlay a level-draining effect on her sonic attack. This is identical to the effect of an Enervation spell, except that all creatures within range of the siren's sonic attack are entitled to a Fortitude save to resist the effect, and it has instantaneous duration. The Fortitude save to resist this effect, and to remove the negative levels, has a DC of 12 + the siren's level + the siren's Cha modifier (+%2).|SongOfWeaknessTimes|SongOfWeaknessDC	KEY:Siren ~ Song of Weakness				DEFINE:SongOfWeaknessDC|0	DEFINE:SongOfWeaknessTimes|0				BONUS:VAR|SongOfWeaknessDC|12+SirenLVL+CHA	BONUS:VAR|SongOfWeaknessTimes|SirenLVL	BONUS:VAR|SongOfWeaknessDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Song of Weakness)							ABILITY:Ability Focus|AUTOMATIC|Song of Weakness								SORTKEY:Class_Siren	SOURCEPAGE:SS	
Song of Stone	CATEGORY:Special Ability	TYPE:ClassFeatures.SirenClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 9th level, a siren gains a new sonic ability. Once per day per level in this prestige class (%1/day), she can overlay a Flesh to Stone spell on her sonic attack. This is identical to the spell, affects all creatures within range of the siren's sonic attack, and has instantaneous duration. The Fortitude save to resist this effect has a DC of 12 + the siren's level + the siren's Cha modifier (+%2).|SongOfStoneTimes|SongOfStoneDC	KEY:Siren ~ Song of Stone				DEFINE:SongOfStoneDC|0	DEFINE:SongOfStoneTimes|0				BONUS:VAR|SongOfStoneDC|12+SirenLVL+CHA	BONUS:VAR|SongOfStoneTimes|SirenLVL	BONUS:VAR|SongOfStoneDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Song of Stone)							ABILITY:Ability Focus|AUTOMATIC|Song of Stone								SORTKEY:Class_Siren	SOURCEPAGE:SS	
Song of Death	CATEGORY:Special Ability	TYPE:ClassFeatures.SirenClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 10th level, a siren's sonic attack reaches its zenith. Once per day, she can overlay a Power Word, Kill spell on her sonic attack. This is identical to the spell cast as an area spell and has instantaneous duration.	KEY:Siren ~ Song of Death																										SORTKEY:Class_Siren	SOURCEPAGE:SS	
