SOURCELONG:Gozzilioni Savage Species	SOURCESHORT:SS	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																																												
# BASICS																																												
# Feat Name		Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page		
Improved Scent	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Scent				DESC:You can detect and track creatures by smell at greater distances than normal																	SOURCEPAGE:SS		
Improved Turn Resistance	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES																		PRERACE:1,RACETYPE=Undead				DESC:You have a better than normal chance to resist turning																	SOURCEPAGE:SS	ABILITY:Special Ability|AUTOMATIC|Turn Resistance	BONUS:VAR|TurnResistBonus|4
Improved Web	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES																	PRETEXT:Ability to create web at least twice per day.	PREABILITY:1,CATEGORY=Special Ability,Web				DESC:You gain additional utility from your webs																	SOURCEPAGE:SS		
Inured to Energy	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Resistance To Acid,Resistance To Cold,Resistance To Fire,Resistance To Electricity,Resistance To Water				DESC:You can resist energy attack more efficiently than normal	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:ABILITYPOOL|Inured to Energy|1			SOURCEPAGE:SS		
Involuntary Rage	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Toughness									PRESTAT:1,CON=20									DESC:Extreme pain drives you berserk																	SOURCEPAGE:SS		
Irresistible Gaze	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Gaze				DESC:Your gaze attack is more potent than normal																	SOURCEPAGE:SS		
Mighty Leaping	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Dodge,Mobility						PRESKILL:1,Jump=9			PRESTAT:1,STR=21									DESC:You have developed your leg muscles and traind yourself to ake mighy leaps													BONUS:SKILL|Jump|10|TYPE=Competence				SOURCEPAGE:SS		
Mighty Roar	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES																	PRESIZEGTEQ:L	PRERACE:1,TYPE=Animal,TYPE=Magical Beast				DESC:You unsettle opponents with a dreadful roar as you attack																	SOURCEPAGE:SS		
Multigrab	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,STR=17					PREABILITY:1,CATEGORY=Special Ability,Improved Grab				DESC:You can grapple enemies more firmly than normal with your natural attacks																	SOURCEPAGE:SS		
Multitasking	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:3,CATEGORY=FEAT,Improved Multiweapon Fighting,Multiattack,Multiweapon Fighting				PREHANDSGTEQ:4					PRESTAT:2,DEX=15,INT=15									DESC:You can perform different tasks with different limbs																	SOURCEPAGE:SS		
Multivoice	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:4,CATEGORY=FEAT,Improved Two-Weapon Fighting,Multiattack,Quicken Spell,Two-Weapon Fighting									PRESTAT:2,DEX=15,INT=15					PRETEXT:Two or more heads				DESC:If you have two or more heads, you ca cast more spells than usual in a round																	SOURCEPAGE:SS		
Narrowed Gaze	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,INT=13					PREABILITY:1,CATEGORY=Special Ability,Gaze				DESC:Your gaze attack has limited field of effect																	SOURCEPAGE:SS		
Pain Mastery	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Toughness									PRESTAT:1,CON=20									DESC:Injuries send you into a fury, increasing yourphisical power.																	SOURCEPAGE:SS		
Peak Hopper	CATEGORY:FEAT	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Hill or Mountain terrain type.				DESC:You are adapted to a hilly or montainous environment													BONUS:SKILL|Balance,Climb|2|TYPE=Competence				SOURCEPAGE:SS		
Pervasive Gaze	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,INT=13					PREABILITY:1,CATEGORY=Special Ability,Gaze				DESC:You gaze attack is more effective than normal																	SOURCEPAGE:SS		
Piercing Gaze	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Irresistible Gaze									PRESTAT:2,INT=13,CHA=15					PREABILITY:1,CATEGORY=Special Ability,Gaze				DESC:Your gaze attack has greater range than normal																	SOURCEPAGE:SS		
Poison Immunity	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES																	PRETEXT:Poison special attack as an extraordinary ability.	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Resistance To Poison],[PREABILITY:1,CATEGORY=FEAT,Poison Resistance]				DESC:You can ignore the effects of poison																	SOURCEPAGE:SS	ABILITY:Special Ability|AUTOMATIC|Immunity To Poison	
Poison Resistance	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES																		PRETEXT:Poison special attack as an extraordinary ability.				DESC:You can resist poison better than you otherwise could																	SOURCEPAGE:SS	ABILITY:Special Ability|AUTOMATIC|Resistance To Poison	BONUS:VAR|PoisonResistanceBonus|2|TYPE=Competence
Power Dive	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,STR=15					PREMOVE:1,Fly=1	PREVARGTEQ:Maneuverability,3			DESC:You can fall upon an opponent from the sky																	SOURCEPAGE:SS		
Prehensile Tail	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Two-Weapon Fighting									PRESTAT:1,STR=13					PRETEXT:Tail attack				DESC:You can use your tail to manipulate objects.																	SOURCEPAGE:SS		
Quick Change	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,DEX=15					PREABILITY:1,CATEGORY=Special Ability,Alternate Form				DESC:You can shift to an alternate form faster and more easily than you otherwise could																	SOURCEPAGE:SS		
#Quicken Spell Like Ability	vedi MM																							DESC:																				
Rapid Breath	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Quicken Spell,Quicken Spell Like Ability														PREABILITY:1,CATEGORY=Special Ability,Breath Weapon				DESC:You do not have to wait as long to reuse your breath weapon as you normally do																	SOURCEPAGE:SS		
Rending Constriction	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Greater Multigrab,Multigrab									PRESTAT:2,STR=19,DEX=15				PRETEXT:Two constricting limbs	PREABILITY:2,CATEGORY=Special Ability,Constrict,Improved Grab				DESC:You can pull grappled enemies apart																	SOURCEPAGE:SS		
Reverberation	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PRETEXT:Sonic special attack.				DESC:Your sonic attack is more potent than normal	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS		
Roll With It	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Toughness									PRESTAT:1,CON=20									DESC:You are adept at lessening the effects of blows	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											DR:0/-			SOURCEPAGE:SS	BONUS:DR|-|2	
Scramble	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,DEX=15				PREABILITY:1,CATEGORY=Special Ability,Improved Evasion	PRESIZELTEQ:S				DESC:Your slippery ways allow you to evade a damaging blow																	SOURCEPAGE:SS		
Stamp	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES																PRETEXT:feet.	PREABILITY:1,CATEGORY=Special Ability,Trample	PRESIZEGTEQ:H				DESC:You can stamp the ground to crush and disrupt opponents																	SOURCEPAGE:SS		
Supernatural Transformation	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PRETEXT:Innate spell-like ability				DESC:You convert a spell-like ability to a supernatural ability	STACK:NO	MULT:YES	CHOOSE:SPELLS|SPELLBOOK=Innate	SELECT:1													SOURCEPAGE:SS		
Surrogate Spellcasting	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,WIS=13					PRETEXT:nonhumanoid or nonhumanoidlike form				DESC:You use substitute verbal and somatic components when casting spells																	SOURCEPAGE:SS		
Swamp Stalker	CATEGORY:FEAT	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Marsh terrain				DESC:You are adapted to a marshy environment													BONUS:SKILL|Swim|2|TYPE=Competence				SOURCEPAGE:SS		
Thick Skinned	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES	OUTPUTNAME:Thick-Skinned																	PRETEXT:Damage reduction				DESC:Your tough hide grants improved damage reduction	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS		
Thunderclap	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Improved Unarmed Strike,Power Attack									PRESTAT:1,STR=30									DESC:You create a cone of deafening sound by clapping two limbs together																	SOURCEPAGE:SS		
Treefriend	CATEGORY:FEAT	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Forest terrain				DESC:You are adapted to a forest environment													BONUS:SKILL|Climb|2|TYPE=Competence				SOURCEPAGE:SS		
Uncanny Scent	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Improved Scent														PREABILITY:1,CATEGORY=Special Ability,Scent				DESC:You can pinpoint scents at a greater distance																	SOURCEPAGE:SS		
Vicious Wound	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Combat Expertise														PREABILITY:1,CATEGORY=Special Ability,Wounding				DESC:Damage you deal causes wounds that bleed excessively																	SOURCEPAGE:SS		
Virulent Poison	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PRETEXT:Poison special attack as an extraordinary ability.				DESC:Your poison attack is more effective																	SOURCEPAGE:SS		
Wingstorm	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Hover,Power Attack									PRESTAT:1,STR=13				PRESIZEGTEQ:L	PREMOVE:1,Fly=20				DESC:You can flatten targets with blasts of air from your wings																	SOURCEPAGE:SS		
Winter's Child	CATEGORY:FEAT	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Cold terrain				DESC:You are adapted to a cold environment																	SOURCEPAGE:SS		
																																												
#	ASPECT:Benefit|																																											
CATEGORY=FEAT|Area Attack.MOD	ASPECT:Benefit|You can use your great size and strength to pick up a heavy object and attack an area as a standard action. Such an attack may consist of swinging a large log or smashing a door down on opponents' heads. The area affected is a half-circle with a radius equal to your reach. You deal damage to all creatures two or more size categories smaller than you within the area. The base damage dealt depends on your size category, as given on the table below. Add 1 1/2 times your Strength bonus to this base damage to determine the total damage for the attack. Though it can deal significant damage, this form of attack is awkward and unbalancing. You incur a -2 penalty to your Armor Class and on Reflex saves until your next action.																																											
CATEGORY=FEAT|Assume Supernatural Ability.MOD	ASPECT:Benefit|You learn to use a single supernatural ability of another kind of creature while assuming its form through aPolymorph Spell pell or a similar effect. The saving throw DC against this ability is based on your ability scores, not those of a standard creature of the kind whose form you've assumed. For a breath weapon, the saving throw DC is 10 + your Constitution modifier + 1/2 your Hit Dice (rounded down). For all other supernatural abilities, the saving throw (if any) DC is 10 + your Charisma modifier + 1/2 your Hit Dice (rounded down). If a creature, such as an undead, has no Constitution score, use its Charisma modifier or its Constitution modifier (+0 for a nonability), whichever is higher, to determine the save DC. Using this alien ability is disorienting. You take a -2 penalty on all attack rolls, saving throws, skill checks, and ability checks. Additionally, in a stressful or demanding situation (such as combat), you must succeed on a Will save (DC 19) or be unable to use the ability.																																											
CATEGORY=FEAT|Blowhard.MOD	ASPECT:Benefit|As an attack action, you can use your breath to affect all creatures in a cone 5 feet in length per point of your Constitution bonus (%1). Each creature in the area is affected as through struck by a wind effect|5*CON																																											
CATEGORY=FEAT|Bonus Breath.MOD	ASPECT:Benefit|You can breathe one additional time per day. The interval you must wait between breaths is 1 hour. Special: You can gain this feat multiple times. Each time you take it, you can breathe one additional time per day.																																											
CATEGORY=FEAT|Controlled Respiration.MOD	ASPECT:Benefit|You can control your breathing so as to remain out of water for a longer period of time than you otherwise could. Double the normal time limit after which you must begin making Constitution checks to avoid suffocation. This feat does not allow creatures that cannot normally breathe air, such as fish, to do so.																																											
CATEGORY=FEAT|Crush.MOD	ASPECT:Benefit|As a standard action, you can jump or fall onto opponents, using your whole body to crush them. This attack is useful only against creatures at least three size categories smaller than yourself. The base damage for a crush attack depends on your size category, as given on the table above. Add 1 1/2 times your Strength bonus to this base damage to determine the total damage for the attack. A crush attack deals bludgeoning damage and affects as many creatures as can fit under your body (see Large and Small Creatures in Combat in Chapter 8 of the PHB). Each creature in the affected area must succeed on a Reflex save (DC 10 + your Str modifier + your size modifier for grapple attacks). On a failure, the opponent is pinned and automatically takes crush damage each round the pin is maintained.																																											
CATEGORY=FEAT|Cumbrous Dodge.MOD	ASPECT:Benefit|You may activate this feat as a free action. You gain a +2 bonus to your Armor Class for the rest of the current encounter. At the end of the encounter, you are fatigued. For details on fatigue, see the Condition Summary in Chapter 3 of the DMG.																																											
CATEGORY=FEAT|Cumbrous Fortitude.MOD	ASPECT:Benefit|Before rolling a Fortitude save, you can decide to activate this feat, which gives you a +6 bonus on your saving throw. After the saving throw is resolved, regardless of the result, you are staggered until the end of the encounter. A staggered character can take only a partial action when he or she would normally be able to take a standard action.																																											
CATEGORY=FEAT|Cumbrous Reflexes.MOD	ASPECT:Benefit|Before rolling a Reflex save, you can decide to activate this feat, which gives you a +6 bonus on your saving throw. After the saving throw is resolved, regardless of the result, you are prone and dazed. For details on these conditions, see the Condition Summary in Chapter 3 of the DMG.																																											
CATEGORY=FEAT|Cumbrous Will.MOD	ASPECT:Benefit|Before rolling a Will save, you can decide to activate this feat, which gives you a +6 bonus on your saving throw. After the saving throw is resolved, regardless of the result, you are shaken until the end of the encounter. A shaken character takes a -2 morale penalty on attack rolls, checks, and saving throws.																																											
CATEGORY=FEAT|Deadly Poison.MOD	ASPECT:Benefit|Your poison attack has the potential to deal more potent secondary damage than it otherwise could. If the subject of the attack fails the second saving throw, the poison deals double its normal secondary damage.																																											
CATEGORY=FEAT|Deep Denizen.MOD	ASPECT:Benefit|Living underground has made you more reliant on nonvisual senses than surface dwellers. You gain a +2 competence bonus on Listen checks and a +4 competence bonus when tracking by scent.																																											
CATEGORY=FEAT|Desert Dweller.MOD	ASPECT:Benefit|As a desert dweller, you are more hardy than those who live in more gentle climates. Your Fortitude save DC to avoid subdual damage from heat is reduced to 10 Heat Dangers in Chapter 3 of the DMG. In addition, you can go without water for a number of hours equal to 24 + twice your Constitution score (see Starvation and Thirst Dangers in Chapter 3 of the DMG).																																											
CATEGORY=FEAT|Detach.MOD	ASPECT:Benefit|As an attack action, you can detach a portion of your body that can make a melee attack other than a bite (such as a paw, tail, or tentacle) and use it as a thrown weapon (range increment 20 feet). The thrown member deals its base damage plus your Strength bonus (not 1 1/2 times your Strength bonus). Special attacks that deal damage, such as poison and acid, take effect normally from the thrown member. Ability damage, ability drain, and energy drain attacks cannot be made with the detached body part.&nl; Special: Tearing off a piece of yourself is traumatic. You take subdual damage equal to one-quarter of your full normal hit point total. Damage reduction cannot reduce the amount of damage taken in this way.																																											
CATEGORY=FEAT|Dust Cloud.MOD	ASPECT:Benefit|As an attack action, you can sweep a limb across the ground and create a dust cloud. This hemispherical cloud has a radius in feet equal to 20 × your Hit Dice. Creating the cloud has a 50%% chance to snuff unprotected flames (candles, torches, small campfires) of nonmagical origin in the area. The cloud obscures vision, and creatures caught within are blinded while inside and for 1 round after emerging. Any creature caught in the cloud must succeed on a Concentration check (DC 10 + 1/2 your Hit Dice + your Str modifier) to cast a spell. The cloud lasts a number of rounds equal to 1 + your Dexterity modifier.&nl; Special: A flying creature with this feat must be within reach of the ground to create the effect, but need not actually be in contact with it.																																											
#Empower Spell Like Ability.MOD																																												
CATEGORY=FEAT|Extend Reach.MOD	ASPECT:Benefit|Your body or a part of your body with which you can deliver a melee attack is boneless and flexible, allowing you to threaten a larger than normal area with melee attacks. Add +5 feet to your normal reach.																																											
CATEGORY=FEAT|Extra Item Space.MOD	ASPECT:Benefit|You can wear one additional magic item beyond the normal limit for the item type in question. The multiple limbs you have must correspond to the limb on which that item type is normally worn. For example, a character is normally limited to two rings, but a marilith (with six arms) could wear three rings with this feat. Likewise, an ettin (with two heads) could wear two periapts or necklaces instead of the one normally allowed.&nl; Special: You can take this feat more than once. Each time, it adds a new item space. You cannot have more item spaces than you have limbs or body parts of the appropriate kind.																																											
CATEGORY=FEAT|Final Strike.MOD	ASPECT:Benefit|When you are killed (that is, when your hit points drop to -10 or lower), your body explodes in a final strike -a blast of elemental destruction- according to the table below. Everything within 60 feet is subject to the effect. Your final strike deals 1d6 points of damage per Hit Die, up to a maximum of 20d6. Each creature in the area may make a successful Reflex save (DC 10 + 1/2 your Hit Dice + your Con modifier) to halve the damage dealt. The blast also has a secondary effect, which can be reduced or negated (as shown on the table below) by a second successful save of the type indicated (same DC_as the save against the primary damage).&nl; Special: Final Strike renders your corpse unsuitable for raise dead or resurrection spells. Only true resurrection, miracle, or wish can restore life.																																											
CATEGORY=FEAT|Fling Enemy.MOD	ASPECT:Benefit|You can make a grapple check at a -20 penalty against an opponent at least two size categories smaller than you. If you succeed, on your next action you can use an attack action to fling the held opponent. The range increment for the thrown creature is 120 feet. A creature may be thrown horizontally or vertically. If thrown vertically, it takes normal falling damage. If thrown horizontally, it takes damage as if it had fallen half the distance thrown (rounded down). For example, if a hurled orc is thrown horizontally 170 feet, it takes 8d6 points of damage. You may also fling the creature at another creature. To do so, make an attack roll at a -4 penalty, with appropriate range penalties, against the target creature. If you hit, both creatures take the amount of damage that the thrown creature would have taken otherwise, as given above.																																											
CATEGORY=FEAT|Gape of the Serpent.MOD	ASPECT:Benefit|You can swallow a creature of up to your own size category. Like a snake, you can stretch your mouth to an outlandish extent to accommodate immense prey. However, this process is time-consuming. If your second grapple check is successful after you have established a hold against a creature larger than you could swallow normally, you begin to swallow the held creature. On the following round, you must make an additional grapple check to complete the swallowing. The held creature can fight or try to break the grapple as normal while you are attempting to swallow it.&nl; Special: Your gullet can hold one creature of the maximum size; other maximum numbers of swallowed creatures remain the same.																																											
CATEGORY=FEAT|Grass Trekker.MOD	ASPECT:Benefit|You are a nomad of the steppes, used to traveling long distances, often on foot. You gain a +2 competence bonus on Jump checks. In addition, you do not need to make Fortitude saves when making a forced march until you have traveled for 12 hours (see Movement in Chapter 9 of the PHB). The save DC for longer travel is 10 + 1 per hour beyond 12.																																											
CATEGORY=FEAT|Great Flyby Attack.MOD	ASPECT:Benefit|Using this feat is a full-round action. When flying, you can move up to your fly speed in a straight line and attack a number of opponents equal to your Dexterity bonus. All targets must be within your reach along the line of your movement. Make one attack roll, add the appropriate modifiers, and compare the result to the AC of each opponent you are attacking. If any hits are successful, make one damage roll and add the appropriate modifiers. Each successful hit does the full damage to that creature; do not divide the result of the damage roll among the targets. Targets of your attack do not get attacks of opportunity against you, but other opponents that would be entitled to attacks of opportunity may take them.																																											
