SOURCELONG:Seas of Blood	SOURCESHORT:SoB	SOURCEWEB:http://www.mongoosepublishing.com/																														
#																																
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Superb Seaman	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 4th level, the buccaneer becomes so in tune with his ship and the sea that he may add +2 competence bonus to all Seamanship checks. At 8th level, he receives a further +2 competence bonus on all Seamanship checks.	KEY:Buccaneer ~ Superb Seaman				DEFINE:SuperbSeamanBonus|0					BONUS:SKILL|Knowledge (Seamanship)|SuperbSeamanBonus|TYPE=Competence	BONUS:VAR|SuperbSeamanBonus|2	BONUS:VAR|SuperbSeamanBonus|2|PREVARGTEQ:BuccaneerLVL,8															SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Swarm Rigging	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The buccaneer can climb rigging and other ropes at his full movement rate at 5th level, as a move-equivalent action.	KEY:Buccaneer ~ Swarm Rigging																										SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Superb Balance	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Upon reaching 6th level, a buccaneer making a successful Balance checks may move at full speed along any precarious surface.	KEY:Buccaneer ~ Superb Balance																										SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Rope Fighting	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 7th level, a buccaneer has become so proficient at fighting along masts and in the rigging that he may retain his Dexterity bonus to his Armor Class when engaged in combat. In addition, enemies will gain no bonus to hit when he is in such a position. The buccaneer will still lose his Dexterity bonus in other circumstances, such as being flst-footed.	KEY:Buccaneer ~ Rope Fighting																										SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Sabotage	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Given 1d6 minutes, a 9th level buccaneer may sabotage a ship's rudder or tigging, halving its base speed and giving the ship a -2 circumstance penalty to its Maneuverability. The sabotage may be rectified by the ship's crew with a Seamanship check at DC 20. This will take an hour to complete.	KEY:Buccaneer ~ Sabotage																										SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Acrobatic Defence	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 10th level, so long as he wear light or no armor and is not encumbered, the buccaneer gains a +4 dodge Armor Class bonus when executing the fight defensivly standard or full round action. In addition, he gains a +8 dodge Armor Class bonus ehrn executing the total defense standard action.	KEY:Buccaneer ~ Acrobatic Defence									BONUS:VAR|FightingDefensivelyAC|4|TYPE=Dodge	BONUS:VAR|TotalDefenseAC|8|TYPE=Dodge																SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ReaverClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The reaver is proficient in all simple and martial weapons, and light and medium armour togheter with shields. Note that the armor check penalties for armor heavier than leather apply to the skills Balance, Climb, Escape Artist, Hide, Jump, Move Silently, Sleight of Hand and Tumble.	KEY:Reaver ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Reaver	SOURCEPAGE:SoB
Armor Expertise	CATEGORY:Special Ability	TYPE:ClassFeatures.ReaverClassFeatures.SpecialQuality	VISIBLE:YES	DESC:From 1st level onwards, the reaver may ignore the armor check penalty of many lighter type of armor. Every time tyhis class feature is gained, the reaver may ignore armor check penaltis up to the number listed in the parenthesis. This feature doesn't affect higher armor check penalties in any ways. (%1)|ArmorExpertise	KEY:Reaver ~ Armor Expertise				DEFINE:ArmorExpertise|0					BONUS:VAR|ArmorExpertise|(ReaverLVL-1)/4																	SORTKEY:Class_Reaver	SOURCEPAGE:SoB
Inspire Crew	CATEGORY:Special Ability	TYPE:ClassFeatures.ReaverClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Reavers are skilled not only in boarding actions, but also in encouraging their crews to fight to best effect. A crew led by a reaver are likely to believe they are invincible and will never be defeated. From 2nd level, the reaver grants the crew he leads the morale bonus listed to their attack and damage rolls (+%1). This only applies during boarding action and if the reaver flees or is killed during the battle, this morale bonus will immediately be converted into a morale penalty, affecting the crew's attack and damage rolls (-%1).|InspireCrewBonus	KEY:Reaver ~ Inspire Crew				DEFINE:InspireCrewBonus|0					BONUS:VAR|InspireCrewBonus|(ReaverLVL+2)/4																	SORTKEY:Class_Reaver	SOURCEPAGE:SoB
Bonus Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.ReaverClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 3rd and 8th, the reaver may choose a bonus feat from the following list: Ambidexterity, Combat Reflexes, Dodge, Exotic Weapon Proficiency, Improved Critical, Improved Initiative, Quick Draw, Weapon Finesse or Weapon Focus. Any prerequisite for these feats must be met in the normal way before they may be choosen	KEY:Reaver ~ Bonus Feat									BONUS:ABILITYPOOL|Reaver Feat|((ReaverLVL+2)/5)																	SORTKEY:Class_Reaver	SOURCEPAGE:SoB
Instil Fear	CATEGORY:Special Ability	TYPE:ClassFeatures.ReaverClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When the reaver reaches 4th level, he gains the extraordinary ability to cast Fear as a free action %1/day. This ability may be used during boarding action and the reaver must perform some dramatic and morale building action in view of his crew and his enemies in the action it is used. This ability has a range of 5-ft per class level (%2) of the reaver and all within the range will be frightened for 1d6 rouds. Those who passes a will save (DC 10+reaver's class level + reaver's CHA, DC %3) will merely be shaken for this time.|InstillFearTimes|InstillFearRadius|InstillFearDC	KEY:Reaver ~ Instil Fear				DEFINE:InstillFearDC|0	DEFINE:InstillFearTimes|0	DEFINE:InstillFearRadius|0			BONUS:VAR|InstillFearDC|10+ReaverLVL+CHA	BONUS:VAR|InstillFearDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Instil Fear)	BONUS:VAR|InstillFearTimes|1	BONUS:VAR|InstillFearRadius|5*ReaverLVL						ABILITY:Ability Focus|AUTOMATIC|Instil Fear								SORTKEY:Class_Reaver	SOURCEPAGE:SoB
Skilled Boarder	CATEGORY:Special Ability	TYPE:ClassFeatures.ReaverClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Reavers are the masters of boarding actions and well-respected by their captains. At 7th level, the reaver may add his class level to the opposed Seamanship check required in boarding actions, whether his ship is the attacker or defender.	KEY:Reaver ~ Skilled Boarder																										SORTKEY:Class_Reaver	SOURCEPAGE:SoB
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Navigator-Wizard gain no proficiency in any weapon or armor. Note that the armor check penalties for armor heavier than leather apply to the skills Balance, Climb, Escape Artist, Hide, Jump, Move Silently, Sleight of Hand and Tumble.	KEY:Navigator-Wizard ~ Weapon and Armor Proficiency																										SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A navigator-wizard continues training in magic as well as his own field of research. Thus, when a new navigator-wizard level is gained, the character also gains spells as if he had also gained a level in a spellcasting class he belonged to before he added the prestige class. He does not, however, get any additional benefits a charachter of that class would have gained, only the new spells. This essentially means that he adds the level of navigator-wizard to the level of another spellcasting class the character already has and then determines spells per day and caster level accordingly. If the caster had more than one spellcasting class before he became a navigator-wizard, he must decide to which class he adds each level of navigator-wizard for the purposes of determining spells per dat when he add the new level.	KEY:Navigator-Wizard ~ Spells per Day																										SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
Infallible Direction	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A navigator-wizard automatically knows where the north lies. This grant a +2 competence bonis to all Navigation checks.	KEY:Navigator-Wizard ~ Infallible Direction																										SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
Fast Pursuit	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The 2nd level navigator-wizard learns to manoeuvre his ship to take best advantage of wind and wave to gain an advantage over any other vessel he is pursuing or trying to escape from. He may add his class level to any opposed Seamanship checks made when invleved in a pursuit.	KEY:Navigator-Wizard ~ Fast Pursuit																										SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
Intuitive Seamanship	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 3rd level, a navigator-wizard learns how to get the very best out of his ship and his creq. All Seamanship checks made by the navigator-wizard or his crew receive a +2 competence bonus. At 6th and 9th level this bonus rises to +4 and +6 respectively.	KEY:Navigator-Wizard ~ Intuitive Seamanship				DEFINE:IntuitiveSeamanshipBonus|0					BONUS:SKILL|Knowledge (Seamanship)|IntuitiveSeamanshipBonus|TYPE=Competence	BONUS:VAR|IntuitiveSeamanshipBonus|((NavigatorWizardLVL/3)*2)																SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
Catch the Wind	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:On achieving 4th level, the navigator-wizard is able to manoeuvre his ship to take best advantage of winds and currents for sustained periods of time and may freely cast minor incantations to influence them. Any ship with a navigator-wizard on board may increase both its base and daily movement rate by 10%%.	KEY:Navigator-Wizard ~ Catch the Wind																										SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
True Voyage	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 5th level the navigator wizard will never become lost at sea. He automatically passes al future Navigation checks, unless thrown off course by magical means (such as teleportation).	KEY:Navigator-Wizard ~ True Voyage																										SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
Weather Prediction	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The navigator-wizard may start to predict the weather at 7th level, through powerful divination rituals. He may faultlessy predict the weather for a number of days equal to his class level by spending an hour performing no other action.	KEY:Navigator-Wizard ~ Weather Prediction																										SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
Ride the Wind	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:This is a more advanced form of Catch the Wind. On reaching 8th level, the navigator-wizard may add 25%% to the base and daily movement rate of any ship he is on.	KEY:Navigator-Wizard ~ Ride the Wind																										SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
Control Winds	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Navigator-Wizard ~ Control Winds																		SPELLS:Innate|TIMES=1|CASTERLEVEL=NavigatorWizardLVL|Control Winds								SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
