SOURCELONG:Gozzilioni Seas of Blood	SOURCESHORT:SoB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																																
#																																
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Up Close and Personal	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Buccaneers are skilled at the close quarter fighting involved in all boarding actions. When fighting with two small size weapons, the penalties for fighting with two weapons is reduced by a further -2 as soon as the buccaneer achieve the 2nd level.	KEY:Buccaneer ~ Up Close and Personal									BONUS:COMBAT|TOHIT-PRIMARY|2|PREMULT:2,[PREEQUIPPRIMARY:1,WIELDCATEGORY=Light],[PREEQUIPSECONDARY:1,WIELDCATEGORY=Light]	BONUS:COMBAT|TOHIT-SECONDARY|2|PREMULT:2,[PREEQUIPPRIMARY:1,WIELDCATEGORY=Light],[PREEQUIPSECONDARY:1,WIELDCATEGORY=Light]																SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Witty Repartee	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When engaged in melee combat, the buccaneer keeps up a steady stream of banter that can soon infuriate an unbalanced opponent. From 3rd level onwards, the buccaneer may use hi witty repartee class feature in conjunction with a full attack combat option. Both he and one opponent make a opposed Will checks, with the buccaneers using his class level as a bonus modifier (+%1 bonus). If the buccaneer is successful, his opponent suffers a -2 morale penalty to all attacks rolls until the start of the buccaneer's next round.|WittyReparteeBonus	KEY:Buccaneer ~ Witty Repartee				DEFINE:WittyReparteeBonus|0					BONUS:VAR|WittyReparteeBonus|BuccaneerLVL																	SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Superb Seaman	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 4th level, the buccaneer becomes so in tune with his ship and the sea that he may add a +2 competence bonus on all Seamanship checks. At 8th level, he receive a further +2 competence bonus on all Seamanship checks.	KEY:Buccaneer ~ Superb Seaman				DEFINE:SuperbSeamanBonus|0					BONUS:SKILL|Knowledge (Seamanship)|SuperbSeamanBonus|TYPE=Competence	BONUS:VAR|SuperbSeamanBonus|2|PREVARGTEQ:BuccaneerLVL,4	BONUS:VAR|SuperbSeamanBonus|2|PREVARGTEQ:BuccaneerLVL,8															SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Swarm Rigging	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The buccaneer can climb rigging and other ropes at his full movement rate at 5th level, as a move-equivalent action.	KEY:Buccaneer ~ Swarm Rigging																										SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Superb Balance	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Upon reaching 6th level, a buccaneer making a successful Balance check may move at full speed along any precarious surface.	KEY:Buccaneer ~ Superb Balance																										SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Rope Fighting	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 7th level, a buccaneer has become so proficient at fighting along masts and in the rigging that he may retain his dexterity bonus to his AC when engaged in combat. In addition enemies gain no bonus to hit when he is in such a position. The buccaneer will still lose his DEX bonus in other circumstances, such as being flat footed.	KEY:Buccaneer ~ Rope Fighting																										SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Sabotage	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Given 1d6 minutes, a 9th level buccaneer may sabotage a ship's rudder or rigging, halving its base speed and giving the ship a -2 circumstance penalty to its maneuverability. The sabotage may be rectified by the ship's crew with a seamanship check at DC 20. This will take one hour to complete.	KEY:Buccaneer ~ Sabotage																										SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Acrobatic Defence	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 10th level, so long as he wears light or no armor and is not encumbered, the buccaneer gains +4 dodge AC bonus when executing the fight defensively standard or full round action. In addition he gains a +8 dodge AC bonus when executing the total defence standard action.	KEY:Buccaneer ~ Acrobatic Defence									BONUS:VAR|FightingDefensivelyACBonus|4|TYPE=Dodge|PREVARLT:ENCUMBERANCE,2,var("COUNT[EQTYPE.ARMOR.IS.HEAVY]"),1	BONUS:VAR|TotalDefenseACBonus|8|TYPE=Dodge|PREVARLT:ENCUMBERANCE,2,var("COUNT[EQTYPE.ARMOR.IS.HEAVY]"),1																SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ReaverClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The reaver is proficient in all simple and martial weapons, and light and medium armour together with shields.	KEY:Reaver ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Reaver	SOURCEPAGE:SoB
Armor Expertise	CATEGORY:Special Ability	TYPE:ClassFeatures.ReaverClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:From 1st level owards, the reaver may ignore the armor check penalties of many lighter types of armor. Everytime this class feature is gained, the reaver may ignore armor check penalties of up to the number listed in the poarenthesis. This feature doesn't affect higher armor check penalties in any way.	KEY:Reaver ~ Armor Expertise				DEFINE:ArmorExpertise|0					BONUS:VAR|ArmorExpertise|1|PREVARGTEQ:ReaverLVL,1	BONUS:VAR|ArmorExpertise|1|PREVARGTEQ:ReaverLVL,5	BONUS:VAR|ArmorExpertise|1|PREVARGTEQ:ReaverLVL,9														ASPECT:NAME|Armor Expertise (%1)|ArmorExpertise	SORTKEY:Class_Reaver	SOURCEPAGE:SoB
Inspire Crew	CATEGORY:Special Ability	TYPE:ClassFeatures.ReaverClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Reavers are skilled not only in boarding actions, but also in encouraging their crews to fight to best effect. A crew led by a reaver are likely to believe they are invincible and will never be defeated. From 2nd level, the reaver grants the crew he leads the morale bonus listed on the table below to their attack and damage rolls (+%1). This only applies during boarding action and if the reaver flees or is killed during the battle, this morale bonus will immediately be converted into a morale penalty, affecting the crew's attack and damage rolls.|InspireCrewBonus	KEY:Reaver ~ Inspire Crew				DEFINE:InspireCrewBonus|0					BONUS:VAR|InspireCrewBonus|(ReaverLVL+2)/4																	SORTKEY:Class_Reaver	SOURCEPAGE:SoB
Bonus Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.ReaverClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 3rd and 8th level, the reaver may choose a bonus feat from the following list. Any prerequisites for these feats must be met in the normal way before they may be choosen.	KEY:Reaver ~ Bonus Feat									BONUS:ABILITYPOOL|Reaver Bonus Feat|1|PREVARGTEQ:ReaverLVL,3	BONUS:ABILITYPOOL|Reaver Bonus Feat|1|PREVARGTEQ:ReaverLVL,8																SORTKEY:Class_Reaver	SOURCEPAGE:SoB
Instill Fear	CATEGORY:Special Ability	TYPE:ClassFeatures.ReaverClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When the reaver reaches the 4th level, he gains the extraordinary ability to cast Fear as a free action once per day. This ability may only be used during a boarding action and the reaver must perform some dramatic and morale-building action in view of his crew and his enemies in the action it is used. This ability has a range of 5 feet per class level of the reaver (%1 feet) and all within range will be frightened foir 1d6 rounds. Those who pass Will save (DC %1) will merely be shaken for this time. This ability may only be used %1/day.|InstillFearRange|InstillFearDC|InstillFearTimes	KEY:Reaver ~ Instill Fear				DEFINE:InstillFearRange|0	DEFINE:InstillFearDC|0	DEFINE:InstillFearTimes|0			BONUS:VAR|InstillFearRange|5*ReaverLVL	BONUS:VAR|InstillFearDC|DefaultSpellDCCha+ReaverLVL	BONUS:VAR|InstillFearTimes|1															SORTKEY:Class_Reaver	SOURCEPAGE:SoB
Skilled Boarder	CATEGORY:Special Ability	TYPE:ClassFeatures.ReaverClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Reavers are the masters of boarding actions and well-respected by their captains. At 7th level, the reaver may add his class level to the opposed Seamanship check required in boarding actions, whether his ship is the attacker or defender.	KEY:Reaver ~ Skilled Boarder																										SORTKEY:Class_Reaver	SOURCEPAGE:SoB
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Navigator Wizard gain no proficiency in any weapon or armor.	KEY:Navigator Wizard ~ Weapon and Armor Proficiency																										SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A Navigator-Wizard continues training in magic as well as his own field of research. This, when a new navigator-wizard level is gained, the character also gains spells as if he had also gained a level in a spellcasting class he belonged to before he added the prestige class. He doesn't, however, get any additional benefits a character of that class would have gained, only the spells.	KEY:Navigator Wizard ~ Spells per Day																										SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
Infallible Direction	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A Navigator-Wizard automatically knows where true north lies. This grants a +2 competence bonus to all Navigation checks.	KEY:Navigator Wizard ~ Infallible Direction									BONUS:SKILL|Knowledge (Seamanship)|2|TYPE=Competence	BONUS:SKILL|Profession (Navigator)|2|TYPE=Competence																SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
Fast Pursuit	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level navigator-wizard learns to maneuvre his ship to take best advantage of wind and wave to gain an advantage over any other vessel he is pursuing or trying to escape from. He may add his class level to nay opposed Seamanship checks made when involved in a pursuit, as detailed on p.22.	KEY:Navigator Wizard ~ Fast Pursuit																										SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
Intuitive Seamanship	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a navigator-wizard learns how to get the very best out of his ship and his crew. All seamanship checks made by the navigator-wizard or his crew receive a +2 competence bonus. At 6th and 9th this bonus rises to +4 and +6 respectively.	KEY:Navigator Wizard ~ Intuitive Seamanship				DEFINE:IntuitiveSeamanshipBonus|0					BONUS:VAR|IntuitiveSeamanshipBonus|(NavigatorWizardLVL/3)*2|TYPE=Competence																	SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
Catch the Wind	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:On achieving 4th level, the navigator-wizard is able to maneuvre his ship to take best advantage of winds and currents for sustained periods of time and may freely cast minor incantation to influence them. Any ship with a navigator-wizard on board may increase both his base and daily movement by 10%%.	KEY:Navigator Wizard ~ Catch the Wind																										SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
True Voyage	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 5th level the navigator-wizard will never become lost at sea. He automatically passes all future Navigation checks, unless thrown off course by magical means (such as teleportation).	KEY:Navigator Wizard ~ True Voyage																										SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
Weather Prediction	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The navigator-wizard may start to predict the weather at 7th level, through powerful divination tiruals. He may faultlessy predict the weather for a number of days equal to his class level by spending an hour performing no other action.	KEY:Navigator Wizard ~ Weather Prediction																										SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
Ride the Wind	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:This is more advanced form of Catch the Wind. On reaching 8th level, the navigator-wizard may add 25%% to the base and daily movement of any ship he is on.	KEY:Navigator Wizard ~ Ride the Wind																										SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
Control Winds	CATEGORY:Special Ability	TYPE:ClassFeatures.NavigatorWizardClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 10th level the navigator-wizard may cast the spell Control Winds %1/day at casting level equal to his class level.	KEY:Navigator Wizard ~ Control Winds				DEFINE:ControlWindsTimes|0	DEFINE:ControlWindsLVL|0				BONUS:VAR|ControlWindsTimes|1	BONUS:VAR|ControlWindsLVL|NavigatorWizardLVL								SPELLS:Innate|TIMES=ControlWindsTimes|CASTERLEVEL=ControlWindsLVL|Control Winds,15+CHA								SORTKEY:Class_Navigator_Wizard	SOURCEPAGE:SoB
