SOURCELONG:Gozzilioni Seas of Blood	SOURCESHORT:SoB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Improved Grab	CATEGORY:Special Ability	TYPE:JastraRootRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:To use this ability, the jastra root must hit an opponent of up to Large size with two fronds. If it gets a hold, it will drag its opponent in the water amd attempt to drown it.	KEY:Jastra Root ~ Improved Grab																											SOURCEPAGE:SoB
Weapon Immunity	CATEGORY:Special Ability	TYPE:JastraRootRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Jastra root take no damage from bludgeoning weapons.	KEY:Jastra Root ~ Weapon Immunity																											SOURCEPAGE:SoB
Skills	CATEGORY:Special Ability	TYPE:JastraRootRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Jastra roots receive a +12 bonus to Hide checks when amidst natural seaweed.	KEY:Jastra Root ~ Skills																											SOURCEPAGE:SoB
																																
Race Traits ~ Killer Wave Ooze	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=KillerWaveOozeRaceTrait																													
Spit	CATEGORY:Special Ability	TYPE:KillerWaveOozeRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:When in the water, a stationary killer wave can use its propulsion tube to spit a jet of acid and water at any single target within 20 feet. A successful hit deal 1 point of acid damage for 1d6 round.	KEY:Killer Wave Ooze ~ Spit																											SOURCEPAGE:SoB
Improved Grab	CATEGORY:Special Ability	TYPE:KillerWaveOozeRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:To use this ability, the killer wave must hit an opponent with its slam attack. If it gets a hold, it may then constrict its victim.	KEY:Killer Wave Ooze ~ Improved Grab																											SOURCEPAGE:SoB
Acid	CATEGORY:Special Ability	TYPE:KillerWaveOozeRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A killer wave secretes a digestive acid that quickly dissolves any organic matter. Any melee hit deals acid damage.	KEY:Killer Wave Ooze ~ Acid																											SOURCEPAGE:SoB
Costrict	CATEGORY:Special Ability	TYPE:KillerWaveOozeRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A killer wave deals automatic slam and acid damage with a successful Grapple Check.	KEY:Killer Wave Ooze ~ Constrict																											SOURCEPAGE:SoB
																																
Race Traits ~ Leviathan	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=LeviathanRaceTrait																													
Swallow Whole	CATEGORY:Special Ability	TYPE:LeviathanRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Simply by opening its enormous, cavernous mouth, the leviathan may swallow ant creature of Large size or smaller, and ships of small size or smaller, that are in the water within 50-feet. Creature made the target of this attack must make a Swim check at DC 30 to avoid being swallowed. Ships made the target of this attack must make a Knowledge (Seamanship) at DC 30 to avoid being swallowed. Swallowed creatures take 6d8+17 points of damage of crushing damage, plus 16 points of acid damage per round. Swallowed ships take 2d6 points of structural damage per round. A swallowed creature can cut its way out using claws or a slashing weapon by dealing 75 points of damage to the leviathan's gut (AC 20). Once the creature exits, muscolar action closes the hole and another swallowed creature must cut its way out. Swallowed ships may not escape from the stomach of a leviathan, though their crew may.	KEY:Leviathan ~ Swallow Whole																											SOURCEPAGE:SoB
Tail Slap	CATEGORY:Special Ability	TYPE:LeviathanRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A leviathan that slaps the water with its huge tail will cause a massive wave to arise that can even threaten ships. Any ship actually struck by the tail of a leviathan will receive 3d6 points of structural damage, whilst creatures take 4d12+17 points of damage. A reflex save (DC %1) will halve this damage for creatures. Any ships has a chance of capsizing and sinking if struck by the wave that rises from the leviathan's tail slap. The chance to capsize is wqual to 100%%, minus 10%% for every 50 feet between the tail and the ship. Ships of Large size or greater also reduce this chance by 40%%.|TailSlapDC	KEY:Leviathan ~ Tail Slap				DEFINE:TailSlapDC|0					BONUS:VAR|TailSlapDC|DefaultDCCha	BONUS:VAR|TailSlapDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Tail Slap)								ABILITY:Ability Focus|AUTOMATIC|Tail Slap									SOURCEPAGE:SoB
Control Weather	CATEGORY:Special Ability	TYPE:LeviathanRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES		KEY:Leviathan ~ Control Weather																		SPELLS:Innate|TIMES=1|CASTERLEVEL=20|Control Weather,17+WIS									SOURCEPAGE:SoB
Whalesong	CATEGORY:Special Ability	TYPE:LeviathanRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The song of a leviathan is so deep and of such low frequency that the vibrations alone can have adverse effects on nearby living creatures. Any living creature within 100 feet of a leviathan must make a Fort save (DC %1) or be stunned for 1d6 rounds. This song is more felt than heard and can be detected by creatures up to ten miles away.|WhalesongDC	KEY:Leviathan ~ Whalesong				DEFINE:WhalesongDC|0					BONUS:VAR|WhalesongDC|DefaultDCCha																		SOURCEPAGE:SoB
Summon Nature's Ally	CATEGORY:Special Ability	TYPE:LeviathanRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES		KEY:Leviathan ~ Summon Nature's Ally IX																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Summon Nature's Ally IX ~ Aquatic,19+WIS									SOURCEPAGE:SoB
Swim	CATEGORY:Special Ability	TYPE:LeviathanRaceTrait.SpecialQuality	VISIBLE:YES	DESC:a leviathan receives a +8 racial bonus to Swim checks.	KEY:Leviathan ~ Swim									BONUS:SKILL|Swim|8|TYPE=Racial																		SOURCEPAGE:SoB
																																
Race Traits ~ Sea Drake	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SeaDrakeRaceTrait																													
Spit Steam	CATEGORY:Special Ability	TYPE:SeaDrakeRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:The drake swallows a large quantity of water and stores it in its throat sac. The sac heats the water and allows the sea drake to spit it out as steam. The sea drake's throat bladder stores enough water for five such sprays. It releases its steam spray in a %1-foot cone. Creatures in the area of effect must succeeds at a Ref save (DC %2) or take %3d%4 points of damage from the blast of steam. A successfull save results in one-half damage.|BreathWeaponCone|BreathWeaponDC|BreathWeaponDice|BreathWeaponDamageDie	KEY:Sea Drake ~ Spit Steam									BONUS:VAR|BreathWeaponCone|30	BONUS:VAR|BreathWeaponDice|3	BONUS:VAR|BreathWeaponDamageDie|6	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:SoB
Leap	CATEGORY:Special Ability	TYPE:SeaDrakeRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A Sea can leap into the air during combat. This allow it to make four claw attacks instead of two, but it cannot bite. The attack bonus for each is %1 (minus the size modifier).|LeapBonus	KEY:Sea Drake ~ Leap				DEFINE:LeapBonus|0					BONUS:VAR|LeapBonus|DragonLVL+STR																		SOURCEPAGE:SoB
Immunities	CATEGORY:Special Ability	TYPE:SeaDrakeRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Like true dragons, sea drakes are immune to all paralysis and Sleep effects.	KEY:Sea Drake ~ Immunities																		ABILITY:Special Ability|VIRTUAL|Immunity to Paralysis|Immunity To Sleep									SOURCEPAGE:SoB
																																
Race Traits ~ Talorani	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=TaloraniRaceTrait	AUTO:WEAPONPROF|Longspear																												
Limited Telepathy	CATEGORY:Special Ability	TYPE:TaloraniRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Underdwellers have the ability to telepathically communicate basic ideas (moods, emotions, images) to any others of their kind within %1 feet. Any creature possessing psionics or some form of telepathy can pick up this communication by making a Wisdom check ad DC 20. Other creatures may make a Sense Motive check at DC 30 to receive telepathic imagery from an underdweller.|TelepathyRange	KEY:Talorani ~ Limited Telepathy									BONUS:VAR|TelepathyRange|20									ABILITY:Special Ability|VIRTUAL|Telepathy									SOURCEPAGE:SoB
Skills	CATEGORY:Special Ability	TYPE:TaloraniRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Talorani receive a +8 racial bonus to Swim checks.	KEY:Talorani ~ Skills									BONUS:SKILL|Swim|8|TYPE=Racial																		SOURCEPAGE:SoB
																																
Race Traits ~ Undine	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=UndineRaceTrait	AUTO:WEAPONPROF|Dagger																												
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:UndineRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Undine ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=7|Fog Cloud,12+CHA|Water Breathing,13+CHA									SOURCEPAGE:SoB
Spellcasting	CATEGORY:Special Ability	TYPE:UndineRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Undine can replicate cleric spells as 7th-level casters. They cannot replicate spells dealing with fire.	KEY:Undine ~ Spellcasting																											SOURCEPAGE:SoB
Control Water	CATEGORY:Special Ability	TYPE:UndineRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES		KEY:Undine ~ Control Water																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Control Water,16+CHA									SOURCEPAGE:SoB
Touch of the Sea	CATEGORY:Special Ability	TYPE:UndineRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The touch of an Undine causes living subject to become creature of the sea unless it succeeds a Fort save (DC %1). An affected creature gains the amphibious extraordinary trait and can breathe water normally. An Amphibious creature can survive out of the water for 1 hour per 2 points of Constitution. After that, apply the rules of drowning.|TouchOfTheSeaDC	KEY:Undine ~ Touch of the Sea				DEFINE:TouchOfTheSeaDC|0					BONUS:VAR|TouchOfTheSeaDC|DefaultDCCon	BONUS:VAR|TouchOfTheSeaDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Touch of the Sea)								ABILITY:Ability Focus|AUTOMATIC|Touch of the Sea									SOURCEPAGE:SoB
Immunity To Attacks	CATEGORY:Special Ability	TYPE:UndineRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An Undine that is attacked by any weapon (including grappling attacks) cam, by making a successful Ref save at DC 15, instantly transform her body into water and flow away.	KEY:Undine ~ Immunity to Attacks																											SOURCEPAGE:SoB
