SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Planar Inspiration	CATEGORY:ACF	TYPE:AlternateClassFeatures.BardClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A bard of 3rd level or higher with 6 or more ranks in a Perform skill who selects this planar substitution benefi t can use his music or poetics to protect his allies from the alignment traits of a plane. The bard must perform for a full minute, spending a standard action to concentrate on his performance each round. At the end of the performance, he makes a Perform check (DC 15 for mild alignment traits, or DC 25 for strong alignment traits). The bard can't take 10 on this check. Success indicates that the bard and each ally within 30 feet who heard the bard perform for the full minute don't take the normal penalty on checks made on planes whose alignments differ from their own (see Alignment Traits, page 149 of the Dungeon Master's Guide) for 24 hours. This is a mind-affecting ability.	KEY:Planar Inspiration ~ Planar Inspiration																										SORTKEY:Class_Bard	SOURCEPAGE:PH	
Planar Dissonance	CATEGORY:ACF	TYPE:AlternateClass.BardicMusicSuggestion.BardicMusicMassSuggestion	VISIBLE:YES	DESC:Planar Inspiration.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Bard=6																ABILITY:Alternate Class Feature|AUTOMATIC|Planar Dissonance ~ Planar Dissonance|PREVARGTEQ:BardLVL,6|PREVARGTEQ:BardicMusicLVL,6|PRESKILL:1,TYPE.Perform=9	ABILITY:Alternate Class Feature|AUTOMATIC|Planar Dissonance ~ Suggestion|PREVARGTEQ:BardLVL,18|PREVARGTEQ:BardicMusicLVL,18|PRESKILL:1,TYPE.Perform=21						COST:0	SORTKEY:Class_Bard	SOURCEPAGE:PH	
Planar Dissonance	CATEGORY:ACF	TYPE:AlternateClassFeatures.BardClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A bard of 6th level or higher with 9 or more ranks in a Perform skill who selects this planar substitution benefi t can use music or poetics to infl uence intraplanar and extraplanar portals, moderate or severe planar breaches, and other discrete passages between planes (complete planar breaches cannot be affected). The portal, breach, or other qualifying passage to be affected must be centered within 60 feet. The bard must know about the portal. Each round of the performance, he attempts a DC 20 Perform check. The bard can't take 10 on this check. Success indicates that the bard can redirect the portal destination to the mouth of any other active portal or breach he has personally traveled through in the past 30 days. Redirection automatically fails if the portal chosen as the temporary endpoint is no longer active. Only creatures and objects are affected by redirection, not traits (which leak through planar breaches). Creatures that enter the portal from the bard's side of the portal, or creatures that would otherwise arrive at the bard's location through the portal, instead arrive at the endpoint of another portal chosen by the bard this round. The portal to which the bard redirects travelers continues to connect to its original destination; if a redirected creature attempts to go back through the bard-influenced portal, it doesn't return to the bard's location, but instead to that portal's natural endpoint. The bard may keep up the dissonance for 10 consecutive rounds (this counts as one of the bard's bardic music uses per day).	KEY:Planar Dissonance ~ Planar Dissonance																										SORTKEY:Class_Bard	SOURCEPAGE:PH	
Suggestion	CATEGORY:ACF	TYPE:AlternateClassFeatures.BardClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A bard of 18th level or higher with 9 or more ranks in a Perform skill can make a suggestion (as the spell) to a creature that he has already fascinated (see above). Using this ability does not break the Bard's concentration on the fascinate effect, nor does it allow a second saving throw against the fascinate effect. Making a suggestion doesn't count against a Bard's daily limit on Bardic music performances. A Will saving throw (DC 10 + 1/2 Bard's level + Bard's Cha modifier) negates the effect. This ability affects only a single creature (but see mass suggestion, below). Suggestion is an enchantment (compulsion), mind-affecting, language dependent ability.	KEY:Planar Dissonance ~ Suggestion																										SORTKEY:Class_Bard	SOURCEPAGE:PH	
Planar Discordance	CATEGORY:ACF	TYPE:AlternateClass.BardicMusicSongOfFreedom	VISIBLE:YES	DESC:Planar Discordance.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Bard=12																ABILITY:Alternate Class Feature|AUTOMATIC|Planar Discordance ~ Planar Discordance|PREVARGTEQ:BardLVL,12|PREVARGTEQ:BardicMusicLVL,12|PRESKILL:1,TYPE.Perform=15							COST:0	SORTKEY:Class_Bard	SOURCEPAGE:PH	
Planar Discordance	CATEGORY:ACF	TYPE:AlternateClassFeatures.BardClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A bard of 12th level or higher with 15 or more ranks in a Perform skill who selects this planar substitution benefit can attempt to create a minor planar breach (as the precipitate breach spell in Chapter 5). The bard must perform for 1 full minute, spending a standard action each round to concentrate on the performance. At the end of the performance, the minor breach comes into existence with an onset time of 1d4 rounds, as indicated by the precipitate breach spell description. If the bard has further uses of his bardic music ability for the day, he may attempt to exacerbate the breach further, as described in the spell description.	KEY:Planar Discordance ~ Planar Discordance																										SORTKEY:Class_Bard	SOURCEPAGE:PH	
Planar Dismissal	CATEGORY:ACF	TYPE:AlternateClass	VISIBLE:YES	DESC:Planar Dismissal.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Cleric=4							BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|-3									ABILITY:Alternate Class Feature|AUTOMATIC|Planar Dismissal ~ Planar Dismissal|PREVARGTEQ:ClericLVL,4							COST:0	SORTKEY:Class_Cleric	SOURCEPAGE:PH	
Planar Dismissal	CATEGORY:ACF	TYPE:AlternateClassFeatures.ClericClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:By selecting this planar substitution benefit at 4th level, a cleric trades away some of his power over undead creatures to gain the ability to dismiss a summoned extraplanar creature (such as a fi endish wolf brought by a summon monster II spell) by channeling the power of his faith through his holy (or unholy) symbol. To attempt this, the cleric spends a turn/rebuke attempt and makes a level check (1d20 + cleric level) against a DC of 11 + the caster level of the summoner. If the summoning creature doesn't have a caster level, use its Hit Dice instead. The cleric gets a +2 bonus on this check if the summoned creature's alignment has at least one component opposed to his own (for instance, a lawful good cleric gets a +2 bonus if the creature's alignment includes either the chaotic or evil component, while a lawful neutral cleric gains the bonus only against chaotic summoned creatures.) Success indicates that the summoned creature is returned to its home plane. Each attempt affects only a single creature, chosen by the cleric, that is within 60 feet and visible to the cleric. A cleric can't dismiss a summoned creature whose Hit Dice exceed his caster level + his Cha modifier.	KEY:Planar Dismissal ~ Planar Dismissal																										SORTKEY:Class_Cleric	SOURCEPAGE:PH	
Planar Domain	CATEGORY:ACF	TYPE:AlternateClass	VISIBLE:YES	DESC:Planar Domains.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Cleric=7																ABILITY:Alternate Class Feature|AUTOMATIC|Planar Domain ~ Planar Domain|PREVARGTEQ:ClericLVL,7|PREALIGN:LG,LN,LE,NG,NE,CG,CN,CE							COST:0	SORTKEY:Class_Cleric	SOURCEPAGE:PH	
Planar Domain	CATEGORY:ACF	TYPE:AlternateClassFeatures.ClericClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A 7th-level cleric whose alignment is other than neutral can give up the two domains that he gained as a 1st-level cleric in exchange for a planar domain that matches his alignment (see Table 2-3: Planar Domains). The cleric need not worship a deity listed as one of the typical deities for the domain. A neutral cleric can't select a planar domain. The cleric immediately loses the granted powers of his exchanged domains. Skills that were treated as class skills due to a granted power are treated as cross-class skills for this and all future cleric class levels (though the cleric doesn't lose any skill ranks for skill points already spent from previous levels). He can no longer fill domain spell slots with domain spells from the exchanged domains. In return, the cleric gains a planar domain that matches his alignment, gains its granted power, and from now on may fill his domain spell slots with the spells appropriate to that domain. See Chapter 5: Spells for more information on planar domains.	KEY:Planar Domain ~ Planar Domain									BONUS:VAR|Planar Domain|2	BONUS:VAR|ClericDomainCount|-2																SORTKEY:Class_Cleric	SOURCEPAGE:PH	
Planar Banishment	CATEGORY:ACF	TYPE:AlternateClass	VISIBLE:YES	DESC:Planar Banishment.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Cleric=11																ABILITY:Alternate Class Feature|AUTOMATIC|Planar Banishment ~ Planar Banishment|PREVARGTEQ:ClericLVL,11							COST:0	SORTKEY:Class_Cleric	SOURCEPAGE:PH	
Planar Banishment	CATEGORY:ACF	TYPE:AlternateClassFeatures.ClericClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:By selecting this planar substitution benefit at 11th level, a cleric trades away his ability to spontaneously cast cure or inflict spells of 6th level or higher in order to gain the ability to banish extraplanar creatures from his home plane. The cleric can "lose" any prepared spell of 6th level or higher that is not a domain spell in order to cast banishment. (If the cleric loses a spell of 7th level or higher, calculate the save DC as if the banishment spell had been heightened to that level.)	KEY:Planar Banishment ~ Planar Banishment																										SORTKEY:Class_Cleric	SOURCEPAGE:PH	
Resist Extraplanar Might	CATEGORY:ACF	TYPE:AlternateClass.DruidResistSNatureLure	VISIBLE:YES	DESC:Resist Extraplanar Might.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Druid=4																ABILITY:Alternate Class Feature|AUTOMATIC|Resist Extraplanar Might ~ Resist Extraplanar Might|PREVARGTEQ:DruidLVL,4							COST:0	SORTKEY:Class_Druid	SOURCEPAGE:PH	
Resist Extraplanar Might	CATEGORY:ACF	TYPE:AlternateClassFeatures.DruidClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:4th-level druid who selects this planar substitution benefi t gains a +2 bonus on saving throws against the spell-like abilities of outsiders.	KEY:Resist Extraplanar Might ~ Resist Extraplanar Might																										SORTKEY:Class_Druid	SOURCEPAGE:PH	
Planar Tolerance	CATEGORY:ACF	TYPE:AlternateClass.DruidVenomImmunity	VISIBLE:YES	DESC:Planar Tolerance.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Druid=9																ABILITY:Alternate Class Feature|AUTOMATIC|Planar Tolenrace ~ Planar Tolerance|PREVARGTEQ:DruidLVL,9							COST:0	SORTKEY:Class_Druid	SOURCEPAGE:PH	
Planar Tolerance	CATEGORY:ACF	TYPE:AlternateClassFeatures.DruidClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A planar druid of 9th level or higher becomes attuned to the nature of the planes she visits and gains immunity to their natural planar effects. Any effect that would be negated by the planar tolerance spell (see page 103) is negated by this druid ability. Unlike the spell, this ability affects only the druid herself.	KEY:Planar Tolenrace ~ Planar Tolerance																										SORTKEY:Class_Druid	SOURCEPAGE:PH	
Counter Summoning	CATEGORY:ACF	TYPE:AlternateClass.DruidAThousandFaces	VISIBLE:YES	DESC:Counter Summoning.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Druid=13																ABILITY:Alternate Class Feature|AUTOMATIC|Counter Summoning ~ Counter Summoning|PREVARGTEQ:DruidLVL,13							COST:0	SORTKEY:Class_Druid	SOURCEPAGE:PH	
Counter Summoning	CATEGORY:ACF	TYPE:AlternateClassFeatures.DruidClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Some druids who walk the planes come to believe that excessive summoning of extraplanar creatures constitutes an abuse of the planes themselves, and they learn to deal with this problem at the source. A planar druid of 13th level or higher can ready a standard action to counter a summon monster spell or any spell-like ability that summons an extraplanar creature. This ability functions exactly as a counterspell using dispel magic, except that the druid need not cast a spell to make the attempt. The druid must make a caster level check against a DC of 11 + the opponent's caster level (if the opponent does not have a caster level for its summoning ability, use its Hit Dice instead). Success indicates that the spell or spell-like ability is countered.	KEY:Counter Summoning ~ Counter Summoning																										SORTKEY:Class_Druid	SOURCEPAGE:PH	
Planar Study	CATEGORY:ACF	TYPE:AlternateClass	VISIBLE:YES	DESC:Planar Study.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Fighter=4																ABILITY:Alternate Class Feature|AUTOMATIC|Planar Study ~ Planar Study|PREVARGTEQ:FighterLVL,4							COST:0	SORTKEY:Class_Fighter	SOURCEPAGE:PH	
Planar Study	CATEGORY:ACF	TYPE:AlternateClassFeatures.FighterClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:At 4th level, a planar fighter learns the secrets of combating foes encountered on the planes. He gains a +2 bonus on all weapon damage rolls against elementals, outsiders, and creatures that would have the extraplanar subtype while on the Material Plane (such as a fiendish dire wolf).	KEY:Planar Study ~ Planar study									BONUS:ABILITYPOOL|Fighter Feat|-1																	SORTKEY:Class_Fighter	SOURCEPAGE:PH	
Align Puissance	CATEGORY:ACF	TYPE:AlternateClass	VISIBLE:YES	DESC:Align Puissance.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Fighter=8																ABILITY:Alternate Class Feature|AUTOMATIC|Align Puissance ~ Align Puissance|PREVARGTEQ:FighterLVL,8							COST:0	SORTKEY:Class_Fighter	SOURCEPAGE:PH	
Align Puissance	CATEGORY:ACF	TYPE:AlternateClassFeatures.FighterClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day, for a number of rounds equal to his fighter class level, a planar fighter of 8th level or higher can use a standard action to align himself so that any weapon he wields is aligned good, evil, lawful, or chaotic, as he chooses. A weapon that is aligned can overcome the damage reduction of certain creatures, usually outsiders of the opposite alignment. This ability has no effect on a weapon that already has an alignment, such as a holy sword. It affects all other weapons wielded by the fighter, but not his unarmed strikes or natural weapons. The ability comes from the fighter, not the weapon, so if he subsequently gives away or loses the weapon, it does not remain aligned. Likewise, while the fighter is under the effect of this ability, any weapon he picks up acts as if aligned in the manner he activated.	KEY:Align Puissance ~ Align Puissance									BONUS:ABILITYPOOL|Fighter Feat|-1																	SORTKEY:Class_Fighter	SOURCEPAGE:PH	
Aura of Stability	CATEGORY:ACF	TYPE:AlternateClass	VISIBLE:YES	DESC:Aura of Stability.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Fighter=12																ABILITY:Alternate Class Feature|AUTOMATIC|Aura of Stability ~ Aura of Stability|PREVARGTEQ:FighterLVL,12							COST:0	SORTKEY:Class_Fighter	SOURCEPAGE:PH	
Aura of Stability	CATEGORY:ACF	TYPE:AlternateClassFeatures.FighterClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a standard action, a planar fighter of 12th level or higher can activate a dimensional anchor effect (see page 221 of the Player's Handbook) on himself with a duration of a number of rounds equal to his class level. In addition, anyone with whom he is grappling is likewise affected by the dimensional anchor ability while they are grappling. Spell resistance applies, and the caster level of the ability equals the fighter's class level.	KEY:Aura of Stability ~ Aura of Stability									BONUS:ABILITYPOOL|Fighter Feat|-1																	SORTKEY:Class_Fighter	SOURCEPAGE:PH	
Resistant Body	CATEGORY:ACF	TYPE:AlternateClass.MonkPurityOfBody	VISIBLE:YES	DESC:Resistant Body.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Monk=5																ABILITY:Alternate Class Feature|AUTOMATIC|Resistant Body ~ Resistant Body|PREVARGTEQ:MonkLVL,5							COST:0	SORTKEY:Class_Monk	SOURCEPAGE:PH	
Resistant Body	CATEGORY:ACF	TYPE:AlternateClassFeatures.MonkClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 5th level, a planar monk successfully hardens her body against one type of energy (acid, cold, electricity, fire, or sonic), gaining resistance 5.	KEY:Resistant Body ~ Resistant Body									BONUS:ABILITYPOOL|Energy Resistance 5|1																	SORTKEY:Class_Fighter	SOURCEPAGE:PH	
Acid Resistance 5	CATEGORY:Special Ability	TYPE:AlternateClassFeatures.MonkClassFeatures.EnergyResistance5	VISIBLE:DISPLAY		KEY:Monk ~ Energy Resistance 5 ~ Acid									BONUS:VAR|AcidResistanceBonus|5|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Resistance to Acid								SORTKEY:Class_Monk	SOURCEPAGE:PH	
Cold Resistance 5	CATEGORY:Special Ability	TYPE:AlternateClassFeatures.MonkClassFeatures.EnergyResistance5	VISIBLE:DISPLAY		KEY:Monk ~ Energy Resistance 5 ~ Cold									BONUS:VAR|ColdResistanceBonus|5|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Resistance to Cold								SORTKEY:Class_Monk	SOURCEPAGE:PH	
Electricity Resistance 5	CATEGORY:Special Ability	TYPE:AlternateClassFeatures.MonkClassFeatures.EnergyResistance5	VISIBLE:DISPLAY		KEY:Monk ~ Energy Resistance 5 ~ Electricity									BONUS:VAR|ElectricityResistanceBonus|5|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Resistance to Electricity								SORTKEY:Class_Monk	SOURCEPAGE:PH	
Fire Resistance 5	CATEGORY:Special Ability	TYPE:AlternateClassFeatures.MonkClassFeatures.EnergyResistance5	VISIBLE:DISPLAY		KEY:Monk ~ Energy Resistance 5 ~ Fire									BONUS:VAR|FireResistanceBonus|5|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Resistance to Fire								SORTKEY:Class_Monk	SOURCEPAGE:PH	
Sonic Resistance 5	CATEGORY:Special Ability	TYPE:AlternateClassFeatures.MonkClassFeatures.EnergyResistance5	VISIBLE:DISPLAY		KEY:Monk ~ Energy Resistance 5 ~ Sonic									BONUS:VAR|SonicResistanceBonus|5|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Resistance to Sonic								SORTKEY:Class_Monk	SOURCEPAGE:PH	
Axiomatic Soul	CATEGORY:ACF	TYPE:AlternateClass.MonkDiamondSoul	VISIBLE:YES	DESC:Axiomatic Soul.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Monk=13																ABILITY:Alternate Class Feature|AUTOMATIC|Axiomatic Soul ~ Axiomatic Soul|PREVARGTEQ:MonkLVL,13							COST:0	SORTKEY:Class_Monk	SOURCEPAGE:PH	
Axiomatic Soul	CATEGORY:ACF	TYPE:AlternateClassFeatures.MonkClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 13th level, a planar monk gains spell resistance equal to her class level +15. This spell resistance applies only to effects generated by chaotic outsiders.	KEY:Axiomatic Soul ~ Axiomatic Soul				DEFINE:AxiomaticSoulSR|0					BONUS:VAR|AxiomaticSoulSR|15+MonkLVL									SR:AxiomaticSoulSR								SORTKEY:Class_Monk	SOURCEPAGE:PH	
Ki Strike (Cold Iron)	CATEGORY:ACF	TYPE:AlternateClass	VISIBLE:YES	DESC:Ki Strike (Cold Iron).		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Monk=16																ABILITY:Alternate Class Feature|AUTOMATIC|Ki Strike ~ Cold Iron|PREVARGTEQ:MonkLVL,16							COST:0	SORTKEY:Class_Monk	SOURCEPAGE:PH	
