SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																							
#																										
#Block:Spells	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus	
Hamatula Barbs				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:10 min/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Subjects grow barbs, which damage foes that attack subject in melee. Material Component: A thorn.	SOURCEPAGE:PH									
Heavenly Host				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Good|Law	CLASSES:Cleric=9|Sorcerer=9|Wizard=9	COMPS:V, S	CASTTIME:10 minutes	RANGE:Medium	TARGETAREA:Two or more summoned creatures, no two of which can be more than 30 ft. apart.	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Summons archons to fight for you.	SOURCEPAGE:PH									
Hellish Horde				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil|Law	CLASSES:Cleric=9|Sorcerer=9|Wizard=9	COMPS:V, S	CASTTIME:10 minutes	RANGE:Medium	TARGETAREA:Two or more summoned creatures, no two of which can be more than 30 ft. apart.	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Summons devils to fight for you.	SOURCEPAGE:PH									
Holy Storm				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Good|Water	CLASSES:Cleric=3|Paladin=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:20-ft. radius, centered on you.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Good-aligned rain falls in 20-ft. Radius. Material Component: A flask of holy water.	SOURCEPAGE:PH									
Hunters of Hades				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil	CLASSES:Cleric=9	COMPS:V, S	CASTTIME:1 minute	RANGE:Medium	TARGETAREA:Two summoned pack fi ends, which can be no more than 30 ft. apart	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Summons a pair of pack fiends to follow your commands.	SOURCEPAGE:PH									
Infernal Wound				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Cleric=4|Sorcerer=4|Wizard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Weapon inflicts persistent, bleeding wounds.	SOURCEPAGE:PH									
Lay of the Land				TYPE:Spell	SCHOOL:Divination			CLASSES:Bard=4|Druid=4|Ranger=1	COMPS:V, S, F	CASTTIME:3 rounds	RANGE:Personal	TARGETAREA:You.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You gain an overview of the geography around you.	SOURCEPAGE:PH									
Light of Lunia				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Good|Light	CLASSES:Cleric=1|Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:You and creature(s) touched with ray (up to 2); see text.	DURATION:10 min/level or until used; see text.	SAVEINFO:None	SPELLRES:Yes	DESC:You radiate silvery light, which you can expend as 2 bolts that deal 1d6 damage.	SOURCEPAGE:PH									
Light of Mercuria				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Good|Light	CLASSES:Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:You and creature(s) touched with ray (up to 2); see text.	DURATION:10 min/level or until used; see text.	SAVEINFO:None	SPELLRES:Yes	DESC:You radiate golden light, which you can expend as 2 bolts that deal 1d6 damage, 2d6 against undead and evil outsider	SOURCEPAGE:PH									
Light of Venya				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Good|Light	CLASSES:Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:You and creature(s) touched with ray (up to 2); see text.	DURATION:10 min/level or until used; see text.	SAVEINFO:None	SPELLRES:Yes	DESC:You radiate silvery light, which you can expend as 2 bolts that either deal 3d6 against evil outsiders and undead or heal 3d6 points of damage.	SOURCEPAGE:PH									
Locate Touchstone				TYPE:Spell	SCHOOL:Divination			CLASSES:Bard=1|Cleric=2|Druid=1|Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:See text	TARGETAREA:See text.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Find nearest planar touchstone on the plane you currently inhabit. Special: You must have the Planar Touchstone feat in order to cast this spell.	SOURCEPAGE:PH									PREABILITY:1,CATEGORY=FEAT,Planar Touchstone
Mantle of Chaos				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Chaos	CLASSES:Cleric=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:You.	DURATION:10 min/level	SAVEINFO:None	SPELLRES:Yes	DESC:You gain SR 12 + caster level against spells with opposite alignment descriptor.	SOURCEPAGE:PH									
Mantle of Evil				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Evil	CLASSES:Blackguard=3|Cleric=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:You.	DURATION:10 min/level	SAVEINFO:None	SPELLRES:Yes	DESC:You gain SR 12 + caster level against spells with opposite alignment descriptor.	SOURCEPAGE:PH									
Mantle of Good				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Good	CLASSES:Cleric=3|Paladin=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:You.	DURATION:10 min/level	SAVEINFO:None	SPELLRES:Yes	DESC:You gain SR 12 + caster level against spells with opposite alignment descriptor.	SOURCEPAGE:PH									
Mantle of Law				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Law	CLASSES:Cleric=3|Paladin=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:You.	DURATION:10 min/level	SAVEINFO:None	SPELLRES:Yes	DESC:You gain SR 12 + caster level against spells with opposite alignment descriptor.	SOURCEPAGE:PH									
Mechanus Mind				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Law|Mind-Affecting	CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Reformat subject's mind to be coldly calculating.	SOURCEPAGE:PH									
Miasma of Enthropy				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Druid=6|Sorcerer=7|Wizard=7	COMPS:V, S	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:Cone-shaped burst, one solid object or one organic construct.	DURATION:Instantaneous	SAVEINFO:Will negates (object) or Fortitude half; See text	SPELLRES:Yes	DESC:Rot all natural materials in 30-ft. cone-shaped burst.	SOURCEPAGE:PH									
Negative Energy Aura				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Cleric=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:10-ft.-radius emanation centered on you.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:10-ft. radius surrounding you deals 2 points of damage/round.	SOURCEPAGE:PH									
Opalescent Glare				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Death|Good	CLASSES:Cleric=5|Sorcerer=5|Wizard=5	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:One living creature.	DURATION:Instantaneous	SAVEINFO:Will partial; see text.	SPELLRES:Yes	DESC:Kill evil creatures with a look, or make them very afraid.	SOURCEPAGE:PH									
Perinarch				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=4|Sorcerer=4|Wizard=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:See text.	DURATION:1 round/level; see text.	SAVEINFO:None (object) and Reflex negates; See text.	SPELLRES:No	DESC:Gain greater control over Limbo's morphic essence.	SOURCEPAGE:PH									
Perinarch (Planar)				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=9|Sorcerer=9|Wizard=9	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:See text.	DURATION:1 round/level; see text.	SAVEINFO:None (object) and Reflex negates; See text.	SPELLRES:No	DESC:Gain control over a small area of any divinely morphic plane.	SOURCEPAGE:PH									
Planar Bubble				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=7|Sorcerer=7|Wizard=7	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:10-ft.-radius emanation centered from touched creature.	DURATION:10 min/level	SAVEINFO:Will negates (harmless); see text.	SPELLRES:No	DESC:Create bubble around target creature that emulates target's native planar environment. Material Components: A sprinkling of silver dust.	SOURCEPAGE:PH									
Planar Exchange				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:See text	CLASSES:Cleric=6	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:0 ft.	TARGETAREA:One called creature.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Trade places with one of three planar creatures (your choice).	SOURCEPAGE:PH									
Planar Exchange (Greater)				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:See text	CLASSES:Cleric=8	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:0 ft.	TARGETAREA:One called creature.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Trade places with one of three greater planar creatures (your choice).	SOURCEPAGE:PH									
Planar Exchange (Lesser)				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:See text	CLASSES:Cleric=4	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:0 ft.	TARGETAREA:One called creature.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Trade places with one of four lesser planar creatures (your choice).	SOURCEPAGE:PH									
Planar Tolerance				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=4|Druid=4|Ranger=4|Sorcerer=3|Wizard=3	COMPS:V	CASTTIME:1 standard action	RANGE:20 ft.	TARGETAREA:One creature/level in a 20-ft.-radius burst centered on you.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Provides long-term protection against overtly damaging planar traits..	SOURCEPAGE:PH									
Plane Shift (Greater)				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Teleportation		CLASSES:Cleric=7|Sorcerer=8|Wizard=8	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched, or up to eight willing creatures joining hands.	DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You move yourself or some other creature to another plane of existence or alternate dimension. Focus: A small, forked metal rod. The size and metal type dictates to which plane of existence or alternate dimension the spell sends the affected creatures. Forked rods keyed to certain planes or dimensions may be difficult to come by, as decided by the DM	SOURCEPAGE:PH									
Positive Energy Aura				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Healing		CLASSES:Cleric=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:10-ft.-radius emanation centered on you.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:10-ft. radius surrounding you heals 2 points of damage/round.	SOURCEPAGE:PH									
Precipitate Breach				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Teleportation		CLASSES:Sorcerer=5|Wizard=5	COMPS:V, M	CASTTIME:10 minutes	RANGE:0 ft.	TARGETAREA:Planar breach; see text.	DURATION:See text.	SAVEINFO:None	SPELLRES:Yes	DESC:You can force planar boundaries to rip, creating a planar breach. Material Component: Jade dust worth 250 gp sprinkled in the center of the effect.	SOURCEPAGE:PH		COST:250							
Precipitate Complete Breach				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Teleportation		CLASSES:Sorcerer=9|Wizard=9	COMPS:V, M, XP	CASTTIME:10 minutes	RANGE:0 ft.	TARGETAREA:Complete planar breach; see text.	DURATION:See text.	SAVEINFO:None	SPELLRES:Yes	DESC:You rip wide the boundary between two planes. Material Component: Jade dust worth 1,000 gp sprinkled in the center of the effect. XP Cost: 1,000 XP.	SOURCEPAGE:PH		COST:1000	XPCOST:1000						
Protection from Negative Energy				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:10 min/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Ignore 10 points of negative energy damage per attack.	SOURCEPAGE:PH									
Protection from Positive Energy				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Undead creature touched.	DURATION:10 min/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Ignore 10 points of positive energy damage per attack.	SOURCEPAGE:PH									
Rary's Interplanar Telepathic Bond				TYPE:Spell	SCHOOL:Divination			CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:You plus one willing creature/3 levels, no two of which can be more than 30-ft apart.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You forge a telepathic bond among yourself and a number of willing creatures, each of which must have an Intelligence score of 3 or higher. Material Component: Pieces of eggshell from two different kinds of creatures.	SOURCEPAGE:PHB									
Resist Planar Alignment				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=1|Druid=1|Paladin=1|Ranger=1|Sorcerer=1|Wizard=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:10 minutes/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Subject can resist penalties for being of an opposed alignment on an aligned Outer Plane.	SOURCEPAGE:PH									
Seal Portal				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One interplanar gate or portal.	DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:Seal an interplanar portal or gate. Material Component: A silver bar worth 50 gp.	SOURCEPAGE:PH		COST:50							
