SOURCELONG:Gozzilioni Core Ruleset	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																	
																																			
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page			
Favored Enemy	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:ImprovedFavoredEnemyBonus|0	SOURCEPAGE:DMG																														
Fast Healing	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:FastHealing|0	SOURCEPAGE:DMG	ASPECT:NAME|Fast Healing %1|FastHealing																													
Battle Frenzy	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack.Extraordinary	VISIBLE:YES	DEFINE:BattleFrenzyTimes|0	DEFINE:BattleFrenzyLvl|0	DEFINE:BattleFrenzyDuration|0	DEFINE:BattleFrenzyConBonus|0	DEFINE:BattleFrenzyStrBonus|0	DEFINE:BattleFrenzyACPenalty|0	DEFINE:BattleFrenzyMorale|0	DEFINE:EnBattleFrenzyd|0	DEFINE:BattleFrenzyBonus|0	DESC:%1 times/day (%2 rounds)|BattleFrenzyTimes|BattleFrenzyDuration|PREVARGT:BattleFrenzyTimes,0	DESC:Tireless BattleFrenzy, %1 times/day without fatigue (%2 rounds)|BattleFrenzyTimes|BattleFrenzyDuration|PREVARGTEQ:TirelessBattleFrenzy,1	DESC:Bonuses when frenzied (STR +%1, CON +%2, Will +%3, AC -%4, HP %5)|BattleFrenzyStrBonus|BattleFrenzyConBonus|BattleFrenzyMorale|BattleFrenzyACPenalty|(BattleFrenzyConBonus/2)*TL	BONUS:VAR|BattleFrenzyBonus|4	BONUS:VAR|BattleFrenzyDuration|CON+3+(BattleFrenzyConBonus/2)	BONUS:VAR|BattleFrenzyConBonus|BattleFrenzyBonus	BONUS:VAR|BattleFrenzyStrBonus|BattleFrenzyBonus	BONUS:VAR|BattleFrenzyACPenalty|2	BONUS:VAR|BattleFrenzyMorale|BattleFrenzyBonus/2	TEMPDESC:Battle Frenzied (STR +%1, CON +%2, Will +%3, AC -%4, HP %5)|BattleFrenzyStrBonus|BattleFrenzyConBonus|BattleFrenzyMorale|BattleFrenzyACPenalty|(BattleFrenzyConBonus/2)*TL	TEMPBONUS:PC|SAVE|Will|BattleFrenzyMorale	TEMPBONUS:PC|COMBAT|AC|-1*(BattleFrenzyACPenalty)	TEMPBONUS:PC|STAT|CON|BattleFrenzyConBonus	TEMPBONUS:PC|STAT|STR|BattleFrenzyStrBonus	TEMPBONUS:PC|VAR|BattleFrenzyDuration|-(BattleFrenzyConBonus/2)	TEMPBONUS:PC|VAR|BattleFrenzied|1			
Blood Frenzy	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack.Extraordinary	VISIBLE:YES	DEFINE:BloodFrenzyTimes|0	DEFINE:BloodFrenzyLvl|0	DEFINE:BloodFrenzyDuration|0	DEFINE:BloodFrenzyConBonus|0	DEFINE:BloodFrenzyStrBonus|0	DEFINE:BloodFrenzyACPenalty|0	DEFINE:BloodFrenzyMorale|0	DEFINE:EnBloodFrenzyd|0	DEFINE:BloodFrenzyBonus|0	DESC:%1 times/day (%2 rounds)|BloodFrenzyTimes|BloodFrenzyDuration|PREVARGT:BloodFrenzyTimes,0	DESC:Tireless BloodFrenzy, %1 times/day without fatigue (%2 rounds)|BloodFrenzyTimes|BloodFrenzyDuration|PREVARGTEQ:TirelessBloodFrenzy,1	DESC:Bonuses when frenzied (STR +%1, CON +%2, Will +%3, AC -%4, HP %5)|BloodFrenzyStrBonus|BloodFrenzyConBonus|BloodFrenzyMorale|BloodFrenzyACPenalty|(BloodFrenzyConBonus/2)*TL	BONUS:VAR|BloodFrenzyBonus|4	BONUS:VAR|BloodFrenzyDuration|CON+3+(BloodFrenzyConBonus/2)	BONUS:VAR|BloodFrenzyConBonus|BloodFrenzyBonus	BONUS:VAR|BloodFrenzyStrBonus|BloodFrenzyBonus	BONUS:VAR|BloodFrenzyACPenalty|2	BONUS:VAR|BloodFrenzyMorale|BloodFrenzyBonus/2	TEMPDESC:Blood Frenzied (STR +%1, CON +%2, Will +%3, AC -%4, HP %5)|BloodFrenzyStrBonus|BloodFrenzyConBonus|BloodFrenzyMorale|BloodFrenzyACPenalty|(BloodFrenzyConBonus/2)*TL	TEMPBONUS:PC|SAVE|Will|BloodFrenzyMorale	TEMPBONUS:PC|COMBAT|AC|-1*(BloodFrenzyACPenalty)	TEMPBONUS:PC|STAT|CON|BloodFrenzyConBonus	TEMPBONUS:PC|STAT|STR|BloodFrenzyStrBonus	TEMPBONUS:PC|VAR|BloodFrenzyDuration|-(BloodFrenzyConBonus/2)	TEMPBONUS:PC|VAR|BloodFrenzied|1			
Regeneration	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:DISPLAY	DEFINE:RegenerationRate|0	SOURCEPAGE:DMG	ASPECT:NAME|Regeneration %1|RegenerationRate																													
Flurry of Blows	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:FlurryOfBlowsLVL|0	DEFINE:GreaterFlurryOfBlows|0	DEFINE:GreaterFlurryOfBlowsLVL|0	DEFINE:FlurryOfBlowsAttacks|0	DEFINE:FlurryOfBlowsPenalty|0	DEFINE:FlurryOfBlowsPenaltyLVL|0																										
Greater Turn Undead	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack.Supernatural.GreaterTurning.GreaterTurnUndead	VISIBLE:YES	PREALIGN:LG,LN,NG,TN,CG,CN	PREVARNEQ:TurnProhibitedByDeity,1	DEFINE:GreaterTurnTimesUndead|0	DEFINE:GreaterTurnLevelUndead|0	DEFINE:GreaterTurnDiceUndead|0	DEFINE:GreaterTurnDieSizeUndead|0	DEFINE:GreaterTurnDamagePlusUndead|0	DEFINE:GreaterTurnCheckUndead|0	DESC:%1/day (turn level %2) (turn damage %3d%4+%5)|GreaterTurnTimesUndead|GreaterTurnLevelUndead|GreaterTurnDiceUndead|GreaterTurnDieSizeUndead|GreaterTurnDamagePlusUndead	BONUS:VAR|GreaterTurnTimesUndead|GreaterTurnTimesBase	BONUS:VAR|GreaterTurnLevelUndead|GreaterTurnLevelBase	BONUS:VAR|GreaterTurnDiceUndead|GreaterTurnDiceBase	BONUS:VAR|GreaterTurnDieSizeUndead|GreaterTurnDieSizeBase	BONUS:VAR|GreaterTurnDamagePlusUndead|GreaterTurnDamagePlusBase	BONUS:VAR|GreaterTurnCheckUndead|GreaterTurnCheckBase	SOURCESHORT:PHB	ASPECT:TurnType|Greater Turn	ASPECT:TurnKind|Undead	ASPECT:TurnTimes|%1|GreaterTurnTimesUndead	ASPECT:TurnLevel|%1|GreaterTurnLevelUndead	ASPECT:TurnDamage|%1d%2+%3|GreaterTurnDiceUndead|GreaterTurnDieSizeUndead|GreaterTurnDamagePlusUndead	ASPECT:TurnCheck|%1|GreaterTurnCheckUndead	ASPECT:TurnNotes|You destroy Undead creatures with total hit dice up to %1.|GreaterTurnLevelUndead									
Greater Turning	CATEGORY:Special Ability	TYPE:SharedAbility.Turning	VISIBLE:NO	DEFINE:GreaterTurnTimesBase|0	DEFINE:GreaterTurnLevelBase|0	DEFINE:GreaterTurnDiceBase|0	DEFINE:GreaterTurnDieSizeBase|0	DEFINE:GreaterTurnDamagePlusBase|0	DEFINE:GreaterTurnCheckBase|0	BONUS:VAR|GreaterTurnDiceBase|2	BONUS:VAR|GreaterTurnDieSizeBase|6	BONUS:VAR|GreaterTurnDamagePlusBase|CHA	BONUS:VAR|GreaterTurnTimesBase|3+CHA|TYPE=Base	BONUS:VAR|GreaterTurnCheckBase|CHA|TYPE=Base																					
Hide in Plain Sight	CATEGORY:Special Ability	TYPE:SharedAbility	VISIBLE:NO																																
Ki Strike	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Supernatural	VISIBLE:YES	DEFINE:KiStrikeMagic|0	DEFINE:KiStrikeLawful|0	DEFINE:KiStrikeAdamantine|0	ASPECT:Name|Ki Strike (Magic)|PREVARGTEQ:KiStrikeMagic,1|PREVARLTEQ:KiStrikeLawful,0,KiStrikeAdamantine,0	ASPECT:Name|Ki Strike (Lawful)|PREVARGTEQ:KiStrikeLawful,1|PREVARLTEQ:KiStrikeMagic,0,KiStrikeAdamantine,0	ASPECT:Name|Ki Strike (Adamantine)|PREVARGTEQ:KiStrikeAdamantine,1|PREVARLTEQ:KiStrikeLawful,0,KiStrikeMagic,0	ASPECT:Name|Ki Strike (Magic and Lawful)|PREVARGTEQ:KiStrikeMagic,1,KiStrikeLawful,1|PREVARLTEQ:KiStrikeAdamantine,0	ASPECT:Name|Ki Strike (Magic and Adamantine)|PREVARGTEQ:KiStrikeMagic,1,KiStrikeAdamantine,1|PREVARLTEQ:KiStrikeLawful,0	ASPECT:Name|Ki Strike (Lawful and Adamantine)|PREVARGTEQ:KiStrikeLawful,1,KiStrikeAdamantine,1|PREVARLTEQ:KiStrikeMagic,0	ASPECT:Name|Ki Strike (Magic and Lawful and Adamantine)|PREVARGTEQ:KiStrikeMagic,1,KiStrikeLawful,1,KiStrikeAdamantine,1																						
Lay on Hands	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Supernatural	VISIBLE:YES	DEFINE:LayOnHands|0	DEFINE:LayOnHandsLVL|0	DESC:%1 hp/day|LayOnHands|PREVARGTEQ:LayOnHandsLVL,1	DESC:full hp/day|PREVAREQ:LayOnHandsLVL,0																												
Lore	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:Lore|0	ASPECT:NAME|Lore +%1|Lore																														
Precise Strike	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack	DEFINE:PreciseStrikeDieSize|0	DEFINE:PreciseStrikeDice|0	DESC:Your attack strike precisely with a light or one-handed piercing weapon. This extra damage is %1d%2.|PreciseStrikeDice|PreciseStrikeDieSize	BONUS:VAR|PreciseStrikeDieSize|6|TYPE=Base	ASPECT:NAME|Precise Strike +%1d%2|PreciseStrikeDice|PreciseStrikeDieSize																												
Rage	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack.Extraordinary	VISIBLE:YES	DEFINE:RageTimes|0	DEFINE:RageLvl|0	DEFINE:RageDuration|0	DEFINE:RageConBonus|0	DEFINE:RageStrBonus|0	DEFINE:RageACPenalty|0	DEFINE:RageMorale|0	DEFINE:Enraged|0	DEFINE:RageBonus|0	DESC:%1 times/day (%2 rounds)|RageTimes|RageDuration|PREVARGT:RageTimes,0|PREVARLT:GreaterRage,1	DESC:Greater Rage, %1 times/day (%2 rounds)|RageTimes|RageDuration|PREMULT:2,[PREVARGTEQ:GreaterRage,1],[PREVARLT:TirelessRage,1]	DESC:Tireless Rage, %1 times/day without fatigue (%2 rounds)|RageTimes|RageDuration|PREMULT:2,[PREVARGTEQ:TirelessRage,1],[PREVARLT:MightyRage,1]	DESC:Mighty Rage, %1 times/day without fatigue (%2 rounds)|RageTimes|RageDuration|PREVARGTEQ:MightyRage,1	DESC:Bonuses when enraged (STR +%1, CON +%2, Will +%3, AC -%4, HP %5)|RageStrBonus|RageConBonus|RageMorale|RageACPenalty|(RageConBonus/2)*TL	BONUS:VAR|RageBonus|4	BONUS:VAR|RageDuration|CON+3+(RageConBonus/2)	BONUS:VAR|RageConBonus|RageBonus	BONUS:VAR|RageStrBonus|RageBonus	BONUS:VAR|RageACPenalty|2	BONUS:VAR|RageMorale|RageBonus/2	BONUS:VAR|RageBonus|2|PREVARGTEQ:GreaterRage,1	BONUS:VAR|RageBonus|2|PREVARGTEQ:MightyRage,1	TEMPDESC:Enrage (STR +%1, CON +%2, Will +%3, AC -%4, HP %5)|RageStrBonus|RageConBonus|RageMorale|RageACPenalty|(RageConBonus/2)*TL	TEMPBONUS:PC|SAVE|Will|RageMorale	TEMPBONUS:PC|COMBAT|AC|-1*(RageACPenalty)	TEMPBONUS:PC|STAT|CON|RageConBonus	TEMPBONUS:PC|STAT|STR|RageStrBonus	TEMPBONUS:PC|VAR|RageDuration|-(RageConBonus/2)	TEMPBONUS:PC|VAR|Enraged|1			
Scent	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:This special quality allows a creature to detect approaching enemies, sniff out hidden foes, and track by sense of smell. Creatures with the scent ability can identify familiar odors just as humans do familiar sights.
Skill Level	CATEGORY:Special Ability	TYPE:SharedAbility.SkillLevel.SkillLevelBase.SpecialQuality	VISIBLE:YES	DESC:Skill Level %1|SkillLVL	KEY:Skill Level ~ Base	DESC:Apprentice|PREVARLTEQ:SkillLVL,4	DESC:Journeyman|PREMULT:2,[PREVARGTEQ:SkillLVL,5],[PREVARLTEQ:SkillLVL,11]	DESC:Master|PREMULT:2,[PREVARGTEQ:SkillLVL,12],[PREVARLTEQ:SkillLVL,15]	DESC:Grand Master|PREVARGTEQ:SkillLVL,16	DESC:Helpers %1|(SkillLVL-4)|PREVARGTEQ:SkillLVL,5	DEFINE:SkillLVL|0																					SOURCEPAGE:G			
Smite	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack.Smite.Supernatural.AttackOption	VISIBLE:YES	DEFINE:SmiteLVL|0	DEFINE:SmiteToHit|0	DEFINE:SmiteDamage|0	DEFINE:Smite|0	DESC:+%1 with one normal melee attack for +%2 extra damge %3/day|SmiteToHit|SmiteDamage|Smite	SOURCEPAGE:PHB																										
Smite Evil	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack.Smite.Supernatural.AttackOption	VISIBLE:YES	DEFINE:SmiteEvilLVL|0	DEFINE:SmiteEvilToHit|0	DEFINE:SmiteEvilDamage|0	DEFINE:SmiteEvil|0	DESC:+%1 with one normal melee attack for +%2 extra damge %3/day|SmiteEvilToHit|SmiteEvilDamage|SmiteEvil	SOURCEPAGE:PHB																										
Smite Good	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack.Smite.Supernatural.AttackOption	VISIBLE:YES	DEFINE:SmiteGoodLVL|0	DEFINE:SmiteGoodToHit|0	DEFINE:SmiteGoodDamage|0	DEFINE:SmiteGood|0	DESC:+%1 with one normal melee attack for +%2 extra damge %3/day|SmiteGoodToHit|SmiteGoodDamage|SmiteGood	SOURCEPAGE:PHB																										
Sneak Attack	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack	DEFINE:SneakAttackDieSize|0	DEFINE:SneakAttackDice|0	DESC:Your attack deals extra damage any time your target would be denied a Dexterity bonus to AC (whether the target actually has a Dexterity bonus or not), or when the you flank your target. This extra damage is %1d%2.|SneakAttackDice|SneakAttackDieSize	BONUS:VAR|SneakAttackDieSize|6|TYPE=Base	ASPECT:NAME|Sneak Attack +%1d%2|SneakAttackDice|SneakAttackDieSize																												
Spontaneous Casting ~ Cure Spells	CATEGORY:Special Ability	TYPE:SharedAbility.ClassAbility.SpecialQuality	VISIBLE:YES	DESC:A good cleric (or a neutral cleric of a good deity) can channel stored spell energy into healing spells.																															
Spontaneous Casting ~ Inflict Spells	CATEGORY:Special Ability	TYPE:SharedAbility.ClassAbility.SpecialQuality	VISIBLE:YES	DESC:An evil cleric (or a neutral cleric of an evil deity) can channel stored spell energy into healing spells.																															
Spontaneous casting ~ Summon Nature's Ally spells	CATEGORY:Special Ability	TYPE:SharedAbility.ClassAbility.SpecialQuality	VISIBLE:YES	DESC:A Druid can channel stored spell energy into Summon Nature's Ally spells.																															
Trap Sense	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:TrapSenseBonus|0	ASPECT:NAME|Trap Sense +%1|TrapSenseBonus	ASPECT:SaveBonus|+%1 bonus on Reflex saves made to avoid traps and a +%1 dodge bonus to AC against attacks made by traps.|TrapSenseBonus																													
Water Breathing	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES																																
Wild Empathy	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality	DEFINE:WildEmpathyBonus|0	DEFINE:WildEmpathyAnimalBonus|0	DEFINE:WildEmpathyMagicalBeastBonus|0	BONUS:SITUATION|Diplomacy=Wild Empathy (Animals)|WildEmpathyAnimalBonus	BONUS:SITUATION|Diplomacy=Wild Empathy (Magical Beasts)|WildEmpathyMagicalBeastBonus	BONUS:VAR|WildEmpathyAnimalBonus,WildEmpathyMagicalBeastBonus|WildEmpathyBonus	BONUS:VAR|WildEmpathyMagicalBeastBonus|-4	BONUS:VAR|WildEmpathyBonus|CHA	BONUS:VAR|WildEmpathyBonus|SynergyBonus|PRESKILL:1,Handle Animal=5|TYPE=Synergy.STACK	ASPECT:NAME|Wild Empathy +%1|WildEmpathyBonus	ASPECT:SkillBonus|Wild Empathy is +%1 for Animals and +%2 for Magical Beasts|WildEmpathyAnimalBonus|WildEmpathyMagicalBeastBonus																						
Wild Shape	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Supernatural.WildShape	VISIBLE:YES	DEFINE:WildShapeTimes|0	DEFINE:WildShapeElementalTimes|0	DEFINE:WildShapeDuration|0	DEFINE:WildShapeProgression|0	DESC:%1/day for %2 hours|WildShapeTimes|WildShapeDuration|PREVAREQ:WildShapeProgression,1	DESC:%1/day for %2 hours (Large)|WildShapeTimes|WildShapeDuration|PREVAREQ:WildShapeProgression,2	DESC:%1/day for %2 hours (Large, Tiny)|WildShapeTimes|WildShapeDuration|PREVAREQ:WildShapeProgression,3	DESC:%1/day for %2 hours (Large, Tiny, Plant)|WildShapeTimes|WildShapeDuration|PREVAREQ:WildShapeProgression,4	DESC:%1/day for %2 hours (Large, Tiny, Plant, Huge)|WildShapeTimes|WildShapeDuration|PREVAREQ:WildShapeProgression,5	DESC:%1/day for %2 hours (Large, Tiny, Plant, Huge) %3/day for %2 hours (Elemental)|WildShapeTimes|WildShapeDuration|WildShapeElementalTimes|PREVAREQ:WildShapeProgression,6,ImprovedWildShape,0	DESC:%1/day for %2 hours (Large, Tiny, Plant, Huge) %3/day for %2 hours (Huge Elemental)|WildShapeTimes|WildShapeDuration|WildShapeElementalTimes|PREVARGTEQ:WildShapeProgression,7,ImprovedWildShape,0	DESC:%1/day for %2 hours (Large, Tiny, Plant, Huge) %3/day for %2 hours (Tiny to Huge Elemental)|WildShapeTimes|WildShapeDuration|WildShapeElementalTimes|PREVAREQ:WildShapeProgression,6,ImprovedWildShape,1	DESC:%1/day for %2 hours (Large, Tiny, Plant, Huge) %3/day for %2 hours (Tiny to Huge Elemental)|WildShapeTimes|WildShapeDuration|WildShapeElementalTimes|PREVARGTEQ:WildShapeProgression,7,ImprovedWildShape,1																			

# Ability Focus ability pool																																			
#	Breath Weapon|Charming Gaze|Constrict|Corrupting Gaze|Corrupting Touch|Crush|Death Gaze|Draining Touch|Fists|Frightful Moan|Frightful Presence|Gaze|Horrific Appearance|Improved Grab|Keening																																		
#	Malevolence|Paralysis|Paralyzing Touch|Poison|Pounce|Rake|Ray|Roar|Seduction|Soul Portal|Sound Imitation|Stench|Swallow Whole|Tail Sweep|Telekinesis|Trample																																		
###TODO: Ability Focus for Spell-Like Abilities that are Special Attack.																																			
# Basic																																			
Acid	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:MM1	
Acid Spray	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:MM1	
Adhesive	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:MM1	
Aura of Menace	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:DMG	
Aversion	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:MM1	
Babble	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:MM1	
Bay	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:MM1	
Beard	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:MM1	
Black Cloud	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:MM1	
Blinding Beauty	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:MM1	
Bone Meld	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:MM2
Breath Weapon	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:DMG	
Burn	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:MM1	
Captivating Song	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:MM1	
Chain Barrier	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:MM2	
Change Size	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:MM1	
Charisma Drain	CATEGORY:Ability Focus	TYPE:Ability Focus	VISIBLE:YES																															SOURCEPAGE:MM2
