SOURCELONG:Core Ruleset	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																																																																																																																																																																																																																																																																																																					
Augmented Ooze			CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypeAugmentedOoze		TEMPLATE:RaceSubtype ~ Augmented Ooze																																																																																																																																																																																																																																																																																																																
Augmented Outsider		CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypeOutsider			TEMPLATE:RaceSubtype ~ Augmented Outsider																																																																																																																																																																																																																																																																																																																
Augmented Plant			CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypePlant			TEMPLATE:RaceSubtype ~ Augmented Plant																																																																																																																																																																																																																																																																																																															
Augmented Undead			CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypeUndead			TEMPLATE:RaceSubtype ~ Augmented Undead																																																																																																																																																																																																																																																																																																															
Augmented Vermin			CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypeVermin			TEMPLATE:RaceSubtype ~ Augmented Vermin																																																																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																																																																																							
###Block: Uncanny Dodge																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	ABILITY:Special Ability|AUTOMATIC|Uncanny Dodge ~ Base|PREABILITY:1,CATEGORY=Special Ability,TYPE.Uncanny Dodge																																																																																																																																																																																																																																																																																																																						
Uncanny Dodge ~ Base	CATEGORY:Special Ability	TYPE:Internal.ClassFeatures	VISIBLE:NO	DEFINE:UncannyDodgeFlankingLevel|0	DEFINE:UncannyDodgeLVL|0	DEFINE:UncannyDodgeTracker|0	ABILITY:Special Ability|AUTOMATIC|Uncanny Dodge|PREVARGTEQ:UncannyDodgeTracker,1	ABILITY:Special Ability|AUTOMATIC|Improved Uncanny Dodge|PREVARGTEQ:UncannyDodgeTracker,2	BONUS:VAR|UncannyDodgeTracker|count("ABILITIES","CATEGORY=Special Ability","TYPE=Uncanny Dodge")	BONUS:VAR|UncannyDodgeTracker|UncannyDodgeLVL																																																																																																																																																																																																																																																																																																													
Uncanny Dodge	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialQuality.Extraordinary	DESC:Character retains their Dexterity bonus to AC (if any) even if caught flat-footed or struck by an invisible attacker. However, they still loses his Dexterity bonus to AC if immobilized.	ABILITY:Special Ability|AUTOMATIC|Retain Dex to AC ~ Flat-footed																																																																																																																																																																																																																																																																																																																			
Improved Uncanny Dodge	CATEGORY:Special Ability	TYPE:Extraordinary.ImprovedUncannyDodge.ClassFeatures.SpecialQuality	DESC:Character can no longer be flanked; you can react to opponents on opposite sides of you as easily as you can react to a single attacker. This defense denies a rogue the ability to sneak attack the character by flanking him, unless the attacker has at least four more rogue levels than the target has uncanny dodge levels [Rogue Level %1]. If a character already has uncanny dodge from a second class, the character automatically gains improved uncanny dodge instead, and the levels from the classes that grant uncanny dodge stack to determine the minimum level a rogue must be to flank the character.|UncannyDodgeFlankingLevel	BONUS:VAR|UncannyDodgeFlankingLevel|4|TYPE=OnceOnly	ABILITY:Special Ability|AUTOMATIC|Uncanny Dodge ~ Cannot be flanked																																																																																																																																																																																																																																																																																																																		
Retain Dex to AC ~ Flat-footed	CATEGORY:Special Ability	TYPE:Internal.ClassFeatures	VISIBLE:NO	DESC:You retain your Dexterity bonus to AC even when flat-footed.																																																																																																																																																																																																																																																																																																																			
Uncanny Dodge ~ Cannot be flanked	CATEGORY:Special Ability	TYPE:Internal.ClassFeatures	VISIBLE:NO	DESC:Character can no longer be flanked.																																																																																																																																																																																																																																																																																																																			
																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	ABILITY:Special Ability|AUTOMATIC|Evasion ~ Base|PREABILITY:1,CATEGORY=Special Ability,TYPE.Evasion																																																																																																																																																																																																																																																																																																																						
Evasion ~ Base	CATEGORY:Special Ability	TYPE:Internal.ClassFeatures	VISIBLE:NO	DEFINE:EvasionTracker|0	ABILITY:Special Ability|AUTOMATIC|Evasion|PREVARGTEQ:EvasionTracker,1	ABILITY:Special Ability|AUTOMATIC|Improved Evasion|PREVARGTEQ:EvasionTracker,2	BONUS:VAR|EvasionTracker|count("ABILITIES","CATEGORY=Special Ability","TYPE=Evasion")																																																																																																																																																																																																																																																																																																															
Evasion	CATEGORY:Special Ability	TYPE:ClassFeatures.Evasion	VISIBLE:NO																																																																																																																																																																																																																																																																																																																				
Improved Evasion	CATEGORY:Special Ability	TYPE:ClassFeatures.ImprovedEvasion	VISIBLE:NO																																																																																																																																																																																																																																																																																																																				
																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:NegativeLevels|0	ABILITY:Special Ability|AUTOMATIC|Negative Levels|PREVARNEQ:NegativeLevels,0																																																																																																																																																																																																																																																																																																																					
Negative Levels	CATEGORY:Special Ability	TYPE:SharedAbility	VISIBLE:YES	DESC:%1 negative level(s) (-%1 effective level(s) and loses access to %1 spell(s) from the highest spell level castable)|NegativeLevels	BONUS:COMBAT|TOHIT|-1*(NegativeLevels)	BONUS:SAVE|Fortitude,Reflex,Will|-1*(NegativeLevels)	BONUS:SKILL|TYPE=Strength,TYPE=Dexterity,TYPE=Constitution,TYPE=Intelligence,TYPE=Wisdom,TYPE=Charisma|-1*(NegativeLevels)																																																																																																																																																																																																																																																																																																																
																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:TelepathyRange|0	DEFINE:TelepathyRangeMiles|0	ABILITY:Special Ability|AUTOMATIC|Telepathy|!PREMULT:2,[PREVAREQ:TelepathyRange,0],[PREVAREQ:TelepathyRangeMiles,0]																																																																																																																																																																																																																																																																																																																				
Telepathy	CATEGORY:Special Ability	TYPE:SharedAbility	VISIBLE:YES	AUTO:LANG|Telepathy																																																																																																																																																																																																																																																																																																																			
																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	ABILITY:Special Ability|AUTOMATIC|Constrict|PREABILITY:1,CATEGORY=Special Ability,TYPE.Constrict																																																																																																																																																																																																																																																																																																																						
Constrict	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack	VISIBLE:YES					DEFINE:ConstrictDice|0	DEFINE:ConstrictDieSize|0	DEFINE:ConstrictDamage|0		BONUS:VAR|ConstrictDamage|STR*3/2|TYPE=Base						ASPECT:NAME|Constrict %1d%2+%3|ConstrictDice|ConstrictDieSize|ConstrictDamage|PREVARGTEQ:ConstrictDamage,0	ASPECT:NAME|Constrict %1d%2%3|ConstrictDice|ConstrictDieSize|ConstrictDamage|PREVARLT:ConstrictDamage,0																																																																																																																																																																																																																																																																																																				
																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	ABILITY:Special Ability|AUTOMATIC|Trample|PREABILITY:1,CATEGORY=Special Ability,TYPE.Trample																																																																																																																																																																																																																																																																																																																						
Trample	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack	VISIBLE:YES	DESC:Damage %1d%2+%3 (Attack of opportunity or Reflex save DC %4 for halves)|TrampleDice|TrampleDieSize|TrampleDamage|TrampleDC				DEFINE:TrampleDice|0	DEFINE:TrampleDieSize|0	DEFINE:TrampleDamage|0		BONUS:VAR|TrampleDamage|STR*3/2|TYPE=Base						ASPECT:NAME|Trample %1d%2+%3|TrampleDice|TrampleDieSize|TrampleDamage																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	ABILITY:Special Ability|AUTOMATIC|Rend|PREABILITY:1,CATEGORY=Special Ability,TYPE.Rend																																																																																																																																																																																																																																																																																																																						
Rend	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack	VISIBLE:YES	DESC:Damage %1d%2+%3|RendDice|RendDieSize|RendDamage|RendDC				DEFINE:RendDice|0	DEFINE:RendDieSize|0	DEFINE:RendDamage|0		BONUS:VAR|RendDamage|STR*3/2|TYPE=Base						ASPECT:NAME|Rend %1d%2+%3|RendDice|RendDieSize|RendDamage																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	ABILITY:Special Ability|AUTOMATIC|Breath Weapon|PREABILITY:1,CATEGORY=Special Ability,TYPE.Breath Weapon																																																																																																																																																																																																																																																																																																																						
Breath Weapon	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack	VISIBLE:NO																																																																																																																																																																																																																																																																																																																				
																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	ABILITY:Special Ability|AUTOMATIC|Improved Grab|PREABILITY:1,CATEGORY=Special Ability,TYPE.Improved Grab																																																																																																																																																																																																																																																																																																																						
Improved Grab	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack	VISIBLE:NO																																																																																																																																																																																																																																																																																																																				
																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:TurnResistanceBonus|0	ABILITY:Special Ability|AUTOMATIC|Turn Resistance|PREVARGT:TurnResistanceBonus,0																																																																																																																																																																																																																																																																																																																					
Turn Resistance	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	DEFINE:TurnResistanceBonusEHD|0										DESC:+%1 turn. EHD %2|TurnResistanceBonus|TurnResistanceBonusEHD|PREVARGT:TurnResistanceBonus,0	DESC:When resolving a turn, rebuke, command, or bolster attempt, add +%1 number to your Hit Dice total (total %2).|TurnResistanceBonus|TurnResistanceBonusEHD	BONUS:VAR|TurnResistanceBonusEHD|TL+TurnResistanceBonus																SOURCEPAGE:MM1	ASPECT:Ability Bonus|+%1|TurnResistanceBonus																																																																																																																																																																																																																																																																																						
																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:RegenerationRate|0	ABILITY:Special Ability|AUTOMATIC|Regeneration|PREVARGT:RegenerationRate,0																																																																																																																																																																																																																																																																																																																					
Regeneration	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:DISPLAY	SOURCEPAGE:DMG	ASPECT:NAME|Regeneration %1|RegenerationRate																																																																																																																																																																																																																																																																																																																		
																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:FastHealing|0	ABILITY:Special Ability|AUTOMATIC|Fast Healing|PREVARGT:FastHealing,0|!PREABILITY:1,CATEGORY=Special Ability,TYPE.Fast Healing																																																																																																																																																																																																																																																																																																																					
Fast Healing	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:FastHealing|0	SOURCEPAGE:DMG	ASPECT:NAME|Fast Healing %1|FastHealing																																																																																																																																																																																																																																																																																																																	
																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:OvercomeSpellResistanceBonus|0	ABILITY:Special Ability|AUTOMATIC|Overcome Spell Resistance|PREVARGT:OvercomeSpellResistanceBonus,0																																																																																																																																																																																																																																																																																																																					
Overcome Spell Resistance	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality	VISIBLE:YES	DEFINE:OvercomeSpellResistanceBonus|0	SOURCEPAGE:G	ASPECT:NAME|Ovecome Spell Resistance Bonus +%1|OvercomeSpellResistanceBonus																																																																																																																																																																																																																																																																																																																	
																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:ExaltedFeat|0	ABILITY:Special Ability|AUTOMATIC|Aura of Good|PREVARNEQ:ExaltedFeat,0	BONUS:VAR|ExaltedFeat|COUNT[FEATTYPE=Exalted]	BONUS:VAR|AuraGoodLVL|TL|PREVARNEQ:ExaltedFeat,0																																																																																																																																																																																																																																																																																																																			
																																																																																																																																																																																																																																																																																																																							
###Block: automatic creature size (Table 2-4 DMG)																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:ActivateSizeMaster|0	DEFINE:RaceSizeIsLong|0	DEFINE:OverrideReach|0	BONUS:VAR|RaceSizeIsLong|1|PRELEGSGTEQ:4|PREVAREQ:OverrideReach,0																																																																																																																																																																																																																																																																																																																			
CATEGORY=Internal|Default.MOD	ABILITY:Internal|AUTOMATIC|SIZE_MASTER|PREVARGTEQ:ActivateSizeMaster,1																																																																																																																																																																																																																																																																																																																						
SIZE_MASTER	CATEGORY:Internal		VISIBLE:NO	SOURCEPAGE:DMG																																																																																																																																																																																																																																																																																																																			
