SOURCELONG:Manual of the Planes 3.0	SOURCESHORT:MotP30	SOURCEWEB:http://www.gozzilioni.net																																
																																		
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Favored Plane - Water	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusWater	KEY:Favored Plane ~ Water	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusWater|0					BONUS:VAR|FavoredPlaneBonusWater|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusWater|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusWater
Favored Plane - Positive	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusPositive	KEY:Favored Plane ~ Positive	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusPositive|0					BONUS:VAR|FavoredPlaneBonusPositive|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusPositive|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusPositive
Favored Plane - Negative	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusNegative	KEY:Favored Plane ~ Negative	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusNegative|0					BONUS:VAR|FavoredPlaneBonusNegative|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusNegative|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusNegative
Favored Plane - Elysium	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusElysium	KEY:Favored Plane ~ Elysium	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusElysium|0					BONUS:VAR|FavoredPlaneBonusElysium|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusElysium|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusElysium
Favored Plane - Beastlands	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusBeastlands	KEY:Favored Plane ~ Beastlands	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusBeastlands|0					BONUS:VAR|FavoredPlaneBonusBeastlands|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusBeastlands|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusBeastlands
Favored Plane - Arborea	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusArborea	KEY:Favored Plane ~ Arborea	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusArborea|0					BONUS:VAR|FavoredPlaneBonusArborea|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusArborea|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusArborea
Favored Plane - Ysgard	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusYsgard	KEY:Favored Plane ~ Ysgard	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusYsgard|0					BONUS:VAR|FavoredPlaneBonusYsgard|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusYsgard|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusYsgard
Favored Plane - Limbo	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusLimbo	KEY:Favored Plane ~ Limbo	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusLimbo|0					BONUS:VAR|FavoredPlaneBonusLimbo|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusLimbo|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusLimbo
Favored Plane - Pandemonium	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusPandemonium	KEY:Favored Plane ~ Pandemonium	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusPandemonium|0					BONUS:VAR|FavoredPlaneBonusPandemonium|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusPandemonium|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusPandemonium
Favored Plane - Abyss	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusAbyss	KEY:Favored Plane ~ Abyss	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusAbyss|0					BONUS:VAR|FavoredPlaneBonusAbyss|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusAbyss|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusAbyss
Favored Plane - Carceri	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusCarceri	KEY:Favored Plane ~ Carceri	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusCarceri|0					BONUS:VAR|FavoredPlaneBonusCarceri|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusCarceri|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusCarceri
Favored Plane - Hades	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusHades	KEY:Favored Plane ~ Hades	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusHades|0					BONUS:VAR|FavoredPlaneBonusHades|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusHades|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusHades
Favored Plane - Gehenna	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusGehenna	KEY:Favored Plane ~ Gehenna	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusGehenna|0					BONUS:VAR|FavoredPlaneBonusGehenna|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusGehenna|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusGehenna
Favored Plane - Baator	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusBaator	KEY:Favored Plane ~ Baator	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusBaator|0					BONUS:VAR|FavoredPlaneBonusBaator|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusBaator|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusBaator
Favored Plane - Acheron	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusAcheron	KEY:Favored Plane ~ Acheron	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusAcheron|0					BONUS:VAR|FavoredPlaneBonusAcheron|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusAcheron|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusAcheron
Favored Plane - Mechanus	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusMechanus	KEY:Favored Plane ~ Mechanus	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusMechanus|0					BONUS:VAR|FavoredPlaneBonusMechanus|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusMechanus|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusMechanus
Favored Plane - Arcadia	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusArcadia	KEY:Favored Plane ~ Arcadia	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusArcadia|0					BONUS:VAR|FavoredPlaneBonusArcadia|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusArcadia|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusArcadia
Favored Plane - Mount Celestia	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusMountCelestia	KEY:Favored Plane ~ Mount Celestia	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusMountCelestia|0					BONUS:VAR|FavoredPlaneBonusMountCelestia|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusMountCelestia|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusMountCelestia
Favored Plane - Bytopia	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusBytopia	KEY:Favored Plane ~ Bytopia	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusBytopia|0					BONUS:VAR|FavoredPlaneBonusBytopia|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusBytopia|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusBytopia
Favored Plane - Outlands	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusOutlands	KEY:Favored Plane ~ Outlands	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusOutlands|0					BONUS:VAR|FavoredPlaneBonusOutlands|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusOutlands|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusOutlands
Favored Plane - Sigil	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusSigil	KEY:Favored Plane ~ Sigil	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusSigil|0					BONUS:VAR|FavoredPlaneBonusSigil|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusSigil|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusSigil
Favored Plane - Dream	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusDream	KEY:Favored Plane ~ Dream	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusDream|0					BONUS:VAR|FavoredPlaneBonusDream|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusDream|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusDream
Favored Plane - Mirror	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusMirror	KEY:Favored Plane ~ Mirror	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusMirror|0					BONUS:VAR|FavoredPlaneBonusMirror|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusMirror|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusMirror
Favored Plane - Spirit	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusSpirit	KEY:Favored Plane ~ Spirit	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusSpirit|0					BONUS:VAR|FavoredPlaneBonusSpirit|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusSpirit|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusSpirit
Favored Plane - Cold	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusCold	KEY:Favored Plane ~ Cold	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusCold|0					BONUS:VAR|FavoredPlaneBonusCold|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusCold|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusCold
Favored Plane - Wood	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusWood	KEY:Favored Plane ~ Wood	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusWood|0					BONUS:VAR|FavoredPlaneBonusWood|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusWood|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusWood
Favored Plane - Temporal	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusTemporal	KEY:Favored Plane ~ Temporal	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusTemporal|0					BONUS:VAR|FavoredPlaneBonusTemporal|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusTemporal|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusTemporal
Favored Plane - Faerie	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusFaerie	KEY:Favored Plane ~ Faerie	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusFaerie|0					BONUS:VAR|FavoredPlaneBonusFaerie|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusFaerie|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusFaerie
