SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-10											
CLASS:Diabolist	HD:4	TYPE:Prestige	FACT:Abb|Dia	MAXLEVEL:NOLIMIT	SOURCEPAGE:BoVD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:DiabolistLVL|0	BONUS:VAR|DiabolistLVL|CL	BONUS:VAR|ClassBABPoor|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Diabolist	PREALIGN:LE	PRECHECKBASE:1,Will=5	PRESKILL:2,Bluff=3,Intimidate=3	PRESKILL:1,Knowledge (The Planes)=8	PREABILITY:2,CATEGORY=FEAT,Evil Brand,Corrupt Spell	PRESPELLDESCRIPTOR:4,Evil=1	PRETEXT:The character must offer her soul-but not necessarily her loyalty-to the forces of hell in exchange for power. When the diabolist dies (permanently), her soul becomes the possession of a powerful devil. The devil uses the soul as it sees fit.							
CLASS:Diabolist	STARTSKILLPTS:2	CSKILL:Bluff|Concentration|Diplomacy|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Spellcraft|Spot												
1	ADD:SPELLCASTER|ANY													
2	ADD:SPELLCASTER|ANY													
3	ADD:SPELLCASTER|ANY													
4	ADD:SPELLCASTER|ANY													
5	ADD:SPELLCASTER|ANY													
6	ADD:SPELLCASTER|ANY													
7	ADD:SPELLCASTER|ANY													
8	ADD:SPELLCASTER|ANY													
9	ADD:SPELLCASTER|ANY													
10	ADD:SPELLCASTER|ANY													
#														
1				ABILITY:Diabolist Class Feature|AUTOMATIC|Diabolist ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.DiabolistProficiencies										
1				ABILITY:Diabolist Class Feature|AUTOMATIC|Diabolist ~ Spells										
#														
1				ABILITY:Diabolist Class Feature|AUTOMATIC|Diabolist ~ Diabolism|!PREABILITY:1,CATEGORY=ACF,TYPE.DiabolistDiabolism										
2				ABILITY:Diabolist Class Feature|AUTOMATIC|Diabolist ~ Imp Familiar|!PREABILITY:1,CATEGORY=ACF,TYPE.DiabolistImpFamiliar										
8				ABILITY:Diabolist Class Feature|AUTOMATIC|Diabolist ~ Vile Diabolism|!PREABILITY:1,CATEGORY=ACF,TYPE.DiabolistVileDiabolism										
#														
11	PREPCLEVEL:MIN=20													
														
CLASS:Disciple of Asmodeus	HD:6	TYPE:Prestige	FACT:Abb|DoA	MAXLEVEL:NOLIMIT	SOURCEPAGE:BoVD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:DiscipleOfAsmodeusLVL|0	BONUS:VAR|DiscipleOfAsmodeusLVL|CL	BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Disciple of Asmodeus	PREALIGN:LE,NE	PRESKILL:2,Bluff=4,Sense Motive=4	PRESKILL:1,Diplomacy=5	PREABILITY:3,CATEGORY=FEAT,Disciple of Darkness,Evil Brand,Leadership	PRETEXT:The sect of Asmodeus initiates its disciples in a horrific rite that involves the sacrifice of an intelligent being. The sacrifice must be of someone with royal blood or of similar political significance.									
CLASS:Disciple of Asmodeus	STARTSKILLPTS:4	CSKILL:Bluff|Concentration|Decipher Script|Diplomacy|Gather Information|Hide|Intimidate|TYPE.Knowledge|Listen|Search|Sense Motive|Spellcraft|Spot												
1	ADD:SPELLCASTER|ANY													
2	ADD:SPELLCASTER|ANY													
3	ADD:SPELLCASTER|ANY													
4	ADD:SPELLCASTER|ANY													
5	ADD:SPELLCASTER|ANY													
6	ADD:SPELLCASTER|ANY													
7	ADD:SPELLCASTER|ANY													
8	ADD:SPELLCASTER|ANY													
9	ADD:SPELLCASTER|ANY													
10	ADD:SPELLCASTER|ANY													
#														
1				ABILITY:Disciple of Asmodeus Class Feature|AUTOMATIC|Disciple of Asmodeus ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfAsmodeusProficiencies										
1				ABILITY:Disciple of Asmodeus Class Feature|AUTOMATIC|Disciple of Asmodeus ~ Spells										
#														
1				ABILITY:Disciple of Asmodeus Class Feature|AUTOMATIC|Disciple of Asmodeus ~ Charm|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfAsmodeusCharm										
1				ABILITY:Disciple of Asmodeus Class Feature|AUTOMATIC|Disciple of Asmodeus ~ Learn Secret|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfAsmodeusLearnSecret										
2				ABILITY:Disciple of Asmodeus Class Feature|AUTOMATIC|Disciple of Asmodeus ~ Command|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfAsmodeusCommand										
4				ABILITY:Disciple of Asmodeus Class Feature|AUTOMATIC|Disciple of Asmodeus ~ Summon Hellcat|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfAsmodeusSummonHellcat										
6				ABILITY:Disciple of Asmodeus Class Feature|AUTOMATIC|Disciple of Asmodeus ~ Evil Authority|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfAsmodeusEvilAuthority										
8				ABILITY:Disciple of Asmodeus Class Feature|AUTOMATIC|Disciple of Asmodeus ~ Summon Major Devil|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfAsmodeusSummonMajorDevil										
9				ABILITY:Disciple of Asmodeus Class Feature|AUTOMATIC|Disciple of Asmodeus ~ Greater Command|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfAsmodeusGreaterCommand										
10				ABILITY:Disciple of Asmodeus Class Feature|AUTOMATIC|Disciple of Asmodeus ~ Dread Might|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfAsmodeusDreadMight										
#														
11	PREPCLEVEL:MIN=20													
														
CLASS:Disciple of Baalzebul	HD:6	TYPE:Prestige	FACT:Abb|DoB	MAXLEVEL:NOLIMIT	SOURCEPAGE:BoVD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:DiscipleOfBaalzebulLVL|0	BONUS:VAR|DiscipleOfBaalzebulLVL|CL	BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Disciple of Baalzebul	PREALIGN:LE,NE,CE	PRESKILL:1,Bluff=10	PRESKILL:2,Diplomacy=4,Gather Information=4	PREABILITY:1,CATEGORY=FEAT,Disciple of Darkness	PRETEXT:The sect of Baalzebul initiates new disciples in a terrible ritual that involves the sacrifice of an intelligent being. The ritual must take place in the home of the sacrificial victim.									
CLASS:Disciple of Baalzebul	STARTSKILLPTS:6	CSKILL:Appraise|Balance|Climb|Decipher Script|Diplomacy|Disable Device|Disguise|Escape Artist|Gather Information|Hide|Intimidate|Bluff|Jump|Knowledge (Religion)|Listen|Move Silently|Open Lock|Sleight of Hand|TYPE.Profession|Ride|Search|Sense Motive|Spot|Use Magic Device												
1				ABILITY:Disciple of Baalzebul Class Feature|AUTOMATIC|Disciple of Baalzebul ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfBaalzebulProficiencies										
#														
1				ABILITY:Disciple of Baalzebul Class Feature|AUTOMATIC|Disciple of Baalzebul ~ Tongue of the Devil|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfBaalzebulTongueOfTheDevil										
2				ABILITY:Disciple of Baalzebul Class Feature|AUTOMATIC|Disciple of Baalzebul ~ Sneak Attack|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfBaalzebulSneakAttack										
3				ABILITY:Disciple of Baalzebul Class Feature|AUTOMATIC|Disciple of Baalzebul ~ Suggestion|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfBaalzebulSuggestion										
4				ABILITY:Disciple of Baalzebul Class Feature|AUTOMATIC|Disciple of Baalzebul ~ Summon Osyluth|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfBaalzebulSummonOsyluth										
6				ABILITY:Disciple of Baalzebul Class Feature|AUTOMATIC|Disciple of Baalzebul ~ Insect Plague|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfBaalzebulInsectPlague										
7				ABILITY:Disciple of Baalzebul Class Feature|AUTOMATIC|Disciple of Baalzebul ~ Beguiling Nature|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfBaalzebulBeguilingNature										
9				ABILITY:Disciple of Baalzebul Class Feature|AUTOMATIC|Disciple of Baalzebul ~ Summon Cornugon|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfBaalzebulSummonCornugon										
10				ABILITY:Disciple of Baalzebul Class Feature|AUTOMATIC|Disciple of Baalzebul ~ King of Lies|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfBaalzebulKingOfLies										
#														
11	PREPCLEVEL:MIN=20													
														
CLASS:Disciple of Dispater	HD:10	TYPE:Prestige	FACT:Abb|DoD	MAXLEVEL:NOLIMIT	SOURCEPAGE:BoVD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:DiscipleOfDispaterLVL|0	BONUS:VAR|DiscipleOfDispaterLVL|CL	BONUS:VAR|ClassBABGood|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Disciple of Dispater	PREALIGN:LE,NE,CE	PREATT:6	PREABILITY:3,CATEGORY=FEAT,Disciple of Darkness,Combat Expertise,Power Attack	PRETEXT:Dispater's sect initiates new disciples in a terrible ritual that involves the sacrifice of an intelligent being atop an altar made of iron. The ritual must take place in the presence of an erinyes, who reports back to Dispater afterward.										
CLASS:Disciple of Dispater	STARTSKILLPTS:4	CSKILL:Balance|Climb|Disable Device|Disguise|Escape Artist|Hide|Bluff|Intimidate|Jump|Knowledge (Religion)|Listen|Move Silently|TYPE.Profession|Ride|Search|Spot												
1				ABILITY:Disciple of Dispater Class Feature|AUTOMATIC|Disciple of Dispater ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfDispaterProficiencies										
#														
1				ABILITY:Disciple of Dispater Class Feature|AUTOMATIC|Disciple of Dispater ~ Device Lore|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfDispaterDeviceLore										
2				ABILITY:Disciple of Dispater Class Feature|AUTOMATIC|Disciple of Dispater ~ Iron Hews|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfDispaterIronHews										
3				ABILITY:Disciple of Dispater Class Feature|AUTOMATIC|Disciple of Dispater ~ Rusting Grasp|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfDispaterRustingGrasp										
4				ABILITY:Disciple of Dispater Class Feature|AUTOMATIC|Disciple of Dispater ~ Iron Power|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfDispaterIronPower										
5				ABILITY:Disciple of Dispater Class Feature|AUTOMATIC|Disciple of Dispater ~ Summon Erinyes|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfDispaterSummonErinyes										
6				ABILITY:Disciple of Dispater Class Feature|AUTOMATIC|Disciple of Dispater ~ Greater Iron Hews|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfDispaterGreaterIronHews										
7				ABILITY:Disciple of Dispater Class Feature|AUTOMATIC|Disciple of Dispater ~ Ironskin|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfDispaterIronskin										
10				ABILITY:Disciple of Dispater Class Feature|AUTOMATIC|Disciple of Dispater ~ Iron Body|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfDispaterIronBody										
#														
11	PREPCLEVEL:MIN=20													
														
CLASS:Disciple of Mammon	HD:6	TYPE:Prestige	FACT:Abb|DoM	MAXLEVEL:NOLIMIT	SOURCEPAGE:BoVD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:DiscipleOfMammonLVL|0	BONUS:VAR|DiscipleOfMammonLVL|CL	BONUS:VAR|ClassBABGood|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Disciple of Mammon	PREALIGN:LE,NE,CE	PREATT:4	PREABILITY:1,CATEGORY=FEAT,Disciple of Darkness	PRETEXT:The character must go through a disgusting and humiliating sexual ritual and betray her closest friend to an evil end before she can properly serve her new master.										
CLASS:Disciple of Mammon	STARTSKILLPTS:4	CSKILL:Appraise|Balance|Disable Device|Disguise|Escape Artist|Forgery|Hide|Bluff|Intimidate|TYPE.Knowledge|Listen|Move Silently|Open Lock|Sleight of Hand|TYPE.Profession|Search|Spot												
1				ABILITY:Disciple of Mammon Class Feature|AUTOMATIC|Disciple of Mammon ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMammonProficiencies										
#														
1				ABILITY:Disciple of Mammon Class Feature|AUTOMATIC|Disciple of Mammon ~ Lie|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMammonLie										
2				ABILITY:Disciple of Mammon Class Feature|AUTOMATIC|Disciple of Mammon ~ Cheat|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMammonCheat										
3				ABILITY:Disciple of Mammon Class Feature|AUTOMATIC|Disciple of Mammon ~ Thief|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMammonThief										
3				ABILITY:Disciple of Mammon Class Feature|AUTOMATIC|Disciple of Mammon ~ Steal|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMammonSteal										
4				ABILITY:Disciple of Mammon Class Feature|AUTOMATIC|Disciple of Mammon ~ Divert Attack|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMammonDivertAttack										
5				ABILITY:Disciple of Mammon Class Feature|AUTOMATIC|Disciple of Mammon ~ Summon Osyluth|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMammonSummonOsyluth										
6				ABILITY:Disciple of Mammon Class Feature|AUTOMATIC|Disciple of Mammon ~ Take Object|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMammonTakeObject										
7				ABILITY:Disciple of Mammon Class Feature|AUTOMATIC|Disciple of Mammon ~ Enhance Value|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMammonEnhanceValue										
8				ABILITY:Disciple of Mammon Class Feature|AUTOMATIC|Disciple of Mammon ~ Divert Spell|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMammonDivertSpell										
9				ABILITY:Disciple of Mammon Class Feature|AUTOMATIC|Disciple of Mammon ~ Nondetection|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMammonNondetection										
10				ABILITY:Disciple of Mammon Class Feature|AUTOMATIC|Disciple of Mammon ~ Summon Gelugon|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMammonSummonGelugon										
#														
11	PREPCLEVEL:MIN=20													
														
CLASS:Disciple of Mephistopheles	HD:8	TYPE:Prestige	FACT:Abb|DoP	MAXLEVEL:NOLIMIT	SOURCEPAGE:BoVD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:DiscipleOfMephistophelesLVL|0	BONUS:VAR|DiscipleOfMephistophelesLVL|CL	BONUS:VAR|ClassBABGood|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Disciple of Mephistopheles	PREALIGN:LE,NE,CE	PREATT:6	PREABILITY:2,CATEGORY=FEAT,Disciple of Darkness,Evil Brand	PRETEXT:The sect of Mephistopheles welcomes new disciples with a terrible ritual that involves the sacrifice of an intelligent being in magical fire.										
CLASS:Disciple of Mephistopheles	STARTSKILLPTS:4	CSKILL:Balance|Climb|Disable Device|Disguise|Escape Artist|Hide|Intimidate|Bluff|Jump|Knowledge (Religion)|Listen|Move Silently|TYPE.Profession|Ride|Search|Spot												
1				ABILITY:Disciple of Mephistopheles Class Feature|AUTOMATIC|Disciple of Mephistopheles ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMephistophelesProficiencies										
#														
1				ABILITY:Disciple of Mephistopheles Class Feature|AUTOMATIC|Disciple of Mephistopheles ~ Hellfire Grasp|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMephistophelesHellfireGrasp										
1				ABILITY:Disciple of Mephistopheles Class Feature|AUTOMATIC|Disciple of Mephistopheles ~ Fire Adept|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMephistophelesFireAdept										
2				ABILITY:Disciple of Mephistopheles Class Feature|AUTOMATIC|Disciple of Mephistopheles ~ Fire Resistance|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMephistophelesFireResistance										
3				ABILITY:Disciple of Mephistopheles Class Feature|AUTOMATIC|Disciple of Mephistopheles ~ Hellfire Blast|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMephistophelesHellfireBlast										
4				ABILITY:Disciple of Mephistopheles Class Feature|AUTOMATIC|Disciple of Mephistopheles ~ Flare|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMephistophelesFlare										
5				ABILITY:Disciple of Mephistopheles Class Feature|AUTOMATIC|Disciple of Mephistopheles ~ Summon Hamatula|!PREABILITY:1,CATEGORY=ACF,TYPE.DiscipleOfMephistophelesSummonHamatula										
