SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-10																							
																										
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	DESC:	Bonus	Bonus	
Bestow Wound				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:Instantaneous	SAVEINFO:Fort negates.	SPELLRES:Yes	DESC:Create extradimensional bag of torture tools.	SOURCEPAGE:BoVD						DESC:Material Component: A small eye agate worth at least 10 gp.			
Black Bag				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	CLASSES:Assassin=1|Sorcerer=1|Wizard=1	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:A black leather bag.	DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:Transforms a willing subject into a Bodak. Drug:Agony	SOURCEPAGE:BoVD						DESC:Material Component: A strip of black leather soaked in the blood of a willing masochist.			
Bodak Birth				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Cleric=8	COMPS:V, S, F, Drug	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Caster or one creature touched.	DURATION:Instantaneous	SAVEINFO:None (See text)	SPELLRES:No	DESC:Turns a bone into a magic weapon.	SOURCEPAGE:BoVD						DESC:Focus: Figurine of subject, bathed in animal blood. Drug Component: Agony.			
Boneblade				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Blackguard=2|Cleric=3	COMPS:V, S, F, Undead	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One bone that becomes a blade	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Turns a bone into a magic weapon.	SOURCEPAGE:BoVD						DESC:Focus: A 6-inch-long bone.			
Boneblast				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Blackguard=1|Cleric=2	COMPS:V, S, M, Undead	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature that has a skeleton	DURATION:Instantaneous	SAVEINFO:Fort half or Fort negates; (See text)	SPELLRES:Yes	DESC:1d3 CON damage to subject.	SOURCEPAGE:BoVD						DESC:Material Component: The bone of a small child that still lives.			
Call Dretch Horde				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Evil	CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, Soul	CASTTIME:1 minute	RANGE:Close	TARGETAREA:2d4 dretches.	DURATION:One year	SAVEINFO:None	SPELLRES:No	DESC:Summon 2d4 dretches.	SOURCEPAGE:BoVD									
Call Lemure Horde				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Evil	CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, Soul	CASTTIME:1 minute	RANGE:Close	TARGETAREA:3d4 lemures.	DURATION:One year	SAVEINFO:None	SPELLRES:No	DESC:Summon 2d4 lemures.	SOURCEPAGE:BoVD									
Call Nightmare				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Evil	CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, Soul	CASTTIME:1 minute	RANGE:Medium	TARGETAREA:One nightmare	DURATION:One week	SAVEINFO:None	SPELLRES:No	DESC:Summon a Nightmare.	SOURCEPAGE:BoVD									
Charnel Fire				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=5	COMPS:V, S	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:One corpse	DURATION:Instantaneous	SAVEINFO:None (Will negates for Undead)	SPELLRES:No (Yes for Undead)	DESC:Consumes one corpse or undead creature.	SOURCEPAGE:BoVD									
Cheat				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 min/level or until used	SAVEINFO:None	SPELLRES:No	DESC:Caster rerolls when determining the success of a game of chance.	SOURCEPAGE:BoVD						DESC:Focus: A pair of dice made from human bones.			
Circle of Nausea				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Evil	CLASSES:Cleric=3|Druid=2	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:An emanation extending in a 20-ft.-radius around a 2-ft.-radius circle on the ground with the caster in the center	DURATION:1 min/level	SAVEINFO:Fort negates.	SPELLRES:Yes	DESC:Foes are denied all actions or take -2 penalty on attacks, saving throws and skill check.	SOURCEPAGE:BoVD									
Claws of the Bebilith				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Corrupt=5	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains cLawfuls based on her size. Corrupt:1d6 DEX damage.	SOURCEPAGE:BoVD						DESC:Corruption Cost: 1d6 points of Dexterity damage.			
Claws of the Savage				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Blackguard=4|Cleric=4|Druid=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Subject gains claws that deal damage based on size.	SOURCEPAGE:BoVD									
Cloud of the Achaierai				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	CLASSES:Cleric=6	COMPS:V, S, Disease	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:10-ft-radius spread	DURATION:10 min/level	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Cloud deals 2d6 damage plus Confusion. Disease: Soul Rot	SOURCEPAGE:BoVD						DESC:Disease Component: Soul rot.			
Clutch of Orcus				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One humanoid	DURATION:Concentration (See text)	SAVEINFO:Will negates; See text	SPELLRES:No	DESC:Deals 1d3 points of damage each round and paralyzes foe while caster concentrates.	SOURCEPAGE:BoVD									
Consume Likeness				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Corrupt=6	COMPS:V, S, F, Corrupt	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:Caster steals the appearance of a dead person, adding +10 on Disguise checks.	SOURCEPAGE:BoVD						DESC:Focus: A fresh or preserved (still bloody) 1-ounce portion of another creature's flesh. Corruption Cost: 2d6 points of Wisdom drain.			
Cruel Disappointment				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Fear|Mind-Affecting|Evili	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature.	DURATION:Instantaneous	SAVEINFO:Will disbelief (if interacted with) andWill negates; See text	SPELLRES:Yes	DESC:Fools subject for 1 round, then -4 penalty on attacks, saves and checks.	SOURCEPAGE:BoVD									
Crushing Fist of Spite				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Evil|Force	CLASSES:Sorcerer=9|Wizard=9	COMPS:V, S, M, Disease	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:5-ft.-radius cylinder, 30 ft. High	DURATION:1 round/level	SAVEINFO:Reflex half or Reflex negates; See text	SPELLRES:Yes	DESC:Fist deals 1d6/damage/level each round.	SOURCEPAGE:BoVD						DESC:Material Component: A severed hand from a good-aligned humanoid cleric. Disease Component: Festering anger.			
Curse of the Putrid Husk				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Fear|Mind-Affecting|Evili	CLASSES:Bard=3|Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature	DURATION:1 round + 1d10 minutes	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject is unconscious for 1d10 minutes.	SOURCEPAGE:BoVD									
Damning Darkness				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Darkness|Evil	CLASSES:Cleric=4|Sorcerer=4|Wizard=4	COMPS:V, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Object touched	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Darkness deals either 2d6 or 1d6 damage/round.	SOURCEPAGE:BoVD						DESC:Arcane Material Component: A dollop of pitch with a tiny needle hidden inside it.			
Dance of Ruin				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Bard=2|Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 full round	RANGE:Close	TARGETAREA:Spread centered on caster	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Nondemons take 2d20 damage.	SOURCEPAGE:BoVD									
Dancing Chains				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One chain/level within range	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Animates one chain/level.	SOURCEPAGE:BoVD									
Darkbolt				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Darkness|Evil	CLASSES:Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Deals 1d8 damage/2 levels and stuns 1 round.	SOURCEPAGE:BoVD									
Darklight				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Darkness	CLASSES:Assassin=2|Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature or object touched	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Creates 5-ft radius area where all can see without light.	SOURCEPAGE:BoVD									
Death by Thorns				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Death|Evil	CLASSES:Corrupt=7	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Up to three creatures, no two of which can be more than 15 ft. apart	DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Up to three creatures die in 1d4 rounds or are incapacitated, taking 4d6 damage.	SOURCEPAGE:BoVD						DESC:Corruption Cost: 1d3 points of Wisdom drain.			
Death Grimace				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Assassin=1|Blackguard=1|Sorcerer=1|Wizard=1	COMPS:S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One corpse	DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:Caster leaves magical 'calling card' on a corpse.	SOURCEPAGE:BoVD									
Demon Wings				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Blackguard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Caster flies at  his land speed.	SOURCEPAGE:BoVD									
Demoncall				TYPE:Spell	SCHOOL:Divination		DESCRIPTOR:Evil	CLASSES:Blackguard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Caster gains +10 on one Knowledge (The Planes), Knowledge (Arcana) or Knowledge (Religion) checks.	SOURCEPAGE:BoVD							TEMPBONUS:PC|SKILL|Knowledge (Arcana),Knowledge (The Planes),Knowledge (Religion)|10|TYPE=Profane		
Demonflesh				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Blackguard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains +1 natural armor/5 caster levels.	SOURCEPAGE:BoVD									
Despoil				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Cleric=9	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:100-ft/level radius	DURATION:Instantaneous	SAVEINFO:Fortitude partial (plants) or Fortitude negates (other living creatures)	SPELLRES:Yes	DESC:Kills plants, damage objects in 100-ft radius/level.	SOURCEPAGE:BoVD						DESC:Material Component: Corpse of a freshly dead or preserved (still bloody) living creature.			
Devil's Ego				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil		COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains 1d4+1 CHA and become an outsider.	SOURCEPAGE:BoVD									
Devil's Eye				TYPE:Spell	SCHOOL:Divination		DESCRIPTOR:Evil	CLASSES:Blackguard=2|Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Caster can see in even magical darkness, up to 30-ft.	SOURCEPAGE:BoVD									
Devil's Tail				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil		COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Caster fgains a spiked tail that deals 1d4 damage.	SOURCEPAGE:BoVD									
Devil's Tongue				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Corrupt=2	COMPS:S, Corrupt	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Tongue grapples with reach 15-ft.	SOURCEPAGE:BoVD						DESC:Corruption Cost: 1d6 points of Wisdom damage.			
Distort Summon				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:50-ft.-radius spread	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Creates area where only evil creatures can be summoned.	SOURCEPAGE:BoVD									
Distort Weapon				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Blackguard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Weapon confirms critical hits against good foes.	SOURCEPAGE:BoVD									
Dread Word				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Evil	CLASSES:Sorcerer=3|Wizard=3	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature of good alignment	DURATION:Instantaneous	SAVEINFO:Fort negates.	SPELLRES:Yes	DESC:1d3 CON drain on one target.	SOURCEPAGE:BoVD									
Drown				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	CLASSES:Sorcerer=3|Wizard=3	COMPS:V	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One humanoid	DURATION:Instantaneous	SAVEINFO:Fort negates.	SPELLRES:Yes	DESC:Subject begins to drown or takes 2d6 damage.	SOURCEPAGE:BoVD									
Drug Resistance				TYPE:Spell	SCHOOL:Enchantment			CLASSES:Cleric=1|Sorcerer=1|Wizard=1	COMPS:V, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature.	DURATION:1 hour/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Subject is immune to addiction.	SOURCEPAGE:BoVD									
Ectoplasmic Enhancement				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One incorporeal undead/level	DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:Incorporeal undead gain +1 AC, +1d8 hp, +1 on attacks and +2 turn resistance for every 3 levels. 	SOURCEPAGE:BoVD									
Entice Gift				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Mind-Affecting	CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature	DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Creature gives caster what it's holding.	SOURCEPAGE:BoVD									
Eternity of Torture				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature	DURATION:Permanent	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Target is rendered helpless, ageless and has all ability scores except for CON drop to 0.	SOURCEPAGE:BoVD									
Evil Eye				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Evil	CLASSES:Sorcerer=3|Wizard=3	COMPS:S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature	DURATION:Instantaneous; See text	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject takes -4 penalty on attacks, saves and checks.	SOURCEPAGE:BoVD							TEMPBONUS:ANYPC|COMBAT|TOHIT|-4|TYPE=Luck	TEMPBONUS:ANYPC|SAVE|ALL|-4|TYPE=Luck	TEMPBONUS:ANYPC|SKILL|ALL|-4|TYPE=Luck
Evil Weather				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	CLASSES:Corrupt=8	COMPS:V, S, M, XP, Corrupt	CASTTIME:1 hour	RANGE:Personal	TARGETAREA:1-mile/level radius, centered on caster	DURATION:3d6 minutes	SAVEINFO:None	SPELLRES:No	DESC:Caster conjures one type of evil weather.	SOURCEPAGE:BoVD						DESC:To conjure violet rain, the caster must sacrifice 10,000 gp worth of amethysts and spend 200 XP. Other forms of evil weather have no material component or experience point cost. Corruption Cost: 3d6 points of Constitution damage.			
Extract Drug				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Bard=1|Cleric=1|Druid=1|Sorcerer=1|Wizard=1	COMPS:V, S, F	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:One dose of drug	DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:Creates drug from inanimate object.	SOURCEPAGE:BoVD						DESC:Focus: 15 lb. or 1 cubic foot of the material in question.			
Eye of the Beholder				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Caster's eye gains random beholdxer ray.	SOURCEPAGE:BoVD							TEMPBONUS:PC|SKILL|Spot|2|TYPE=Circumstance		
Eye of the Zombie				TYPE:Spell	SCHOOL:Divination		DESCRIPTOR:Evil	CLASSES:Cleric=2|Sorcerer=3|Wizard=3	COMPS:V, S, F	CASTTIME:30 minutes	RANGE:Personal	TARGETAREA:Caster and one zombie	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:Yes	DESC:Caster sees through a zombie's eyes'	SOURCEPAGE:BoVD						DESC:Focus: Zombie eyes and a pint of brackish water.			
False Sending				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Cleric=5|Sorcerer=6|Wizard=6	COMPS:V, S, M/DF	CASTTIME:10 minutes	RANGE:See text	TARGETAREA:One creature	DURATION:1 round; See text	SAVEINFO:Will negates	SPELLRES:Yes	DESC:As Sending, except caster imitates someone else.	SOURCEPAGE:BoVD						DESC:Arcane Material Component: A short piece of corroded copper wire.			
Fangs of the Vampire King				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Corrupt=2	COMPS:S, Corrupt	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains bite attack with +10 bonus that deals 1d6 damage and 1 CON damage. Corrupt:1d6 STR damage.	SOURCEPAGE:BoVD						DESC:Corruption Cost: 1d6 points of Strength damage.			
Fiendish Clarity				TYPE:Spell	SCHOOL:Divination		DESCRIPTOR:Evil	CLASSES:Cleric=7|Sorcerer=7|Wizard=7	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Caster sees in even magical darkness, see invisible up to 60-ft and can detect good.	SOURCEPAGE:BoVD									
Fiendish Quickening				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=6|Sorcerer=6|Wizard=6	COMPS:V, S, Fiend	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:Caster	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Caster's ability to teleport without error is quickened.	SOURCEPAGE:BoVD									
Flesh Armor				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Assassin=4	COMPS:V, S, M, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:10 min/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:Caster gains DR 10/+1 (10/magic)	SOURCEPAGE:BoVD						DESC:Material Component: A bit of flesh torn from the caster's body during the casting (dealing 1 point of damage). Focus: The entire freshly harvested skin of another creature of the caster's size.	TEMPBONUS:PC|DR|Magic|10		
