SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-10																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Insect Plague	CATEGORY:Special Ability	TYPE:ClassFeatures.CancerMageClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 7th level, a cancer mage invokes insect plague once per day as a cleric of his class level.	KEY:Cancer Mage ~ Insect Plague																		SPELLS:Innate|TIMES=1|CASTERLEVEL=CancerMageLVL|Insect Plague								SORTKEY:Class_Cancer_Mage	SOURCEPAGE:BoVD	
Insect Armor	CATEGORY:Special Ability	TYPE:ClassFeatures.CancerMageClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:By allowing insects and worms to crawl over his body, a 7th-level cancer mage gains a +4 natural armor bonus. The cancer mage cannot wear armor heavier than light armor and keep this benefit, however.	KEY:Cancer Mage ~ Insect Armor									BONUS:COMBAT|AC|4|TYPE=NaturalArmor|PREVARLT:ENCUMBERANCE,2,var("COUNT[EQTYPE.ARMOR.IS.HEAVY]"),1																	SORTKEY:Class_Cancer_Mage	SOURCEPAGE:BoVD	
Viral Ally	CATEGORY:Special Ability	TYPE:ClassFeatures.CancerMageClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:In a fashion similar to the viral agent ability, a cancer mage of 8th level or higher can create a viral ally by devoting 3 points of Intelligence to a disease or virus in his system. The cancer mage can then bestow his viral ally upon a humanoid victim using his contagion ability, and the viral ally can communicate telepathically with the cancer mage. The viral ally (and thus the cancer mage) controls its host as surely as with a dominate person spell, although the host gets no separate saving throw to avoid the dominate person effect. The viral ally is a normal disease, however, and the victim can fight it off with successful Fortitude saves or a cure disease spell, either of which kills the viral ally. The cancer mage regains his missing Intelligence points 24 hours later. A cancer mage can create as many viral allies as he is willing to devote Intelligence points toward.	KEY:Cancer Mage ~ Viral Ally																										SORTKEY:Class_Cancer_Mage	SOURCEPAGE:BoVD	
Disease Form	CATEGORY:Special Ability	TYPE:ClassFeatures.CancerMageClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 10th level, a cancer mage gains the ability to tranform into a disease once per day. (This ability also affects up to 100 pounds of gear the cancer mage is carrying, plus tatterdemalion armor, insect armor, and a cancerous companion.) As a disease, the cancer mage is intangible and invisible to standard methods of observation, even blindsight. Creatures with the scent ability note a foulness in the air. The cancer mage cannot move, except with the wind (if any), or within a host. The cancer mage may adopt his disease form as a standard action, attempting to infect a living creature within 100 feet. A potential victim must succeed at a Fortitude save (DC 20) to avoid being infected with the cancer mage. Any creature that comes within 10 feet of a cancer mage in disease form is subject to the saving throw to resist infection as well. Once inside an infected host, the cancer mage deals 1d3 points of Constitution damage per day after a 24-hour incubation period. The victim has no way of knowing that the cancer mage is anything other than a normal illness. The cancer mage travels with the victim, aware of whatever the victim is aware of. A number of times per day equal to the cancer mage's Charisma bonus, the cancer mage can attempt to force the victim to take one round's worth of actions of the cancer mage's choosing; a successful Will save (DC 18 + cancer mage's Wis modifier) allows the victim to resist this. While controlling his victim, the cancer mage has access to all skills, feats, spells, and special abilities of the host, plus any of his own that he can use in his disembodied state. The cancer mage can leave his host at any time, allowing the victim to recover normally. The victim can also attempt to force the cancer mage out by making Fortitude saves as if the cancer mage were a normal disease. Heal checks help the victim as they would normally. A cure disease spell kills the cancer mage if he fails a Fortitude save (calculating the save DC as for spells of the same level). Even if the cancer mage succeeds at the saving throw, he is forced to reassume his material form adjacent to the victim. A cancer mage can remain in disease form as long as he desires, or he can return to his natural form and be done with the disease form for that day. While in disease form, the cancer mage does not need to eat, sleep, or drink, and he does not age. A cancer mage could remain dormant in a room for a hundred years, then take his material form or infect a new victim.	KEY:Cancer Mage ~ Disease Form																										SORTKEY:Class_Cancer_Mage	SOURCEPAGE:BoVD	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DemonologistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Demonologists are proficient with no weapons, armor, or shields.	KEY:Demonologist ~ Weapon and Armor Proficiency																										SORTKEY:Class_Demonologist	SOURCEPAGE:BoVD	
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.DemonologistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Beginning at 1st level, a demonologist gains the ability to cast a small number of arcane spells. To cast a spell, the demonologist must have a Charisma score of at least 10 + the spell's level, so a demonologist with a Charisma of 10 or lower cannot cast these spells. Demonologist bonus spells are based on Charisma, and saving throws against these spells have a DC of 10 + spell level + Charisma modifier. The demonologist's spell list appears below; a demonologist has access to any spell on the list and need not prepare those spells ahead of time, just like a sorcerer. A demonologist casts spells just as a sorcerer does.	KEY:Demonologist ~ Spells				DEFINE:Caster_Level_Demonologist|0	DEFINE:Caster_Level_BL_Demonologist|0				BONUS:CASTERLEVEL|Demonologist|Caster_Level_Demonologist	BONUS:VAR|Caster_Level_Demonologist|DemonologistLVL+Caster_Level_Bonus	BONUS:VAR|Caster_Level_BL_Demonologist|charbonusto(PCLEVEL","Demonologist")	BONUS:VAR|Caster_Level_Highest__Arcane|Caster_Level_Demonologist+Caster_Level_BL_Demonologist|TYPE=Base														SORTKEY:Class_Demonologist	SOURCEPAGE:BoVD	
Charm Demon	CATEGORY:Special Ability	TYPE:ClassFeatures.DemonologistClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A 1st-level demonologist can attempt to charm a chaotic evil outsider, as described in the charm person spell, once per day. The demon does not get to use its spell resistance, though it can make a saving throw as normal (DC 11 + demonologist's Cha modifier).	KEY:Demonologist ~ Charm Demon																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DemonologistLVL|Charm Person,11+CHA								SORTKEY:Class_Demonologist	SOURCEPAGE:BoVD	
Quasit Familiar	CATEGORY:Special Ability	TYPE:ClassFeatures.DemonologistClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A 2nd-level demonologist gains a quasit as a familiar, whether he wants it or not. If the demonologist already has a familiar, the quasit devours it and takes its place, but the character suffers no experience point loss. The quasit is treated as a normal familiar, using the class level of the demonologist as the master's level (see the Familiars section in Chapter 3 of the Player's Handbook for familiar abilities).	KEY:Demonologist ~ Quasit Familiar				DEFINE:DemonologistQuasitFamiliarLVL|0					BONUS:VAR|DemonologistQuasitFamiliarLVL|1|TYPE=Base																	SORTKEY:Class_Demonologist	SOURCEPAGE:BoVD	
Summoning Mastery	CATEGORY:Special Ability	TYPE:ClassFeatures.DemonologistClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:When a demonologist of 3rd level or higher casts a summon monster spell, it is treated as the equivalent spell of two levels higher for purposes of summoning chaotic evil creatures. For example, a demonologist refers to the summon monster IV list for chaotic evil outsiders when casting summon monster II. At 6th level, the demonologist refers to the summoning list three levels higher than the one for the summon monster spell he is casting. At 9th level, the demonologist refers to the list four levels higher.	KEY:Demonologist ~ Summoning Mastery																										SORTKEY:Class_Demonologist	SOURCEPAGE:BoVD	
Resistances	CATEGORY:Special Ability	TYPE:ClassFeatures.DemonologistClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A demonologist who reaches 4th level gains acid resistance 10, cold resistance 10, fire resistance 10, and electricity resistance 20.	KEY:Demonologist ~ Resistances									BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus,FireResistanceBonus,ElectricityResistanceBonus|10|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Resistance to Acid|Resistance to Cold|Resistance to Fire|Resistance to Electricity								SORTKEY:Class_Demonologist	SOURCEPAGE:BoVD	
Poison Immunity	CATEGORY:Special Ability	TYPE:ClassFeatures.DemonologistClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A 5thlevel demonologist is immune to poison.	KEY:Demonologist ~ Poison Immunity																		ABILITY:Special Ability|AUTOMATIC|Immunity to Poison								SORTKEY:Class_Demonologist	SOURCEPAGE:BoVD	
Hold Person	CATEGORY:Special Ability	TYPE:ClassFeatures.DemonologistClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A 7th-level demonologist can attempt to hold a chaotic evil outsider, as described in the hold person spell, once per day. The demon does not get to use its spell resistance, though it can make a saving throw as normal (DC 12 + demonologist's Cha modifier).	KEY:Demonologist ~ Hold Demon																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DemonologistLVL|Charm Person,12+CHA								SORTKEY:Class_Demonologist	SOURCEPAGE:BoVD	
Telepathy	CATEGORY:Special Ability	TYPE:ClassFeatures.DemonologistClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An 8th-level demonologist can communicate telepathically with any creature within 100 feet that has a language, just as a tanar'ri can.	KEY:Demonologist ~ Telepathy									BONUS:VAR|TelepathyRange|100|TYPE=Base																	SORTKEY:Class_Demonologist	SOURCEPAGE:BoVD	
Dominate Demon	CATEGORY:Special Ability	TYPE:ClassFeatures.DemonologistClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A 10th-level demonologist can attempt to dominate a chaotic evil outsider, as described in the dominate person spell, once per day. The demon does not get its spell resistance, but it can make a saving throw as normal (DC 15 + demonologist's Cha modifier).	KEY:Demonologist ~ Dominate Demon																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DemonologistLVL|Dominate Person,15+CHA								SORTKEY:Class_Demonologist	SOURCEPAGE:BoVD	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DiabolistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Diabolists are proficient with no weapons, armor, or shields.	KEY:Diabolist ~ Weapon and Armor Proficiency																										SORTKEY:Class_Diabolist	SOURCEPAGE:BoVD	
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.DiabolistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:class. She does not, however, gain any other benefit a character of that class would have gained (improved chance of controlling or rebuking undead, metamagic or item creation feats, hit points beyond those received from the prestige class, and so on), except for an increased effective level of spellcasting. This essentially means that she adds the new level of diabolist to the level of whatever other spellcasting class the character has, then determines spells per day, spells known, and caster level accordingly. For example, if LadyMandrake, a 9th-level sorcerer, gains a level in diabolist, she gains new spells as if she had risen to 10th level in sorcerer, but uses the other diabolist aspects of level progression such as base attack bonus and save bonuses. If she next gains a level of sorcerer, making her a 10th-level sorcerer/1st-level diabolist, she gains spells as if she had risen to 11th level as a sorcerer. If a character had more than one spellcasting class before she became a diabolist, she must decide to which class she adds the level of diabolist.	KEY:Diabolist ~ Spells																										SORTKEY:Class_Diabolist	SOURCEPAGE:BoVD	
Diabolism	CATEGORY:Special Ability	TYPE:ClassFeatures.DiabolistClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A diabolist can choose to grant one of her spells greater magical power once per day plus one additional time for every three class levels. Any spell the diabolist casts that affects a target or area (one that does not include herself ) gains the evil descriptor and deals +1d6 points of unholy damage to any good character affected by the spell. For example, a fireball cast by a 6th-level wizard/1st-level diabolist deals 7d6 points of fire damage and 1d6 points of unholy damage. A hold person spell cast by the same diabolist holds a humanoid target motionless and deals 1d6 points of unholy damage if the target is good. At 5th level, the unholy damage increases to +2d6 points. At 10th level, the unholy damage increases to +3d6 points.	KEY:Diabolist ~ Diabolism																		AUTO:LANG|Auran								SORTKEY:Class_Diabolist	SOURCEPAGE:BoVD	
Imp Familiar	CATEGORY:Special Ability	TYPE:ClassFeatures.DiabolistClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A 2nd-level diabolist gains an imp as a familiar, whether she wants it or not. If the diabolist already has a familiar, the imp devours it and takes its place. The imp is treated as a normal familiar, using the class level of the diabolist as the wizard's level (see the Familiars section in Chapter 3 of the Player's Handbook for familiar abilities).	KEY:Diabolist ~ Imp Familiar				DEFINE:DiabolistImpFamiliarLVL|0					BONUS:VAR|DiabolistImpFamiliarLVL|1|TYPE=Base																	SORTKEY:Class_Diabolist	SOURCEPAGE:BoVD	
Vile Diabolism	CATEGORY:Special Ability	TYPE:ClassFeatures.DiabolistClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An 8th-level diabolist can use her diabolism power to deal half the normal amount of extra unholy damage as vile damage (see Chapter 2 for an explanation of vile damage). For example, a fireball cast by a 6th-level wizard/8th-level diabolist deals 10d6 points of fire damage and 2d6 points of unholy damage. If the diabolist then rolls a 7 for the 2d6 points of unholy damage, she can (if she chooses) convert the unholy damage into 3 points of vile damage Instead.	KEY:Diabolist ~ Vile Diabolism																										SORTKEY:Class_Diabolist	SOURCEPAGE:BoVD	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAsmodeusClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Disciples of Asmodeus are proficient with no weapons, armor, or shields.	KEY:Disciple of Asmodeus ~ Weapon and Armor Proficiency																										SORTKEY:Class_Disciple_Of_Asmodeus	SOURCEPAGE:BoVD	
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAsmodeusClassFeatures.SpecialQuality	VISIBLE:YES	DESC:When a disciple of Asmodeus attains 1st level, and at every other level after that, the character gains new spells per day as if he had also gained a level in whatever spellcasting class he belonged to before he added the prestige class. He does not, however, gain any other benefit a character of that class would have gained (improved chance of controlling or rebuking undead, metamagic or item creation feats, hit points beyond those received from the prestige class, and so on), except for an increased effective level of spellcasting. This essentially means that he adds the new level of disciple of Asmodeus to the level of whatever other spellcasting class the character has, then determines spells per day, spells known, and caster level accordingly. For example, if Ulthanc, an 8th-level wizard, gains a level in disciple of Asmodeus, he gains new spells as if he had risen to 9th level in wizard, but uses the other disciple of Asmodeus aspects of level progression such as base attack bonus and save bonus. If he next gains a level of wizard, making him a 9th-level wizard/1st-level disciple of Asmodeus, he gains spells as if he had risen to 10th level as a wizard. If a character had more than one spellcasting class before he became a disciple of Asmodeus, he must decide to which class he adds the level of disciple of Asmodeus.	KEY:Disciple of Asmodeus ~ Spells																										SORTKEY:Class_Disciple_Of_Asmodeus	SOURCEPAGE:BoVD	
Charm	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAsmodeusClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, a disciple of Asmodeus can produce an effect identical to that of a charm person spell cast by a spellcaster of his effective caster level.	KEY:Disciple of Asmodeus ~ Charm																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DiscipleOfAsmodeusLVL|Charm Person,11+CHA								SORTKEY:Class_Disciple_Of_Asmodeus	SOURCEPAGE:BoVD	
Learn Secret	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAsmodeusClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Through trickery, deceit, and sometimes even intimidation, a disciple of Asmodeus can learn secrets otherwise unattainable. At 1st level, the disciple can make a Gather Information check once per week with a +10 competency bonus. For every two levels beyond 1st level, the disciple of Asmodeus can use this ability one more time per week (twice at 3rd level, three times at 5th level, and so on) until 9th level, when the disciple of Asmodeus can use the ability once per day.	KEY:Disciple of Asmodeus ~ Learn Secret	DESC:%1/week.|LearnSecretTimes|PREVARLTEQ:DiscipleOfAsmodeusLVL,9	DESC:1/day.		DEFINE:LearnSecretTimes|0					BONUS:VAR|LearnSecretTimes|(((DiscipleOfAsmodeusLVL+3)/4))																	SORTKEY:Class_Disciple_Of_Asmodeus	SOURCEPAGE:BoVD	
Command	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAsmodeusClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, a 2nd-level disciple of Asmodeus can produce an effect identical to that of a command spell cast by a spellcaster of his effective caster level.	KEY:Disciple of Asmodeus ~ Command																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DiscipleOfAsmodeusLVL|Command,11+CHA								SORTKEY:Class_Disciple_Of_Asmodeus	SOURCEPAGE:BoVD	
Summon Hellcat	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAsmodeusClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A 4th-level disciple of Asmodeus can summon 1 hellcat once per day. This functions as a summon monster spell cast by a spellcaster of his effective caster level. A 9th-level disciple of Asmodeus gains the ability to summon 1d4 hellcats once per day.	KEY:Disciple of Asmodeus ~ Summon Hellcat																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DiscipleOfAsmodeusLVL|Disciple of Asmodeus ~ Summon Monster I|PREVARLTEQ:DiscipleOfAsmodeusLVL,8	SPELLS:Innate|TIMES=1|CASTERLEVEL=DiscipleOfAsmodeusLVL|Disciple of Asmodeus ~ Summon Monster V|PREVARGTEQ:DiscipleOfAsmodeusLVL,9							SORTKEY:Class_Disciple_Of_Asmodeus	SOURCEPAGE:BoVD	
Evil Authority	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAsmodeusClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, at the command of a disciple of Asmodeus of 6th level or higher, all evil-aligned creatures within 50 feet that have fewer Hit Dice than the disciple must succeed at a Will saving throw (DC 10 + disciple'sclass level + disciple's Cha bonus) or recognize the disciple as their superior. Affected creatures do not attack the disciple of Asmodeus and do as he commands as though affected by a mass suggestion spell. This mind-affecting ability lasts for 24 hours.	KEY:Disciple of Asmodeus ~ Evil Authority	DESC:Will DC %1.|EvilAuthorityDC			DEFINE:EvilAuthorityDC|0					BONUS:VAR|EvilAutorityDC|DefaultSpellDCCha+DiscipleOfAsmodeusLVL	BONUS:VAR|EvilAutorityDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Evil Authority)								ABILITY:Ability Focus|AUTOMATIC|Evil Authority								SORTKEY:Class_Disciple_Of_Asmodeus	SOURCEPAGE:BoVD	
Summon Major Devil	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAsmodeusClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Once per week, a 8th-level disciple of Asmodeus can produce an effect identical to that of a greater planar ally spell to call a devil and work out a bargain for aid.	KEY:Disciple of Asmodeus ~ Summon Major Devil																										SORTKEY:Class_Disciple_Of_Asmodeus	SOURCEPAGE:BoVD	
Greater Command	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAsmodeusClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, a 9th-level disciple of Asmodeus can produce an effect identical to that of a greater command spell cast by a spellcaster of his effective caster level.	KEY:Disciple of Asmodeus ~ Greater Command																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DiscipleOfAsmodeusLVL|Command (Greater),15+CHA								SORTKEY:Class_Disciple_Of_Asmodeus	SOURCEPAGE:BoVD	
Dread Might	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfAsmodeusClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Drawing some of Asmodeus's power into himself, the disciple gains a permanent +2 divine bonus to Armor Class and on saving throws and attack rolls.	KEY:Disciple of Asmodeus ~ Dread Might									BONUS:COMBAT|AC|2|TYPE=Divine	BONUS:SAVE|ALL|2|TYPE=Divine	BONUS:COMBAT|TOHIT|2|TYPE=Divine															SORTKEY:Class_Disciple_Of_Asmodeus	SOURCEPAGE:BoVD	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfBaalzebulClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Disciples of Baalzebul are proficient with all simple and martial weapons, all light armors, but no shields.	KEY:Disciple of Baalzebul ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Disciple_Of_Baalzebul	SOURCEPAGE:BoVD	
Tongue of the Devil	CATEGORY:Special Ability	TYPE:ClassFeatures.DiscipleOfBaalzebulClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A disciple of Baalzebul can speak with eloquence and believability, even when telling boldfaced lies, by using her cunning as well as her charm. When making Bluff checks, a disciple of Baalzebul adds her Intelligence modifier as well as her Charisma modifier to determine her check result.	KEY:Disciple of Baalzebul ~ Tongue of the Devil									BONUS:SKILL|Bluff|INT																	SORTKEY:Class_Disciple_Of_Baalzebul	SOURCEPAGE:BoVD	
