SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-10																						
Disease Damage (Faceless Hate/Con Damage)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=6|TITLE=Constitution Damage		TEMPDESC:Infection DC 20 (Inury), Incubation 1d4 days, Damage 1d6 Str and 1d6 Con. Successful saves do not allow the character to recover. Only magical healing can save the character. The victim must makes three successful Fortitude saving throws to recover.	TEMPBONUS:ANYPC|STAT|CON|-1*(%CHOICE)																		
Disease Damage (Festering Hate/Constitution Damage)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=3|TITLE=Constitution Damage		TEMPDESC:Infection DC 22 (Special), Incubation varies. Successful saves do not allow the character to recover. Only magical healing can save the character. 	TEMPBONUS:ANYPC|STAT|CON|-1*(%CHOICE)																		
Disease Damage (Festering Hate/Strength Enhancement)		VISIBLE:NO	SOURCEPAGE:BoVD			TEMPDESC:Infection DC 22 (Special), Incubation varies. Successful saves do not allow the character to recover. Only magical healing can save the character. 	TEMPBONUS:ANYPC|STAT|STR|2|TYPE=Enhancement.STACK																		
Disease Damage (Fire Taint)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=6|TITLE=Wisdom Damage		TEMPDESC:Infection DC 20 (Injury), Incubation 1d4 days, Damage 1d6 Str and 1d6 Con. When damaged, character must succeed at another saving throw or 1 point of temporary damage is permanent drain instead.	TEMPBONUS:ANYPC|STAT|WIS|-1*(%CHOICE)																		
Disease Damage (Frigid Ravaging)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=6|TITLE=Constitution Damage		TEMPDESC:Infection DC 18 (Inhaled), Incubation 1 day, Damage 1d6 Con. When damaged, character must succeed at another saving throw or 1 point of temporary damage is permanent drain instead.	TEMPBONUS:ANYPC|STAT|CON|-1*(%CHOICE)																		
Disease Damage (Iron Corruption)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=4|TITLE=Constitution Damage		TEMPDESC:Infection DC 18 (Injury), Incubation 1d3 days, Damage 1d4 Con.	TEMPBONUS:ANYPC|STAT|CON|-1*(%CHOICE)																		
Disease Damage (Life Blindness)		VISIBLE:NO	SOURCEPAGE:BoVD			TEMPDESC:Infection DC 21 (Inhaled), Incubation 1 day, Damage special.																			
Disease Damage (Lightning Curse)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=6|TITLE=Intelligence Damage		TEMPDESC:Infection DC 18 (Contact), Incubation 1 day, Damage 1d6 Int. When damaged, character must succeed at another saving throw or 1 point of temporary damage is permanent drain instead.	TEMPBONUS:ANYPC|STAT|INT|-1*(%CHOICE)																		
Disease Damage (Melting Fury/Strength Damage)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=4|TITLE=Strength Damage		TEMPDESC:Infection DC 16 (Contact), Incubation 1d6 days, Damage 1d4 Str, 1d4 Dex and 1d4 Con.	TEMPBONUS:ANYPC|STAT|STR|-1*(%CHOICE)																		
Disease Damage (Melting Fury/Dexterity Damage)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=4|TITLE=Dexterity Damage		TEMPDESC:Infection DC 16 (Contact), Incubation 1d6 days, Damage 1d4 Str, 1d4 Dex and 1d4 Con.	TEMPBONUS:ANYPC|STAT|DEX|-1*(%CHOICE)																		
Disease Damage (Melting Fury/Constitution Damage)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=4|TITLE=Constitution Damage		TEMPDESC:Infection DC 16 (Contact), Incubation 1d6 days, Damage 1d4 Str, 1d4 Dex and 1d4 Con.	TEMPBONUS:ANYPC|STAT|CON|-1*(%CHOICE)																		
Disease Damage (Misery's Passage)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=6|TITLE=Strength Damage		TEMPDESC:Infection DC 15 (Injury), Incubation varies, Damage 1d6 Str. The victim must makes three successful Fortitude saving throws to recover.	TEMPBONUS:ANYPC|STAT|STR|-1*(%CHOICE)																		
Disease Damage (Possession Infection/Wisdom Damage)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=6|TITLE=Wisdom Damage		TEMPDESC:Infection DC 17 (Contact), Incubation 1 day, Damage 1d6 Wis and 1d6 Cha.	TEMPBONUS:ANYPC|STAT|WIS|-1*(%CHOICE)																		
Disease Damage (Possession Infection/Charisma Damage)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=6|TITLE=Charisma Damage		TEMPDESC:Infection DC 17 (Contact), Incubation 1 day, Damage 1d6 Wis and 1d6 Cha.	TEMPBONUS:ANYPC|STAT|CHA|-1*(%CHOICE)																		
Disease Damage (Sound Sickness)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=6|TITLE=Dexterity Damage		TEMPDESC:Infection DC 18 (Contact), Incubation 1d3 days, Damage 1d6 Dex. When damaged, character must succeed at another saving throw or 1 point of temporary damage is permanent drain instead. With each failed saving throw, a second saving throw must be made. If at any time the second save fails, the victim becomes permanently deafened.	TEMPBONUS:ANYPC|STAT|DEX|-1*(%CHOICE)																		
Disease Damage (Soul Rot/Wisdom Damage)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=6|TITLE=Wisdom Damage		TEMPDESC:Infection DC 23 (Special), Incubation 1d8 days, Damage 1d6 Wis and 1d6 Cha.	TEMPBONUS:ANYPC|STAT|WIS|-1*(%CHOICE)																		
Disease Damage (Soul Rot/Charisma Damage)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=6|TITLE=Charisma Damage		TEMPDESC:Infection DC 23 (Special), Incubation 1d8 days, Damage 1d6 Wis and 1d6 Cha.	TEMPBONUS:ANYPC|STAT|CHA|-1*(%CHOICE)																		
Disease Damage (Vile Rigidity)		VISIBLE:NO	SOURCEPAGE:BoVD			TEMPDESC:Infection DC 19 (Contact), Incubation 1 day, Damage special.																			
Disease Damage (Warp Touch)		VISIBLE:NO	SOURCEPAGE:BoVD			TEMPDESC:Infection DC 20 (Contact), Incubation immediate, Damage special.																			
																									
###Block: Class 																									
Vermin Lord ~ Bite	VISIBLE:NO	SOURCEPAGE:BoVD	TEMPLATE:CHOOSE:Vermin Lord ~ Bite ~ 1|Vermin Lord ~ Bite ~ 2																						
Vermin Lord ~ Bite ~ 1	VISIBLE:NO	SOURCEPAGE:BoVD	PREMULT:2,[PREVARGTEQ:VerminLordLVL,2],[PREVARLTEQ:VerminLordLVL,7]	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6																					
Vermin Lord ~ Bite ~ 2	VISIBLE:NO	SOURCEPAGE:BoVD	PREVARGTEQ:VerminLordLVL,8	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6,SPROP=Poison																					
																									
###Block: Templates																									
Bone Creature		VISIBLE:YES	SOURCEPAGE:BoVD	!PRERACE:1,RACETYPE=Undead	!PRERACE:1,RACESUBTYPE=Incorporeal		RACETYPE:Undead	HITDIE:12	BONUS:COMBAT|AC|max(0,SIZE-2)|TYPE=NaturalArmor.REPLACE	BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE|PRESIZEGTEQ:G	BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE|PRESIZEGTEQ:C	TEMPLATE:CHOOSE:Claw (Fine)|Claw (Diminutive)|Claw (Tiny)|Claw (Small)|Claw (Medium)|Claw (Large)|Claw (Huge)|Claw (Gargantuan)|Claw (Colossal)	BONUS:VAR|DarkvisionRange|60|TYPE=Base	ABILITY:Special Ability|AUTOMATIC|Immunity To Cold	ABILITY:Special Ability|AUTOMATIC|Bone Creature ~ Flight|PREMOVE:1,Fly=1	DR:5/Bludgeoning	BONUS:STAT|DEX|4	ABILITY:FEAT|AUTOMATIC|Weapon Finesse	BONUS:MISC|CR|1	LEVELADJUSTMENT:2				
Corpse		VISIBLE:YES	SOURCEPAGE:BoVD	!PRERACE:1,RACETYPE=Undead,RACETYPE=Construct,RACETYPE=Plant	!PRERACE:1,RACESUBTYPE=Incorporeal	RACETYPE:Undead	HITDIE:12	BONUS:VAR|Maneuverability|-5	BONUS:COMBAT|AC|max(0,SIZE-2)|TYPE=NaturalArmor.REPLACE	BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE|PRESIZEGTEQ:G	BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE|PRESIZEGTEQ:C	TEMPLATE:CHOOSE:Claw (Fine)|Claw (Diminutive)|Claw (Tiny)|Claw (Small)|Claw (Medium)|Claw (Large)|Claw (Huge)|Claw (Gargantuan)|Claw (Colossal)	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:STAT|STR|4	BONUS:STAT|DEX|-2	BONUS:MISC|CR|1	LEVELADJUSTMENT:2	KIT:1|LE|NE|CE						
Corrupted Creature	OUTPUTNAME:Corrupted	VISIBLE:YES	SOURCEPAGE:BoVD	!PRERACE:1,RACETYPE=Outsider	!PRERACE:1,RACESUBTYPE=Incorporeal	RACETYPE:Aberration	BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE	BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE|PRESIZEGTEQ:H	BONUS:WEAPONPROF=TYPE.Natural|DAMAGESIZE|1	HD:4-7:DR:5/Magic or Good	HD:8-11:DR:5/Good	HD:12+:DR:10/Good	ABILITY:Special Ability|AUTOMATIC|Corrupted Creature ~ Disruptive Attack|Corrupted Creature ~ Enhanced Power	BONUS:VAR|FastHealing|min(HD/2,10)|TYPE=Base	BONUS:STAT|STR|4	BONUS:STAT|DEX|-2	BONUS:STAT|CON|4	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-2	HD:1-3:CR:1	HD:4-7:CR:2	HD:8+:CR:3	LEVELADJUSTMENT:4	KIT:1|LE|NE|CE
