SOURCELONG:Monster Manual	SOURCESHORT:MM1	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07
																																			
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page			
Corrupting Gaze	CATEGORY:Special Ability	TYPE:GhostRaceTrait.GhostSpecialAttack.SpecialAttack.Supernatural.Gaze	VISIBLE:YES	DESC:A ghost can blast living beings with a glance, at a range of up to 30 feet. Creatures that meet the ghost's gaze must succeed on a Fortitude save DC %1 or take 2d10 points of damage and 1d4 points of Charisma damage.|CorruptingGazeDC	KEY:Ghost ~ Corrupting Gaze				DEFINE:CorruptingGazeDC|0					BONUS:VAR|CorruptingGazeDC|GhostAbilityDC	BONUS:VAR|CorruptingGazeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Corrupting Gaze)								ABILITY:Ability Focus|AUTOMATIC|Corrupting Gaze									SOURCEPAGE:MM1			
Corrupting Touch	CATEGORY:Special Ability	TYPE:GhostRaceTrait.GhostSpecialAttack.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A ghost that hits a living target with its incorporeal touch attack deals 1d6 points of damage. Against ethereal opponents, it adds its Strength modifier to attack and damage rolls. Against nonethereal opponents, it adds its Dexterity modifier to attack rolls only.	KEY:Ghost ~ Corrupting Touch																											SOURCEPAGE:MM1			
Draining Touch	CATEGORY:Special Ability	TYPE:GhostRaceTrait.GhostSpecialAttack.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A ghost that hits a living target with its incorporeal touch attack drains 1d4 points from any one ability score it selects. On each such successful attack, the ghost heals 5 points of damage to itself. Against ethereal opponents, it adds its Strength modifier to attack rolls only. Against nonethereal opponents, it adds its Dexterity modifier to attack rolls only.	KEY:Ghost ~ Draining Touch																											SOURCEPAGE:MM1			
Frightful Moan	CATEGORY:Special Ability	TYPE:GhostRaceTrait.GhostSpecialAttack.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A ghost can emit a frightful moan as a standard action. All living creatures within a 30-foot spread must succeed on a Will save DC %1 or become panicked for 2d4 rounds. This is a sonic necromantic mind- ffecting fear effect. A creature that successfully saves against the moan cannot be affected by the same ghost's moan for 24 hours.|FrightfoulMoanDC	KEY:Ghost ~ Frightful Moan				DEFINE:FrightfoulMoanDC|0					BONUS:VAR|FrightfoulMoanDC|GhostAbilityDC	BONUS:VAR|FrightfoulMoanDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Frightful Moan)								ABILITY:Ability Focus|AUTOMATIC|Frightful Moan									SOURCEPAGE:MM1			
Horrific Appearance	CATEGORY:Special Ability	TYPE:GhostRaceTrait.GhostSpecialAttack.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any living creature within 60 feet that views a ghost must succeed on a Fortitude save DC %1 or immediately take 1d4 points of Strength damage, 1d4 points of Dexterity damage, and 1d4 points of Constitution damage. A creature that successfully saves against this effect cannot be affected by the same ghost's horrific appearance for 24 hours.|HorrificAppearanceDC	KEY:Ghost ~ Horrific Appearance				DEFINE:HorrificAppearanceDC|0					BONUS:VAR|HorrificAppearanceDC|GhostAbilityDC	BONUS:VAR|HorrificAppearanceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Horrific Appearance)								ABILITY:Ability Focus|AUTOMATIC|Horrific Appearance									SOURCEPAGE:MM1			
Malevolence	CATEGORY:Special Ability	TYPE:GhostRaceTrait.GhostSpecialAttack.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per round, an ethereal ghost can merge its body with a creature on the Material Plane. This ability is similar to a magic jar spell (caster level 10th or the ghost's Hit Dice, whichever is higher), except that it does not require a receptacle. To use this ability, the ghost must be manifested and it must try move into the target's space; moving into the target's space to use the malevolence ability does not provoke attacks of opportunity. The target can resist the attack with a successful Will save (DC 15 + ghost's Cha modifier). A creature that successfully saves is immune to that same ghost's malevolence for 24 hours, and the ghost cannot enter the target's space. If the save fails, the ghost vanishes into the target's body.	KEY:Ghost ~ Malevolence																											SOURCEPAGE:MM1			
Telekinesis	CATEGORY:Special Ability	TYPE:GhostRaceTrait.GhostSpecialAttack.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A ghost can use telekinesis as a standard action (caster level 12th or equal to the ghost's HD, whichever is higher). When a ghost uses this power, it must wait 1d4 rounds before using it again.	KEY:Ghost ~ Telekinesis																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=max(12,HD)|Telekinesis									SOURCEPAGE:MM1			
Rejuvenation	CATEGORY:Special Ability	TYPE:GhostRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:In most cases, it's difficult to destroy a ghost through simple combat: The "destroyed" spirit will often restore itself in 2d4 days. Even the most powerful spells are usually only temporary solutions. A ghost that would otherwise be destroyed returns to its old haunts with a successful level check (1d20 + ghost's HD) against DC 16. As a rule, the only way to get rid of a ghost for sure is to determine the reason for its existence and set right whatever prevents it from resting in peace. The exact means varies with each spirit and may require a good deal of research.	KEY:Ghost ~ Rejuvenation																											SOURCEPAGE:MM1			
Turn Resistance	CATEGORY:Special Ability	TYPE:GhostRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A ghost has +4 turn resistance.	KEY:Ghost ~ Turn Resistance									BONUS:VAR|TurnResistanceBonus|4																		SOURCEPAGE:MM1			
Skills	CATEGORY:Special Ability	TYPE:GhostRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Ghosts have a +8 racial bonus on Hide, Listen, Search, and Spot checks. Otherwise same as the base creature.	KEY:Ghost ~ Skills									BONUS:SKILL|Hide,Listen,Search,Spot|8|TYPE=Racial																		SOURCEPAGE:MM1			
																																			
#Half-Celestial Template																																			
Wings	CATEGORY:Special Ability	TYPE:HalfCelestialRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Feathered Wings	KEY:Half-Celestial ~ Feathered Wings																											SOURCEPAGE:MM1			
Daylight	CATEGORY:Special Ability	TYPE:HalfCelestialRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES		KEY:Half-Celestial ~ Daylight																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=TL|Daylight									SOURCEPAGE:MM1			
Smite Evil	CATEGORY:Special Ability	TYPE:HalfCelestialRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day a half-celestial can make a normal melee attack to deal extra damage equal to its HD (maximum of +20) against an evil foe.	KEY:Half-Celestial ~ Smite Evil									BONUS:VAR|SmiteEvilDamage|min(HD,20)	BONUS:VAR|SmiteEvil|1								ABILITY:Special Ability|AUTOMATIC|Smite Evil									SOURCEPAGE:MM1			
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:HalfCelestialRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Half-Celestial ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Protection from Evil|PRELEVEL:MIN=1|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Bless|PRELEVEL:MIN=1|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Aid|Detect Evil|PRELEVEL:MIN=3|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Cure Serious Wounds,14+CHA|Neutralize Poison|PRELEVEL:MIN=5|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Holy Smite|Remove Disease|PRELEVEL:MIN=7|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Dispel Evil|PRELEVEL:MIN=9|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Holy Word|PRELEVEL:MIN=11|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Holy Aura|PRELEVEL:MIN=13|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Hallow|PRELEVEL:MIN=13|PRESTAT:1,INT=8,WIS=8	SOURCEPAGE:MM1	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Charm Monster (Mass)|PRELEVEL:MIN=15|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Summon Monster IX ~ Celestial only|PRELEVEL:MIN=17|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Resurrection|PRELEVEL:MIN=19|PRESTAT:1,INT=8,WIS=8
Natural Weapons	CATEGORY:Special Ability	TYPE:HalfCelestialRaceTrait.SpecialQuality.Natural Weapons	VISIBLE:YES	DESC:A half-celestial's natural weapons are treated as magic weapons for the purpose of overcoming damage reduction.	KEY:Half-Celestial ~ Natural Weapons																											SOURCEPAGE:MM1			
																																			
#Half-Dragon Template																																			
Wings	CATEGORY:Special Ability	TYPE:HalfDragonRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES		KEY:Half-Dragon ~ Wings																											SOURCEPAGE:MM1			
Breath Weapon	CATEGORY:Special Ability	TYPE:HalfDragonRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:%1-foot line, once every 1d4 rounds, damage %2d%3 acid, Reflex DC %4 half. The save DC is Constitution-based.|BreathWeaponLine|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Half-Dragon ~ Black ~ Breath Weapon				DEFINE:BreathWeaponLine|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponLine|60	BONUS:VAR|BreathWeaponDice|6	BONUS:VAR|BreathWeaponDamageDie|8|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:MM1			
Breath Weapon	CATEGORY:Special Ability	TYPE:HalfDragonRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:%1-foot line, once every 1d4 rounds, damage %2d%3 electricity, Reflex DC %4 half. The save DC is Constitution-based.|BreathWeaponLine|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Half-Dragon ~ Blue ~ Breath Weapon				DEFINE:BreathWeaponLine|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponLine|60	BONUS:VAR|BreathWeaponDice|6	BONUS:VAR|BreathWeaponDamageDie|8|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:MM1			
Breath Weapon	CATEGORY:Special Ability	TYPE:HalfDragonRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:%1-foot cone, once every 1d4 rounds, damage %2d%3 acid, Reflex DC %4 half. The save DC is Constitution-based.|BreathWeaponLine|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Half-Dragon ~ Green ~ Breath Weapon				DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponCone|30	BONUS:VAR|BreathWeaponDice|6	BONUS:VAR|BreathWeaponDamageDie|8|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:MM1			
Breath Weapon	CATEGORY:Special Ability	TYPE:HalfDragonRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:%1-foot cone, once every 1d4 rounds, damage %2d%3 fire, Reflex DC %4 half. The save DC is Constitution-based.|BreathWeaponLine|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Half-Dragon ~ Red ~ Breath Weapon				DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponCone|30	BONUS:VAR|BreathWeaponDice|6	BONUS:VAR|BreathWeaponDamageDie|8|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:MM1			
Breath Weapon	CATEGORY:Special Ability	TYPE:HalfDragonRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:%1-foot cone, once every 1d4 rounds, damage %2d%3 cold, Reflex DC %4 half. The save DC is Constitution-based.|BreathWeaponLine|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Half-Dragon ~ White ~ Breath Weapon				DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponCone|30	BONUS:VAR|BreathWeaponDice|6	BONUS:VAR|BreathWeaponDamageDie|8|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:MM1			
Breath Weapon	CATEGORY:Special Ability	TYPE:HalfDragonRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:%1-foot line, once every 1d4 rounds, damage %2d%3 fire, Reflex DC %4 half. The save DC is Constitution-based.|BreathWeaponLine|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Half-Dragon ~ Brass ~ Breath Weapon				DEFINE:BreathWeaponLine|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponLine|60	BONUS:VAR|BreathWeaponDice|6	BONUS:VAR|BreathWeaponDamageDie|8|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:MM1			
Breath Weapon	CATEGORY:Special Ability	TYPE:HalfDragonRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:%1-foot line, once every 1d4 rounds, damage %2d%3 electricity, Reflex DC %4 half. The save DC is Constitution-based.|BreathWeaponLine|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Half-Dragon ~ Bronze ~ Breath Weapon				DEFINE:BreathWeaponLine|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponLine|60	BONUS:VAR|BreathWeaponDice|6	BONUS:VAR|BreathWeaponDamageDie|8|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:MM1			
Breath Weapon	CATEGORY:Special Ability	TYPE:HalfDragonRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:%1-foot line, once every 1d4 rounds, damage %2d%3 acid, Reflex DC %4 half. The save DC is Constitution-based.|BreathWeaponLine|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Half-Dragon ~ Copper ~ Breath Weapon				DEFINE:BreathWeaponLine|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponLine|60	BONUS:VAR|BreathWeaponDice|6	BONUS:VAR|BreathWeaponDamageDie|8|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:MM1			
Breath Weapon	CATEGORY:Special Ability	TYPE:HalfDragonRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:%1-foot cone, once every 1d4 rounds, damage %2d%3 fire, Reflex DC %4 half. The save DC is Constitution-based.|BreathWeaponLine|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Half-Dragon ~ Gold ~ Breath Weapon				DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponCone|30	BONUS:VAR|BreathWeaponDice|6	BONUS:VAR|BreathWeaponDamageDie|8|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:MM1			
Breath Weapon	CATEGORY:Special Ability	TYPE:HalfDragonRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:%1-foot cone, once every 1d4 rounds, damage %2d%3 cold, Reflex DC %4 half. The save DC is Constitution-based.|BreathWeaponLine|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Half-Dragon ~ Silver ~ Breath Weapon				DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponCone|30	BONUS:VAR|BreathWeaponDice|6	BONUS:VAR|BreathWeaponDamageDie|8|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:MM1			
																																			
#Half-Fiend Template																																			
Wings	CATEGORY:Special Ability	TYPE:HalfFiendRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Bat Wings	KEY:Half-Fiend ~ Bat Wings																											SOURCEPAGE:MM1			
Smite Good	CATEGORY:Special Ability	TYPE:HalfFiendRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day the creature can make a normal melee attack to deal extra damage equal to its HD total (maximum of +20) against a good foe.	KEY:Half-Fiend ~ Smite Good									BONUS:VAR|SmiteGoodDamage|min(HD,20)	BONUS:VAR|SmiteGood|1								ABILITY:Special Ability|AUTOMATIC|Smite Good									SOURCEPAGE:MM1			
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:HalfFiendRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Half-Fiend ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Darkness|PRELEVEL:MIN=1|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Desecrate|PRELEVEL:MIN=3|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|unholy Blight|PRELEVEL:MIN=5|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Poison|PRELEVEL:MIN=7|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Contagion|PRELEVEL:MIN=9|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Blasphemy|PRELEVEL:MIN=11|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Unholy Aura|PRELEVEL:MIN=13|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Unhallow|PRELEVEL:MIN=13|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Horrid Wilting|PRELEVEL:MIN=15|PRESTAT:1,INT=8,WIS=8	SOURCEPAGE:MM1	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Summon Monster IX ~ Fiendish only|PRELEVEL:MIN=17|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Destruction|PRELEVEL:MIN=19|PRESTAT:1,INT=8,WIS=8	
Natural Weapons	CATEGORY:Special Ability	TYPE:HalfFiendRaceTrait.SpecialQuality.Natural Weapons	VISIBLE:YES	DESC:A half-fiend's natural weapons are treated as magic weapons for the purpose of overcoming damage reduction.	KEY:Half-Fiend ~ Natural Weapons																											SOURCEPAGE:MM1			
																																			
# Lich Template																																			
Fear Aura	CATEGORY:Special Ability	TYPE:LichRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Liches are shrouded in a dreadful aura of death and evil. Creatures of less than 5 HD in a 60-foot radius that look at the lich must succeed on a DC %1 Will save or be affected as though by a fear spell from a sorcerer of the lich's level. A creature that successfully saves cannot be affected again by the same lich's aura for 24 hours.|FearAuraDC	KEY:Lich ~ Fear Aura				DEFINE:FearAuraDC|0					BONUS:VAR|FearAuraDC|LichDC	BONUS:VAR|FearAuraDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Fear Aura)								ABILITY:Ability Focus|AUTOMATIC|Fear Aura									SOURCEPAGE:MM1			
Paralyzing Touch	CATEGORY:Special Ability	TYPE:LichRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any living creature a lich hits with its touch attack must succeed on a DC %1 Fortitude save or be permanently paralyzed. Remove paralysis or any spell that can remove a curse can free the victim (see the bestow curse spell description, page 203 of the Player's Handbook). The effect cannot be dispelled. Anyone paralyzed by a lich seems dead, though a DC 20 Spot check or a DC 15 Heal check reveals that the victim is still alive.|ParalyzingTouchDC	KEY:Lich ~ Paralyzing Touch				DEFINE:ParalyzingTouchDC|0					BONUS:VAR|ParalyzingTouchDC|LichDC	BONUS:VAR|ParalyzingTouchDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Paralyzing Touch)								ABILITY:Ability Focus|AUTOMATIC|Paralyzing Touch									SOURCEPAGE:MM1			
Turn Resistance	CATEGORY:Special Ability	TYPE:LichRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A lich has +4 turn resistance.	KEY:Lich ~ Turn Resistance									BONUS:VAR|TurnResistanceBonus|4																		SOURCEPAGE:MM1			
Natural Weapons	CATEGORY:Special Ability	TYPE:LichRaceTrait.SpecialQuality.Natural Weapons	VISIBLE:YES	DESC:A lich's Its natural weapons are treated as magic weapons for the purpose of overcoming damage reduction.	KEY:Lich ~ Natural Weapons																											SOURCEPAGE:MM1			
Skills	CATEGORY:Special Ability	TYPE:LichRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Liches have a +8 racial bonus on Hide, Listen, Move Silently, Search, Sense Motive, and Spot checks. Otherwise same as the base creature.	KEY:Lich ~ Skills									BONUS:SKILL|Hide,Listen,Move Silently,Search,Sense Motive,Spot|8|TYPE=Racial																		SOURCEPAGE:MM1			
																																			
# Lycanthrope Template																																			
Curse of Lycanthropy of Lycanthropy	CATEGORY:Special Ability	TYPE:LycanthropeRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any humanoid or giant hit by a natural lycanthrope's bite attack in animal or hybrid form must succeed on a DC 15 Fortitude save or contract lycanthropy. If the victim's size is not within one size category of the lycanthrope (for example, a hill giant bitten by a wererat), the victim cannot contract lycanthropy from that lycanthrope. Afflicted lycanthropes cannot pass on the curse of lycanthropy.	KEY:Lycanthrope ~ Curse of Lycanthropy																											SOURCEPAGE:MM1			
