SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07

#																																	
Smite Evil	CATEGORY:Special Ability	TYPE:CelestialTemplateTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day a celestial creature can make a normal melee attack to deal extra damage equal to its HD (maximum of +20) against an evil foe.	KEY:Celestial ~ Smite Evil									BONUS:VAR|SmiteEvil|1		BONUS:VAR|SmiteEvilDamage|min(20,HD)							ABILITY:Special Ability|AUTOMATIC|Smite Evil									SOURCEPAGE:MM

# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														SOURCEPAGE:	
# Alternate Form (Sp)	CATEGORY:Special Ability	TYPE:SpecialQuality.Spelllike	VISIBLE:YES																													SOURCEPAGE:MM	
# Detect Poison	CATEGORY:Special Ability	TYPE:SpecialQuality.Spelllike	VISIBLE:YES																													SOURCEPAGE:MM	
# Energy Ray	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:20'ft range.																												SOURCEPAGE:MotP
# Extract	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES																													SOURCEPAGE:MM	

###Block: Vision Modes
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
# Keen Sight	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Vision	VISIBLE:YES	DESC:The eyesight is so keen that can spot a moving objector creature even if it is invisible or ethereal.|KeenSightRange	KEY:Keen Sight	DESC:Range %1;|KeenSightRange|PREVARGTEQ:KeenSightRange,1		DEFINE:KeenSightRange|0								VISION:Keen Sight (KeenSightRange)																SOURCEPAGE:MM	ASPECT:Vision|Keen Sight %1'|KeenSightRange

###Block: Racesubtype ability																																
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
# Fiery Bite	CATEGORY:Special Ability	TYPE:SpecialAttack.Supernatural	VISIBLE:YES	DESC:A hell hound deals an extra 1d8 points of fire damage every time it bites an opponent, as if its bite were a flaming weapon.	KEY:Fiery Bite Large ~ Hell Hound																											SOURCEPAGE:MM
# Fiery Bite	CATEGORY:Special Ability	TYPE:SpecialAttack.Supernatural	VISIBLE:YES	DESC:A hell hound deals an extra 1d10 points of fire damage every time it bites an opponent, as if its bite were a flaming weapon.	KEY:Fiery Bite Huge ~ Hell Hound																											SOURCEPAGE:MM

###Block: Race ability
# Ability Name																																
# Red Dragon Pact	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 racial bonus to Diplomacy checks when dealing with Red Dragons.																												SOURCEPAGE:MM	
# Antimagic Cone	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES																													SOURCEPAGE:MM	
# Chameleon Power	CATEGORY:Special Ability	TYPE:SpecialQuality.Spelllike	VISIBLE:YES	DESC:+10 circumstance bonus on Hide checks.																												SOURCEPAGE:MM	

# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
# Training ~ Camel	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:DC 11 young, DC 18 adult	OUTPUTNAME:Trainable																											SOURCEPAGE:MM			
# Training ~ Elephant	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:DC 23 young, DC 31 adult	OUTPUTNAME:Trainable																											SOURCEPAGE:MM			
# Training ~ Giant Eagle	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:DC 25.	OUTPUTNAME:Trainable																											SOURCEPAGE:MM			
# Training ~ Giant Owl	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:DC 25.	OUTPUTNAME:Trainable																											SOURCEPAGE:MM			
# Training ~ Griffon	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:DC 25.	OUTPUTNAME:Trainable																											SOURCEPAGE:MM			
# Training ~ Hippogriff	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:DC 25.	OUTPUTNAME:Trainable																											SOURCEPAGE:MM			
# Training ~ Horse	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES		OUTPUTNAME:Trainable																											SOURCEPAGE:MM			
# Training ~ Pegasus	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:DC 25.	OUTPUTNAME:Trainable																											SOURCEPAGE:MM			
# Training ~ Pony	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES		OUTPUTNAME:Trainable																											SOURCEPAGE:MM			
# Training ~ Spider Eater	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:DC 25.	OUTPUTNAME:Trainable																											SOURCEPAGE:MM			
# Training ~ Unicorn	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES		OUTPUTNAME:Trainable																											SOURCEPAGE:MM			
