SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																														
Archon Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	ABILITY:Special Ability|AUTOMATIC|Archon ~ Aura of Menace|Archon ~ Magic Circle against Evil|rchon ~ Teleport|Archon ~ Tongues|Immunity To Electricity|Immunity To Petrification|Resistance To Poison	AUTO:LANG|Celestial|Infernal|Draconic										BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|PoisonResistanceBonus|4|TYPE=Racial																	SOURCEPAGE:MM																	
Aura of Menace	CATEGORY:Special Ability	TYPE:ArchonSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A righteous aura surrounds archons that fight or get angry. Any hostile creature within a 20-foot radius of an archon must succeed on a Will save to resist its effects. The save DC varies with the type of archon, is Charisma-based, and includes a +2 racial bonus. Those who fail take a -2 penalty on attacks, AC, and saves for 24 hours or until they successfully hit the archon that generated the aura. A creature that has resisted or broken the effect cannot be affected again by the same archon's aura for 24 hours.	KEY:Archon ~ Aura of Menace				DEFINE:AuraOfMenaceDC|0					BONUS:VAR|AuraOfMenaceDC|DefaultDCCha	BONUS:VAR|AuraOfMenaceDC|2|TYPE=Racial								TEMPDESC:Failed Aura of Menace Will Save	TEMPBONUS:ANYPC|COMBAT|BASEAB|-2	TEMPBONUS:ANYPC|COMBAT|AC|-2	TEMPBONUS:ANYPC|SAVE|ALL|-2						SOURCEPAGE:MM																	
Magic Circle against Evil	CATEGORY:Special Ability	TYPE:ArchonSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A magic circle against evil effect always surrounds an archon (caster level equals the archon's Hit Dice). (The defensive benefits from the circle are not included in an archon's statistics block.)	KEY:Archon ~ Magic Circle against Evil																											SOURCEPAGE:MM																	
Teleport	CATEGORY:Special Ability	TYPE:ArchonSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES		KEY:Archon ~ Teleport																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Teleport (Greater/Self Only)									SOURCEPAGE:MM																	
Tongues	CATEGORY:Special Ability	TYPE:ArchonSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:All archons can speak with any creature that has a language, as though using a Tongues spell (caster level 14th). This ability is always active.	KEY:Archon ~ Tongues																											SOURCEPAGE:MM																	
																																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Tanar'ri Traits|PRERACE:1,RACESUBTYPE=Tanar'ri	AUTO:LANG|Telepathy																																															
Tanar'ri Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	ABILITY:Special Ability|AUTOMATIC|Tanar'ri ~ Summon Tanar'ri|Immunity To Electricity|Immunity To Poison|Resistance To Acid|Resistance To Cold|Resistance To Fire	ABILITY:Special Ability|AUTOMATIC|Tanar'ri ~ Languages|PREVAREQ:TanarRiStandardLanguages,0					DEFINE:TanarRiStandardLanguages|0					BONUS:VAR|AcidResistanceBonus|10|TYPE=Resistance	BONUS:VAR|ColdResistanceBonus|10|TYPE=Resistance	BONUS:VAR|FireResistanceBonus|10|TYPE=Resistance																SOURCEPAGE:MM																	
Summon Tanar'ri	CATEGORY:Special Ability	TYPE:Tanar'riuSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Tanar'ri share the ability to summon others of their kind (the success chance and type of tanar'ri summoned are noted in each monster description). However, between their arrogance and disdain for owing favors to one another, tanar'ri are often reluctant to use this power until in obvious peril or extreme circumstances.	KEY:Tanar'ri ~ Summon Tanar'ri																											SOURCEPAGE:MM																	
Languages	CATEGORY:Special Ability	TYPE:Tanar'riRaceTrait.SpecialQuality	VISIBLE:YES	AUTO:LANG|Abyssal|Celestial|Draconic	KEY:Tanar'ri ~ Languages																											SOURCEPAGE:MM																	
																																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Baatezu Traits|PRERACE:1,RACESUBTYPE=Baatezu																																																
Baatezu Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	ABILITY:Special Ability|AUTOMATIC|Immunity To Fire|Immunity To Poison|Resistance To Acid|Resistance To Cold	ABILITY:Special Ability|AUTOMATIC|Baatezu ~ Languages|PREVAREQ:BaatezuStandardLanguages,0	AUTO:LANG|Telepathy				DEFINE:BaatezuStandardLanguages|0					BONUS:VAR|AcidResistanceBonus|10|TYPE=Resistance	BONUS:VAR|ColdResistanceBonus|10|TYPE=Resistance																	SOURCEPAGE:MM																	
See in Darkness	CATEGORY:Special Ability	TYPE:BaatezuSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:All baatezu can see perfectly in darkness of any kind, even that created by a Deeper Darkness spell.	KEY:Baatezu ~ See in Darkness									BONUS:VAR|HasSeeInDarknessVision|1|TYPE=Base																		SOURCEPAGE:MM																	
Summon Baatezu	CATEGORY:Special Ability	TYPE:BaatezuSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Baatezu share the ability to summon others of their kind (the success chance and type of baatezu summoned are noted in each monster description).	KEY:Baatezu ~ Summon Baatezu																											SOURCEPAGE:MM																	
Languages	CATEGORY:Special Ability	TYPE:BaatezuSubRaceTrait.SpecialQuality	VISIBLE:YES	AUTO:LANG|Infernal|Celestial|Draconic	KEY:Baatezu ~ Languages																											SOURCEPAGE:MM																	
																																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Golem Traits|PRERACE:1,RACESUBTYPE=Golem																																																
Golem Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	ABILITY:Special Ability|AUTOMATIC|Golem Shared ~ Immunity To Magic																													SOURCEPAGE:MM																	
																																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Guardinal Traits|PRERACE:1,RACESUBTYPE=Guardinal																																																
Guardinal Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	AUTO:LANG|Celestial|Infernal|Draconic	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowlightVision|1	ABILITY:Special Ability|AUTOMATIC|Guardinal ~ Lay on Hands|Guardinal ~ Speak with Animals|Immunity To Electricity|Immunity To Petrification|Resistance To Cold|Resistance To Poison|Resistance To Sonic								BONUS:VAR|ColdResistanceBonus|10|TYPE=Resistance	BONUS:VAR|SonicResistanceBonus|10|TYPE=Resistance	BONUS:VAR|PoisonResistanceBonus|4|TYPE=Racial																SOURCEPAGE:MM																	
Lay on Hands	CATEGORY:Special Ability	TYPE:GuardinalSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A Guardinal can heal an amount of damage equal to its full normal hit poins.	KEY:Guardinal ~ Lay on Hands																											SOURCEPAGE:MM																	
Speak with Animals	CATEGORY:Special Ability	TYPE:GuardinalSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Like Speak with Animals spell (caster level 8th) but its a free action and doesn't require sound.	KEY:Guardinal ~ Speak with Animals																											SOURCEPAGE:MM																	
																																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Arrowhawk Traits|PRERACE:1,RACESUBTYPE=Arrowhawk																																																
Arrowhawk Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	AUTO:LANG|Auran	ABILITY:Special Ability|AUTOMATIC|Arrowhawk ~ Electricity Ray|Immunity To Acid|Immunity To Electricity|Immunity To Poison|Resistance To Cold|Resistance To Fire					DEFINE:ArrowhawkAgeCategory|0		DEFINE:ArrowhawkSizeTracker|0			BONUS:VAR|ColdResistanceBonus|10|TYPE=Resistance	BONUS:VAR|FireResistanceBonus|10|TYPE=Resistance								ABILITY:Internal|AUTOMATIC|SIZE_S|FACE_5|REACH_5|PREVAREQ:ArrowhawkSizeTracker,1	ABILITY:Internal|AUTOMATIC|SIZE_M|FACE_5|REACH_5|PREVAREQ:ArrowhawkSizeTracker,2	ABILITY:Internal|AUTOMATIC|SIZE_L|FACE_10|REACH_5|PREVAREQ:ArrowhawkSizeTracker,3						ABILITY:Internal|AUTOMATIC|Arrowhawk ~ Juvenile|PREVAREQ:ArrowhawkAgeCategory,1	ABILITY:Internal|AUTOMATIC|Arrowhawk ~ Adult|PREVAREQ:ArrowhawkAgeCategory,2	ABILITY:Internal|AUTOMATIC|Arrowhawk ~ Elder|PREVAREQ:ArrowhawkAgeCategory,3				SOURCEPAGE:MM										ABILITY:Internal|AUTOMATIC|ARROWHAWK_ATTACKS_S|PRESIZEEQ:S	ABILITY:Internal|AUTOMATIC|ARROWHAWK_ATTACKS_M|PRESIZEEQ:M	ABILITY:Internal|AUTOMATIC|ARROWHAWK_ATTACKS_L|PRESIZEEQ:L
Juvenile	CATEGORY:Internal	VISIBLE:NO	KEY:Arrowhawk ~ Juvenile	TEMPLATE:Arrowhawk ~ Juvenile																																													
Adult	CATEGORY:Internal	VISIBLE:NO	KEY:Arrowhawk ~ Adult	TEMPLATE:Arrowhawk ~ Adult																																													
Elder	CATEGORY:Internal	VISIBLE:NO	KEY:Arrowhawk ~ Elder	TEMPLATE:Arrowhawk ~ Elder										ABILITY:FEAT|AUTOMATIC|Weapon Focus (Bite)																																			
ARROWHAWK_ATTACKS_S	CATEGORY:Internal	VISIBLE:NO	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6																																														
ARROWHAWK_ATTACKS_M	CATEGORY:Internal	VISIBLE:NO	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8																																														
ARROWHAWK_ATTACKS_L	CATEGORY:Internal	VISIBLE:NO	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6																																														
																																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Barghest Traits|PRERACE:1,RACESUBTYPE=Barghest																																																
Barghest Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility							DEFINE:BarghestAgeCategory|0		DEFINE:BaghestSizeTracker|0												ABILITY:Internal|AUTOMATIC|SIZE_M|FACE_5|REACH_5|PREVAREQ:BaghestSizeTracker,1	ABILITY:Internal|AUTOMATIC|SIZE_L|FACE_10|REACH_10|PREVAREQ:BarghestSizeTracker,2							ABILITY:Internal|AUTOMATIC|Barghest ~ Common|PREVAREQ:BarghestAgeCategory,1	ABILITY:Internal|AUTOMATIC|Barghest ~ Greater|PREVAREQ:BarghestAgeCategory,2					SOURCEPAGE:MM										ABILITY:Internal|AUTOMATIC|BARGHEST_ATTACKS_M|PRESIZEEQ:M	ABILITY:Internal|AUTOMATIC|BARGHEST_ATTACKS_L|PRESIZEEQ:L	
Common	CATEGORY:Internal	VISIBLE:NO	KEY:Barghest ~ Common	TEMPLATE:Barghest ~ Common																																													
Greater	CATEGORY:Internal	VISIBLE:NO	KEY:Barghest ~ Greater	TEMPLATE:Barghest ~ Greater																																													
BARGHEST_ATTACKS_M	CATEGORY:Internal	VISIBLE:NO	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4																																														
BARGHEST_ATTACKS_L	CATEGORY:Internal	VISIBLE:NO	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6																																														
																																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Dire Animal Traits|PRERACE:1,RACESUBTYPE=Dire																																																
Dire Animal Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																																			SOURCEPAGE:MM												
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Slaad Traits|PRERACE:1,RACESUBTYPE=Slaad																																																
Slaad Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	AUTO:LANG|Slaad	ABILITY:Special Ability|AUTOMATIC|Immunity To Sonic|Resistance To Acid|Resistance To Cold|Resistance To Electricity|Resistance to Fire|Slaad ~ Summon Slaad								BONUS:VAR|AcidResistanceBonus|5|TYPE=Resistance	BONUS:VAR|ColdResistanceBonus|5|TYPE=Resistance	BONUS:VAR|ElectricityResistanceBonus|5|TYPE=Resistance	BONUS:VAR|FireResistanceBonus|5|TYPE=Resistance																	SOURCEPAGE:MM																	
Summon Slaad	CATEGORY:Special Ability	TYPE:SlaadSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Slaadi can summon other slaadi much as though casting Summon Monster spell.	KEY:Slaad ~ Summon Slaad																											SOURCEPAGE:MM																	
																																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Xorn Traits|PRERACE:1,RACESUBTYPE=Xorn																																																
Xorn Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	AUTO:LANG|Common|Terran	ABILITY:Special Ability|AUTOMATIC|Xorn ~ MM ~ All-Around Vision|Xorn ~ MM ~ Earth Glide																												SOURCEPAGE:MM																	
All-Around Vision	CATEGORY:Special Ability	TYPE:XornMMSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A xorn's symmetrically placed eyes allow it to look in any direction, providing a +4 racial bonus on Spot and Search checks. A xorn can't be flanked.	KEY:Xorn ~ MM ~ All-Around Vision									BONUS:SKILL|Spot,Search|4|TYPE=Racial																		SOURCEPAGE:MM																	
Earth Glide	CATEGORY:Special Ability	TYPE:XornMMSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A xorn can glide through stone, dirt, or almost any other sort of earth except metal as easily as a fish swims through water. Its burrowing leaves behind no tunnel or hole, nor does it create any ripple or other signs of its presence. A move earth spell cast on an area containing a burrowing xorn flings the xorn back 30 feet, stunning the creature for 1 round unless it succeeds on a DC 15 Fortitude save.	KEY:Xorn ~ MM ~ Earth Glide																											SOURCEPAGE:MM																	
																																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Yuan-Ti Traits|PRERACE:1,RACESUBTYPE=Yuan-Ti																																																
Yuan-Ti Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	AUTO:LANG|Yuan-Ti|Common|Draconic|Abyssal	ABILITY:FEAT|AUTOMATIC|Alertness|Blind-Fight	ABILITY:Special Ability|AUTOMATIC|Yuan-Ti ~ Alternate Form|Yuan-Ti ~ Detect Poison																											SOURCEPAGE:MM																	
Alternate Form	CATEGORY:Special Ability	TYPE:YuanTiSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:All yuan-ti can assume the form of a Tiny to Large Viper as a psionic ability.	KEY:Yuan-Ti ~ Alternate Form																											SOURCEPAGE:MM																	
Detect Poison	CATEGORY:Special Ability	TYPE:YuanTiSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:All yuan-ti have the psionic ability to Detect Poison as the spell (caster level 6th).	KEY:Yuan-Ti ~ Detect Poison																											SOURCEPAGE:MM																	
																																																	
																																																	
###Block: Race Traits																																																	
Race Traits ~ Aboleth	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AbolethRaceTrait	AUTO:LANG|Aboleth|Undercommon|Aquan																																													
Enslave	CATEGORY:Special Ability	TYPE:AbolethRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:%1 times per day, an aboleth can attempt to enslave any one living creature within 30 feet. The target must succeed on a DC %2 Will save or be affected as though by a Dominate Person spell (caster level 16th). An enslaved creature obeys the aboleth's telepathic commands until freed byRemove Curse and can attempt a new Will save every 24 hours to break free. The control is also broken if the aboleth dies or travels more than 1 mile from its slave. The save DC is Charisma-based.|EnslaveTimes|EnslaveDC	KEY:Aboleth ~ Enslave				DEFINE:EnslaveTimes|0	DEFINE:EnslaveDC|0				BONUS:VAR|EnslaveTimes|3	BONUS:VAR|EnslaveDC|DefaultDCCha	BONUS:VAR|EnslaveDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Enslave)							ABILITY:Ability Focus|AUTOMATIC|Enslave									SOURCEPAGE:MM																	
Psionics	CATEGORY:Special Ability	TYPE:AbolethRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Aboleth ~ Psionics																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=16|Hypnotic Pattern,12+CHA|Illusory Wall,14+CHA|Mirage Arcana,15+CHA|Persistent Image,15+CHA|Programmed Image,16+CHA|Project Image,17+CHA|Veil,16+CHA									SOURCEPAGE:MM																	
Slime	CATEGORY:Special Ability	TYPE:AbolethRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A blow from an aboleth's tentacle can cause a terrible affliction. A creature hit by a tentacle must succeed on a DC %1 Fortitude save or begin to transform over the next 1d4+1 minutes, the skin gradually becoming a clear, slimy membrane. An afflicted creature must remain moistened with cool, fresh water or take 1d12 points of damage every 10 minutes. The slime reduces the creature's natural armor bonus by 1 (but never to less than 0). The save DC is Constitution-based. Aremove Curse spell cast before the transformation is complete will restore an afflicted creature to normal. Afterward, however, only a Heal or Mass Heal spells can reverse the affliction.|SlimeDC	KEY:Aboleth ~ Slime				DEFINE:SlimeDC|0					BONUS:VAR|SlimeDC|DefaultDCCon	BONUS:VAR|SlimeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Slime)								ABILITY:Ability Focus|AUTOMATIC|Slime									SOURCEPAGE:MM																	
Mucus Cloud	CATEGORY:Special Ability	TYPE:AbolethRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An aboleth underwater surrounds itself with a viscous cloud of mucus roughly 1 foot thick. Any creature coming into contact with and inhaling this substance must succeed on a DC %1 Fortitude save or lose the ability to breathe air for the next 3 hours. An affected creature suffocates in 2d6 minutes if removed from the water. Renewed contact with the mucus cloud and failing another Fortitude save continues the effect for another 3 hours. The save DC is Constitution-based.|MucusCloudDC	KEY:Aboleth ~ Mucus Cloud				DEFINE:Mucus CloudDC|0					BONUS:VAR|MucusCloudDC|DefaultDCCon	BONUS:VAR|MucusCloudDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Mucus Cloud)								ABILITY:Ability Focus|AUTOMATIC|Mucus Cloud									SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:AbolethRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An aboleth has a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. It can always choose to take 10 on a Swim check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line.	KEY:Aboleth ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid hazard|8|TYPE=Racial																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Achaierai	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AchaieraiRaceTrait	AUTO:LANG|Infernal																																													
Natural Weapons	CATEGORY:Special Ability	TYPE:AchaieraiRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An achaierai's natural weapons, as well as any weapons it wields, are treated as evil-aligned and lawfulaligned for the purpose of overcoming damage reduction.	KEY:Achaierai ~ Natural Weapons																											SOURCEPAGE:MM																	
Black Cloud	CATEGORY:Special Ability	TYPE:AchaieraiRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Up to %1 times per day an achaierai can release a choking, toxic black cloud. Those other than achaierai within 10 feet instantly take 2d6 points of damage. They must also succeed on a DC %2 Fortitude save or be affected for 3 hours as though by an insanity spell (caster level 16th). The save DC is Constitution-based.|BlackCloudTimes|BlackCloudDC	KEY:Achaierai ~ Black Cloud				DEFINE:BlackCloudTimes|0	DEFINE:BlackCloudDC|0				BONUS:VAR|BlackCloudTimes|3	BONUS:VAR|BlackCloudDC|DefaultDCCon	BONUS:VAR|BlackCloudDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Black Cloud)							ABILITY:Ability Focus|AUTOMATIC|Black Cloud									SOURCEPAGE:MM																	
																																																	
Race Traits ~ Allip	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AllipRaceTrait|Flight Maneuverability											BONUS:VAR|Maneuverability|5|TYPE=Racial																																			
Babble	CATEGORY:Special Ability	TYPE:AllipRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An allip constantly mutters and whines to itself, creating a hypnotic effect. All sane creatures within 60 feet of the allip must succeed on a DC %1 Will save or be affected as though by a hypnotism spell for 2d4 rounds. This is a sonic mind-affecting compulsion effect. Creatures that successfully save cannot be affected by the same allip's babble for 24 hours. The save DC is Charisma-based.|BabbleDC	KEY:Allip ~ Babble				DEFINE:BabbleDC|0					BONUS:VAR|BabbleDC|DefaultDCCha	BONUS:VAR|BabbleDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Babble)								ABILITY:Ability Focus|AUTOMATIC|Babble									SOURCEPAGE:MM																	
Madness	CATEGORY:Special Ability	TYPE:AllipRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Anyone targeting an allip with a thought detection, mind control, or telepathic ability makes direct contact with its tortured mind and takes 1d4 points of Wisdom damage.	KEY:Allip ~ Madness																											SOURCEPAGE:MM																	
Wisdom Drain	CATEGORY:Special Ability	TYPE:AllipRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An allip causes 1d4 points of Wisdom drain each time it hits with its incorporeal touch attack. On each such successful attack, it gains 5 temporary hit points.	KEY:Allip ~ Wisdom Drain																											SOURCEPAGE:MM																	
																																																	
Race Traits ~ Angel (Astral Deva)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AngelAstralDevaRaceTrait|Flight Maneuverability			AUTO:WEAPONPROF|Mace (Heavy)								BONUS:VAR|Maneuverability|5|TYPE=Racial																																			
Natural Weapons	CATEGORY:Special Ability	TYPE:AngelAstralDevaRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An astral deva's natural weapons, as well as any weapons it wields, are treated as good-aligned for the purpose of overcoming damage reduction.	KEY:Angel ~ Astral Deva ~ Natural Weapons																											SOURCEPAGE:MM																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:AngelAstralDevaRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Angel ~ Astral Deva ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Aid|Continual Flame|Detect Evil|Discern Lies,14+CHA|Dispel Evil,15+CHA|Dispel Magic|Holy Aura,18+CHA|Holy Smite,14+CHA|Holy Word,17+CHA|Invisibility (Self Only)|Plane Shift,17+CHA|Polymorph (Self Only)|Remove Curse,13+CHA|Remove Disease,13+CHA|Remove Fear,11+CHA	SPELLS:Innate|TIMES=7|CASTERLEVEL=12|Cure Light Wounds,11+CHA|See Invisibility	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Blade Barrier,16+CHA|Heal,16+CHA							SOURCEPAGE:MM																	
Stun	CATEGORY:Special Ability	TYPE:AngelAstralDevaRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:If an astral deva strikes an opponent twice in one round with its mace, that creature must succeed on a DC %1 Fortitude save or be stunned for 1d6 rounds. The save DC is Strength-based.|StunDC	KEY:Angel ~ Astral Deva ~ Stun				DEFINE:StunDC|0					BONUS:VAR|StunDC|DefaultDCStr	BONUS:VAR|StunDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Stun)								ABILITY:Ability Focus|AUTOMATIC|Stun									SOURCEPAGE:MM																	
Uncanny Dodge	CATEGORY:Special Ability	TYPE:AngelAstralDevaRaceTrait.SpecialQuality.Extraordinary.Uncanny Dodge.Improved Uncanny Dodge	VISIBLE:YES	DESC:An astral deva retains its Dexterity bonus to AC when flat-footed, and it cannot be flanked except by a rogue of at least 16th level. It can flank characters with the uncanny dodge ability as if it were a 12th-level rogue.	KEY:Angel ~ Astral Deva ~ Uncanny Dodge									BONUS:VAR|UncannyDodgeFlankingLevel|12	BONUS:VAR|UncannyDodgeTracker|1|TYPE=Racial																	SOURCEPAGE:MM																	
																																																	
Race Traits ~ Angel (Planetar)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AngelPlanetarRaceTrait|Flight Maneuverability			AUTO:WEAPONPROF|Greatsword								BONUS:VAR|Maneuverability|4|TYPE=Racial																																			
Natural Weapons	CATEGORY:Special Ability	TYPE:AngelPlanetarRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A planetar's natural weapons, as well as any weapons it wields, are treated as good-aligned for the purpose of overcoming damage reduction.	KEY:Angel ~ Planetar ~ Natural Weapons																											SOURCEPAGE:MM																	
