SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																																														
																																																																	
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	MOVE:	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								MONCSKILL:	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS:	RACETYPE:	RACESUBTYPE:	TYPE:	Template			Hit Dice	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	CR:	SOURCEPAGE:	Innate Spells	
Animated Object (Huge)	OUTPUTNAME:Animated Object, [NAME]			SIZE:H	MOVE:Walk,10	FACE:15	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|6|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|-2			BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10												LEGS:0	HANDS:0	BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Bludgeoning,*1,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Animated Object (Huge)									MONSTERCLASS:Construct:8	RACETYPE:Construct	RACESUBTYPE:Animated Object	TYPE:Construct	TEMPLATE:Mindless						CR:5	SOURCEPAGE:MM		
Animated Object (Gargantuan)	OUTPUTNAME:Animated Object, [NAME]			SIZE:G	MOVE:Walk,10	FACE:20	REACH:15	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|14	BONUS:STAT|DEX|-4			BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10												LEGS:0	HANDS:0	BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Bludgeoning,*1,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Animated Object (Gargantuan)									MONSTERCLASS:Construct:16	RACETYPE:Construct	RACESUBTYPE:Animated Object	TYPE:Construct	TEMPLATE:Mindless						CR:7	SOURCEPAGE:MM		
Animated Object (Colossal)	OUTPUTNAME:Animated Object, [NAME]			SIZE:C	MOVE:Walk,10	FACE:30	REACH:20	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|12|TYPE=NaturalArmor						BONUS:STAT|STR|18	BONUS:STAT|DEX|-6			BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10												LEGS:0	HANDS:0	BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Bludgeoning,*1,4d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Animated Object (Colossal)									MONSTERCLASS:Construct:32	RACETYPE:Construct	RACESUBTYPE:Animated Object	TYPE:Construct	TEMPLATE:Mindless						CR:10	SOURCEPAGE:MM		
Ankheg			STARTFEATS:1	SIZE:L	MOVE:Walk,30,Burrow,20	FACE:10	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|9|TYPE=NaturalArmor						BONUS:STAT|STR|10		BONUS:STAT|CON|6	BONUS:STAT|INT|-10	BONUS:STAT|WIS|2	BONUS:STAT|CHA|6			MONCSKILL:Climb|Listen|Spot									LEGS:6	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d6,SPROP=Acid		ABILITY:Internal|AUTOMATIC|Race Traits ~ Ankheg									MONSTERCLASS:Magical Beast:3	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:4,9		CR:3	SOURCEPAGE:MM		BONUS:VAR|TremorsenseRange|60|TYPE=Base
Aranea			STARTFEATS:1	SIZE:M	MOVE:Walk,50,Climb,25	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base				BONUS:COMBAT|AC|1|TYPE=NaturalArmor							BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Climb|Concentration|Escape Artist|Jump|Listen|Spot									LEGS:8	HANDS:2	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d6,SPROP=Poison		ABILITY:Internal|AUTOMATIC|Race Traits ~ Aranea									MONSTERCLASS:Aranea:3	RACETYPE:Magical Beast	RACESUBTYPE:Shapechanger	TYPE:Magical Beast							CR:4	SOURCEPAGE:MM		
Archon (Lantern)	OUTPUTNAME:Archon, [NAME]		STARTFEATS:1	SIZE:S	MOVE:Fly,60	FACE:5	REACH:5			KIT:1|LG			BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|-10			BONUS:STAT|INT|-4					MONCSKILL:Concentration|Diplomacy|Knowledge (The Planes)|Listen|Sense Motive|Spot									LEGS:0	HANDS:0						ABILITY:Internal|AUTOMATIC|Race Traits ~ Archon (Lantern)							DR:10/Evil and Magic		MONSTERCLASS:Outsider:1	RACETYPE:Outsider	RACESUBTYPE:Archon|Extraplanar|Good|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:4		CR:2	SOURCEPAGE:MM		
Archon (Hound)	OUTPUTNAME:Archon, [NAME]	FAVCLASS:Ranger	STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5			KIT:1|LG			BONUS:COMBAT|AC|9|TYPE=NaturalArmor						BONUS:STAT|STR|4		BONUS:STAT|CON|2		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Concentration|Diplomacy|Hide|Jump|Listen|Move Silently|Sense Motive|Spot|Survival									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Archon (Hound)							DR:10/Evil		MONSTERCLASS:Outsider:6	RACETYPE:Outsider	RACESUBTYPE:Archon|Extraplanar|Good|Lawful	TYPE:Outsider.PC.Base					HITDICEADVANCEMENT:9,18	LEVELADJUSTMENT:5	CR:4	SOURCEPAGE:MM		
Archon (Trumpet)	OUTPUTNAME:Archon, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,90	FACE:5	REACH:5			KIT:1|LG			BONUS:COMBAT|AC|14|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|12	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Concentration|Diplomacy|Escape Artist|Handle Animal|TYPE=Knowledge|Listen|Move Silently|Perform (Wind Instruments)|Ride|Sense Motive|Spot|Use Rope									LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Archon (Trumpet)							DR:10/Evil		MONSTERCLASS:Archon Trumpet:12	RACETYPE:Outsider	RACESUBTYPE:Archon|Extraplanar|Good|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:18,36	LEVELADJUSTMENT:8	CR:14	SOURCEPAGE:MM		
Arrowhawk			STARTFEATS:1	SIZE:S		FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|TN																	MONCSKILL:Diplomacy|Escape Artist|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Spot|Survival|Use Rope																ABILITY:Internal|AUTOMATIC|Race Traits ~ Arrowhawk									MONSTERCLASS:Outsider:3	RACETYPE:Outsider	RACESUBTYPE:Air|Extraplanar|Arrowhawk	TYPE:Outsider							CR:3	SOURCEPAGE:MM		
Assassin Vine				SIZE:L	MOVE:Walk,5	FACE:10	REACH:10		BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|6|TYPE=NaturalArmor						BONUS:STAT|STR|10		BONUS:STAT|CON|6		BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2												LEGS:0	HANDS:0	BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Bludgeoning,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Assassin Vine									MONSTERCLASS:Plant:4	RACETYPE:Plant		TYPE:Plant	TEMPLATE:Mindless				HITDICEADVANCEMENT:4,16,32,*		CR:3	SOURCEPAGE:MM		
Athach			STARTFEATS:1	SIZE:H	MOVE:Walk,50	FACE:15	REACH:15	BONUS:VAR|DarkvisionRange|60|TYPE=Base					BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|16	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|-4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Climb|Jump|Listen|Spot									LEGS:2	HANDS:3				NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d8,SPROP=Poison		ABILITY:Internal|AUTOMATIC|Race Traits ~ Athach									MONSTERCLASS:Aberration:14	RACETYPE:Aberration		TYPE:Aberration					HITDICEADVANCEMENT:28	LEVELADJUSTMENT:5	CR:8	SOURCEPAGE:MM		
Azer		FAVCLASS:Fighter	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LN			BONUS:COMBAT|AC|6|TYPE=NaturalArmor						BONUS:STAT|STR|2	BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Appraise|Climb|TYPE=Craft|Hide|Jump|Listen|Search|Spot									LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Azer						SR:13			MONSTERCLASS:Outsider:2	RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Fire	TYPE:Outsider.PC.Base						LEVELADJUSTMENT:4	CR:2	SOURCEPAGE:MM		
Barghest			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LE																	MONCSKILL:Bluff|Diplomacy|Disguise|Hide|Intimidate|Jump|Listen|Move Silently|Search|Sense Motive|Spot|Survival									LEGS:4	HANDS:0						ABILITY:Internal|AUTOMATIC|Race Traits ~ Barghest							DR:5/Magic		MONSTERCLASS:Outsider:6	RACETYPE:Outsider	RACESUBTYPE:Evil|Extraplanar|Lawful|Shapechanger|Barghest	TYPE:Outsider					HITDICEADVANCEMENT:9		CR:4	SOURCEPAGE:MM		
Basilisk			STARTFEATS:1	SIZE:M	MOVE:Walk,20	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|-2	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2				MONCSKILL:Hide|Listen|Spot									LEGS:8	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Basilisk									MONSTERCLASS:Magical Beast:6	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:10,18		CR:5	SOURCEPAGE:MM		
Behir			STARTFEATS:1	SIZE:H	MOVE:Walk,40,Climb,15	FACE:15	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base				BONUS:COMBAT|AC|11|TYPE=NaturalArmor						BONUS:STAT|STR|16	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|-4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|12			MONCSKILL:Climb|Hide|Listen|Spot|Survival									LEGS:12	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Behir									MONSTERCLASS:Magical Beast:9	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:13,27		CR:8	SOURCEPAGE:MM		
Beholder	OUTPUTNAME:Beholder		STARTFEATS:1	SIZE:L	MOVE:Walk,5,Fly,20	FACE:10	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base					BONUS:COMBAT|AC|15|TYPE=NaturalArmor							BONUS:STAT|DEX|4	BONUS:STAT|CON|8	BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Hide|Knowledge (Arcana)|Listen|Search|Spot|Survival									LEGS:0	HANDS:0				NATURALATTACKS:Eye Rays,Weapon.Natural.Finesseable.Ranged.Touch,*10,0|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Beholder									MONSTERCLASS:Aberration:11	RACETYPE:Aberration	RACESUBTYPE:Beholder|TrueBeholder	TYPE:Aberration					HITDICEADVANCEMENT:16,33		CR:13	SOURCEPAGE:MM		
Beholder (Gauth)	OUTPUTNAME:Beholder [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,5,Fly,20	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base					BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|-2	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Hide|Knowledge (Arcana)|Listen|Search|Spot|Survival									LEGS:0	HANDS:0				NATURALATTACKS:Eye Rays,Weapon.Natural.Finesseable.Ranged.Touch,*6,0|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Beholder									MONSTERCLASS:Aberration:6	RACETYPE:Aberration	RACESUBTYPE:Beholder|LesserBeholder	TYPE:Aberration					HITDICEADVANCEMENT:12,18		CR:6	SOURCEPAGE:MM		
Belker			STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,50	FACE:10	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base					BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|10	BONUS:STAT|CON|2	BONUS:STAT|INT|-4					MONCSKILL:Listen|Move Silently|Spot									LEGS:0	HANDS:2				NATURALATTACKS:Wings,Weapon.Natural.Melee.Slashing.Bludgeoning,*2,1d6|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d4|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d3		ABILITY:Internal|AUTOMATIC|Race Traits ~ Belker									MONSTERCLASS:Elemental:7	RACETYPE:Elemental	RACESUBTYPE:Air|Extraplanar	TYPE:Elemental					HITDICEADVANCEMENT:10,21		CR:6	SOURCEPAGE:MM		
Blink Dog			STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base				BONUS:COMBAT|AC|3|TYPE=NaturalArmor							BONUS:STAT|DEX|6			BONUS:STAT|WIS|2				MONCSKILL:Hide|Listen|Sense Motive|Spot|Survival									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Blink Dog									MONSTERCLASS:Magical Beast:4	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:7,12		CR:2	SOURCEPAGE:MM		
Bodak			STARTFEATS:1	SIZE:M	MOVE:Walk,20	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|CE			BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|2	BONUS:STAT|DEX|4		BONUS:STAT|INT|-4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Listen|Move Silently|Spot									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Bludgeoning,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Bodak									MONSTERCLASS:Undead:9	RACETYPE:Undead	RACESUBTYPE:Extraplanar	TYPE:Undead					HITDICEADVANCEMENT:13,27		CR:8	SOURCEPAGE:MM		
