SOURCELONG:Monster Manual	SOURCESHORT:MM1	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																															
Svirfneblin	VISIBLE:NO	KEY:Svirfneblin Gnome	SUBRACE:Svirfneblin	LEVELADJUSTMENT:3																														
Forest	VISIBLE:NO	KEY:Forest Gnome	SUBRACE:Forest																															
Languages	KEY:Gnome ~ Svirfneblin ~ Languages	VISIBLE:NO	AUTO:LANG|Undercommon|Gnome|Common	LANGBONUS:Dwarven,Elven,Giant,Goblin,Orc,Terran																														
Languages	KEY:Gnome ~ Forest ~ Languages	VISIBLE:NO	AUTO:LANG|Gnome|Elven|Sylvan|Forest	LANGBONUS:Common,Draconic,Dwarven,Giant,Goblin,Orc																														
Favored Class	KEY:Gnome ~ Svirfneblin ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Rogue																															
																																		
Goblin	VISIBLE:NO	KEY:Common Goblin	LEVELADJUSTMENT:2																															
Languages	KEY:Goblin ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Common|Goblin	LANGBONUS:Draconic,Elven,Giant,Gnoll,Orc																														
Favored Class	KEY:Goblin ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Rogue																															
																																		
Tallfellow	VISIBLE:NO	KEY:Tallfellow Halfling	SUBRACE:Tallfellow																															
Deep	VISIBLE:NO	KEY:Deep Halfling	SUBRACE:Deep																															
																																		
Hobgoblin	VISIBLE:NO	KEY:Common Hobgoblin	LEVELADJUSTMENT:1																															
Languages	KEY:Hobgoblin ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Common|Goblin	LANGBONUS:Draconic,Dwarven,Infernal,Giant,Orc																														
Favored Class	KEY:Hobgoblin ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Fighter																															
																																		
Kobold	VISIBLE:NO	KEY:Common Kobold																																
Languages	KEY:Kobold ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Draconic	LANGBONUS:Common,Undercommon																														
Favored Class	KEY:Kobold ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Sorcerer																															
																																		
Lizardfolk	VISIBLE:NO	KEY:Common Lizardfolk	LEVELADJUSTMENT:1																															
Languages	KEY:Lizardfolk ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Common|Draconic	LANGBONUS:Aquan,Goblin,Gnoll,Orc																														
Favored Class	KEY:Lizardfolk ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Druid																															
																																		
Merfolk	VISIBLE:NO	KEY:Common Merfolk	LEVELADJUSTMENT:1																															
Languages	KEY:Merfolk ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Common|Aquan																															
Favored Class	KEY:Merfolk ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Bard																															
																																		
Mind Flayer	VISIBLE:NO	KEY:Common Mind Flayer	LEVELADJUSTMENT:7																															
Languages	KEY:Mind Flayer ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Common|Undercommon	LANGBONUS:Abyssal,Aquan,Draconic,Dwarven,Elven,Gnome,Infernal,Terran																														
Favored Class	KEY:Mind Flayer ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Wizard																															
																																		
Minotaur	VISIBLE:NO	KEY:Common Minotaur	LEVELADJUSTMENT:2																															
Languages	KEY:Minotaur ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Common|Giant	LANGBONUS:Orc,Goblin,Terran																														
Favored Class	KEY:Minotaur ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Barbarian																															
																																		
Ogre	VISIBLE:NO	KEY:Common Ogre	LEVELADJUSTMENT:2																															
Merrow	VISIBLE:NO	KEY:Merrow Ogre	SUBRACE:Merrow	LEVELADJUSTMENT:2	RACESUBTYPE:Aquatic	BONUS:MOVEADD|TYPE.Walk|-10	MOVE:Swim,40																											
Languages	KEY:Ogre ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Common|Giant	LANGBONUS:Dwarven,Orc,Goblin,Terran																														
Favored Class	KEY:Ogre ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Barbarian																															
																																		
Orc	VISIBLE:NO	KEY:Common Orc	LEVELADJUSTMENT:2																															
Languages	KEY:Orc ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Common|Orc	LANGBONUS:Dwarven,Giant,Gnoll,Goblin,Undercommon																														
Favored Class	KEY:Orc ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Barbarian																															
																																		
Aasimar	VISIBLE:NO	KEY:Common Aasimar	LEVELADJUSTMENT:1																															
Languages	KEY:Aasimar ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Common|Celestial	LANGBONUS:Draconic,Dwarven,Elven,Gnome,Halfling,Sylvan																														
Favored Class	KEY:Aasimar ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Paladin																															
																																		
Tiefling	VISIBLE:NO	KEY:Common Tiefling	LEVELADJUSTMENT:1																															
Languages	KEY:Tiefling ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Common|Infernal	LANGBONUS:Draconic,Dwarven,Elven,Gnome,Goblin,Halfling,Orc																														
Favored Class	KEY:Tiefling ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Rogue																															
																																		
Sahuagin	VISIBLE:NO	KEY:Common Sahuagin	LEVELADJUSTMENT:2	NATURALATTACKS:Talon,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d4																														
Mutant	VISIBLE:NO	KEY:Mutant Sahuagin	LEVELADJUSTMENT:3	SUBRACE:Mutant	HANDS:4	NATURALATTACKS:Talon,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*4,1d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d4																												
Malenti	VISIBLE:NO	KEY:Malenti Sahuagin	LEVELADJUSTMENT:2	SUBRACE:Malenti	HANDS:2	BONUS:MOVEADD|TYPE.Swim|-20																												
Languages	KEY:Sahuagin ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Sahuagin	LANGBONUS:Common,Aquan																														
Favored Class	KEY:Sahuagin ~ Common ~ Favored Class	VISIBLE:NO	TEMPLATE:CHOOSE:Sahuagin Male|Sahuagin Female																															
																																		
Satyr	VISIBLE:NO	KEY:Common Satyr	LEVELADJUSTMENT:2																															
Languages	KEY:Satyr ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Sylvan	LANGBONUS:Common,Elven,Gnome																														
Favored Class	KEY:Satyr ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Bard																															
																																		
Troglodyte	VISIBLE:NO	KEY:Common Troglodyte	LEVELADJUSTMENT:2																															
Languages	KEY:Troglodyte ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Draconic	LANGBONUS:Common,Giant,Goblin,Orc																														
Favored Class	KEY:Troglodyte ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Cleric																															
																																		
Troll	VISIBLE:NO	KEY:Common Troll	LEVELADJUSTMENT:5																															
Scrag	VISIBLE:NO	KEY:Scrag Troll	LEVELADJUSTMENT:5	RACESUBTYPE:Aquatic	BONUS:MOVEADD|TYPE.Walk|-10	MOVE:Swim,40																												
Languages	KEY:Troll ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Giant	LANGBONUS:Common,Orc																														
Favored Class	KEY:Troll ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Fighter																															
																																		
Pureblood	VISIBLE:NO	KEY:Pureblood Yuan-Ti	LEVELADJUSTMENT:2																															
Languages	KEY:Yuan-Ti ~ Pureblood ~ Languages	VISIBLE:NO	AUTO:LANG|Yuan-Ti|Common	LANGBONUS:Abyssal,Draconic																														
Favored Class	KEY:Yuan-Ti ~ Pureblood ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Fighter																															
																																		
###Block: Drow Gender																																		
# Template Name	Visible	Source Page	Required Race	Favored Class	Lock Gender Selection																													
Drow Male	VISIBLE:NO	SOURCEPAGE:MM1	PRERACE:1,Elf	PREABILITY:1,CATEGORY=Internal,Elf ~ Drow	FAVOREDCLASS:Wizard	GENDERLOCK:Male																												
Drow Female	VISIBLE:NO	SOURCEPAGE:MM1	PRERACE:1,Elf	PREABILITY:1,CATEGORY=Internal,Elf ~ Drow	FAVOREDCLASS:Cleric	GENDERLOCK:Female																												
Sahuagin Male	VISIBLE:NO	SOURCEPAGE:MM1	PRERACE:1,Sahuagin	PREABILITY:1,CATEGORY=Internal,Sahuagin ~ Common,Sahuagin ~ Mutant	FAVOREDCLASS:Ranger	GENDERLOCK:Male																												
Sahuagin Female	VISIBLE:NO	SOURCEPAGE:MM1	PRERACE:1,Sahuagin	PREABILITY:1,CATEGORY=Internal,Sahuagin ~ Common,Sahuagin ~ Mutant	FAVOREDCLASS:Cleric	GENDERLOCK:Female																												
																																		
###Block: Subtrait																																		
Mindless	VISIBLE:NO	SOURCEPAGE:MM1	DEFINESTAT:NONSTAT|INT																															
																																		
###Block: Race																																		
##TODO:Abyssal Greater Basilisk: Check Fiendish template if needed																																		
Abyssal Greater Basilisk	TYPE:Creatures	VISIBLE:YES	SOURCEPAGE:MM1	PRERACE:1,Basilisk	PREHD:MIN=18	BONUS:STAT|STR|1	BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|1	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|4	SUBRACE:Greater																						
Greater Stone Golem	TYPE:Creatures	VISIBLE:YES	SOURCEPAGE:MM1	PRERACE:1,Golem (Stone)	PREHD:MIN=42	SUBRACE:Greater Stone	BONUS:SAVE|ALL|7																											
Pyrohydra	TYPE:Creatures	VISIBLE:YES	SOURCEPAGE:MM1	PRERACE:1,Hydra	RACESUBTYPE:Fire	ABILITY:Special Ability|AUTOMATIC|Pyrohydra ~ Breath Weapon	BONUS:MISC|CR|2																											
Criohydra	TYPE:Creatures	VISIBLE:YES	SOURCEPAGE:MM1	PRERACE:1,Hydra	RACESUBTYPE:Cold	ABILITY:Special Ability|AUTOMATIC|Cryohydra ~ Breath Weapon	BONUS:MISC|CR|2																											
Cauchemar	TYPE:Creatures	VISIBLE:YES	SOURCEPAGE:MM1	PRERACE:1,Nightmare	PREHD:MIN=15	BONUS:STAT|STR|5	BONUS:STAT|DEX|1	BONUS:STAT|CON|4	BONUS:STAT|INT|3	BONUS:STAT|WIS|-1	SUBRACE:Cauchemar																							
Elder Black Pudding	TYPE:Creatures	VISIBLE:YES	SOURCEPAGE:MM1	PRERACE:1,Ooze (Black Pudding)	PREHD:MIN=20	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6,SPROP=+3d6 acid	BONUS:STAT|STR|1	BONUS:STAT|CON|2	BONUS:VAR|ConstrictDieSize|2	SUBRACE:Elder																								
Greater Shadow	TYPE:Creatures	VISIBLE:YES	SOURCEPAGE:MM1	PRERACE:1,Shadow	PREHD:MIN=9	BONUS:STAT|DEX|1	BONUS:STAT|CHA|2	BONUS:VAR|StrengthDamageDieSize|2																										
Truly Horrid Umber Hulk	TYPE:Creatures	VISIBLE:YES	SOURCEPAGE:MM1	PRERACE:1,Umber Hulk	PREHD:MIN=20	BONUS:COMBAT|REACH|5	BONUS:WEAPONPROF=Claw|DAMAGESIZE|1	BONUS:WEAPONPROF=Bite|DAMAGESIZE|1	BONUS:STAT|STR|5	BONUS:STAT|DEX|-1	BONUS:STAT|CON|6	BONUS:STAT|INT|-1	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	SUBRACE:Truly Horrid																			
Celestial Charger	TYPE:Creatures	VISIBLE:YES	SOURCEPAGE:MM1	PRERACE:1,Unicorn	PREHD:MIN=8	TEMPLATE:Celestial	BONUS:STAT|STR|4	BONUS:STAT|DEX|1	BONUS:STAT|CON|-1	BONUS:STAT|INT|3	BONUS:STAT|WIS|6	BONUS:STAT|CHA|-2	SUBRACE:Celestial Charger	LEVELADJUSTMENT:4	BONUS:WEAPONPROF=Horn|DAMAGE|-1																			
Yuan-Ti Halfblood Variants	TYPE:Creatures	VISIBLE:YES	SOURCEPAGE:MM1	PRERACE:1,Yuan-Ti Halfblood	TEMPLATE:CHOOSE:Halfblood Humanoid form|Halfblood Human Head|Halfblood Snake Tail|Halfblood Serpent form																													
Halfblood Humanoid form	TYPE:Creatures	VISIBLE:NO	SOURCEPAGE:MM1	PRERACE:1,Yuan-Ti Halfblood	LEGS:2	HANDS:2																												
Halfblood Human Head	TYPE:Creatures	VISIBLE:NO	SOURCEPAGE:MM1	PRERACE:1,Yuan-Ti Halfblood	LEGS:2	HANDS:0	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d4,SPROP=Poison																											
Halfblood Snake Tail	TYPE:Creatures	VISIBLE:NO	SOURCEPAGE:MM1	PRERACE:1,Yuan-Ti Halfblood	LEGS:2	HANDS:2	MOVE:Swim,15	ABILITY:Special Ability|AUTOMATIC|Yuan-Ti Halfblood ~ Snake Tail ~ Constrict																										
Halfblood Serpent form	TYPE:Creatures	VISIBLE:NO	SOURCEPAGE:MM1	PRERACE:1,Yuan-Ti Halfblood	LEGS:0	HANDS:2	BONUS:MOVEADD|TYPE.Walk|-10	MOVE:Swim,15																										
																																		
																																		
###Block: Subrace																																		
Juvenile	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Arrowhawk ~ Juvenile	SUBRACE:Juvenile																														
Adult	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Arrowhawk ~ Adult	SUBRACE:Adult																														
Elder	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Arrowhawk ~ Elder	SUBRACE:Elder																														
																																		
Common	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Barghest ~ Common																															
Greater	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Barghest ~ Greater	SUBRACE:Greater																														
																																		
Juvenile	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Tojanida ~ Juvenile	SUBRACE:Juvenile																														
Adult	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Tojanida ~ Adult	SUBRACE:Adult																														
Elder	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Tojanida ~ Elder	SUBRACE:Elder																														
																																		
Minor	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Xorn ~ Minor	SUBRACE:Minor																														
Average	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Xorn ~ Average	SUBRACE:Average																														
Elder	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Xorn ~ Elder	SUBRACE:Elder																														
																																		
Medium	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Animal (Shark) ~ Medium	SUBRACE:Medium																														
Large	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Animal (Shark) ~ Large	SUBRACE:Large																														
Huge	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Animal (Shark) ~ Huge	SUBRACE:Huge																														
																																		
Small	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Animal (Snake (Viper)) ~ Small	SUBRACE:Small																														
Medium	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Animal (Snake (Viper)) ~ Medium	SUBRACE:Medium																														
Large	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Animal (Snake (Viper)) ~ Large	SUBRACE:Large																														
Huge	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Animal (Snake (Viper)) ~ Huge	SUBRACE:Huge																														
																																		
Medium	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Animal (Squid) ~ Medium	SUBRACE:Medium																														
Large	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Animal (Squid) ~ Large	SUBRACE:Large																														
Huge	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Animal (Squid) ~ Huge	SUBRACE:Huge																														
Gargantuan	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Animal (Squid) ~ Gargantuan	SUBRACE:Gargantuan																														
																																		
Small	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Monstrous Scorpion ~ Small	SUBRACE:Small																														
Medium	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Monstrous Scorpion ~ Medium	SUBRACE:Medium																														
Large	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Monstrous Scorpion ~ Large	SUBRACE:Large																														
Huge	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Monstrous Scorpion ~ Huge	SUBRACE:Huge																														
Gargantuan	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Monstrous Scorpion ~ Gargantuan	SUBRACE:Gargantuan																														
Colossal	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Monstrous Scorpion ~ Colossal	SUBRACE:Colossal																														
																																		
Five Headed	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Hydra ~ Five Headed	SUBRACE:Five Headed																														
Six Headed	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Hydra ~ Six Headed	SUBRACE:Six Headed	ADDLEVEL:Magical Beast|1																													
Seven Headed	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Hydra ~ Seven Headed	SUBRACE:Seven Headed	ADDLEVEL:Magical Beast|2																													
Eight Headed	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Hydra ~ Eight Headed	SUBRACE:Eight Headed	ADDLEVEL:Magical Beast|3																													
Nine Headed	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Hydra ~ Nine Headed	SUBRACE:Nine Headed	ADDLEVEL:Magical Beast|4																													
Ten Headed	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Hydra ~ Ten Headed	SUBRACE:Ten Headed	ADDLEVEL:Magical Beast|5																													
Eleven Headed	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Hydra ~ Eleven Headed	SUBRACE:Eleven Headed	ADDLEVEL:Magical Beast|6																													
Twelve Headed	VISIBLE:NO	SOURCEPAGE:MM1	KEY:Hydra ~ Twelve Headed	SUBRACE:Twelve Headed	ADDLEVEL:Magical Beast|7																													
																																		
###Block: Racial Subrace																																		
Aquan	KEY:Language ~ Aquan	VISIBLE:NO	AUTO:LANG|Aquan																															
Auran	KEY:Language ~ Auran	VISIBLE:NO	AUTO:LANG|Auran																															
Ignan	KEY:Language ~ Ignan	VISIBLE:NO	AUTO:LANG|Ignan																															
Terran	KEY:Language ~ Terran	VISIBLE:NO	AUTO:LANG|Terran																															
Abyssal	KEY:Language ~ Abyssal	VISIBLE:NO	AUTO:LANG|Abyssal																															
Celestial	KEY:Language ~ Celestial	VISIBLE:NO	AUTO:LANG|Celestial																															
Infernal	KEY:Language ~ Infernal	VISIBLE:NO	AUTO:LANG|Infernal																															
																																		
### Template																																		
Celestial	TYPE:Inherited	VISIBLE:YES	PRERACE:1,RACETYPE=Animal,RACETYPE=Aberration,RACETYPE=Dragon,RACETYPE=Fey,RACETYPE=Giant,RACETYPE=Humanoid,RACETYPE=Magical Beast,RACETYPE=Monstrous Humanoid,RACETYPE=Plant,RACETYPE=Vermin	!PRERACE:1,RACESUBTYPE=Incorporeal	TEMPLATE:CHOOSE:Celestial ~ Animal|Celestial ~ Vermin	RACESUBTYPE:Extraplanar	ABILITY:Special Ability|AUTOMATIC|Celestial ~ Smite Evil|Resistance To Acid|Resistance To Cold|Resistance To Electricity	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus,ElectricityResistanceBonus|5|TYPE=Resistance	BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus,ElectricityResistanceBonus|10|TYPE=Resistance|PREHD:MIN=8	DEFINE:CelestialSR|0	BONUS:VAR|CelestialSR|min(HD+5,25)	SR:CelestialSR	DR:5/Magic|PREHD:MIN=4,MAX=11	DR:10/Magic|PREHD:MIN=12	ABILITY:Special Ability|AUTOMATIC|Celestial ~ Natural Weapons|PREHD:MIN=4	DEFINESTAT:MINVALUE|INT|3	BONUS:MISC|CR|1|PREHD:MIN=4	BONUS:MISC|CR|1|PREHD:MIN=8	KIT:1|LG|NG|CG	LEVELADJUSTMENT:2													
Celestial ~ Animal	VISIBLE:NO	PRERACE:1,RACETYPE=Animal	RACETYPE:Magical Beast	RACESUBTYPE:Augmented Animal																														
Celestial ~ Vermin	VISIBLE:NO	PRERACE:1,RACETYPE=Vermin	RACETYPE:Magical Beast	RACESUBTYPE:Augmented Vermin																														
Fiendish	TYPE:Inherited	VISIBLE:YES	PRERACE:1,RACETYPE=Animal,RACETYPE=Aberration,RACETYPE=Dragon,RACETYPE=Fey,RACETYPE=Giant,RACETYPE=Humanoid,RACETYPE=Magical Beast,RACETYPE=Monstrous Humanoid,RACETYPE=Ooze,RACETYPE=Plant,RACETYPE=Vermin	!PRERACE:1,RACESUBTYPE=Incorporeal	TEMPLATE:CHOOSE:Fiendish ~ Animal|Fiendish ~ Vermin	RACESUBTYPE:Extraplanar	ABILITY:Special Ability|AUTOMATIC|Fiendish ~ Smite Good|Resistance To Cold|Resistance To Fire	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|ColdResistanceBonus,FireResistanceBonus|5|TYPE=Resistance	BONUS:VAR|ColdResistanceBonus,FireResistanceBonus|10|TYPE=Resistance|PREHD:MIN=8	DEFINE:FiendishSR|0	BONUS:VAR|FiendishSR|min(HD+5,25)	SR:FiendishSR	DR:5/Magic|PREHD:MIN=4,MAX=11	DR:10/Magic|PREHD:MIN=12	ABILITY:Special Ability|AUTOMATIC|Fiendish ~ Natural Weapons|PREHD:MIN=4	DEFINESTAT:MINVALUE|INT|3	BONUS:MISC|CR|1|PREHD:MIN=4	BONUS:MISC|CR|1|PREHD:MIN=8	KIT:1|LE|NE|CE	LEVELADJUSTMENT:2													
Fiendish ~ Animal	VISIBLE:NO	PRERACE:1,RACETYPE=Animal	RACETYPE:Magical Beast	RACESUBTYPE:Augmented Animal																														
Fiendish ~ Vermin	VISIBLE:NO	PRERACE:1,RACETYPE=Vermin	RACETYPE:Magical Beast	RACESUBTYPE:Augmented Vermin																														
Ghost	TYPE:Acquired	VISIBLE:YES	PRERACE:1,RACETYPE=Aberration,RACETYPE=Animal,RACETYPE=Dragon,RACETYPE=Giant,RACETYPE=Humanoid,RACETYPE=Magical Beast,RACETYPE=Monstrous Humanoid,RACETYPE=Plant	PRESTAT:1,CHA=6	RACETYPE:Undead	RACESUBTYPE:Incorporeal	HITDIE:12	ABILITY:Special Ability|AUTOMATIC|Ghost ~ Manifestation|Ghost ~ Rejuvenation|Ghost ~ Turn Resistance|Ghost ~ Skills	BONUS:VAR|Maneuverability|5|TYPE=Base	MOVE:Fly,30	BONUS:COMBAT|AC|max(CHA,1)|TYPE=Deflection	DEFINE:GhostAbilityDC|0	BONUS:VAR|GhostAbilityDC|DefaultDCCha	BONUS:ABILITYPOOL|Ghost Special Attack|1	BONUS:STAT|CHA|4	CR:2	LEVELADJUSTMENT:5																	
