SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM1	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																			
																																						
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page						
Common	CATEGORY:Internal	TYPE:GargoyleSubrace.GargoyleBase			KEY:Gargoyle ~ Common									BONUS:STAT|STR|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|8|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits					TEMPLATE:Common Gargoyle	ABILITY:Gargoyle Race Trait|AUTOMATIC|Gargoyle ~ Freeze|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GargoyleFreeze	ABILITY:Gargoyle Race Trait|AUTOMATIC|Gargoyle ~ Skills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GargoyleSkills	ABILITY:Gargoyle Race Trait|AUTOMATIC|Gargoyle ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GargoyleLanguages	ABILITY:Gargoyle Race Trait|AUTOMATIC|Gargoyle ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GargoyleFavoredClass		MOVE:Fly,60	BONUS:VAR|Maneuverability|3|TYPE=Base								
Kapoacinth	CATEGORY:Internal	TYPE:GargoyleSubrace.AltSubraceChoice		DESC:These cousins of the gargoyle live the aquatic environments.	KEY:Gargoyle ~ Kapoacinth	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Gargoyle ~ Kapoacinth],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|8|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits					TEMPLATE:Kapoacinth Gargoyle	ABILITY:Gargoyle Race Trait|AUTOMATIC|Gargoyle ~ Freeze|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Gargoyle Race Trait|AUTOMATIC|Gargoyle ~ Skills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Gargoyle Race Trait|AUTOMATIC|Gargoyle ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Gargoyle Race Trait|AUTOMATIC|Gargoyle ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits		MOVE:Swim,60									
																																						
Common	CATEGORY:Internal	TYPE:GithyankiSubrace.GithyankiBase			KEY:Githyanki ~ Common									BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Common Githyanki	ABILITY:Githyanki Race Trait|AUTOMATIC|Githyanki ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GithyankiDarkvision	ABILITY:Githyanki Race Trait|AUTOMATIC|Githyanki ~ Psionics|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GithyankiPsionics	ABILITY:Githyanki Race Trait|AUTOMATIC|Githyanki ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GithyankiLanguages	ABILITY:Githyanki Race Trait|AUTOMATIC|Githyanki ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GithyankiFavoredClass	SR:GithyankiSR	DEFINE:GithyankiSR|0	BONUS:VAR|GithyankiSR|TL+5	BONUS:VAR|GithyankiLanguage|1|TYPE=Racial	SOURCEPAGE:MM1						
																																						
Common	CATEGORY:Internal	TYPE:GithzeraiSubrace.GithzeraiBase			KEY:Githzerai ~ Common									BONUS:STAT|DEX|6|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Common Githzerai	ABILITY:Githzerai Race Trait|AUTOMATIC|Githzerai ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GithzeraiDarkvision	ABILITY:Githzerai Race Trait|AUTOMATIC|Githzerai ~ Psionics|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GithzeraiPsionics	ABILITY:Githzerai Race Trait|AUTOMATIC|Githzerai ~ Inertial Armor|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GithzeraiInertialArmor	ABILITY:Githzerai Race Trait|AUTOMATIC|Githzerai ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GithzeraiLanguages	ABILITY:Githzerai Race Trait|AUTOMATIC|Githzerai ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GithzeraiFavoredClass	SR:GithzeraiSR	DEFINE:GithzeraiSR|0	BONUS:VAR|GithzeraiSR|TL+5	SOURCEPAGE:MM1						
																																						
Svirfneblin	CATEGORY:Internal	TYPE:GnomeSubrace.AltSubraceChoice		DESC:Also called deep gnomes, svirfneblin are said to dwell in great cities deep underground.	KEY:Gnome ~ Svirfneblin	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Gnome ~ Svirfneblin],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits						TEMPLATE:Svirfneblin Gnome	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeRacialVision	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Weapon Familiarity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeWeaponFamiliarity	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome Svirfneblin ~ Saving Throw|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Racial School DC Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeIllusionDC	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeAttacksBonus	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome Svirfneblin ~ Dodge Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Listen Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeRacialListenSkill	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Craft Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeRacialAlchemySkill	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome Svirfneblin ~ Spell-Like Abilities|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome Svirfneblin ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome Svirfneblin ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome Svirfneblin ~ Stonecunning|Gnome Svirfneblin ~ Darkvision|Gnome Svirfneblin ~ Nondetection|Gnome Svirfneblin ~ Hide Skill Bonus	DEFINE:SvirnfneblinSR|0	BONUS:VAR|SvirnfneblinSR|11+TL	SR:SvirnfneblinSR
Rock	CATEGORY:Internal	TYPE:GnomeSubrace.AltSubraceChoice		DESC:Shy and elusive, forest gnomes shun contact with other races except when dire emergencies threaten their beloved homes.	KEY:Gnome ~ Forest	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Gnome ~ Forest],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Forest Gnome	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeRacialVision	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Weapon Familiarity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeWeaponFamiliarity	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Illusion Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeSaveBonus	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Racial School DC Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeIllusionDC	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome Forest ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Dodge Giant Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeDodgeBonus	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Listen Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeRacialListenSkill	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Craft Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeRacialAlchemySkill	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Spell-Like Abilities|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeSpellLikeAbilities	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome Forest ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeFavoredClass	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome Forest ~ Pass without Trace	BONUS:VAR|ForestLanguage|1|TYPE=Racial		
																																						
Common	CATEGORY:Internal	TYPE:GoblinSubrace.GoblinBase			KEY:Goblin ~ Common									BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Common Goblin	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinDarkvision	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Move Silently Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinRacialMoveSilentlySkill	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Ride Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinRacialRideSkill	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinLanguages	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinFavoredClass				SOURCEPAGE:MM1						
																																						
Tallfellow	CATEGORY:Internal	TYPE:HalflingSubrace.AltSubraceChoice.HalflingSkillBonus		DESC:Tallfellow are somewhat rare among halfling folk.	KEY:Halfling ~ Tallfellow	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Halfling ~ Tallfellow],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Lightfoot Halfling		ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingSaveBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Fear Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingFearSaveBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingCombatBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling Tallfellow ~ Listen Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingLanguages	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingFavoredClass	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling Tallfellow ~ Search Skill Bonus|Halfling Tallfellow ~ Spot Skill Bonus							
Deep	CATEGORY:Internal	TYPE:HalflingSubrace.AltSubraceChoice.HalflingSkillBonus		DESC:These halflings are shorter and stockier than the more common Lightfeet.	KEY:Halfling ~ Deep	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Halfling ~ Deep],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Deep Halfling		ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingSaveBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Fear Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingFearSaveBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingCombatBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Listen Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingListenSkillBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingLanguages	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingFavoredClass	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling Deep ~ Darkvision|Halfling Deep ~ Stonecunning|Halfling Deep ~ Appraise Skill Bonus|Halfling Deep ~ Craft Skill Bonus							
																																						
Common	CATEGORY:Internal	TYPE:HobgoblinSubrace.HobgoblinBase			KEY:Hobgoblin ~ Common									BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Common Hobgoblin	ABILITY:Hobgoblin Race Trait|AUTOMATIC|Hobgoblin ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HobgoblinDarkvision	ABILITY:Hobgoblin Race Trait|AUTOMATIC|Hobgoblin ~ Move Silently Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HobgoblinRacialMoveSilentlySkill	ABILITY:Hobgoblin Race Trait|AUTOMATIC|Hobgoblin ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HobgoblinLanguages	ABILITY:Hobgoblin Race Trait|AUTOMATIC|Hobgoblin ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HobgoblinFavoredClass					SOURCEPAGE:MM1						
																																						
Common	CATEGORY:Internal	TYPE:KoboldSubrace.KoboldBase			KEY:Kobold ~ Common									BONUS:STAT|STR|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Common Kobold	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldDarkvision	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Craft Trapmaking Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldRacialCraftTrapmakingSkill	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Profession Miner Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldRacialProfessionMinerSkill	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Search Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldRacialSearchSkill	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldLanguages	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldFavoredClass			SOURCEPAGE:MM1						
																																						
Common	CATEGORY:Internal	TYPE:LizardfolkSubrace.LizardfolkBase			KEY:Lizardfolk ~ Common									BONUS:STAT|STR|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Common Lizardfolk	ABILITY:Lizardfolk Race Trait|AUTOMATIC|Lizardfolk ~ Hold Breath|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.LizardfolkHoldBreath	ABILITY:Lizardfolk Race Trait|AUTOMATIC|Lizardfolk ~ Balance Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.LizardfolkRacialBalanceSkill	ABILITY:Lizardfolk Race Trait|AUTOMATIC|Lizardfolk ~ Jump Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.LizardfolkRacialJumpSkill	ABILITY:Lizardfolk Race Trait|AUTOMATIC|Lizardfolk ~ Swim Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.LizardfolkRacialSwimSkill	ABILITY:Lizardfolk Race Trait|AUTOMATIC|Lizardfolk ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.LizardfolkLanguages	ABILITY:Lizardfolk Race Trait|AUTOMATIC|Lizardfolk ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.LizardfolkFavoredClass			SOURCEPAGE:MM1						
																																						
Common	CATEGORY:Internal	TYPE:MerfolkSubrace.MerfolkBase			KEY:Merfolk ~ Common									BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Common Merfolk	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Amphibious|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkAmphibious	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Swim Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkRacialSwimSkill	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkLanguages	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkFavoredClass					SOURCEPAGE:MM1						
																																						
Common	CATEGORY:Internal	TYPE:MindFlayerSubrace.MindFlayerBase			KEY:Mind Flayer ~ Common									BONUS:STAT|STR|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|8|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|6|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|6|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits				TEMPLATE:Common Mind Flayer	ABILITY:Mind Flayer Race Trait|AUTOMATIC|Mind Flayer ~ Mind Blast|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MindFlayerMindBlast	ABILITY:Mind Flayer Race Trait|AUTOMATIC|Mind Flayer ~ Psionics|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MindFlayerPsionics	ABILITY:Mind Flayer Race Trait|AUTOMATIC|Mind Flayer ~ Improved Grab|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MindFlayerImprovedGrab	ABILITY:Mind Flayer Race Trait|AUTOMATIC|Mind Flayer ~ Extract|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MindFlayerExtract	ABILITY:Mind Flayer Race Trait|AUTOMATIC|Mind Flayer ~ Spell Resistance|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MindFlayerSR	ABILITY:Mind Flayer Race Trait|AUTOMATIC|Mind Flayer ~ Telepathy|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MindFlayerTelepathy	ABILITY:Mind Flayer Race Trait|AUTOMATIC|Mind Flayer ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MindFlayerLanguages	ABILITY:Mind Flayer Race Trait|AUTOMATIC|Mind Flayer ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MindFlayerFavoredClass	SOURCEPAGE:MM1						
																																						
