SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM1	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07											
CLASS:Giant	HD:8	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:MM1	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel()*3/4|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:GiantLVL|0	BONUS:VAR|GiantLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/4)
CLASS:Giant	PRERACETYPE:Giant													
CLASS:Giant	STARTSKILLPTS:2	MODTOSKILLS:YES												
														
CLASS:Humanoid	HD:8	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:MM1	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel()*3/4|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:HumanoidLVL|0	BONUS:VAR|HumanoidLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/4)
CLASS:Humanoid	PRERACETYPE:Humanoid	!PRECLASS:1,Humanoid (Fortitude),Humanoid (Will)												
CLASS:Humanoid	STARTSKILLPTS:2	MODTOSKILLS:YES												
														
CLASS:Magical Beast	HD:10	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:MM1	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel()|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:MagicalBeastLVL|0	BONUS:VAR|MagicalBeastLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/3)
CLASS:Magical Beast	PRERACETYPE:Magical Beast													
CLASS:Magical Beast	STARTSKILLPTS:2	MODTOSKILLS:YES												
														
CLASS:Monstrous Humanoid	HD:8	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:MM1	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel()|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:MontrousHumanoidLVL|0	BONUS:VAR|MonstrousHumanoidLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/3)
CLASS:Monstrous Humanoid	PRERACETYPE:Monstrous Humanoid													
CLASS:Monstrous Humanoid	STARTSKILLPTS:2	MODTOSKILLS:YES												
														
CLASS:Ooze	HD:10	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:MM1	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel()*3/4|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:OozeLVL|0	BONUS:VAR|OozeLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/4)
CLASS:Ooze	PRERACETYPE:Ooze	!PRECLASS:1,Ooze (Intelligent)												
CLASS:Ooze	STARTSKILLPTS:0	MODTOSKILLS:NO												
														
CLASS:Outsider	HD:8	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:MM1	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel()|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:OutsiderLVL|0	BONUS:VAR|OutsiderLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/2)
CLASS:Outsider	PRERACETYPE:Outsider													
CLASS:Outsider	STARTSKILLPTS:8	MODTOSKILLS:YES												
														
CLASS:Plant	HD:8	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:MM1	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel()*3/4|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:PlantLVL|0	BONUS:VAR|PlantLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/4)
CLASS:Plant	PRERACETYPE:Plant	!PRECLASS:1,Plant (Mindless)												
CLASS:Plant	STARTSKILLPTS:2	MODTOSKILLS:YES												
														
CLASS:Undead	HD:12	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:MM1	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel()/2|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:UndeadLVL|0	BONUS:VAR|UndeadLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/4)
CLASS:Undead	PRERACETYPE:Undead	!PRECLASS:1,Undead (Mindless)												
CLASS:Undead	STARTSKILLPTS:4	MODTOSKILLS:YES												
														
CLASS:Vermin	HD:8	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:MM1	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel()*3/4|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:VerminLVL|0	BONUS:VAR|VerminLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/4)
CLASS:Vermin	PRERACETYPE:Vermin													
CLASS:Vermin	STARTSKILLPTS:2	MODTOSKILLS:YES												

CLASS:Humanoid (Fortitude)	HD:8	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:MM1	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel()*3/4|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:HumanoidLVL|0	BONUS:VAR|HumanoidLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/4)
CLASS:Humanoid (Fortitude)	PRERACETYPE:Humanoid	!PRECLASS:1,Humanoid,Humanoid (Will)	OUTPUTNAME:Humanoid											
CLASS:Humanoid (Fortitude)	STARTSKILLPTS:2	MODTOSKILLS:YES												
														
CLASS:Humanoid (Will)	HD:8	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:MM1	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel()*3/4|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:HumanoidLVL|0	BONUS:VAR|HumanoidLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/4)
CLASS:Humanoid (Will)	PRERACETYPE:Humanoid	!PRECLASS:1,Humanoid,Humanoid (Fortitude)	OUTPUTNAME:Humanoid											
CLASS:Humanoid (Will)	STARTSKILLPTS:2	MODTOSKILLS:YES												

CLASS:Animal (Dire)	HD:8	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:MM1	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel()*3/4|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:AnimalLVL|0	BONUS:VAR|AnimalLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/3)
CLASS:Animal (Dire)	PRERACETYPE:Animal	!PRECLASS:1,Animal	OUTPUTNAME:Animal											
CLASS:Animal (Dire)	STARTSKILLPTS:2	MODTOSKILLS:YES												

CLASS:Construct (Mindless)	HD:10	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:MM1	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel()*3/4|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:ConstructLVL|0	BONUS:VAR|ConstructLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/4)
CLASS:Construct (Mindless)	PRERACETYPE:Construct	!PRECLASS:1,Construct	OUTPUTNAME:Construct											
CLASS:Construct (Mindless)	STARTSKILLPTS:0	MODTOSKILLS:NO												
														
CLASS:Ooze (Intelligent)	HD:10	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:MM1	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel()*3/4|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:OozeLVL|0	BONUS:VAR|OozeLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/4)
CLASS:Ooze (Intelligent)	PRERACETYPE:Ooze	!PRECLASS:1,Ooze	OUTPUTNAME:Ooze											
CLASS:Ooze (Intelligent)	STARTSKILLPTS:2	MODTOSKILLS:YES												
														
CLASS:Plant (Mindless)	HD:8	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:MM1	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel()*3/4|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:PlantLVL|0	BONUS:VAR|PlantLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/4)
CLASS:Plant (Mindless)	PRERACETYPE:Plant	!PRECLASS:1,Plant	OUTPUTNAME:Plant											
CLASS:Plant (Mindless)	STARTSKILLPTS:0	MODTOSKILLS:NO												
														
CLASS:Undead (Mindless)	HD:12	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:MM1	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel()/2|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:UndeadLVL|0	BONUS:VAR|UndeadLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/4)
CLASS:Undead (Mindless)	PRERACETYPE:Undead	!PRECLASS:1,Undead	OUTPUTNAME:Undead											
CLASS:Undead (Mindless)	STARTSKILLPTS:0	MODTOSKILLS:NO												
