SOURCELONG:Seafarer's Handbook	SOURCESHORT:SHb	SOURCEWEB:http://www.fantasyflightgames.com																															
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Swim Skill Bonus	CATEGORY:Special Ability	TYPE:HalfMerrowRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Half-Merrow receive a +6 racial bonus on Swim checks if they are non-tailed, and a +8 racial bonus on Swim checks if they are tailed.	KEY:Half-Merrow ~ Swim Skill Bonus									BONUS:SKILL|Swim|6|TYPE=Racial	BONUS:SKILL|Swim|8|TYPE=Racial|PRETEMPLATE:1,Half-Merrow ~ Fish Tail																	SOURCEPAGE:Shb	
Natural Armor	CATEGORY:Special Ability	TYPE:HalfMerrowRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Half-Merrow skin is very thick, giving them a +1 natural bonus to AC.	KEY:Half-Merrow ~ Natural Armor									BONUS:COMBAT|AC|1|TYPE=NaturalArmor																		SOURCEPAGE:Shb	
Clumsy	CATEGORY:Special Ability	TYPE:HalfMerrowRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Half-Merrow fingers are thick and blunt, giving them a -2 circumstance penalty on any fine manipulation skills, such Pick Pockets or Disable Device	KEY:Half-Merrow ~ Clumsy									BONUS:SKILL|Sleight of Hand,Disable Device|-2																		SOURCEPAGE:Shb	
Oversize	CATEGORY:Special Ability	TYPE:HalfMerrowRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:While not Large creatures, half-merrow are at the very upper end of Medium-size and must pay 20%% more for armor and clothing.	KEY:Half-Merrow ~ Oversize																											SOURCEPAGE:Shb	
Amphibious	CATEGORY:Special Ability	TYPE:HalfMerrowRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Half-Merrow without a fish tail are capable of breathing air, though they prefer water. They suffer a -1 circumstance penalty on all rolls-skill and ability checks, attack rolls, damage rolls, saving throws, etc.- when out of water more than two hours.	KEY:Half-Merrow ~ Amphibious																											SOURCEPAGE:Shb	
Languages	CATEGORY:Special Ability	TYPE:HalfMerrowRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Aquan	KEY:Half-Merrow ~ Languages																		TEMPLATE:Half-Merrow ~ Half-Merrow ~ Languages									SOURCEPAGE:Shb	
Favored Class	CATEGORY:Special Ability	TYPE:HalfMerrowRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Barbarian. A multiclass half-merrow's barbarian class does not count when determining whether he suffers an XP penalty. Half-Merrow are creatures of the undersea wilderness, and the lust for battle runs hot in their veins.	KEY:Half-Merrow ~ Favored Class																		TEMPLATE:Half-Merrow ~ Half-Merrow ~ Favored Class									SOURCEPAGE:Shb	
																																	
# Elf ~ Coral Elf																																	
Weapon Proficiency	CATEGORY:Special Ability	TYPE:ElfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Coral elf are automatically proficient with the light crossbow and short spear.	KEY:Coral Elf ~ Weapon Proficiency																		AUTO:WEAPONPROF|Crossbow (Light)|Sword (Short)									SOURCEPAGE:Shb	
Favored Class	CATEGORY:Special Ability	TYPE:ElfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Wizard. A multiclass coral elf's wizard class does not count when determining whether he suffers an XP penalty. As with the surface elves, wizardry comes naturally to the civilized coral elves.	KEY:Coral Elf ~ Favored Class																		TEMPLATE:Elf ~ Coral ~ Favored Class									SOURCEPAGE:Shb	
# Elf ~ Kelp Elf																																	
Weapon Proficiency	CATEGORY:Special Ability	TYPE:ElfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Kelp elf are automatically proficient with the short spear and net.	KEY:Kelp Elf ~ Weapon Proficiency																		AUTO:WEAPONPROF|Shortspear|Net									SOURCEPAGE:Shb	
Favored Class	CATEGORY:Special Ability	TYPE:ElfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Ranger. A multiclass kelp elf's ranger class does not count when determining whether he suffers an XP penalty. Kelp elves are often drawn to the ranger's role as a wandering protector.	KEY:Kelp Elf ~ Favored Class																		TEMPLATE:Elf ~ Kelp ~ Favored Class									SOURCEPAGE:Shb	
# Elf ~ Deep Drow																																	
Pressure Sensitivity	CATEGORY:Special Ability	TYPE:ElfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Deep drow are highly adapted to life in the deepest parts of the ocean. If they ascend to within 200 feet of the surface, they must make a Fortitude save (DC 15) every 15 minutes or take 1d6 points of pressure damage.	KEY:Deep Drow Elf ~ Pressure Sensitivity																											SOURCEPAGE:Shb	
																																	
Race Traits ~ Abyssal Shark	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AbyssalSharkRaceTrait	AUTO:LANG|Aquan|Abyssal																													
Frightful Presence	CATEGORY:Special Ability	TYPE:AbyssalSharkRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Whenever an abyssal shark successfully attacks, its frightful presence ability affects all those with fewer Hit Dice or levels than the shark has. A character can resist the effects with a successful Will save (DC %1). A character who succeeds at the saving throw is immune to that creature's frightful presence for one day. The save DC is Charisma-based.|FrightfulPresenceDC	KEY:Abyssal Shark ~ Frightful Presence				DEFINE:FrightfulPresenceDC|0					BONUS:VAR|FrightfulPresenceDC|DefaultDCCha	BONUS:VAR|FrightfulPresenceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Frightful Presence)								ABILITY:Ability Focus|AUTOMATIC|Frightful Presence									SOURCEPAGE:Shb	
Underwater Sense	CATEGORY:Special Ability	TYPE:AbyssalSharkRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An abyssal shark can locate creatures underwater within a 30-foot radius. This ability negates the effects of invisibility and poor visibility. It is less effective against creatures without central nervous systems, such as undead, oozes, and constructs; an abyssal shark can locate such creatures only within a 15-foot radius. Abyssal sharks are not fooled by figments when underwater.	KEY:Abyssal Shark ~ Underwater Sense																											SOURCEPAGE:Shb	
Size Change	CATEGORY:Special Ability	TYPE:AbyssalSharkRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:This power allows the abyssal shark to traverse the narrow passages of the Underdeep, a task that would be otherwise impossible. At will, it may become a Medium- ize creature, changing its size modifier to AC to +0 and granting it a +12 bonus on Hide checks. The creature's Strength is reduced to 18, its hit points to 25, and its bite damage to 1d6+4. The abyssal shark is very vulnerable during this time (relatively speaking) and avoids conflict. Given that it is a black shark in black water, this is not too difficult. It only shrinks when it is sure no one is watching.	KEY:Abyssal Shark ~ Size Change																											SOURCEPAGE:Shb	
Improved Grab	CATEGORY:Special Ability	TYPE:AbyssalSharkRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, the abyssal shark must hit with its bite attack. If it gets a hold, it can attempt to swallow the opponent.	KEY:Abyssal Shark ~ Improved Grab																											SOURCEPAGE:Shb	
Swallow Whole	CATEGORY:Special Ability	TYPE:AbyssalSharkRaceTrait.SpecialAttack.Extraordinary.Swallow Whole	VISIBLE:YES	DESC:An abyssal shark can try to swallow a grabbed opponent of Huge size or smaller by making a successful grapple check. After swallowing an opponent, it can use its Cleave feat to bite and grab another opponent. The swallowed creature takes 2d12+12 points of crushing damage and 12 points of acid damage per round from the shark's stomach. A swallowed creature can also cut its way out by using claws or a small to large slashing weapon to deal 50 points of damage to the stomach (AC 16). Once the creature exits, muscular action closes the hole; another swallowed opponent must again cuThis own way out.	KEY:Abyssal Shark ~ Swallow Whole																											SOURCEPAGE:Shb	
Ranged Bite	CATEGORY:Special Ability	TYPE:AbyssalSharkRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:By taking a full attack action, an abyssal shark can use its bite as a ranged attack against any target it can sense within 50 feet. It can grab and swallow with this ranged bite just as if it were engaging in melee. Very often, the first indication of an attack by an abyssal shark is some luckless soul being bitten in half with no visible cause. This attack triggers the creature's frightful presence ability.	KEY:Abyssal Shark ~ Ranged Bite																											SOURCEPAGE:Shb	
Skills	CATEGORY:Special Ability	TYPE:AbyssalSharkRaceTrait.SpecialQuality	VISIBLE:YES	DESC:The abyssal shark is darkness swimming through darkness. If its mouth is closed and there is no light source, it receives a +8 racial bonus to Hide checks.	KEY:Abyssal Shark ~ Skills									BONUS:SITUATION|Swim=In darkness|8|TYPE=Racial																		SOURCEPAGE:Shb	
																																	
Race Traits ~ Golem (Coral)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Golem Subtraits|TYPE=GolemCoralRaceTrait																														
Immunity To Magic	CATEGORY:Special Ability	TYPE:GolemCoralRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Golems completely resist most magical and supernatural effects. Repel vermin, antilife shell, and antiplant shell all affect them normally, since they are collective entities composed of both animal and plant matter. Diminish plants deals 4d6 points of damage to a coral golem.	KEY:Golem (Coral) ~ Immunity To Magic																											SOURCEPAGE:Shb	
Regeneration	CATEGORY:Special Ability	TYPE:GolemCoralRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:As long as the coral golem is still alive it can heal itself rapidly. Only crushing weapons and fire do normal damage to it. These attacks are neither common nor especially effective underwater.	KEY:Golem (Coral) ~ Regeneration									BONUS:VAR|RegenerationRate|5|TYPE=Racial																		SOURCEPAGE:Shb	
Swimming	CATEGORY:Special Ability	TYPE:GolemCoralRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:As constructs, coral golems do not have skills. However, treat them as if they had Swim +8 for all Swim checks.	KEY:Golem (Coral) ~ Swimming																											SOURCEPAGE:Shb	
Aquatic Native	CATEGORY:Special Ability	TYPE:GolemCoralRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A coral golem is considered an aquatic native for all purposes. Furthermore, its slam attacks suffer no penalties underwater.	KEY:Golem (Coral) ~ Aquatic Native																											SOURCEPAGE:Shb	
Reefseeming	CATEGORY:Special Ability	TYPE:GolemCoralRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The coral golem can blend into a reef composed of the same or similar types of coral as itself. Detecting a motionless coral golem requires a Spot check (DC 28).	KEY:Golem (Coral) ~ Reefseeming																											SOURCEPAGE:Shb	
Water Dependency	CATEGORY:Special Ability	TYPE:GolemCoralRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Out of water, the coral golem weakens rapidly. It cannot regenerate and takes 1d4 points of damage per round.	KEY:Golem (Coral) ~ Water Dependency																											SOURCEPAGE:Shb	
																																	
Race Traits ~ Drowned Dead	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DrownedDeadRaceTrait																														
-	CATEGORY:Special Ability	TYPE:DrownedDeadRaceTrait	VISIBLE:DISPLAY		KEY:Drowned Dead ~ -																											SOURCEPAGE:Shb	
																																	
Race Traits ~ Hippocampus (Heavy)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=HippocampusHeavyRaceTrait|Scent																														
Training	CATEGORY:Special Ability	TYPE:HippocampusHeavyRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Hippocampus (Heavy) ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:Shb	
