SOURCELONG:Gozzilioni Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Stormwing	CATEGORY:Special Ability	TYPE:AbeilSoldierRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a full-round action, a soldier in flight can hover and deliver a destructive sonic attack with its wings. The attack deals 6d6 points of sonic damage to all (except other abeils) within a 40-foot burst (Reflex save DC %1 for half damage). Once the soldier uses this ability, it must wait 1d4 rounds before using it again.|StormwingDC	KEY:Abeil (Soldier) ~ Stormwing				DEFINE:StormwingDC|0					BONUS:VAR|StormwingDC|DefaultDCCon	BONUS:VAR|StormwingDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Stormwing)								ABILITY:Ability Focus|AUTOMATIC|Stormwing									SOURCEPAGE:MM2	
Favored Enemy	CATEGORY:Special Ability	TYPE:AbeilSoldierRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An abeil soldier may select a type of creature as a special enemy.This ability is similar to the ranger's favored enemy ability, and the soldier may choose from the same list (see the Ranger entry in Chapter 3 of the Player's Handbook). Each soldier may select only one special enemy.	KEY:Abeil (Soldier) ~ Favored Enemy									BONUS:VAR|FavoredEnemyCount|1		BONUS:VAR|FavoredEnemyBonusCount|1	BONUS:VAR|FavoredEnemyBaseBonus|2|TYPE=Base		ABILITY:Special Ability|AUTOMATIC|Favored Enemy													SOURCEPAGE:MM2	
																																	
Race Traits ~ Abeil (Queen)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AbeilQueenRaceTrait|TYPE=AbeilSubRaceTrait	AUTO:LANG|Common|Elven|Sylvan										BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|AdvancementByClass|1	BONUS:VAR|Maneuverability|4|TYPE=Base							ABILITY:FEAT|AUTOMATIC|Great Fortitude										
Improved Grab	CATEGORY:Special Ability	TYPE:AbeilQueenRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A vassal's grapple bonus is +18.	KEY:Abeil (Queen) ~ Improved Grab									BONUS:COMBAT|TOHIT.GRAPPLE|18|TYPE=Racial																		SOURCEPAGE:MM2	
Poison	CATEGORY:Special Ability	TYPE:AbeilQueenRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d2 STR, secondary damage 1d2 STR. The save DC is Constitution-based.|PoisonDC	KEY:Abeil (Queen) ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:MM2	
Spells	CATEGORY:Special Ability	TYPE:AbeilQueenRaceTrait.SpecialAttack	VISIBLE:YES	DESC:An abeil queen can cast divine spells as a 16th level druid.	KEY:Abeil (Queen) ~ Spells																											SOURCEPAGE:MM2	
																																	
Race Traits ~ Ash Rat	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AshRatRaceTrait																														
Flame Spit	CATEGORY:Special Ability	TYPE:AshRatRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per round, an ash rat can spit flames at one target up to 10 feet away. This attack deals 1d4 points of fire damage.	KEY:Ash Rat ~ Flame Spit																											SOURCEPAGE:MM2	
Heat	CATEGORY:Special Ability	TYPE:AshRatRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:An ash rat's body heat deals 1d2 points of fire damage to each creature (except another ash rat) that touches it. Any flammable item in contact with an ash rat must make a successful Reflex save (DC %1) or catch fire (see Catching on Fire in Chapter 3 of the DUNGEON MASTER'S Guide). When an ash rat dies, its body burns away completely in 1 round.|HeatDC	KEY:Ash Rat ~ Heat				DEFINE:HeatDC|0					BONUS:VAR|HeatDC|DefaultDCCon	BONUS:VAR|HeatDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Heat)								ABILITY:Ability Focus|AUTOMATIC|Heat									SOURCEPAGE:MM2	
Fire Heal	CATEGORY:Special Ability	TYPE:AshRatRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Fire and heat heal an ash rat's wounds. For every round that the creature is exposed to flame or heat intense enough to deal at least 1 point of damage, the creature instead gains the benefit of a cure minor wounds spell (1 hit point healed). Two or more ash rats touching each other provide enough heat for fire healing.	KEY:Ash Rat ~ Fire Heal																											SOURCEPAGE:MM2	
Smoky Hide	CATEGORY:Special Ability	TYPE:AshRatRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An ash rat continually sheds smoke from its body. This smoky haze is so thick that it grants concealment (20%% miss chance) and makes hiding easier (see Skills, below). Though it is difficult to see the ash rat because of the smoke rising from its body, the smoke itself is visible, provided that the area has sufficient light by which to see it.	KEY:Ash Rat ~ Smoky Hide																											SOURCEPAGE:MM2	
Skills	CATEGORY:Special Ability	TYPE:AshRatRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An ash rat uses its Dexterity modifier instead of its Strength modifier for Climb checks. *In smoky or foggy areas, an ash rat gains a +8 bonus on Hide checks.	KEY:Ash Rat ~ Skills									BONUS:SKILL|Climb|max(STR,DEX)-STR	BONUS:SITUATION|Hide=Smoky or foggy area|8|TYPE=Racial																	SOURCEPAGE:MM2	
																																	
Race Traits ~ Asperi	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AsperiRaceTrait											BONUS:VAR|Maneuverability|4|TYPE=Base																			
Dodge Arrows	CATEGORY:Special Ability	TYPE:AsperiRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A flying asperi gains a +2 dodge bonus to AC against any missile attack during any turn in which it takes a move action. If it has a rider, he or she also gains the bonus. The bonus lasts until the asperi's next turn.	KEY:Asperi ~ Dodge Arrows																											SOURCEPAGE:MM2	
Feather Fall	CATEGORY:Special Ability	TYPE:AsperiRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Asperi ~ Feather Fall																		SPELLS:Innate|TIMES=4|CASTERLEVEL=4|Feather Fall									SOURCEPAGE:MM2	
Ride the Wind	CATEGORY:Special Ability	TYPE:AsperiRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:This ability is similar to the effect of the air walk spell in most respects. When an asperi uses ride the wind, it gains bonus movement (+1 ft. to fly speed for each 1 mph of the prevailing wind) when moving with winds faster than 20 mph. Adverse winds do not slow the creature down, but they provide no bonus movement. An asperi carrying a rider gallops through the air so smoothly that the rider can cast spells without making Concentration checks, provided that the asperi does not attack or perform any sudden aerial maneuvers.	KEY:Asperi ~ Ride the Wind																											SOURCEPAGE:MM2	
Telepathy	CATEGORY:Special Ability	TYPE:AsperiRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An asperi can communicate with any creature that has an Intelligence score of at least 1 through a form of telepathy. This communication has a range of 60 feet, and its complexity is limited by the Intelligence score of the other creature.	KEY:Asperi ~ Telepathy									BONUS:VAR|TelepathyRange|60|TYPE=Base																		SOURCEPAGE:MM2	
Uncanny Dodge	CATEGORY:Special Ability	TYPE:AsperiRaceTrait.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:Because of its preternatural alertness, an asperi retains its Dexterity bonus to AC even when flat-footed, and it cannot be flanked except by a rogue of at least %1 th level. It can flank characters with the uncanny dodge ability as if it were a %2th-level rogue.|UncannyDodgeFlankingLevel|UncannyDodgeFlankingLevel-4	KEY:Asperi ~ Uncanny Dodge									BONUS:VAR|UncannyDodgeTracker|1	BONUS:VAR|UncannyDodgeFlankingLevel|HD																	SOURCEPAGE:MM2	
Wind Immunity	CATEGORY:Special Ability	TYPE:AsperiRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Winds, either natural or magical, have no effect on an asperi unless it chooses to ride them for additional movement (see Ride the Wind, above). This benefit applies equally to mountain gales, magical windstorms, elemental whirlwinds, and other similar effects.	KEY:Asperi ~ Wind Immunity																											SOURCEPAGE:MM2	
Training	CATEGORY:Special Ability	TYPE:AsperiRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Training an asperi requires a successful Handle Animal check (DC 22 for a young asperi, DC 29 for an adult) and the willing cooperation of the creature.	KEY:Asperi ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:MM2	
																																	
Race Traits ~ Automaton (Pulverizer)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AutomatonPulverizerRaceTrait|TYPE=AutomatonSubRaceTrait																														
Sonic Shriek	CATEGORY:Special Ability	TYPE:AutomatonPulverizerRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Once per round as a standard action, a pulverizer can loose a cone of sonic energy 30 feet long. Everything within the cone takes 1d8 points of sonic damage. In addition, every creature within the cone that fails a Fortitude save (DC %1) is stunned for 1 round. (This value incorporates a +5 racial bonus to the save DC.)|SonicShriekDC	KEY:Automaton (Pulverizer) ~ Sonic Shriek				DEFINE:SonicShriekDC|0					BONUS:VAR|SonicShriekDC|DefaultDCCon	BONUS:VAR|SonicShriekDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Sonic Shriek)	BONUS:VAR|SonicShriekDC|5|TYPE=Racial							ABILITY:Ability Focus|AUTOMATIC|Sonic Shriek									SOURCEPAGE:MM2	
Blindsight	CATEGORY:Special Ability	TYPE:AutomatonPulverizerRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A pulverizer is blind, but it maneuvers and fights as well as a sighted creature by using sonar, like that of a bat. This ability enables it to discern objects and creatures within 40 feet. The pulverizer usually does not need to make Spot or Listen checks to notice creatures within range of its blindsight. A silence spell negates this ability.	KEY:Automaton (Pulverizer) ~ Blindsight									BONUS:VAR|BlindsightRange|40|TYPE=Base																		SOURCEPAGE:MM2	
																																	
Race Traits ~ Automaton (Hammerer)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AutomatonHammererRaceTrait|TYPE=AutomatonSubRaceTrait																														
-	CATEGORY:Special Ability	TYPE:AutomatonHammererRaceTrait	VISIBLE:DISPLAY		KEY:Automaton (Hammerer) ~ -																											SOURCEPAGE:MM2	
																																	
Race Traits ~ Avolakia	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AvolakiaRaceTrait|Resistance To Fire											BONUS:VAR|AdvancementByClass|1	BONUS:VAR|FireResistanceBonus|10|TYPE=Resistance								ABILITY:FEAT|AUTOMATIC|Multiattack										
Poison	CATEGORY:Special Ability	TYPE:AvolakiaRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d6 WIS, secondary damage 2d6 WIS. The save DC is Constitution-based.|PoisonDC	KEY:Avolakia ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:MM2	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:AvolakiaRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Avolakia ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Chill Touch|Cause Fear|Detect Magic|Disrupt Undead|Gentle Repose|Ghoul Touch|Halt Undead|Mage Hand|Read Magic|Spectral Hand	SPELLS:Innate|TIMES=3|CASTERLEVEL=14|Animate Dead|Create Undead|Enervation|Vampiric Touch								SOURCEPAGE:MM2	
Suggestion	CATEGORY:Special Ability	TYPE:AvolakiaRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:When in humanoid form, an avolakia has a melodious and hypnotic voice. By speaking soothingly to any one creature in range that understands its spoken words, the avolakia can create an effect identical to that of a quickened suggestion spell (caster level 10th; Will save DC %1). An opponent in eye contact with the creature while it makes its suggestion takes a -2 penalty on the saving throw. The avolakia can use this ability a number of times per day equal to its Charisma modifier (usually six times per day. %2/day).|SuggestionDC|SuggestionTimes	KEY:Avolakia ~ Suggestion				DEFINE:SuggestionDC|0	DEFINE:SuggestionTimes|0				BONUS:VAR|SuggestionDC|DefaultDCCha	BONUS:VAR|SuggestionDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Suggestion)	BONUS:VAR|SuggestionTimes|CHA							ABILITY:Ability Focus|AUTOMATIC|Suggestion									SOURCEPAGE:MM2	
Defensive Aura	CATEGORY:Special Ability	TYPE:AvolakiaRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:An avolakia has a +6 deflection bonus to Armor Class. This ability is always in effect.	KEY:Avolakia ~ Defensive Aura									BONUS:COMBAT|AC|CHA|TYPE=Deflection																		SOURCEPAGE:MM2	
Immunities	CATEGORY:Special Ability	TYPE:AvolakiaRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Because of its close association with undead, the avolakia has developed immunity to cold, disease, energy drain, and paralysis.	KEY:Avolakia ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity To Cold|Immunity To Disease|Immunity To Energy Drain|Immunity To Paralysis									SOURCEPAGE:MM2	
Regeneration	CATEGORY:Special Ability	TYPE:AvolakiaRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An avolakia takes normal damage from acid, fire, and electricity.	KEY:Avolakia ~ Regeneration									BONUS:VAR|RegenerationRate|4|TYPE=Racial									ABILITY:Special Ability|AUTOMATIC|Regeneration									SOURCEPAGE:MM2	ASPECT:NAME|Regeneration %1|RegenerationRate
Skills	CATEGORY:Special Ability	TYPE:AvolakiaRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Because of the slime it constantly exudes, an avolakia gains a +10 competence bonus on Escape Artist checks.	KEY:Avolakia ~ Skills									BONUS:SKILL|Escape Artist|10|TYPE=Competence																		SOURCEPAGE:MM2	
Change Shape	CATEGORY:Special Ability	TYPE:AvolakiaRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An avolakia can assume any humanoid form, or revert to its own form, as a standard action.	KEY:Avolakia ~ Change Shape																											SOURCEPAGE:MM2	
																																	
Race Traits ~ Banshee	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BansheeRaceTrait											BONUS:VAR|Maneuverability|4|TYPE=Base									ABILITY:FEAT|AUTOMATIC|Iron Will										
Charisma Drain	CATEGORY:Special Ability	TYPE:BansheeRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An individual struck by a banshee must make a Fortitude save (DC %1) or permanently lose 1d4 points of Charisma (or 2d4 points on a critical hit). The banshee heals 5 points of damage (10 on a critical hit) whenever it drains Charisma, gaining any excess as temporary hit points.|CharismaDrainDC	KEY:Banshee ~ Charisma Drain				DEFINE:CharismaDrainDC|0					BONUS:VAR|CharismaDrainDC|DefaultDCCha	BONUS:VAR|CharismaDrainDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Charisma Drain)								ABILITY:Ability Focus|AUTOMATIC|Charisma Drain									SOURCEPAGE:MM2	
Horrific Appearance	CATEGORY:Special Ability	TYPE:BansheeRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any living creature within 60 feet that views a banshee must make a successful Fortitude save (DC %1) or permanently lose 1d4 points of Strength, 1d4 points ofDexterity, and 1d4 points of Constitution. A creature that successfully saves against this effect cannot be affected by the same banshee's horrific appearance for 24 hours. The save DC is Charisma-based.|HorrificAppearanceDC	KEY:Banshee ~ Horrific Appearance				DEFINE:HorrificAppearanceDC|0					BONUS:VAR|HorrificAppearanceDC|DefaultDCCha	BONUS:VAR|HorrificAppearanceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Horrific Appearance)								ABILITY:Ability Focus|AUTOMATIC|Horrific Appearance									SOURCEPAGE:MM2	
Wail	CATEGORY:Special Ability	TYPE:BansheeRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:During the night, a banshee can loose a deadly wail. This attack can slay up to eighteen living creatures within a 30-foot spread centered on the banshee, or within a 60-foot cone extending from the banshee, at the creature's option. A successful Fortitude save (DC %1) negates the effect. Once a banshee wails, it must wait 1d4 rounds before it can do so again, and it can wail no more than three times per day.|WailDC	KEY:Banshee ~ Wail				DEFINE:WailDC|0					BONUS:VAR|WailDC|DefaultDCCha	BONUS:VAR|WailDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Wail)								ABILITY:Ability Focus|AUTOMATIC|Wail									SOURCEPAGE:MM2	
Detect Living	CATEGORY:Special Ability	TYPE:BansheeRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:This ability functions like the commune with nature spell, except that it detects only living creatures and the range is one-half mile. The banshee can use detect living up to three times per day.	KEY:Banshee ~ Detect Living																											SOURCEPAGE:MM2	
Stunt Plants	CATEGORY:Special Ability	TYPE:BansheeRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Once per day, a banshee can stunt all normal plants within a one-half mile radius. This ability otherwise functions like the stunt version of a diminish plants spell (caster level 18th).	KEY:Banshee ~ Stunt Plants																											SOURCEPAGE:MM2	
																																	
Race Traits ~ Bladeling	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BladelingRaceTrait|Resistance To Cold|Resistance To Fire	AUTO:LANG|Common										BONUS:VAR|AdvancementByClass|1	BONUS:VAR|ColdResistanceBonus|5|TYPE=Resistance	BONUS:VAR|FireResistanceBonus|5|TYPE=Resistance																	
Razor Storm	CATEGORY:Special Ability	TYPE:BladelingRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Once per day, a bladeling can expel shrapnellike bits of its skin in a 15-foot cone, dealing 2d6 points of piercing damage to any creature in the area. A Reflex save (DC %1) halves the damage. After this attack, the bladeling's natural armor bonus drops to +2 for 24 hours.|RazorStormDC	KEY:Bladeling ~ Razor Storm				DEFINE:RazorStormDC|0					BONUS:VAR|RazorStormDC|DefaultDCCon	BONUS:VAR|RazorStormDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Razor Storm)								ABILITY:Ability Focus|AUTOMATIC|Razor Storm									SOURCEPAGE:MM2	
Immunities	CATEGORY:Special Ability	TYPE:BladelingRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A bladeling takes no damage from acid, and it is immune to rust attacks despite its metallic hide.	KEY:Bladeling ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity To Acid|Immunity To Rust attacks										
																																	
Race Traits ~ Blood Ape	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BloodApeRaceTrait|Scent																														
Growth	CATEGORY:Special Ability	TYPE:BloodApeRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:The alpha male in every group of blood apes can use this power up to eight times per day. It functions like an animal growth spell (caster level 9th), except that it works only on adult male blood apes.	KEY:Blood Ape ~ Growth																		SPELLS:Innate|TIMES=8|CASTERLEVEL=HD|Animal Growth									SOURCEPAGE:MM2	
Improved Grab	CATEGORY:Special Ability	TYPE:BloodApeRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If a blood ape hits an opponent that is at least one size category smaller than itself with a claw attack, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity (grapple bonus +13, or +25 if under growth effect). If it hits with both claws, it can also rend in the same round. Once it has a hold, the blood ape has the option to conduct the grapple normally, or simply use its claw to hold the opponent (-20 penalty on grapple check, but the blood ape is not considered grappled). In either case, each successful grapple check it makes during successive rounds automatically deals claw damage.	KEY:Blood Ape ~ Improved Grab																											SOURCEPAGE:MM2	
Rend	CATEGORY:Special Ability	TYPE:BloodApeRaceTrait.SpecialAttack.Extraordinary.Rend	VISIBLE:YES	DESC:If a blood ape hits with both claws, it latches onto the opponent's body and tears the flesh. This attack automatically deals an additional 2d4+7 points of damage (or 2d4+13 if under a growth effect; see above).	KEY:Blood Ape ~ Rend									BONUS:VAR|RendDice|2	BONUS:VAR|RendDieSize|4|TYPE=Base																	SOURCEPAGE:MM2	
																																	
Race Traits ~ Boggle	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BoggleRaceTrait|Resistance To Fire|Scent	AUTO:LANG|Boggle										BONUS:VAR|FireResistanceBonus|5|TYPE=Resistance																			
