SOURCELONG:Gozzilioni Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-09																																																																	
																																																																				
#MM2 aggiornato alla 3.5																																																																				
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells	SORTKEY:			
Blood Ape			STARTFEATS:1	SIZE:L	MOVE:Walk,30,Climb,30	FACE:10	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1				BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Climb|Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Blood Ape							DR:10/Magic		MONSTERCLASS:Magical Beast:4	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:8,12		CR:6	SOURCEPAGE:MM2					
Boggle			STARTFEATS:1	SIZE:S	MOVE:Walk,40,Climb,30	FACE:5	REACH:15	BONUS:VAR|DarkvisionRange|60|TYPE=Base					BONUS:COMBAT|AC|2|TYPE=NaturalArmor							BONUS:STAT|DEX|10		BONUS:STAT|INT|-6	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-4												LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Boggle							DR:5/Magic		MONSTERCLASS:Monstrous Humanoid:1	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid					HITDICEADVANCEMENT:8,12		CR:3	SOURCEPAGE:MM2					
Bogun			STARTFEATS:1	SIZE:T	MOVE:Walk,20,Fly,50	FACE:2.5	REACH:0			KIT:1|TN									BONUS:STAT|STR|-4	BONUS:STAT|DEX|6		BONUS:STAT|INT|-2	BONUS:STAT|WIS|2													LEGS:2	HANDS:2	BONUS:WEAPONPROF=Nettles|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Nettles,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Poison,*1,1d4,SPROP=Poison		ABILITY:Internal|AUTOMATIC|Race Traits ~ Bogun									MONSTERCLASS:Construct:2	RACETYPE:Construct		TYPE:Construct					HITDICEADVANCEMENT:6		CR:1	SOURCEPAGE:MM2					
Naga (Bone)	OUTPUTNAME:Naga, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10			KIT:1|LE			BONUS:COMBAT|AC|6|TYPE=NaturalArmor						BONUS:STAT|STR|6	BONUS:STAT|DEX|2		BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Concentration|Diplomacy|Hide|Intimidate|Listen|Sense Motive|Spellcraft									LEGS:0	HANDS:0				NATURALATTACKS:Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,2d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Bone Naga						SR:23	DR:5/Bludgeoning or Piercing		MONSTERCLASS:Naga (Bone):15	RACETYPE:Undead		TYPE:Undead					HITDICEADVANCEMENT:21,45		CR:11	SOURCEPAGE:MM2					
Ooze (Bone)	OUTPUTNAME:Ooze, [NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,20	FACE:20	REACH:15	BONUS:VAR|BlindsightRange|60|TYPE=Base		KIT:1|TN									BONUS:STAT|STR|30	BONUS:STAT|DEX|-10	BONUS:STAT|CON|18		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10												LEGS:0	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d8,SPROP=Ability Drain and Wounding		ABILITY:Internal|AUTOMATIC|Race Traits ~ Bone Ooze						SR:32	DR:15/Magic and Bludgeoning		MONSTERCLASS:Ooze:20	RACETYPE:Ooze		TYPE:Ooze	TEMPLATE:Mindless				HITDICEADVANCEMENT:30,60		CR:21	SOURCEPAGE:MM2					
Braxat		FAVCLASS:Ranger	STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:5	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base				LANGBONUS:Common	BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|2				MONCSKILL:Intimidate|Jump|Listen|Spot|Survival			AUTO:WEAPONPROF|Greatclub						LEGS:2	HANDS:2	BONUS:WEAPONPROF=Gore|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Gore,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Braxat							DR:10/Magic		MONSTERCLASS:Monstrous Humanoid:10	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid						LEVELADJUSTMENT:7	CR:9	SOURCEPAGE:MM2					
Breathdrinker			STARTFEATS:1	SIZE:M	MOVE:Fly,80	FACE:5	REACH:5			KIT:1|CE			BONUS:COMBAT|AC|4|TYPE=NaturalArmor							BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Hide|Move Silently|Search|Spot|Survival									LEGS:0	HANDS:2	BONUS:WEAPONPROF=Wind Scythe|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Wind Scythe,Weapon.Natural.Finesseable.Melee.Slashing,*1,2d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Breathdrinker							DR:10/Magic		MONSTERCLASS:Elemental (Air/Fire):8	RACETYPE:Elemental	RACESUBTYPE:Air	TYPE:Elemental					HITDICEADVANCEMENT:8,16,24	LEVELADJUSTMENT:7	CR:7	SOURCEPAGE:MM2					
Bronze Serpent				SIZE:H	MOVE:Walk,50,Burrow,30,Climb,30	FACE:15	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|TN			BONUS:COMBAT|AC|9|TYPE=NaturalArmor						BONUS:STAT|STR|14	BONUS:STAT|DEX|18			BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8												LEGS:0	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6,SPROP=Shocking Bite		ABILITY:Internal|AUTOMATIC|Race Traits ~ Bronze Serpent						SR:21	DR:10/Adamantine		MONSTERCLASS:Construct:16	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Mindless				HITDICEADVANCEMENT:32,48		CR:10	SOURCEPAGE:MM2					
Catoblepas			STARTFEATS:1	SIZE:H	MOVE:Walk,30	FACE:15	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|TN			BONUS:COMBAT|AC|10|TYPE=NaturalArmor						BONUS:STAT|STR|16	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Jump|Listen|Spot|Survival									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Tail Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Tail Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6,SPROP=Stun		ABILITY:Internal|AUTOMATIC|Race Traits ~ Catoblepas									MONSTERCLASS:Aberration:6	RACETYPE:Aberration		TYPE:Aberration					HITDICEADVANCEMENT:12,18		CR:6	SOURCEPAGE:MM2					
Guardinal (Cervidal)	OUTPUTNAME:Guardinal, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,50	FACE:5	REACH:5		BONUS:VAR|HasLowLightVision|1				BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Balance|Concentration|Heal|Intimidate|Jump|Knowledge (The Planes)|Listen|Spellcraft|Spot				AUTO:ARMORPROF|ARMORTYPE=Light					LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6|Butt,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d3		ABILITY:Internal|AUTOMATIC|Race Traits ~ Cervidal									MONSTERCLASS:Outsider:4	RACETYPE:Outsider	RACESUBTYPE:Guardinal|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:12	LEVELADJUSTMENT:5	CR:3	SOURCEPAGE:MM2					
Guardinal (Lupinal)	OUTPUTNAME:Guardinal, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,50	FACE:5	REACH:5		BONUS:VAR|HasLowLightVision|1				BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|12	BONUS:STAT|DEX|10	BONUS:STAT|CON|2	BONUS:STAT|INT|6	BONUS:STAT|WIS|8	BONUS:STAT|CHA|4			MONCSKILL:Balance|Climb|Concentration|Diplomacy|Hide|Jump|Listen|Move Silently|Spot|Survival|Tumble				AUTO:ARMORPROF|ARMORTYPE=Light					LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Lupinal							DR:5/Evil		MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Guardinal|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:24	LEVELADJUSTMENT:7	CR:5	SOURCEPAGE:MM2					
Golem (Chain)	OUTPUTNAME:Golem, [NAME]			SIZE:M	MOVE:Walk,30	FACE:5	REACH:10			KIT:1|TN			BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|8	BONUS:STAT|DEX|6				BONUS:STAT|CHA|-10												LEGS:0	HANDS:2				NATURALATTACKS:Chain Rake,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8,SPROP=Wounding		ABILITY:Internal|AUTOMATIC|Race Traits ~ Chain Golem									MONSTERCLASS:Construct:7	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Mindless				HITDICEADVANCEMENT:10,21		CR:5	SOURCEPAGE:MM2					
Roc (Chaos)	OUTPUTNAME:Roc, [NAME]		STARTFEATS:1	SIZE:C	MOVE:Walk,40,Fly,120	FACE:30	REACH:15			KIT:1|CN			BONUS:COMBAT|AC|21|TYPE=NaturalArmor						BONUS:STAT|STR|32	BONUS:STAT|DEX|4	BONUS:STAT|CON|18	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Listen|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,4d6	NATURALATTACKS:Wing,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6	ABILITY:Internal|AUTOMATIC|Race Traits ~ Chaos Roc						SR:33	DR:15/Epic		MONSTERCLASS:Magical Beast:33	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:99		CR:22	SOURCEPAGE:MM2					
Cloaked Ape			STARTFEATS:1	SIZE:M	MOVE:Walk,40,Climb,30,Fly,40	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor							BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-6			MONCSKILL:Climb|Listen|Spot|Survival|Tumble									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Cloaked Ape							DR:5/Silver		MONSTERCLASS:Magical Beast:4	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:8,12	LEVELADJUSTMENT:2	CR:2	SOURCEPAGE:MM2					
Clockwork Horror (Electrum)	OUTPUTNAME:Clockwork Horror, [NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,30	FACE:5	REACH:5			KIT:1|LE			BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|2	BONUS:STAT|DEX|2		BONUS:STAT|INT|-6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-6			MONCSKILL:Climb									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Razor Saw|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Razor Saw,Weapon.Natural.Finesseable.Melee.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Electrum Clockwork Horror						SR:17			MONSTERCLASS:Construct:4	RACETYPE:Construct	RACESUBTYPE:Clockwork Horror	TYPE:Construct							CR:4	SOURCEPAGE:MM2					
Clockwork Horror (Gold)	OUTPUTNAME:Clockwork Horror, [NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,30	FACE:5	REACH:5			KIT:1|LE			BONUS:COMBAT|AC|9|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|4		BONUS:STAT|INT|-2	BONUS:STAT|WIS|6				MONCSKILL:Climb									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Razor Saw|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Razor Saw,Weapon.Natural.Finesseable.Melee.Slashing,*1,1d10,SPROP=Against magic weapons and items functions as a +2 weapon		ABILITY:Internal|AUTOMATIC|Race Traits ~ Gold Clockwork Horror						SR:18			MONSTERCLASS:Construct:8	RACETYPE:Construct	RACESUBTYPE:Clockwork Horror	TYPE:Construct							CR:5	SOURCEPAGE:MM2					
Clockwork Horror (Platinum)	OUTPUTNAME:Clockwork Horror, [NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,40	FACE:5	REACH:5			KIT:1|LE			BONUS:COMBAT|AC|11|TYPE=NaturalArmor						BONUS:STAT|STR|6	BONUS:STAT|DEX|6		BONUS:STAT|INT|2	BONUS:STAT|WIS|10	BONUS:STAT|CHA|4			MONCSKILL:Climb|Hide|Move Silently									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Razor Saw|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Razor Saw,Weapon.Natural.Finesseable.Melee.Slashing,*1,1d12,SPROP=Against magic weapons and items functions as a +3 weapon		ABILITY:Internal|AUTOMATIC|Race Traits ~ Platinum Clockwork Horror						SR:20			MONSTERCLASS:Construct:12	RACETYPE:Construct	RACESUBTYPE:Clockwork Horror	TYPE:Construct							CR:7	SOURCEPAGE:MM2					
Clockwork Horror (Adamantine)	OUTPUTNAME:Clockwork Horror, [NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,50	FACE:5	REACH:5			KIT:1|LE			BONUS:COMBAT|AC|13|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|8		BONUS:STAT|INT|6	BONUS:STAT|WIS|14	BONUS:STAT|CHA|10			MONCSKILL:Balance|Climb|Hide|Jump|Move Silently									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Razor Saw|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Razor Saw,Weapon.Natural.Finesseable.Melee.Slashing,*1,1d12,SPROP=Against magic weapons and items functions as a +5 weapon		ABILITY:Internal|AUTOMATIC|Race Traits ~ Adamantine Clockwork Horror						SR:22			MONSTERCLASS:Construct:16	RACETYPE:Construct	RACESUBTYPE:Clockwork Horror	TYPE:Construct							CR:9	SOURCEPAGE:MM2					
Cloud Ray			STARTFEATS:1	SIZE:C	MOVE:Fly,40	FACE:100	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor						BONUS:STAT|STR|30	BONUS:STAT|DEX|2	BONUS:STAT|CON|18	BONUS:STAT|INT|-8					MONCSKILL:Hide|Listen|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,3d10|Tail Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Cloud Ray									MONSTERCLASS:Magical Beast:30	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:60		CR:16	SOURCEPAGE:MM2					
