SOURCELONG:Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.gozzilioni.net									
#											
# Name	OUTPUTNAME:	TYPE:	COST:	WT:	SOURCEPAGE:	Requires Modification?		Special Property			
Candelabra (16 candle/Silver)		TYPE:Goods.General.Container	COST:25	WT:3	SOURCEPAGE:AaEG	CONTAINS:UNLIM|Candle=16					
Candelabra (16 candle/Gold)		TYPE:Goods.General.Container	COST:45	WT:6	SOURCEPAGE:AaEG	CONTAINS:UNLIM|Candle=16					
Candle Mold		TYPE:Goods.General	COST:1.2	WT:5	SOURCEPAGE:AaEG						
Candle (Insectbane)		TYPE:Goods.General.Candle.LightSource	COST:.1	WT:0	SOURCEPAGE:AaEG			QUALITY:Shadowy Illumination|10 ft.	QUALITY:Duration|1 hr.		
Crane (Portable/STR 22)		TYPE:Goods.General	COST:30	WT:75	SOURCEPAGE:AaEG						
Crane (Portable/STR 24)		TYPE:Goods.General	COST:60	WT:120	SOURCEPAGE:AaEG						
Crane (Portable/STR 28)		TYPE:Goods.General	COST:120	WT:250	SOURCEPAGE:AaEG						
Earplug		TYPE:Goods.General	COST:0.3	WT:0	SOURCEPAGE:AaEG	SPROP:+1 circumstance on saves against sonic attacks	BONUS:SKILL|Listen|-4|TYPE=Circumstance				
Finger Blades		TYPE:Goods.General.Glove	COST:20	WT:0	SOURCEPAGE:AaEG		BONUS:SKILL|Sleight of Hands|1|TYPE=Circumstance				
Fishing Tackle		TYPE:Goods.General	COST:20	WT:5	SOURCEPAGE:AaEG	SPROP:+1 circumstance on Survival check when gathering food around bodies of water					
Flotation Bags		TYPE:Goods.General	COST:5	WT:1	SOURCEPAGE:AaEG		BONUS:SKILL|Swim|2|TYPE=Circcumstance				
Fowler's Snare		TYPE:Goods.General	COST:20	WT:5	SOURCEPAGE:AaEG		SPROP:+1 circumstance on Survival check when capturing birds and other small animals				
Game Board (Portable)		TYPE:Goods.General	COST:2	WT:1	SOURCEPAGE:AaEG						
Glass Cutter		TYPE:Goods.General	COST:2	WT:1	SOURCEPAGE:AaEG						
Grappling Hook (Collapsible)		TYPE:Goods.General	COST:3	WT:2	SOURCEPAGE:AaEG						
Grappling Ladder (10-ft)		TYPE:Goods.General	COST:40	WT:8	SOURCEPAGE:AaEG						
Hacksaw (Common)		TYPE:Goods.General	COST:5	WT:1	SOURCEPAGE:AaEG						
Hacksaw (Superior)		TYPE:Goods.General	COST:20	WT:1	SOURCEPAGE:AaEG						
Hammock		TYPE:Goods.General	COST:5	WT:1	SOURCEPAGE:AaEG						
Heat Mat		TYPE:Goods.General	COST:45	WT:0	SOURCEPAGE:AaEG						
Holy Text		TYPE:Goods.General	COST:10	WT:3	SOURCEPAGE:AaEG						
Housebreaker Harness		TYPE:Goods.General	COST:20	WT:2	SOURCEPAGE:AaEG		BONUS:SKILL|Climb|1|TYPE=Circumstance	BONUS:SKILL|Balance,Escape Artist,Hide,Jump,Sleight of Hands,Tumble|-2|TYPE=Circumstance			
Ice Axe		TYPE:Goods.General	COST:10	WT:5	SOURCEPAGE:AaEG	SPROP:+1 circumstance on Climb check when climbing icy surfaces					
Insect Netting		TYPE:Goods.General	COST:200	WT:5	SOURCEPAGE:AaEG						
Jeweler's Loupe		TYPE:Goods.General	COST:20	WT:0	SOURCEPAGE:AaEG		BONUS:SKILL|Appraise|1|TYPE=Circumstance				
Keg (Hand)		TYPE:Goods.General.Container	COST:0.5	WT:10	SOURCEPAGE:AaEG	CONTAINS:10|Liquid					
Keg (Cask)		TYPE:Goods.General.Container	COST:1	WT:20	SOURCEPAGE:AaEG	CONTAINS:20|Liquid					
Lantern (Fog-cutter)		TYPE:Goods.General.Container.LightSource	COST:20	WT:3	SOURCEPAGE:AaEG	CONTAINS:1|Liquid=1		QUALITY:Bright Illumination|60 ft. cone	QUALITY:Shadowy Illumination|120 ft. cone	QUALITY:Duration|6 hr./pint	
Leash and Muzzle (Diminutive)		TYPE:Goods.General	COST:0.2	WT:0	SOURCEPAGE:AaEG		BONUS:SKILL|Handle Animal|1|TYPE=Circumstance|PRETYPE:1,Masterwork				
Leash and Muzzle (Tiny)		TYPE:Goods.General	COST:0.4	WT:0	SOURCEPAGE:AaEG		BONUS:SKILL|Handle Animal|1|TYPE=Circumstance|PRETYPE:1,Masterwork				
Leash and Muzzle (Small)		TYPE:Goods.General	COST:0.6	WT:0	SOURCEPAGE:AaEG		BONUS:SKILL|Handle Animal|1|TYPE=Circumstance|PRETYPE:1,Masterwork				
Leash and Muzzle (Medium)		TYPE:Goods.General	COST:0.8	WT:0	SOURCEPAGE:AaEG		BONUS:SKILL|Handle Animal|1|TYPE=Circumstance|PRETYPE:1,Masterwork				
Magnet (Small)		TYPE:Goods.General	COST:10	WT:1	SOURCEPAGE:AaEG						
Marbles		TYPE:Goods.General	COST:0.2	WT:2	SOURCEPAGE:AaEG						
Mess Kit		TYPE:Goods.General.Kit	COST:0.6	WT:1	SOURCEPAGE:AaEG						
Mill (Hand)		TYPE:Goods.General	COST:2	WT:1	SOURCEPAGE:AaEG						
Money Belt		TYPE:Goods.General.Container	COST:4	WT:0	SOURCEPAGE:AaEG	CONTAINS:UNLIM|Coins=50					
Music Box		TYPE:Goods.General	COST:35	WT:0	SOURCEPAGE:AaEG						
Net (Butterfly)		TYPE:Goods.General	COST:10	WT:.25	SOURCEPAGE:AaEG						
Percolator		TYPE:Goods.General	COST:1	WT:1	SOURCEPAGE:AaEG						
Periscope		TYPE:Goods.General	COST:20	WT:2	SOURCEPAGE:AaEG						
Pestle and Mortar		TYPE:Goods.General	COST:5	WT:1	SOURCEPAGE:AaEG						
Pulley		TYPE:Goods.General	COST:5	WT:1	SOURCEPAGE:AaEG						
Quiver (Scabbard)		TYPE:Goods.General	COST:10	WT:2	SOURCEPAGE:AaEG						
Rope (Elven/20 Ft.)		TYPE:Goods.General	COST:50	WT:5	SOURCEPAGE:AaEG		BONUS:SKILL|Use Rope|3|TYPE=Circumstance				
Saw (folding)		TYPE:Goods.General	COST:2	WT:2	SOURCEPAGE:AaEG						
Shoes (Silent)		TYPE:Goods.General.Boot	COST:10	WT:1	SOURCEPAGE:AaEG		SLOTS:2	BONUS:SKILL|Move Silently|1|TYPE=Circumstance			
Shriek Rock		TYPE:Goods.General	COST:3	WT:.25	SOURCEPAGE:AaEG						
Skis and Poles		TYPE:Goods.General.Kit	COST:15	WT:6	SOURCEPAGE:AaEG						
Slate Board		TYPE:Goods.General	COST:5	WT:1	SOURCEPAGE:AaEG						
Snorkel		TYPE:Goods.General	COST:1	WT:.5	SOURCEPAGE:AaEG						
Snow Googles		TYPE:Goods.General.Eyegear	COST:2	WT:0	SOURCEPAGE:AaEG	SPROP:+2 circumstance bonus on saves to resist blinding effects		BONUS:SKILL|Spot,Search|-4|TYPE=Circumstance			
Snowshoes		TYPE:Goods.General.Boot	COST:15	WT:8	SOURCEPAGE:AaEG		SLOTS:2				
Sparker		TYPE:Goods.General	COST:2	WT:0	SOURCEPAGE:AaEG						
Spider Poles		TYPE:Goods.General	COST:35	WT:8	SOURCEPAGE:AaEG						
Sprayer		TYPE:Goods.General	COST:15	WT:4	SOURCEPAGE:AaEG						
Springwall		TYPE:Goods.General	COST:60	WT:1	SOURCEPAGE:AaEG						
Stilts		TYPE:Goods.General	COST:5	WT:8	SOURCEPAGE:AaEG						
Table Case (Folding)		TYPE:Goods.General	COST:5	WT:5	SOURCEPAGE:AaEG						
Tarp		TYPE:Goods.General	COST:5	WT:30	SOURCEPAGE:AaEG						
Tent (1 person)		TYPE:Goods.General	COST:5	WT:10	SOURCEPAGE:AaEG						
Tent (4 person)		TYPE:Goods.General	COST:20	WT:40	SOURCEPAGE:AaEG						
Tent (20 person/pavilion)		TYPE:Goods.General	COST:100	WT:300	SOURCEPAGE:AaEG						
Tent (8 person/Teepee)		TYPE:Goods.General	COST:60	WT:100	SOURCEPAGE:AaEG						
Tent (tree/elven)		TYPE:Goods.General	COST:30	WT:5	SOURCEPAGE:AaEG						
Helmet (Thievering)		TYPE:Goods.General.Headgear	COST:10	WT:1	SOURCEPAGE:AaEG						
Tongs (metal)		TYPE:Goods.General	COST:3	WT:4	SOURCEPAGE:AaEG						
Tree Stand		TYPE:Goods.General	COST:15	WT:5	SOURCEPAGE:AaEG						
Twine (roll/50-ft)		TYPE:Goods.General	COST:.2	WT:0	SOURCEPAGE:AaEG						
Winch (portable/str 18)		TYPE:Goods.General	COST:20	WT:20	SOURCEPAGE:AaEG						
Winch (portable/str 20)		TYPE:Goods.General	COST:40	WT:40	SOURCEPAGE:AaEG						
Winch (portable/str 22)		TYPE:Goods.General	COST:80	WT:80	SOURCEPAGE:AaEG						
Lawful Water (Flask)		TYPE:Goods.Alchemical.Consumable.Flask.Liquid	COST:25	WT:1	SOURCEPAGE:AaEG						
Chaotic Water (Flask)		TYPE:Goods.Alchemical.Consumable.Flask.Liquid	COST:25	WT:1	SOURCEPAGE:AaEG						
Lawful Water		TYPE:Goods.Alchemical.Consumable.Liquid	COST:24.5	WT:0.75	SOURCEPAGE:AaEG						
Chaotic Water		TYPE:Goods.Alchemical.Consumable.Liquid	COST:24.5	WT:0.75	SOURCEPAGE:AaEG						
											
											
###Block:Kits											
Animal Trainer's Kit		TYPE:Goods.Tools.Masterwork.Resizable	COST:50	WT:5	SOURCEPAGE:AaEG		BONUS:SKILL|Handle Animal|2|TYPE=Circumstance				
Forger's Kit		TYPE:Goods.Tools.Masterwork.Resizable	COST:25	WT:2	SOURCEPAGE:AaEG		BONUS:SKILL|Forgery|2|TYPE=Circumstance				
Jester's Kit		TYPE:Goods.Tools.Masterwork.Resizable	COST:10	WT:5	SOURCEPAGE:AaEG	SPROP:+2 circumstance bonus on Perform (Comedy), Perform (Buffoonery) or Disguise					
Navigator's Kit		TYPE:Goods.Tools.Masterwork.Resizable	COST:250	WT:8	SOURCEPAGE:AaEG	SPROP:+2 circumstance bonus on Survival while at sea, and Profession (Cartographer) checks to make maps					
Scryer's Kit		TYPE:Goods.Tools.Masterwork.Resizable	COST:40	WT:2	SOURCEPAGE:AaEG		BONUS:SKILL|Scry|2|TYPE=Circumstance				
Swimmer's Kit		TYPE:Goods.Tools.Masterwork.Resizable	COST:15	WT:5	SOURCEPAGE:AaEG		BONUS:SKILL|Swim|2|TYPE=Circumstance				
											
###Block:Clothing											
Outfit (Animal Training)		TYPE:Goods.Clothing.Resizable.Armor.Light	COST:10	WT:20	SOURCEPAGE:AaEG			ACCHECK:-7	MAXDEX:1	SPELLFAILURE:40	BONUS:COMBAT|AC|2|TYPE=Armor.REPLACE
Outfit (Beekeper)		TYPE:Goods.Clothing.Resizable	COST:9	WT:4	SOURCEPAGE:AaEG	SPROP:+6 CA against stinging and biting fine creature					
Outfit (Desert)		TYPE:Goods.Clothing.Resizable	COST:6	WT:3	SOURCEPAGE:AaEG						
Outfit (Heatswit)		TYPE:Goods.Clothing.Resizable	COST:20	WT:15	SOURCEPAGE:AaEG	SPROP:3/Fire					
Outfit (Spelunker)		TYPE:Goods.Clothing.Resizable	COST:5	WT:9	SOURCEPAGE:AaEG						
Apron (Leather)		TYPE:Goods.Clothing.Cape	COST:0.3	WT:2	SOURCEPAGE:AaEG						
Belt (Baldric)		TYPE:Goods.Clothing.Belt	COST:.7	WT:.5	SOURCEPAGE:AaEG						
Belt (Leather)		TYPE:Goods.Clothing.Belt	COST:.2	WT:0	SOURCEPAGE:AaEG						
Belt (Fine)		TYPE:Goods.Clothing.Belt	COST:25	WT:0	SOURCEPAGE:AaEG						
Buckle (Large/Plain)		TYPE:Goods.Clothing.Belt	COST:0.2	WT:0	SOURCEPAGE:AaEG						
Buckle (Large/Fancy)		TYPE:Goods.Clothing.Belt	COST:25	WT:0	SOURCEPAGE:AaEG						
Bodysuit (Black)		TYPE:Goods.Clothing	COST:30	WT:1	SOURCEPAGE:AaEG	SPROP:+2 circumstance bonus on Hide checks in dark condition (at least half concealment)					
Boot (Smuggler's)		TYPE:Goods.Clothing.Boot	COST:10	WT:1	SOURCEPAGE:AaEG		SLOTS:2				
Boot (High)		TYPE:Goods.Clothing.Boot	COST:0.5	WT:1	SOURCEPAGE:AaEG		SLOTS:2				
Boot (Hip/Wading)		TYPE:Goods.Clothing.Boot	COST:1	WT:3	SOURCEPAGE:AaEG		SLOTS:2				
Boot (Low)		TYPE:Goods.Clothing.Boot	COST:0.3	WT:0.5	SOURCEPAGE:AaEG		SLOTS:2				
Boot (Riding)		TYPE:Goods.Clothing.Boot	COST:1	WT:1	SOURCEPAGE:AaEG		SLOTS:2				
Breeches/Pants (Sackcloth)		TYPE:Goods.Clothing	COST:.05	WT:1	SOURCEPAGE:AaEG						
Breeches/Pants (Cotton)		TYPE:Goods.Clothing	COST:.1	WT:1	SOURCEPAGE:AaEG						
Breeches/Pants (Leather)		TYPE:Goods.Clothing	COST:.8	WT:1.5	SOURCEPAGE:AaEG						
Breeches/Pants (Velvet)		TYPE:Goods.Clothing	COST:4	WT:1	SOURCEPAGE:AaEG						
Breeches/Pants (Silk)		TYPE:Goods.Clothing	COST:5	WT:0	SOURCEPAGE:AaEG						
Bustle		TYPE:Goods.Clothing	COST:5	WT:1	SOURCEPAGE:AaEG						
Cape (Half)		TYPE:Goods.Clothing.Cape	COST:1	WT:1	SOURCEPAGE:AaEG						
Cape (Full)		TYPE:Goods.Clothing.Cape	COST:1	WT:3	SOURCEPAGE:AaEG						
Chemise (Sackcloth)		TYPE:Goods.Clothing.Shirt	COST:0.08	WT:0	SOURCEPAGE:AaEG						
Chemise (Linen)		TYPE:Goods.Clothing.Shirt	COST:0.1	WT:0	SOURCEPAGE:AaEG						
Chemise (Silk)		TYPE:Goods.Clothing.Shirt	COST:6	WT:0	SOURCEPAGE:AaEG						
Coat/jacket/jerkin (Cotton)		TYPE:Goods.Clothing.Shirt	COST:.6	WT:2	SOURCEPAGE:AaEG						
Coat/jacket/jerkin (Leather)		TYPE:Goods.Clothing.Shirt	COST:1	WT:3	SOURCEPAGE:AaEG						
Coat/jacket/jerkin (Wool)		TYPE:Goods.Clothing.Shirt	COST:1	WT:3	SOURCEPAGE:AaEG						
Coat/jacket/jerkin (Velvet)		TYPE:Goods.Clothing.Shirt	COST:8	WT:1	SOURCEPAGE:AaEG						
Coat/jacket/jerkin (Silk)		TYPE:Goods.Clothing.Shirt	COST:10	WT:1	SOURCEPAGE:AaEG						
Coat/jacket/jerkin (Fur)		TYPE:Goods.Clothing.Shirt	COST:50	WT:6	SOURCEPAGE:AaEG						
Cloak (Cotton)		TYPE:Goods.Clothing.Cape	COST:0.3	WT:2	SOURCEPAGE:AaEG						
Cloak (Wool)		TYPE:Goods.Clothing.Cape	COST:0.5	WT:3	SOURCEPAGE:AaEG						
Cloak (Fur)		TYPE:Goods.Clothing.Cape	COST:200	WT:6	SOURCEPAGE:AaEG						
Codpiece		TYPE:Goods.Clothing.Shirt	COST:.6	WT:0	SOURCEPAGE:AaEG						
Collar (Spiked)		TYPE:Goods.Clothing.Amulet	COST:10	WT:0	SOURCEPAGE:AaEG						
Corset		TYPE:Goods.Clothing.Shirt	COST:10	WT:0	SOURCEPAGE:AaEG						
Doublet/Vest (Cotton)		TYPE:Goods.Clothing.Shirt	COST:.1	WT:0	SOURCEPAGE:AaEG						
Doublet/Vest (Leather)		TYPE:Goods.Clothing.Shirt	COST:.3	WT:.5	SOURCEPAGE:AaEG						
Doublet/Vest (Velvet)		TYPE:Goods.Clothing.Shirt	COST:2	WT:1	SOURCEPAGE:AaEG						
Doublet/Vest (Brocade)		TYPE:Goods.Clothing.Shirt	COST:8	WT:1	SOURCEPAGE:AaEG						
Dress (Peasant)		TYPE:Goods.Clothing.Shirt	COST:.5	WT:3	SOURCEPAGE:AaEG						
Dress (Average)		TYPE:Goods.Clothing.Shirt	COST:.8	WT:5	SOURCEPAGE:AaEG						
Dress (Fine)		TYPE:Goods.Clothing.Shirt	COST:20	WT:8	SOURCEPAGE:AaEG						
Dress (Exquisite)		TYPE:Goods.Clothing.Shirt	COST:75	WT:10	SOURCEPAGE:AaEG						
Fullcloth (Winter)		TYPE:Goods.Clothing	COST:4	WT:2	SOURCEPAGE:AaEG	SPROP:+1 circumstance bonus on Fortitude against cold					
Girdle		TYPE:Goods.Clothing	COST:0.6	WT:1	SOURCEPAGE:AaEG						
Gloves (Leather)		TYPE:Goods.Clothing.Glove	COST:.5	WT:0	SOURCEPAGE:AaEG		SLOTS:2				
Gloves (Canvas)		TYPE:Goods.Clothing.Glove	COST:.05	WT:0	SOURCEPAGE:AaEG		SLOTS:2				
Gloves (Mittens)		TYPE:Goods.Clothing.Glove	COST:.8	WT:0	SOURCEPAGE:AaEG		SLOTS:2				
Gloves (Silk)		TYPE:Goods.Clothing.Glove	COST:15	WT:0	SOURCEPAGE:AaEG		SLOTS:2				
Headwear (Hat/broad-brimmed)		TYPE:Goods.Clothing.Headgear	COST:8	WT:0	SOURCEPAGE:AaEG						
Headwear (Hat/fur-trimmed)		TYPE:Goods.Clothing.Headgear	COST:1.5	WT:0	SOURCEPAGE:AaEG						
Headwear (Cap/Cotton))		TYPE:Goods.Clothing.Headgear	COST:.08	WT:0	SOURCEPAGE:AaEG						
Headwear (Cap/Wool)		TYPE:Goods.Clothing.Headgear	COST:.1	WT:0	SOURCEPAGE:AaEG						
Headwear (Coif)		TYPE:Goods.Clothing.Headgear	COST:.2	WT:0	SOURCEPAGE:AaEG						
Headwear (Fez)		TYPE:Goods.Clothing.Headgear	COST:.1	WT:0	SOURCEPAGE:AaEG						
Headwear (Hood/Wool)		TYPE:Goods.Clothing.Headgear	COST:0.08	WT:0	SOURCEPAGE:AaEG						
Headwear (Hood/Cotton)		TYPE:Goods.Clothing.Headgear	COST:0.05	WT:0	SOURCEPAGE:AaEG						
Headwear (Hood/Fur)		TYPE:Goods.Clothing.Headgear	COST:1	WT:0	SOURCEPAGE:AaEG						
Headwear (Miner's Helmet)		TYPE:Goods.Clothing.Headgear.Container	COST:1	WT:1	SOURCEPAGE:AaEG		CONTAINS:UNLIM|Candle=1				
Headwear (Turban)		TYPE:Goods.Clothing.Headgear	COST:0.2	WT:0.5	SOURCEPAGE:AaEG						
Loincloth		TYPE:Goods.Clothing	COST:0.03	WT:0	SOURCEPAGE:AaEG						
Nightshirt (Silk)		TYPE:Goods.Clothing.Shirt	COST:6	WT:0	SOURCEPAGE:AaEG						
Robe (Sackcloth)		TYPE:Goods.Clothing.Robe	COST:0.1	WT:2	SOURCEPAGE:AaEG						
Robe (Cotton)		TYPE:Goods.Clothing.Robe	COST:1	WT:2	SOURCEPAGE:AaEG						
Robe (Linen)		TYPE:Goods.Clothing.Robe	COST:1	WT:2	SOURCEPAGE:AaEG						
Robe (Velvet)		TYPE:Goods.Clothing.Robe	COST:3	WT:3	SOURCEPAGE:AaEG						
Robe (Silk)		TYPE:Goods.Clothing.Robe	COST:5	WT:2	SOURCEPAGE:AaEG						
Pads (Knee)		TYPE:Goods.Clothing.Bracer	COST:0.3	WT:0.5	SOURCEPAGE:AaEG						
Pads (Elbow)		TYPE:Goods.Clothing.Bracer	COST:0.3	WT:0.5	SOURCEPAGE:AaEG						
Pads (Shin Guards)		TYPE:Goods.Clothing.Bracer	COST:0.4	WT:0.5	SOURCEPAGE:AaEG						
Sash (Cotton)		TYPE:Goods.Clothing.Amulet	COST:0.2	WT:0	SOURCEPAGE:AaEG						
Sash (Wool)		TYPE:Goods.Clothing.Amulet	COST:0.1	WT:0	SOURCEPAGE:AaEG						
Sash (Silk)		TYPE:Goods.Clothing.Amulet	COST:4	WT:0	SOURCEPAGE:AaEG						
Shirt (Sackcloth)		TYPE:Goods.Clothing.Shirt	COST:0.05	WT:0.5	SOURCEPAGE:AaEG						
Shirt (Cotton)		TYPE:Goods.Clothing.Shirt	COST:0.1	WT:0.5	SOURCEPAGE:AaEG						
Shirt (Linen)		TYPE:Goods.Clothing.Shirt	COST:0.1	WT:0.5	SOURCEPAGE:AaEG						
Shirt (Velvet)		TYPE:Goods.Clothing.Shirt	COST:5	WT:0.5	SOURCEPAGE:AaEG						
Shirt (Silk)		TYPE:Goods.Clothing.Shirt	COST:10	WT:0	SOURCEPAGE:AaEG						
Shoes (Leather)		TYPE:Goods.Clothing.Boot	COST:0.3	WT:1	SOURCEPAGE:AaEG						
Shoes (Sandals)		TYPE:Goods.Clothing.Boot	COST:0.2	WT:0.5	SOURCEPAGE:AaEG						
Shoes (Tabi)		TYPE:Goods.Clothing.Boot	COST:0.2	WT:0.5	SOURCEPAGE:AaEG						
Shoes (Slippers)		TYPE:Goods.Clothing.Boot	COST:0.1	WT:0	SOURCEPAGE:AaEG						
Shoes (Dancing)		TYPE:Goods.Clothing.Boot	COST:15	WT:0	SOURCEPAGE:AaEG						
Warrior's Skirt (Leather)		TYPE:Goods.Clothing.Shirt	COST:0.5	WT:1	SOURCEPAGE:AaEG						
Stockings		TYPE:Goods.Clothing	COST:0.4	WT:0	SOURCEPAGE:AaEG						
Suspenders		TYPE:Goods.Clothing	COST:0.8	WT:0	SOURCEPAGE:AaEG						
Tabard		TYPE:Goods.Clothing.Cape	COST:0.5	WT:0.5	SOURCEPAGE:AaEG						
Toga (Peasant)		TYPE:Goods.Clothing.Cape	COST:0.08	WT:3	SOURCEPAGE:AaEG						
Toga (Velvet)		TYPE:Goods.Clothing.Cape	COST:5	WT:3	SOURCEPAGE:AaEG						
Toga (Silk)		TYPE:Goods.Clothing.Cape	COST:45	WT:3	SOURCEPAGE:AaEG						
Tunic (Sackcloth)		TYPE:Goods.Clothing.Shirt	COST:0.05	WT:1	SOURCEPAGE:AaEG						
Tunic (Cotton)		TYPE:Goods.Clothing.Shirt	COST:0.05	WT:1	SOURCEPAGE:AaEG						
Tunic (Velvet)		TYPE:Goods.Clothing.Shirt	COST:2	WT:1	SOURCEPAGE:AaEG						
Tunic (Silk)		TYPE:Goods.Clothing.Shirt	COST:5	WT:1	SOURCEPAGE:AaEG						
Vest (Knife)		TYPE:Goods.Clothing.Shirt.Container	COST:25	WT:2	SOURCEPAGE:AaEG		CONTAINS:UNLIM|Dagger=10				
											
###Block:Trade Goods											
#Spices											
Angelica		TYPE:Goods.Trade	COST:0.05	WT:0.06	SOURCEPAGE:AaEG						
Anise		TYPE:Goods.Trade	COST:0.03	WT:0.06	SOURCEPAGE:AaEG						
Basil		TYPE:Goods.Trade	COST:0.1	WT:0.06	SOURCEPAGE:AaEG						
Bergamot		TYPE:Goods.Trade	COST:0.03	WT:0.06	SOURCEPAGE:AaEG						
Borage		TYPE:Goods.Trade	COST:0.02	WT:0.06	SOURCEPAGE:AaEG						
Caraway		TYPE:Goods.Trade	COST:0.02	WT:0.06	SOURCEPAGE:AaEG						
Cardamom		TYPE:Goods.Trade	COST:2	WT:0.06	SOURCEPAGE:AaEG						
Chives		TYPE:Goods.Trade	COST:0.02	WT:0.06	SOURCEPAGE:AaEG						
Cinnamon		TYPE:Goods.Trade	COST:1	WT:0.06	SOURCEPAGE:AaEG						
Clary		TYPE:Goods.Trade	COST:0.08	WT:0.06	SOURCEPAGE:AaEG						
Cloves		TYPE:Goods.Trade	COST:20	WT:0.06	SOURCEPAGE:AaEG						
Coriander		TYPE:Goods.Trade	COST:0.1	WT:0.06	SOURCEPAGE:AaEG						
Costmary		TYPE:Goods.Trade	COST:0.03	WT:0.06	SOURCEPAGE:AaEG						
Cubeb		TYPE:Goods.Trade	COST:15	WT:0.06	SOURCEPAGE:AaEG						
Cumin		TYPE:Goods.Trade	COST:0.03	WT:0.06	SOURCEPAGE:AaEG						
Dillweed		TYPE:Goods.Trade	COST:0.03	WT:0.06	SOURCEPAGE:AaEG						
Fennel Seed		TYPE:Goods.Trade	COST:0.1	WT:0.06	SOURCEPAGE:AaEG						
Fenugreek		TYPE:Goods.Trade	COST:0.3	WT:0.06	SOURCEPAGE:AaEG						
Garlic		TYPE:Goods.Trade	COST:0.01	WT:0.06	SOURCEPAGE:AaEG						
Ginger		TYPE:Goods.Trade	COST:10	WT:0.06	SOURCEPAGE:AaEG						
Horebound		TYPE:Goods.Trade	COST:0.04	WT:0.06	SOURCEPAGE:AaEG						
Horseradish		TYPE:Goods.Trade	COST:0.01	WT:0.06	SOURCEPAGE:AaEG						
Hyssop		TYPE:Goods.Trade	COST:0.05	WT:0.06	SOURCEPAGE:AaEG						
Juniper		TYPE:Goods.Trade	COST:0.3	WT:0.06	SOURCEPAGE:AaEG						
Laurel		TYPE:Goods.Trade	COST:4	WT:0.06	SOURCEPAGE:AaEG						
Lemon Balm		TYPE:Goods.Trade	COST:0.2	WT:0.06	SOURCEPAGE:AaEG						
Liquorice Root		TYPE:Goods.Trade	COST:0.4	WT:0.06	SOURCEPAGE:AaEG						
Lovage		TYPE:Goods.Trade	COST:0.1	WT:0.06	SOURCEPAGE:AaEG						
Mace		TYPE:Goods.Trade	COST:25	WT:0.06	SOURCEPAGE:AaEG						
Marjoram		TYPE:Goods.Trade	COST:0.05	WT:0.06	SOURCEPAGE:AaEG						
Mint		TYPE:Goods.Trade	COST:0.03	WT:0.06	SOURCEPAGE:AaEG						
Mustard Seed		TYPE:Goods.Trade	COST:0.05	WT:0.06	SOURCEPAGE:AaEG						
Nutmeg		TYPE:Goods.Trade	COST:30	WT:0.06	SOURCEPAGE:AaEG						
