SOURCELONG:Arms and Equipment Guide 3.0	SOURCESHORT:AaEG30	SOURCEWEB:http://www.gozzilioni.net
#																														
# Modifier Name		Unique Key	Type	Plus	Cost	Visible	Type granted	Keys to replace	Source Page	Requirements					Spell Res.	Damage Reduction	BONUS:EQM	BONUS:EQMWEAPON	Bonus to skill			Modify VAR			Special Property			Virtual Feat	Choose	Apply to both heads
Mighty		KEY:WHIPSTR	NAMEOPT:NONAME	TYPE:Whip.Mighty	COST:0	VISIBLE:QUALIFY			SOURCEPAGE:AaEG30	PRETYPE:1,Mighty	BONUS:ITEMCOST|TYPE.Whip|100*%CHOICE|PREVARGT:%CHOICE,0	BONUS:ITEMCOST|TYPE.WhipDagger|25|PREVARGT:%CHOICE,0	BONUS:WEAPON|TOHIT|-2|PREVARGT:%CHOICE,STR	BONUS:WEAPON|DAMAGE|min(%CHOICE,STR)	SPROP:%CHOICE bonus to damage	TEMPVALUE:MIN=-5|MAX=100|TITLE=STR mod	ASSIGNTOALL:YES													
Bronzewood		KEY:BRONZEWOOD_ARMR		TYPE:BaseMaterial.Armor	COST:0	VISIBLE:QUALIFY	ITYPE:Wooden.Bronzewood		SOURCEPAGE:AaEG30	PRETYPE:1,Armor	PRETYPE:1,Heavy,Medium				BONUS:EQM|WEIGHTMULT|0.9		SPROP:The armor check penalty from bronzewood armor and shields does not affect Hide checks made in woodland environments.|PREEQUIP:1,Breastplate,Banded Mail,Splint Mail,Half-Plate,Full Plate	SPROP:15hp/inch and 8 hardness				ASSIGNTOALL:NO	BONUS:ITEMCOST|TYPE.Light|1000	BONUS:ITEMCOST|TYPE.Medium|4000	BONUS:ITEMCOST|TYPE.Heavy|9000					
Bronzewood		KEY:BRONZEWOOD_SHLD		TYPE:BaseMaterial.Shield	COST:0	VISIBLE:QUALIFY	ITYPE:Wooden.Bronzewood		SOURCEPAGE:AaEG30	PRETYPE:2,Shield,Wooden					BONUS:EQM|WEIGHTMULT|0.9		SPROP:The armor check penalty from bronzewood armor and shields does not affect Hide checks made in woodland environments. 15hp/inch and 8 hardness					ASSIGNTOALL:NO								
Chitin		KEY:CHITIN		TYPE:BaseMaterial.Amulet.Bracer.Headger.Instrument.Ring	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Chitin		SOURCEPAGE:AaEG30	PREMULT:1,[PRETYPE:1,Amulet.Instrument.Staff.Rod],[PREMULT:2,[PRETYPE:1,Armor],[PRETYPE:1,Light,Heavy]]												ASSIGNTOALL:NO								
Chitin		KEY:CHITIN_ARMR		TYPE:BaseMaterial.Armor	COST:0	VISIBLE:QUALIFY	ITYPE:Nonmetal.Chitin	REPLACES:STEEL	SOURCEPAGE:AaEG30	PRETYPE:2,Armor,Heavy					BONUS:EQM|WEIGHTDIV|2		SPROP:10hp/inch and 5 hardness					ASSIGNTOALL:NO	BONUS:ITEMCOST|TYPE.Heavy|10000							
Chitin		KEY:CHITIN_WEAP		TYPE:BaseMaterial.Ammunition.Weapon	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Nonmetal.Chitin	REPLACES:STEEL	SOURCEPAGE:AaEG30	PRETYPE:1,Weapon	!PRETYPE:1,Chain				BONUS:EQM|WEIGHTDIV|2		SPROP:10hp/inch and 5 hardness					ASSIGNTOALL:NO								
Chitin		KEY:CHITIN_SHLD		TYPE:BaseMaterial.Shield	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Nonmetal.Chitin	REPLACES:STEEL	SOURCEPAGE:AaEG30	PRETYPE:1,Shield					BONUS:EQM|WEIGHTDIV|2		SPROP:10hp/inch and 5 hardness					ASSIGNTOALL:NO	BONUS:ITEMCOST|TYPE.Shield|2000							
Darkleaf		KEY:DARKLEAF_ARMR_LT		TYPE:BaseMaterial.Armor	COST:750	VISIBLE:QUALIFY	ITYPE:Nonmetal.Leafweave		SOURCEPAGE:AaEG30	PRETYPE:2,Armor,Nonmetal	PRETYPE:1,Light			BONUS:EQM|ACCHECK|2	BONUS:EQM|MAXDEX|1	BONUS:EQMARMOR|SPELLFAILURE|-5						ASSIGNTOALL:NO								
Darkleaf		KEY:DARKLEAF_ARMR_MED		TYPE:BaseMaterial.Armor	COST:2250	VISIBLE:QUALIFY	ITYPE:Nonmetal.Leafweave		SOURCEPAGE:AaEG30	PRETYPE:2,Armor,Nonmetal	PRETYPE:1,Medium			BONUS:EQM|ACCHECK|2	BONUS:EQM|MAXDEX|1	BONUS:EQMARMOR|SPELLFAILURE|-5		ARMORTYPE:Medium|Light				ASSIGNTOALL:NO								
Darkleaf		KEY:DARKLEAF_ARMR_HVY		TYPE:BaseMaterial.Armor	COST:3000	VISIBLE:QUALIFY	ITYPE:Nonmetal.Leafweave		SOURCEPAGE:AaEG30	PRETYPE:2,Armor,Nonmetal	PRETYPE:1,Heavy			BONUS:EQM|ACCHECK|2	BONUS:EQM|MAXDEX|1	BONUS:EQMARMOR|SPELLFAILURE|-5		ARMORTYPE:Heavy|Medium				ASSIGNTOALL:NO								
Elukian Clay		KEY:ELUKIAN_CLAY_ARMR		TYPE:BaseMaterial.Armor		VISIBLE:QUALIFY	ITYPE:Nonmetal.ElukianClay		SOURCEPAGE:AaEG30	PRETYPE:1,Armor							SPROP:30hp/inch and 10 hardness					ASSIGNTOALL:NO	BONUS:ITEMCOST|TYPE.Light|1000	BONUS:ITEMCOST|TYPE.Medium|2000	BONUS:ITEMCOST|TYPE.Heavy|4000					
Elukian Clay		KEY:ELUKIAN_CLAY_SHLD		TYPE:BaseMaterial.Shield	COST:200*WT	VISIBLE:QUALIFY	ITYPE:Nonmetal.ElukianClay		SOURCEPAGE:AaEG30	PRETYPE:1,Shield							SPROP:30hp/inch and 10 hardness					ASSIGNTOALL:NO								
Elukian Clay		KEY:ELUKIAN_CLAY_WEAP		TYPE:BaseMaterial.Ammunition.Weapon	COST:200*WT	VISIBLE:QUALIFY	ITYPE:Nonmetal.ElukianClay		SOURCEPAGE:AaEG30	PRETYPE:1,Weapon	PRETYPE:1,Bludgeoning,Piercing						SPROP:30hp/inch and 10 hardness					ASSIGNTOALL:NO								
Entropium		KEY:ENTROPIUM_ARMR_LT		TYPE:BaseMaterial.Armor	COST:750	VISIBLE:QUALIFY	ITYPE:Metal.Entropium		SOURCEPAGE:AaEG30	PRETYPE:2,Armor,Metal	PRETYPE:1,Light			BONUS:EQM|MAXDEX|2	BONUS:EQM|WEIGHTADD|2	BONUS:EQMARMOR|SPELLFAILURE|-5	SPROP:40hp/inch and 15 hardness	ARMORTYPE:Light|Medium				ASSIGNTOALL:NO								
Entropium		KEY:ENTROPIUM_ARMR_MED		TYPE:BaseMaterial.Armor	COST:2000	VISIBLE:QUALIFY	ITYPE:Metal.Entropium		SOURCEPAGE:AaEG30	PRETYPE:2,Armor,Metal	PRETYPE:1,Medium			BONUS:EQM|MAXDEX|2	BONUS:EQM|WEIGHTADD|5	BONUS:EQMARMOR|SPELLFAILURE|-5	SPROP:40hp/inch and 15 hardness	ARMORTYPE:Medium|Heavy				ASSIGNTOALL:NO								
Entropium		KEY:ENTROPIUM_ARMR_HVY		TYPE:BaseMaterial.Armor	COST:8000	VISIBLE:QUALIFY	ITYPE:Metal.Entropium		SOURCEPAGE:AaEG30	PRETYPE:2,Armor,Metal	PRETYPE:1,Heavy			BONUS:EQM|MAXDEX|2	BONUS:EQM|WEIGHTADD|10	BONUS:EQMARMOR|SPELLFAILURE|-5	SPROP:40hp/inch and 15 hardness					ASSIGNTOALL:NO								
Entropium		KEY:ENTROPIUM_SHLD		TYPE:BaseMaterial.Shield	COST:750	VISIBLE:QUALIFY	ITYPE:Metal.Entropium		SOURCEPAGE:AaEG30	PRETYPE:1,Shield	PRETYPE:1,Metal				BONUS:EQM|WEIGHTADD|2	BONUS:EQMARMOR|SPELLFAILURE|-5	SPROP:40hp/inch and 15 hardness					ASSIGNTOALL:NO								
Leafweave		KEY:LEAFWEAVE_ARMR		TYPE:BaseMaterial.Armor	COST:750	VISIBLE:QUALIFY	ITYPE:Nonmetal.Leafweave		SOURCEPAGE:AaEG30	PRETYPE:2,Armor,Light	PRETYPE:1,Nonmetal			BONUS:EQM|ACCHECK|2	BONUS:EQM|MAXDEX|1	BONUS:EQMARMOR|SPELLFAILURE|-5						ASSIGNTOALL:NO								
Urdrukar		KEY:URDRUKAR		TYPE:BaseMaterial.Amulet.Bracer.Headger.Instrument.Ring	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Urdrukar		SOURCEPAGE:AaEG30	PRETYPE:1,Amulet.Instrument.Staff.Rod							SPROP:30hp/inch and 15 hardness					ASSIGNTOALL:NO								
Urdrukar		KEY:URDRUKAR_ARMR_LT		TYPE:BaseMaterial.Armor	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Metal.Urdrukar		SOURCEPAGE:AaEG30	PRETYPE:1,Armor	PRETYPE:1,Light			BONUS:EQM|ACCHECK|-2	BONUS:EQM|MAXDEX|-1		SPROP:Double arcane spell failure chance. 30Hp/inch and 15 hardness					ASSIGNTOALL:NO								
Urdrukar		KEY:URDRUKAR_ARMR_MED		TYPE:BaseMaterial.Armor	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Metal.Urdrukar		SOURCEPAGE:AaEG30	PRETYPE:1,Armor	PRETYPE:1,Medium					BONUS:EQM|WEIGHTMULT|1.1	SPROP:Double arcane spell failure chance. 30Hp/inch and 15 hardness					ASSIGNTOALL:NO								
Urdrukar		KEY:URDRUKAR_ARMR_HVY		TYPE:BaseMaterial.Armor	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Metal.Urdrukar		SOURCEPAGE:AaEG30	PRETYPE:1,Armor	PRETYPE:1,Heavy						SPROP:Double arcane spell failure chance. 30Hp/inch and 15 hardness					ASSIGNTOALL:NO								
Urdrukar		KEY:URDRUKAR_SHLD		TYPE:BaseMaterial.Shield	COST:250*WT	VISIBLE:QUALIFY	ITYPE:Metal.Urdrukar		SOURCEPAGE:AaEG30	PRETYPE:1,Shield							SPROP:Double arcane spell failure chance. 30Hp/inch and 15 hardness					ASSIGNTOALL:NO								
Ysgardian Heartwire		KEY:HEARTWIRE_ARMR		TYPE:BaseMaterial.Armor	COST:1500	VISIBLE:QUALIFY	ITYPE:Metal.Heartwire		SOURCEPAGE:AaEG30	PRETYPE:2,Armor,Metal	PRETYPE:1,Heavy,Medium						SPROP:This reinforcement has the effect of increasing the wearer's AC by +2 solely for purposes of the roll to confirm a critical hit.					ASSIGNTOALL:NO								
																														
Moon Ivy		KEY:MOON_IVY		TYPE:Armor	COST:0	VISIBLE:QUALIFY	ITYPE:MoonIvy		SOURCEPAGE:AaEG30																					
Poison Ivy 		KEY:POISON_IVY		TYPE:MoonIvy	COST:500	VISIBLE:QUALIFY	ITYPE:PoisonIvy		SOURCEPAGE:AaEG30	PRETYPE:1,MoonIvy							SPROP:Once per day, if you succeed on a grapple check, your foe must make a Fortitude save (DC 14). If the defender fails, he takes initial and secondary damage of 1d3 points of temporary Constitution. This poison never affects the wearer.													
Explosive Spores 		KEY:EXPLOSIVE_SPORES		TYPE:MoonIvy	COST:500	VISIBLE:QUALIFY	ITYPE:ExplosiveSpores		SOURCEPAGE:AaEG30	PRETYPE:1,MoonIvy							SPROP:Each day, the ivy grows 1d3 spore pods, to a maximum of ten pods. Whenever you are struck in combat with a bludgeoning attack, one of the spores explodes into the space from which the attack came. Anyone in that 5-foot square must succeed on a Fortitude save (DC 14) or be nauseated for 1d6 rounds.													
Pheromones 		KEY:PHEROMONES		TYPE:MoonIvy	COST:500	VISIBLE:QUALIFY	ITYPE:Pheromones		SOURCEPAGE:AaEG30	PRETYPE:1,Armor							SPROP:Once per day, the ivy exudes pheromones that make you seem more attractive. The pheromones grant a +3 bonus on all Charisma-based checks for 3 hours. The bonus doubles to +6 if you attempt to influence a creature with scent, but moonivy pheromones do not affect constructs or undead.													
																														
Quick Escape		KEY:QUICK_ESCAPE		TYPE:Masterwork.Armor	COST:300	VISIBLE:QUALIFY	ITYPE:QuickEscape		SOURCEPAGE:AaEG30	PRETYPE:1,Armor							SPROP:As a standard action, the wearer pulls and twists on a special lock, located on the shield-side hip, which causes the armor to fall away.													
																														
Acidic	KEY:ACID	TYPE:Armor.Shield	PLUS:4	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:The wearer (and anything she carries) is immune to acid, including that produced by the armor. Acidic armor deals 2d4 points of acid damage per round of contact during a grapple; momentary touch attacks have no effect.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES			ABILITY:Special Ability|VIRTUAL|Immunity To Acid											
Aquatic	KEY:AQUA	TYPE:Armor.Shield	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Aquatic armor enables its wearer to move freely through water without the need for Swim checks.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES	REPLACES:AQUA_WTR_BREATH													
Aquatic Water Breathing	KEY:AQUA_WTR_BREATH	TYPE:Armor.Shield	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Aquatic armor enables its wearer to move freely through water without the need for Swim checks and has persistent water breathing effect.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES	REPLACES:AQUA													
Arrow Catching	KEY:ARW_CAT	TYPE:Shield	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:A shield with this quality attracts ranged weapons to it.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Shield]																							
Bane Blind	KEY:BANE_BLIND	TYPE:Armor	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:grants improved invisibility to the wearer against a %CHOICE type chosen when the armor is created.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor]									ASSIGNTOALL:YES		CHOOSE:STRING|Aberrations|Animals|Constructs|Elementals|Fey|Giants|Humanoids (aquatic)|Humanoids (dwarf)|Humanoids (elf)|Humanoids (gnoll)|Humanoids (gnome)|Humanoids (goblinoid)|Humanoids (halfling)|Humanoids (human)|Humanoids (reptilian)|Humanoids (orc)|Magical beasts|Monstrous humanoids|Oozes|Outsiders (chaotic)|Outsiders (evil)|Outsiders (good)|Outsiders (lawful)|Plants|Undead|Vermin|TITLE=Designated Foe												
Buffering	KEY:BUFF	TYPE:Armor.Shield	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:A suit of armor or a shield with this quality absorbs ability-draining and level-draining attacks.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES														
Command	KEY:COMMAND	TYPE:Armor.Shield	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:always appears brilliant and gleaming, no matter what the conditions and despite all attempts to paint over or obscure it.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES						BONUS:SKILL|TYPE.Charisma|4|TYPE=Competence	BONUS:SKILL|Hide|-6	BONUS:SAVE|Will|2|TYPE=Morale						
Dancing	KEY:DANCE_SH	TYPE:Shield	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Can be loosed to attack on its own.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Shield]									ASSIGNTOALL:YES														
Daylight	KEY:DAYLIGHT	TYPE:Armor.Shield	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:glows with the brilliant light of a daylight spell for up to 30 minutes per day.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES														
Distracting	KEY:DISTRACT	TYPE:Armor.Shield	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Anyone engaged in combat with the wearer must succeed on a Will save each round or be affected by the daze spell.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES		SPELLS:Distracting|TIMES=1|CASTERLEVEL=9|Hypnotic Pattern												
Fearsome	KEY:FEARSOME	TYPE:Armor.Shield	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:This suit of armor or shield creates an aura of fear around the wearer (as the fear spell from a 7th-level caster).	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES														
Feathered	KEY:FEATHER	TYPE:Armor.Shield	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:allows the wearer to fly up to 50 minutes per day (as the fly spell).	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES														
Sacred	KEY:SACRE	TYPE:Armor.Shield	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:increases the owner's effective level for the turning check by +2.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES						BONUS:VAR|TurnLevelBase|2								
Wrapping	KEY:WRAP	TYPE:Shield	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:With a successful shield bash attack, the wrapping shield's bearer can make the shield magically bind itself to the opponent.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor]									ASSIGNTOALL:YES														
																														
Acidic Burst	KEY:ACID_BURST_A	TYPE:Ammunition	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1d6 Acid damage. On a critical hit deals +%d10 additional Acid damage|CRITMULT-1	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	REPLACES:ACID_A													
Acidic Burst	KEY:ACID_BURST_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1d6 Acid damage. On a critical hit deals +%d10 additional Acid damage|CRITMULT-1	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	REPLACES:ACID_M													
Acidic Burst	KEY:ACID_BURST_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1d6 Acid damage bestowed on ammunition. On a critical hit deals +%d10 additional Acid damage|CRITMULT-1	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO	REPLACES:ACID_R													
Balanced	KEY:BALANCE_A	TYPE:Ammunition	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30		PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO		BONUS:WEAPON|WIELDCATEGORY|-1												
Balanced	KEY:BALANCE_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30		PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO		BONUS:WEAPON|WIELDCATEGORY|-1												
Balanced	KEY:BALANCE_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30		PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO		BONUS:WEAPON|WIELDCATEGORY|-1												
Binding	KEY:BIND	TYPE:Weapon	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Once per day, the wielder of a binding weapon may make a binding strike. On a successful attack, the target of the binding strike cannot move extradimensionally by any means, as though affected by the dimensional anchor spell.	PRETYPE:2,Enhancement,Weapon									ASSIGNTOALL:NO														
Commanding	KEY:COMMAND_W	TYPE:Weapon	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:When held or drawn, a commanding weapon provides a +4 enhancement bonus on Intimidate checks.	PRETYPE:2,Enhancement,Weapon									ASSIGNTOALL:NO		BONUS:SKILL|Bluff,Diplomacy,Intimidate|2|TYPE=Enhancement	SPELLS:Commanding|TIMES=1|CASTERLEVEL=7|Suggestion											
Corrosive	KEY:ACID_A	TYPE:Ammunition	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1d6 Acid damage.	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	REPLACES:ACID_BURST_A													
Corrosive	KEY:ACID_M	TYPE:Weapon.Melee.Thrown	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1d6 Acid damage.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	REPLACES:ACID_BURST_M													
Corrosive	KEY:ACID_R	TYPE:Weapon.Ranged	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1d6 Acid damage bestowed on ammunition.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO	REPLACES:ACID_BURST_R													
Crazed	KEY:CRAZY	TYPE:Weapon	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:1/day Rage (+2 morale bonus to Strength and Constitution, and a +1 morale bonus on Will saves, but takes a -1 penalty to Armor Class, duration 3 rounds).	PRETYPE:2,Enhancement,Weapon									ASSIGNTOALL:NO														
Disarming	KEY:DISARM_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Eliminates the opponent's bonuses for weapon size and twohanded weapons during disarm.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO														
Energy Aura	KEY:ENERGY_AURA_A	TYPE:Ammunition	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Choose +1d6 elemental damage (acid, cold, electricity, fire, sonic) as free action each round	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO														
Energy Aura	KEY:ENERGY_AURA_M	TYPE:Weapon.Melee.Thrown	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Choose +1d6 elemental damage (acid, cold, electricity, fire, sonic) as free action each round	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO														
Energy Aura	KEY:ENERGY_AURA_R	TYPE:Weapon.Ranged	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Choose +1d6 elemental damage (acid, cold, electricity, fire, sonic) as free action each round	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO														
