SOURCELONG:Magic of Faerun 3.0	SOURCESHORT:MoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:02-2001																													
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	DESC:Beholder mage neither gain nor lose proficiency with any weapons, armor, or shields by gaining levels in this class.					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
CATEGORY=Internal|Default.MOD	DEFINE:SpellIronguts|0	ABILITY:Special Ability|AUTOMATIC|Spell ~ Ironguts|PREVARGTEQ:SpellIronguts,1																														
CATEGORY=Internal|Default.MOD	DEFINE:SpellLoyalVassal|0	ABILITY:Special Ability|AUTOMATIC|Spell ~ Loyal Vassal|PREVARGTEQ:SpellLoyalVassal,1																														
CATEGORY=Internal|Default.MOD	DEFINE:SpellStrategicCharge|0	ABILITY:Special Ability|AUTOMATIC|Spell ~ Strategic Charge|PREVARGTEQ:SpellStrategicCharge,1																														
Aura of Glory	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES		KEY:Spell ~ Aura of Glory									BONUS:VAR|FearResistanceBonus|2|TYPE=Sacred									ABILITY:Special Ability|VIRTUAL|Resistance to Fear									SOURCEPAGE:MoF30
Azuth's Spell Shield	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES		KEY:Spell ~ Azuth's Spell Shield				DEFINE:AzuthSSpellShieldSR|0					BONUS:VAR|AzuthSSpellShieldSR|12+SpellAzuthSSpellShieldLVL									SR:AzuthSSpellShieldSR									SOURCEPAGE:MoF30
Blood Frenzy	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES		KEY:Spell ~ Blood Frenzy									BONUS:STAT|STR,CON|2	BONUS:SAVE|Will|1|TPE=Morale	BONUS:COMBAT|AC|-1																SOURCEPAGE:MoF30
Branch to Branch	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES		KEY:Spell ~ Branch to Branch																		MOVECLONE:Walk,Brachiate,*1									SOURCEPAGE:MoF30
Claws of the Beast	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES		KEY:Spell ~ Claws of the Beast																		NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6									SOURCEPAGE:MoF30
Ironguts	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES		KEY:Spell ~ Ironguts									BONUS:VAR|PoisonResistanceBonus|4|TYPE=Circumstance									ABILITY:Special Ability|VIRTUAL|Resistance to Poison									SOURCEPAGE:MoF30
Loyal Vassal	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES		KEY:Spell ~ Loyal Vassal									BONUS:VAR|MindAffectingResistanceBonus|3|TYPE=Sacred									ABILITY:Special Ability|VIRTUAL|Resistance to Mind-Affecting									SOURCEPAGE:MoF30
Strategic Charge	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES		KEY:Spell ~ Strategic Charge																		ABILITY:FEAT|VIRTUAL|Mobility									SOURCEPAGE:MoF30
																																
###Block:spells																																
CATEGORY=Internal|Default.MOD	DEFINE:HasSummonUndeadI|0	ABILITY:Special Ability|AUTOMATIC|Summon Undead I																														
CATEGORY=Internal|Default.MOD	DEFINE:HasSummonUndeadII|0	ABILITY:Special Ability|AUTOMATIC|Summon Undead II																														
CATEGORY=Internal|Default.MOD	DEFINE:HasSummonUndeadIII|0	ABILITY:Special Ability|AUTOMATIC|Summon Undead III																														
CATEGORY=Internal|Default.MOD	DEFINE:HasSummonUndeadIV|0	ABILITY:Special Ability|AUTOMATIC|Summon Undead IV																														
CATEGORY=Internal|Default.MOD	DEFINE:HasSummonUndeadV|0	ABILITY:Special Ability|AUTOMATIC|Summon Undead V																														
																																
Summon Undead I	CATEGORY:Special Ability	ABILITY:Internal|AUTOMATIC|Summon Undead I (Base)|Summon Undead I	BONUS:VAR|SummonUndeadILVL|1																													
Summon Undead I (Base)	CATEGORY:Internal								DEFINE:SummonUndeadILVL|0	DEFINE:SummonUndeadIDetermination|0														ABILITY:Summon Undead I Selection|AUTOMATIC|Standard Selection ~ Summon Undead I|!PREABILITY:1,CATEGORY=Internal,TYPE.SummonUndeadIAlternate								SOURCEPAGE:MoF30
Summon Undead I	CATEGORY:Internal	TYPE:SummonUndeadISelection	VISIBLE:NO																													SOURCEPAGE:MoF30
Expanded Selection	CATEGORY:Internal	TYPE:SummonUndeadISelection.SummonUndeadIAlternate		KEY:Expanded Selection ~ Summon Undead I																			COST:0	COMPANIONLIST:Summon Undead I|ANY								SOURCEPAGE:MoF30
Summon Undead I (Default)	CATEGORY:Internal	TYPE:SummonUndeadISelection.SummonUndeadIBase		KEY:Standard Selection ~ Summon Undead I	!PREABILITY:1,CATEGORY=Internal,TYPE.SummonUndeadIAlternate																		COST:0	COMPANIONLIST:Summon Undead I|Companion ~ Human (Skeleton)								SOURCEPAGE:MoF30
																																
Summon Undead II	CATEGORY:Special Ability	ABILITY:Internal|AUTOMATIC|Summon Undead II (Base)|Summon Undead II	BONUS:VAR|SummonUndeadIILVL|1																													
Summon Undead II (Base)	CATEGORY:Internal								DEFINE:SummonUndeadIILVL|0	DEFINE:SummonUndeadIIDetermination|0														ABILITY:Summon Undead II Selection|AUTOMATIC|Standard Selection ~ Summon Undead II|!PREABILITY:1,CATEGORY=Internal,TYPE.SummonUndeadIIAlternate								SOURCEPAGE:MoF30
Summon Undead II	CATEGORY:Internal	TYPE:SummonUndeadIISelection	VISIBLE:NO																													SOURCEPAGE:MoF30
Expanded Selection	CATEGORY:Internal	TYPE:SummonUndeadIISelection.SummonUndeadIIAlternate		KEY:Expanded Selection ~ Summon Undead II																			COST:0	COMPANIONLIST:Summon Undead II|ANY								SOURCEPAGE:MoF30
Summon Undead II (Default)	CATEGORY:Internal	TYPE:SummonUndeadIISelection.SummonUndeadIIBase		KEY:Standard Selection ~ Summon Undead II	!PREABILITY:1,CATEGORY=Internal,TYPE.SummonUndeadIIAlternate																		COST:0	COMPANIONLIST:Summon Undead II|Companion ~ Human (Zombie)								SOURCEPAGE:MoF30
																																
Summon Undead III	CATEGORY:Special Ability	ABILITY:Internal|AUTOMATIC|Summon Undead III (Base)|Summon Undead III	BONUS:VAR|SummonUndeadIIILVL|1																													
Summon Undead III (Base)	CATEGORY:Internal								DEFINE:SummonUndeadIIILVL|0	DEFINE:SummonUndeadIIIDetermination|0														ABILITY:Summon Undead III Selection|AUTOMATIC|Standard Selection ~ Summon Undead III|!PREABILITY:1,CATEGORY=Internal,TYPE.SummonUndeadIIIAlternate								SOURCEPAGE:MoF30
Summon Undead III	CATEGORY:Internal	TYPE:SummonUndeadIIISelection	VISIBLE:NO																													SOURCEPAGE:MoF30
Expanded Selection	CATEGORY:Internal	TYPE:SummonUndeadIIISelection.SummonUndeadIIIAlternate		KEY:Expanded Selection ~ Summon Undead III																			COST:0	COMPANIONLIST:Summon Undead III|ANY								SOURCEPAGE:MoF30
Summon Undead III (Default)	CATEGORY:Internal	TYPE:SummonUndeadIIISelection.SummonUndeadIIIBase		KEY:Standard Selection ~ Summon Undead III	!PREABILITY:1,CATEGORY=Internal,TYPE.SummonUndeadIIIAlternate																		COST:0	COMPANIONLIST:Summon Undead III|Ghoul								SOURCEPAGE:MoF30
																																
Summon Undead IV	CATEGORY:Special Ability	ABILITY:Internal|AUTOMATIC|Summon Undead IV (Base)|Summon Undead IV	BONUS:VAR|SummonUndeadIVLVL|1																													
Summon Undead IV (Base)	CATEGORY:Internal								DEFINE:SummonUndeadIVLVL|0	DEFINE:SummonUndeadIVDetermination|0														ABILITY:Summon Undead IV Selection|AUTOMATIC|Standard Selection ~ Summon Undead IV|!PREABILITY:1,CATEGORY=Internal,TYPE.SummonUndeadIVAlternate								SOURCEPAGE:MoF30
Summon Undead IV	CATEGORY:Internal	TYPE:SummonUndeadIVSelection	VISIBLE:NO																													SOURCEPAGE:MoF30
Expanded Selection	CATEGORY:Internal	TYPE:SummonUndeadIVSelection.SummonUndeadIVAlternate		KEY:Expanded Selection ~ Summon Undead IV																			COST:0	COMPANIONLIST:Summon Undead IV|ANY								SOURCEPAGE:MoF30
Summon Undead IV (Default)	CATEGORY:Internal	TYPE:SummonUndeadIVSelection.SummonUndeadIVBase		KEY:Standard Selection ~ Summon Undead IV	!PREABILITY:1,CATEGORY=Internal,TYPE.SummonUndeadIVAlternate																		COST:0	COMPANIONLIST:Summon Undead IV|Allip,Ghoul (Ghast)								SOURCEPAGE:MoF30
																																
Summon Undead V	CATEGORY:Special Ability	ABILITY:Internal|AUTOMATIC|Summon Undead V (Base)|Summon Undead V	BONUS:VAR|SummonUndeadVLVL|1																													
Summon Undead V (Base)	CATEGORY:Internal								DEFINE:SummonUndeadVLVL|0	DEFINE:SummonUndeadVDetermination|0														ABILITY:Summon Undead V Selection|AUTOMATIC|Standard Selection ~ Summon Undead V|!PREABILITY:1,CATEGORY=Internal,TYPE.SummonUndeadVAlternate								SOURCEPAGE:MoF30
Summon Undead V	CATEGORY:Internal	TYPE:SummonUndeadVSelection	VISIBLE:NO																													SOURCEPAGE:MoF30
Expanded Selection	CATEGORY:Internal	TYPE:SummonUndeadVSelection.SummonUndeadVAlternate		KEY:Expanded Selection ~ Summon Undead V																			COST:0	COMPANIONLIST:Summon Undead V|ANY								SOURCEPAGE:MoF30
Summon Undead V (Default)	CATEGORY:Internal	TYPE:SummonUndeadVSelection.SummonUndeadVBase		KEY:Standard Selection ~ Summon Undead V	!PREABILITY:1,CATEGORY=Internal,TYPE.SummonUndeadVAlternate																		COST:0	COMPANIONLIST:Summon Undead V|Mummy,Shadow,Vampire Spawn,Wight								SOURCEPAGE:MoF30
																																
Summon Undead V	CATEGORY:Internal	TYPE:SummonUndeadVSelection	VISIBLE:NO																													SOURCEPAGE:MoF30
Expanded Selection	CATEGORY:Internal	TYPE:SummonUndeadVSelection.SummonUndeadVAlternate		KEY:Expanded Selection ~ Summon Undead V																			COST:0	COMPANIONLIST:Summon Undead V|ANY								SOURCEPAGE:MoF30
Summon Undead V (Default)	CATEGORY:Internal	TYPE:SummonUndeadVSelection.SummonUndeadVBase		KEY:Standard Selection ~ Summon Undead V	!PREABILITY:1,CATEGORY=Internal,TYPE.SummonUndeadVAlternate																		COST:0	COMPANIONLIST:Summon Undead V|Companion ~ Dire Animal (Dire Bear/Celestial),Companion ~ Animal (Whale (Cachalot/Celestial)),Companion ~ Dinosaur (Triceratops/Celestial),Lillend,Companion ~ Elemental (Air/Greater),Companion ~ Elemental (Earth/Greater),Companion ~ Elemental (Fire/Greater),Companion ~ Elemental (Water/Greater),Slaad (Blue Slaad),Companion ~ Animal (Squid (Giant/Fiendish)),Devil (Hellcat),Companion ~ Monstrous Centipede (Colossal/Fiendish),Companion ~ Dire Animal (Dire Tiger/Fiendish),Companion ~ Monstrous Spider (Gargantuan/Fiendish),Companion ~ Dinosaur (Tyrannosaurus/Fiendish),Demon (Vrock)								SOURCEPAGE:MoF30
																																
###Block: Magic items addition																																
Resistance To Enchantment (Sp)	CATEGORY:Special Ability		VISIBLE:NO						DEFINE:EnchantmentResistanceBonusSp|0														ABILITY:Special Ability|VIRTUAL|Resistance To Enchantment Output (Sp)|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Enchantment									SOURCEPAGE:MoF30
Resistance To Mind-Affecting (Sp)	CATEGORY:Special Ability		VISIBLE:NO						DEFINE:MindAffectingResistanceBonusSp|0														ABILITY:Special Ability|VIRTUAL|Resistance To Mind-Affecting Output (Sp)|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Mind-Affecting									SOURCEPAGE:MoF30
Resistance To Enchantment Output (Sp)	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike.Resistance	VISIBLE:YES	DESC:You get a +%1 bonus on Will saving throws against Enchantment|EnchantmentResistanceBonusSp	OUTPUTNAME:Resistance To Enchantment																											SOURCEPAGE:MoF30	ASPECT:Resistance|Enchantment	ASPECT:Ability Benefit|%1|EnchantmentResistanceBonusSp								
Resistance To Mind-Affecting Output (Sp)	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike.Resistance	VISIBLE:YES	DESC:You get a +%1 bonus on Will saving throws against Mind-Affecting|MindAffectingResistanceBonusSp	OUTPUTNAME:Resistance To Mind-Affecting																											SOURCEPAGE:MoF30	ASPECT:Resistance|Mind-Affecting	ASPECT:Ability Benefit|%1|MindAffectingResistanceBonusSp								

sistance To Enchan Output (Sp)	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike.Resistance	VISIBLE:YES	DESC:You get a +%1 bonus on Will saving throws against Mind-Affecting|MindAffectingResistanceBonusSp	OUTPUTNAME:Resistance To Mind-Affecting																											SOURCEPAGE:MoF30	ASPECT:Resistance|Mind-Affecting	ASPECT:Ability Benefit|%1|MindAffectingResistanceBonusSp								

