SOURCELONG:Magic of Faerun 3.0	SOURCESHORT:MoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:02-2001																								
																											
###Block: AB																											
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus		
Balagarn's Iron Horn				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Sonic	CLASSES:Bard=1|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone.	DURATION:Instantaneous	SAVEINFO:None; See Text	SPELLRES:Yes	DESC:You create a deep, resonant vibration that can shake creatures off their feet as if they were being tripped.	SOURCEPAGE:MoF30										
Ball Lightning				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Electricity	CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One or more balls of lightning, up to 1/level.	DURATION:1 round/level	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:You create several balls of lightning that shed light as candles and move under your control. Material Component: A handful of copper and iron pellets.	SOURCEPAGE:MoF30										
Battering Ram				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One object or creature.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:You create a ramlike force that can strike with considerable power. Focus: A piece of carved ram's horn.	SOURCEPAGE:MoF30										
Battletide				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=5	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:You and up to one creature/level, no two of which can be more than 30-ft. Apart.	DURATION:1 round/level	SAVEINFO:No and Will negates	SPELLRES:Yes	DESC:You steal energy from others.	SOURCEPAGE:MoF30							TEMPBONUS:ANYPC|SAVE|ALL|-2	TEMPBONUS:ANYPC|COMBAT|TOHIT,DAMAGE|-2		
Binding Winds				TYPE:Spell	SCHOOL:Evocation			CLASSES:Druid=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.	DURATION:Concentration	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:You create a flurry of air to encircle and hold your target.	SOURCEPAGE:MoF30										
Black Blade of Disaster				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Sorcerer=9|Wizard=9	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Sword-shaped planar rift	DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:You create a black bladeshaped planar rift about 3 feet long.	SOURCEPAGE:MoF30										
Blackstaff				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Staff or quarterstaff touched	DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Created by the renowned archmage Khelben Arunsun and shared only with those whom he trusts implicitly, blackstaff has three principal effects. Focus: A nonmagical quarterstaff or a magic staff.	SOURCEPAGE:MoF30										
Blade Thirst				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Ranger=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One slashing weapon	DURATION:1 round/level	SAVEINFO:None (object)	SPELLRES:Yes	DESC:You grant a slashing weapon a +3 enhancement bonus.	SOURCEPAGE:MoF30										
Blinding Spittle				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One missile of spit.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Using a ranged touch attack (with a -4 penalty), you spit caustic saliva into your target's eyes.	SOURCEPAGE:MoF30										
Blindsight				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=4|Druid=3|Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:This spell grants the Blindsight feat.	SOURCEPAGE:MoF30							TEMPBONUS:ANYPC|VAR|HasBlindsightVision|1|TYPE=Temporary			
Blood Frenzy				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Rage gives +2 to Str and Con, +1 to Will saves and -1 to AC.	SOURCEPAGE:MoF30							TEMPBONUS:ANYPC|VAR|SpellBloodFrenzy|1|TYPE=Temporary			
Body Blades				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You sprout daggerlike spikes from all surfaces of your body and clothing.	SOURCEPAGE:MoF30										
Bombardment				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Druid=8	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:15-ft-radius burst centered on spot.	DURATION:Instantaneous	SAVEINFO:Reflex half; See text	SPELLRES:Yes	DESC:You cause a rain of rocks to fall from the sky, burying your opponents. Focus: A quartz crystal embedded in rock.	SOURCEPAGE:MoF30										
Branch to Branch				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Ranger=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You gain a +10 competence bonus on Climb checks made in trees.	SOURCEPAGE:MoF30							TEMPBONUS:ANYPC|VAR|SpellBranchToBranch|1|TYPE=Temporary	TEMPBONUS:PC|SKILL|Climb|10|TYPE=Competence		
Brilliant Aura				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=7	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One person/2 levels, all of whom must be withing 30-ft each other.	DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You limn your allies in a glowing nimbus, transforming their attacks into brilliant energy.	SOURCEPAGE:MoF30										
Cacophonic Shield				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Sonic	CLASSES:Bard=6|Sorcerer=6|Wizard=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:10-ft radius emanation centered on you.	DURATION:1 minute/level	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:You create an immobile barrier of sonic energy at a distance of 10 feet from yourself.	SOURCEPAGE:MoF30										
Camouflage				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=1|Ranger=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You change your coloring to match the environment surrounding you.	SOURCEPAGE:MoF30							TEMPBONUS:PC|SKILL|Hide|10|TYPE=Competence			
Cast in Stone				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=9	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Personal	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Anyone meeting your gaze is permanently turned into a mindless, inert statue (as flesh to stone).	SOURCEPAGE:MoF30										
Celebration				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting|Sonic	CLASSES:Bard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:15-ft-radius burst	DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You cause any creatures in the area to feel increasingly more intoxicated the longer you perform a drinking song.	SOURCEPAGE:MoF30										
Circle Dance				TYPE:Spell	SCHOOL:Divination			CLASSES:Bard=2|Cleric=3|Druid=3	COMPS:V, S	CASTTIME:1 minute	RANGE:Personal	TARGETAREA:You	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You divine the relative direction and condition of another individual.	SOURCEPAGE:MoF30										
Claws of the Beast				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=1|Ranger=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your fingers sprout claws.	SOURCEPAGE:MoF30							TEMPBONUS:PC|VAR|SpellClawsOfTheBeast|1|TYPE=Temporary			
Cloudburst				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Water	CLASSES:Druid=2	COMPS:V, S	CASTTIME:1 full round	RANGE:Long	TARGETAREA:100-ft radius emanation.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You cause clouds to gather and a heavy rain to fall.	SOURCEPAGE:MoF30										
Cloud of Bewilderment				TYPE:Spell	SCHOOL:Evocation			CLASSES:Bard=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:Cone.	DURATION:1 round/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You breathe out an invisible cloud of noxious air.	SOURCEPAGE:MoF30										
Cocoon				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Druid=8	COMPS:V, S, M, XP	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One living creature	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You cause silkworm threads to encase your target in a cocoon. Material Component: A silkworm cocoon. XP Cost: 1,000 XP.	SOURCEPAGE:MoF30			XPCOST:1000							
Combust				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Fire	CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Touched creature or combustible object that weights no more than 25 lbs/level.	DURATION:Instantaneous	SAVEINFO:Reflex partial	SPELLRES:Yes	DESC:This spell makes a combustible object or a creature's combustible equipment burst into flame, even if damp.	SOURCEPAGE:MoF30										
Corrosive Grasp				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature or creatures touched (up to one/level)	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Your hand becomes coated with a thick layer of acid that does not harm you or your equipment.	SOURCEPAGE:MoF30										
Crawling Darkness				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Cleric=5	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You bring into being a shroud of dark, writhing tentacles around your body.	SOURCEPAGE:MoF30							TEMPBONUS:PC|COMBAT|TOHIT.GRAPPLE|4|TYPE=Competence	TEMPBONUS:PC|SKILL|Climb,Escape Artist|4|TYPE=Competence		
Create Crossroad and Backroad				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Druid=7	COMPS:V, S, DF, XP	CASTTIME:1 day	RANGE:Touch	TARGETAREA:two area of up to 50-ft-square	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You form two crossroads and a backroad that links them.	SOURCEPAGE:MoF30			XPCOST:3500							
Crumble				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One structure or one construct.	DURATION:Instantaneous	SAVEINFO:Fortitude partial  (object)	SPELLRES:Yes	DESC:You bring the forces of erosion to bear on a fabricated structure such as a stone bridge, a wooden building, an iron wall, a construct, or any other object not formed by nature itself.	SOURCEPAGE:MoF30										
Curse of Ill Fortune				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature.	DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You place a temporary curse upon the target, giving her a -3 enhancement penalty on attack rolls, saving throws, ability checks, and skill checks.	SOURCEPAGE:MoF30							TEMPBONUS:ANYPC|SAVE|ALL|-3|TYPE=Temporary	TEMPBONUS:ANYPC|COMBAT|TOHIT|-3|TYPE=Temporary	TEMPBONUS:ANYPC|SKILL|ALL|-3|TYPE=Temporary	
Darkfire				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Fire	CLASSES:Cleric=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:Flame in your palm.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Dark flames appear in your hand.	SOURCEPAGE:MoF30										
Dark Way				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Shadow		CLASSES:Cleric=3	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One bridge of force 2-ft wide, 1 in. Thick and up to 20-ft/level long	DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:You create a ribbonlike, weightless, unbreakable bridge.	SOURCEPAGE:MoF30										
Darsson's Potion				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Flask of water touched	DURATION:1 hour/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:You transform the water in a flask so that it is capable of storing a spell in the manner of a potion.	SOURCEPAGE:MoF30										
Deafening Clang				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Sonic	CLASSES:Paladin=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched	DURATION:1 round/level	SAVEINFO:Will negates (harmless,object)	SPELLRES:Yes	DESC:You empower the touched weapon with magic that causes it to emit a loud clang when it is struck against a hard surface, such as a floor, wall, or creature.	SOURCEPAGE:MoF30										
Death Armor				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You	DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You are surrounded with a crackling black aura that injures creatures that contact it. Material Component: A paste made of exotic herbs, ground bones, and onyx worth 50 gp, which is applied to your body when the spell is cast.	SOURCEPAGE:MoF30		COST:50								
Death Dragon				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil|Fear|Mind-Affecting	CLASSES:Cleric=7	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:Dragon of energy and bones.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You summon unholy power to gird yourself in a dragonshaped cocoon of bones and negative energy.	SOURCEPAGE:MoF30							TEMPVALUE:MIN=1|MAX=20|TITLE=Choose Choose caster level	TEMPBONUS:PC|COMBAT|AC|4|TYPE=NaturalArmor	TEMPBONUS:PC|COMBAT|AC|4|TYPE=Deflection	TEMPBONUS:PC|HP|CURRENTMAX|%CHOICE
Death Pact				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=8	COMPS:V, S, M, DF, XP	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Willing living creature touched.	DURATION:Permanent until triggered	SAVEINFO:None	SPELLRES:No	DESC:This spell allows the target to enter a binding agreement with your deity that brings the target back to life if she is slain. Material Component: A diamond worth at least 500 gp. XP Cost: 250 XP.	SOURCEPAGE:MoF30		COST:500	XPCOST:250							
Decoy Image				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Figment		CLASSES:Ranger=3	COMPS:V, S	CASTTIME:1 full round	RANGE:Long	TARGETAREA:Figment that mimics you and all allies within 50-ft of you.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:In order to flush ambushes, you project a duplicate image of yourself and your companions.	SOURCEPAGE:MoF30										
Detect Crossroads				TYPE:Spell	SCHOOL:Divination			CLASSES:Bard=0|Druid=0	COMPS:V, S	CASTTIME:1 standard action	RANGE:60 ft. or 1 mile (see text)	TARGETAREA:Quarter circle emanating from you to the extreme of the range.	DURATION:Concentration, up to 10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You can see fey crossroads within 60 feet, if your visibility isn't blocked.	SOURCEPAGE:MoF30										
Dhulark's Glasstrike				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature or 4 cubic ft of material.	DURATION:1 hour/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You transform the target into glass. Focus: A piece of glass from a mirror.	SOURCEPAGE:MoF30										
Dimensional Lock				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=8|Sorcerer=8|Wizard=8	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:15-ft-radius emanation centered on a point in space.	DURATION:1 day/level	SAVEINFO:None	SPELLRES:Yes	DESC:You create a field that completely blocks bodily extradimensional travel.	SOURCEPAGE:MoF30										
Dirge				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Sonic	CLASSES:Bard=6	COMPS:V, S	CASTTIME:1 full round	RANGE:50 ft.	TARGETAREA:All enemies within a 50-ft radius burst centered on you	DURATION:1 round/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Your song draws the energies of death and destruction down on your enemies.	SOURCEPAGE:MoF30							TEMPBONUS:ANYPC|STAT|ST,DEX|-2|TYPE=Temporary			
Disguise Undead				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One corporeal undead	DURATION:10 minutes/level	SAVEINFO:None (harmless)	SPELLRES:No	DESC:You make one undead-including clothing, armor, weapons, and equipment-look different. Focus: A cocoon of a death's head moth.	SOURCEPAGE:MoF30										
Disquietude				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Sonic	CLASSES:Bard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Your song or poem instills a feeling of paranoia in your target.	SOURCEPAGE:MoF30										
Distort Speech				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You distort a creature's vocalizations.	SOURCEPAGE:MoF30										
Doomtide				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Pattern		CLASSES:Cleric=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:80 ft.	TARGETAREA:Eight 10-ft cubes extending from the caster's location.	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You fill an area with illusory black, creeping mist that vaguely resembles thousands of slender grasping tentacles.	SOURCEPAGE:MoF30										
Drown				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Druid=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You create water in the lungs of the subject, which begins to drown.	SOURCEPAGE:MoF30										
Earthfast				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One stone structure or rock formation, up to 25 cu ft/level	DURATION:10 minutes/level	SAVEINFO:Fortitude negates (harmless,object)	SPELLRES:Yes	DESC:You reinforce a rock formation or stone structure.	SOURCEPAGE:MoF30										
Easy Climb				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Ranger=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Vertical path 10-ft wide and 20-ft tall/level.	DURATION:10 minutes/level	SAVEINFO:None (object)	SPELLRES:Yes	DESC:You create a path of handholds and footholds up the surface of a cliff-face, tree trunk, wall, or other vertical obstacle.	SOURCEPAGE:MoF30										
Easy Trail				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Druid=2|Ranger=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:30-ft cone trailing behind you.	DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:You radiate an energy that gently pushes plants aside, allowing easy passage and hiding your trail after you pass.	SOURCEPAGE:MoF30										
Echo Skull				TYPE:Spell	SCHOOL:Divination			CLASSES:Druid=5	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Animal skull touched	DURATION:1 hour/level	SAVEINFO:None (object)	SPELLRES:Yes	DESC:You can see, hear, and speak through a specific dried animal skull at any distance. Focus: A dried animal skull.	SOURCEPAGE:MoF30										
