SOURCELONG:Dungeons Master's Guide	SOURCESHORT:DMG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																						
#																									
#	OUTPUTNAME:	KEY:	PROFICIENCY:	TYPE:	COST:	WT:	WIELD:	SLOTS:	SIZE:	DAMAGE:	CRITRANGE:	CRITMULT:	EQMOD:	SOURCEPAGE:	SPROP:	ALTTYPE:	ALTDAMAGE:	ALTCRITRANGE:	ALTCRITMULT:	ALTEQMOD:	RANGE:	REACHMULT:			
Runehammer (Alhalbrin)			PROFICIENCY:WEAPON|Warhammer	TYPE:Enhancement.Weapon.Melee.Martial.Bludgeoning.OneHanded.Hammer	COST:11912	WT:5	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:1	CRITMULT:x3	EQMOD:STEEL.WOOD.DARKSTEEL.EQ_COST_ADJ_W.PLUS1W	SOURCEPAGE:MoF30									SPELLS:Runehammer|TIMES=1|CASTERLEVEL=7|Heat Metal		
Runehammer (Faerindyl)			PROFICIENCY:WEAPON|Warhammer	TYPE:Enhancement.Weapon.Melee.Martial.Bludgeoning.OneHanded.Hammer	COST:11712	WT:5	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:1	CRITMULT:x3	EQMOD:STEEL.WOOD.DARKSTEEL.EQ_COST_ADJ_W.PLUS1W	SOURCEPAGE:MoF30									SPELLS:Runehammer|TIMES=1|CASTERLEVEL=7|Burning Hands		
Runehammer (Thundaril)			PROFICIENCY:WEAPON|Warhammer	TYPE:Enhancement.Weapon.Melee.Martial.Bludgeoning.OneHanded.Hammer	COST:17912	WT:5	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:1	CRITMULT:x3	EQMOD:STEEL.WOOD.DARKSTEEL.EQ_COST_ADJ_W.PLUS1W	SOURCEPAGE:MoF30									SPELLS:Runehammer|TIMES=1|CASTERLEVEL=7|Baleful Polymorph		
Scimitar of the Fool			PROFICIENCY:WEAPON|Scimitar	TYPE:Enhancement.Weapon.Melee.Martial.Piercing.OneHanded.Scimitar	COST:3000	WT:4	WIELD:OneHanded		SIZE:M	DAMAGE:1d6	CRITRANGE:3	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS1W	SOURCEPAGE:MoF30									BONUS:SAVE|Will|-3|TYPE=Morale		
Sembian Guardblade			PROFICIENCY:WEAPON|Rapier	TYPE:Enhancement.Weapon.Melee.Martial.Piercing.OneHanded.Rapier	COST:8320	WT:2	WIELD:OneHanded		SIZE:M	DAMAGE:1d6	CRITRANGE:3	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS1W.DEFEND	SOURCEPAGE:MoF30									BONUS:WEAPON|DAMAGEMULT:2|-0.5		
Silverman's Axe			PROFICIENCY:WEAPON|Battleaxe	TYPE:Enhancement.Weapon.Melee.Martial.Slashing.OneHanded.Axe	COST:50302	WT:6	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:1	CRITMULT:x3	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS3W.BANE_M|Outsiders (evil)	SOURCEPAGE:MoF30											
																									
## TwoHanded																									
Lance of Faerun			PROFICIENCY:WEAPON|Lance	TYPE:Enhancement.Weapon.Melee.Martial.Piercing.TwoHanded.Lance	COST:98310	WT:10	WIELD:TwoHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:1	CRITMULT:x3	EQMOD:STEEL.DARKWOOD.EQ_COST_ADJ_W.PLUS2W.HOLY_M	SOURCEPAGE:MoF30	SPROP:One Handed when mounted, Two Handed otherwise.							REACHMULT:2	ABILITY:FEAT|VIRTUAL|Spirited Charge	SPROP:+2 enhancement bonus and does +2d6 bonus damage vs. Outsiders (evil)|PREDEITY:1,Torm	
Prayer of Anger			PROFICIENCY:WEAPON|Greatsword	TYPE:Enhancement.Weapon.Melee.Martial.Slashing.TwoHanded.Sword	COST:14350	WT:8	WIELD:TwoHanded		SIZE:M	DAMAGE:2d6	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS2W	SOURCEPAGE:MoF30									ABILITY:Special Ability|VIRTUAL|Immunity to Fear	BONUS:VAR|ExtraRageDuration|1	
Singing Sword			PROFICIENCY:WEAPON|Greatsword	TYPE:Enhancement.Weapon.Melee.Martial.Slashing.TwoHanded.Sword	COST:24450	WT:8	WIELD:TwoHanded		SIZE:M	DAMAGE:2d6	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS1W	SOURCEPAGE:MoF30									BONUS:WEAPON|TOHIT,DAMAGE|2|TYPE=Morale	ABILITY:Special Ability|VIRTUAL|Resistance to Mind-Affecting (Sp)	BONUS:VAR|MindAffectingResistanceBonusSp|3|TYPE=Morale
																									
## Ranged																									
Luiren Shortbow			PROFICIENCY:WEAPON|Shortbow	TYPE:Enhancement.Weapon.Ranged.Martial.Piercing.Bow.Shortbow.Container	COST:8330	WT:2	WIELD:TwoHanded	SLOTS:2	SIZE:M	DAMAGE:1d6	CRITRANGE:1	CRITMULT:x3	EQMOD:WOOD.EQ_COST_ADJ_W.PLUS1W.SEEK_R	SOURCEPAGE:MoF30							RANGE:60		CONTAINS:UNLIM|Arrow|SpecificArrow	BONUS:WEAPON|DAMAGE|min(STR,0)	
																									
# Exotic Weapons																									
## Light																									
																									
## OneHanded																									
Berserker Blade (+1)		KEY:Berserker Blade (+1)	PROFICIENCY:WEAPON|Sword (Bastard)	TYPE:Enhancement.Weapon.Melee.Exotic.Slashing.OneHanded.Sword	COST:3335	WT:6	WIELD:OneHanded		SIZE:M	DAMAGE:1d10	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS1W	SOURCEPAGE:MoF30	SPROP:+2 enhancement bonus when in barbarian rage.								BONUS:WEAPON|WIELDCATEGORY|-1|PREABILITY:1,CATEGORY=FEAT,Exotic Weapon Proficiency (Sword (Bastard))|PRESTAT:1,STR=13	BONUS:WEAPON|TOHIT|2|TYPE=Enhancement|PREVARGTEQ:Enraged,1	
Berserker Blade (+2)		KEY:Berserker Blade (+2)	PROFICIENCY:WEAPON|Sword (Bastard)	TYPE:Enhancement.Weapon.Melee.Exotic.Slashing.OneHanded.Sword	COST:3335	WT:6	WIELD:OneHanded		SIZE:M	DAMAGE:1d10	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS2W	SOURCEPAGE:MoF30	SPROP:+3 enhancement bonus when in barbarian rage.								BONUS:WEAPON|WIELDCATEGORY|-1|PREABILITY:1,CATEGORY=FEAT,Exotic Weapon Proficiency (Sword (Bastard))|PRESTAT:1,STR=13	BONUS:WEAPON|TOHIT|3|TYPE=Enhancement|PREVARGTEQ:Enraged,1	
Taragarth			PROFICIENCY:WEAPON|Sword (Bastard)	TYPE:Enhancement.Weapon.Melee.Exotic.Slashing.OneHanded.Sword	COST:86335	WT:6	WIELD:OneHanded		SIZE:M	DAMAGE:1d10	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS3W.MI_CLE	SOURCEPAGE:MoF30									BONUS:WEAPON|WIELDCATEGORY|-1|PREABILITY:1,CATEGORY=FEAT,Exotic Weapon Proficiency (Sword (Bastard))|PRESTAT:1,STR=13	SPELLS:Taragarth|TIMES=ATWILL|CASTERLEVEL=9|Resist Energy ~ Fire|Feather Fall|Nondetection	
																									
## TwoHanded																									
																									
## Ranged																									
																									
# Arrows																									
Arrow of Biting				TYPE:Ammunition.Specific.SpecificArrow	COST:732	WT:0.1							EQMOD:STEEL.WOOD.EQ_COST_ADJ_W	SOURCEPAGE:MoF30	SPROP:fortitude save (DC 16) or poison 1d10 CON primary/1d10 CON secondary										
																									
																									
																									
																									
## Intelligent																									
																									
## Cursed																									
																									
## Artifacts																									
Arbane's Sword of Agility			PROFICIENCY:WEAPON|Longsword	TYPE:Artifact.Minor.Weapon.Melee.Martial.Slashing.OneHanded.Sword	COST:0	WT:4	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS2W.SPEED	SOURCEPAGE:MoF30	SPELLS:Arbane's Sword of Agility|TIMES=1|CASTERLEVEL=10|Jump	SPROP:Continuous Freedom of Movement. 1/day negates Darkness.	ABILITY:Special Ability|VIRTUAL|Immunity To Pattern								
Azureedge			PROFICIENCY:WEAPON|Battleaxe	TYPE:Artifact.Minor.Weapon.Melee.Martial.Slashing.OneHanded.Axe	COST:0	WT:6	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:1	CRITMULT:x3	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS5W.THROW_M.WOUND.LGHT_EMIT_TORCH.INT_ITEM.WEAP_INT_ITEM_3.INT_ITEM_INT_14.INT_ITEM_WIS_14.INT_ITEM_CHA_10.INT_ITEM_LANG_1|Chondathan.INT_ITEM_ALIGN_NG	SOURCEPAGE:MoF30	SPROP:It acts as a disruption weapon when defending the city of Waterdeep. Its magical properties are protected by Nystul's undetectable aura										
Great Druid's Staff			PROFICIENCY:WEAPON|Quarterstaff	TYPE:Artifact.Minor.Weapon.Melee.Simple.Bludgeoning.TwoHanded.Double.Quarterstaff	COST:0	WT:4	WIELD:TwoHanded		SIZE:M	DAMAGE:1d6	CRITRANGE:1	CRITMULT:x2	EQMOD:WOOD.EQ_COST_ADJ_W.PLUS2W	SOURCEPAGE:PHB		ALTTYPE:Weapon.Melee.Bludgeoning	ALTDAMAGE:1d6	ALTCRITRANGE:1	ALTCRITMULT:x2	ALTEQMOD:WOOD	SPELLS:Great Druid's Staff|TIMES=1|CASTERLEVEL=20|Summon Nature's Ally VII				
