SOURCELONG:Magic of Faerun 3.0	SOURCESHORT:MoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-02
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	DESC:Beholder mage neither gain nor lose proficiency with any weapons, armor, or shields by gaining levels in this class.					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Membership	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildWizardOfWaterdeepClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The character becomes a full member of the Watchful Order of Magists and Protectors. She is entitled to vote on issues before the entire membership, use the order's library and workrooms (though access to these facilities is based upon seniority), and replenish her store of material components (common components are usually free or carry a nominal fee, while components that carry a gold piece value are available "at cost"). Membership in the order incurs the following duties and responsibilities: &nl;- Monthly membership dues of 25 gp (payable up to 1 year in advance);&nl; Obedience to the rulings of the masters;&nl; Aid to other members in time of need (this normally means aiding other order members who are in danger, but can mean aiding them in their other endeavors as well);&nl; Defense of the city of Waterdeep when called upon by the Masters or legitimate authorities of the Waterdhavian government;&nl;- Devotion of personal time and energy to the order (10%% XP penalty).	KEY:Guild Wizard of Waterdeep ~ Membership																		ABILITY:Guild Category|AUTOMATIC|Watchful Order of Magistis and Protectors								SORTKEY:Class_Guild_Wizard_Of_Waterdeep	SOURCEPAGE:MoF30	
Improved Spell Acquisition	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildWizardOfWaterdeepClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At each level of advancement in the guild wizard prestige class, a character gains three spells of her choice of any level she can cast to add to her spellbook.	KEY:Guild Wizard of Waterdeep ~ Improved Spell Acquisition																										SORTKEY:Class_Guild_Wizard_Of_Waterdeep	SOURCEPAGE:MoF30	
Spellpool	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildWizardOfWaterdeepClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Beginning at 2nd level, members of the Watchful Order of Magists and Protectors can call 1st through 3rd-level spells from a common source known as a spellpool. At 6th level, they may call up to 6th-level spells from the spellpool, and at 10th level they may call spells of up to 9th level from the spellpool. See the Spellpool description in the previous chapter.	KEY:Guild Wizard of Waterdeep ~ Spellpool				DEFINE:SpellpoolLVL|0	DEFINE:SpellpoolLimit|0				BONUS:VAR|SpellpoolLVL|min(3,(((GuildWizardOfWaterdeepLVL+2)/4)))	BONUS:VAR|SpellpoolLimit|SpellpoolLVL*3																SORTKEY:Class_Guild_Wizard_Of_Waterdeep	SOURCEPAGE:MoF30	ASPECT:NAME|Spellpool %1|SpellpoolLVL
Bonus Item Creation Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildWizardOfWaterdeepClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 3rd level, a member of the order may select a bonus Item Creation feat (she must still meet the prerequisites for gaining the feat).	KEY:Guild Wizard of Waterdeep ~ Bonus Item Creation Feat									BONUS:ABILITYPOOL|Guild Wizard of Waterdeep Feat|1																	SORTKEY:Class_Guild_Wizard_Of_Waterdeep	SOURCEPAGE:MoF30	
Bonus Language	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildWizardOfWaterdeepClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Members of the order study the Art across cultural boundaries. As such, they pick up other languages so that they may enhance their studies. The character may add one additional language to the list of those she already knows. She may include ancient languages (see the section on Language in Chapter 3: Life in Faerun in the FORGOTTEN REALMS Campaign Setting).	KEY:Guild Wizard of Waterdeep ~ Bonus Language									BONUS:ABILITYPOOL|Guild Wizard of Waterdeep Language|GuildWizardOfWaterdeepLVL/4																	SORTKEY:Class_Guild_Wizard_Of_Waterdeep	SOURCEPAGE:MoF30	
Language Chooser	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildWizardOfWaterdeepClassFeatures.GuildWizardOfWaterdeepLanguage	VISIBLE:DISPLAY	DESC:Choose a Language	KEY:Guild Wizard of Waterdeep ~ Bonus Language ~ Bonus Language Chooser														STACK:NO	MULT:YES	CHOOSE:LANG|QUALIFIED,TYPE=Spoken|QUALIFIED,TYPE=Ancient	SELECT:1	AUTO:LANG|%LIST								SORTKEY:Class_Guild_Wizard_Of_Waterdeep	SOURCEPAGE:MoF30	
Improved Counterspell Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildWizardOfWaterdeepClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 5th level, the character gains the Improved Counterspell feat. City officials call upon the order to assist in preventing widespread destruction when rogue spellcasters threaten the city. As a result, the order has perfected its ability to use counterspell techniques to eliminate the threat of such reckless magic use. The Masters feel that this is preferable to harming the irresponsible magic user, leaving the punishment of such a person to the city authorities.	KEY:Guild Wizard of Waterdeep ~ Improved Counterspell Feat																		ABILITY:FEAT|AUTOMATIC|Improved Counterspell								SORTKEY:Class_Guild_Wizard_Of_Waterdeep	SOURCEPAGE:MoF30	
Focused Dispel	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildWizardOfWaterdeepClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Sometimes members of the order must deal with lingering magical effects. Over the years, its members have developed more effective dispelling skills. Beginning at 7th level, they may add +2 to any caster level checks made to dispel magic.	KEY:Guild Wizard of Waterdeep ~ Focused Dispel																		ABILITY:FEAT|AUTOMATIC|Improved Counterspell								SORTKEY:Class_Guild_Wizard_Of_Waterdeep	SOURCEPAGE:MoF30	
Break Enhancement Spell	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildWizardOfWaterdeepClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 9th level, the break enchantment spell is added to the 4th-level spell list of the guild wizard of Waterdeep. He or she must still learn the spell in order to cast it, just as with any other spell.	KEY:Guild Wizard of Waterdeep ~ Break Enhancement Spell																										SORTKEY:Class_Guild_Wizard_Of_Waterdeep	SOURCEPAGE:MoF30	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperMageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Harper mages are proficient with simple weapons. They gain no proficiency in the use of any armor.	KEY:Harper Mage ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple								SORTKEY:Class_Harper_Mage	SOURCEPAGE:MoF30	
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperMageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Harper mage's training focuses on magic. Thus, when a character gains a new level of Harper mage, she gains new spells per day as if she had also gained a level in whatever arcane spellcasting class she belonged to before she added the prestige class. She does not, however, gain any other benefit a character of that class would have gained (metamagic or item creation feats, for example). If a character had more than one arcane spellcasting class before she became a Harper mage, she must decide to which class she adds each level of Harper mage for purposes of determining spells per day when she adds the new level.	KEY:Harper Mage ~ Spells per Day																										SORTKEY:Class_Harper_Mage	SOURCEPAGE:MoF30	
Harper Knowledge	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperMageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Like a bard, a Harper mage has a knack for picking up odd bits of knowledge. This ability works exactly like the bardic knowledge ability of the bard class. If a Harper mage has bard levels (or levels in another class with the same ability, such as loremaster or Harper scout), her Harper mage levels and bard levels (or levels in the other appropriate class) stack for the purpose of using Harper knowledge.	KEY:Harper Mage ~ Harper Knowledge									BONUS:VAR|HarperKnowledgeLVL|HarperMageLVL+BardLVL+LoremasterLVL									ABILITY:Special Ability|AUTOMATIC|Harper Knowledge								SORTKEY:Class_Harper_Mage	SOURCEPAGE:MoF30	
Oghma's Insight	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperMageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:As lorekeepers, Harper mages develop a keen interest in many fields. The Harper mage gains a free Skill Focus feat in any one Knowledge skill.	KEY:Harper Mage ~ Oghma's Insight									BONUS:ABILITYPOOL|Harper Skill Focus|1																	SORTKEY:Class_Harper_Mage	SOURCEPAGE:MoF30	
Knowledge Chooser	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperMageClassFeatures.HarperSkillFocus.SpecialQuality	VISIBLE:YES	DESC:Choose a knowledge skill.	KEY:Harper Mage ~ Oghma's Insight ~ Knowledge Chooser	PREVAREQ:HarperMageLVL,1													STACK:NO	MULT:YES	CHOOSE:SKILL|TYPE=Knowledge	SELECT:1	ABILITY:FEAT|AUTOMATIC|Skill Focus (%LIST)								SORTKEY:Class_Harper_Mage	SOURCEPAGE:MoF30	
Arcane Theory	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperMageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:As lorekeepers, Harper mages develop a keen interest in many fields. The Harper mage gains a free Skill Focus feat in any one Knowledge skill.	KEY:Harper Mage ~ Arcane Theory									BONUS:ABILITYPOOL|Harper Skill Focus|1																	SORTKEY:Class_Harper_Mage	SOURCEPAGE:MoF30	
Knowledge or Spellcraft Chooser	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperMageClassFeatures.HarperSkillFocus.SpecialQuality	VISIBLE:YES	DESC:Choose a knowledge skill or spellcraft skill.	KEY:Harper Mage ~ Arcane Theory ~ Knowledge or Spellcraft Chooser	PREVAREQ:HarperMageLVL,2													STACK:NO	MULT:YES	CHOOSE:SKILL|TYPE=Knowledge|Spellcraft	SELECT:1	ABILITY:FEAT|AUTOMATIC|Skill Focus (%LIST)								SORTKEY:Class_Harper_Mage	SOURCEPAGE:MoF30	
Extend Spell	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperMageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:In their studies of history and lore, Harper mages have learned something of ancient magic, including rudimentary elements of the mythal magic of the elves. These discoveries allow them to power a few of their spells each day, allowing them to last longer than normal. The Harper mage may cast a spell as if it were under the effect of the Extend Spell feat without affecting the casting time or spell slot of the spell. The Harper mage can use this ability a number of times per day equal to 1 + his Charisma bonus.	KEY:Harper Mage ~ Extend Spell	DESC:%1/day.|ExtendSpellTimes			DEFINE:ExtendSpellTimes|0					BONUS:VAR|ExtendSpellTimes|1+CHA																	SORTKEY:Class_Harper_Mage	SOURCEPAGE:MoF30	SERVESAS:ABILITY=FEAT|Extend Spell
Eschew Materials	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperMageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Further studies into the secrets of magic give Harper mages the ability to cast their spells without resorting to material components. This ability grants the Harper mage the Eschew Materials feat.	KEY:Harper Mage ~ Eschew Materials																		ABILITY:FEAT|AUTOMATIC|Eschew Materials								SORTKEY:Class_Harper_Mage	SOURCEPAGE:MoF30	
Mystra's Grace	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperMageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Harper mages gain a +2 insight bonus on all saves against magical effects.	KEY:Harper Mage ~ Mystra's Grace																										SORTKEY:Class_Harper_Mage	SOURCEPAGE:MoF30	ASPECT:SaveBonus|+2 insight bonus on all saves against magical effects.
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperPriestClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Harper priests are proficient with all simple weapons. They are also proficient with all types of armor (light, medium, and heavy) and shields.	KEY:Harper Priest ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Harper_Priest	SOURCEPAGE:MoF30	
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperPriestClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A Harper priest's training focuses on magic. Thus, when a character gains a new level of Harper priest, she gains new spells per day as if she had also gained a level in whatever divine spellcasting class she belonged to before she added the prestige class. She does not, however, gain any other benefit a character of that class would have gained (improved chance of controlling or rebuking undead, metamagic or item creation feats, and so on). If a character had more than one divine spellcasting class before she became a Harper priest, she must decide to which class she adds each level of Harper priest for purposes of determining spells per day when she adds the new level.	KEY:Harper Priest ~ Spells per Day																										SORTKEY:Class_Harper_Priest	SOURCEPAGE:MoF30	
Harper Knowledge	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperPriestClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Like a bard, a Harper priest has a knack for picking up odd bits of knowledge. This ability works exactly like the bardic knowledge ability of the bard class. If a Harper priest has bard levels (or levels in another class with the same ability, such as loremaster or Harper scout), her Harper priest levels and bard levels (or levels in the appropriate other class) stack for the purpose of using bardic knowledge.	KEY:Harper Priest ~ Harper Knowledge									BONUS:VAR|HarperKnowledge|HarperMageLVL+BardLVL+LoremasterLVL									ABILITY:Special Ability|AUTOMATIC|Harper Knowledge								SORTKEY:Class_Harper_Priest	SOURCEPAGE:MoF30	
Blessing	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperPriestClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At each level, a Harper priest may choose one blessing from Table 3-5: Harper Priest Blessings. Her Harper priest level plus her Wisdom bonus determines which blessings she can select. (She may select a lesser blessing than the highest possible if she so chooses.) She can't choose the same blessing twice.	KEY:Harper Priest ~ Blessing				DEFINE:BlessingLVL|0					BONUS:ABILITYPOOL|Harper Blessing|HarperPriestLVL	BONUS:VAR|BlessingLVL|HarperPriestLVL+WIS																SORTKEY:Class_Harper_Priest	SOURCEPAGE:MoF30	
Eldath's Pool	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperPriestClassFeatures.HarperBlessing.SpecialQuality	VISIBLE:YES	DESC:May create water 1/day as a cleric equal to her highest divine spellcasting level.	KEY:Harper Priest ~ Blessing ~ Eldath's Pool	PREVARGTEQ:BlessingLVL,1																	SPELLS:Innate|TIMES=1|CASTERLEVEL=Caster_Level_Highest__Divine|Create Water								SORTKEY:Class_Harper_Priest	SOURCEPAGE:MoF30	
Silvanus's Staff	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperPriestClassFeatures.HarperBlessing.SpecialQuality	VISIBLE:YES	DESC:Weapon Focus (quarterstaff) feat.	KEY:Harper Priest ~ Blessing ~ Silvanus's Staff	PREVARGTEQ:BlessingLVL,2																	ABILITY:FEAT|AUTOMATIC|Weapon Focus (Quarterstaff)								SORTKEY:Class_Harper_Priest	SOURCEPAGE:MoF30	
Deneir's Eye	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperPriestClassFeatures.HarperBlessing.SpecialQuality	VISIBLE:YES	DESC:+2 holy bonus on saves against glyphs, runes, and symbols.	KEY:Harper Priest ~ Blessing ~ Deneir's Eye	PREVARGTEQ:BlessingLVL,3																									SORTKEY:Class_Harper_Priest	SOURCEPAGE:MoF30	ASPECT:SaveBonus|+2 holy bonus on saves against glyphs, runes, and symbols
Milil's Voice	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperPriestClassFeatures.HarperBlessing.SpecialQuality	VISIBLE:YES	DESC:+1 holy bonus on all Charisma-based skill checks.	KEY:Harper Priest ~ Blessing ~ Milil's Voice	PREVARGTEQ:BlessingLVL,4								BONUS:SKILL|TYPE.Charisma|1|TYPE=Holy																	SORTKEY:Class_Harper_Priest	SOURCEPAGE:MoF30	
Mielikki's Step	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperPriestClassFeatures.HarperBlessing.SpecialQuality	VISIBLE:YES	DESC:Add +10 ft. to speed in light or medium armor.	KEY:Harper Priest ~ Blessing ~ Mielikki's Step	PREVARGTEQ:BlessingLVL,5								BONUS:MOVEADD|TYPE=Walk|10|PREVARLT:var("COUNT[EQTYPE.ARMOR.IS.HEAVY]"),1																	SORTKEY:Class_Harper_Priest	SOURCEPAGE:MoF30	
Lliira's Heart	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperPriestClassFeatures.HarperBlessing.SpecialQuality	VISIBLE:YES	DESC:+2 holy bonus on saves against compulsion and fear effects.	KEY:Harper Priest ~ Blessing ~ Lliira's Heart	PREVARGTEQ:BlessingLVL,6								BONUS:VAR|FearResistanceBonus,CompulsionResistanceBonus|2|TYPE=Holy									ABILITY:Special Ability|AUTOMATIC|Resistance to Fear|Resistance to Compulsion								SORTKEY:Class_Harper_Priest	SOURCEPAGE:MoF30	
Oghma's Insight	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperPriestClassFeatures.HarperBlessing.SpecialQuality	VISIBLE:YES	DESC:Skill Focus (any Knowledge) feat.	KEY:Harper Priest ~ Blessing ~ Oghma's Insight	PREVARGTEQ:BlessingLVL,7								BONUS:ABILITYPOOL|Harper Skill Focus|1																	SORTKEY:Class_Harper_Priest	SOURCEPAGE:MoF30	
Knowledge Chooser	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperMageClassFeatures.HarperSkillFocus.SpecialQuality	VISIBLE:YES	DESC:Choose a knowledge skill.	KEY:Harper Priest ~ Oghma's Insight ~ Knowledge Chooser	PREVAREQ:HarperPriestLVL,1													STACK:NO	MULT:YES	CHOOSE:SKILL|TYPE=Knowledge	SELECT:1	ABILITY:FEAT|AUTOMATIC|Skill Focus (%LIST)								SORTKEY:Class_Harper_Priest	SOURCEPAGE:MoF30	
Selune's Radiance	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperPriestClassFeatures.HarperBlessing.SpecialQuality	VISIBLE:YES	DESC:Low-light vision (or double range of existing low-light vision)	KEY:Harper Priest ~ Blessing ~ Selune's Blessing	PREVARGTEQ:BlessingLVL,8								BONUS:VAR|HasLowLightVision|1|TYPE=Base	BONUS:VAR|LowLightDistance|2																SORTKEY:Class_Harper_Priest	SOURCEPAGE:MoF30	
Mystra's Grace	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperPriestClassFeatures.HarperBlessing.SpecialQuality	VISIBLE:YES	DESC:+2 insight bonus on saves against magical effects.	KEY:Harper Priest ~ Blessing ~ Mystra's Grace	PREVARGTEQ:BlessingLVL,9																									SORTKEY:Class_Harper_Mage	SOURCEPAGE:MoF30	ASPECT:SaveBonus|+2 insight bonus on all saves against magical effects.
Tymora's Smile	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperPriestClassFeatures.HarperBlessing.SpecialQuality	VISIBLE:YES	DESC:Once per day may add +2 luck bonus to single saving throw (can be added after save result is known)	KEY:Harper Priest ~ Blessing ~ Tymora's Smile	PREVARGTEQ:BlessingLVL,10																									SORTKEY:Class_Harper_Mage	SOURCEPAGE:MoF30	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.MageKillerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Mage-killers gain no proficiency with any weapon or armor.	KEY:Mage-Killer ~ Weapon and Armor Proficiency																										SORTKEY:Class_Mage-Killer	SOURCEPAGE:MoF30	
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.MageKillerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A magekiller's training focuses on magic. Thus, when a character gains a new level of magekiller, she gains new spells per day as if she had also gained a level in whatever spellcasting class she belonged to before she added the prestige class. She does not, however, gain any other benefit a character of that class would have gained (improved chance of controlling or rebuking undead, metamagic or item creation feats, and so on). If a character had more than one spellcasting class before she became a mage-killer, she must decide to which class she adds each level of mage-killer for purposes of determining spells per day when she adds the new level.	KEY:Mage-Killer ~ Spells per Day																										SORTKEY:Class_Mage-Killer	SOURCEPAGE:MoF30	
Improved Saves	CATEGORY:Special Ability	TYPE:ClassFeatures.MageKillerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The mage-killer learns to improve his resistance to the very sorts of spells he uses against others. At 1st level, and every odd-numbered level thereafter, he gains a +1 bonus on either his Fortitude or Reflex save. These bonuses stack.	KEY:Mage-Killer ~ Improved Saves									BONUS:ABILITYPOOL|Mage-Killer Improved Save|(MageKillerLVL+1)/2																	SORTKEY:Class_Mage-Killer	SOURCEPAGE:MoF30	
Fortitude	CATEGORY:Special Ability	TYPE:ClassFeatures.MageKillerClassFeatures.MageKillerImprovedSave.SpecialQuality	VISIBLE:YES	DESC:+1 fortitude	KEY:Mage-Killer ~ Improved Saves ~ Fortitude									BONUS:SAVE|Fortitude|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Mage-Killer	SOURCEPAGE:MoF30	
Reflexes	CATEGORY:Special Ability	TYPE:ClassFeatures.MageKillerClassFeatures.MageKillerImprovedSave.SpecialQuality	VISIBLE:YES	DESC:+1 reflexes	KEY:Mage-Killer ~ Improved Saves ~ Reflexes									BONUS:SAVE|Reflex|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Mage-Killer	SOURCEPAGE:MoF30	
Augment Summoning	CATEGORY:Special Ability	TYPE:ClassFeatures.MageKillerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 2nd level, the character gains the Augment Summoning feat.	KEY:Mage-Killer ~ Augment Summoning																		ABILITY:FEAT|AUTOMATIC|Augment Summoning								SORTKEY:Class_Mage-Killer	SOURCEPAGE:MoF30	
