SOURCELONG:Darkness and Dread	SOURCESHORT:DD	SOURCEWEB:http://www.fantasyflightgames.com																														
																																
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
																																
Disturbing Aura	CATEGORY:Special Ability	TYPE:AbominationStrength.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The creature's opponents suffer a -2 penalty on all Will saves while within 60-ft of it.	KEY:Abomination ~ Disturbing Aura																											SOURCEPAGE:DD
Durable (Bludgeoning)	CATEGORY:Special Ability	TYPE:AbominationStrength.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Damage Reduction against Bludgeoning	KEY:Abomination ~ Durable (Bludgeoning)																		DR:5/Bludgeoning									SOURCEPAGE:DD
Durable (Piercing)	CATEGORY:Special Ability	TYPE:AbominationStrength.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Damage Reduction against Piercing	KEY:Abomination ~ Durable (Piercing)																		DR:5/Piercing									SOURCEPAGE:DD
Durable (Slashing)	CATEGORY:Special Ability	TYPE:AbominationStrength.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Damage Reduction against Slashing	KEY:Abomination ~ Durable (Slashing)																		DR:5/Slashing									SOURCEPAGE:DD
Energy Immunity (Acid)	CATEGORY:Special Ability	TYPE:AbominationStrength.SpecialQuality.Extraordinary	VISIBLE:DISPLAY	DESC:The creature has immunity to Acid energy type.	KEY:Abomination ~ Energy Immunity (Acid)																		ABILITY:Special Ability|AUTOMATIC|Immunity To Acid									SOURCEPAGE:DD
Energy Immunity (Cold)	CATEGORY:Special Ability	TYPE:AbominationStrength.SpecialQuality.Extraordinary	VISIBLE:DISPLAY	DESC:The creature has immunity to Cold energy type.	KEY:Abomination ~ Energy Immunity (Cold)																		ABILITY:Special Ability|AUTOMATIC|Immunity To Cold									SOURCEPAGE:DD
Energy Immunity (Electricity)	CATEGORY:Special Ability	TYPE:AbominationStrength.SpecialQuality.Extraordinary	VISIBLE:DISPLAY	DESC:The creature has immunity to Electricity energy type.	KEY:Abomination ~ Energy Immunity (Electricity)																		ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity									SOURCEPAGE:DD
Energy Immunity (Fire)	CATEGORY:Special Ability	TYPE:AbominationStrength.SpecialQuality.Extraordinary	VISIBLE:DISPLAY	DESC:The creature has immunity to Fire energy type.	KEY:Abomination ~ Energy Immunity (Fire)																		ABILITY:Special Ability|AUTOMATIC|Immunity To Fire									SOURCEPAGE:DD
Energy Immunity (Sonic)	CATEGORY:Special Ability	TYPE:AbominationStrength.SpecialQuality.Extraordinary	VISIBLE:DISPLAY	DESC:The creature has immunity to Sonic energy type.	KEY:Abomination ~ Energy Immunity (Sonic)																		ABILITY:Special Ability|AUTOMATIC|Immunity To Sonic									SOURCEPAGE:DD
Fast Healing	CATEGORY:Special Ability	TYPE:AbominationStrength.SpecialQuality.Extraordinary	VISIBLE:DISPLAY	DESC:The creature derives sustenance from the air, heat, or some other common environmental feature. It gains fast healing 2, or its fast healing ability increases by 2 points.	KEY:Abomination ~ Fast Healing									BONUS:VAR|FastHealing|2																		SOURCEPAGE:DD
Magical Sink	CATEGORY:Special Ability	TYPE:AbominationStrength.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Spells cast at the creature interact with it in a strange manner, feeding its physical form and allowing it to flourish. If the creature succeeds in a save against a spell by 5 or more, it heals 3 hit points per spell level. It still suffers any negative effects that might go with a successful Save.	KEY:Abomination ~ Magical Sink																											SOURCEPAGE:DD
Easy to Find	CATEGORY:Special Ability	TYPE:AbominationWeakness.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:+2 bonus to any Spot, Listen, or Survival checks to track or pinpoint the creature.	KEY:Abomination ~ Easy to Find																											SOURCEPAGE:DD
Energy Vulnerability (Acid)	CATEGORY:Special Ability	TYPE:AbominationWeakness.SpecialQuality.Extraordinary	VISIBLE:DISPLAY	DESC:The creature takes double damage from Acid energy type.	KEY:Abomination ~ Energy Vulnerability (Acid)																		ABILITY:Special Ability|AUTOMATIC|Vulnerability To Acid									SOURCEPAGE:DD
Energy Vulnerability (Cold)	CATEGORY:Special Ability	TYPE:AbominationWeakness.SpecialQuality.Extraordinary	VISIBLE:DISPLAY	DESC:The creature takes double damage from Cold energy type.	KEY:Abomination ~ Energy Vulnerability (Cold)																		ABILITY:Special Ability|AUTOMATIC|Vulnerability To Cold									SOURCEPAGE:DD
Energy Vulnerability (Electricity)	CATEGORY:Special Ability	TYPE:AbominationWeakness.SpecialQuality.Extraordinary	VISIBLE:DISPLAY	DESC:The creature takes double damage from Electricity energy type.	KEY:Abomination ~ Energy Vulnerability (Electricity)																		ABILITY:Special Ability|AUTOMATIC|Vulnerability To Electricity									SOURCEPAGE:DD
Energy Vulnerability (Fire)	CATEGORY:Special Ability	TYPE:AbominationWeakness.SpecialQuality.Extraordinary	VISIBLE:DISPLAY	DESC:The creature takes double damage from Fire energy type.	KEY:Abomination ~ Energy Vulnerability (Fire)																		ABILITY:Special Ability|AUTOMATIC|Vulnerability To Fire									SOURCEPAGE:DD
Energy Vulnerability (Sonic)	CATEGORY:Special Ability	TYPE:AbominationWeakness.SpecialQuality.Extraordinary	VISIBLE:DISPLAY	DESC:The creature takes double damage from Sonic energy type.	KEY:Abomination ~ Energy Vulnerability (Sonic)																		ABILITY:Special Ability|AUTOMATIC|Vulnerability To Sonic									SOURCEPAGE:DD
Fear of Acid	CATEGORY:Special Ability	TYPE:AbominationWeakness.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The creature is afraid of Acid energy type. When exposed to it, it must make a Will save (DC 15) or become shaken.	KEY:Abomination ~ Fear of Acid																											SOURCEPAGE:DD
Fear of Cold	CATEGORY:Special Ability	TYPE:AbominationWeakness.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The creature is afraid of Cold energy type. When exposed to it, it must make a Will save (DC 15) or become shaken.	KEY:Abomination ~ Fear of Cold																											SOURCEPAGE:DD
Fear of Electricity	CATEGORY:Special Ability	TYPE:AbominationWeakness.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The creature is afraid of Electricity energy type. When exposed to it, it must make a Will save (DC 15) or become shaken.	KEY:Abomination ~ Fear of Electricity																											SOURCEPAGE:DD
Fear of Fire	CATEGORY:Special Ability	TYPE:AbominationWeakness.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The creature is afraid of Fire energy type. When exposed to it, it must make a Will save (DC 15) or become shaken.	KEY:Abomination ~ Fear of Fire																											SOURCEPAGE:DD
Fear of Sonic	CATEGORY:Special Ability	TYPE:AbominationWeakness.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The creature is afraid of Sonic energy type. When exposed to it, it must make a Will save (DC 15) or become shaken.	KEY:Abomination ~ Fear of Sonic																											SOURCEPAGE:DD
Fragile (Bludgeoning)	CATEGORY:Special Ability	TYPE:AbominationWeakness.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Double damage against Bludgeoning	KEY:Abomination ~ Fragile (Bludgeoning)																											SOURCEPAGE:DD
Fragile (Piercing)	CATEGORY:Special Ability	TYPE:AbominationWeakness.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Double damage against Piercing	KEY:Abomination ~ Fragile (Piercing)																											SOURCEPAGE:DD
Fragile (Slashing)	CATEGORY:Special Ability	TYPE:AbominationWeakness.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Double damage against Slashing	KEY:Abomination ~ Fragile (Slashing)																											SOURCEPAGE:DD
Sensitivity	CATEGORY:Special Ability	TYPE:AbominationWeakness.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Pick a common material or substance. When exposed to this item, the creature suffers a -2 circumstance penalty to attacks, checks, and saves.	KEY:Abomination ~ Sensitivity																											SOURCEPAGE:DD
																																
Race Traits ~ Crackling Perceptor	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=CracklingPerceptorRaceTrait|Immunity To Acid|Immunity To Fire											BONUS:VAR|DarkvisionRange|60|TYPE=Base																		
Babbling Madness	CATEGORY:Special Ability	TYPE:CracklingPerceptorRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A cackling perceptor makes strange, gibbering sounds that resemble a madman's laughter. Any creature that comes within 60 ft. of one of these monsters must make a Will save (DC %1) or act as if under the effects of confusion for 2d10 rounds. This noise results from the perceptor's attempts to communicate with other beings. Their cosmic insight into the nature of reality allows them to alter and manipulate the psyches of other creatures with sound, though there is no apparent reason or order in the actions they compel others to commit. This is a mind-influencing effect.|BabblingMadnessDC	KEY:Crackling Perceptor ~ Babbling Madness				DEFINE:BabblingMadnessDC|0					BONUS:VAR|BabblingMadnessDC|DefaultDCCha	BONUS:VAR|BabblingMadnessDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Babble)								ABILITY:Ability Focus|AUTOMATIC|Babbling Madness									SOURCEPAGE:DD
Cosmic Awareness	CATEGORY:Special Ability	TYPE:CracklingPerceptorRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The perceptor's supernatural insight into the material world makes it almost impossible to take by surprise. It sees into time, space, emotion, and other dimensions that humans cannot fathom. It counts as taking 20 in all Listen and Spot checks and its sight and hearing extend up to 200 feet in all directions despite any physical barriers that surround it.	KEY:Crackling Perceptor ~ Cosmic Awareness																											SOURCEPAGE:DD
Dimensional Slip	CATEGORY:Special Ability	TYPE:CracklingPerceptorRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Using its strange sight, a perceptor can spot folds in reality that allow it to move to a distant spot with a single step. It can also slide into strange dimensions that interact with the real world but do not cross it. The perceptor can cast dimension door at will. In addition, the perceptor can gain the benefits of invisibility (Greater) at will. While this talent duplicates spell effects, it is not magical in nature. Instead, the perceptor manipulates reality in a manner that other creatures simply cannot perceive or understand. Activating either of this ability's uses counts as a standard action.	KEY:Crackling Perceptor ~ Dimensional Sleep																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HD|Dimension Door|Invisibility (Greater)									SOURCEPAGE:DD
Weakness	CATEGORY:Special Ability	TYPE:CracklingPerceptorRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Perceptors are frail enough that they can be defeated through the force of arms. While they are quick and strong, their skinless bodies are vulnerable to attack. Their ability to remain invisible can make them daunting foes, but the small splashes of blood, mucous, and slime that they leave in their wake make them easy to locate and track. Anyone attempting to locate a perceptor gains a +2 bonus to any Spot, Listen, or Survival checks to track or pinpoint one. Perceptors are sensitive to sand, dirt, and other abrasive materials. While they can walk across them with ease, as their feet are coated in slime and blood to protect them, they suffer extreme pain if their exposed organs are ground with such materials. A perceptor coated in dirt, mud, flour, or a similar material becomes partially visible, as the material sticks in its blood and slime, and the creature howls in pain. It gains concealment (30%% miss chance) rather than invisibility, and the great pain it suffers grants it a -2 circumstance penalty to attacks, checks, and saves.	KEY:Crackling Perceptor ~ Weakness																											SOURCEPAGE:DD
