SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02																																		
																																					
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page					
Aquatic	CATEGORY:Internal	TYPE:HumanSubrace.AltSubraceChoice		DESC:Aquatic humans have a place beneath the surface of the sea, perhaps as descendants of forgotten civilizations whose island cities sank beneath the surface. They may replace merfolk in such campaigns, or exist along with them.	KEY:Human ~ Aquatic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Human ~ Aquatic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0																TEMPLATE:Aquatic Human	ABILITY:Human Race Trait|AUTOMATIC|Human ~ Extra Feat|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HumanExtraFeat	ABILITY:Human Race Trait|AUTOMATIC|Human ~ Extra Skill Point|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HumanExtraSkillPoint	ABILITY:Human Race Trait|AUTOMATIC|Human ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HumanLanguages	ABILITY:Human Race Trait|AUTOMATIC|Human ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HumanFavoredClass	ABILITY:Human Race Trait|AUTOMATIC|Aquatic Human ~ Low-Light Vision				SOURCEPAGE:UA					
Aquatic	CATEGORY:Internal	TYPE:KoboldSubrace.AltSubraceChoice		DESC:Aquatic kobolds are seldom seen outside their mines, much like their surface-dwelling cousins-despite the fact that their broad tails make them exceptional swimmers. They dig constantly, always expanding their subterranean territory, and as a result frequently come into confl ict with aquatic dwarves. Aquatic kobolds often hire mercenaries to fi ght for them, hiding behind their carefully constructed traps and other defenses and paying their defenders with the mineral wealth they uncover while expanding their warrens. The life of an aquatic kobold is one of constant toil and fear. Some few kobolds seek peace of mind through personal power and boon companions. These rare individuals become adventurers.	KEY:Kobold ~ Aquatic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Kobold ~ Aquatic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Aquatic Kobold	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldDarkvision	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Craft Trapmaking Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldRacialCraftTrapmakingSkill	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Profession Miner Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldRacialProfessionMinerSkill	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Search Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldRacialSearchSkill	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldLanguages	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldFavoredClass			SOURCEPAGE:UA					
Aquatic	CATEGORY:Internal	TYPE:OrcSubrace.AltSubraceChoice		DESC:Aquatic orcs survive on the slopes of cliff sides or undersea drops, far from the warmth of volcanic vents and the nurturing light of the sun. As such, they control access to the secrets of the deep ocean trenches-but are menaced by fell creatures that rise up out of the trenches in search of fresh prey. Aquatic orcs stand ever vigilant against attackers and thieves when they're not making preemptive strikes against those foolish enough to settle near their territory. Occasionally an individual orc questions the need for constant battle, or seeks strategies other than brute force. Such iconoclasts often leave their tribes-at least temporarily-to become adventurers.	KEY:Orc ~ Aquatic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Orc ~ Aquatic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits						TEMPLATE:Aquatic Orc	ABILITY:Orc Race Trait|AUTOMATIC|Orc ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OrcDarkvision	ABILITY:Orc Race Trait|AUTOMATIC|Orc ~ Light Sensitivity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OrcLightSensitivity	ABILITY:Orc Race Trait|AUTOMATIC|Orc ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OrcLanguages	ABILITY:Orc Race Trait|AUTOMATIC|Orc ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OrcFavoredClass					SOURCEPAGE:UA					
																																					
Arctic	CATEGORY:Internal	TYPE:DwarfSubrace.AltSubraceChoice.DwarfCombatBonus		DESC:In the icy wastes, dwarves are the masters of both ice and stone. They build massive, elaborate defenses of ice and rock around the mines where they dig for copper, silver, gold, and iron.	KEY:Dwarf ~ Arctic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Dwarf ~ Arctic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits						TEMPLATE:Arctic Dwarf	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfDarkvision	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Stonecunning|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfStonecunning	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Weapon Familiarity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfWeaponFamiliarity	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Stability|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfStability	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Poison Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfPoisonSaveBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Spell Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfSpellSaveBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Arctic Dwarf ~ Combat Bonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Dodge Giant Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfDodgeGiantBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Appraise Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfAppraiseSkillBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Craft Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfCraftSkillBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfLanguages	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfFavoredClass	ABILITY:Dwarf Race Trait|AUTOMATIC|Arctic Dwarf ~ Icecunning|Arctic Dwarf ~ Combat Bonus Kobold|Arctic Dwarf ~ Appraise Ice Skill Bonus|Arctic Dwarf ~ Craft Ice Skill Bonus	SOURCEPAGE:UA
Arctic	CATEGORY:Internal	TYPE:ElfSubrace.AltSubraceChoice.ElfSkillBonus		DESC:The arctic landscape is dotted here and there with permanent fog banks caused by subterranean heat interacting with snow and ice or warm springs steaming in the freezing air. Hidden in these oases of warmth are the ancient settlements of the elves.	KEY:Elf ~ Arctic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Elf ~ Arctic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Arctic Elf	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Racial Immunity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfRacialImmunity	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfLowLightVision	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Weapon Proficiency|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfWeaponProficiency	ABILITY:Elf Race Trait|AUTOMATIC|Arctic Elf ~ Skill Bonus	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfLanguages	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfFavoredClass	ABILITY:Elf Race Trait|AUTOMATIC|Arctic Elf ~ Craft Skill Bonus|Arctic Elf ~ Survival Skill Bonus		SOURCEPAGE:UA					
Arctic	CATEGORY:Internal	TYPE:GnomeSubrace.AltSubraceChoice.GnomeRacialAlchemySkill		DESC:Arctic gnomes travel the ice and snow on cleverly constructed sleds pulled by immense woolly mammoths. The animals serve as transportation, a source of fibers for weaving, and walls against the elements. The sleds are enclosed, often transporting entire families.	KEY:Gnome ~ Arctic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Gnome ~ Arctic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Arctic Gnome	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeRacialVision	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Weapon Familiarity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeWeaponFamiliarity	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Illusion Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeSaveBonus	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Racial School DC Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeIllusionDC	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeAttacksBonus	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Dodge Giant Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeDodgeBonus	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Listen Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeRacialListenSkill	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Spell-Like Abilities|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeSpellLikeAbilities	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeLanguages	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeFavoredClass	ABILITY:Gnome Race Trait|AUTOMATIC|Arctic Gnome ~ Sense Motive Skill Bonus	SOURCEPAGE:UA		
Arctic	CATEGORY:Internal	TYPE:GoblinSubrace.AltSubraceChoice.GoblinDarkvision.GoblinRacialMoveSilentlySkill		DESC:Arctic goblins are feared and reviled because their appearance heralds theft, assaults, and property damage. They survive by moving from place to place, constantly driven out of their previous homes by irate neighbors. Arctic goblins to take up adventuring for many reasons. While most goblins are neutral evil, many have different beliefs and seek like-minded individuals outside the tribe. Some just want an opportunity to settle down and work to earn a better reputation than that of their fellows.	KEY:Goblin ~ Arctic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Goblin ~ Arctic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Arctic Goblin	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Ride Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinRacialRideSkill	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinLanguages	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinFavoredClass	ABILITY:Goblin Race Trait|AUTOMATIC|Arctic Goblin ~ Low-Light Vision|Arctic Goblin ~ Bluff Skill Bonus|Arctic Goblin ~ Sleight of Hand Skill Bonus					SOURCEPAGE:UA					
Arctic	CATEGORY:Internal	TYPE:HalfElfSubrace.AltSubraceChoice.HalfElf2SkillBonus		DESC:Arctic elves wed humans as often as basic elves do, producing arctic half-elf children. These half-breeds tend to have great wanderlust, and are uncomfortable staying in one place for very long. They often carry messages and rumors with them as they travel between communities.	KEY:Half-Elf ~ Arctic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Half-Elf ~ Arctic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0																TEMPLATE:Arctic Half-Elf	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Racial Immunity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfRacialImmunity	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfLowLightVision	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfSkillBonus	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Elven Blood|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfElvenBlood	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfLanguages	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfFavoredClass	ABILITY:Half-Elf Race Trait|AUTOMATIC|Arctic Half-Elf ~ Gather Information Skill Bonus|Arctic Half-Elf ~ Survival Skill Bonus		SOURCEPAGE:UA					
Arctic	CATEGORY:Internal	TYPE:HalfOrcSubrace.AltSubraceChoice.HalfOrcDarkvision		DESC:The arctic is a harsh place, a frozen testing ground for the chosen people of Gruumsh. Many tribes of arctic orcs eke out a living on the warm slopes of volcanic mountains, herding elk and caribou. Often their mutual dependence on sources of fresh water and meat brings them into contact with arctic-dwelling human barbarians. The resulting offspring are sometimes welcome in places where full orcs are not, valued for their tenacity, courage, and combat prowess.	KEY:Half-Orc ~ Arctic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Half-Orc ~ Arctic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Arctic Half-Orc	ABILITY:Half-Orc Race Trait|AUTOMATIC|Half-Orc ~ Orc Blood|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfOrcOrcBlood	ABILITY:Half-Orc Race Trait|AUTOMATIC|Half-Orc ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfOrcLanguages	ABILITY:Half-Orc Race Trait|AUTOMATIC|Half-Orc ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfOrcFavoredClass	ABILITY:Half-Orc Race Trait|AUTOMATIC|Arctic Half-Orc ~ Low-Light Vision|Arctic Half-Orc ~ Diplomacy Skill Bonus					SOURCEPAGE:UA					
Arctic	CATEGORY:Internal	TYPE:HalflingSubrace.AltSubraceChoice.HalflingCombatBonus.HalflingFavoredClass		DESC:Arctic halflings are hunters and fi shermen, stalking walrus and seal and putting to sea to fi sh, usually in the company of larger races such as humans. They are a peaceful, spiritual people whose rituals include preexpedition prayers for forgiveness from the animals they hope to kill.	KEY:Halfling ~ Arctic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Halfling ~ Arctic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Arctic Halfling	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingSkillBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingSaveBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Fear Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingFearSaveBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Listen Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingListenSkillBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingLanguages	ABILITY:Halfling Race Trait|AUTOMATIC|Arctic Halfling ~ Swim Skill Bonus|Arctic Halfling ~ Combat Bonus|Arctic Halfling ~ Favored Class			SOURCEPAGE:UA					
Arctic	CATEGORY:Internal	TYPE:KoboldSubrace.AltSubraceChoice		DESC:Arctic kobolds are seldom seen outside their mines. They dig constantly, always expanding their subterranean territory (which is often carefully constructed to tap into geothermal vents for heat), and as a result are in constant confl ict with arctic dwarves. Arctic kobolds often hire mercenaries to fi ght for them, hiding behind their carefully constructed traps and other defenses and paying their defenders with the mineral wealth they uncover while expanding their warrens.	KEY:Kobold ~ Arctic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Kobold ~ Arctic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits						TEMPLATE:Arctic Kobold	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldDarkvision	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Craft Trapmaking Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldRacialCraftTrapmakingSkill	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Profession Miner Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldRacialProfessionMinerSkill	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Search Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldRacialSearchSkill	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldLanguages	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldFavoredClass			SOURCEPAGE:UA					
Arctic	CATEGORY:Internal	TYPE:OrcSubrace.AltSubraceChoice.OrcDarkvision.OrcLightSensitivity		DESC:Arctic orcs are primitive herders, eking out a living on the slopes of volcanic mountains and building their crude huts near hot springs or steam vents. They herd woolly cattle, caribou, and elk. As a result, they control large sources of meat, water, and heat-all things coveted by others living in or traveling through the arctic. What they don't have, they take by force. Arctic orcs stand ever vigilant against attackers and thieves- when they're not making preemptive strikes against those foolish enough to settle near their territory. Occasionally an individual orc questions the need for constant battle, or seeks strategies other than brute force. Such iconoclasts often leave their tribes-at least temporarily-to become adventurers.	KEY:Orc ~ Arctic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Orc ~ Arctic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits						TEMPLATE:Arctic Orc	ABILITY:Orc Race Trait|AUTOMATIC|Orc ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OrcLanguages	ABILITY:Orc Race Trait|AUTOMATIC|Orc ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OrcFavoredClass	ABILITY:Orc Race Trait|AUTOMATIC|Arctic Orc ~ Low-Light Vision|Arctic Orc ~ Handle Animal Skill Bonus						SOURCEPAGE:UA					
																																					
