SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02												
#															
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE			
2				ABILITY:Paragon Drow Class Feature|AUTOMATIC|Paragon Drow ~ Improved Darkvision|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonDrowImprovedDarkvision											
2				ABILITY:Paragon Drow Class Feature|AUTOMATIC|Paragon Drow ~ Light Sensitivity|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonDrowLightSensitivity											
3				ABILITY:Paragon Drow Class Feature|AUTOMATIC|Paragon Drow ~ Ability Boost|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonDrowAbilityBoost											
#															
1	TEMPLATE:Drow Paragon ~ Spellcaster ~ 1														
3	TEMPLATE:Drow Paragon ~ Spellcaster ~ 3														
															
CLASS:Dwarf Paragon	HD:10	TYPE:PC.Base.Paragon	FACT:Abb|PDw	MAXLEVEL:3	SOURCEPAGE:UA	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|PC		DEFINE:ParagonDwarfLVL|0	BONUS:VAR|ParagonDwarfLVL|CL		BONUS:VAR|ClassBABGood|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Dwarf Paragon	PRERACE:1,Dwarf														
CLASS:Dwarf Paragon	STARTSKILLPTS:2	CSKILL:Appraise|Climb|TYPE.Craft|Intimidate|Jump|Knowledge (Dungeoneering)|TYPE.Profession|Sense motive|Survival													
1				ABILITY:Paragon Dwarf Class Feature|AUTOMATIC|Paragon Dwarf ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonDwarfProficiencies											
#															
1				ABILITY:Paragon Dwarf Class Feature|AUTOMATIC|Paragon Dwarf ~ Craft Expertise|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonDwarfCraftExpertise											
2				ABILITY:Paragon Dwarf Class Feature|AUTOMATIC|Paragon Dwarf ~ Improved Stonecunning|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonDwarfImprovedStonecunning											
2				ABILITY:Paragon Dwarf Class Feature|AUTOMATIC|Paragon Dwarf ~ Improved Darkvision|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonDwarfDarkvision											
2				ABILITY:Paragon Dwarf Class Feature|AUTOMATIC|Paragon Dwarf ~ Save Bonus|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonDwarfSaveBonus											
3				ABILITY:Paragon Dwarf Class Feature|AUTOMATIC|Paragon Dwarf ~ Ability Boost|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonDwarfAbilityBoost											
															
CLASS:Elf Paragon	HD:8	TYPE:PC.Base.Paragon	FACT:Abb|PEl	MAXLEVEL:3	SOURCEPAGE:UA	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|PC		DEFINE:ParagonElfLVL|0	BONUS:VAR|ParagonElfLVL|CL		BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Elf Paragon	PREMULT:1,[PRERACE:1,Elf],[PREMULT:3,[PRERACE:1,Elf],[PREABILITY:1,CATEGORY=Internal,Elf ~ Drow],[!PRECLASS:1,Drow Paragon=1]],[PREMULT:2,[PREABILITY:1,CATEGORY=Special Ability,Paragon Half-Elf ~ Divided Ancestry],[!PRECLASS:1,Human Paragon=1]]														
CLASS:Elf Paragon	STARTSKILLPTS:2	CSKILL:Climb|TYPE.Craft|Diplomacy|Hide|Jump|TYPE.Knowledge|Listen|Move Silently|TYPE.Profession|Spellcraft|Spot|Survival|Swim													
1				ABILITY:Paragon Elf Class Feature|AUTOMATIC|Paragon Elf ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonElfProficiencies											
#															
1				ABILITY:Paragon Elf Class Feature|AUTOMATIC|Paragon Elf ~ Elfsight|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonElfElfsight											
1				ABILITY:Paragon Elf Class Feature|AUTOMATIC|Paragon Elf ~ Resist Enchantments|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonElfResistEnchantments											
2				ABILITY:Paragon Elf Class Feature|AUTOMATIC|Paragon Elf ~ Spells per Day											
2				ABILITY:Paragon Elf Class Feature|AUTOMATIC|Paragon Elf ~ Weapon Focus|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonElfWeaponFocus											
3				ABILITY:Paragon Elf Class Feature|AUTOMATIC|Paragon Elf ~ Ability Boost|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonElfAbilityBoost											
#															
2	ADD:SPELLCASTER|Wizard														
3	ADD:SPELLCASTER|Wizard														
															
CLASS:Gnome Paragon	HD:6	TYPE:PC.Base.Paragon	FACT:Abb|PGn	MAXLEVEL:3	SOURCEPAGE:UA	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|PC		DEFINE:ParagonGnomeLVL|0	BONUS:VAR|ParagonGnomeLVL|CL		BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Gnome Paragon	PRERACE:1,Gnome														
CLASS:Gnome Paragon	STARTSKILLPTS:4	CSKILL:Bluff|Jump|Climb|TYPE.Craft|Diplomacy|Hide|Jump|TYPE.Knowledge|Listen|Move Silently|TYPE.Perform|TYPE.Profession|Spellcraft|Swim													
1				ABILITY:Paragon Gnome Class Feature|AUTOMATIC|Paragon Gnome ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonGnomeProficiencies											
#															
1				ABILITY:Paragon Gnome Class Feature|AUTOMATIC|Paragon Gnome ~ Illusion Aptitude|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonGnomeIllusionAptitude											
1				ABILITY:Paragon Gnome Class Feature|AUTOMATIC|Paragon Gnome ~ Keen Senses|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonGnomeKeenSenses											
2				ABILITY:Paragon Gnome Class Feature|AUTOMATIC|Paragon Gnome ~ Spells per Day											
2				ABILITY:Paragon Gnome Class Feature|AUTOMATIC|Paragon Gnome ~ Mirror Image|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonGnomeMirrorImage											
3				ABILITY:Paragon Gnome Class Feature|AUTOMATIC|Paragon Gnome ~ Ability Boost|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonGnomeAbilityBoost											
#															
2	ADD:SPELLCASTER|Bard														
3	ADD:SPELLCASTER|Bard														
															
CLASS:Half-Dragon Paragon	HD:12	TYPE:PC.Base.Paragon	FACT:Abb|PHD	MAXLEVEL:3	SOURCEPAGE:UA	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|PC		DEFINE:ParagonHalfDragonLVL|0	BONUS:VAR|ParagonHalfDragonLVL|CL		BONUS:VAR|ClassBABGood|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Half-Dragon Paragon	PRETEMPLATE:1,Half-Dragon														
CLASS:Half-Dragon Paragon	STARTSKILLPTS:4	CSKILL:Concentration|Diplomacy|Intimidate|TYPE.Knowledge|Listen|Search|Sense Motive|Spot										ALLOWBASECLASS:NO			
SUBCLASS:Black Half-Dragon Paragon	COST:0	PRETEMPLATE:1,Half-Dragon (Black)	CSKILL:Hide|Move Silently|Swim												
SUBCLASS:Blue Half-Dragon Paragon	COST:0	PRETEMPLATE:1,Half-Dragon (Blue)	CSKILL:Bluff|Hide|Spellcraft												
SUBCLASS:Brass Half-Dragon Paragon	COST:0	PRETEMPLATE:1,Half-Dragon (Brass)	CSKILL:Bluff|Gather Information|Survival												
SUBCLASS:Bronze Half-Dragon Paragon	COST:0	PRETEMPLATE:1,Half-Dragon (Bronze)	CSKILL:Disguise|Survival|Swim												
SUBCLASS:Copper Half-Dragon Paragon	COST:0	PRETEMPLATE:1,Half-Dragon (Copper)	CSKILL:Bluff|Hide|Jump												
SUBCLASS:Gold Half-Dragon Paragon	COST:0	PRETEMPLATE:1,Half-Dragon (Gold)	CSKILL:Disguise|Heal|Swim												
SUBCLASS:Green Half-Dragon Paragon	COST:0	PRETEMPLATE:1,Half-Dragon (Green)	CSKILL:Bluff|Hide|Move Silently												
SUBCLASS:Red Half-Dragon Paragon	COST:0	PRETEMPLATE:1,Half-Dragon (Red)	CSKILL:Appraise|Bluff|Jump												
SUBCLASS:Silver Half-Dragon Paragon	COST:0	PRETEMPLATE:1,Half-Dragon (Silver)	CSKILL:Bluff|Jump|TYPE.Perform												
SUBCLASS:White Half-Dragon Paragon	COST:0	PRETEMPLATE:1,Half-Dragon (White)	CSKILL:Hide|Move Silently|Swim												
1				ABILITY:Paragon Half-Dragon Class Feature|AUTOMATIC|Paragon Half-Dragon ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalfDragonProficiencies											
#															
1				ABILITY:Paragon Half-Dragon Class Feature|AUTOMATIC|Paragon Half-Dragon ~ Sorcerous Blood|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalfDragonSorcerousBlood											
2				ABILITY:Paragon Half-Dragon Class Feature|AUTOMATIC|Paragon Half-Dragon ~ Natural Armor Increase|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalfDragonNaturalArmorIncrease											
3				ABILITY:Paragon Half-Dragon Class Feature|AUTOMATIC|Paragon Half-Dragon ~ Breath Weapon|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalfDragonBreathWeapon											
															
CLASS:Half-Elf Paragon	HD:8	TYPE:PC.Base.Paragon	FACT:Abb|PHE	MAXLEVEL:3	SOURCEPAGE:UA	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|PC		DEFINE:ParagonHalfElfLVL|0	BONUS:VAR|ParagonHalfElfLVL|CL		BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Half-Elf Paragon	PRERACE:1,Half-Elf														
CLASS:Half-Elf Paragon	STARTSKILLPTS:4	CSKILL:Bluff|Climb|TYPE.Craft|Diplomacy|Hide|Jump|Listen|Move Silently|TYPE.Perform|TYPE.Profession|Swim													
1				ABILITY:Paragon Half-Elf Class Feature|AUTOMATIC|Paragon Half-Elf ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalfElfProficiencies											
#															
1				ABILITY:Paragon Half-Elf Class Feature|AUTOMATIC|Paragon Half-Elf ~ Bonus Feat|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalfElfBonusFeat											
1				ABILITY:Paragon Half-Elf Class Feature|AUTOMATIC|Paragon Half-Elf ~ Divided Ancestry|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalfElfDividedAncestry											
1				ABILITY:Paragon Half-Elf Class Feature|AUTOMATIC|Paragon Half-Elf ~ Elven Vision|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalfElfElvenVision											
2				ABILITY:Paragon Half-Elf Class Feature|AUTOMATIC|Paragon Half-Elf ~ Spells per Day											
2				ABILITY:Paragon Half-Elf Class Feature|AUTOMATIC|Paragon Half-Elf ~ Persuasion|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalfElfPersuasion											
3				ABILITY:Paragon Half-Elf Class Feature|AUTOMATIC|Paragon Half-Elf ~ Ability Boost|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalfElfAbilityBoost											
#															
2	ADD:SPELLCASTER|ANY														
															
CLASS:Half-Orc Paragon	HD:8	TYPE:PC.Base.Paragon	FACT:Abb|PHO	MAXLEVEL:3	SOURCEPAGE:UA	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|PC		DEFINE:ParagonHalfOrcLVL|0	BONUS:VAR|ParagonHalfOrcLVL|CL		BONUS:VAR|ClassBABGood|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Half-Orc Paragon	PRERACE:1,Half-Orc														
CLASS:Half-Orc Paragon	STARTSKILLPTS:4	CSKILL:Climb|TYPE.Craft|Handle Animal|Intimidate|Jump|TYPE.Profession|Ride|Survival|Swim													
1				ABILITY:Paragon Half-Orc Class Feature|AUTOMATIC|Paragon Half-Orc ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalfOrcProficiencies											
#															
1				ABILITY:Paragon Half-Orc Class Feature|AUTOMATIC|Paragon Half-Orc ~ Divided Ancestry|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalfOrcDividedAncestry											
1				ABILITY:Paragon Half-Orc Class Feature|AUTOMATIC|Paragon Half-Orc ~ Monstrous Mien|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalfOrcMonstrousMien											
2				ABILITY:Paragon Half-Orc Class Feature|AUTOMATIC|Paragon Half-Orc ~ Rage|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalfOrcRage											
3				ABILITY:Paragon Half-Orc Class Feature|AUTOMATIC|Paragon Half-Orc ~ Ability Boost|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalfOrcAbilityBoost											
															
CLASS:Halfling Paragon	HD:6	TYPE:PC.Base.Paragon	FACT:Abb|PHa	MAXLEVEL:3	SOURCEPAGE:UA	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|PC		DEFINE:ParagonHalflingLVL|0	BONUS:VAR|ParagonHalflingLVL|CL		BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Halfling Paragon	PRERACE:1,Halfling														
CLASS:Halfling Paragon	STARTSKILLPTS:4	CSKILL:Bluff|Climb|TYPE.Craft|Diplomacy|Hide|Jump|Listen|Move Silently|TYPE.Perform|TYPE.Profession|Survival|Swim													
1				ABILITY:Paragon Halfling Class Feature|AUTOMATIC|Paragon Halfling ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalflingProficiencies											
#															
1				ABILITY:Paragon Halfling Class Feature|AUTOMATIC|Paragon Halfling ~ Athletic Prowess|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalflingAthleticProwess											
1				ABILITY:Paragon Halfling Class Feature|AUTOMATIC|Paragon Halfling ~ Save Bonus|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalflingSaveBonus											
2				ABILITY:Paragon Halfling Class Feature|AUTOMATIC|Paragon Halfling ~ Thrown Weapon Mastery|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalflingThrownWeaponMastery											
3				ABILITY:Paragon Halfling Class Feature|AUTOMATIC|Paragon Halfling ~ Ability Boost|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHalflingAbilityBoost											
															
CLASS:Human Paragon	HD:8	TYPE:PC.Base.Paragon	FACT:Abb|PHu	MAXLEVEL:3	SOURCEPAGE:UA	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|PC		DEFINE:ParagonHumanLVL|0	BONUS:VAR|ParagonHumanLVL|CL		BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Human Paragon	PREMULT:1,[PRERACE:1,Human],[PREMULT:2,[PREABILITY:1,CATEGORY=Special Ability,Paragon Half-Elf ~ Divided Ancestry],[!PRECLASS:1,Elf Paragon=1]],[PREMULT:2,[PREABILITY:1,CATEGORY=Special Ability,Paragon Half-Orc ~ Divided Ancestry],[!PRECLASS:1,Orc Paragon=1]]														
CLASS:Human Paragon	STARTSKILLPTS:4														
1				ABILITY:Paragon Human Class Feature|AUTOMATIC|Paragon Human ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHumanProficiencies											
#															
1				ABILITY:Paragon Human Class Feature|AUTOMATIC|Paragon Human ~ Skills											
1				ABILITY:Paragon Human Class Feature|AUTOMATIC|Paragon Human ~ Spells per Day											
1				ABILITY:Paragon Human Class Feature|AUTOMATIC|Paragon Human ~ Adaptive Learning|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHumanAdaptiveLearning											
2				ABILITY:Paragon Human Class Feature|AUTOMATIC|Paragon Human ~ Bonus Feat|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHumanBonusFeat											
3				ABILITY:Paragon Human Class Feature|AUTOMATIC|Paragon Human ~ Ability Boost|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonHumanAbilityBoost											
#															
2	ADD:SPELLCASTER|ANY														
3	ADD:SPELLCASTER|ANY														
															
CLASS:Orc Paragon	HD:10	TYPE:PC.Base.Paragon	FACT:Abb|POr	MAXLEVEL:3	SOURCEPAGE:UA	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|PC		DEFINE:ParagonOrcLVL|0	BONUS:VAR|ParagonOrcLVL|CL		BONUS:VAR|ClassBABGood|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Orc Paragon	PREMULT:1,[PRERACE:1,Orc],[PREMULT:2,[PREABILITY:1,CATEGORY=Special Ability,Paragon Half-Orc ~ Divided Ancestry],[!PRECLASS:1,Human Paragon=1]]														
CLASS:Orc Paragon	STARTSKILLPTS:2	CSKILL:Climb|TYPE.Craft|Intimidate|Jump|Listen|Spot|Survival|Swim													
1				ABILITY:Paragon Orc Class Feature|AUTOMATIC|Paragon Orc ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonOrcProficiencies											
#															
1				ABILITY:Paragon Orc Class Feature|AUTOMATIC|Paragon Orc ~ Improved Darkvision|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonOrcImprovedDarkvision											
1				ABILITY:Paragon Orc Class Feature|AUTOMATIC|Paragon Orc ~ No Light Sensitivity|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonOrcNoLightSensitivity											
2				ABILITY:Paragon Orc Class Feature|AUTOMATIC|Paragon Orc ~ Elf Slayer|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonOrcElfSlayer											
3				ABILITY:Paragon Orc Class Feature|AUTOMATIC|Paragon Orc ~ Ability Boost|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonOrcAbilityBoost											
#															
2	ADD:SPELLCASTER|ANY														
3	ADD:SPELLCASTER|ANY														
															
CLASS:Tiefling Paragon	HD:8	TYPE:PC.Base.Paragon	FACT:Abb|PTi	MAXLEVEL:3	SOURCEPAGE:UA	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|PC		DEFINE:ParagonTieflingLVL|0	BONUS:VAR|ParagonTieflingLVL|CL		BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Tiefling Paragon	PRERACE:1,Planetouched (Tiefling)														
CLASS:Tiefling Paragon	STARTSKILLPTS:4	CSKILL:Bluff|TYPE.Craft|Disguise|Hide|Knowledge (The Planes)|Listen|Move Silently|TYPE.Profession|Sleight of Hand|Spot													
1				ABILITY:Paragon Tiefling Class Feature|AUTOMATIC|Paragon Tiefling ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonTieflingProficiencies											
#															
1				ABILITY:Paragon Tiefling Class Feature|AUTOMATIC|Paragon Tiefling ~ Improved Resistance|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonTieflingImprovedResistance											
2				ABILITY:Paragon Tiefling Class Feature|AUTOMATIC|Paragon Tiefling ~ Darkness|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonTieflingDarkness											
2				ABILITY:Paragon Tiefling Class Feature|AUTOMATIC|Paragon Tiefling ~ Skill Bonus|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonTieflingSkillBonus											
3				ABILITY:Paragon Tiefling Class Feature|AUTOMATIC|Paragon Tiefling ~ Ability Boost|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonTieflingAbilityBoost											
															
CLASS:Bard.MOD	!PRECLASS:1,Bardic Sage=1,Divine Bard=1,Savage Bard=1														
															
