SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
# Variant Rule: Bloodline																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Variant Rule ~ Use Bloodlines	CATEGORY:Special Ability	TYPE:AltRules	VISIBLE:DISPLAY	COST:0	DEFINE:UA_VAR_BLOODLINES|0	BONUS:VAR|UA_VAR_BLOODLINES|1|TYPE=Base																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:UA_VAR_BLOODLINES|0	ABILITY:Internal|AUTOMATIC|Bloodline|PREABILITY:1,CATEGORY=Special Ability,TYPE=Bloodline|PREVARGTEQ:UA_VAR_BLOODLINES,1	BONUS:ABILITYPOOL|Bloodline|1|PREVARGTEQ:UA_VAR_BLOODLINES,1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
###Block: Bloodlines																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Bloodline	CATEGORY:Internal		VISIBLE:DISPLAY						DEFINE:BloodlineECL|0	DEFINE:BloodlineSkillCheck|0	DEFINE:BloodlineSkillAffinity|0			BONUS:VAR|BloodlineECL|ECL	BONUS:VAR|BloodlineSkillCheck|2|TYPE=Base																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Celestial (Minor)	CATEGORY:Special Ability	TYPE:Bloodline.Minor			KEY:Bloodline ~ Minor ~ Celestial																		ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Sense Motive Skill Bonus|PREVARGTEQ:BloodlineECL,4	ABILITY:FEAT|AUTOMATIC|Alertness|PREVARGTEQ:BloodlineECL,8	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Wisdom +1|PREVARGTEQ:BloodlineECL,12,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Protection from Evil|PREVARGTEQ:BloodlineECL,16,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Celestial Affinity +2|PREVARGTEQ:BloodlineECL,20,BloodlineLVL,1					SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Celestial (Intermediate)	CATEGORY:Special Ability	TYPE:Bloodline.Intermediate			KEY:Bloodline ~ Intermediate ~ Celestial																		ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Sense Motive Skill Bonus|PREVARGTEQ:BloodlineECL,2	ABILITY:FEAT|AUTOMATIC|Alertness|PREVARGTEQ:BloodlineECL,4	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Wisdom +1|PREVARGTEQ:BloodlineECL,6,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Protection from Evil|PREVARGTEQ:BloodlineECL,8,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Celestial Affinity +2|PREVARGTEQ:BloodlineECL,10,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Smite Evil|PREVARGTEQ:BloodlineECL,12,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Concentration Skill Bonus|PREVARGTEQ:BloodlineECL,14,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Electricity 5|PREVARGTEQ:BloodlineECL,16,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Charisma +1|PREVARGTEQ:BloodlineECL,18,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Poison Save Bonus|PREVARGTEQ:BloodlineECL,20,BloodlineLVL,2	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
Celestial (Major)	CATEGORY:Special Ability	TYPE:Bloodline.Major			KEY:Bloodline ~ Major ~ Celestial																		ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Sense Motive Skill Bonus|PREVARGTEQ:BloodlineECL,1	ABILITY:FEAT|AUTOMATIC|Alertness|PREVARGTEQ:BloodlineECL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Wisdom +1|PREVARGTEQ:BloodlineECL,3,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Protection from Evil|PREVARGTEQ:BloodlineECL,4,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Celestial Affinity +2|PREVARGTEQ:BloodlineECL,5,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Smite Evil|PREVARGTEQ:BloodlineECL,6,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Concentration Skill Bonus|PREVARGTEQ:BloodlineECL,7,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Electricity 5|PREVARGTEQ:BloodlineECL,8,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Charisma +1|PREVARGTEQ:BloodlineECL,9,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Poison Save Bonus|PREVARGTEQ:BloodlineECL,10,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Celestial Affinity +4|PREVARGTEQ:BloodlineECL,11,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Cold 5|PREVARGTEQ:BloodlineECL,12,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Listen Skill Bonus|PREVARGTEQ:BloodlineECL,13,BloodlineLVL,2	ABILITY:FEAT|AUTOMATIC|Improved Initiative|PREVARGTEQ:BloodlineECL,14,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Constitution +1|PREVARGTEQ:BloodlineECL,15,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Acid 5|PREVARGTEQ:BloodlineECL,16,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Celestial Affinity +6|PREVARGTEQ:BloodlineECL,17,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ +1 Natural Armor|PREVARGTEQ:BloodlineECL,18,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Spot Skill Bonus|PREVARGTEQ:BloodlineECL,19,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ DR 5/Evil|PREVARGTEQ:BloodlineECL,20,BloodlineLVL,2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
Demon (Minor)	CATEGORY:Special Ability	TYPE:Bloodline.Minor			KEY:Bloodline ~ Minor ~ Demon																		ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Move Silently Skill Bonus|PREVARGTEQ:BloodlineECL,4	ABILITY:FEAT|AUTOMATIC|Power Attack|PREVARGTEQ:BloodlineECL,8	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Strength +1|PREVARGTEQ:BloodlineECL,12,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Electricity 5|PREVARGTEQ:BloodlineECL,16,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Demon Affinity +2|PREVARGTEQ:BloodlineECL,20,BloodlineLVL,1					SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Demon (Intermediate)	CATEGORY:Special Ability	TYPE:Bloodline.Intermediate			KEY:Bloodline ~ Intermediate ~ Demon																		ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Move Silently Skill Bonus|PREVARGTEQ:BloodlineECL,2	ABILITY:FEAT|AUTOMATIC|Power Attack|PREVARGTEQ:BloodlineECL,4	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Strength +1|PREVARGTEQ:BloodlineECL,6,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Electricity 5|PREVARGTEQ:BloodlineECL,8,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Demon Affinity +2|PREVARGTEQ:BloodlineECL,10,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Smite Good|PREVARGTEQ:BloodlineECL,12,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Hide Skill Bonus|PREVARGTEQ:BloodlineECL,14,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Acid 5|PREVARGTEQ:BloodlineECL,16,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Constitution +1|PREVARGTEQ:BloodlineECL,18,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Poison Save Bonus|PREVARGTEQ:BloodlineECL,20,BloodlineLVL,2	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
Demon (Major)	CATEGORY:Special Ability	TYPE:Bloodline.Major			KEY:Bloodline ~ Major ~ Demon																		ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Move Silently Skill Bonus|PREVARGTEQ:BloodlineECL,1	ABILITY:FEAT|AUTOMATIC|Power Attack|PREVARGTEQ:BloodlineECL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Strength +1|PREVARGTEQ:BloodlineECL,3,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Electricity 5|PREVARGTEQ:BloodlineECL,4,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Demon Affinity +2|PREVARGTEQ:BloodlineECL,5,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Smite Good|PREVARGTEQ:BloodlineECL,6,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Hide Skill Bonus|PREVARGTEQ:BloodlineECL,7,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Acid 5|PREVARGTEQ:BloodlineECL,8,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Constitution +1|PREVARGTEQ:BloodlineECL,9,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Poison Save Bonus|PREVARGTEQ:BloodlineECL,10,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Demon Affinity +4|PREVARGTEQ:BloodlineECL,11,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Fire 5|PREVARGTEQ:BloodlineECL,12,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Intimidate Skill Bonus|PREVARGTEQ:BloodlineECL,13,BloodlineLVL,2	ABILITY:FEAT|AUTOMATIC|Cleave|PREVARGTEQ:BloodlineECL,14,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Charisma +1|PREVARGTEQ:BloodlineECL,15,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Cold 5|PREVARGTEQ:BloodlineECL,16,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Demon Affinity +6|PREVARGTEQ:BloodlineECL,17,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ +1 Natural Armor|PREVARGTEQ:BloodlineECL,18,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Spot Skill Bonus|PREVARGTEQ:BloodlineECL,19,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ DR 5/Good|PREVARGTEQ:BloodlineECL,20,BloodlineLVL,2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
Devil (Minor)	CATEGORY:Special Ability	TYPE:Bloodline.Minor			KEY:Bloodline ~ Minor ~ Devil																		ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Bluff Skill Bonus|PREVARGTEQ:BloodlineECL,4	ABILITY:FEAT|AUTOMATIC|Dodge|PREVARGTEQ:BloodlineECL,8	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Charisma +1|PREVARGTEQ:BloodlineECL,12,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Darkness|PREVARGTEQ:BloodlineECL,16,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Devil Affinity +2|PREVARGTEQ:BloodlineECL,20,BloodlineLVL,1					SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Devil (Intermediate)	CATEGORY:Special Ability	TYPE:Bloodline.Intermediate			KEY:Bloodline ~ Intermediate ~ Devil																		ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Bluff Skill Bonus|PREVARGTEQ:BloodlineECL,2	ABILITY:FEAT|AUTOMATIC|Dodge|PREVARGTEQ:BloodlineECL,4	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Charisma +1|PREVARGTEQ:BloodlineECL,6,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Darkness|PREVARGTEQ:BloodlineECL,8,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Devil Affinity +2|PREVARGTEQ:BloodlineECL,10,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Smite Good|PREVARGTEQ:BloodlineECL,12,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Diplomacy Skill Bonus|PREVARGTEQ:BloodlineECL,14,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Fire 5|PREVARGTEQ:BloodlineECL,16,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Constitution +1|PREVARGTEQ:BloodlineECL,18,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Poison Save Bonus|PREVARGTEQ:BloodlineECL,20,BloodlineLVL,2	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
Devil (Major)	CATEGORY:Special Ability	TYPE:Bloodline.Major			KEY:Bloodline ~ Major ~ Devil																		ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Bluff Skill Bonus|PREVARGTEQ:BloodlineECL,1	ABILITY:FEAT|AUTOMATIC|Dodge|PREVARGTEQ:BloodlineECL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Charisma +1|PREVARGTEQ:BloodlineECL,3,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Darkness|PREVARGTEQ:BloodlineECL,4,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Devil Affinity +2|PREVARGTEQ:BloodlineECL,5,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Smite Good|PREVARGTEQ:BloodlineECL,6,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Diplomacy Skill Bonus|PREVARGTEQ:BloodlineECL,7,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Fire 5|PREVARGTEQ:BloodlineECL,8,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Constitution +1|PREVARGTEQ:BloodlineECL,9,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Poison Save Bonus|PREVARGTEQ:BloodlineECL,10,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Devil Affinity +4|PREVARGTEQ:BloodlineECL,11,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Acid 5|PREVARGTEQ:BloodlineECL,12,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Search Skill Bonus|PREVARGTEQ:BloodlineECL,13,BloodlineLVL,2	ABILITY:FEAT|AUTOMATIC|Alertness|PREVARGTEQ:BloodlineECL,14,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Intelligence +1|PREVARGTEQ:BloodlineECL,15,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Cold 5|PREVARGTEQ:BloodlineECL,16,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Devil Affinity +6|PREVARGTEQ:BloodlineECL,17,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ +1 Natural Armor|PREVARGTEQ:BloodlineECL,18,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Listen Skill Bonus|PREVARGTEQ:BloodlineECL,19,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ DR 5/Good|PREVARGTEQ:BloodlineECL,20,BloodlineLVL,2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
Doppelganger (Minor)	CATEGORY:Special Ability	TYPE:Bloodline.Minor			KEY:Bloodline ~ Minor ~ Doppelganger																		ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Disguise Skill Bonus|PREVARGTEQ:BloodlineECL,4	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Alter Self|PREVARGTEQ:BloodlineECL,8	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Charisma +1|PREVARGTEQ:BloodlineECL,12,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Detect Thoughts|PREVARGTEQ:BloodlineECL,16,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Doppelganger Affinity +2|PREVARGTEQ:BloodlineECL,20,BloodlineLVL,1					SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Black Dragon (Minor)	CATEGORY:Special Ability	TYPE:Bloodline.Minor			KEY:Bloodline ~ Minor ~ Black Dragon																		ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Swim Skill Bonus|PREVARGTEQ:BloodlineECL,4	ABILITY:FEAT|AUTOMATIC|Alertness|PREVARGTEQ:BloodlineECL,8	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Strength +1|PREVARGTEQ:BloodlineECL,12,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Acid 5|PREVARGTEQ:BloodlineECL,16,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Black Dragon Affinity +2|PREVARGTEQ:BloodlineECL,20,BloodlineLVL,1					SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Black Dragon (Intermediate)	CATEGORY:Special Ability	TYPE:Bloodline.Intermediate			KEY:Bloodline ~ Intermediate ~ Black Dragon																		ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Swim Skill Bonus|PREVARGTEQ:BloodlineECL,2	ABILITY:FEAT|AUTOMATIC|Alertness|PREVARGTEQ:BloodlineECL,4	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Strength +1|PREVARGTEQ:BloodlineECL,6,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Acid 5|PREVARGTEQ:BloodlineECL,8,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Black Dragon Affinity +2|PREVARGTEQ:BloodlineECL,10,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ +1 Natural Armor|PREVARGTEQ:BloodlineECL,12,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Hide Skill Bonus|PREVARGTEQ:BloodlineECL,14,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Acid 10|PREVARGTEQ:BloodlineECL,16,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Constitution +1|PREVARGTEQ:BloodlineECL,18,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Water Breathing|PREVARGTEQ:BloodlineECL,20,BloodlineLVL,2	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
Blue Dragon (Minor)	CATEGORY:Special Ability	TYPE:Bloodline.Minor			KEY:Bloodline ~ Minor ~ Blue Dragon																		ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Bluff Skill Bonus|PREVARGTEQ:BloodlineECL,4	ABILITY:FEAT|AUTOMATIC|Alertness|PREVARGTEQ:BloodlineECL,8	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Strength +1|PREVARGTEQ:BloodlineECL,12,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Electricity 5|PREVARGTEQ:BloodlineECL,16,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Blue Dragon Affinity +2|PREVARGTEQ:BloodlineECL,20,BloodlineLVL,1					SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Blue Dragon (Intermediate)	CATEGORY:Special Ability	TYPE:Bloodline.Intermediate			KEY:Bloodline ~ Intermediate ~ Blue Dragon																		ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Bluff Skill Bonus|PREVARGTEQ:BloodlineECL,2	ABILITY:FEAT|AUTOMATIC|Alertness|PREVARGTEQ:BloodlineECL,4	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Strength +1|PREVARGTEQ:BloodlineECL,6,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Electricity 5|PREVARGTEQ:BloodlineECL,8,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Blue Dragon Affinity +2|PREVARGTEQ:BloodlineECL,10,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ +1 Natural Armor|PREVARGTEQ:BloodlineECL,12,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Sense Motive Skill Bonus|PREVARGTEQ:BloodlineECL,14,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Electricity 10|PREVARGTEQ:BloodlineECL,16,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Constitution +1|PREVARGTEQ:BloodlineECL,18,BloodlineLVL,2	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Create/Destroy Water|PREVARGTEQ:BloodlineECL,20,BloodlineLVL,2	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
Brass Dragon (Minor)	CATEGORY:Special Ability	TYPE:Bloodline.Minor			KEY:Bloodline ~ Minor ~ Brass Dragon																		ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Gather Information Skill Bonus|PREVARGTEQ:BloodlineECL,4	ABILITY:FEAT|AUTOMATIC|Alertness|PREVARGTEQ:BloodlineECL,8	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Strength +1|PREVARGTEQ:BloodlineECL,12,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Resistance to Fire 5|PREVARGTEQ:BloodlineECL,16,BloodlineLVL,1	ABILITY:Special Ability|AUTOMATIC|Bloodline ~ Brass Dragon Affinity +2|PREVARGTEQ:BloodlineECL,20,BloodlineLVL,1					SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
